まさに,生きた化石
男,うわっ！？。な、なんの用だ、“Ｇ”！？。アンタはすでに仕事を果たしたはずだ！。アンタは依頼人には二度会わないって聞いてるぜ！？
ゴキブリ,お前は嘘をついていた……
男,な……！？
ゴキブリ,依頼遂行中、店の中をくまなく見回ったが……。あの店の衛生管理は行き届いていた……食中毒が出る可能性は極めて低い
男,うっ！。む、昔はもっと、汚かったんだよ！
ゴキブリ,では聞くが……お前は何を食べて食中毒になったのだ……？
男,えっ！？。知るかよ！あの店でメシなんか食ったことねーんだからよ！。でも、たしか定食屋だったよな……。なら、トンカツ定食ぐらいあるだろ！。ト、トンカツ定食だ！
ゴキブリ,あの店にそんなメニューは、ない……
男,！──む、昔はあったんだよっ！
ゴキブリ,すでにあの店の過去のメニューも調査済み、だ……
男,ゴキブリのくせになんて用意周到な奴だ！。うっ、うるせえ、あの店のメニューなんか知るかってんだ！。俺がウソついてたらなんだってんだよ！。こっちこそ、てめえなんざ用済みなんだ！ムシケラが、踏み潰してやる！
ゴキブリ,やはり嘘をついていた、な……。有罪ギルティ
男,氏ね、氏ね、氏ねっ！
ゴキブリ,…………
男,なんて速さだ！とても目で追えねえ！
ゴキブリ,…………
男,うわっ！俺の顔に！？
ゴキブリ,…………
男,ぎゃあああああっ！口に入んじゃねえ！
ゴキブリ,このまま、お前の体内を“散歩”させてもらう……。お前が“自首”するまで、な……
男,やめてぇぇぇっ！！！。おおお～～～っ！食道にぃ～～～っ！い、いやさらに下にっ！？。ああああああああああ～～～～～～～～～～っ！！！
店主,恐ろしい事件もあったもんだな
娘,大量のゴキブリに襲われるなんて、考えたくもないわねえ
店主,だが、よかったよ。おかげで店の評判もだいぶ回復してきた
娘,これもお父さんが、誠実に料理を提供してたからよ！
店主,それにしても、我が家の口座に一億円も振り込んできた。“迷惑をかけし者”なる人物はいったい何者なんだろう？
娘,さぁねえ……もしかしたら──
客Ａ,こんにちは～！よかったなぁ、嫌がらせしてたって奴が捕まって！
娘,あ、いらっしゃい！
客Ａ,俺、トンカツ定食な！
客Ｂ,俺も！
娘,はぁ～い！。もしかしたら、あの賢いゴキブリがお詫びとして振り込んでくれたのかも。なぁ～んて、ね……
ゴキブリ,…………。…………
側近バチ,…………
業者,“Ｇ”……アンタかい
ゴキブリ,業務用の殺虫剤を、一缶売ってくれ……。鳥の羽根が触れたくらいで噴射できるよう、プッシュボタン式でな……
業者,あいよ！。しっかし、後にも先にも、俺が駆除できる自信がない虫はアンタだけだよ。もっとも、アンタは人間にとって“害虫”とも“益虫”ともなりえるがね……
ゴキブリ,…………
業者,他ならぬアンタの頼みだ。一番強力なヤツを売ってやろう。ところで、こんなものいったい何に使う──
ゴキブリ,…………
業者,おっと！アンタに余計な詮索は無用だったな！
ゴキブリ,…………。…………。…………
スズメバチ,味方ながら恐ろしいハチだぜ、このお方は……
大スズメバチ罠,トラップ
ゴキブリ,…………
大スズメバチ,これは殺虫剤……！。なんという……なんということだ……！
ゴキブリ,…………
大スズメバチ,…………
ゴキブリ,…………。…………
側近バチ,“Ｇ”とスズメバチの大将が顎で噛みあった！……なんという迫力！
ゴキブリ,…………
大スズメバチ,顎の力は互角！ならば、針で毒殺してやる！。針が滑っただと！？ゴキブリの油がこれほどに滑るものか！？
ゴキブリ,…………
側近バチ,“Ｇ”がスズメバチに深々と噛みついた！き、決まった……！
大スズメバチ,“Ｇ”から漂う、この甘い匂い……
ゴキブリ,…………
女王バチ,“Ｇ”……。あなたがいなければ、私たちはこの夕日を見ることすらできなかった……。…………。できればもう一度、あなたに……
少年,やだあっ！手術なんか絶対やだぁっ！
父,そういわずに……。手術をすれば絶対助かるんだから！
少年,やだぁっ！
父,息子の病は重く、手術をしても助かる可能性は決して高くない……。しかし、手術をしなければ確実に死ぬ……！。息子に勇気を与える方法……なにかないだろうか？
ゴキブリ,お前が、依頼人か……？
父,本当にゴキブリだ！ゴキブリがしゃべってる！。友人のいっていたことは本当だった！。はい……私が依頼人です
ゴキブリ,…………。用件を聞こうか……
父,は、はいっ！実は──あなたにカブトムシになっていただきたいのです！
ゴキブリ,！。どういうことだ……？
父,実は私の息子は重い病気にかかっておりまして、手術をせねば助かりません。この手術も成功確率は決して高くないのですが。手術をしなければ、息子は確実に命を落とします……
ゴキブリ,…………
父,なので、私は父親としてなんとしても息子に手術を受けさせたいのですが。息子は手術を怖がり、頑なに受けようとしないのです……。そこで私は息子に勇気を与えるため。息子が好きなカブトムシを見せてやろうと思ったのですが……。今の季節、カブトムシは捕まらず、店にも売ってなくて……。途方に暮れていたところ、昔の友人に相談したら。最高のプロフェッショナルであるあなたのことを、うかがったのです！
ゴキブリ,…………
父,どうか、お願いします！。引き受けるとおっしゃって下さい！ミスター“Ｇ”！。早くから母親を亡くしたあの子に、生きるチャンスをお与え下さい！
ゴキブリ,…………。俺がカブトムシを演じることで、お前の息子に手術を受けさせる……。という依頼と考えていいんだな？
父,はいっ！そのとおりです！
ゴキブリ,分かった……やってみよう……
父,おおっ！ありがとうございます……！
ゴキブリ,…………。…………。…………
父,話がある
少年,なぁに？いっとくけど、手術なら受けないよ！
父,いや、今日はお前にプレゼントがあるんだ
少年,プレゼント？
父,ほぉら、カブトムシだ！
ゴキブリ,…………
少年,わぁっ！すごい！しかもツノがついてるから、オスじゃないか！。ねえねえ、さわってもいい！？
父,ん！？──あ、ああ、だけどほどほどにな
少年,わぁ～、ホンモノだぁ！。うわっ、体をはい回ってきた！ハハハ、くすぐったいよう！
ゴキブリ,“触診”完了……。なるほど、だいぶ病が進行しているようだな……。少年が一ヶ月以内に手術を受けたとして──。この病院の医者も腕は悪くないが、おそらく成功確率は五分五分、か……
少年,お父さん、今日もカブトムシと一緒に遊んだよ！
父,そうかそうか
少年,だけど、このカブトムシ、変なんだ。ツノをさわろうとすると、猛烈な勢いで逃げちゃうの
父,あ、えぇ～と……カブトムシはストレスに弱い生き物だからね。さわりたいのは分かるけど、あまりさわっちゃいけないよ！
少年,うん、分かった！
父,“Ｇ”のおかげで、だいぶ元気が出てきたみたいだ……
ゴキブリ,…………。…………
少年,ねえ……。ボクね、ホントは手術を受けなくちゃいけないって分かってるんだ。だけど……怖かったんだ。手術をしなければ、ずっと“手術さえすれば”って思っていられるけど。もし手術をしてダメだったら、もう……逃げ道はなくなっちゃうから……
ゴキブリ,…………
少年,だけど、もう大丈夫！。だって、このまま逃げてたら死んじゃったお母さんと。ボクを育ててくれてるお父さんに悪いもん！。ボク、手術受けるよ！
ゴキブリ,…………
少年,だってお父さん、カブトムシが捕まえられなかったからって。ゴキブリにツノをつけてまで、ボクを勇気づけようとしてくれたんだもん！
ゴキブリ,！
少年,たしかにこのツノだけは、本物のカブトムシみたいだけど。ボクにだって、カブトムシとゴキブリの区別くらいつくのにねぇ～。気づいてないフリするの、大変だったよ！
ゴキブリ,！！！。任務失敗ミスファイア
少年,お父さんがそこまでして、ボクを勇気づけようとしてくれたのが嬉しくて──
ゴキブリ,…………。…………
少年,あっ、ゴキブリ！？。行っちゃった……。もしかして、ゴキブリだっていったことに、ショック受けちゃったのかな？。そんなわけないよね、ゴキブリに言葉が分かるはずないし！。よぉ～し、手術受けるぞ！
名医,──ん？。ゴキブリ！？──む、君は“Ｇ”じゃないか！
ゴキブリ,礼はする……。大至急、頼みたいことがある……
名医,君にはその小ささと高い知能で、高難度の手術を手伝ってもらったり。盗まれた論文を取り返してもらったりと数えきれないほどの借りがある。ボクにできることなら、なんでもやらせてもらうよ
ゴキブリ,…………
医者,では、これから手術を始めます
父,息子をよろしくお願いします……！
医者,まったく痛くないからね、心配しなくていいんだよ
少年,は、はいっ！。ゴキブリ……ボクは手術、耐えてみせるからね！
医者,ようやく決断してくれたか……。しかし悔しいが、私の腕では成功率は五割、といったところだろう……。あ、あなたは！？
名医,その手術……ボクにやらせていただけないでしょうか。ボクならば、必ずその少年を助けられます
医者,あなたにそういわれて断る医者は、日本……いや世界にもいないでしょう。ですが、この子の病状などはご存じですかな？
名医,ええ……ある方から全て詳しく聞いております
医者,……分かりました。私とて医者としてのプライドはありますが、患者の命の方が遥かに大切です。ぜひお願いします！
少年,？
父,あのお医者さんは、日本屈指の名医だってテレビに出たこともある人だ！。超多忙で、日々飛び回ってるはずなのにどうして……
名医,手術は成功です。息子さんもよく頑張りました。すぐ回復するでしょう
父,ありがとうございます！。しかし、いったいなぜ、息子の手術のために駆けつけて下さったのですか？
名医,ある方から依頼があったのですよ。そのある方から、あなたへ伝言です。“任務不完全遂行の代償を支払う”と……
父,任務不完全遂行……？もしや、“Ｇ”か……！？。息子はカブトムシに変装した“Ｇ”に勇気をもらい、手術を受ける決心をした。私の依頼は完全に果たされていたはずなのに、不完全というのは……？。もうすぐ退院だってさ。よかったな
少年,うん！。でも、カブトムシが逃げちゃったのは、残念だったなぁ。せっかく仲良くなったのに……
父,あのカブトムシが、実はゴキブリだったということは内緒にしておこう……
少年,ボクが、カブトムシがゴキブリだったって気づいてたことは内緒にしとこうっと
