ククイ,……………。だ、誰だお前は…
マオ、スイレン、リーリエ,………ｽﾞ…
ドフラミンゴ,…………フフフ…おいおい…
マオ,ひっ…
ドフラミンゴ,いきなり不意打ちでビショ濡れとァ……。なかなか面白れェ事してくれるじねェかお嬢さん方？
マオ,ひ、ひィィィィ！！
リーリエ,い、命だけは！
スイレン,(おしっこちびった……)
アシマリ,アウー
サトシ,おい、ドフィ！マオ達泣いてるじゃん！
ロトム図鑑,ロトー
ドフラミンゴ,………………。成る程…おれの歓迎会にお前らと三本勝負か…。おもしれェ！
サトシ,だろー？
ドフラミンゴ,フフフ…で？最初の相手は誰だ？
スイレン,あ、あの……わ、私と水泳勝負です…
ドフラミンゴ,水泳？
スイレン,ｺﾞﾒﾝﾅｻｲ
マオ,何故謝る
ドフラミンゴ,おいおい、勘弁してくれ。フフフ…おれァカナヅチだ！
スイレン,あ、あの………ドフィ先生じゃなくてポケモンを使って水泳勝負なんですけど……
ドフラミンゴ,ポケモン？持ってねェよ！フフフ
スイレン,そ、そうですか……
リーリエ,(何故あの人はスクールの教師になったのでしょう……)
ドフラミンゴ,……………
スイレン,(結局ポケモンつかわないんだ)
サトシ,スイレンー！頑張れよー！
スイレン,サトシ！////。がんばろ！アシマリ！
アシマリ,アウ！
リーリエ,それでは位置について……
アシマリ,アウ！
ドフラミンゴ,フフフ
リーリエ,ドン！
アシマリ,アウッ！
サトシ,おっ！いい出だしだなアシマリ！
スイレン,アシマリ！いっけー！
アシマリ,アウー！
マーマネ,ドフィ先生は……
ドフラミンゴ,フフフ
カキ,スタートから動いていない！？
ドフラミンゴ,………そろそろか
スイレン,ドフィ先生きてない！。勝ってサトシにカッコいいとこ見せようね！アシマリ！
アシマリ,アウー！
スイレン、アシマリ,！？
ドフラミンゴ,フッフッフッフ！
スイレン、アシマリ,！？
マオ,う、嘘でしょ……
リーリエ,………水の上を走っています…
サトシ,………すげー……
ロトム図鑑,あ、あれは…イトイトの実の能力ロト！
サトシ,イトイトの実……？
ロトム図鑑,………ドフラミンゴは…体を糸状にできるイトイトの実の能力者ロト！
全員,！？
マオ,スイレン！アシマリ！
スイレン,…………はっ！
ドフラミンゴ,フッフッフ！
リーリエ,ど、ドフィ先生ゴール……。ドフィ先生の勝利です……
スイレン,…………あ……
アシマリ,あ、アウ………
ドフラミンゴ,フフフ…。まだまだだな？お嬢ちゃん？
スイレン,………負けた…
リーリエ,ドンマイです！スイレン！
カキ,え、えと……第２サプライズはケンタロスに乗ってレースを……
ドフラミンゴ,レース？
ケンタロス,モー
ドフラミンゴ,………………
ケンタロス,モ！？
マーマネ,ケンタロスが急に動かなく！？
カキ,なに！？
ドフラミンゴ,フッフッフ…おれァ何時までもガキのアソビに付き合ってる暇はねェんだよ？。………まだやるか？
カキ,………俺の負けでいいです……
サトシ,待ってよドフィ！
ドフラミンゴ,！
サトシ,俺とポケモンバトルしてくれよ！
ピカチュウ,ピッカー！
ドフラミンゴ,……………
スイレン,さ、サトシィ……
マーマネ,死んじゃうよォ！
ドフラミンゴ,………フッフッフ…面白ェ。フッフッフ、いつでもいいぜ？
サトシ,よっしゃー！いくぜピカチュウ！
ピカチュウ,ピッカー！
リーリエ、マーマネ、マオ,(やっぱり生身でやるんだ)
スイレン,サトシ！死なないで！
カキ,俺の仇をとってくれサトシ！
サトシ,いくぜ！ピカチュウ！アイアンテール！
ピカチュウ,ピカー！
ドフラミンゴ,フフフ
サトシ,！
ピカチュウ,ピ！？
カキ,あ、足でアイアンテールを止めた！？
ロトム図鑑,あ、あれは武装色の覇気ロト！
全員,！？
サトシ,くそっ！10万ボルト！
ピカチュウ,ピッカー！
ドフラミンゴ,！
ピカチュウ,ヂュー！！
スイレン,やった！サトシ！
リーリエ,クリーンヒットです！
全員,！
ドフラミンゴ,フフフ
サトシ,な………
カキ,ちゅ、宙に浮いてるだと！？
サトシ,く、くそ！こうなったら！
ピカチュウ,チュウー！
カキ,やるのかサトシ！
マオ,Z技！
ドフラミンゴ,………なにかやるみたいだな？
サトシ,これが俺達の……
ドフラミンゴ,………寄生糸
サトシ,！？
ドフラミンゴ,フフフ…踊れ
サトシ,あ、あれ？ど、どうなってんだ！？
ピカチュウ,ピカピ！
マオ,ちょっとサトシ！バトル中に何踊ってんのよ！
サトシ,ん、んな事言ったって体が勝手に……
ドフラミンゴ,フフフ
ピカチュウ,ピカピ！
ドフラミンゴ,………………
ピカチュウ,！？
ドフラミンゴ,…………五色糸！
ピカチュウ,ピカー！
サトシ,ピカチュウ！。くっそー！負けたー！
ピカチュウ,ピカー！
スイレン,どんまいサトシ！惜しかったよ！
サトシ,ははは、スイレンもな？
スイレン,う、うん////
ドフラミンゴ,フフフ、酒だ！酒を持ってこい！
マオ,は、はい！ただいま！
リーリエ,……結局ドフィ先生の圧勝でしたね？
マーマネ,ハァ…明日からあの先生と一緒か…気が重いよ……
カキ,……まったくだ…
サトシ,なぁドフィ！
ドフラミンゴ,ん？
サトシ,あの魔法みたいな力はどうやって使ったんだよー！教えてくれよー！
スイレン,さ、サトシ……し、死んじゃう……
ドフラミンゴ,………フッフッフ、ありゃァ悪魔の実の力だ、お前には無理だ
サトシ,………悪魔の実？
ピカチュウ,ピカー？
サトシ,あーあ、ドフィに教わればカプ・コケコに勝てると思ったんだけどなぁ
ドフラミンゴ,……………カプ・コケコ…？
サトシ,？
ドフラミンゴ,………その話、詳しく教えろ。…………おい、本当にカプ・コケコは現れるのか？
サトシ,うーん、カプ・コケコは気まぐれだから……
ピカチュウ,ピカー
ドフラミンゴ、サトシ、ピカチュウ,！
カプ・コケコ,………………
サトシ,カプ・コケコ！
カプ・コケコ,……………
ドフラミンゴ,！？。なんだこりゃァ……
サトシ,カプ・コケコのエレキフィールドだ！
ドフラミンゴ,フフフ、エレキフィールド？
カプ・コケコ,……………
サトシ,へへへ、こいってか？さっそくリベンジだピカチュ………。！？
ドフラミンゴ,…………フフフ…。お前に会いにきたおれをフッてサトシとバトルってか？
カプ・コケコ,………………
サトシ,ドフィ！
ドフィ,………………
カプ・コケコ,！？
ロトム図鑑,き、昨日のドフラミンゴの動きを止める技ロト！
ドフラミンゴ,フフフ、お前の動きは止めたぜカプ・コケコ？。さァ……おとなしく……
カプ・コケコ,………………
ドフラミンゴ,！？
サトシ,気をつけろドフィ！カプ・コケコのスパークだ！
カプ・コケコ,………………
ドフラミンゴ,フフフ、さすがは守り神カプ・コケコ……
カプ・コケコ,！
サトシ,ま、また宙に……
ドフラミンゴ,気に入った！おれと来い！カプ・コケコ。フフフ、お前にはスペードの席を用意しておいてやる！
カプ・コケコ,………………
サトシ,ど、ドフィ…何を………
ドフラミンゴ,…………フフフ
ロトム図鑑,モンスターボールロト…
カプ・コケコ,……………
サトシ,！？
ロトム図鑑,カプ・コケコ自らモンスターボールに……
ドフラミンゴ,フフフ
サトシ,………マジかよ…
ドフラミンゴ,………フフフ。カプ・コケコ！ゲットだぜ！
ピカチュウ,ピッカー！
カキ,なに！？ドフィ先生がカプ・コケコを！？
サトシ,ああ、ゲットしたんだ！
マーマネ,嘘………
全員,！
ドフラミンゴ,………フフフ。……スイレン、ちょとこい？
スイレン,！？。な、なんでしょうかドフィ先生……。(サトシ…私殺されちゃうのかな？)
ドフラミンゴ,……………
スイレン,ひっ……！
ドフラミンゴ,フフフ…今日、お前の家に家庭訪問に行く
スイレン,……………へ？
サトシ,なぁドフィ、家庭訪問なんだろ？何で俺まで………
ドフラミンゴ,……黙ってついてこい
スイレン,あっ！サトシ！
サトシ,よっ！スイレン！
ドフラミンゴ,…………………
スイレン,………と、ドフィ先生………
ホウ,ドフラミンゴのコートフサフサー
スイ,ドフラミンゴのグラサンカッコ悪いー
ドフラミンゴ,フフフ
サトシ,ははは、スイレンの妹は相変わらず元気だなー？
スイレン,や、やべてよホウ！スイ！殺されちゃうー！
ドフラミンゴ,……なかなかイキのいいガキ共じゃねェか？
スイレン,ごめんなさいごめんなさいごめんなさい！。そ、それでドフィ先生…いったい私に何の用が………
ドフラミンゴ,フフフ
サトシ,それは？
スイレン,シャボン玉？
ドフラミンゴ,……………
サトシ,黒いシャボン玉だ……
ドフラミンゴ,フフフ、スイレン、このシャボン玉を割ってみろ？
スイレン,？。！
サトシ,………割れない……
ピカチュウ,ピッカー
ドフラミンゴ,フフフ。武装色の覇気を纏ったシャボン玉だ。訓練次第ではどんな砲撃でも割れる事なく、尚且つシャボン玉の特性を持ったままにもできる
スイレン,！？
サトシ,またハキってやつかー！すっげー！
スイレン,(こ、これなら私の夢も…)。あ、あの…ドフィ先生…く、訓練すれば私やアシマリにも……
ドフラミンゴ,フフフ、ああ…できる！
スイレン,！？。ドフィ先生！私にも覇気を教えてください！
ドフラミンゴ,フフフ、当然さスイレン？
サトシ,やったな！スイレン！
スイレン,うん！
サトシ,よっしゃ！ドフィ！それじゃ早速帰って特訓を……
ドフラミンゴ,……………サトシ、スイレンの横に立て
サトシ,？
スイレン,？
ドフラミンゴ,………フフフ
サトシ、スイレン,！？
サトシ,！？。ドフィ！な、なんで俺とスイレンの腕を糸で縛って！
スイレン,あ…
ドフラミンゴ,フフフ、プレゼントさスイレン
スイレン,………え？
サトシ,ドフィ！糸を解いてくれよ！
ドフラミンゴ,………フフフ、さて、おれは帰るとするか
サトシ,！？
ドフラミンゴ,安心しろ、明日には解いてやる
サトシ,ふ、ふざけんなよ！
スイレン,ぁ……
ドフラミンゴ,フフフ。じゃあな
サトシ,お、おい！ドフィ！待って！待ってくれよ！
スイレン,(ドフィ先生…一生ついていきます！)
サトシ,おい！マジでシャレにならないよこれ！
ピカチュウ,ピカー……
ドフラミンゴ,(まずはスイレンがオチたな)
ホシ,な、なにこれ！？体が勝手に…
カキ,ホシぃ/////
ドフラミンゴ,フフフ。リーリエ、お前ポケモンに触れねェらしいな？
リーリエ,そ、そんな事ありません！論理的結論からいいますと……
ドフラミンゴ,フフフ
リーリエ,！？。か、体が勝手に……
ダストダス,ダーストダース
リーリエ,ぎぇぇぇぇー！！。ひ、ひぃぃぃ！か、体が言う事を………
ダストダス,ダー？
ドフラミンゴ,フフフ
リーリエ,
ドフラミンゴ,……ちっ！気絶しやがったか
マーマネ,……………
ドフラミンゴ,おい、何をやってるマーマネ？
マーマネ,あっ、ドフィ先生！
スカル団,おやおやー？スクールのおデブちゃんじゃないっスカー？
ドフラミンゴ,！
マーマネ,……………。いこう、ドフィ先生
ドフラミンゴ,…………………
スカル団,な、なんスカ！？
ドフラミンゴ,…………五色糸！…
スカル団,ぎゃっ
マーマネ,！？
ドフラミンゴ,………こいつらとは短けェ付き合いだが………。おれはおれのファミリーの悪口を言う奴は許さねェ！
マーマネ,……ドフィ先生…
トゲデマル,マルー
ドフラミンゴ,フフフ
サトシ,おいドフィ！昨日のはどういう事だよ！
ピカチュウ,ピカー！
ドフラミンゴ,………………
スイレン,ドフィ先生！
カキ,ドフィ先生！
マーマネ,ドフィ先生！
リーリエ,若！
ドフラミンゴ,フフフ
サトシ,！？
マオ,(な、なんなのみんな……あいつを慕って……)
ドフラミンゴ,……フフフ、おいマオ
マオ,！？。ひ、ひぃぃぃ！
アママイコ,アマー！
ドフラミンゴ,……………
サトシ,お、おい！マオ！
ドフラミンゴ,フフフ、サトシ
サトシ,！
ドフラミンゴ,マオはおれに任せろ
マオ,うぅ……みんなおかしいよ！こうなったら島キングのハラさんに頼んで…。うあっ！
アママイコ,アマー！
マオ,いたた……いったい何が…
ドンカラス,………………
マオ,…………ドンカラス……
ドンカラス,カー！
マオ,！？
ヤミカラス,カー！
マオ,な、仲間のヤミカラスの群れを呼んだ……
アママイコ,アマ……
ドンカラス,カー！
マオ,や、やられる！。……………え？
ドフラミンゴ,……………フフフ
マオ,ど、ドフィ先生……
アママイコ,アマ……
ドンカラス,カー！
ドフラミンゴ,…………………。失せろ
ドンカラス,！？。………ｶｰ
マオ,ど、ドンカラス達が逃げてく…
ドフラミンゴ,フフフ、大丈夫だったかマオ？
マオ,ど、ドフィ先生…。うわぁーん！死ぬかと思ったよー！
アママイコ,アマー！
ドフラミンゴ,フフフ、おれたちはファミリーだ？助けにくるのは当然さ？
マオ,うわぁーん！ドフィ先生ー！
ドフラミンゴ,フフフ
スイレン,ドフィ先生！バルーンの練習みて！
ドフラミンゴ,フフフ、ちょっと待ちな？
カキ,ドフィ先生！家でとりたモーモーミルクです！
ドフラミンゴ,ご苦労
リーリエ,若！肩をおもみします！
ドフラミンゴ,気持ちいいぜリーリエ？
マーマネ,ドフィ先生！今度美味しいアイス屋に……
マオ,ドフィ先生！私の新作料理を………
ロトム図鑑,ドフラミンゴ…凄い人気ロト……
サトシ,だな。なぁドフィ！俺の覇気の練習問も見てくれよ！
ロトム図鑑,サトシ！
ドフラミンゴ,フフフ…フッフッフ…。まったく笑いが止まらねェぜ！
ライチ,………怪しい奴、いったい何の用？
ドフラミンゴ,フフフ、サトシ達から聞いたぜ？この島にいるんだろ？アーカラ島の守り神"カプ・テテフ"。さっさと出しな？
ライチ,……………。ねえ、いったいコイツはなに……
サトシ,ライチさん！ドフィをカプ・テテフに会わせてやってくれ！
マオ,お願い！ライチさん！
ライチ,………………。アンタ、この子達に何したの？
ドフラミンゴ,フフフ、とんだ言いがかりだぜ？おれは何もしてないさ？
ライチ,………ルガルガン
ルガルガン,ガルッ！
ドフラミンゴ,フフフ、やっぱそうなるか島クイーンライチ…。なら、おれもポケモントレーナーらしくポケモンバトルでケリをつけるとするか？
カプ・コケコ,………………
ライチ,カプ・コケコ！？
ドフラミンゴ,フフフ、こいつはおれの大事なパートナーさ？
ライチ,っ…………！。くっ！ルガルガン！
ルガルガン,ガルッ！
ドフラミンゴ,フフフ、カプ・コケコ
カプ・コケコ,……………
ライチ,(なに！？カプ・コケコの体が黒く！？)
スイレン,カプ・コケコが武装色を纏った！
カプ・コケコ,…………
ルガルガン,ガルッ…
ライチ,ルガルガン！
ルガルガン,……ガル…
ライチ,ルガルガンが一撃で…
ドフラミンゴ,フフフ
ライチ,…………
ドフラミンゴ,！
カキ,ドフィ先生！Z技がくるぞ！
ドフラミンゴ,…………ほう？。……でけェな？藤虎の隕石を思い出すぜ
ライチ,くらいな！
ルガルガン,ワオーン！！
サトシ,ドフィー！！
ドフラミンゴ,………………。超過鞭糸！！
ライチ,！？。…………な……
ルガルガン,ガ………
ドフラミンゴ,フフフ
ライチ,！
ドフラミンゴ,さァ、カプ・テテフのところへ案内してもらおうか？
ライチ,………………
カプ・テテフ,テフテフー
ドフラミンゴ,あれが守り神カプ・テテフ…
ライチ,……カプ・テテフは無邪気で残酷な守り神よ？気をつける事ね？
ドフラミンゴ,………………
カプ・テテフ,テフー！
ドフラミンゴ,！
リーリエ,若！サイコショックです！気をつけてください！
ドフラミンゴ,………………
リーリエ,若ー！
ドフラミンゴ,…………フフフ
カプ・テテフ,！？
マーマネ,武装色硬化だ！
ドフラミンゴ,このおれを相手に…無邪気で残酷か、気に入ったぜカプ・テテフ
カプ・テテフ,…………テ……
ドフラミンゴ,カプ・テテフ！おれと来い！お前にはハートの席を用意してある！
スイレン,アシマリ！バルーン！
アシマリ,アウ！
サトシ,おっ！だいぶ武装色硬化のバルーンができるようになったなスイレン！
スイレン,えへへ////
マオ,アママイコ！
アママイコ,アマー！
マオ,やった！
ドフラミンゴ,フフフ、あの大木を倒すとは……１ヶ月でこれとは上出来じゃねェかマオ？
マオ,あ、ありがとうございます！
マーマネ,トゲデマル！武装色硬化！
トゲデマル,マルー！
カキ,バクガメス！こっちもだ！
バクガメス,ガメス！
ドフラミンゴ,フフフ
リーリエ,ふふっ、みなさんすご……。！
ドフラミンゴ,！。どうしたリーリエ？
リーリエ,た、大変です若……。海岸からたくさんの"声"が！
ドフラミンゴ,！？
サカズキ,ここか…ドフラミンゴを目撃したっちゅう島は…
つる,……で、どうするんだい？
サカズキ,………当然ドフラミンゴもドフラミンゴを匿ってるっちゅう島も根絶やしじゃ！。やるんなら徹底的にだ！
イッショウ,………………
ドフラミンゴ,………………
リーリエ,若……
サトシ,どうしたんだよリーリエ！ドフィ！
ドフラミンゴ,……………お前らはここにいろ
全員,？
サカズキ,！。ふんっ。自分から出てくるとは…随分気前がいいのう？ドフラミンゴ
ドフラミンゴ,フフフ…
スイレン,あああ……
サトシ,スイレン！
リーリエ,うぅ……
マーマネ,う、動けな……
マオ,う………ぁ……
カキ,重力か……
イッショウ,………………
サトシ,お前っ！。ピカチュウ！武装色硬化アイアンテール！
ピカチュウ,ピ！。ピ！？
イッショウ,…………
サトシ,か、片腕で……
イッショウ,すいやせんね……あっしも仕事なもんで
サトシ,うっ……
ドフラミンゴ,カプ・コケコ！カプ・テテフ！
カプ・コケコ,……………
カプ・テテフ,テフー！
サカズキ,……守り神か…。ドフラミンゴ…貴様こんな島に逃げ込んで何を考えちょる？
ドフラミンゴ,フフフ
イッショウ,……まだやるんですかい？
サトシ,………当たり前だ！
ピカチュウ,ピ！
イッショウ,………ふっ…
サトシ、ピカチュウ,！
イッショウ,目ェ…閉じなきゃ良かったな…アンタらの顔を見てみたい
サトシ,え？
ピカチュウ,ピ？
イッショウ,……………
サトシ,サイコロ……？
ドフラミンゴ,…………………
つる,ほらっ、この島も見納めだ。行くよ、ドフラミンゴ
ドフラミンゴ,………………。！
サトシ,行かないでくれよドフィ！
ピカチュウ,ピカー！
スイレン,ドフィ先生をつれてかないで！
マオ,ドフィ先生！
マーマネ,先生ー！
リーリエ,お金ならいくらでも出します！だから若を………！
カキ,お、俺もだ！だから………
つる,………こりゃァ盛大な見送りだ
ドフラミンゴ,………フフフ。耳障りなガキ共だ。行こうぜ？おつるさん
つる,…………………
サトシ,ドフィ…………
ドフラミンゴ,………なァおつるさん…インペルダウンに着いたら新聞を毎日差し入れしてくれよ？
つる,！
ドフラミンゴ,………フフフ、いつかアイツらの記事が載る………そう思うと退屈しねェ
つる,……………。考えておくよ
ドフラミンゴ,フフフ、おつるさんには敵わねェな？
全員,…………………
スイレン,ドフィ先生…もう帰ってこないのかな？
マーマネ,死刑とかになってないよね！？
カキ,マーマネ…
マオ,え、縁起でもない事言わないでよ！
リーリエ,そ、そうです！
マーマネ,ごめん………
サトシ,………………。ドフィ………
ピカチュウ,ピー………
全員,！
ナリヤ,みんな！席につきたまえ
サトシ,校長……
ナリヤ,ドフラミンゴ先生の事は誠に残念だっタマタマ。今日は、ドフラミンゴ先生の代わりにまた新しい先生を紹介するぞ？
サトシ,新しい先生？
ナリヤ,入ってきたまエンテイ！
全員,！
クロコダイル,今日から君らの担任になるクロコダイルだ。よろしく頼むよ愚民共？
サトシ,あ、新しい先生って……
スイレン,あの人……？
マオ,………愚民って…………
クロコダイル,…………不服か……？
全員,！？
