女勇者,まぁ、魔王も倒しちゃったし、いらないって言えばいらないかな
商人,いらっしゃいいらっしゃい！あの勇者一行の武具だよ！勇者様直筆鑑定書つき！。長い旅の間に使われたありとあらゆる武具が揃ってますよ！。プレミア間違いなし！１００年後には伝説の遺産となること請け合い！さあ、買った買ったー。ありやとやす！ありやとやす！。よし、よし、いい売れ行きだ。旅立ち当初の棍棒とかがこんな値段で売れるなんてなぁ。わ、私の使ってたものだけ売れない・・・・・・。あ、あのこれなんてどうです？。・・・・・・
武具屋,な、なんだよあいつ・・・・・・。おかげでこっちにゃまったく人こねーじゃねーか。あのやろう・・・・・・。ま、まぁいつも人なんて来ないが・・・・・・許せん！。おうおうおう！商人てめぇ！
商人,あ、いらっしゃい武具屋さん
武具屋,いらっしゃいじゃねーよ！
商人,どうかしましたか？
武具屋,てめぇのおかげでこっちは商売あがったりってんだ！
商人,ちょ、ちょっと、それは違いますよ
武具屋,なにがちがうんでい！
商人,客層が違うんです。私は斬ったり体を守ったりするための武具を売っていません
武具屋,なに！？
商人,みなさん、インテリアや価値が上がるまでの投資として買ってる方がほとんどでしょう。私もそのつもりで売ってます
武具屋,うっ、うぐぐ・・・・・・
商人,ですから、武具屋さんは安心して斬ったり守ったりするための武具を売ってください
武具屋,そ、そんなことで騙されるか！お、おれはなぁ！
商人,な、なんですか
武具屋,俺はうらやましいんだよ！！
商人,な、なんと正直な・・・・・・・
武具屋,俺にも美味しい汁すすわせろ！
商人,そういわれましても
武具屋,じゃ、じゃあこうしよう。俺のところの武具を勇者様が使ったってことにして売ればいい
商人,はぁ！？
武具屋,在庫は山ほどあるし、追加だっていくらでもきく。そんな数に限りのあるもん叩き売りしてちゃ、商売として続けていけねーだろ？。どうよ！？
商人,う～ん・・・・・・
武具屋,頼むって！なっ、なっ！
商人,お断りします！
武具屋,なっ・・・・・・
商人,あなたも商売人としてそれが犯罪なのはお分かりでしょう
武具屋,うっ・・・・・・
商人,詐欺を働くつもりはありません。お帰りください
武具屋,お、覚えてろ！てめぇ絶対後悔するからな！
商人,はい、私は記憶力はいい方なので
武具屋,くっ、くそっ！
商人,ふぅ・・・・・、まったく。じゃあ、商売続けますか。安めの武器はそこそこ売れましたかね。では、防具を売っていきますか。えっ・・・・・・。え、ええ。じゃ、じゃあこれが勇者の着ていた布の服・・・・・・。はっ・・・・・・？。ま、まぁ生身につけてましたけど・・・・・・。えっと、戦士の来ていた危ないビキニ・・・・・・。え、えっと・・・・・・僧侶の来ていた水の羽衣・・・・・・。ど、どうしましょう・・・・・・こんなつもりはなかったのですが・・・・・・。ええい！私も商売人の端くれ！そして一人の男！分かりました！皆さん！。オークションだああああああああああああ！
武具屋,町長！町長！
町長,なんですか騒がしい
武具屋,俺だよ！俺
町長,俺俺詐欺はお断りです
武具屋,いや、俺だって
町長,なんですか、武具屋さん
武具屋,いや、最近ここで商売してる商人のことでよ
町長,ああ、あの方ですか。随分繁盛なされているようですね
武具屋,おう、それよそれ
町長,だからなんですか
武具屋,あいつ伝説の武具なんかもいっぱい持ってるらしーじゃねーか
町長,そのようですね。ただ、それは普通に買える様な値段ではないようですけど
武具屋,俺思ったんだよ。あいつの売ってるもんってよ。すげー貴重品なんじゃねーかって
町長,それは魔王討伐の勇者様達のものだったんですから当然でしょう
武具屋,だろ？それをあの商人あっちへこっちへ売りまくりやがってよ
町長,それがなにか？
武具屋,あれはもっと大事にしなきゃいけないもんだろうってことだよ
町長,大事に？
武具屋,そう！王国でも先王やかつての英雄達の遺産を大事にしてるじゃねーか
町長,ええ、王国博物館ですね
武具屋,おう！それよそれ！あいつの持ち物って一種の国宝じゃねーの？勝手に売っていいのかよ
町長,た、たしかに・・・・・・
武具屋,町長からも言ってやってくれよ。お前の持っているのは売っていいようなものじゃないぞって
町長,わ、分かりました
武具屋,頼んだぜ！
町長,ところで武具屋さん、さっきから貴方が被ってるそれはなんですか？
武具屋,はっ？これは勇者ちゃんのパ・・・・・・いや、なんでもない
商人,やれやれ、１ヶ月でこれだけの売り上げならまずまずでしょうか。長い旅でしたからねぇ・・・・・・。まだ結構売れるものが残ってますね。この町はこの辺りで、別の町にいってみますか
町長,ちょっと商人さんよろしいでしょうか
商人,あ、町長。これはお世話になっております
町長,いえ、今日はお願いがあってきたのです
商人,お願い？
町長,あなたの売っているものは勇者様達の武具だそうで
商人,ええ、まぁ道具もありますけど
町長,それをまとめて寄付する気はございませんかな？
商人,え？
町長,それは今後勇者様達の遺産として後世に残していかなければならないもの。そのような貴重な品はぜひ博物館に展示なされては
商人,いや、しかし、これは私が勇者達から買い取ったものでして・・・・・・
町長,ではその買い取った値段をお支払いしましょう
商人,町長さん、よく聞いてください。これを私が買い取ってなければおそらくこれらは倉庫の錆となっていたでしょう。それを皆さんに喜んでもらえるものとしてこうして売ることはその商品自体の存在価値を高めるものです。それこそ有効利用というものではないですか？
町長,博物館なら大勢の人に見てもらえます。それにメンテナンスも一般の方よりはしっかりできるでしょう。ぜひ！売っていただきたい！
商人,しかし・・・・・・これを買値で売ってくれとは商売をご存じないとしかいいようがありません・・・・・・。私も商売人ですので・・・・・・
町長,では、いかほどでしたら？
商人,えっと、このくらいでしょうか
町長,！！？。ば、馬鹿にするのもたいがいになさい！！！バチあたりにもほどがありますぞ！！。こ、これは世界を買えるほどの値段ではございませんか！！
商人,その通り。勇者たちはこれだけの価値のある仕事をしたのです
町長,むぐぐ・・・・・・。皆のもの！！
武具屋,おせーよ、町長。わりーけど、その商品は置いていってもらうぜ
商人,あなたでしたか
武具屋,俺と組んでればこんなことにはならなかったのによ
町長,申し訳ないが、こうなれば世の中のため、商人さん。あなたには泣いてもらう
商人,ふぅ・・・・・・私手荒なことは苦手なんですが・・・・・・
武具屋,や、やろうって言うのか。この人数相手に
商人,こう見えても私も勇者達と魔王を倒した一人ですよ
武具屋,ま、丸腰で何言ってやがる！
商人,だって、私が使ったらこれらの商品価値が下がってしまうじゃないですか
武具屋,地獄で言ってろ！
町長,あ、余り乱暴にしてはいけませんよ！
武具屋,わぁってるって！ころさねーよ
商人,はぁ、仕方ないですね
武具屋,うぐっ・・・・・・
町長,な、何を！？
商人,ちょっと気絶してもらったです
町長,わ、私達をどうするつもりだ
商人,私も商売人として修羅場はくぐってきているつもりです。でも暴力は嫌いなのでこの辺で
町長,ごほっ、ごほっ・・・・・・煙幕！？
商人,ではごきげんよう！。はぁ・・・・・・失敗したなぁ。敵を作るつもりはなかったんですけどねぇ。それに最後の方はいけないランジェリーショップみたいになってしまいましたし。やっぱり狙うのは王族か富豪ですかね。では、次はあそこあたりですかね。大物を狙ってみましょう。ここなら富豪なんかも集まっているでしょう。とりあえずここにきたならまずカジノにご挨拶しておきますかね。さて、支配人さんはどこでしょう。ん？
勇者,ちょ、ちょっと待って！次！次買ったら返すから！
黒服,何を言っているんですか？あなたは我々にこんなに借金があるんですよ？
勇者,だから次買ったら返すからぁ！お・ね・が・い♪
黒服,可愛く言っても駄目です。さぁ、こっちへ
商人,あれ？なんか幻が見えてる・・・・・・。あれ？目がおかしいなぁ
勇者,お願い！許してぇー！
黒服,さぁ、こちらへ
勇者,わ、私をどうする気？
黒服,地下で働いてもらうことになるでしょうね
勇者,ち、地下！？
黒服,勇者様なら高値で買われるでしょう
勇者,私を売るの！？や、やだ！
黒服,力ずくですか？自分で作った借金なんですよ？
勇者,うっ・・・・・・
黒服,大丈夫です。勇者様ならすぐ買い手がつきます。それに子供を欲しがる富豪の方も多いでしょう
勇者,こ、子供！？
黒服,優秀な遺伝子を残したいというのは動物の本能でしょう？勇者様の遺伝子となればそれはもう高値で
勇者,や、やだ！助けて！
黒服,ご安心を２，３人も産んでいただければ借金は返せるでしょう。では、勇者様地下へご案内ー
勇者,ちょっ、ちょっとーたーすーけーてー
商人,はぁ、ほんとに勇者さんですか・・・・・・
勇者,しょ、商人！助けてよー。この人たち酷いんだよ！
商人,何でこんなことになってるんですか・・・・・・
勇者,それは・・・・・・
商人,あの時のお金はどうしたんですか？
勇者,遊んで暮らせるって言ったでしょ？だから遊んで暮らしてたんだよ！。なのにカジノで遊んでたらどんどん減っちゃって！。いつの間にかなくなっちゃったんだよ！酷いでしょ。この人たち
黒服,勇者様のお知り合いですか？
商人,いえ、なんか人違いでした
勇者,ちょっと！商人！お願い！待って！ま、待ってくれないと商人の恥ずかしい秘密ばらすよ！。商人はねー！宿屋で私達と一緒の部屋のときねー！
商人,ちょっ！！
勇者,えへへ、戻って来てくれた。商人はやさしいなぁ
商人,はぁ・・・・・・王様とかに相談すれば多少の借金くらいは何とかしてくれたんじゃないですか
勇者,そ、それは・・・・・・
黒服,王様からの借金はこれだけになっております
商人,わおっ・・・・・・
黒服,そして我々に対する借金がこれ
商人,oh・・・・・・
黒服,我々も本来こんなことはしたくありませんが、これも商売ですので
商人,商売・・・・・・。いいでしょう。私の土壌ですね
黒服,何とかできると？こちらは出るところに出て判断をあおいでもいいのですよ
勇者,商人たすけてー
商人,もう勇者さんは黙っててください
勇者,はい・・・・・・
商人,まず、この金利ですが、明らかに法定金利を超えていますね
黒服,そ、それはこのカジノ内でのルールで・・・・・・
商人,しかも、ここ。２重で金利をかけています。しかも明細が不明な借金がこことここに
黒服,うっ・・・・・・
商人,ですので、実際の借金はこれくらいではないですか？
黒服,な、何を・・・・・・
商人,違いますか？
黒服,うっ・・・・・・
商人,そして勇者さんが使った借金がこれだけ。これをお返ししますのでそれでチャラにしませんか？
黒服,き、金利は！
商人,違法の金利、しかも２重、不明金。出るところに出てもいいんですよ？
黒服,くっ・・・・・足元を見て・・・・・・
商人,いかがです？それなら即金でお支払いしましょう。公にこれを晒して何も取れなくなるよりはマシではないですか？
黒服,わ、分かりました
商人,では借用書をいただきます
黒服,これです
商人,ではこちらが代金です
黒服,ではこれにて
勇者,商人！それやぶいちゃって！
商人,は？何を言っているんですか？これは私が買い取ったんです
勇者,え、ええ！
商人,お金はしっかり返してくださいね
勇者,な、なんで！？
商人,いや、当然でしょう？勇者さんが使ったお金なんですよ？。別に金利を取ろうとはいいませんし、時間がかかってもいいですから返してください
勇者,そ、そんなお金ないよ！
商人,それでも借金は借金です。では、私は行くところがあるのでこれで
勇者,ちょっ！ちょっと待って！そんなに無理だから！
商人,んー、もう、わかりませんか？私は勇者さんから金利も取りませんし、督促もしません
勇者,？
商人,用事があるからもう行くと言ってるんです
勇者,わからないよ！
商人,だーかーらー！私は勇者さんから借金を取り立てたりしないって言ってるんですよ！
勇者,じゃ、じゃあ借金はなし！？
商人,なしじゃありません！もうこんなことないようにしっかりしてください
勇者,じゃあ返さないといけないじゃん
商人,その気持ちでちゃんと働いてくださいね。それじゃ
勇者,だ、駄目！
商人,は、離してください。なんか金運が逃げていく気がします
勇者,借金ならちゃんと返すよ
商人,そうですか。ではがんばってください
勇者,だ、だから・・・・・・
商人,？
勇者,だからお金貸して？次は勝つから
商人,駄目だこの女・・・・・・・はやくなんとかしないと
勇者,いいでしょ？ねっ、ねっ？
商人,絶対駄目です！ギャンブルも禁止！
勇者,えー、じゃあどうやってお金返せばいいのー
商人,返す気で働いてくださいってことです。ほんとに返さなくてもいいですから！
勇者,それは駄目だよ。商人に悪いもん
商人,いいですから、ほんともう。それじゃ
勇者,だめっ！
商人,なんですか、もう
勇者,わ、私働いたことないし・・・・・・
商人,あー、そういえばそうですね。んーっ
勇者,だ、だから・・・・・・
商人,じゃあ実家に帰ればいいじゃないですか。うんっ、それがいいです
勇者,いやだよ！お母さんうるさいし
商人,若いうちに孝行はしておけと言いますよ
勇者,もうしたもん
商人,いや、確かに世界救いましたけど・・・・・・
勇者,じゃあ、体で払う
商人,ぶっ！
勇者,体で商人に借金払うから
商人,げほっ・・・・・・げほっ・・・・・・何言ってるんですか！
勇者,んふふ、知ってるんだよ。商人が宿屋で私達が着替えてるとき、チラチラこっち見てたの
商人,ちょっ！！
勇者,それに私達が部屋にいないとき一人で・・・・・・
商人,わーーー！わーーーー！
勇者,だから商人欲しいでしょ。私の体
商人,駄目です！
勇者,えー、なんでー
商人,それじゃ私はさっきの黒服と同じじゃないですか
勇者,あ・・・・・・
商人,私はお金で勇者をどうこうするつもりはありません。勇者はちゃんと働いてください。働き方が分からないというならちょっと私のところで働いてみればいいでしょう
勇者,ほ、ほんと！？
商人,リハビリが終ったら普通のところで働いてください
勇者,リハビリって・・・・・・ひどい
商人,分かりましたか？こっちが売る値段表、こっちが買う値段表
勇者,う、うん
商人,返事ははい！です。勇者さんは見習いなんですから
勇者,えー
商人,給料下げちゃいますよ
勇者,は、はい！
商人,よろしい
勇者,商人のくせに・・・・・・
商人,何か言いました？
勇者,ううん！
商人,うーん、あとちょっと変装しておいたほうがいいですね。ほらっ、これ被って
勇者,うわっ、なにこのフード
商人,勇者さんが自分で売ってるなんて価値が下がってしまいますからね
勇者,そういうものかな
商人,では私は商談がありますので、出かけます。お願いしますね
勇者,は、はい。は、働くの初めて・・・・・・。い、いらっしゃいませぇ・・・・・・。い、いらっしゃいませー。お客さんこないなぁ。あ、いしゃしゃいまふぇ。あうあう。は、はい。そう！あの超絶かわいくて、超絶かっこよくて、超絶モテモテの勇者様のだよ！。あ、それは１つ目のダンジョンの奥で見つけたやつだよ。結構長く使ってた。それは魔物が持ってたやつで見た目は悪いけど切れ味はいいよ。え、あっ、という話を聞いたんです。えっと、じゃあ値段表はどっちだっけ・・・・・・んーっ、これ。うん、そうみたいだけど・・・・・・。は、はい
商人,はぁ、どうしよう。勇者さんアレ絶対疫病神だよ。前儲けたお金が消えてしまった・・・・・・。ついつい雇っちゃったけど・・・・・・うーん。おいてっちゃおっかなぁ。絶対金運下がる・・・・・・。しかし、勇者さん生活力ないから一人じゃ厳しいかもなぁ。実家帰ればいいのに・・・・・・
富豪,貴重な品を売りたいとな？
商人,はい
富豪,ほぅ、見せてみよ
商人,こちらでございます
富豪,こ、これは
商人,これこそは勇者が魔王軍との戦いで使いし剣。振れば疾風、突けば稲妻のまさに伝説の剣でございます
富豪,お、おお・・・・・して、そなたは？
商人,勇者とともに旅をした商人でございます
富豪,なるほど、偽者ではなさそうだな
商人,勇者から直々に渡された品でございます
富豪,して値段は？
商人,こちらで
富豪,こ、これは、いや、しかし、高すぎではないか？
商人,この値段は世界の平和の値段。そしてそれを買われる富豪様の価値となりましょう
富豪,ほ、ほほぅ
商人,世界を平和に導いたこの武具を持っているだけで、社交界などでの立場もあがりましょう
富豪,ほ、ほんとうか！
商人,はい。そしてこれを持っているということは世界の平和に貢献した証でもあるのです
富豪,おお
商人,清廉潔白、人望にも厚い富豪様にはぴったりのお品でしょう
富豪,うむっ！買った！
商人,ありがとうございます！。やれやれ、やっと一つ売れました。勇者さんは頑張ってますかね
勇者,あ、商人！！
商人,勇者さん。お店番ご苦労様でした。どうでしたか？
勇者,ほらっ、渡されたのは全部売れたよ！
商人,どれどれ、ほほぅ、これは
勇者,はい、これお金
商人,・・・・・・。これは、勇者さん売値と買値間違いましたね・・・・・・。うむむ・・・・・・怒っては駄目です・・・・・・ぐぬぬぬ。ゆ、勇者さん・・・・・・
勇者,うん！
商人,よ、よくやってくれました。勇者さんは出来る子ですね
勇者,えへへ
商人,褒めて育てる・・・・・・褒めて育てる・・・・・・損して得とれ・・・・・・
勇者,サービスにもう一個つけたらすごい勢いで売れたんだよ！
商人,！！？
勇者,どうしたの？
商人,こ・・・・・・こ・・・・・・
勇者,？
商人,ハァーハァー！
勇者,ん？
商人,・・・・・・今日はもう休みましょう。疲れました
勇者,うんっ！
商人,二部屋お願いします。一人になりたい・・・・・・私は貝になりたい
勇者,えー、もったいないよ。いつもみたいに一部屋でいいよ
商人,いえ、あの、勇者さん
勇者,一部屋でお願いします
宿屋,あいよ。お楽しみください。うひひひひ。はい、カギ
勇者,どーも。さ、いこ
商人,・・・・・・
勇者,あれ？商人もう寝ちゃうの？
商人,ええ、疲れましたので
勇者,えー、お風呂はー？
商人,結構です
勇者,んふふー、背中流してあげようと思ったのにー
商人,結構です
勇者,ほらっ、見て見て商人
商人,ん？
勇者,ほらほらっ、下着姿
商人,はぁ、もう。勇者さんももう子供じゃないんですからそういうことやめてください
勇者,えー
商人,私だって男なんですよ
勇者,知ってるよー
商人,だからそういうことは・・・・・・
勇者,みたっしょ？
商人,な、何を？
勇者,んふふー。今みたっしょ？ちらっと
商人,し、知りません！
勇者,結構おっきいでしょ、ね
商人,お休みなさい！
勇者,あーあ、ほんとに寝ちゃった。つまんないのー。ふぅ、あれ？これって。経理簿？商人のかな。えへへ、商人の財産ご開帳ー♪なんちゃって。お・・・・・・おおー黒字だー。あ・・・・・・これ私の借金返したところでほとんど０に・・・・・・。！？。あ・・・・・これって私の今日の売り上げ・・・・・・あっ、売値と買値の表が・・・・・・。じゃ、じゃあなんで怒らなかったんだろう？。それどころか褒めて撫でてくれたのに・・・・・・。商人馬鹿なのかな？。ってそんなわけないか・・・・・。怒らないでくれたんだ・・・・・・。商人・・・・・・。ごめんなさい・・・・・・ごめんなさい・・・・・・。ありがとう・・・・・・商人
商人,んむぅ、むにゃむにゃ。褒めて育てるぅ・・・・・・
勇者,おやすみなさい。商人
商人,んぅ、朝か・・・・・・。んっ！？
勇者,むにゃむにゃ・・・・・・商人ー
商人,な、なんでこっちのベッドに勇者さんが・・・・・・。こ、この果実は・・・・・・い、いけないけない！。勇者さん！勇者さん！朝ですよ！
勇者,んーっ、あと５分ーむにゃむにゃ
商人,時は金なりですよ！勇者さん！
勇者,んーっ、あっ、商人！商人ー！
商人,ちょっ！パジャマで抱きつかないでください！
勇者,商人！私がんばるからね！商売がんばろうね！
商人,だ、だから色々やわらかいので抱きつかないでください
勇者,ぶー
商人,なんですか、これ・・・・・・昨日よりうっとうしくなってる・・・・・・。もう、いつまで腕に抱きついているんですか
勇者,いいじゃん。ねー、商人ー
宿屋,お客さん。昨晩はお楽しみでしたね？うひひひひひ
商人,楽しんでません！
勇者,楽しいなー。商人と商売楽しいなー
商人,まぁ勇者さんもちょっとは働くということがわかったでしょう
勇者,うん！私一生懸命働く！
商人,がんばってくださいね。ギャンブルなんてもう駄目ですよ
勇者,絶対しない！
商人,それはよかった。では見習いは卒業という事で
勇者,お・・・・・・おお！じゃあ今度から共同経営者ということに
商人,なんでそうなるんですか！
勇者,じゃあ私はこれからどうなるの？
商人,はい、これ昨日のお給料
勇者,え・・・・・・
商人,それだけあれば実家にも帰れるでしょう。それで今度は真面目に働いてください
勇者,こ、こんなの私もらえないよ！
商人,労働にはこうして対価が払われるんですよ。知りませんでしたか？
勇者,で、でも昨日私あんなに損を・・・・・・
商人,損？なんのことですか？昨日はもう儲かっちゃってウハウハですよ
勇者,・・・・・・
商人,もう、あなたの給料からも諸経費と指導料ってことで色々引いちゃったりしてね
勇者,でも赤字・・・・・・
商人,これも労働者の厳しさという奴ですよ。あはは。帰ったらこんな風に搾取されない所でがんばってくださいね
勇者,で、でも・・・・・・
商人,さて、私はこれで
勇者,・・・・・・
商人,あ、あの腕離して
勇者,・・・・・・なら帰る
商人,え？
勇者,・・・・・・商人と一緒なら帰る
商人,はっ？何言ってるんですか？
勇者,一緒に帰ってお父さんとお母さんに会ってくれるなら帰る！
商人,な、なんで私が一緒に行かないといけないんですか！
勇者,そ、それは・・・・・・ごにょごにょ///
商人,いや、ほんとお願いします。一人で帰ってください
勇者,もう馬鹿！何でわかんないの！
商人,わかりませんよ。なんで私が勇者さんの両親にあったりしないといけないんですか
勇者,だ、だったらついていく！
商人,はぁ！？
勇者,借金返すから！はい、これも返す
商人,それはお給料なんですからちゃんと受け取ってください
勇者,駄目！
商人,いや、ほんともう勘弁してください、ねっ
勇者,今朝も私の体見てたくせに・・・・・・
商人,はっ！？いや、あれはその・・・・・・
勇者,ほんとに見てたんだ
商人,うっ・・・・・・
勇者,商人に汚されちゃった・・・・・・
商人,何もしてません！
勇者,一緒ならまた見えるかも
商人,うっ
勇者,一緒についていっていい？
商人,あーもう！勝手にしてください
勇者,じゃあ一緒に商売するってことで、決まり！
商人,はぁ・・・・・・どうしてこうなった。あれから一週間、勇者さんもなかなか様になってきましたね
勇者,えへへ、でしょ！私褒められて伸びるタイプだから
商人,ほらっ、また顔が見えちゃってますよ
勇者,あ、そ、そうだった
商人,もっとフード深くかぶって。勇者さんとバレたら大変なんですから
勇者,そんな大変かなー？
商人,その証拠に私の装備してた武具はまったく売れません
勇者,それは別の理由なんじゃないかな
商人,そ、そうですか？
勇者,あ、げ、元気出して！
商人,でも勇者さんの武具の商品価値は顔を見せない方がいいでしょう
勇者,そっかな、この町で私遊んでたから結構有名なんだけど
商人,ま、まぁそこそこ売れましたから次の町に行きましょう
勇者,ほんとにこんな所なの？
商人,ええ、ここでいいです
勇者,でもこんな小さな村じゃお金あんまりないんじゃ
商人,別に私は勇者さんたちの武具だけ売ってるわけじゃありません。道具や食料なんかも売ってますし、特にこういった小さな村にはそれが必要なんですよ
勇者,へぇー
商人,流通がなくなっては村が困ってしまいますからね
勇者,それで商人が売りに行くんだ
商人,ええ、この村には昔、お世話になりましたから。定期的に来させていただいてます
勇者,商人はえらいねー
商人,あのー、腕そろそろ離してくれませんか？人に見られますし
戦士,ほらっ！声が小さいぞー！そんなことじゃあたしみたいに強くなれないぞー
商人,おや、あんな道場ありましたっけ
勇者,あっ！戦士だ！。おーい！戦士ー！
戦士,次は受身を行くぞー！・・・・・・ん？あ、勇者！それに商人じゃないか
勇者,ひさしぶりー
商人,お久しぶりです。戦士さん
戦士,お前ら悪い、今日の稽古はここまでだ。そんなこと言ってると強くなれないぞ。ははは、もうワンパクなガキばっかでね、困っちゃうぜ。んで、お前らどうしたんだ？それ。腕なんて組んじゃって
商人,いや、あのこれは、もうっ！離してください！
勇者,あー、ひどいー
戦士,何？お前ら付き合ってんの？
勇者,つ、付き合ってはいないけど・・・・・・///
戦士,まぁいいや。んで、ここには何をしに？
商人,道具屋食料を売りに来たんです。戦士さんは？
戦士,ここあたしの生まれ故郷なんだよ。だから戻ってきたってわけ。んで、あの時のお金で道場建てて剣を教えてるんだ
勇者,へぇー、でも剣は捨てるって言ってたのに
戦士,斬るための剣は捨てたよ。だから今は守るための剣を教えている
商人,守るための剣ですか。戦士さんらしいです
戦士,って言っても門下生はさっぱりなんだけどな
勇者,そういえば子供ばっかだったねー
戦士,んで、勇者はなんで商人と一緒なんだ？
勇者,それが商人に借金しちゃって、働かせてもらってるの
戦士,へ？マジ？
商人,ええ、まぁ。これ借用書
戦士,お、おい！なんだよこの金額。どうやったらこんなに借金できるんだ！？
勇者,それで商人ってば毎日私に無理やり奉仕させて・・・・・・
戦士,なっ・・・・・・
商人,ちょっ！！
勇者,借金で縛られてるからってあんなことやこんなことまで・・・・・・よよよ
戦士,商人！！てめぇそこまで堕ちたか！！
商人,く、苦しい・・・・・・。ち、違うます！
戦士,何が違うって言うんだ！
商人,わ、私がそんなことすると思いますか！？
戦士,えっ、そうだな・・・・・・うーん
商人,分かってくれましたか
戦士,思う！
商人,ちょっ！
戦士,なんか旅の途中お前がいやらしい目で見てたような気もする！
商人,うぐぐっ・・・・・・
勇者,せ、戦士やめて！
戦士,あちゃー、完全に白目むいてる
勇者,ご、ごめん
戦士,冗談なら冗談っていってよ。ったく。完全にギャンブルで借金こさえたお前が悪いんじゃないか
勇者,いやぁ、あはははは
戦士,笑ってごまかすな！
勇者,い、今はちゃんと商人と一緒に働いているんだから！
戦士,だったらそう言えよな。奉仕とか紛らわしいこと言うからだ
勇者,だいたいあってるよ
戦士,おーい、商人おきろー
商人,うう・・・・・ん。お師匠様・・・・・・今逝きます
戦士,死ぬな！
商人,はっ！ここは！
戦士,ふぅ！
勇者,戦士やりすぎだよ
戦士,お前が言うな！
商人,いたた、その様子じゃ分かってくれたみたいですね
戦士,悪かったな。まぁ休んでいってくれ
商人,そうさせていただいます。でも何で勇者さんあんなことを・・・・・・
勇者,だ、だって私の腕振り払って戦士ばっか見てるし・・・・・・
商人,え？
勇者,なんでもない！
商人,しかし、戦士さんほどの道場に子供だけとは厳しいですね
戦士,まぁな。何か目を引くものでもあれば違うんだろけどな
商人,目を引くもの？
戦士,ああ、そう神剣とか道場の看板になるようなものでも・・・・・・
