荻野,うっ……
利根川,な………！！。こいつ……まさか……！！。ジャドボ待ちだと………！！。ジャドーボールが来ると呼んで効果抜群のゴーストタイプを出してきよった………。逆にすごい………その発想………！！。そしてウザい……その接待………！！
左衛門,おい………マズくないか………？
山崎,あぁ………。一条さんの接待プレイは度が過ぎてる………これでは利根川先生は面白くない………
権田,盛り上げねば………我々で……！
左衛門,あぁ……やるしかない………。が……がんばれ……！
利根川,ぬ……
山崎,い……いけ……利根川先生…！
利根川,な……なに………？
権田,トドメを………！
中田,させ………！させ………！
利根川,なにをしとるんだ貴様ら………。気づかぬのか………！この接待プレイに………！。ガチでやっとると思っとるのか……！。………仕方ない………期待に応えるか…………。とりあえずサイキネで効果バツグンで体力を削り………最後の1匹対決にまで持っていこう………。あ……！
黒服達,あ……
利根川,しまった………。急所………出るか普通………2回連続…………！！
一条,さすが利根川先生……素晴らしい戦いでした…
利根川,か……勝ってしまった………波乱も起きずに………あっけなく………
左衛門,利根川先生………
黒服達,…………
利根川,部下の目の前だ……ここで喜ばなければ冷めたやつだと思われてしまう………さっきまで応援してくれてたんだからな………。答えねば……！その声援に……！。よくやったぞ………ひょうどう………！！
黒服達と一条,！！
利根川,今までは役立たずと思っていたが…………やれば出来るではないか………！！
左衛門,せ……先生…………
利根川,あとでアメでもくれてやろう………
山崎,う……うしろ………
利根川,最初いばるやはたくしか覚えていなかったお前が………成長したな……
兵藤,利根川………貴様…………！！
利根川,え……
兵藤,……………
利根川,か……会長………！！
兵藤,ワシの事をそんな風に思っておったのか………！！
利根川,ご………誤解です！！
一条,で…ではお先に失礼……！
兵藤,うるさい！！
利根川,がっ！
兵藤,制裁っ！制裁っ！
利根川,がっ！がっ！
