青年剣士,ソニックウェーブソード！
剣士,わわっ！。くそっ……なんて速さとスキの無さだ……全然近づけない！。切れ味も、俺が知ってる飛ぶ斬撃とはケタ違いだ！。こんなのまともに剣で受けてたら、剣がダメになってしまうかもしれない！。くそう……斬撃を飛ばす技がここまで進歩していたなんて！。…………。どうにか勝てたが……薄氷の勝利だった。相手のスタミナが尽きたところで間合いを詰め、かろうじて勝利……。こんなんじゃ、斬撃を飛ばす技に正面から打ち勝ったとはとてもいえない……。しかも、今日の相手は剣士としての格は俺よりずっと下だった。もし、俺と同じぐらいの格の相手だったら……俺は負けてただろう。――くそっ！。俺が必死で鍛錬してきた剣術とは、こんなもんなのか！？。やっぱり俺も飛ぶ斬撃を会得しなきゃ勝てないのか！？。ちくしょう……。試しに一度、俺も飛ぶ斬撃とやらが出せるかやってみようか。あくまで試しだ！試しなんだからな！。たしか……こうやって……こう！。で、できた……。できちゃった……。あんな軽くやったのに、木が数本切れてしまった……。自分でやってみて、やっと分かった気がする。こんな技、便利すぎるだろうが！。一度覚えたら、こればかり使いたくなるに決まってるだろうが！。自分の足で間合いを詰めて斬るなんざ、バカバカしくなるに決まってるだろうが！。それこそ、自分の足で走るのと馬に乗って走るぐらいの違いだ！。いや……それ以上かもしれないな。だけど――。俺はこう宣言してしまってる。もし斬撃を飛ばす技を使ったら、バッシングは免れないだろうなぁ……。結局お前も斬撃を飛ばすのかよ、ってヤジが飛んでくるに決まってる。どうすりゃいいんだ……。とりあえず、今の要領でゆっくり剣を振ってみるか。そうすりゃ飛ぶ斬撃の弱点が見えてくるかもしれないしな。……多分見えないだろうけど。そーっと……
斬撃,…………
剣士,うわっ！なんだこれ！？。斬撃を飛ばす振り方でゆっくり剣を振ったら――。斬撃が出来上がって、しかも止まったままになってる！どうなってんだこれ！？
斬撃,よう！
剣士,わっ！？。斬撃が……しゃべった！？。お前、いったいなんなんだ！？
斬撃,オレか？オレは斬撃さ
剣士,えぇと……魔物なのか？それとも召喚獣みたいなもんなのか？
斬撃,どっちでもない。斬撃“そのもの”さ
剣士,もうなにがなんだか……
斬撃,しっかし驚いたよ。まさか、オレを出す境地にまで達する人間が現れるとはねえ
剣士,お前を出す境地……？
斬撃,オレを出すには、いわゆる斬撃を飛ばさない剣技を限界まで鍛え。なおかつ、斬撃を生み出す剣の振りをゆっくりと行う必要がある。こんな条件満たせるような酔狂な奴、いるとは思わなかったよ
剣士,はぁ……。ようするに、早いうちから斬撃を飛ばす技を覚えて。それに頼りきりになってる奴には絶対出せないってことか
斬撃,さて！オレを出したからにはもうアンタに敵う剣士はいないだろうよ！。オレはどんなものだって斬れるし、射程も無限、頭だって冴えてるからな。アンタもだいぶ苦労しただろ？だが、やっと報われる時がきたんだ！
剣士,せっかくだけど……そうもいかないんだ
斬撃,どうして？
剣士,実は俺、斬撃を飛ばす戦術を否定しちまってるんだよ。あんなのは邪道だってな。だから、お前を使ってやるわけにはいかないんだ
斬撃,なるほど……
剣士,……すまないな。だけどお前を出せたことで、逆に決心がついた。俺はこれからも斬撃を飛ばさずにやっていくよ。そう遠くないうちに、飛ぶ斬撃にやられちまうだろうけどさ
斬撃,…………。アンタいいねえ……その頑固さ、気に入っちまったよ。オレは意地でもアンタの力になってやりたくなった！
剣士,え、だけど……
斬撃,ようはオレを飛ばさなきゃいいんだろ？だったら――
剣士,…………
若手剣士,このおっさん、たしか斬撃を飛ばす技は使わないって宣言してたはずだ。だったら……この距離から一方的に切り刻んでやるぜ！
審判,始めっ！
若手剣士,今日で引退させてやるぜ、おっさん！
剣士,斬撃っ！――俺を投げろっ！
斬撃,オーケー！。だりゃっ！
剣士,うおおおおおっ！
若手剣士,うわぁぁぁっ！？。うげっ……！。ま、まさか……斬撃が、剣士を飛ばすなんて……
剣士,俺の勝利だ！
斬撃,やったな！。で
