儀式,ゆ、許された……
デスガイド,……。ああ、世界が……世界が壊れていくデス……。今までの歴史を代償に進退窮まったインフレ環境を全て壊す(？)んデスね。マナ的な概念が無いから他のカードゲームと違い色的な枠組みに囚われ辛く、自由な発想でデッキを組めて。また1ターン目から派手に動き出す事が出来るスピーディーな内容が遊戯王OCGの特色だったんデスよ。これ、その特色を真っ向から叩き潰してないデスか？ほぼリンク召喚強制じゃないデスか、自由度大幅低下デスよ。特色を失ったら他のカードゲームに押し潰されたりしないデスか？
タイグリス,よくわかんないや！
デスガイド,リンク召喚をしないとエクストラからモンスターを並べられないデス。だからエクストラゲーが抑圧され、先攻制圧が難しくなる……それでも、それでもデフレするならまあ仕方なくも無いんデスかね……
真竜,マジで！？やべぇ！ｗｗｗｗｗｗｗｗｗ
帝,エクストラ使えないとかマジつれぇー！ｗｗｗｗｗｗｗｗｗｗ
クリフォート,こりゃあ先攻制圧は無理だなぁ！ｗｗｗｗｗｗｗｗｗｗｗ
Kozmo,誰だよこんなルール作ったの！ｗｗｗｗｗｗｗｗｗｗｗｗｗｗｗ
インフェルノイド,芝刈り不可避
青眼,空から降る一億のキサラ。。。もぅマヂ無理。儀式しょ・・・
デスガイド,…………。ちなみに、ペンデュラムモンスターをエクストラから出すのもリンクモンスター必須というのが確定したみたいデスよ
クリフォート,ぐあああああああああああああああああああああぁぁぁぁぁぁぁぁぁぁ！！！！！
真竜,ペッ、雑魚が
デスガイド,数多のアニメ再現を不可能にし、多大な犠牲を払ってデフレ……。さて。本当に出来てるんデスかね？。ねえ、デコード・トーカーさん。…………。デフレなんて無かったんデス！！！インフレ万歳！！！素晴らしいデスね！！！！！
クリッター,やったな！！！！！
デスガイド,融合エクシーズシンクロがリンクに変わっただけで何も根本が変わってないデスね！！！！！！。リンク召喚とかいう新要素でインフレ環境を抑圧するなら我慢出来たんデスけどね！！！デフレする気ゼロデスね！！！！！。ルール改悪で過去のエクストラ集団切り捨てたのは一体何だったんデスかね！！！？
タイグリス,えっ？でもデコード出すのに3枚も使うから、リリースするコストが足りないんじゃないの？
デスガイド,コストが足りない……ああ、確かにそう見えるかもしれないデスね。それは、今現在しか見てないからそう見えるだけデス。どうせその内、リンク召喚しながらコストや素材をバンバン並べてくるカードが出てくるんデスよ。杞憂だ考え過ぎだとか抜かしてる奴は！！！モルモラットの前で同じ言葉もう一度言ってみろってんDEATHよ！！！！！。あのKONMAIが！！！その手のカードを出さないと！！本気でそう思ってんデスか！！！？。……新ルールに関して話してたらもう準制限エリアに到着してしまいそうデスね。今回新たに準制限に規制強化されたのはこいつデスよ
シラユキ,一人リンゴを齧って眠っちゃったみたいなの
デスガイド,シラユキライロとかいう墓地から月の書が準制限になったデス。でも準だと大して変わった気がしないデス。芝刈りすれば一発デスよ
インフェルノイド,ﾅｶｰﾏ
デスガイド,じゃ、準制限エリアに到着デスよ。ケモいお姫様はここで降りろデス
シラユキ,ケモいって何？
デスガイド,モテモテって意味デスよ
シラユキ,可愛いって、罪ね
デスガイド,どっかのフレンズよりよっぽどけものやってたお姫様を降ろして、次は制限エリアへと向かうデスよ……まあその間に続きをば
クリッター,まだ続くのか
タイグリス,人間は話が長いのです。さっさと話を纏めろなのです
デスガイド,こんなの短く纏められる訳無いじゃないデスか。それ位衝撃的なんデスよ。……さてさて、今回の騒動に近い出来事――以前某企業の機動戦士な某カードゲームで似たような事があったデスね。――積み上げた歴史や知名度的にも、遊戯王と比較して何ら遜色無い所かそれ以上とも言える圧倒的知名度を有していたデスね。一応過去のカードも使える、使えるが……今まで通り使えるとは一言も言っていない……どうか皆様にはそれを思い出して頂きたいデス。という、強引な方法で新たなカード販売を強行した結果。某カードゲームはどうなったか……言うまでもないデスね。そんな、カードゲーム史における歴史が既に過去に存在した訳デスよ。ついでに言うと遊戯王にも匹敵していた某世界で二番目に有名なネズミが存在している某カードゲームも当時と比べて陰が薄くなってるデスね。あれも実質過去カード切捨ての裏面変更＆スタン落ち制度を導入した辺りから凋落が目に見えるようになってきたデス。後続のカードゲーム達は、先人の爆死の有様を見て学び。その轍を踏まないように伸ばしていかなければならなかったんデスよ。今回、全力で轍をなぞってきたデスね。ポ○モンとガ○ダムという二回も学ぶチャンスがあったのに二度ある事は三度あるの方が来ちゃったデスね。そりゃ見放されてもしょうがないデスよね。企業は信頼が一番大切なのに、その信頼を全力で投げ捨てて客を背後から撃って来たんデスから。客に逃げられても仕方ないデスよねー。今回の騒動で遊戯王を見限る人は沢山出てきたと思うデスけど、流石に今回はもう呼び止める要素が何処にも無いデス。売り終わった融合・シンクロ・エクシーズを使い辛く劣化させてリンクを押し付けてくる。そんな真似をしたら、次回作でリンクも使い辛くして更なる新召喚を無理矢理押し付けてくるのが簡単に予想出来るじゃないデスか！
タイグリス,そうなの？
デスガイド,あーあ、やっちゃったデス。前科を作った奴は絶対に信用されなくなるんデスよ。さようなら融合・シンクロ・エクシーズ・ペンデュラム。そしてさようならリンクモンスター確定した未来。おっと、そろそろ到着みたいデスね。今回新たに制限カードへと規制強化されたのはこの3枚デス
ゴウフウ,ゴフウ！！
デスガイド,……トークンをリンク召喚の素材に出来るデス。お前が規制喰らったのはどう考えてもこれが原因デス。以前シンクロダークハンデスで大暴れした前科もあったからこれ幸いとリンク召喚の為の犠牲になったんデスよ。元々便利ではあったんデスけど、これ1枚でリンク召喚素材3枚分は近い未来悪事を働く予感しかしないデスからね。ゴウフウのトークンをクライス効果で割って2枚ドローがし辛くなるから微妙に帝にダメージとも言えなくもないかもしれないデスね
壊獣の眠り,なんでや
デスガイド,なんでやじゃないデス。いや、普通に妥当デスよこんなの。ノーコストでブラホしながらデッキから大型モンスター出てくるとか頭おかしいんじゃないデスか？。オマケに墓地から除外してサーチしてくるから手札損失は実質0デスよ。なんなんデスかお前。制限カードのブラック・ホールを馬鹿にしてるんデスか？。虚無空間系特殊召喚封鎖カードに引っ掛かるとはいえ、お前が無制限でブラホ制限はどう考えてもおかしいデス。ブラホを緩和しないならお前は制限になってしかるべきデスよ
モルモラット,ぎぢゅう゛う゛う゛う゛う゛う゛う゛う゛う゛う゛う゛！！！！！
デスガイド,HAHAHAHAHAHAHA！！！！！
クリッター,ハハハ……
タイグリス,わっはっはー↓
モルモラット,おめータイグリス！何知らん振りで一緒に笑ってんでちゅか！？
タイグリス,ええっ！？笑ってないよー！
デスガイド,妥当過ぎて草も生えないデス。準制限で踏み止まる事すら出来なかったデスね。増える系効果が制限とか、実質禁止じゃないデスかざまあみさらせファッキンネズ公。でも誰にも哀れんで貰えない。ぶち込まれる様を笑顔で見送られる辺りやっぱりコイツ猿の系譜デスね。はーい、それでは制限エリアに到着デスよ。とっとと降りろクソネズミ。そして世界で一番目二番目三番目に有名なネズミに対してネズミに生まれてすいませんって土下座してこいデス。あーあ。本当これからどうなって行くんデスかねー。リンク召喚を強要される未来に何が待つのか……。スターターデッキも売り切れ続出デスけど、強要されればそりゃ続けたければこうなるのは自明の理デスよね……。期待不安の未来は動き出してしまったデスから、今更どうしようも無いデスね。よし！それでは続きまして、晴れて禁止にぶち込まれたイカれた面々を紹介するデスよー！。今回は3枚！その全てが一発禁止直行のハジけた連中ばかりデスね！
会局,ですよね
デスガイド,デスよ。自分の非を認めて謙虚なのは良い事デス。十二獣の会局が一撃ブタ箱直行になったデス。十二獣の中で一番問題のカードって何なのか？。それ考えたら一番の禁止筆頭はお前だったデスからね、会局とモルモだけで色んなデッキを十二獣にしてくれた訳デスから。ライフ払わない挙句更にメリット効果持ちとかヒーローアライブさんに喧嘩売ってんデスか？。お前は禁止になって当然デス、そうあるべきデス。予測出来た結末デスね。というか十二獣が規制喰らわないと思ってた人とか流石に存在しないデスよね？
ドランシア,おい辰年欠けたぞ！？十一獣になっちまったじゃねえか！？あたいいなくなったらどうすんだよ！？
デスガイド,同じく十二獣ドランシアが禁止カードとなったデス。モルモからいっぱい重ねてガオー！するだけのクソ制圧札なので禁止もまたやむなしデス。4月からは十一支でお送りするデスよ。さようなら辰年。これは十二支に戻すべくネコ参戦待ったなしデスね！
救助猫,ニャー！！
タイグリス,でも貴方、私達とあんまり仲が良くないフレンズだよね？
救助猫,にゃー……
NEPTUNE,なんでや
デスガイド,あんなユルユル条件で5000バーン、しかもサーチが効くとか禁止になっても文句は言えないデスよね。チンゲネプ、相手は死ぬデス
クリッター,その略し方やめろ
デスガイド,究極隼が逆立ちして失禁するレベルのクソ火力＆超攻撃力＆完全耐性とか壊獣が無いともうどうしようも無いデスよ。KONMAIはデザイナーデッキ以外に対する規制は過剰な位早いデスからね。りりかるるすきにあ(言い辛い)を恨むと良いデスよ。そしてネプチューンという存在を失念してあんな効果を生み出し、あまつさえぼくのかんがえてるつかいかたじゃない！って癇癪起こしたKONMAIを恨むんデスね。つか5000バーンって何デスか。自発的に発動出来る火力と比べてもあたまおかしいデスよ
クリッター,……もしかして、守備表示に出来ないリンクモンスターが完全にカモ扱いされかねないから禁止にされたんじゃ……
デスガイド,！？！？。リンク召喚の陰謀を感じさせなくも無いデスが、真相は闇の中デス。それでは禁止エリアに到着デスよー。さらば十二フレンズ。今日までドッタンバッタン大騒ぎして色んなデッキとしっちゃかめっちゃかして仲良ししてきたんデスから大人しく収監されろデス。…………
タイグリス,どうしたのデスガイドちゃん！？目がうさみちゃんみたいだよー！目付き悪いよー！めちゃめちゃ見てるよー！
ウィッチ,クリッター♪逢いたかったわー！
クリッター,！お前は！？
ウィッチ,戦いの殿堂に集いしモンスター達が！
クリッター,デュエリストと共に地を蹴り、宙を舞い！
ウィッチ,フィールドと墓地を駆け巡る！
クリッチー,見よ！これが夫婦の最終進化系！！！
デスガイド,私のクリッターさんを返せデス！！！！！！
ウィッチ,やめっ……ヤメロォー！
クリッター,イイッ↑タイ↓メガァァァ↑！
デスガイド,ぐ……ぐぬぬぬぬぬう！クリッターさんがエラッタ(2回目)された辺りからもしかしたらとは想像してたデスが……。黒き森のウィッチ、エラッタされて制限復帰デスよ……。恋路のライバル、相手にとって不足無しデス……！クリッターさんの正妻は私なんデスからね！！
ウィッチ,クリッターと融合も出来ない癖に
デスガイド,あ゛？出来るデスけど何か？
ウィッチ,えっ？
デスガイド,可憐なる愛され系子悪魔よ、古き良き三つ目のマスコットよ！今ひとつとなりて、その花弁の奥の地獄から、新たな脅威を生み出せ！
クリッター,愛され系とか自分で言っちゃうのか。つーか俺等の何処に花弁要素あるんだよ
デスガイド,私にあるじゃないデスか言わせないで欲しいデス恥ずかしいデス///
クリッター,えっ？
デスガイド,融合召喚！現れろ！飢えた牙持つ毒龍！レベル８！！
ｽﾀｰｳﾞ･ｳﾞｪﾉﾑ,これが私とクリッターさんの愛の力デスよ！！！
タイグリス,すっごーい！なにこれなにこれ！？
デスガイド,……。ウィッチならもうここにいないデスよ。知らない内にバスから降りたみたいデスね、飛び降り降車は危険だからお止め下さいデス
タイグリス,食べっ……食べてないよー！
デスガイド,さて。それでは腹も膨れたので気を取り直して準制限エリアへと向かうデスよ！。今回、準制限に緩和されたのはこの7枚デス！
天キ,許された……ようで微妙に許されてない感
デスガイド,モルモラットが死ねば、まあ制限である意味は無いデスからね。天キモルモ会局ベイゴマとかいうモルモ12枚体制の超絶安定感を何とかしたいけど十二フレンズを規制したくないとかいう甘えた規制に巻き込まれただけデスからね。後々また壊れ獣戦士が出てくると規制されかねないから大人しくしとくのが無難デスよ
エアーマン,とうとう俺も禁止か……されても仕方ないんだろうが、今期は俺何もしてないだろ……。――って、あれ！？禁止じゃない！？規制強化じゃなくて緩和！？準制限！？マジで！！？夢だろこれ！そうなんだろ！？
デスガイド,空気男ことE･HEROエアーマン、なんと準制限に緩和デス。10年にも及ぶ制限生活から開放されたデスね。エアーマンでエアーマンを持って来る強化ガジェットの動きがまた出来るようになったデスね！。まあ今の時代でそんな事しても鼻で笑われるだけデスから、そこから一歩進んだ先を視野に入れるプレイングを心掛けたい所デスね
終末の騎士,十二獣で周囲の感覚が麻痺している内に抜け出して来たぜ！
デスガイド,英語で読むとウィークエンドナイト
終末の騎士,違う
デスガイド,終末の騎士が準制限へと緩和されたデス。このカードはただの闇属性サポートカードデスからね。戻るのは構わないデスが、闇属性が強化されるとすぐにまた逆戻りするのが目に見えるようデスよ
クリッター,……もしかして、トワイライトロードか……？あいつ等闇堕ちしてたよな？
デスガイド,！？！？
洗脳,準制限で許されるのか……
デスガイド,別に弱くないはずデスけど十二獣が凄過ぎて影薄過ぎデス。ついでに言うとリンク召喚とかいう簡単にフィールドのモンスター始末出来る手段が生まれたので今後影響力は更に落ちていく事が予想されるデス。シンクロやエクシーズと違ってレベル合わせる必要も無いから簡単に飛んでくるんデスよね。素材モンスターが孤立して残る場面はますます少なくなると思われるデス。メインデッキのモンスターを素材として見ないで、真竜みたいに大型モンスターで押してくるデッキ相手ならまだ輝ける余地は残ってるデスよ！
タイグリス,すっごーい！貴方は相手モンスターを奪える強力なフレンズなんだね！
イグニスターP,釈放記念に大暴れしてやろうと思ったらなんだこのフィールド！？
デスガイド,イグニスターPが準制限へと戻ってきたデスよー。イグニスターPのPは決してプロデューサーではないデス。これでどんどんペンデュラムスケールを割ってアドを稼げるデスね！。ペンデュラムはリンク召喚で死んでるんデスけどね
ゴヨウ,どうですこの釈放。余裕の凱旋だ、攻撃力が違いますよ
ブリューナク,一番気に入ったのは……ターン1縛りだ
デスガイド,エラッタシンクロ組が想定通り緩和されたデス。十二獣のせいで環境真っ黒だったデスからね。好い加減白いカードも戻って来て欲しいデスね。シンクロはリンク召喚で死んでるんデスけどね。それではゆらり揺られて準制限エリアへと到着デスよー。天キと終末はサポートカードの宿命として、ここで安心してると揺り戻しで制限以上にぶっ飛んで行く危険性があるので気を抜かず過ごして欲しい所デスね！。それではいよいよ当バスは終点、無制限エリアへと向かうデスよー。今回、無制限へと釈放されたカードはこの3枚デス！
聖なる魔術師,ああ、はい……そうですよね、何となくそんな気はしてました……。リバースにここまで人権が無くなってるなんて、思ってませんでした……私が、甘かったみたいですね……
デスガイド,妥当過ぎデスね。やっぱりもっと早いタイミングで無制限にしても良かったじゃないデスか？。これで晴れて闇の仮面共々墓地サルベージ組完全復活デスね！。これからもゆっくり回収すると良いデスよ。リバースだけに
モラルラ,許されたぞお前等！良いから早くツイツイ撃つんだよあくしろよ
デスガイド,AF出張セット完全復活デスよ。砂塵の大嵐とかいうAFで使えと言わんばかりのカードも登場するデス死、未来は明るいデスね！。エクシーズはリンク召喚のせいでやり辛くなってるデスけど、メタビート的な動きならまだ何とかなると思うデスよ！
DDラミア,アニメは終わりましたけど、これから頑張ります！
デスガイド,DDのアイドルカード枠、DDラミアが無制限へと返り咲いたデスよ。シンクロやり易くなったデスよー。良かったデスねー。ＤＤはリンク召喚で死んでるんデスけどね
DDラミア,えっ……？
デスガイド,NEPTUNEだけは凄まじいLLのとばっちり感あるデスけど、今回の改訂は総じて、規制されたのも緩和されたのもほぼほぼ妥当だと思う面々デスね。規制されたのは、なんデスけどね。規制し足りてないのがあるんじゃないデスかねー？？？。――新ルールの方がインパクト大き過ぎたのと、規制＆緩和組が妥当過ぎて印象薄いせいでえらい淡白な運行だった気がするデスが……。終点、無制限エリアへと到着デスよー。では皆様お疲れ様でしたデス。これからも遊戯王と付き合っていこうと思う方は、色んな意味で新たな環境を楽しんで来て下さいデス！。――終わったデス……ええ、色んな意味で終わったデスね
クリッター,で、お前は今回のリンク召喚大騒動に対してどう思ってるんだ？
デスガイド,私デスか？そうデスね……。リンク召喚という召喚先を制限しカード位置の重要性が上がった事でゲーム性が大きく変わって面白くなったデス(舵取りの方針を見誤らなければ。尚初動で目的地から180度反転して山を登って致命傷受けている模様)。それにより、今までの環境を排し、新しい風を取り込んだ感じデスね(排されたのは中堅以下、環境トップは新しい風を拒絶または無くても従来の動きをするのでノーダメージの模様)。ただ今までの歴史を踏み躙る(主にシンクロ)のがどうかと思うんデス。いや、実際ゲーム性自体は面白そうだとは思うんデスよ。代わりに遊戯王では無くなった……って感じデスね
クリッター,駄目じゃん
デスガイド,駄目みたいデスね
タイグリス,そうなの？私はすっごーい楽しみだよ！
デスガイド,あ、でも間違いなく言える事があるデスよ
クリッター,何だ？
デスガイド,リンク召喚とかいう枷を嵌められたからもうほぼ間違いなく、中堅以下が環境トップに歯向かうのは不可能になったデス。ワンチャン無くなったデス。でも今回の改定でノーダメージ＆リンクモンスターによるエクストラ制限がまるで影響無い環境トップがいるんデスよ。はいはい真竜真竜
クリッター,売りたいんですね、わかりますん
遊星,これでどうやってデルタアクセルシンクロをすれば良いんだ！。！そうだ！ブラック・ローズ・ドラゴンで全て破壊すれば良いんだ！そこからソルチャだ！リミットオーバーアクセルシンクロオオオオオォォォォ！！！
アキ,ちょっと遊星！？貴方一体何をしてるの！？
おまいらA,ヴァンガやるわ
おまいらB,デュエマやろうかな
おまいらC,夢限少女目指すわ
おまいらD,バトスピ派はいないのか！？
おまいらE,ギャザやろうぜ
おまいらABCD,そんな金ねえよ！！！！！
遊星,俺はこれから一体どうやってリミットオーバーアクセルシンクロすれば良いんだ！答えろ！答えてみろルドガー！！！
ルドガー,今借金返すので忙しいから後にして
遊星,ジャンクドッペルライブラフォーミュラetcetc...アクセロンスティーラー...。クェーサー...シフル...コズミックブレイザー...マスタールール３...
アンチノミー,どうした！この程度の速度に怯えていては、新たなる境地――クリアマインドに到る事は出来ないぞ！
遊星,相手ターンでのシンクロ召喚――！
鬼柳,どうやったって俺達はマスタールール４から逃げ出す事は出来ねぇ、だったらこれで満足するしかねぇ！。目指すはサテライト完全制覇だ！！行くぞ遊星！！
おまいら,嫌だ！何処にも行かないでくれよ！マスタールール３いいいいいぃぃぃぃ！！！
満足民A,あれ？リンク召喚ってフィールドの邪魔なモンスター墓地に叩き込むのに最適なんじゃね？
満足民B,それだ！
満足民C,むしろ未来皇より使い易くね？
満足民D,何か見えた気がする、考え纏めるわ
アンチノミー,(マスタールール４へ)行けええええぇぇぇぇぇ！！遊星ええええぇぇぇぇぇぇ！！！
遊星,ブルーノおおおおおおぉぉぉぉぉぉぉ！！！やめろおおおおおおおおおぉぉぉぉぉぉ！！！！！
アンチノミー,コズミックブレイザーに殺されたハルバードの痛みを思い知れ！！！。あれ？でも一緒に僕も死――
ﾃﾞｽｶﾞｲﾄﾞ,遊戯王の終焉と再生
