ハンマーブロス,あ～マリオ来ねー
ブロス,いや、そーゆー意味じゃなくてさ。昔は、まっすぐ突っ込んでくるだけだったのに、最近は横にかわすことを覚えてさー。俺らブロス族なんて完全スルーよ？だから怪我もしにくくなったしなー
ボム兵,だから、うらもたいへんになったよね、ボクの苦労も少しは考えてよ
クリボー,そうだったんですか
ボム兵,あ、そうだ。わざわざうら道じゃなくて、こっちから来たのは、言いたい事があったんだ
ブロス,やっぱりー？伝言でしょ？
ボム兵,うっかり、わすれるところだった
クリボー,なんでしょうか？
ボム兵,えっとメモメモ。マリオが７面突破とっぱ
キラー,ツイニ、キタカ
ブロス,うお！早くねぇか！？
クリボー,いよいよですか、緊張しますね
ボム兵,ボクはうらでがんばるから。みんなもがんばってね
キラー,カウント、タノム
ボム兵,うん、まかして
キラー,マリオ、クル、アワセル
ブロス,カウントはマリオが来るまでの時間を数えんだよ、とくにキラーは飛び出す時間が命だろ？だからさ
クリボー,なるほど
ブロス,ちゃんと双眼鏡持って来たかー？
ボム兵,子どもあつかいしないでよ、持ってるって。じゃぁあと、たのんだ
ブロス,ほいよー
キラー,ココロ、オドル
ブロス,クリボー、初めて？
クリボー,近くには来たことあります
ブロス,この緊張感がたまんねーよな、
クリボー｢,さっきまで退屈だって愚痴言ってたけどね
ボム兵,あ、見えたよ
ブロス,よっし、スタンバイ、オーケー
クリボー,なんだか緊張してきました
ボム兵,３０、２９、２８
クリボー,先輩、見えますか？
ボム兵,２４、２３、２２
ブロス,まだ見えねーなー
ボム兵,１８、１７、１６
キラー,マリオ、クル、アタル、マリオ、クル、アタル
ボム兵,１１
ブロス,ん、なんかおかしくね？
ボム兵,８
ブロス,これって
ボム兵,６
クリボー,無敵ですね
ボム兵,４
ブロス,やべぇ、突っ込んでくる！
ボム兵,１。０！
キラー,マリオ、タオス！。ヨケラレタ！？
ブロス,とにかくハンマー投げまくるしかねー。ぐへっ
クリボー,先輩、大丈夫ですか
ブロス,ば、今こっち来んな
クリボー,痛いっ
ボム兵,…
キラー,オレ、サワレモ、シナカッタ
ボム兵,あらしのように去っていったね
ブロス,か、感心してねーで助けろよ
ボム兵,ふまれたクリボーさんはともかく、あなたは下からたたかれただけでしょ
ブロス,す、脛に当たったんだよ
ボム兵,ボク、ボムへいですし、力ないから、人よんでくる
ブロス,でも、これでピーチ姫に合えるんじゃねーか？。ラッキー。あのさぁ
クリボー,はい、なんでしょう
ブロス,俺たち、怪我を治しにクッパ城まで運んで貰ったんだよな
クリボー,そうですね
ブロス,なのになんでピーチ姫がいねぇんだぁーー！！
クリボー,私に言われましても
ボム兵,こんなに早くマリオが助けるとは思わなかった
ブロス,くそぉおお！！！
クリボー,こんなに悔しがるとは、よっぽどピーチに逢いたかったんだろうな。８面に配置されたんですから、たまにはこういう事も有りますよ
ブロス,次こそはピーチ姫の治療を受けるぞぉおおおお！！！
