ルイーダ,という訳で、晴れて貴方は魔王討伐の旅へ出る冒険者に選ばれましたー。これに反対するって事は、王様への反逆z。若者は苦労を買って出ないとねぇ。で、PTについてだけど。貴方には三人でPTを組んでもらう事になったわ。そうよ三人PTよ。三人PTよ。三人よ。犬になるか配合されたいのね。あー戦士君とかの事ね。不思議な事にあの子の訃報が伝えられてしばらく。忽然といなくなったのよね。というか貴方含めて三人しか残っていないの。貴方含めて、冒険者は三人しかいません。いないわよ？。すばしっこい盗賊の貴方。性格の事が？。何事にも迅速に対処する。速さなら誰にも負けない……。早漏。で、他が頭脳明晰の魔法使い。期待の三人目はっ！。お調子者の遊び人。じゃ、頑張ってねー
魔法,孫だが娘って……凄いやる気が無いわね
遊び,勇者業を肩代わりしているのに、志は低いよね
魔法,また戻るの……？もう戻るの……？。時たま、HP1で耐えてたりはするけどね。普段、いかにあいつが働いていないかが分かるわね。でもカンダタが留守で良かったわね
カンダタ,またてめぇらかぁ！。ここであったが百年目！今度こそギッタギッタのメッタメッタにしてやるぜぇ！
魔法,前回のようにはいかないわよ！スクルト！。遊び人？
遊び:麻痺,
魔法,全くね
遊び,いやぁ頑張って麻痺を解こうとはしたんだけどさぁ。あ、それ痛いつ、ごめ、ごめんなさ
魔法,ベギラマが効かない相手が多くて苦労するわ
遊び,魔法が効かないと魔法使いなんてゴミみたいなも、ごめんなさい、杖を振りかぶらないで。もっと仲間を呼んでくれればいいのにね
魔法,そうすればあたしのブーメランと盗賊のチェーンクロスで薙ぎ倒すものを
遊び,オイラは？オイラは？
魔法,一人で寝てればいいじゃない
遊び,即効でスクルト三連発だよぉ！
魔法,任せない！ベギラマ！。メラミ！。イオ！。聞いた事無いわね
遊び,中々いないよね、そんな変な名前
魔法,……お金も預けたいしアリアハンでいいかしら？。でもここなら結構鍛えられそうね
遊び,お金もそれなりに溜まるね。オイラの土壇場だぜぇい！
魔法,
遊び,。ただの噛み付きも結構痛いけどね
魔法,強敵ね……というかあたし達、本当に魔王なんて倒せるのかしら
遊び,つまりまだ続けるの……？
魔法,この中で必要経験値が一番多いあたしにとっては嬉しいわ
遊び,盗賊はガンガンレベル上がるよね
魔法,あなただけが頼りよ、盗賊
遊び,オイラは？オイラは？
魔法,毒と魔封じ以外、自分でなるって凄いわよね。海の魔物がだいぶ楽になったわね
遊び,大王イカ痛いよ！
魔法,全くね。力だってあたしより２低い
遊び,お金足りないよ？
魔法,盗賊は素手装備もできたのね
遊び,盗賊、そういうの無駄に好きだね
一階宝箱,人食い箱
魔法,なんで？。なるほどね。な、なんでこんなにガイコツが多いのよ……
遊び,出口あるのになんでだろうね
魔法,どれくらいの威力なの？その爪
遊び,えー何しにここまで来たのさ
魔法,流石に全滅の危険性はないけどもね
遊び,もう疲れたよぉ！戦闘嫌だよぉ！
魔法,あ、ミイラ男から金のメダル。なんかやたらとボロボロな町ね
遊び,疲れたよぉ。休もうよぉ
魔法,田舎者だからって入国拒否ってどうなのかしら？
遊び,城下町も無いしね。これをネタにお金でも貰えないかなー
魔法,毒針の準備できたわよ。あれ？あたし達、まだこの王様に会った事が無いような
遊び,え？予知夢？オイラ達これから全滅するの？
魔法,でもぶっちゃけもうこの国に立ち寄る理由無いわよね
遊び,盗賊の鼻、レミラーマ済みだしね
魔法,本で読んだ事があるわ！これ、死者を蘇生できるのよ！。むしろ盗賊が持っていて頂戴。で、使われるのはあたし、と
遊び,え、なにその二重の意味のイジメ
魔法,でもここ、開けられない鍵の扉ばかりね
遊び,ぶっちゃけ宿だけだよねー
魔法,案の定、遊び人が袋叩きにされたわね
遊び,ごめんよー……もうちょっと頑張るよー
魔法,……これ、教会に連れて行った方が早かったんじゃないかしら。着く頃には夜かしら……
遊び,夜の泉とか魔物が這い出てきそうだね
魔法,暗いからって落ちないでよねー
遊び,泉の精霊オラレラさんマジ精霊ペロペロ
魔法,にしても拾ってきてくれるなんて優しい精霊ね
精霊,貴方が落としたのはこの檜の棒ですか？
魔法,強そうな檜の棒ね
遊び,でもただの木製斧だよね。あれ？斧？
精霊,なんと……私は貴方が嘘をつくかと思っていました
魔法,斧なんて誰も装備できないしね
遊び,全くだね
魔法,正直……
遊び,流石は盗人……
魔法,でも、足元がどうのとか言っていたわよね
遊び,よーしここ掘れわんわん。なんか出てきた！
魔法,50Gと……鞭？！。盗賊がバグりつつあるわね……
遊び,ゲシュタルト崩壊の兆しだね
魔法,見て！朝日に照らされて！
遊び,おお、聳える塔！これはもう行くっきゃないね！
魔法,ムオルで状態異常系の薬を買っておいて良かったわね
遊び,いよっしゃあ！。いくぜ！これがオイラのバキルーラだ！
魔法,バキルーラ：一度訪れた町や城を範馬刃牙がボコボコにしていく。そういえばそれ賢者と僧侶しか使えないのよね
遊び,買う前に言おうよ！
魔法,もっと頼りにしていいのよ
遊び,ねえねえオイラの扱い最近酷いんだけど
魔法,むしろあたし達の方が苦労人だわ
遊び,オイラだって頑張っているだろー！
魔法,肉弾戦しかできないくせにあたしより力が低いとか。既に夜だし宿もまともな武器防具屋もないわね
遊び,今度こそ大魔道士遊び人の力を見せてやるぜぇ！
魔法,麻痺してそう。渇きの壷の事よね……
遊び,いやいや火薬の壷かもしれませんよぉ
魔法,アイテムどーん
遊び,ふぇぇアイテム持ちきれないよぉ。盗賊が活き活きとしているよぉ……
魔法,本能ね……。遂に宝箱を落とさなかったわね
遊び,でもこれ、オシャレスーツより弱いよー？。また旅の扉……
魔法,そろそろ新天地に出ないかしら。むしろよく今まで謁見できたわね
遊び,オイラが言うのもあれだけど杜撰だね。杜撰だね
仮にも正式な勇者,不在
魔法,突如ぬいぐるみ来た男が現れたそうすると思うわ
遊び,盗賊……それ着ていると気にならないみたいだけど、周りからは凄い浮くからね
魔法,そろそろ出ましょうよ。サマンオサ王なんてよく知らないから何とも分からないわねぇ
遊び,きっと一時間に一回トイレに行くんだよ！
魔法,なにその偽者
遊び,まだ雪は降ってこないね
魔法,え？何の話？ねえ！。こっちに通路があるわよー
遊び,次々に牢獄の鍵を開けるって結構やばいよね
魔法,え……この人本物の王様？！
遊び,現王様はやっぱり真なる魔王か
魔法,……もうツッコミいれないわよ。ていうか曲が変わっているんだけど！？
遊び,やばい、シイルの町を守んなきゃ！
魔法,どの道、周辺の野良魔物に苦戦するんだしここは後回しよね
遊び,ロマリア北東のサイモンのところ行ってみようよ。お宝あるかもよ
魔法,見つかったらあれな展開になるんだわ。薄い本みたく
遊び,大丈夫、このＰＴに女騎士はいないよ！
魔法,壷から二枚……
遊び,お宝らしいお宝ないよね
魔法,だいたいこんなもんかしら？
遊び,これからどうするのさ？海賊待つの？。不法侵入と物資強奪は問われないのかなぁ……
魔法,い、意外ね
遊び,なんか女海賊にもまた来いって言われていたよね
魔法,小さすぎるわね
遊び,でもあの人達これを自力で見つけたんだから驚、うぉあ！大王イカ！
魔法,そこら辺回れば集まりそうね
遊び,それじゃあ行き先はランシールムオルって事でレッツラゴー
魔法,ファイト
遊び,頑張れー
魔法,よく生きて帰ってこれたわね
遊び,で、何があったの？
魔法,大事な事ね
遊び,一人だけレベルが上がりやがって……
魔法,二十半ばになってレベル差が開くってそうそうないわよね。え？。この間の冗談で言っているのかと思ったけども……フバーハは僧侶の魔法よ
遊び,へーそうなんだー
魔法,因みにシャナクは魔法使いね
遊び,レベル上げしかないねっ
魔法,種や木の実でドーピング。気のせいか全く盗んでいない気がするけどもね、あなた
遊び,おいおーい、オイラ達三人の仲間だろー！
魔法,強力な装備が手に入るいいわね
遊び,頑張れ盗賊！。凄い怒涛の賽振りだったね
魔法,敵が出現、４マス戻って山で敵が出現、バリアに突っ込む、落とし穴
遊び,敵、敵、バリア、敵、落とし穴は笑ったね。ああ、あと４マス戻って敵、４が出て敵、４が出て敵
魔法,じゃあそろそろ出ようかしら？
遊び,タフだねぇ……
魔法,さっきもそうだけど？マス踏みすぎよ……
遊び,ペアルックなの、ウフ。そんなに？！。でもオイラ、杖使った方が絶対強いと思うんだ
魔法,本当に役に立たないわね……
遊び,何それ？
魔法,奥義ってなに？
遊び,なにそれ怖い
魔法,異文化ねぇ……
遊び,ジパングって変な格好の人ばかりだぁね
魔法,隣にこれ見よがしに洞窟もあるしね
遊び,なんかあの洞窟から熱気を感じるんだけども。なんかキングギドラがいるよー！！
魔法,準備を万全に喫しても勝てなさそうね。スクルトとバイキルト、どっちが先がいい？
遊び,ひぎゃあ！噛み付かれたよぉ！。扱い酷いよぉ！
魔法,二人にバイキルトまでかけたわ！
遊び,追いかけるのー？
魔法,これですぐ再戦だったら不味いわよ。MPあと半分
遊び,キングギドラの正体見たりってなー
魔法,どうするのあれ？放っておいたら回復するんじゃないの？
遊び,わーMP空っぽだー
魔法,使わないんだからいいじゃない
遊び,待てよ！オイラの体内にあるMPが魔法使いに奪われる……これはつまりオイラが内側から魔法使いを犯
魔法,今度から盗賊でいいかしら
盗賊,そうだな。新しい町とかない限り、俺もそうは使わないし
魔法,じゃあこれ、もう要らないわね
盗賊,ああ、要らないな
遊び,ごめんなさい、ごめんなさい。よっしゃーここがオイラの土壇場よぉ！。えっ
魔法,死ね。三ターン目にして炎四連発……これはしんどいわね。というかこの怒涛の勢いは勝てないんじゃ……。炎吹きすぎよねぇあれ
遊び,ちょ、アサシンダガーと毒針の先が当たってるんですけど
魔法,当ててるのよ
遊び,今度はオイラ達のリベンジだぁね
魔法,……勝てるのかしらねぇ。おまけに馬鹿が麻痺していない！
遊び,オイラもやる時はやるって事よぉ！
魔法,MP半分を切ったわ！
遊び：麻痺,
遊び,助けてウリユたん……
魔法,なんであなた達はサマンオサになると変な事を口走るの？
遊び,全滅フラグがビンビンだぜ。コングとかが安定して倒せるようになったね！
魔法,盗賊とあたしのヒャダインのお陰でね。とりあえずガメゴンが出たらその都度、二人のMPを吸い上げるわ
遊び,マホカンタがオイラ達にも効けば無尽蔵MPになるのにね
魔法,それができたら、二人のMPを早めに根こそぎ奪う必要もないわよ。だいたい逆にMP吸収したようなメッセージ出しておきながら、一切吸収していないなんて詐欺もいいところだわ。あたしのMPに注目していれば分かるわよ
遊び,弾くのは攻撃魔法だけなんだね
魔法,そろそろMPが心許無いわ
棺桶,
魔法,これ棺桶が降ってくるのよねぇ……
遊び,王様って一人で寝るんだってさー
魔法,護衛も無しにねぇ……おばあさんが言う通り無用心ね。むしろこっちが魔物なんじゃないかしら？
ボストロール,生かして帰すわけにはいかねぇ！！
遊び,馬鹿な……竜人じゃないだなんて……
魔法,とにかく行くわよ！見るからにインファイターだしスクルトしまくるわよ
遊び,袋の中！
魔法,終わった……。そう思うわ……。言われたわね。深く考えちゃいけないようね。玩具じゃないんだからね。あらあたしまで……って遊び人の棺桶まで！？。棺桶だった踊り子が効果が切れる瞬間に透明になった気持ち悪い。それでもやられないと思うけどもね
遊び,でも心臓に悪いよね
魔法,え？ガーターベルト外さないとダメ？
遊び,それ装飾品だってよ
魔法,まあ……どうしてもというなら
遊び,ぶほっ
エルフ,姿を変えても私達には分かります。ひーっ人間だわ！さらわれてしまうわ！
魔法,酷いものね
遊び,けっ！奇形の人型なんてだぁれが相手するかよぉ！
魔法,家に連れて帰って妹にしたいわ
遊び,……え？
魔法,全く、その顔の白いのほんとはノーメイクなんじゃないの？
遊び,……え？
魔法,で、これからどうするの？
遊び,なんか氷の大地に変化の杖欲しがっている爺さんいなかったっけ？
魔法,……え？いた？その話した？
遊び,多分してないねー。でもそれ海賊達が幽霊船どーのって言ってたやつだよね
魔法,……イオラで船が沈むかしら。どこら辺かしら？
遊び,ランシールあたりじゃない？。時はXXXX年、人間と魔物との戦いは佳境を向かえ、遂に新戦力！幽霊船の不死者達が！！
魔法,しかも白昼堂々、上陸しようとする幽霊船っていうのもねぇ……
遊び,いや……船、不死者？死の神獣……ファントム、ワイト殺技軍団！。あ、またスルーされた。愛の思い出なるリア充アイテムが手には入った。捨てますか？
魔法,確かオリビア岬がどうのって話だったかしら？
遊び,あれ……ツッコミは？。やっぱり捨てとくべきだったんだよ。凄いオートネタバレだ
魔法,何処からが近いのかしら
遊び,ちょ、心の準備が！
魔法,しかもなにこの揺れ……あたし達危険な位置にいるんじゃあ……。なに感慨に耽っているの？！
遊び,それ違うゲーム！
魔法,ひぎぃ！
遊び,あーー！！魔法使い！！
魔法,う……ぐ。対魔法耐性とか低いものね
遊び,見て見て！稲妻の剣見つけたぜぃ！。ですよねー
ホロゴースト,ロンダルキアの思い出を、ちょっと貴方にお裾分け
遊び,果てしなく続く９の羅列であり、真の胎界主はそれに加えられる"１"であると。あっあっあっ稀男くん。伝言を聞いてくれたかな？
魔法,それよりこれからどうするのよ？
遊び,え、また投げっぱなし……？
商人,よ、宜しくお願いします！
魔法,……売られる為の商人
さーてLv上げついでにオーブも集めるか。これ装備して。,ガーターベルト：幽霊船産
魔法,空き地のままね……。商人……相変わらず死んだ目で頑張るって
遊び,なにあれ恐い。ちっさ！
魔法,売り物も少ないわね
遊び,町になった！！
魔法,……何が起こったのこれ
遊び,劇場が出来てる！！
魔法,時空が捻じ曲がっているわ！
遊び,商人の知り合いだって分かってもらえなかったらどうなっていた事やら
魔法,遊び人は知り合いじゃないでしょ。面識無いし
遊び,え？あ
商人,え？あれ？！値段設定間違えた！
遊び,これがMMOの露店で０が少なかったら阿鼻叫喚だね
魔法,ていうか、急いで直しても大クレームじゃない？
商人,あー今はもう作業は下請けに任せているから分からないですね
魔法,へー……え？
商人,後で下請けの取締役に確認しておきますね
遊び,これってまずいんじゃないかなぁ
魔法,これで最後のオーブね
遊び,卵のドット絵１マスって凄いよね
魔法,何処に向かっているの？
遊び,地図には町かなんかあるって記されていたね。でも女王様死んじゃったね……
魔法,こればかりは仕方が無いわね
遊び,……
魔法,……
遊び,それにしてもモンスターってメタルスライムには強いね
魔法,メタルスライムメダパニ狩り美味しいわね
遊び,これでおいらもつよくなったじぇい！
魔法,運の良さとMHP以外あたしに負けているわよ
遊び,ごめんね盗賊、大変だったでしょ
魔法,GBAでよくやるわね
遊び†,
魔法,世界樹の葉も即効で使ってしまったわね。むしろどう戦うの？
遊び†,その分薬草が持てるね！
魔法,……本気で勝てると思っているの？
遊び,盗賊一人が前にでるだけだね！
魔法,はー……負けイベント
遊び人,の眠り杖
遊び,えっへん！
魔法,これでふざけて始めたらどうなるか分かっているんでしょうね
遊び,魔封じの杖も効いたよ！
魔法,盗賊！バイキルト！
遊び,与ダメージヤバイ
魔法,ならばあたしが！ベギラゴン！。マヒャド！。メラミ！。ならば！ドラゴラム！！
遊び,その調子で暗黒魔法９０のフュージョン覚えて！丁度三人！ギッガアァァス！！。あいあいｓぶぇぇぇっくしょん！！。ごめんごめん、次こそ……。ぐう……ぐう……
魔法,あんた真面目にやってよ！
遊び,そぉれお手玉だぁ……あいた！。よっしゃあ手玉だぁ……あいた！
バラモス,ふははは！面白い仲間だな！！
遊び,何をぉ！くらえ！眠りのつ
遊び人,次こそは！
遊び,杖が効きますように
魔法,もう駄目よ！当たって砕けろ！ドラゴラム！。炎を吐くしベギラゴンは利かなさそうだものね
バラモス,貴様ら先ほどとはまるで動きが違ぐぅ……ぐぅ……
魔法,あ、終わった
遊び,ここでオイラの出番だじぇい！眠りの杖！
魔法,ええ……今しかない！。マホトラ！！。……ええ、全くね
遊び,こいつらどうして魔王倒したの知ってるんだろう……
魔法,恐いわね……。王様より先に？
遊び,おお、そういえばそうだね……って死体腐っていない？旅立ちからだけでも四ヶ月経ってるよ
魔法,そこは鳥山明先生的に冷凍装置のホイポイカプセルでどうにか、ね
勇者,……えっと、あの、貴方達は？
魔法,仕方が無いでしょ……あたし達は
勇者,……
遊び,そりゃあ落ち込むよね。勇者なのに死んでる間に魔王倒されているんじゃ。兵士が次々に稲妻で……
魔法,ライディン……ゾーマは元勇者なのね
勇者,え……？
魔法,なんでよ
勇者,あ、は、はい！宜しくお願いします！！
魔法,やったぁ勇者ちゃんと旅が出来るのね！
遊び,ま、オイラ達が先輩だからなぁ！魔王バラモスを倒した先輩だからなぁ！
勇者,え、は、はい！宜しくお願いします！遊び人さん！
遊び,良い……これ良い
魔法,こいつ除名したいんだけど
勇者,え？！
遊び,あ、ごめんなさい。もうしません
魔法,勇者ちゃんは防御していて
遊び,この大先輩がちゃちゃっとモンスターをたおｓ
魔法,何時からまともな火力なのよ。あたしより力低いのに
勇者,ま、魔法使いさんより低いんですか……
遊び,Oh...。残念勇者……
魔法,勇者ちゃんは大器晩成型なのよ！そういう目で見る奴はベギラゴンよ
勇者,いえ、その……ごめんなさい。あたし……ほんと何時もだめだめで。本当ですか！
遊び,ちょ、いくらなんでもその嘘は……マジだ！。デッドペッカー出ないねぇ
魔法,ここも飽きたし別に移らない？
勇者,飽き、ええ？！。皆さん凄いですね……。あ、ははは……でも、凄く楽しそうですし、あたしも楽しいです！。はい！
魔法,何時の間にフラグ
遊び,何と言うお兄ちゃん盗賊
魔法,どうするの？
遊び,あれ？勇者ちゃんの盾って鱗の盾なんだね
勇者,あ、はい。袋の中にあったのを勝手に装備……あ、まずかったですか？
魔法,丁度良いわね。ルーラ。リザルト
勇者,レベルが１２になりました
遊び,これからどうするの？。えっ
魔法,なるほどね。でも何時まで続けるつもり？。ありがとうスカイドラゴン、君の犠牲は忘れないわ。ああ……メタルスライム。ここにメタルスライムとスカイドラゴンの一匹でもいれば……
勇者Lv20,あはは、あれ凄かったですね。あたしにもできたりするんでしょうか？
魔法,勇者ちゃんはメダパニが使えないからねぇ……。さあ？
勇者,大魔王ゾーマですね……
魔法,ま、なんだかんだでバラモス倒せたし次も倒せるでしょう
遊び,いやー……流石にそれはどうかなー
勇者,あ、あの！あたしも
魔法,？
勇者,……
遊び,旅先のお土産いっぱいだぁね
魔法,既にいっぱいよね。どうなってんのよこれ。四次元ポケットの魔法じゃないんだから
遊び,ワァーオ！グラは腐ってるのに腐ってない！
勇者,……
魔法,貴方達、茶化しすぎよ
遊び,お前がネタを振ったｚｙぬわーーー！
勇者,あの……皆さん、本当にありがとうございます。それとゾーマの事も。本当はあたしがやらなくちゃいけないのに……
遊び,でもレベル２０って普通の女の子じゃなぬわーーーー！
勇者,そ、そんな、悪いですよ！
魔法,でももう、あたし達は最強装備だしね
炭,必要な物って行ったら薬草くらいだもんね
勇者,何から何までありがとうございます……。うええぇぇ？！三万Gもぉ？！
[>はい,皆のアイドルDQ３勇者ちゃん大活躍
いいえ,この旅に勇者なんていなかったんや
遊び,これが某ポケットサイズのモンスターの伝説みたく各地を飛び回っていたら？
