通称“モン=サン=パルフェ”,聖なる完璧の山
レオパルドン,次鋒レオパルドンいきます!!。グオゴゴゴ
悪魔将軍,フン！
レオパルドン,ギャア――ッ
ストロングマン,レオパルド――ン!!
悪魔将軍,！
レオパルドン,……なんてな！
キャノンボーラ―,おぉ奴のトラースキックが体を貫いているのに、レオパルドンは平気だ!!
ストロングマン,そうか……分かったぞ！。レオパルドンは王位争奪戦の時、マンモスマンに貫かれてできた胸の穴を敢えてそのまま残したんだ――っ！
悪魔将軍,……
レオパルドン,抜けないか？そうだろう。ケケッ、俺は戦車の超人！。体にできた穴には今……重いキャタピラをも動かすモーターの力が働いているのよ――っ！
スト・キャノ,なんという冷静で的確な判断力なんだ!!
レオパルドン,くらえ――っ!!。“零距離”地獄の砲弾――っ!!
キャノンボーラ―,やったーー!!
キャノンボーラー,爆発の煙が晴れていく……その向こうには、きっと奴のくたばった姿が！
ストロングマン,……いや！
悪魔将軍,……
キャノンボーラー,ゲ――ッ無傷――っ!!
レオパルドン,アワワ……
悪魔将軍,私は……先を急いでいる。すぐに終わらせてやろう。フン！
レオパルドン,グォアッ
悪魔将軍,フン!
レオパルドン,ゲグゥッ
キャノンボーラ―,ただのストレートの応酬なのに、なんてキレだ!!
ストロングマン,これではレオパルドンも、なすすべがない！
悪魔将軍,フンッ！
レオパルドン,ウオォ！
ストロングマン,おぉかわした！
レオパルドン,グオ！
キャノンボーラ―,レオパルドンのベア・ハッグだ――っ！
ストロングマン,いいぞ――！そのまま奴を締め上げてしまえ!!
レオパルドン,グオゴゴゴ
悪魔将軍,……
レオパルドン,!?。こいつの身体……硬くなってきやがった!!
悪魔将軍,硬度８……エメラルドボディ。貴様には……この程度で十分だ
レオパルドン,ゲェーーッ
キャノンボーラー,あぁ！
ストロングマン,ベア・ハッグが解かれてしまった！
悪魔将軍,フンッ！
レオパルドン,グオォ！
ストロングマン,おわ～っ！なんて威力のローリングソバットなんだ――っ!!
キャノンボーラー,レオパルドーン！
レオパルドン,ググ……
悪魔将軍,……
レオパルドン,く……。来るなぁ――っ!!
悪魔将軍,……。フン！
レオパルドン,グオ――っ
キャノンボーラー,おぉ体勢を半転させ、レオパルドンを持ち上げた!!
ストロングマン,一体何が繰り出されるんだ――っ
悪魔将軍,地獄の九所封じその一……。大雪山おとし――っ！
レオパルドン,ギャア――ッ。グ……グオ……
悪魔将軍,これで貴様の背中の砲塔はもう、使い物にならない。……フン！
レオパルドン,ゲェ――ッ
ストロングマン,おお!!あの体勢は……!?
悪魔将軍,スピン……ダブルアーム！
レオパルドン,ゴァ――っ
キャノンボーラー,ダブルアームの体勢で……！
レオパルドン,身体を回転させるなんて……！
ストロングマン,並たいていのパワーじゃ無理だ！
悪魔将軍,フン！。これで終わりにしよう。断頭。！。貴様……
ストロングマン,あぁ～っ！
レオパルドン,ハァ……ハァ……
キャノンボーラー,レ、レオパルドンは無事だ――っ!!
悪魔将軍,……既に使えぬはずの砲塔を使ってみせ。着弾時の爆風を利用し……。私の“地獄の断頭台”から逃れたか……褒めてやる
レオパルドン,ハァ……ハァ……
悪魔将軍,……尻尾を巻いて逃げるがいい。今なら見逃してやろう
レオパルドン,だ……黙りやがれぇ！
ストロングマン,!!
キャノンボーラー,!!
悪魔将軍,……
レオパルドン,俺は……俺はぁ……！。強力チーム次鋒……レオパルドンだ……!!。それが……俺や仲間のことを見下され、馬鹿にされ……。きさまのようなやつになめられっぱなしじゃ……。生きてる甲斐がねえんだよ――っ！
悪魔将軍,！
ストロングマン,オォ―！レオパルドンの身体から光が――っ！
レオパルドン,グオゴゴゴ
悪魔将軍,フン！
レオパルドン,グゥ！。まだまだ――っ！。トア――っ!!
悪魔将軍,……！
キャノンボーラー,両腕を組み合わせたあの頭部への攻撃は……モンゴリアンチョップ!?
ストロングマン,い、いや違う……！その後の締め付けも加えたあの技はッ!!。ペンチマンのペンチクローだ――――っ!!
キャノンボーラー,オォ――っ！
悪魔将軍,ヌゥ……！
レオパルドン,おっと、おネンネの時間はまだ早いぜ！。グオゴ――っ!!
悪魔将軍,グッ
ストロングマン,あぁっ！あの悪魔将軍から……ダウンを!!
キャノンボーラー,あ……あの技は……！。俺のラリアートだ――っ!!
レオパルドン,グゥ！
ストロングマン,ゲ――ッ！レオパルドンの左腕の砲身が割れた!!
レオパルドン,だ……だが、関係ねぇ!!。お次は――っ!!。グオ――っ!!
キャノンボーラー,おぉ今度は奴の身体を掴み、回転を加えた投げで天高く放り投げた!!
ストロングマン,これは両手がフリーだからこそ為せる、ゴーレムマンのジャイアントスイング!!
レオパルドン,これで……！。とどめだ――――っ!!
キャノンボーラー,と、跳んだっ!?
ストロングマン,あの体勢は……！。まさか……!!
悪魔将軍,！
レオパルドン,兄貴……あなたが王位争奪戦で披露できずに終わった悲運の技。不肖、このレオパルドンがお借りします!!
キャノンボーラー,おぉ空中で逆さになった奴の両脚を、両脇でクラッチし……。両足で奴の肩を締め上げたまま落下していく――――っ!!
ストロングマン,見てるか……ペンチにゴーレム……！。あいつは……レオパルドンは……オラたちのために……！。い、いけレオパルド――ンっ!!
レオパルドン,メイプル――っ！。リーフクラッチ――――――っ!!
ストロングマン,きまった――――っ!!
レオパルドン,ハァ……ハァ……
悪魔将軍,……
キャノンボーラー,や、やったか！？
悪魔将軍,……
レオパルドン,！。なんだと……！
キャノンボーラー,あいつ、頭から落ちやがったのに!!
ストロングマン,何事も無かったかのように……立ち上がりやがった!!
悪魔将軍,……フン！
キャノンボーラー,ゲ――ッ!!ヨガの体勢になって全快になりやがった――っ!!
レオパルドン,グ……
ストロングマン,対してレオパルドンはもう動けない……
悪魔将軍,……
ストロングマン,う……うお――――っ!!
キャノンボーラー,あぁ！。兄貴がレオパルドンと奴の間に飛び込んだ――っ！
ストロングマン,レ、レオパルドンには指一本触れさせやしねえ!!。どうしてもというなら、オラが相手になってやる――っ!!
レオパルドン,あ、兄貴……！
悪魔将軍,……。……フン
ストロングマン,！？
悪魔将軍,もう行け。私はもうこれ以上……おまえたちの相手をする気はない
ストロングマン,エッ
悪魔将軍,……さらばだ
レオパルドン,ま、待ちやがれ――っ！
悪魔将軍,……
レオパルドン,まだ……勝負はついていな……！？。兄貴！どうして俺の体を持ち上げ……
ストロングマン,今からおめえを……超人ＫＯ病院へ連れていくんだ
レオパルドン,！！
ストロングマン,王位なんて、もうどうでもいい……。もう誰も……仲間を……。死なせはしねぇ。行くぞキャノンボーラー!!
キャノンボーラー,ヘイ!!
レオパルドン,あ、兄貴……。……俺の身体、重くねえですかい……
ストロングマン,気にするな、何せオラは……。強力無双の開拓者“ストロングマン”だからな！
レオパルドン,あ……！。……兄貴……！
悪魔将軍,……。奴が見せたあの光。あれはまさしく、シルバーの目指した……。……フッ。何万年ぶりのことだろうか……あの時と何も変わらぬ。だがそれも今日までだ。あの島も……そしてやつらも……
――レオパルドンVS悪魔将軍!!の巻,完
