・このSSは,静・ジョースターの奇妙な日常
静,うっ、ムシ暑いわ……この中走れっつーの？マジに？グレート。やってらんないわ……やれやれね。……ん？。アンタは……。ペーパー・バック・ライター？……何してんのよ？あたしん家の前で。あたしだって遅刻するつもりなんて無いわよーッ。校長のやたらと長ったらしい話の途中でクラスの列に加わる勇気は無いわッ。悪いけど走るわよッ。それって、昨日にやってた映画の話？主人公のドン・ペキンパー格好良かったわよね……それともアンタは敵の方が好きだったり？。？……。……一日二日で忘れられる名前じゃあないわねーッ。そいつがどうかした？。もしかして、まァーだ熱烈アタック食らってるとかァ～～？アンタなんか押しに弱そーだもんね。……男なら気合入れてバシッ！と言ったほうがいいわよ？それが結局お互いのために――。――！。……行方不明？。失踪したって事？……何？フられたショックで傷心旅行にでも行ったの？。……消えたの？。無ェーわ。あるならとっくに言ってる。……同じクラスで親しいアンタが知らないんだから、あたしが知ってる訳無いでしょーッ？。……何？。……？。！……。……。……。……。……暑いわね、双馬。……のどかで平和な町だなって思うのよ。たまにね……こうしてセミの声なんか聞いちゃって、コンビニでアイス買ってさあ。……暑いんだけど、それが心地よくって……。あたし、この町好きよ？都会からはちょっぴり離れてるけど、アメリカの騒がしい生活とは大違いでさ。何より……兄さんが命がけで守った町だもん。嫌いな訳無いわ……。だから、あたしが守るのよ。今度は。……兄さんの代わりに、あたしが町をね。アンタも協力しなさいよ？双馬。へーッ？殺人鬼や被害者について熱心に調べてるくせに？。ん！……まあ、そういう事にしとくわねッ。ニシシッ。とにかく、これからは少し捜査の時間増やそうかしらねェ～～。今まで週三くらいでパトロールとか聞こ込みとかやってたけど、回数増やして……っていうか双馬、アンタの知ってる情報もあたしに教えなさいよ。何？。！！……うっぎゃああ――ッ！！SONOFABITCH！！
早人,オホン！ゴホッゴホッ……えっと、みんなお疲れ様。終業式……なんだかあっという間に夏が来たって感じだね。あまり長々とぼくから話すことは無いけど……くれぐれも夏休みの間、ハメを外しすぎないようにね。わかった？虻村君
虻村,なんっでそこでおれの名前が出てくるんだッコラァー！
早人,じゃッ！最後にみんなが楽しみにしている……成績表を返して、今学期は終了としますっ。出席番号順に、呼ばれた人から取りに来てね。……虻村君……梅川さん……大間君……
虻村,……う……ウググ……
静,この世の終わりって顔ね。写メ撮っちゃいたいくらいスゲー顔してるわよ
広瀬川,ど、どうだった？……虻村君
虻村,聞くんじゃあねーッ康司。……この世にゃあ触れちゃいけねー事が山ほどあるんだ……
委員長,わっ、すごいな君。一番っていう言葉が好きなのかい？所々、一番よりナンバー2になってるけど
虻村,見るんじゃあねーッコラァーッ！！
静,……うーん、あのさ。康司
広瀬川,えっ、何？
静,確認するけど……成績表ってマルが多いほうがいいのよね？ペケじゃあなくって
広瀬川,……
静,あたしアメリカ暮らしが長いからさ……未だに正解にマルをつける日本の文化に馴染めないのよね。アメリカじゃあ正解にチェックをつけるもん。ヌカ喜びする前に確認しておくわ
委員長,……成績表は5が一番良いんだよ
静,あ、五段階評価ってヤツか。ってェー事は、3より4の方が良いのね？……4って日本じゃあ死に繋がるから縁起ワルそーだけど
虻村,テメーは1と2のどちらが大きいかだけ覚えてればいいんだよッ
静,何ィィ～～？
早人,はいはいそこ、あまり騒がないようにッ。……次、静さん。……静・ジョースターさーん
静,あ、はいはいはァ～～いっ
早人,……んー……
静,ちょっとちょっと、早人先生ィ～～。レディーの目の前で女の子のヒミツを堂々と見たりする？ムズかゆい気持ちになるじゃん、もうっ
早人,ああ、ごめんごめん。気になっちゃってね。……静さん、日本の学校は初めてで、色々と大変だっただろうけど……よく頑張ったね
静,はあ。……ありがとうございます
早人,仗助さんに宜しく。それと……東方先生、あー……東方朋子先生に挨拶しておきなよ
静,……現国の成績、何かありました？
早人,……見た方が速いと思うよ？じゃ、次ィー。鈴木さーん
静,……
英語…5,Excellent！！スバラシイ！
美術…1,先生にはまだ理解出来ないものでした。ある意味スゴイよ
静,……そーっ……
国語…,オオマケにマケて
静,…………。……まあ、ワルくはないんじゃあないの？美術は別にして。……兄さんホメてくれるかなァ～～
女生徒,良かったの？
静,……
女生徒,ねえッ！私、話しかけてるんだけど。貴女に……良かったの？って聞いてるの。成績。……日本語……通じるわよねェ～～？
静,……。……いきなり何だっての？アンタ。特に親しくもないクラスメイトの成績を聞くなんて……デリカシー無いんじゃあないの？
女生徒,同じクラスの人と仲良くしようっていう気持ち、無いの？孤立するわよぉ～～？女の社会ってヘドロみてーにドロドロしてて怖いんだから
静,……
女生徒,そんな睨みつける事無いでしょう？成績表貰ってバカみたいにニヤついてるから、気になっただけ。ただの世間話みたいなもんじゃん。……怒ってるの？機嫌悪い？
静,いえ……普通よ。可もなく不可もなくって感じ。……成績表も普通よ、普通ゥー
女生徒,ふ～～ん……そっか……。じゃあ、さ。……賭けでもしてみない？
静,！……
女生徒,貴女の成績と私の成績……どっちが上か？……っていう賭けを、さ。……やってみない？静さん
静,……
女生徒,自分という存在が、赤の他人よりどれだけ優れているのか……知りたくない？自分自身に金を賭けてみたくならない？貴女は私よりどれだけ上にいると思う？……それをお金で表してみてよ。さあ、貴女はいくらお金を賭ける？1万？10万？……100万くらい？
静,……。……悪いんだけど、お断りするわ。……お金は欲しいけど
女生徒,……
静,さっきも言ったけどあたし、普通だから。……普段から真面目に勉強してる訳でも無いしね。社会がいいのはおじいちゃんの冒険話聞いて育ったからだし、音楽はミュージックが好きだから。本当にそれだけ。……自分自身に金を賭けられるほど、あたしは大した人間じゃあないわ
女生徒,……ふゥ～～～～ん……そっかァ。意外とつまらない人間ね、静。……賭けというのは心の勝負よ。勇気を持っている者が勝つの
静,……覚えておくわ。脳みそに容量の空きがあればね
女生徒,ところで……私の成績なんだけどさ
静,……
女生徒,なんとオール5なのでしたァァ～～ッ。ジャっジャジャぁ～～ンッ！……勇気だけじゃあ超えられないものっていうのもあるのねッ。アハハハハハハハハハ
静,……何なのよ、アイツ……
広瀬川,静さん、何を話していたの？
静,さあ？なんか一方的にバカにされただけよ
委員長,成績はどうだった？落ち込んでいる様子は無いし、良かったみたいだけど
静,まあまあね。兄さんに怒られる事は無さそうだわ
虻村,……オメー、美術で1取るなんざ、一体全体普段どんな絵描いてんだよ？
静,あたしの美的センスにニッポンっていう島国が付いてきていないだけよ。あたしの油絵の凄まじさにはゴッホもビックリなんだから
委員長,……ゴッホは生前評価を受けていないんだよ
静,さ。そろそろ帰りましょう。明日っからウキウキの夏休みよ。否が応でもテンション上がるわね～～ッ！
広瀬川,どこかに出かける予定はあるの？静さんは
静,んー……一度アメリカの実家にでも顔出そうと思ったけど、日本の夏って物心ついてから初めてだしね。今年は日本で夏を満喫かな。国内のどこかには行きたいと思ってるわ。……思ってるだけだけど
広瀬川,へえー。ボクは夏休みの間、親戚のおばあちゃん家にお世話になる予定でさ。……ビックリするくらいド田舎なんだけど、その地域に伝わるオカルト話がありそうで今からワクワクしているよッ
静,ふーん、いいんじゃあないのォ～～？委員長は？
委員長,一週間ほど、家族と海外旅行に行く予定だよ。しかしまあ、僕は大学に向けての勉強会があるからね。夏休みの間はあまり会えそうにないよ
静,ふーん。って事は……夏休みは一人かあ
虻村,スッゲェー自然に俺を無視するんじゃあねーッ！
静,どーせアンタもどっか旅行行くんでしょ？昨今のガクセーは金持ってんなー
虻村,特に予定も無く一人だぜ～～ッ！文句あっかコラッ！旅行行きたいって思ってるだけのお前と一緒だよッ！
静,って言っても、別にアンタと夏休みの間に会いたいって思う事無いしなァ～～。つまんなそうだし
虻村,夏っつったらイベント盛りだくさんだろうがよーッ！海！山！祭りィー！それらに参加するだけでもスッゲェー楽しいだろッ！
静,だから、アンタとは行かないって。マジで。……ここだけの話さ
虻村,ああ？何だよ？
静,……お金無い
虻村,……そりゃあお前……致命的だぜェ～～……
静,夏っていったらさ、やっぱり遊ぶ訳だし、あたしもちょっとくらいお金持っておくつもりだったのよ？
虻村,なんかあったのかよ？
静,AKIRAのライブビデオが発売してさ……高かったけど、高画質でライトハンド奏法が見たくって……お陰で今手持ち1万よ
虻村,ちょっと茶ァーしばいてメシ食ってゲーセン行ったら終わりだなッ
静,マジでどうしよう……このままじゃああたし、旅行にも行けずに日がな一日ウジウジ家にこもってる事になるわ
虻村,！……そぉ～～だッ！静ァーちょっとツラ貸せッ！
静,はあ？
虻村,実はよ～～、金ねえのは俺もなんだよッ！夏休みの前半はちょいとバイトに精出そうとでも思ってた所なんだッこれが
静,工事現場のバイトとか似合いそうね、アンタ
虻村,けどよォ～～高校生活初めての夏休みッ！バイトに使ったりウジウジ家ですごすっつーのは不健康だと思わねえか？なあ～～？
静,けど、金ねぇーもんあたし。何か儲け話でもあるっての？
虻村,儲けじゃあねえけどよ～～……金がねえなら、有る所から借りればいいんじゃあねえか？
静,……まさか、ヤミ金？
虻村,違ェーよッボケ！俺ら健全なコーコーセーがンなもん借りれるかッ！
委員長,……何の話をしているんだい、君たち……
虻村,いやッ！何でもねェーッ！。あのな、最近妙～～に羽振りがいいヤツが、クラスにいるんだよッ。俺は密かにワルい事して稼いでるんじゃあないかってニラんでるんだがよー
静,……そいつから借りるっていうの？そう簡単に貸してくれるかな？
虻村,急に金持ちになったヤツなら、金の使い方がわかってねえだろう？ちょっとくらいなら貸してくれるモンだとは思わねえか？
静,うーん……まあ、そうだけど
虻村,クラスメイトに借りるんだから、利息の心配とかも無ェしなァー。借りたモンは後で耳そろえて返せばいい。誰も損しちゃあいねえし、平和な事だろォ～～？
静,借りる額によるけどね
虻村,相手の財布事情があるが、出来たら数万円ほど借りてよォー、二学期が始まってからゆっくりバイトして稼いで返せば、みんなハッピーじゃあねえか。もしかしたら……羽振りが良すぎて俺らに少しばかり恵んでくれるかもしれねえぜ～～？グフフ！
静,そ、それは人としてどうなのよ。虻村……
広瀬川,……さっきから二人で話してるけど……そんなに悪い話なの？
虻村,な、なんでもねーぜッ！みんながハッピーになる話をしてんだよッ！
静,そ、そうそうっ！主にあたし達の夏休みがハッピーだわ
委員長,……？
虻村,っつー事でよッ！俺らちょいとヤボ用思い出したから、抜けさせてもらうぜ～～
静,じゃあ、また今度ねーッ。良い夏休みをッ
広瀬川,……どうしたんだろう？二人共
委員長,さあ？……良い話では無さそうだけどね
静,で、虻村。そのクラスメイトってどいつよ。二人のビンボー学生に金貸してくれるほど懐の深いヤツなの？
虻村,さあなあ～～。俺もあんまし話した事は無いのよ、実は
静,……そんなんで大丈夫？本当に？
虻村,心配すんなッ。人間話しあえば分かり合えるモンだろォ～？っと……。おーっス。ちょいと聞きたいんだけどよ～～
生徒,あれ、虻村……と、静さん？どうかした？帰ったと思ったけど
虻村,あのよ、あいつ……何処に行ったか知らねえか？今クラスにいねえみてーだが……
生徒,あいつ？……ああ。彼女か。ええっと……。おーい、誰か吉岡さん何処へ行ったか知らないかー？。……だ、そうだ
虻村,支倉高校ゥ～～？……デッドマンズ・カーブの所かよ？なんでんな所に……
静,？……何処よそこ
虻村,行くぜ、静ァ～～。見失ったら厄介だ。さっさと会いに行こうぜ。……吉岡によォ～～
静,……。……
虻村,暑ゥゥ～～……ヒィイ……
犬,……
静,……ウチの学校の生徒なんか、いないみたいだけど……
虻村,胸ん所に穴が開いた制服来たヤツだよッ。何かが刺さったみてぇーな穴開いてるヤツだ。そこから見える胸元がセクシ～～だぜェ～～。……お前と違って
静,ブチ消すわよ。あーもう、こんな暑さだし帰ったんじゃあないの？あたしも帰ってコーラ飲みたいわ
虻村,う～～む……そうかもなぁ……これだけ探してもいないって事は……あっ！。いたッ！いたぜッ静ァ～～ッ！向こうの道だッ！
静,えっ？……あれ、あの人って……
虻村,おい、結構足速ェーぜッあいつ！さっさと行くぜっ
静,ちょっ、待ってよ虻村ッ！あいつってさ……もうっ！
虻村,ハァ！ハァ！……ま、待ってくれねえかッ！？吉岡……吉岡純サン～～ッ？
静,……はぁ、はぁ……アンタって……？
虻村,少し……俺らの話を聞いて欲しいんだけどよーッ、時間大丈夫か？オメーっ
純,ええ。大丈夫……何の用？虻村くんに……静さん
静,……さっき話しかけてきた、クラスの……！
純,……。……
静,……ゴ、ゴクリ
虻村,お、おい。おい静！
静,……何よ虻村
虻村,話せよホラッ。女のテメェーのほうが話しやすいだろーがよッ
静,なッ！……ここまで来てそれは無いでしょーがッ！アンタから切り出しなさいよッ言い出しっぺ！
虻村,け、けどよォ～～なんて言ったらいいか……
静,テメェー○○○○ついてんのかッ！何でもいいから言え！ってのーっ
純,……そこまで暇っていう訳でもないのよ
静,えっ！？
虻村,あ～ん？
純,タイム・イズ・マネーぇぇ……時は金なり。過ぎ去る時間は黄金よりも価値のあるものなのよ。だんまりしちゃってる暇あるなら、私もう行くけど？
虻村,ちょ、ちょっと待った！待ってくれってェェ～～。あのよ、少しそのォ～～……お願いがあるんだけどよォ～～……
純,お願い？……
静,うんそうッ！あたし達をちょっぴり、助けてほしいかなァァ～～って……ね？
虻村,おうッ、そうなんだよなァ～～これがッ！
純,それは儲かるの？
静,……ん？
虻村,……ああ？
純,私が一円でも儲かるっていうのなら、聞くわよ。最後まで逃さず聞いたげる。けどそうじゃあないっていうのなら……話は終わりね。例えば金を貸して欲しいとか……
静,う！
虻村,グ！
純,……そういう下らないお願いなら、私は聞くつもりは無いわ。どうせ貸しても利子とか利息とか考えず、ただ返すだけなんでしょう？あわよくば逃げられたら良いかなァー……とか、思ってない？
静,ちょ、ちょっと！さすがのあたしでもそこまで悪どい事は考えてねえってのーッ！
虻村,そうだぜッ！利子とか利息とか考えてねえのはマジだけどよッ！
静,ちょっと黙ってろアホ村ッ！
虻村,ヌ、ググ……！
純,どうせなら、さ。……スリルに賭けてみるッ。……っていうのは、どう？
静,！……
虻村,……？
純,それが青春ってもんじゃあない？増やすか、スっからかんになるか。……勝負で決めるっていうのは楽しそうだと思わない？
静,……何の話？
純,フフ……
静,……500円玉？
虻村,おッ！……もしかして、恵んでくれたりィ～～とか……。ふぐっ！
静,……
虻村,す、すまねえ
純,……ポケットや財布に500円玉があると、何か妙～～に安心するわよね。1000円札のほうが価値があるんだけど、紙には無い重量感とか信頼感があるっつーか……。……さ
静,……
虻村,……
純,……ど～～っち……だ……？
静,……え？
純,どっちに入ってると思う？右手か？左手か？……500円玉はどっちの手に入っているでしょう？
静,……ひだ……
虻村,え？
純,……
静,……
虻村,お、おい静。俺はサッパリわかンねえぜッ。お前わかんのかよ？左か？
静,……いや、右よ。右に入ってる……！
純,……
静,右に入ってる……でしょう？
純,……。……右……ね……。……
静,……
純,……正解よ。あげるわ
静,……どうも
虻村,よくわかったなあ、オメーっ
静,……あー……まあ、ね
純,フフ……私さ、家が貧乏で……ちょっと人には言えないような事でお金稼いだりしてたんだけど、最近はもっぱら賭けが好きでさ。……賭けというのは心の勝負……大きな勇気と、打ち負かしたいッ！っていう気持ちが強ければ、勝てるものなのよ。下らない精神論じゃあないわよ？その気持ちが強い者は、すなわち勝ちに飢えている。……飢えている者は勝とうと考え、努力するからね。……わかるかな？私の話
静,……右手
純,……ふーん。いいわねェ
静,……
純,私、無駄なお金はビタ一文払いたくないタチなんだけど、賭けだけは別でさ。……賭けに負けたっていう事は、つまりは心が敗北したって事。その代償を支払うのは当然の事よねえ
静,右手
純,……なかなか。すごいわ
静,……
純,賭けなんて、カードやサイコロ、ルーレットなんか無くったって、どこでも出来るものなのよ。その時々の動きや現象を予想して、その自分の心にお金を賭ける。……心と心のぶつかり合いの果てに、相手の心を打ち破って、儲ける。……シビれると思わない？自分自身の心にお金を賭けるなんて……
静,……また右手
純,へえ？やるわねえ。これでもう貴女は2000円儲けた。私の心を打ち破ってね。……気分はどう？
静,……普通ね
虻村,静、オメーすげえなあ。全然わかんなくってよォ～～俺ァ～～
静,虻村アンタマジィ？マジに言ってんの？おまえ
虻村,あ～～ん？
静,……いや……
純,……
静,……わかりやすすぎる……イカサマでコインを入れ替えたりする気か？って疑っちゃうくらい、どっちの手に入ってるかモロバレよ。……お陰で儲かったけどさあ、なんか施しを受けたよーな感じで気分が悪いわね……
純,何？静。……2000円ぽっちじゃあ全然足りない！って顔ね？
静,……そうじゃあないわよ
純,わかってる、わかってるわよォ。……前座はこのくらいよ。お金を借りたいくらいに財布が貧しいんなら、もっとドッサリ儲けたいわよねえ？
静,……い、いや……
虻村,そォーっだぜーッ！いや2000円でもスゲー欲しいけどよ～～、やっぱもうちっとケタがねえと、夏休みがワビシイよな～～ッ！
静,いや、あの……もうそれでいいわよ……チクショ～～……
純,ふ～～ん……そっか。……それじゃあ。向こうの道を見て
静,……
虻村,……
純,あそこに会社員っぽいサラリーマンがいるの、わかるよね？……静、そっちじゃあないわ。あの店の前……そう、あの人よ。……あの人で賭けをしない？
静,……どういう意味？
純,あの人、のそのそとナメクジみてぇーな速度で歩いてるけどさ。……先に行った所の、二手に分かれた道
静,……
虻村,……
純,……端っこが工事中の右の道へ行くか？ひと気のない左の道へ行くか？……っていう賭けよ。……やってみない？賭け金は……。……100万円よ
静,！！な――
純,あっあー、わかってる。言わなくていいわ。……100万円なんて大金持ってないってね。そういう事でしょう？いいのよ別に……どれだけ長い時間がかかろうと、最終的に払ってくれればそれでいい。……っていう事なら、気が楽でしょう？
静,……
純,一日5000円ずつ返せばたったの200日で返済出来るし、お金じゃあなくっても行動とかでも返せるわよ。私のいう事を100万円分聞いてくれればOK。……ね？簡単でしょう？
静,……簡単って……
純,ン？
静,……100万円分の命令、でしょう？……そんなの……
虻村,いいじゃあねーかッ！その賭けーッ！俺は乗ったぜーッ！
純,グッド
静,！！……。……ちょっ……ちょっと虻村！
虻村,まあまあ静よォ～～、俺らは今、数千円くらいでも貰えれば喜ぶ所だが……欲を言えば数万円ほど欲しいって考えてるよなァ～～？こりゃーまたとないチャンスだと思わねえか？しかも負けても行動で返せるんだぜーッ？
静,だけど、こんな下らない賭けで100万なんて大金……
虻村,100万？小学生じゃあねーんだからよォ～～。ギャハハ！持ってる訳ねえだろうがッ。こっちが勝ったらそこにカコつけて数万もらうッ。負けたら言う事聞いてハイさよならだ。な？簡単じゃあねーかッ
静,だ、だけど……
純,静、おせっかいかもしれないけど……女のアンタなら100万円なんてすぐ稼げるわよ？
静,……はあ？。んな方法あるなら賭けなんかしてないっての。何言ってんのよ？
純,にっちもさっちも行かなくなったら、売れるものがあるって事よ
静,売るゥ？……CDとかのこと？
純,違うわよ。もっとヤバい……売るモンあるじゃあない。ほら、春とか――
静,は、はあッ！？売る訳ねェーだろーがッボケェーッ！！！いきなり何言ってんのッセクハラかッコラァーッ！！！
虻村,……
純,……え、もしかして貴女……まだなの？その……経験？キスした事も？……ウッソ、アメリカ生まれってもっとアカ抜けてると思ってたけど……
静,ううう、うっせーッ！！。わかったわ！賭けてやるわよ……右よッ！！
純,右ね……じゃあ私は左だわ……虻村君も右って事でいいわよね？
虻村,お？おうッ。……なあ、これってよォ～～……俺らが勝ったら、100万ずつって事か？
純,ええ、大丈夫。それでいいわ。私が負けたら一人100万払う。そういう賭けよ……
静,その前に確認するけど
純,ン？
静,……あの汗拭きながら歩いてる会社員は……アンタとグルじゃあないのよね？
純,……。自分の魂に賭けて誓うわ。あの人と私は無関係……なんなら今からあの人に話しかけて、携帯の電話帳を確認してもらってもいい。もしくは他の人を賭けの対象にしてもいいわ。後ろの方を歩いてる太ったオッサンにする？
静,……いえ。そこまで言うなら、いいわ。……あの会社員でいい
純,……ふうん。そう
虻村,静よォ～～……自信マンマンに賭けたけどよ、大丈夫なのかァァ～～？
静,大丈夫。見て、あの人……携帯をいじってるわよね？
虻村,んん？……ああ
静,あれたぶん、時間確認してる。……時間を見てるって事は、何かの時間を待ってる……例えば電車とか、人との待ち合わせとかよ。……電車が来るのはあと20分ある。ここから駅までは10分くらい。……だからあの人はのそのそ歩いてるって考えられる……
虻村,え？けどよお……それが何で右なんだ？
静,地理も把握出来てねーのかアホッ。右は駅方面でしょうが。対して左は郊外に続く道よ。駅に行くには回り道ッ。民家しか無くって何も無い方だわ。……しかもあっちの方の家は全部ガレージがついてて、みんな車を持ってる。会社員が歩いて帰宅するなんてほとんど考えられないわ。待ち合わせだとしても、駅前とかの方が目印がたくさんあってわかりやすいでしょう？……どう考えても右に行く方が確立が高いのよ
虻村,な……なるほどォ。そこまで考えてたのかテメェー。冴えてるなァ～～
静,アンタにホメられても嬉しくないってのー
純,静かに、二人とも。……そろそろ道に差し掛かるわよ
静,……
虻村,……
会社員,……
オッサン,ブェークショイッ！……ズズーッ
純,賭け金は100万円……二人で200万円……チラッ……とよ
静,……！！
純,負けた時はマジにきちっと払うのよ。それが賭けってもんだからね……
虻村,んな……！！
静,だ……大丈夫。あたしの考えは……正しいはずッ！
虻村,お、おいコイツマジに持ってるぜェ～～……どういう事だ？
静,……アホ村め……
会社員,……
オッサン,……ふぅー……
純,……来たわね……
虻村,……ハァー、ハァー……！
静,…………
会社員,……
静,――やったッ！右よッ！右の方へ――……。！？
純,……
虻村,なっ……ああン？
オッサン,うおおおあああ冷てぇェェ――ッ！なあんなんだよォ――ッ
男,すみませェん……事故でして、ちょっぴり水が漏れちゃいましたァ……すぐ直します。すみません。なので、そのォ……。……左の道から……回り道していただけますかあ……？
静,……なッ……！！
虻村,う……ちょっと待……嘘だろおッ……～～？
会社員,……
静,げっ！あ、ちょっとアンタッ！そ、そっちの道は……ああ、クソッ！！
純,……フフフ……
静,……
虻村,……負……負け？……えっ、マジか～～……っ？
静,む……無効よッこんなのッ！水道管が破裂するなんてッ……それが無けりゃあ、あの人は右に行ってたッ！！
純,……
静,今の賭けは無効よッ！純――ッ！！
純,……仮に今……あの天高い空から左の道に隕石が落ちて来たとする……
静,！……
虻村,……
純,そして仮にそのせいで、あの会社員はまた道を引き返して右の道へと進んだとしたら……貴方達は無効だと言うの？……自分に有利な事には目をつむって、不利な事は騒ぎ立てる……それが本当に対等な賭けだと言えるのか……？。時は今よッ！場所はここよッ！何が起ころうと対等な賭けの一部なの。……さあ、わかってるでしょうねえ？
静,う……ううッ！
純,……払ってもらうわよ。一人100万……二人で200万ッ！
虻村,ま……待てッ！待てよオイぃ～～……俺、100万なんて持ってなくってよォ～～……な？
静,……
純,……
虻村,代わりによ！100万分の言うこと聞くからよォ～～……なんでも言ってくれよッ！肩でも揉むかァ？ジュース買ってきてやってもイイぜェェ～～ッ！！
純,……
虻村,な？なんでもコキつかってくれ！あ、けど夏休みの宿題は自信無くってよォ～～……それ以外なら、なんとかッ。体力だけはあっからよォー。まあ、存分に……
純,……
虻村,……なァ～～？
純,……ハァー……。金をナメすぎよ、虻村
虻村,……え？
静,……ん？
虻村,ああ？
静,……何の音……？……。――！！
虻村,ぐがッ！！うゲェ～～ッ……！！
静,虻村ァァ――ッッ！！？それはッ……はッ！！。あッ！！あたしの右手もッ！！う……うわああッ！！。うわああッ！！これはッ……吉岡純ンンンン――ッッ！！
純,無駄よ。心が敗北してるの。賭けに負けたって事でね
静,……んなッ――……！！
純,……きィィ～～っちり！……耳そろえて払ってもらうわよ？それか、きっちり行動で、ね？……静
静,右手がッ！！まるで宝石……ルビーのように変わっていくッ！！スタンドかッ！？こいつ……吉岡純！！
虻村,あががっ、あががががっ……む……胸が……。く……苦しい、胸が……
静,なッ……！？
虻村,……
純,あーあーあーあー……金をアマく見るからよ。私は確実に取り立てる……アマく見るヤツには金の怖さ、身を持って体験してもらわないとね。虻村くんは金をナメたから、結構重要な器官がルビーになったみたい。……左の肺と心臓の一部かな？うう～～～～ん……この状態でホントーに100万返せる？やり過ぎちゃった？……まァーいいけど
静,このッ――！！。スタンド攻撃をやめやがれッ！！純――ッ！！
純,あ！それはダメ。やめるのは貴方よ。その方がいい。……私に攻撃するって事は、そのダメージは全部ルビーに跳ね返るって事だから
静,う！！
純,……貴方は大丈夫だろうけど、虻村くんは果たして無事でいられるかな？……試してみるのもいいかもよ？私はイタくもカユくもないけど
静,……。……最近さァ～～……景気良くブン殴れる敵が少なくって、苦労するわ……やれやれね
純,……
静,……メイの差金って事？あたしを始末しろって……そういう事？
純,……メイ？……有栖川さんの事？あの不登校の……？
静,……何？
純,どーして有栖川さんの名前が今出てくるのかはわからないけど……これは誰の命令でも無い。ただ私はお金を正確に返してもらいたいってだけよォ……本当にそれだけ
静,……
純,貴方や虻村くんは、私に100万円の借金がある。だからわかりやすいように、身体の一部をルビーに……100万円分のルビーに変えさせてもらったわ。くっだらないけどそういう能力なの。貴方達が100万円を返せば、その宝石は元に戻る……
静,……
純,まあ、手っ取り早く返したいのなら、その宝石になった右手……ちぎり取るのが早いけどね。ケケケケケケケケケケケケケケケケケケケケケケケケケ
静,！……
純,あ
静,……？。……ん？
男,……ふう～～……
静,……？こいつ……水道管を工事してた……？
男,……これで良かったのかい？……純ちゃん
静,！！――何ッ！？
純,……ええ。本当ォーに……助かったわ。パパ
男,純ちゃんのためならパパは何でもやるけどね……こういう事、本当はやっちゃあダメなんだよ？水道管をわざと破裂させるなんて……
純,うん。このお礼はたっぷり返してあげるわ。……今夜にでも、たっ・ぷ・り・と……ね？
男,……そ、そう？じゃあ～～仕方ないなあ……本当、心のオアシスだよ……純ちゃんは
静,……なッ……は……！？
男,じゃあ、そろそろ仕事に戻るね。ツマラない仕事だけど……
静,ま、待てッ！これは……どういう事ッ……！？
純,……
静,……どういう事なのよ……純……！！
純,甘ったれたガキの貴方に教えてあげる。……バレなきゃあイカサマじゃあないのよ
静,！……。う……うう～～……うッ！うッ！！
純,……
静,う……うう…………
純,……ふふ……
静,……静・ジョースターともあろう者が……一杯食わされるとはね
純,……
静,……悔しいけれど、負け……だわ
純,ふうーん……そっか……
静,……払うわ。100万円。……けどあたしは今手持ちが無い。100分の1の1万円すら持ってない……
純,何年たっても返せばいいわ。それが私の目的……だけどォ～～……
虻村,が……
純,……彼はお金返す事が出来るのかな？今日一日だって生きられるかどうかって感じだけど……
静,……か……返す、わ……
純,んん～～？。ゴメン、今ちょっと上の空で……聞いてなかった。なんて？
静,返す……あたしが、返すわ
純,何をォ？
静,あたしの分と、虻村の分……200万円分の借金、あたしが……返す
純,どうやってェ～～？
静,……
純,貴方、今言ったわよねェェ～～……1万円すら持ってないってェ。……そんな貴方が今日一日で、200万円稼ぐって？そりゃあスゴイ！それが出来たら年収7億円よ。……マジで言ってんの？
静,……お金は……無い。だから……行動で……返す、わ
純,……ふううう～～～～ン……そォう……。一発1万円としてェ
静,……
純,結構ボッてる気もするけど、生娘だったら払うヤツもいるわよね。胸無いのもマニア受けしそうだし。……んで、一晩で一人3回はヤるって考えれば、60人ちょっとか。……私のパパ達だけじゃあ人数足りないわね。……貴方結構クラスの男子に人気高いし、声かけたら二つ返事で集まるんじゃあない？若いヤツなら一晩5回はヤれそうだし
