アイドルのみんなも、,どうしたんだろうね
やよい,うふふ。美希さんも、良かったですねー……あれ？
真,？あれ、美希？
律子,！美希！？どこに行ったの！！
真美,あれ→？ミキミキなら、さっき電話に出てたけどな→？
亜美,その後、出ていったよ→
律子,美希！あんた今、どこにいるのよ！？
美希,……律子……さん。ミキがハニーを探し出すの！
司会,さて、昨日もお知らせした765プロのプロデューサーが行方不明となっている件、今日はその765プロのアイドル星井美希ちゃんに来てもらいました
美希,よろしくお願いします、なの
律子,美希……あの娘、勝手に……
司会,プロデューサーさん、やっぱり行方不明なんだよね？心配だよね、美希ちゃん
美希,そうなの。ハ……プロデューサーは、もう一週間も連絡がないの。ミキ、心配なの……
司会,プロデューサーさんは、いなくなる前に何か変わった様子は無かった？
美希,いつもと一緒だったの。ミキね、プロデューサーが心配なの
司会,美希ちゃんは、プロデューサーさんが好きなんだね？
美希,そうなの。ハ……プロデューサーは、ミキがキラキラするのを助けてくれるの。大切な存在なの
司会,そ、そうなんだ。でもそれってつまり……
美希,だからプロデューサー！これを……ミキの声を聞いていたら、戻ってきて欲しいの！！ミキ、待ってるの！！ミキのファンのみんなも、プロデューサーの事を一緒に探して欲しいの！プロデューサーの事を知ってるとか、見た人はミキに知らせて欲しいの！！お願いなのーーー！！！。ゴメンなさいなの！
真,……すごいよ、美希は
美希,……え？
やよい,ひとりでテレビ局に行って、あんなこと私は言えないですー！
真美,そ→だね→
亜美,さすがミキミキ、だね→
千早,これで見つかると、いいわね。プロデューサー……
美希,みんな……
伊織,ま、美希にしちゃあ良くやったじゃない
美希,でこちゃん……
伊織,でこちゃんゆーな！
律子,……美希！
美希,律子……さん、ゴメンなの
律子,まったくアンタって娘は……
雪歩,り、律子さん……美希ちゃんは……
貴音,美希なりにあの方を思って……
律子,やるならもっと、上手く利用してやんなさい！
美希,え？なの
律子,語りにしてても、情報を集めるにしても、もっと段取りとか……その……とにかく！もっと上手にアピールできたはずでしょ！
美希,律子！
律子,さん……を、つけなさい
真,この際だからさ、ちゃんと情報収集の窓口とかつくろうよ！
雪歩,専用のサイトとか、電話とか用意して
千早,そうよね！いい考えだわ
真美,ゆ→め→人の真美たちが、みんなで呼びかけたら→
亜美,うんうん。兄ちゃんなんか、す→ぐ見つけちゃうYO！
美希,そうなの！きっとそうなの！
律子,よ→し、いっちょやりますか！
伊織,ふふん、やっとみんないつもの調子が戻ったわね。じゃあ春香、いつもの……春香？
春香,ごめんなさい……ごめんなさい……みんな……プロデューサーさん……ごめんなさい！！！。みんな、ごめん！プロデューサーさんがいなくなったのは……私の……私のせいなんだよ！！！
春香の回想,プロデューサー失踪３日前
春香,……あ、天海春香！ただいま戻りましたっ！！
Ｐ,な！春香！？どうした？帰ったんじゃなかったのか！？
春香,あ、あはは……それがですね、駅の階段で転んじゃいまして……
Ｐ,なんだって！け、ケガは！？
春香,あ、それは大丈夫です。ほら私、よく転ぶけど怪我だけは……
Ｐ,そうか。だけど気をつけろよ……って、春香？もう10時だぞ！急がないと電車がなくなるぞ
春香,……
Ｐ,春香？
春香,プロデューサーさん……私の話、聞いてくださいますか？
Ｐ,？大事な事か？
春香,はい
Ｐ,わかった。ちょっとまっててくれ、電話を１件終わらせてからゆっくり聞く
春香,いいですよ
Ｐ,……ああ、俺だ。いや遅れたといっても、５分かそこらだろ？ちょっと手が離せなくて……いや、違う
春香,……
Ｐ,わかったよ。いいよ、埋め合わせを今度するよ。それじゃあ
春香,……電話、彼女ですか？
Ｐ,……春香？
春香,それ、いつものケータイじゃないですよね？
Ｐ,おいおい、春香？今日はやけに厳しいな
春香,電話、すごい親しそうでした……
Ｐ,そんな風に聞こえたか？へえ……
春香,彼女なんですね？
Ｐ,いや……違う
春香,ほんとですか？
Ｐ,少なくとも俺は、そのつもりはない
春香,ほんとですね？
Ｐ,春香？今日は本当に一体どうした……
春香,じゃあ私とつき合ってください！
Ｐ,……え？
春香,わ、私と！つき合ってください！！私、プロデューサーさんの事が好きなんです！！！
Ｐ,好き……？春香が、俺の事を？
春香,ずっと……ずっと、プロデューサーさんが好きでした。優しくて、いつも一生懸命で、そして……いつも夢に向かって輝いていて
Ｐ,俺の事を……好き？夢に向かって輝いている？俺が……？
春香,最初は尊敬していました。でも、その想いがいつか私の中で、愛情に変わっていったんです。好きです、好きですプロデューサーさん！
Ｐ,……春香
春香,言いたい事は、わかります。私はアイドルです。でも、でも……
Ｐ,いや、そうじゃない
春香,アイドルじゃなくて、私をひとりの女性として見て欲しいんです！
Ｐ,……そうじゃない。そうじゃないんだよ、春香
春香,え？
Ｐ,俺の事を……本当に好き、なのか……？
春香,はい！最近はいつもプロデューサーさんの事を考えてしまいます。それに……
Ｐ,？なんだ？
春香,みんなも……いえ、とにかく、本当に私はプロデューサーさんが好きなんです
Ｐ,……そうか
春香,もちろん、アイドルとしてもがんばります。人には内緒でいです。だから……私とつき合ってください。お願いします！
Ｐ,は、春香……意外と大胆だな
春香,駅で転んだら、なんだか事務所に戻ろうって気になって……事務所にプロデューサーさんがいるのわかったら、なんだか抑えられなくって……
Ｐ,好き……好き、か……
春香,プロデューサーさん？笑ってるんですか？
Ｐ,ああ。でも、春香の事を笑ってるんじゃないぞ
春香,え？
Ｐ,今さ、俺……ちょっと個人的な問題をかかえてるんだ
春香,はあ
Ｐ,返事はさ、それが解決してからでいいかな？
春香,！はいっ！！ま、待ってます私。待ってますから……
Ｐ,泣くなよ。どう答えるか、俺にもまだわからないし
春香,そ、そうなんですか？
Ｐ,でも春香のおかげで、気がついた事がある。それについては……感謝している
春香,？
Ｐ,さあ、本当に電車が無くなるまでに帰るんだ。なんなら駅まで送る
春香,だいじょ……あ、えっとー……やっぱり送って下さい！
Ｐ,はいはい、お姫様の仰せのままに。今日はもう仕事も終わりだ。さ、行こうか
春香,はい！
千早,……それで？
春香,え？
響,え？じゃないぞ
貴音,そうです。肝心なのは、その後のはず
真,その後、なにがあったんだい？
春香,え、えっとー何か食べて帰りましょうって誘ったんだけど、本当に電車が無くなったらどうするんだ、って軽く怒られて……
律子,……いや、そうじゃなくて！
春香,ええ？
響,一体今の話のどこに、プロデューサーが失踪する要因があったんだぞ？
真美,そ、そ→だよ→
亜美,はるるんの勇気はすごいと思うけど→
雪歩,それでどうしてプロデューサーが、失踪しちゃうんですか？
春香,だからつまり……トップアイドルの私から告白されたプロデューサーさんは、愛と仕事の板挟みにあって、それで思いあまって……
伊織,ばかばかしい！いくら唐変木のアイツでも、そんな理由で失踪するはず無いじゃない！！！
真,ちょっと自意識過剰じゃないかなあ
律子,ちょっと春香、あなたもしかしてここ数日、本気で今の事を悩んでたの？真剣に？
春香,だ、だって……ドキドキしながら返事待ってたら、プロデューサーさんあんなことに……時期的にも変わった事ってそれぐらいだと思ったから……
やよい,そうなんですかー
真美,も→なんか時間を損した気分だよ→
春香,そんなあ。じゃあもしかして、私の告白とプロデューサーさんの失踪は……
千早,関係ないわね、間違いなく
春香,ううう……良かった
貴音,でも春香の告白はともかく、わたくしも言っておきたい事があります。あの方は、実は脅迫をされておいででした
響,た、貴音！本当か？
貴音,ええ。あの時は気にするなとあの方に言われましたし、この業界では脅し程度は日常茶飯事と言われましたので得心いたしましたが……。ですが、春香の話を聞いていてはっといたしました。何気なく思っていた事でも、もしやあの方の失踪に繋っているのでは、と
貴音の回想,プロデューサー失踪６日前
貴音,……あなた様？
Ｐ,……
貴音,あなた様！
Ｐ,うおっ！お、おお。貴音か。どうした？
貴音,それはわたくしの言葉です。あなた様は、今朝からなにやらご煩悩の様子。なにがあったのですか？
Ｐ,……なんでもない。ちょっとビックリする事が昨日、あってな
貴音,それはなんですか？
Ｐ,まあ、貴音に話す程でもない。さっきも言ったが、ちょっとビックリしたが、思い出してみると微笑ましいという気にもなってきた
貴音,？なんの事やら、わたくしにはさっぱり
Ｐ,はは、いいんだ。さ、仕事だ
貴音,……はい。あなた様の表情も、晴れたように見受けられます。安心いたしました
Ｐ,そうか……悪かったな、心配かけて
貴音,いえ。ではその企画書を……これは？
Ｐ,ん？あれ、企画書はこれ……貴音！それは見るな！！
貴音,Ｐは頃す必ず頃すその日は近い待っていろ夢にまで見たＰの死ももうじきだ……どの紙にも……あなた様、これは！？
Ｐ,た……貴音、これは……これはな
貴音,あなた様を殺害するという予告、いえ脅迫ではありませんか！！
Ｐ,あ……あ、ああ。そうだ
貴音,すぐに警察に届けを
Ｐ,……
貴音,あなた様？早急に対策をとらねば！
Ｐ,いいんだよ、貴音。こんなの気にするな
貴音,そうは参りません。あなた様にもしもの事があれば、わたくしは！
Ｐ,こんなのはな、この業界じゃあ日常茶飯事だ。ステージの上は、輝いている。でも裏に回ればその分、ドロドロした闇の部分がある
貴音,……世の中が、建前だけではないことはわたくしも承知しております。ですが……
Ｐ,まあ聞いてくれ、貴音。こんな脅し文句は、いつも口だけだ。実際に頃されたやつなんていやしない
貴音,それは、まことですか？
Ｐ,ああ、弱い奴ほどよく吠えるもんだ。口では頃す頃す言ってても、実際は……
貴音,？あなた様
Ｐ,ははは。ははははは。あはははははは！
貴音,あなた様！？どうなさったのですか、あなた様！！
Ｐ,はははははは……いや、すまない貴音。俺も殺すって書かれて少なからずビビってたのかもな。相手がブルブル怯えながら俺を脅しているんだと思ったら、ちょっと笑えてきた
貴音,そうですか。ですがあなた様、存分にご注意を
Ｐ,ははは。貴音は、心配性だな
貴音,あなた様は、いけずです。わたくしがこれほど心配しておりますのに
Ｐ,……悪い。貴音の気持ちは、肝に銘じておくよ
貴音,くれぐれも、油断なきように
Ｐ,わかったよ。でも、繰り返すけど心配するな。こんなの本当になんでもないから
貴音,あいわかりました
亜美,お姫ちん、それ……ホント？
貴音,本当です。ですが、あの方も仰ってました。心配はない、と
真美,でも……でも兄ちゃんは……
美希,やっぱりハニーは、誰かに狙われてたの！きっと身の危険を感じて、どこかに隠れてるの
真,……
美希,ね、真クンもそう思うよね？
真,悪いけど……あのプロデューサーが、そんなコソコソするとはボクには……
伊織,そうね。それにアイツが、私たちをほったらかして、しかも黙って自分だけ逃げるなんて、ちょっと想像できない
千早,私も、そう思います
貴音,でもそういたしますと、あの方は脅迫者の手に……
律子,貴音！
響,なあ、自分は美希の言うことアタリじゃないかと思うぞ。いざとなったら、とりあえず逃げるのは間違いじゃないんだぞ
やよい,そういえばー。響さんの家族の動物さんも、よく響さんが食事を食べちゃって家出とかしますよねー
響,うぎゃー！やよい、それは言わない約束だぞー！
雪歩,つまり響ちゃんは、プロデューサーはとりあえず身を隠しているんじゃないか、って言いたいんだね
響,そうさー。そしてその潜伏先、自分完璧だからわかったぞ！
美希,どこ！？ハニーはどこにいるの！！
響,人は誰でも、困ったときは故郷に帰る……そういうものなのさー
貴音,成る程。故郷から遠く離れて暮らす者なら、よくわかります。流石は響
真,響も貴音さんも、そうですもんね。こりゃあ説得力のある言葉だよ！
千早,……そうね
美希,さっそくこれから行くの！ハニーのふるさとへ！！
やよい,行きましょう！プロデューサーのこきょうのあずきじまへ！！うっうー！！！
春香,え？
千早,ええ？
響,あずき……じま？
真美,どこ？
亜美,それ？
やよい,えー？あずきじまだよ、あずきじまー。このあいだ食べた、おそうめんに書いてあったところだよー
律子,それはひょっとして……
伊織,やよい、それは小豆島しょうどしま
やよい,ええー！そうなんですかー？もしかしてそれであの時もプロデューサーは笑ってたんですかー……
春香,ねえやよい、その時のことを私たちに話してよ
やよい,は、はい。ええとあれは……
やよいの回想,プロデューサー失踪５日前
Ｐ,ふう。悪かったなやよい、ごちそうになっちゃって
やよい,とんでもないですー。プロデューサーにはいつもおせわになってますし
Ｐ,はは。そうめんなんて、久しぶりに食べたよ
やよい,そうなんですか？
Ｐ,昔は、あんまり好きじゃなかったからな。なんとなく敬遠していたし……でも、改めて食べると美味しいもんだな……
やよい,はわわ！ごめんなさいプロデューサー
Ｐ,？なんで謝るんだ？
やよい,私、プロデューサーの嫌いなもの出しちゃったんですね
Ｐ,あーいやいや、違う違う。味じゃないんだよ、食べなかったのは
やよい,そうなんですかー……？
Ｐ,ああ。やよいが料理してくれたから、美味しかったよ
やよい,ありがとうございます。あーでもー
Ｐ,ん？
やよい,グリーンピース、残しちゃダメですよ。栄養だっていーっぱい入ってるんですからね！
Ｐ,……そうだな
やよい,しっかり食べないと……あれ？
Ｐ,……
やよい,プロデューサー？
Ｐ,昔、同じ事を言って怒られたよ。涙目で真剣に怒ってたな……
やよい,それって、プロデューサーのお母さんですか？
Ｐ,……
やよい,プロデューサー？
Ｐ,俺に……親は、いない
やよい,！ご、ごめんなさいプロデューサー！
Ｐ,え？
やよい,私……私、知らなくって……
Ｐ,あ、ああ、いいよ。別にどうってことないから
やよい,でも……
Ｐ,いいんだよ。気にしないでくれ、やよい。もう慣れっこだ
やよい,でも……
Ｐ,ああ、泣かないでくれ。本当に、なんでもないんだ。俺はなんとも思っていないから
やよい,……はい
Ｐ,このそうめんな、箱を見てビックリしたよ。このそうめんを作っている島で、俺は育った
やよい,ええと……あずきじま、ですか？
Ｐ,あはははははは
やよい,？どうしたんですか？プロデューサー
Ｐ,いや、なんでもない。島のこと、思い出したよ
やよい,いい所なんですかー？
Ｐ,……そうだな。風が吹くと、そうめんとごま油の匂いがしてきたな
やよい,わあー。じゃあそれだけでご飯が食べられそうで、お得なカンジがしますね。うっうー！
Ｐ,……ああ
やよい,プロデューサーは、どんな子だったんですか？やっぱりおりこうさんでしたか？
Ｐ,……いや。俺は、手のつけられない悪ガキだった
やよい,うふふ。プロデューサーは、ウソがへたですね
Ｐ,いや、ホントだって。よくセンセイに怒られた
やよい,あ、じゃあさっき怒られたって言ってたのも……
Ｐ,ああ施設のセンセイに、な。本当に、悪い子だったな……俺は誰も好きじゃなかったし、誰も俺を好きじゃなかった
やよい,そんなこと……
Ｐ,人間ってのをさ、やり直せるなら……俺はあの頃からやり直したいな。捨てられた事は、どうでもいい。でも、あの頃、俺がもうちょっとマシな人間だったら……今だって……
やよい,そんなこと……言わないでください
Ｐ,え？
やよい,プロデューサーはすてきな人です。みんなみんな、プロデューサーがだいすきですよ？
Ｐ,みんな？
やよい,事務所のみんなですよー！
Ｐ,俺を好き？
やよい,そうですよ
Ｐ,仕事の上だけじゃなくて、か……？
やよい,お仕事はかんけいないですよ。みんな、プロデューサーがだいすきなんです
Ｐ,……そんなわけは……
やよい,ほんとですー！！！
Ｐ,……。…………。………………
やよい,ほんとです……よ？
Ｐ,……そうか
響,うう……
雪歩,プロデューサーに、そんな過去があったなんて……
真,うん、びっくりだね
春香,普段は、あんなに明るいからビックリだよ
千早,……
真美,真美、泣きそう……
亜美,亜美なんか泣いちゃったよ
美希,ハニ゛ィィィーーー
貴音,いつもはそれを微塵もみせず……あの方は、立派です
律子,人間はね、誰しも心の中に誰にも見せない鍵付きの部屋を持っているのよ
亜美,おお→りっちゃん、大人の言葉→
真美,りっちゃんにも、そ→ゆ→のあるのかな？
律子,こら、茶化さない。それにしても小豆島ねえ……行ったこと無いから、よくわからないけど……
伊織,私、行ったことあるわよ
美希,さすがでこちゃんなの！じゃあ案内は頼むの
伊織,……そ、そうね
律子,そうね。このままでいるよりは、こちらから探しに行くのもアリよね
響,じゃあ移動手段の手配、律子頼むぞー
律子,え？響も行くつもりなの？
響,え？もちろんだぞ
貴音,勿論、わたくしも
春香,プロデューサーさんの故郷！行くしか！
千早,そうね、私も行ってみたいわ
真美,真美達だってね→
亜美,行きたいよ、兄ちゃんトコ
雪歩,わ、私も……
真,ボクだって！
やよい,うっうー！
律子,そうね……よく考えれば、私は仕事をしないといけないわよね
春香,スケジュールが空いてるのは……
律子,伊織にやよい、千早と……。引率役、お願いしますね
美希,いやなのー！ハニーの故郷には、ミキが行くのー！！
律子,ミキ、仕事も大事でしょ！
美希,いやったら、いやなのー！！！
伊織,ふう。あのね美希、でももしかしたらアイツはここに帰ってくるかも知れないのよ？
美希,え？そ、そうなの？
千早,そうね。故郷に帰るのもありえるけど、ここに帰る可能性も高いわよね
真,ここは、プロデューサーにとっても家同然だもんね
雪歩,うん……そうかも知れないね
春香,そっか、そうだよね。わかりました！私は事務所でプロデューサーさんを待ちます
美希,ならミキもそうするの！
高木,なるほど、小豆島ねえ。よし、行ってきてくれたまえ
伊織,迷子になられちゃ、困るものね。にししっ
やよい,うっうー！私、フェリーに乗るのって初めてですー
伊織,フェリーに乗ると、映画の甘い生活を思い出すわね
千早,ふうん。どんな映画なの？
伊織,千早は観ない方がいいかもよ、にししっ
千早,？
やよい,伊織ちゃんもおいでよー！！
伊織,……わ、私はちょっと喉がかわいたから後で行くわ
千早,そう？じゃあ上で待ってるわね
伊織,！な、ななな、なに？。な、なんでもないわよ！。なんなの？。……。……みんなには、言わないで欲しいんだけど。確かに私、小豆島へは行った事あるわ。水瀬の別荘があったから……。行ったのは一度だけ、それも１０年も前の事なの……。正直、行った事は覚えてないの。だからもしもその１０年前に、アイツに島で会っていても私は全然……。私……アイツに会っていたのかな？１０年前に……。な、ば、そ、そんなわけ……。始めてアイツのプロデュースでの、単独ライブだったから、色々と打ち合わせてただけよ！。あ……ええ
やよい,しおかぜが、とっても気持ちいいですねー。はい？私、おこったりなんかしませんよ。……はい
やよいの回想２,プロデューサー失踪５日前
Ｐ,やよいの家に来るとさ、家族がたくさんいて……みんな仲が良くて羨ましくなるよ
やよい,プロデューサーは、家族がいないんですね
Ｐ,育った施設でも、俺は嫌われ者だったしな……正直、家族とか仲間とかよくわからなかった
やよい,かわいそう……
Ｐ,そう……だな。今、思えばそうだ。俺は嫌われるべくして嫌われていた。センセイがいつも、言ってた通りだったな……
やよい,なんて言ってたんですか？そのセンセイは？
Ｐ,人に信じられたければ、人を信じろ。人に愛されたければ、人を愛せ……
やよい,すてきな言葉ですねー
Ｐ,……俺は、そう思えなかった。だから反発していた
やよい,……
Ｐ,馬鹿だったな。自分の生い立ち、環境、人間関係、そういったものを全部全部、憎んでた……
やよい,プロデューサー……
Ｐ,仕舞いには、センセイをひどい言葉で傷つけた
やよい,もういいです、プロデューサー
Ｐ,俺は、最低の人間だった……
やよい,もうやめてくださいプロデューサー。自分をせめないでください……
Ｐ,長介達は、もう寝たのか？
やよい,え？は、はい
Ｐ,今は、２人だけか……
やよい,そうですけど？
Ｐ,じゃあ……泣いてもいいか？
やよい,え？
Ｐ,俺は憎しみに駆られ、とんでもない過ちを犯す所だった……
やよい,そ、そうなんですか？
Ｐ,正直なんで今、やよいにこんな事を話しているのか、自分でもわからない
やよい,……
Ｐ,俺は……最低の人間なんだ……
やよい,……いいですよ
Ｐ,え？
やよい,泣いてもいいですよ。つらい時は、泣くと楽になれますよ。よーしよし
Ｐ,……醜態を晒したな
やよい,しゅーたい？ですか？
Ｐ,みっともない所を、見せたな
やよい,ぜんぜん、だいじょうぶですよ。大人だって苦しい時や、泣きたい時だってあるんじゃないですか？
Ｐ,……かも知れないが、俺は初めてあんな風に泣いた。きっとやよいだからだな。……ありがとう、やよい
やよい,……はい
Ｐ,明日から、俺は変わる。もう……馬鹿な事は考えない
やよい,？……はい。あの夜の事を思い出すと、なんだか私……恥ずかしいような、うれしいような、ふしぎな気持ちになってー……。そんな、わたしなんて……
千早,♪追いかけて～逃げるふりをして～♪。あら、そうでもないですよ。私は春香の歌、好きですし。はい。それに……元気になれる歌が多いですから。ええ。……どうしてですか？。……。……まるで、名探偵ですね。はい。私は、プロデューサーさんが親御さんがいなくて、施設で育った事を知っていました。高槻さんと違って、どこの施設かは知りませんでしたけど。あれは……プロデューサーがいなくなる、２日前の事でした。はい。ですけど……。もし……もしもですよ、小豆島でプロデューサーが見つかったとして、プロデューサーが765プロにはもう帰りたくない、そう言ったらどうしますか？。私はプロデューサーに、プロデュースをして欲しいです。トップアイドルにしてくれる、世界へ連れて行ってくれる、そう約束もしました。私には、歌う事しかできません。渡り鳥は飛び方は知っていても、飛ぶ方向を示す星がなければ目的地には辿り着けません。でも、プロデューサーが自分の幸せのために、プロデュースを止めるのなら……私は、それでも私のプロデュースをして下さいとは言えません。こんなはっきりとしない、不安の残るお別れは嫌です。でも、もしも島でプロデューサーが幸せならば、それで私は安心して帰ります。私がそう思うのは、単なる憶測ではないんです
千早の回想,プロデューサー失踪２日前
Ｐ,ああ、帰ったらいつものように連絡する。心配しないでくれ……いつも、ありがとう。え？へ、変かな？ははは
千早,……プロデューサー
Ｐ,あ、ああ千早。悪いな、待たせて。なんだ？
千早,プライベートを、職場に持ち込まないで下さい。今は、次のライブの打ち合わせのはずです
Ｐ,あー、まあこれも仕事の一環と言えなくも無いんだが……
千早,えっ？
Ｐ,いや、まあいい。悪かった千早！後でなんか奢るよ
千早,プロデューサー……何か、あったんですか？
Ｐ,えっ？
千早,何か妙に、浮かれていますよ。もしかしてさっきの電話ですか？
Ｐ,いや、あれは違う
千早,春香も、言っていました。なんだか親密そうな電話をしている、って
Ｐ,はあ、相変わらず千早と春香はツーカーの仲だな。じゃあ昨日、春香が俺に言った事も知っているのか？
千早,？いいえ
Ｐ,そ、そうか。いや、そうだよな。はは
千早,何を言ったんですか？春香が
Ｐ,……それより千早、俺の相談にのってくれないか？
千早,ごまかさないでください
Ｐ,いや、違う違う。俺にとってはそっの方が、重要な事なんだ
千早,本当ですか？
Ｐ,ああ。あの、な……最近、お母さんとはどうだ？
千早,……この間、電話をしました
Ｐ,すごい進歩だな。それで？
千早,たまには帰ってきて欲しい、と言われました
Ｐ,……
千早,私のプライベートよりも、プロデューサーの相談というのを聞かせて下さい
Ｐ,母親ってさ、やっぱ子供に会いたがるもんかな？
千早,それはまあ……
Ｐ,会うと……嬉しいのかな？
千早,そうみたいですね
Ｐ,二十数年ぶりぐらいに会うとしても、そうだと思うか？
千早,プロデューサー？……もしかしてプロデューサーの事ですか？
Ｐ,俺は、児童養護施設で育った。親の事は、何も知らない
千早,！そうだったんですか
Ｐ,ああいう施設で育った子ってさ、いつも想像してるのさ。自分がここにいるのは何かの間違いだ、いつかお母さんが迎えに来てくれる、泣きながら自分に詫びながら……
千早,……わかります
Ｐ,来客があるとな、みんなソワソワしだすんだ。自分を親が迎えに来てくれたんじゃないか、ってな
千早,そうなんですか
Ｐ,だけど、現実は甘くない
千早,……
Ｐ,そしてそうやって、夢を見ている子を逃避だ卑怯だと決めつけて非難し、来客時にソワソワしている子達を指さして笑ったりするヤツもいる
千早,ひどい！
Ｐ,それが、俺だ
千早,えっ！？
Ｐ,ひどいガキだったな……今思い返すと、恥ずかしくて泣きそうになる
千早,そんな……きっと、寂しかったんですよね。プロデューサーも
Ｐ,ああ。自分だって、夢にみるクセにな。お母さんが、迎えに来てくれる夢を……それなのに強がって、意地を張って、周りを憎んで……
千早,子供だったんです。仕方ないと、私はおもいます
Ｐ,そんなひどいヤツなのに、夢が叶った
千早,え？
Ｐ,この仕事してて、時々ふっと思ったりはしたよ。みんなが売れっ子になったら、もしかして俺の名前も有名になって、ひょっとしたら母親が名乗り出てくれるんじゃないか、って。そんなこと思う自分を自嘲してきたが
千早,もしかして……見つかったんですか！？プロデューサーのお母さんが！！
Ｐ,会いたい、そういう連絡があった
千早,良かったですね、プロデューサー！
Ｐ,会う、べきかな……？
千早,えっ？何を言っているんですか！会わないとだめですよ
Ｐ,こんな俺が、会ってもいいのかな……
千早,プロデューサーは立派です。私の自慢のプロデューサーです！。会わないと後悔しますよ。それなら、会って後悔してもいいじゃないですか
Ｐ,……そうか？
千早,そうです！
Ｐ,そうか
千早,はい！
Ｐ,千早に相談して、良かったよ
千早,ふふ。プロデューサーの役に立てました。それで、いつ会うんですか？お母さんに
Ｐ,これから連絡をする。明日の夜、かな
千早,楽しみですね
Ｐ,……そう、だな。ああ、なんかワクワクしてきた。あ、みんなには内緒だぞ。色々と騒がれるのは嫌だからな
千早,はい。二人だけの、約束ですね。ええ。きっと次の日の夜に、プロデューサーはお母さんと会って、そして次の日にはもういなくなった。私、ちょっと思うんです。心配もしていますけど、もしかしたらプロデューサーはそのままお母さんと一緒にいるんじゃないか、って。ええ。そしてそれが幸せなら……それでプロデューサーがいいなら、私は自力で世界を目指そうって。はい。だから私も来たんです、ここへ……あ！港が見えてきましたよ
やよい,あれー？ここ、さっき通りましたっけ？
千早,似ている……というか、どこを歩いても似ている気がするのだけれど……
伊織,ちょっと！一体、どうなってるのよ！！
千早,この昼食の残りのパンを、少しずつちぎって落として歩きましょうか？
伊織,グレーテルみたいになるのが、オチよ
やよい,もったいないですよー
伊織,ちょっと！ただでさえ迷子になってるのに、そんな事したら……。本当に大丈夫なの……あれ？
千早,ここって……
やよい,あれー？もしかして。……ついちゃいましたー！
千早,凄い……
伊織,やられたわね。毒をもって毒を制す、ね。スーパーアイドルのこの伊織ちゃんを筆頭に、アイドルが４人も来たんだから、騒ぐのも無理ないわよね
女性,昨日、テレビで騒ぎになったので知っております。Ｐ君が、行方不明とか。こちらへも、島へも。そもそも、彼が島を出てから一度も帰ってきたり、連絡はありませんから。あの……。彼は……Ｐ君は、うまくやっていますか？その、人間関係とか……お仕事とか……
千早,はい！プロデューサーは、私の誇りです
女性,良かった……随分と心配したものですよ。彼は殴りゃいばかりしよった子でしたから
やよい,私、なんだか信じられません
女性,寂しさや辛さを、怒りで表していました……自分以外、全てを憎んでいる時期もありました。私の言う事に、いちいち反発したりして……でも、ある日を境に彼も変わりました
千早,何があったんですか？
