銀架城,ジルバーン
リル,なんで飲み会に顔出してたんだ？
BG9,…………
リル,ひょっとしてお前、意外と付き合い良いタイプか？
BG9,…………回答を拒絶する
リル,……ﾁｯ。邪魔だ消えろ
ペペ,ひどーい♪せっかく会えたんだし、ミーとお話ししていってくれてもイイじゃない？
リル,キメぇんだよブタ野郎。てめーと話すことなんてねーよ
ペペ,ゲッゲッゲ、そうカナ？リルトットちゃんだって吐き出したいことが溜まってるんじゃない？
リル,あ？
ペペ,たとえばあの眼鏡ボウヤの事とか、サ♪
リル,……それこそてめーにゃ関係ねーだろ
ペペ,関係なくないモーン♪そもそも、この見えざる帝国で、今回の重大発表と関係せずにいられる滅却師なんて居ないでしょ？
リル,オレが言いてーのは、何の話題であれてめーと話なんざしたかねーってことだ。アイツらの喧嘩も覗いてやがったのか。油断も隙もねー豚だな
ペペ,人聞き悪いナ、ちょっと観察してただけだって♪。違うって～。ミーは、同じ見えざる帝国の仲間同士なのにミンナ“愛”が足りないな～って、心を痛めてるんだよ
リル,くだらねえ。愛で腹が膨れるかよ
ペペ,少なくとも心は満たされるよ。“愛”があればね。でも“愛”を忘れた者、“愛”を知らない者は後を絶たない。だからこそミーは、ミンナに“愛”を分けてあげるのサ！。“愛”は人を強くする！“愛”は人を優しくする！ミンナが“愛”に殉じる時、初めて真実の“愛”が生まれるッ！！
リル,――ずいぶんと押しつけがましい“愛”なこった。地獄以外の何物でもねーよ、んなもん
ペペ,――あーあ、可哀そうだナー。リルトットちゃんにも“愛”を教えてアゲたいナー
リル,…っ！！
食いしんぼう,TheGlutton
ペペ,ラァ～ヴ・キッス！！
リル・ペペ,！！
リル,……びっくりしたはこっちの台詞だ。突然出てくんじゃねーよ
ニャンゾル,驚かせてごめんらよ。けど、あんたたちゅの方が急に攻撃し始めらのがいけないら
リル,オレだって、小うるせーブタネズミが跳んできそうだったからおやつ代わりに喰ってやろうと思っただけだぜ
ニャンゾル,そうなんら？けど妙らね、攻撃れないならオイの身体を避けるハズがないんらけど
リル・ペペ,……
ニャンゾル,ま、星十字騎士団同士の私闘なんれ許されるはずがないし、オイの考えすぎらか？
その独特な雰囲気に毒気を抜かれたのか、,よいしょっと
ペペ,マ、雑談タイムはこのぐらいにしとこうかナ。次の侵攻に向けて準備もしとかなきゃだし、ネ♪
リル,……
ペペ,バイバイ、リルトットちゃん♪次の戦いもお互い頑張ろうネ！
ニャンゾル,ひょっとしてオイ、余計らことしたらか？。どういたしましれ。ま、陛下は争いが嫌いらからね
リル,けど、銀架城の内部でまでわざわざ影の中に隠れて移動することねーだろ
ニャンゾル,オイは影に居た方が気楽らけどなー。表はろうにも物騒らことばかりらし
リル,……外の世界で晴れて生きてくために死神連中と戦ってるってのに、本末転倒な奴だな。前にアキュトロンの奴から聞かされたことがある。1000年前に陛下が封印された後の、滅却師たちの話を。陛下の復活を望み、瀞霊廷の“影”に逃れ“見えざる帝国”を築いた奴ら。現世へ撤退し、死神の監視の下で生きる道を選んだ奴ら。陛下の完全なる目覚め……そして死神共の粛清、それこそがオレら見えざる帝国の悲願。……とはいえ、新参のオレにはその辺の事情はどうでもいいっちゃいいんだがな
ニャンゾル,――おーい、聞こえれる？。んにゃ、そうれもないんよ。偶然落ちてら石ころに躓いれ転ぶこともある
リル,えっ、そうなのか？てっきりそういう時は石の方から避けてくれるもんだと思ってたが……
ニャンゾル,ま、意図的に設置されら罠らったら大丈夫なんらけど
リル,おい待て匙加減がいまいちわかんねーぞ。相変わらず言葉の足りねー奴だな……つーかそれでもよくわかんねーっての。結局どこまでが攻撃になるんだよ
ニャンゾル,実はオイもその辺の細かい所はよくわかってないんらよ
リル,はぁ？
ニャンゾル,らから、影の中を移動した方が気楽なんらって話
リル,……なんつーか、ナックルヴァールといいジジといいお前といい、無敵系の連中っつーのはどうにも適当な性格なのが多いな
ニャンゾル,そうかな？れもオイらって――
リル,あーもういい。お前の舌っ足らずな喋り方で言葉足らずな話聞いてたらやる気失せてきたぜ。分かってんなら食い物よこせ。“愛”なんぞより腹の足しになるもんの方がよっぽど欲しいぜ
ニャンゾル,お生憎さま、今は何も持ってないら。回り道しながら自力で見つけることらね
リル,――ん？。コイツは……。桜、か？。……言われなくとも霊圧で分かるっつーの。舐めんな。……そいつが噂の朽木白哉からブン盗った卍解か
エス・ノト,ソウ、千本桜景厳だ。実に使イ心地の良イ卍解だよ
リル,みてーだな。うまいことアタリ引いたじゃねーか
切れ味ガ良スギて、静血装,ブルート・ヴェーネ
エス・ノト,ケど、心ノ強さで抑え憑けラレル恐怖には限度ガある。一度デモ僕の攻撃ヲ受けタラ最後……恐怖で全身ガ凍り憑く前に決着ヲつけるシカない
リル,けど、聖兵ゾルダート。要はお前みてーなタイプの相手と当たっちまったのが運の尽きだったってことか
エス・ノト,さて、次の侵攻ニ備えておこうカ。モウ失態は許されなヰからね
リル,失態？ああ、元柳斎に突っ込んでって死にかけた件か
エス・ノト,千本桜景厳ヲ手に入レテ、少しばかリ調子に乗って死まッテたようだよ……使ウ暇すら与えラレなかったケド
リル,ま、生きてただけマシだろ。精々バスビーに感謝しとくんだな
エス・ノト,ソレモだけど……ソノ後も、ね
リル,あ？。……流石に考えすぎじゃねーか？一応お前らだって陛下に助太刀する目的で参集したんだろ？
エス・ノト,ダカラ、関係ナイんだ、そんな事。だッて陛下ハとても――怖イ人だから
リル,恐怖を操るお前にとって、一番の恐怖がその力を与えてくれた陛下ってのも皮肉な話だな
エス・ノト,皮肉でも何でも無いさ……僕ノ命は陛下ノ御力で死から救ワれたんだから
リル,？
エス・ノト,その陛下に生を奪ワれるより他に、怖イ事なんてある筈もない
リル,チッ……思いのほか寄り道が長引いちまったな。あー、腹減ったー。こんなことならもっとたくさんお菓子持ってきとくんだったぜ。……ん？
ナックルヴァール,おっとォ……今日はよく会うな
リル,なんだ、お前ら……勢揃いしやがって。珍しい、はこっちの台詞だっての。戦争でもおっぱじめる気か？
ジェラルド,ハッハッハ！始めるも何も今は既に戦いの真っ最中ではないか！
リジェ,ま、あながち間違いでもないけどね。これから行く所を考えるとさ
ペルニダ,……………………
ナックルヴァール,んん～～、どうせだからお前も一緒に来るか？リルトット
リル,……また白けた男子会するわけじゃねーよな。この面子が揃って行く先なんざ碌でもねー場所でしかなさそうだが……
ペルニダ,……………………
ジェラルド,激戦地とはよく言ったな！だが、正確には激戦を巻き起こしに行くと言った方がいいかもしれんぞ？
リル,はぁ？
ハッシュヴァルト,――お前を招集した覚えはないが？リルトット
リル,……文句ならコイツらに言えよ
リジェ,悪いね、ハッシュヴァルト。ナックルヴァールが勝手なことしちゃってさ
ナックルヴァール,うおぉいっ、そこバラしちゃうッ！？あんたらだって強く止めなかったじゃねーッスか！。確かにそうだけどッ！あっ、ちょっ、怖い怖いハッシュヴァルト！無言で睨むなって！
ハッシュヴァルト,まぁいい。ここへ来た以上、お前にも役に立ってもらうぞ、リルトット
リル,こんなことをするつもりと知ってりゃ、前回の襲撃で一気にケリつける心づもりだってしたのによ
リジェ,君も他人の事は言えないだろ
ハッシュヴァルト,全ては陛下がお決めになったことだ。我々が意見を差し挟む余地などない
一同,……！
リル,反応に備えろか……反動
ナックルヴァール,……あ、アレ？何もナシか？
グレミィ,どうしたのさ？久々に直で顔を見られたっていうのに、みんな身構えちゃって
ナックルヴァール,い、いや、てっきり扉が開くと同時に竜巻か津波でも巻き起こるもんだとばかり……
グレミィ,起こして欲しかった？
ナックルヴァール,滅相もございませんッ！
ジェラルド,ハッ！小僧がほざきよる！
リジェ,僕には十分落ち着いてるように見えるけどね
ペルニダ,………ﾙｱ……
リル,この野郎……！。殺られる気なんざ、さらさらねー癖に……
ハッシュヴァルト,生憎だがグレミィ、世間話のためにお前を解放した訳ではない
グレミィ,だろうね。陛下の命令？
ハッシュヴァルト,そうだ。死神共との最終決戦に向け、遂にお前にも白羽の矢が立った
グレミィ,ふぅん、ってことは最初の侵攻で決着つかなかったんだ
ハッシュヴァルト,意外、とでも言いたそうだな。瀞霊廷が簡単に陥落すると考えていたのか？
グレミィ,ははっ、まさか。想像するはずないでしょ？そんな面白くないこと
ハッシュヴァルト,……何にせよ、お前を戦わせることが陛下の御意志だ。それを忘れるな
グレミィ,わかってる、ちゃんと戦うからそう怒らないでよ――ただ
ハッシュヴァルト,どうした？
グレミィ,ぼくの頼みも聞いてくれないかなーって思ってさ
リジェ,ふざけるなよ。お前が僕らに頼みなんて
ナックルヴァール,話ィ？
ジェラルド,孤独に耐えかねて――などと言うようなタマではないだろう。貴様何を企んでいる？
グレミィ,みんな本当に疑い深いなぁ。ちょっと雑談したいだけなのに
リジェ,そんな言葉を信じるとでも思ってるのか？
ハッシュヴァルト,何を考えているのかは知らないが、言ったはずだ。世間話をするために――
グレミィ,そうだな……リルトット、きみと話したい
リル,は？。なっ……ちょっと待て！どうしてオレが――
ハッシュヴァルト,それを許せば素直に従うということか？
グレミィ,もちろん。1時間…いや30分でいい
リル,だから勝手に進めんなっつーの！オレはお喋りするために連れてこられたってのか？
リジェ,……違うよ。僕ら全員、こいつが暴走した時の為のストッパーとして集められたんだ。よかったじゃないか、ストッパーとして役に立てて
ペルニダ,……………………
リル,てめーら……！
ハッシュヴァルト,――15分だ。それでいいな？
グレミィ,厳しいなぁ。ま、いいよ
リル,……っ！
ジェラルド,フハハッ、運が無かったと思って諦めることだな！
リジェ,まぁ、いくらコイツが無軌道な奴でも、君をいきなりマグマに突き落としたりはしないだろうさ。多分ね
リル,……茶菓子ぐらいは出るんだろうな？
グレミィ,望むだけ創ってあげるよ
ナックルヴァール,……な？連れてきてよかったでしょ？
リル,……
グレミィ,気に入ってくれた？
リル,……ああ、いい腕してるぜパティシエさんよ。いや、いい頭か
グレミィ,それはどうも。誰だってお腹が空くとイライラするからね
リル,おまえが空腹なんて感じるのか？つーかそれより何で話し相手にオレを選んだ？
グレミィ,そりゃあのメンバーじゃさ。ジェラルドは暑苦しいし、リジェはプライドが高すぎる。かといってペルニダは喋らないし、ハッシュヴァルトとはどう頑張っても会話が盛り上がりそうにないからさ
リル,ナックルヴァールは？
グレミィ,反応を見てる分には楽しいけど、ずっと絡んでると飽きるでしょ。それにしても、意外だなぁ。ぼくを解放するのにあれだけしか騎士団員を集めなかったなんて
リル,……あれ以上の面子揃えた所で、大して変わんねーだろ、ぶっちゃけ
グレミィ,あれ、自虐？
リル,ｸﾞｯﾁｬｸﾞｯﾁｬ……んぐ……
グレミィ,美味しい？
リル,……見ろ、攻撃した所でご覧の有様じゃねーか、クソが。“爆撃”も“無防備”も“恐怖”も“愛”も、お前相手じゃ効果があるのか分かったもんじゃねー
グレミィ,あはは、まぁ、ね。本気でぼくを止めようと思ったら、それはたぶん陛下にしかできないだろうから
リル,リジェあたりには聞かせられねー発言だな
グレミィ,いやいや、リジェたちが冗談みたいに強いのはぼくにだって想像つくよ？
リル,けど負ける気はしねーんだろ？
グレミィ,あはは
リル,それで？オレとどんな話をしたいんだ？
グレミィ,んー、特にこれと言って話したい話題もないんだけどね
リル,……おい
グレミィ,怒った？ごめんね。ただ、たまには想像した人以外の人間とも話をしてみなきゃなーって思ってさ
リル,……妄想ん中のお友達とお喋りなんて話、おまえじゃなきゃ単なるキモ豚の寝言で済むんだけどな
グレミィ,うん、言葉通りの意味だよ。実は今もきみのうしろにひとり居るんだけど
リル,！？
グレミィ,あはは、無駄だよ。消えてる時のグエナエルさんは一朝一夕じゃ見つけられないさ
リル,……そのグエナエルってのが、おまえの新しいお友達か？
グレミィ,うん。シャズはぼくの意識から独立しちゃったから、そろそろ新しい人を想像してみようと思ってね
リル,どっちにしろ、気色悪りー話には変わりねーよ
グレミィ,きついなぁリルトットは。想像通りだ
リル,想像……か。――封印されてる間も、妄想だけは制御されてなかったみてーだな、お前
グレミィ,なにせ、ぼくからそれを奪ったら、ぼくがぼくでなくなっちゃうからさ
リル,……ナックルヴァールの野郎、何が考えようによっちゃラッキー。滅多に話す機会がねーのは確かだが、いざ話してみたところで面白くもなんともねーじゃねーか。お前みてーに想像だけで自己完結できる奴には、他人との対話なんざ必要ねーよ
グレミィ,自己完結。……
リル,！？。なんだコイツ……！？
グレミィ,きみの言う通り、今きみに見せているぼくの姿は、本当のぼくの姿じゃない。けど、姿だけだろうか？。前から思ってたんだ。ぼくは何でも想像し、それを実現することができる。じゃあもしかしたら、その想像をしているぼく――グレミィ・トゥミューという滅却師の思考や人格すらも、想像の産物にすぎないんじゃないかってね
リル,な、何イミフなこと言ってんだ、てめー……それだったら、その想像をしてるのは誰なんだって話になるだろーが
グレミィ,さぁて……誰なんだろうね？。案外、はじめに夢想家TheVisionary
リル,意味わかんねーっつってんだろ
グレミィ,だって、陛下ならそれぐらいできそうじゃない。万物を与え、奪うことのできる陛下なら。そういう意味じゃさ、ぼくが一番じっくり話をしてみたかったのは、ロイド・ロイドだったんだよね
貴方自身,TheYourself
リル,あんま話したことはねーが……確か力をコピーする奴と、精神をコピーする奴の双子だったっけか
グレミィ,そうそう。特に精神をコピーする方のロイドがね、前からすごく気になってたんだ。もしかれが、ぼくの精神をコピーしたら――そこにはいったいどんな人物が現れていたんだろうって。今こうして話してるような“ぼく”なのか、ぜんぜん違う性質の“ぼく”なのか
リル,……んなもん、お得意の想像力で再現してみりゃいいだろ
グレミィ,あはは、やだなぁリルトット。ぼくがロイドを想像したところで、それは結局ぼくの想像の域を出ないじゃない
リル,はぁ？
グレミィ,更木剣八……更木から来た、剣八……
リル,……てめーが更木剣八と殺り合ってくれんならオレらは大助かりだがな
グレミィ,いったいどれくらい強いのかな？想像しただけで楽しみだ――
ハッシュヴァルト,――時間だ、グレミィ
グレミィ,あーあ、せっかく想像したのに。壊さなくたってこっちから開けてあげるよ？
ハッシュヴァルト,無駄話の時間は終わった筈だ
リル,オレの仕事も終わりってことでいいんだよな？
ハッシュヴァルト,ああ、ご苦労だった。あとは次の侵攻に向け、準備をしておけ
リル,言われなくてもな。妄想狂の話し相手なんて割に合わねーバイトは二度と御免だぜ。ったく、とんだ貧乏籤引かされたもんだぜ。ま、おかげで腹は程々に膨れたが……想像物で満腹になるってのも、慣れねえ感じだな
ジジ,リルちゃん居る～？
リル,……居ねー
ジジ,たぬき寝入りバレバレ～。バンビちゃんが呼んでるよ？
リル,知るかよ、少し寝かせてくれ
ジジ,だーめだって。リルちゃん言い出しっぺなんだし、ちゃんと集合しないとまーたバンビちゃん激おこだよ
リル,ウザいからつつくな。わかったよ今行く。星章化に対する死神側の対策、零番隊の存在、特記戦力――。こっちの生き残り面子に、グレミィの戦線投入――。奇襲がハマった前回とは条件が違う。デカい手柄を挙げたきゃ、下手に飛び込むより漁夫の利を狙うのがやっぱ確実か……。――ジジ。ミニーとキャンディ呼んでくれ。ちっと話しときたいことがある
ジジ,なになに？バンビちゃんに聞かれちゃヤバい話？
リル,ああ、オレらだけで手柄山分けしようって話だ。あの更木剣八にトドメ刺すっつー手柄をな
