シャロ(ある日私は、ココアと入れ替わってしまった。よく漫画とかアニメで人と人が入れ替わるというお話がある。私も小さい頃、そういう漫画を読んでいて入れ替わってみたいなと思った時期もあったっけ……そこで千夜にからかわれたのよね、,シャロちゃんと私が入れ替わったらいろいろと貧相になっちゃうわー
シャロ(ココア),怒らないで～シャロちゃん
リゼ,にわかに信じがたいな
チノ,ええ。でも２人が演技しているとは思えません。する理由もないし、ましてやシャロさんがそんなことするわけないですからね、つまり…
リゼ,私の言う通り、頭をぶつけたせいで二人がおかしくなった……
チノ,ということになりますね
ココア(シャロ),だから、ちがーーう！！！ほんとに入れ替わったのよ！
チノ,…と言われましても
リゼ,そうだ！二人に何か質問していけばいいんだよ！私はシャロに、チノはココアに
チノ,名案です
リゼ,じゃあ私からシャロに質問するぞ
ココア(シャロ),は、はぁ
リゼ,昨日学校帰りにシャロと私でクレープ屋に寄ったけど、シャロはイチゴクレープを食べたよな？
ココア(シャロ),え？昨日は確かアイスクリーム店に先輩と一緒に行ったはずですが……昨日はそもそもクレープ食べてないですよ
リゼ,当たってる……なら！そこで私に起きたハプニングを言ってみろ！
ココア(シャロ),ハプニングってもしかして、食べている途中に先輩が誤ってアイスを落としちゃったことですか？
リゼ,ああ、その通りだ…あのアイス……期間限定だから楽しみにしていたのに…！ちょっとしか食べれなかったのが無念だ
ココア(シャロ),な、なら！２人でまた食べに行きましょう先輩！だから元気出してください
リゼ,ああ、ありがとう…
チノ,なら私はココアさんに質問します
シャロ(ココア),何かな？何でも聞いて！
チノ,ココアさん今週でうちのお皿何枚割りましたか？
シャロ(ココア),へ？えーと、４枚だね
チノ,正解です……私の大事にしていたプリンをココアさんは食べましたよね？そのときココアさんと喧嘩しましたが、いつしたか覚えていますか？
シャロ(ココア),一昨日だね。あのときはごめんね～
チノ,正解です
リゼ,うーむ、信じられないが２人の中身が入れ替わったってのは間違いないようだな
チノ,こんな不思議なことがおきるなんて…
ココア(シャロ),もう！バイトとか学校とかこれからどうすればいいのよー！
シャロ(ココア),う～ん、でもシャロちゃんの生活を一度でいいから体験してみたいなって思ってたから私としては全然オッケーだよ
ココア(シャロ),私は全然オッケーじゃないわよ！
シャロ(ココア),え～、シャロちゃんは嫌なの…？
ココア(シャロ),え？
シャロ(ココア),私の事…嫌い？
ココア(シャロ),ぐっ！べ、別に嫌いじゃないわよ
シャロ(ココア),ほんと！？私もシャロちゃん大好き～。でも、自分自身に言ってみるみたいでなんか変な感じするな～
リゼ,なんかシュールな光景だな…
チノ,あんなに表情が柔らかいシャロさん初めてみました。中身はココアさんですけど
リゼ,でもなんとかしないといろいろまずいよな…
チノ,私たちも２人を元に戻す方法を考えましょう
ココア(シャロ),もうこんな時間だからまた明日考えましょ
シャロ(ココア),そうだね
ココア(シャロ),とりあえずあんたは私の家に行きなさい。場所は甘兎庵の隣だから道はわかるでしょ？
シャロ(ココア),うん
ココア(シャロ),それとココア！周りにこのことを言うんじゃないわよ！
シャロ(ココア),えー！なんで！？
ココア(シャロ),変な噂が流れるかもしれないでしょ。私入れ替わったのって言い続けて見なさい、頭おかしい人って思われるでしょ
シャロ(ココア),千夜ちゃんに話そうと思ったのにな
ココア(シャロ),千夜にも話すんじゃないわよ。千夜は鋭いから気を付けなさいよ
シャロ(ココア),任せて！私演技には自信あるから！
ココア(シャロ),なら、普段の私の真似を今してみなさいよ
シャロ(ココア),よーしわかった！見ててシャロちゃん！。……ｳｯ、ｳﾝ!ｱｰ
ココア(シャロ),…………
シャロ(ココア),皆さんごきげんよう。私、シャロよ。今日の朝のティータイムはいつにもまして最高だったわ。おほほほほほ！
ココア(シャロ),全然違うじゃなーい！私普段こんなじゃないわよー！！
シャロ(ココア),そうかな？でも大丈夫！本番はなんとかするから。あっ、そろそろ行ったほういいね。じゃあね～シャロちゃん
リゼ,行ったなココアのやつ
ココア(シャロ),ええ…
チノ,シャロさん、リゼさんと一緒に私たちも２人が元に戻る方法を考えますので安心してください
リゼ,まあ、何か困ったことがあったら遠慮なく言ってくれよ
ココア(シャロ),チノちゃん、リゼ先輩、ありがとうございます
リゼ,おっ、私もそろそろあがらせてもらうぞ
チノ,リゼさん、今日もお疲れ様でした
リゼ,ああ、お疲れ。じゃあな
チノ,………
ココア(シャロ),………
チノ,……さて、シャロさん夕食をこれから作るので奥の部屋で待っていてください
ココア(シャロ),え？私も手伝うわ
チノ,いえ、大丈夫ですよ。今日は簡単な料理ですので。シャロさんは今日いろいろと疲れたと思いますので奥でゆっくりしててください
ココア(シャロ),そ、そう？ならお言葉に甘えて…
チノ,私はキッチンに行きますので、何かあったらキッチンまで来てください。では
シャロ(ココア),ふう、やっと着いたよ
千夜,～～～♪
シャロ(ココア),あっ千夜ちゃん！ただいまー！
千夜,え？
シャロ(ココア),はっ
千夜,……あらシャロちゃん、おかえり。…？どうしたの？安心した顔して
シャロ(ココア),え？なんでもないょ…なんでもないわ
千夜,そう。今日は寒いから風邪ひかないようにね
シャロ(ココア),う、うん。心配してくれてありがとね！千夜ｔ…千夜！
千夜,なんだかシャロちゃん、さっきから口調がおかしいけど何かあったの？
シャロ(ココア),え！？べ、別に？私はいつも通りだけど？
千夜,………もしかして。私に何か試しているのね！？
シャロ(ココア),へ？
千夜,一体何を試しているのかしら！？漫才？それともコント！？
シャロ(ココア),あはは……
チノ,シャロさん、私が作ったオムライスいかがでしたか？
ココア(シャロ),うん！とても美味しかったわ。ごちそう様チノちゃん
チノ,お粗末様でした。では私はお皿を片付けてきます。シャロさんは適当にくつろいでいてください
ココア(シャロ),え？いやいやさすが悪いわよ。泊めてもらう上に料理まで作ってくれて…せっかくだから私にも手伝わせて
チノ,いえ、気にしてませんよ。ゆっくりしててください
ココア(シャロ),そ、そう？ならお言葉に甘えて部屋でゆっくりしてるわ
チノ,はい、ではまた
ココア(シャロ),………。チノちゃん私のこと避けてるのかな…。ココアの部屋って案外整理されてるものね。もっと散らかってると思ってたけど。はあーあ、それにしてもいまだに信じられないわ。中身が入れ替わるなんて…。そういえば小さい頃は本の影響で入れ替わってみたい！なんて思ってた時期があったわね……まさか本当に入れ替わってしまうなんて。今の私からすれば早く戻りたい……これが成長したっていうことなのかしら？なんてね…。少しベットで横になろうかしら……ん？これは…パジャマ？ココアのかしら？。まったく脱ぎ捨てておくなんてだらしないわね。片付けておこうかしらね……。……ココアのパジャマ…どんな匂いするのかしら…。…………。だ、誰も見てないわよね……ち、ちょっとくらい…いいわよね？。そ、そうよ！これは誰のパジャマか確かめるために仕方なくやる事なんだから。…………。こ、ココアのだ……ココアのパジャマだ……うへへ……
チノ,シャロさん失礼しますね
ココア(シャロ),ひゃあっ！！！？
チノ,あっ………！
ココア(シャロ),……………
チノ,…………。シャロさん、今何をしていましたか？
ココア(シャロ),べ、別に！？ただベットでくつろいでいただけよ！
チノ,そうですか？私にはココアさんのパジャマを嗅いでいたようにしか見えませんでしたが
ココア(シャロ),ごめんなさい！！！ほんの出来心だったんです！だから誰にも言わないで！お願いチノちゃん！！
チノ,はぁ…まったくシャロさんがこんな変態だったとは……幻滅しました
ココア(シャロ),うぅ…何でもするから許して……
チノ,い、今何でもって言いましたよね？
ココア(シャロ),ひっ！。はっ！？しまった！
チノ,ならお願いがあります
ココア(シャロ),うぅ……何をされるのかしら……
チノ,え、えと……あの…………その…
ココア(シャロ),な、何？
チノ,わ、私と一緒に……お風呂に入ってくれませんか？////
ココア(シャロ),…え？
チノ,……………
ココア(シャロ),……………
チノ,……………
ココア(シャロ),どうしてこうなった
チノ,あ、あの……シャロさん
ココア(シャロ),ふぇ！？な、何チノちゃん？
チノ,私と入るのそんなに嫌でしたか？
ココア(シャロ),へ？全然そんなことないわよ！？
チノ,そうですか…私今日シャロさんに気を使わせてしまったと感じたので……
ココア(シャロ),ううん、そんなことはないわ。むしろチノちゃんと一緒にお話しできるから嬉しいわ♪
チノ,そ、そうですか……安心しました
ココア(シャロ),～～～～～！！////。か、かわいい～～！///その笑顔は反則よ…
チノ,どうかしましたかシャロさん？
ココア(シャロ),ああ、うん、何でもないわ…。ココアがチノちゃんのこと妹にしたくなるの分かる気がするわ
チノ,え？
ココア(シャロ),私もチノちゃんみたいな妹が欲しい…
チノ,へ？////しゃ、シャロさん！？
ココア(シャロ),あっ……。しまった！声に出てた…
チノ,シャロさん、髪を乾かすくらい自分でできますから…いいですよ別に
ココア(シャロ),ううん、私がしたいだけだから私に任せて
チノ,そうですか。では、せっかくなのでお願いします
ココア(シャロ),は～い
チノ,…お母さん
ココア(シャロ),ん？何か言ったチノちゃん？
チノ,いえ…何でもありません
ココア(シャロ),そう？
チノ,シャロさんありがとうございました
ココア(シャロ),うん
チノ,では、私は部屋に戻りますので…
ココア(シャロ),あ、あの…チノちゃん！
チノ,うぇ！？な、何ですか？
ココア(シャロ),えーとさ、私と一緒に寝ない？なんて…
チノ,…別にいいですよ、一人で寝れますから。では…
ココア(シャロ),待って！
チノ,…！
ココア(シャロ),今夜だけでも…ダメかな？
チノ,…今日のシャロさんは変です。他人のパジャマの匂いを嗅いだり、私と一緒に寝たがりますし…
ココア(シャロ),うう……パジャマのことはもう忘れて…
チノ,はぁ…わかりました。今日は一緒に寝ましょう、シャロさん
ココア(シャロ),…うん！
チノ,………
ココア(シャロ),………
チノ,………
ココア(シャロ),チノちゃーん、寝た？
チノ,…まだ起きていますよ
ココア(シャロ),そ、そう…。え、えーと…チノちゃん
チノ,何ですか？
ココア(シャロ),さっき髪乾かしている時泣いてたけど何か悩みでもあるの？
チノ,…泣いてなんかいません。シャロさんの見間違いです
ココア(シャロ),そう？
チノ,ただ、思い出していただけです
ココア(シャロ),え？
チノ,シャロさんに髪を乾かしてくれた時の手つき……それが母が髪を乾かしてくれたときの手つきと似ていたので……なんだか懐かしくて。ちょっと懐かしく感じてしまって…。母は私が幼い頃たくさん面倒を見てくれました。…って聴いているんですかシャロさん
ココア(シャロ),…チノちゃんはさ、多分寂しいって思ってるんだよね？
チノ,はい？
ココア(シャロ),お母さんに会えなくて、寂しいんでしょ？
チノ,違います……といえば嘘になりますが…
ココア(シャロ),うんうん、私もわかるわ。一人暮らししてるといつも寂しく感じちゃうのよね。帰ってきても部屋には誰もいない、迎えてくれない…
チノ,………
ココア(シャロ),そんな私だからチノちゃんの気持ちがわかるの
チノ,…そうですか
ココア(シャロ),だからね？
チノ,ちょ…！シャロさん！？いきなり何するんですか？
ココア(シャロ),寂しい時は、こ…こんな風に甘えてもいいのよ///
チノ,ちょ…。シャロさん…
ココア(シャロ),何も言わなくていいわ。寂しい気持ちが無くなるまでこうしてあげるから…
チノ,う…うぇ……
ココア(シャロ),ふふっ！。落ち着いた？
チノ,…はい。見苦しい姿を見せてしまい、すみませんでした
ココア(シャロ),さ、明日もあるしもう寝ましょ？
チノ,はい、おやすみなさいシャロさん
シャロ(ココア),さて、そろそろ寝ようかしらね
千夜,ふふっ♪今日はなんだかいつもより楽しくシャロちゃんとお話できたわ。なんだかシャロちゃんじゃないみたい
シャロ(ココア),そ、そんなことないわよ。それとも何？誰かと入れ替わった、とでも言うのかしら？
千夜,そうじゃないわ。ただ、なんとなく
シャロ(ココア),何よそれ……とりあえず私はもう寝るわ。おやすみ
千夜,うん、おやすみシャロちゃん♪
シャロ(ココア),ふうー疲れたーー！。はぁーあ、明日はシャロちゃんの学校に行かなくちゃいけないんだよね…。ってもうこんな時間！もう寝なきゃ！夜更かしは美容の大敵だからね！それじゃあ、おやすみなさーい
ココア(シャロ),………zzz…ｴﾍﾍ､ｵﾈｴﾁｬﾝﾆ…ﾏｶｾﾃｰ……ﾑﾆｬ
千夜,あら、おはようココアちゃん
ココア(シャロ),お、おはよう
千夜,今日も勉強頑張ろうね！
ココア(シャロ),うん
千夜,ココアちゃん？どうかしたの？
ココア(シャロ),ううん、なんでもないよ
千夜,変なココアちゃん。でもそんなココアちゃんも好きよ
ココア(シャロ),うぇ！？///い、今…すすす、好きって……///
千夜,どうしたの？ココアちゃん。いつもならここでえへへ、私も千夜ちゃんのこと大好きだよーとか言うのに
ココア(シャロ),…へ？あ、あー、そうだったね！なんか急に恥ずかしくなっちゃって…えへへ……
千夜,はぁ…それにしても今日はテストがあるわねー。ココアちゃん大丈夫？
ココア(シャロ),え？テスト？
千夜,うん、今日授業でテストを行うって前の授業で先生が言ってたじゃない
ココア(シャロ),えーー！！？
千夜,…もしかしてココアちゃん、忘れてた？
ココア(シャロ),………
千夜,しかも今日はココアちゃんの苦手な現代文と古典のテストなのに……ココアちゃん、健闘を祈ってるわ。あら、朝のホームルームが始まるわ
担任,うーす、それじゃ始めるぞー、日直号令ー
ココア,はぁ…
千夜,ココアちゃん、私は応援してるわ！たとえダメで先生から怒られたとしても私はココアちゃんの味方よ！
ココア(シャロ),じゃあ、補習も一緒に参加してくれるよね
千夜,…ココアちゃん、ごめんなさい
ココア(シャロ),なんでよー！
先生,それでは今からテストを行う！制限時間は50分間だ！それでは始め！！
千夜,………
先生,こら!宇治松！何キョロキョロしてるんだ？カンニングか？
千夜,い、いえ違います……すみません
先生,次やったら０点にするからな！。この間のテストを返そうと思うんだが…お前ら！ちゃんと勉強したのか？全体的に悪かったぞ！。うるさい！静かにしろ！
生徒's,ひっ…
先生,とにかくこんなんじゃあ成績のつけようがない。だから５０点以下の奴らは補習を行い、後日再テストを行う！いいな？。ちなみに今回のテストの最高点は９５点！最低点は１２点だ！。５０点以上取った奴も安心するなよ！次回のテストで駄目なら容赦なく落とすからな！それでは今からテストを返す！佐藤！
千夜,先生すごい怒ってるわね。なんか不安になってきちゃった…
ココア(シャロ),そうだね。千夜ちゃんはどうだったテスト？
千夜,正直自信ないわ。わからない問題も多かったし…ココアちゃんは？
ココア(シャロ),……私もあんまり自信がないんだ
千夜,そうだよね～、あのテスト難しかったし…。ココアちゃん！安心して！ココアちゃんがもし補習だったら私も一緒に参加するから！
ココア(シャロ),うん、ありがとう千夜……ちゃん
先生,次、宇治松！
千夜,はい！
先生,お前も今回出来が良くなかったぞ。しっかり復習するように
千夜,…はい
ココア(シャロ),千夜ちゃん、どうだった？
千夜,………
ココア(シャロ),４４点…
千夜,駄目だったわ。補習と再テスト決定ね
ココア(シャロ),千夜ちゃん……
千夜,でも大丈夫よ。ココアちゃんと一緒に補習に参加できるから♪
ココア(シャロ),私、補修にでること前提なの！？
先生,保登！
ココア(シャロ),は、はい！
千夜,ココアちゃん、どんな結果でも現実をしっかり見なきゃだめよ
先生,保登……先生はもう、先生は…ｳｯ。感動したぞ！！！
ココア(シャロ),へ？
先生,現代文、古典で２０点台を超えたことが無いお前がまさか……まさか、クラスのトップだなんて！
ココア(シャロ),え、つまり…
先生,９５点だ。保登、良く頑張ったな
千夜,えーー！？
先生,きっとかなり努力したんだろうな。この努力を忘れないでこれからも頑張るんだぞ！
ココア(シャロ),はい！
千夜,………
先生,以上だ！再テストについては来週に行う！補習は今日の放課後に行う！補講対象者は参加するように！。それでは日直！号令！
ココア(シャロ),見て、千夜ちゃん！私一位だったよ
千夜,…うぅ、まさかココアちゃんに負けるだなんて…文系の苦手だったココアちゃんが９５点……
ココア(シャロ),うん！すごいでしょ！？
千夜,ココアちゃんの裏切り者ーー！
ココア(シャロ),えー！？なんでよ！？
先生,それでは本日の補習を終了する！ちゃんと復習してくるんだぞー
千夜,さて、帰ろっと…
ココア(シャロ),千夜ちゃん！
千夜,ココアちゃん！どうしたの？てっきり先に帰っていたのかと…
ココア(シャロ),なんか千夜ちゃんと一緒に帰りたくてね
千夜,待ってくれてありがとう、ココアちゃん
ココア(シャロ),さ、かーえろ？。補習どうだった？
千夜,うん、先生が丁寧に教えてくれたから、大丈夫だったわ。この調子なら再テストも合格できるわ！
ココア(シャロ),一回できただけで安心しちゃダメだよ…？
千夜,………
ココア(シャロ),…？どうしたの？
千夜,いや、なんだか今日のココアちゃん、なんだかシャロちゃんみたいだな～って
ココア(シャロ),へ？ど、どうして？
千夜,ココアちゃんの反応というか返しがなんかシャロちゃんに似てたから、それにやけに心配性というか…。もしかしてシャロちゃんとココアちゃんが入れ替わった……なんてね！
ココア(シャロ),そ、そんなこと…ありえないよ
千夜,ｸｽ…そうね。ねえココアちゃん、この後甘兎庵でゆっくりしていかない？何か和菓子でもだすから
ココア(シャロ),う～ん、でもこの後バイトがあるし
千夜,そうよね……バイトがあるから仕方ないよね…ごめんね無理しちゃって、じゃあまたねココアちゃん……
ココア(シャロ),あっ、そういえば今日はバイトが無いんだった！だから行こうかな～
千夜,ほんと！？
ココア(シャロ),う、うん///私うっかりしてたよ～
千夜,それじゃあさっそく行きましょうココアちゃん！
ココア(シャロ),うん
シャロ(ココア),ふいー、ただいまー。そろそろ、バイトの時間だ。行かないと
千夜,はい、おまちどおさま！海に映る月と星々です
ココア(シャロ),ありがとう
千夜,ココアちゃんどう？美味しいかしら？
ココア(シャロ),うん、甘くてとても美味しいよ！この栗だんごもいいね
千夜,ふふっ、ココアちゃんに美味しいって言ってもらえてうれしいわ
ココア(シャロ),疲れたときにはやっぱ甘い物が一番だね
千夜,なら、花の都三つ子の宝石とか雪原の赤宝石、後千夜月なんかもいいわ。食べる？
ココア(シャロ),さ、さすがの私でもそんなに食べられないよ～。ところで千夜ちゃん。何で急に私のこと誘ったの？何かあった？
千夜,…別に？ただなんとなーくココアちゃんと何か話がしたかっただけよ
ココア(シャロ),…そっか。ごちそうさまでした！
千夜,お粗末様でした。何か飲み物持ってくる？
ココア(シャロ),あ、水があるから大丈夫だよ
千夜,そう？
ココア(シャロ),それより私と話したいんでしょ？千夜ちゃん！
千夜,ええ！
ココア(シャロ),それじゃあ何話そっか？千夜ちゃん
千夜,ふふふ、よくぞ聞いてくれましたココアちゃん……今からはなす話題は、ずばり！！恋バナよ！！！。あれ？ココアちゃんどうかした？
ココア(シャロ),い、いやなんか予想外な話題だったから…
千夜,大丈夫♪今は私たち二人だけだから誰にも聞かれる心配はないわ
ココア(シャロ),ていうか！甘兎庵営業しなくていいの？そろそろバイトの時間でしょ！？
千夜,今日は休みにしたから大丈夫♪。それで？ココアちゃんは今気になっている人とかいるのかしら？
ココア(シャロ),んー？今はいない…と思う？
千夜,思うってどういうこと？
ココア(シャロ),千夜ちゃんが言ってる好きってLIKEじゃなくてLOVEのほうなんだよね？
千夜,ええ
ココア(シャロ),私、まだそういうのわからないんだ。チノちゃんとかリゼちゃん、千夜ちゃんシャロちゃん皆大好き
千夜,………
ココア(シャロ),でも、その感情がはたしてLIKEなのかLOVEなのかわからない。だから思うって答えたんだけど…
千夜,なるほどね。ココアちゃんらしい答えね。まあ、ココアちゃんにもLILEとLOVEの好きの違いがわかる日がくるわ
ココア(シャロ),にもって………千夜ちゃんはわかるの？
千夜,うん。だって私好きな人がいるから。もちろんLOVEの方のね
ココア(シャロ),え…
千夜,ってあら！つい流れで言ってしまったわ…///。それでね、…ココアちゃん？聞いてる？
ココア(シャロ),え？…う、うん…聞いてるよ
千夜,話しを続けるわね、それでねーーーーーーーーー。ーーーってわけなの。わかるかしら？この気持ち…
ココア(シャロ),え？う…うん、なんとなく
千夜,だからね！私今度告白してみようと思うの！
ココア(シャロ),へ～、そうなんだ…
千夜,だけどね、もし……もし告白して断られて、それで今までの関係が崩れてしまうんじゃないかって思うと……
ココア(シャロ),千夜ちゃん…
千夜,暗い雰囲気にしちゃってごめんね…こんなつもりじゃなかったのに
ココア(シャロ),ううん、全然気にしてないよ………ねえ千夜ちゃん
千夜,…？
ココア(シャロ),えと……その、千夜ちゃんの好きな人って結局誰…なの？
千夜,え？……あれ？そういえばまだココアちゃんに言ってなかったっけ？
ココア(シャロ),う、うん
千夜,あらやだ、私ったら
ココア(シャロ),で、誰なの？
千夜,う～ん、ただ教えるのもつまらないし……そうだ！ココアちゃん当ててみて。私がヒントだすから！
ココア(シャロ),う～ん、それでも別にいいけど…
千夜,では早速一つ目のヒントから！一つ目は、優しい人！
ココア,うーん、それだけじゃあわからないな～
千夜,ふふっ、なら二つ目のヒント！二つ目は、怖がりやさん！
ココア(シャロ),あー、わかった！チノちゃんでしょ！？
千夜,ぶぶーー、残念！違うわ
ココア(シャロ),え？違うの？。う～、わからないから次！
千夜,うん、三つ目はね、強がりやさん！。ココアちゃんわかった？
ココア(シャロ),……全然わからない、もっとわかりやすいヒントないの？髪の色とか好きなものとか……
千夜,…それ言っちゃったら答えすぐわかってしまうから
ココア(シャロ),う～ん、今までのヒントだけじゃわかりそうにないから降参！千夜ちゃん、答え教えてちょうだい！
千夜,あっ、待ってココアちゃん、これが最後のヒントだから…長いけど聞いてくれる？
ココア(シャロ),…いいよ
千夜,ありがとうココアちゃん…。その人はね、血液型がA型で誕生日が7月15日、身長が151cmでね…。くせ毛の金髪でカチューシャを着用していて甘兎庵の隣に住んでいる子でお嬢様学校に特待生で入学したとっても頭がいい子。でもその子は貧乏だからバイト掛け持ちで頑張っていてお化けがとても苦手で怖がりでコーヒー摂取すると酔っちゃってとてもハイテンションになる子で兎が嫌いなのに最近ワイルドギースという野良兎を飼い始めた子で強がりやさんで素直じゃないけど私のこと実はしっかり見てくれて、からかうと面白い反応してくれて………
ココア(シャロ),
千夜,そして………幼い頃からずっと一緒だった……私の。大切な大切な幼馴染み。ふふっ♪ここまで言えばもうわかるよね？ココアちゃん。…ココアちゃん？おーい。おーーい、ココアちゃーん
ココア(シャロ),ううぇあ！？？ご、ごめん千夜ちゃん、ぼーとしてて
千夜,もしかして、驚いた？
ココア(シャロ),……驚くよそりゃ
千夜,たしかに幼馴染みのことが好きって言ったら無理もないかもね。ところで…ココアちゃん！
