第一夜,情熱的不老不死者
勇者,ありゃあ、ゾンビってやつじゃないか。ほら、お前んところにいたグールの親戚みたいなもんだろ
魔王,見てみろ勇者。あっちには、ただの黒猫がいるぞ。あれも不死者なのだろうか
勇者,うーん、一見するとわからねえが。ここにいる以上、そうなんじゃねえか
魔王,ところで勇者。こんなところに不死者がゾロゾロと集まっていったい何をするんだ
勇者,静かに。ほら、はじまるぞ
妖怪,皆々様方、今夜も不死講にお集まりいただき有難うございます。本日は新たな仲間を二名も加え、より我々の苦しみを分かち合うことができることに喜びを禁じえません。それでは早速、始めましょう。まずは、グールさんからどうぞ
グール,お久しぶりで皆さま。今回は、半月ほど自分の心臓を止めてみました。まあ、残念なことに死には至りませんでしたが、どこか息苦しく生きた心地がしませんでした。もし、まだ試されたことが無い方はぜひやってみてください
グールが話し終えると、部屋の中は万雷の拍手がおこりました。,ブラボー！
魔王,なるほどな。ここでは、不死者たちが如何にして死に至るかを披露する場ということか
勇者,そういうことさ。残念なことに、実際に死ねた者は一人もいなくて、年々人数が増えて行ってるって話だ
妖怪,では、お次は魔王さんいかがですか？
魔王,ふむ、我と勇者は長年殺し合いを続けてきた身。話のネタには困らんぞ
妖怪,そいつは、嬉しい限りです。我々、不死者にとって死の話題こそ最も心躍る娯楽ですから
奇妙な男,こ、ここが不死者を殺す会か！？俺は、不死者を殺す方法を知っているぞ！
妖怪,おいおい、いったいこの会が何千年開かれていると思っているですか。そんなに簡単な方法があればみんな苦労しませんよ
奇妙な男,いや、確かなんだ。確実に死ぬことができると断言できる！
グール,きゅう
勇者,おいっ！グールが倒れたぞ！あっ、なんてことだ。脈がある！せっかく止めてた心臓が驚きのあまり動き出したんだ！
妖怪,……それでは、魔王さんの番でしたが。先に、そちらの方の話を聞いてみましょうか
奇妙な男,俺は、実は別の惑星から何億年もかけてやってきたんだ。その惑星では、とある博士が不死の薬を作って住民みんなが不死者となっていた。俺も、その薬を飲んで。宇宙探索の旅に出たんだが、なにせ死ぬことがないもんだから遂には探検に飽きてしまった。そんなとき、俺は思い出したんだ。俺が故郷を旅立つ直前。不死の薬を作った博士が、今度は不死者を殺す薬を研究しだしたって。あの博士ならきっと不死者を殺す薬を作り上げている。そう思った俺は、急ぎ故郷に帰ろうとしたんだがロケットの故障でこの星に流れ着いてしまった。だから、ここにいる不死者でロケットを修理するのを手伝ってほしい！
勇者,そりゃあ、えらく面白い話だ
妖怪,ですが、我々にはそのような知識はありませんよ。それに、貴方の故郷の星はうんと遠いのではありませんか？
魔王,それに、不死者を殺す薬が完成しているとも限らんしな
奇妙な男,そうだが……
黒猫,んにゃあ
妖怪,なんですって！？長距離惑星間での電波の送受信に成功したことがあるですって！？
黒猫,なーご
妖怪,たしかに、ロケットよりも電波のほうが早いですし。まず確認をとって、何だったら不死者を殺す薬を送ってもらえればいいですね
勇者,おいおい、そこにいるのは魔王じゃねえか
魔王,おう勇者。こんなところで奇遇だな
勇者,奇遇も何も、周りを見てみろ。ほらあっちにはグールさんが。こっちには黒猫ちゃんもいるぜ
魔王,あらま、本当だ
勇者,話によると、この道をまっすぐ行くと天国と地獄の分かれ道につくらしい。おっ、噂をすれば見えてきた
天使,おや、貴方がたも遂に死ぬことができたのですね。おめでとうございます
勇者,そりゃどうも
魔王,ところで、この分かれ道はどこに続いているんだ
天使,右に行けば天国、左に行けば地獄でございます。貴方がたは生前の行いもおおむねよかったので、天国へどうぞ
勇者,ちなみに天国ってのはどんなところなんだい？
天使,気持ちのいいところですよ。体は老いないし、ずっと元気が湧き続けます。酒も女も選び放題。テレビだって映画だって見放題です
魔王,ふむ、じゃあ我らは地獄に行かせてもらおうかな
天使,はい？地獄は、それはひどいところですよ。無限に等しい時間味わう苦しみは考えるだけで生きた心地がしません
勇者,だから行くのさ
天使,？
魔王,体は老いない、ずっと元気が湧き続け、酒も女も選び放題、テレビに映画も見放題なんて。そんな楽園にいたんじゃあ
勇者,とても死んだ心地がしねえってもんさ
