・このSSは,静・ジョースターの奇妙な日常
チェスタ,……お前は……この世界人類全てを天国へ連れて行くつもりだろう？全ての人々を……幸福にしようとしている。神父として……
プッチ,……
チェスタ,つまりお前は……どんな犠牲を払ってでも天国へ行くということが出来ないんだ……！少しばかりの人間は犠牲に出来ても……お前は世界中の人々全てを犠牲にすることが出来ないッ！……だからだ……だからお前は、土壇場で天国へと到達することが出来ないんだ……！
プッチ,……
チェスタ,俺なら……どんな犠牲でも払える。天国にふさわしいのは、この俺だ……他の息子たちではない、俺だ。俺がお前の代わりに……どんな犠牲を払ってでも天国へ行く
プッチ,……面白い事を言う……。ならば……見届けてみるがいい。わたしが神のご意思により、人間の未来を救うさまを……ケープ・カナベラルにて見届けるがいい
チェスタ,…………
プッチ,このめぐり合わせも、きっと運命なのだろう。教えてやろう……おまえに、天国へ行く方法を……
チェスタ,…………
プッチ,……必要なものはわたしのスタンドである……ザ・ワールド
少年,……
メイ,んん～～……しだいにしだいに力が蘇って来たわ……生命を吸えば吸うほど力がみなぎるッ！
少年,
チェスタ,……死んだ、か
メイ,ご馳走様。……屍生人となられて私の存在がバレたら面倒だわ。チェスタ……後で燃やしておいてね？
チェスタ,ああ……
少年,
チェスタ,……腹の傷の具合はどうだ？
メイ,この男の子の血がなかなか美味しかったからかしら……すっかりふさがってしまったわ。フフ……しかし、まだまだ本調子じゃあないわね。あの時……静の血をいただいておけばよかったわ
チェスタ,……一度、試してみるか……？
メイ,……何を？
チェスタ,これだ……弓と矢だ
メイ,……それで、私のスタンドをつらぬけば……
チェスタ,君のスタンドは……少し無理矢理ではあるが、先に進むことが出来る。……君のスタンドが、さらに先にいけるほどのパワーを持っているならば、の話だが……
メイ,……やってみるわ。うッ……うッ！これは……！
チェスタ,ど……どうだ？メイ……行けるのか？さらに先へと……！
メイ,ううッ……私のスタンドがッ……溶けて……う、ううう……！！。うああああッッ！！はッ……はじかれたッ！？うぐうッ……
チェスタ,……駄目、か……まだパワーが足りない、という事なんだろうな……
メイ,くッ……傷が治らないわ。無駄な怪我をしてしまった……
女,メイちゃん？どうかしたのォ～？何かあった？
メイ,……なんでもないわ……大丈夫だから。さっさとドアを閉めて。太陽の光が入ってくるじゃあないの……
女,えーッ、けどあたしィー友達としてスッゴク心配してるっていうかあ……
メイ,本当に心配ならドアを閉じなさい！私は太陽の光アレルギーなのよッ！？
女,ごめんなさァ～い……あたしの息子と遊んでくれるのはいいんだけど、あまり物は壊さないでね？メイちゃん……それじゃっ！
チェスタ,……攻撃が足りないんじゃあないか？あの女……友達として信頼出来ないレベルだぞ
メイ,……力が戻りきっていない時に攻撃したからかしらね……別にどうだっていいわ。隠れる場所と血を少し分けてくれるなら、この程度の付き合いの友達で別にいい……くっ。私のスタンドが……さらに先へと行けるパワーを持つまで、どのくらいかかるかしら？
チェスタ,さあな……そればかりは、俺にも答えることは出来ない
メイ,……それまでに、空条承太郎達が、私の居場所をつきとめないという保証は？
チェスタ,……正直、全く無い
メイ,……どうすればいいの？私は……神とほぼ同じ存在となったのに……！私は……天国へ行くまでに、どれだけ怯えて過ごせばいいの……？
チェスタ,……。……こちらから、攻撃をしかけよう
メイ,……！。……どうやって？私のスタンドは近距離でしか使えないし、貴方のサカナクションだって……
チェスタ,この弓と矢には……もう一つの使い方がある。この弓と矢がほしがる者を射ぬけば、その射ぬかれた人間は……矢に選ばれた者だから、味方となってくれる……
メイ,……！
チェスタ,味覚をつかさどるサカナクションに、弓と矢を持たせよう。こいつに街中を飛ばせて射ぬかせる
メイ,スタンド使いを増やすのね……私達の味方となる！
チェスタ,俺達が手を下す必要は無い……この街中の人々が、俺達の駒だ。空条承太郎……！。行けッ！サカナクションッ！俺達を守るためにッ！。……天国の時が来るまで、俺達は待とう。暗やみのなかで……
メイ,……ええ、チェスタ……二人きりで、ね
チェスタ,……
メイ,……フフフ……
仗助,……ハァ……いつつ！……。……グレートに平和っスね～～今日は。鳥が楽しそうに鳴いてよーッ……こんな平和な杜王町に……今、吸血鬼がどこかに潜んでいるんだよな……。……入院生活ってよォ～～やっぱおれには性に合わないンだよなァァ～～……ガキのころ入院した記憶が強くて、気がめいるっつーか、さ……
看護師,東方さァ～ん、面会の方が来られてますよォオ～
仗助,！……面会……って、もしかして……
看護師,あ、どうぞどうぞ。傷にひびくといけないので、あまり興奮させるような事はしないで下さいねー？工口本とかの差し入れは不可ですよーッ
承太郎,…………
仗助,……じょ、承太郎さん……
承太郎,……話はすでに聞かせてもらった。……災難だったな、仗助
仗助,承太郎さん……すみません！全てはおれのせいなんです！おれのせいで、石仮面は――い！イデデデッ！！
承太郎,……やれやれ、騒ぐんじゃあねえぜ、仗助。お前が思っている以上に、お前は重症なんだ
仗助,け、けどですね～承太郎さん……おれの責任で、吸血鬼なんていう危険なもんが生み出されちまったんですよ。おれがこうしてのーのーと寝っ転がって、承太郎さんと話をするなんて……
承太郎,別にお前の責任じゃあない。調査をしてわかったが、有栖川メイ……という女のスタンドは、なかなかにやっかいなシロモノであるようだ
仗助,調査……っスか？
承太郎,ああ……もうすぐ彼らもここに来るだろう
仗助,？
康一,し、失礼します……あッ！仗助くん！怪我は大丈夫なの？ナイフでグサリ！と刺されたって聞いたけど……
仗助,康一……。……ゲッ！
露伴,……何だい？その顔は……仗助くん？ぼくがここに来ちゃあ不満なのかい？せっかくこの岸辺露伴が見舞いに来てやったというのにさ～～……
仗助,き、岸辺露伴……先生……
露伴,フ～～ン……なかなか質素な病室だな。センスのカケラもない殺風景な部屋だが、仗助くんにはぴったりかもしれないな？ぼくはこんな病室、一日たりとも入院したくないけどね
仗助,……おい康一……なんで露伴のヤローがおれの見舞いに来てんだよ？普通億泰だろうがよ～～ここはッ！
康一,い、一応億泰くんも呼んだんだけど、お仕事のほうが忙しいらしくってさ……仗助くんが退院したら、腕によりをかけて料理をごちそうするって言ってたよ？
仗助,っつってもよ～～……
承太郎,仗助、彼を呼んだのはおれだ。彼のスタンド……ヘブンズ・ドアーによって、調べてもらいたいことがあってな……
仗助,承太郎さんが？……調べてもらいたいことって……
露伴,もちろん、有栖川メイという小娘の能力……友達になるってやつのことさ
承太郎,確認するが、仗助……お前は有栖川メイの友達になった、と……事件のあった日、そう思ったんだな？
仗助,……ええ、はい。……今となっちゃあ、どーしてそう思ったのか自分でも理解出来ないんスけどね～～……
康一,実はスピードワゴン財団に、川尻早人くんや大柳賢くんから、生徒にスタンド使いがいるかもしれない……って、相談があったんだよ。結構前の話だけど……。あの時は、そんな危険な能力だとは思ってなかった。ただ、人と親しくなれるくらいの能力なのかと……
承太郎,三人の話から推測するに、彼女は記憶を操作する能力を持っているのかもしれない……と、思ってな。少し確かめてもらったのだ。
露伴,全く……ぼくも暇じゃあないんだよなーッ。康一くんや承太郎さんの頼みじゃあなければ、こんな使いっ走りみたいなこと、絶対にやらないぜ？
康一,す、すみません……露伴先生。仕事があるっていうのに……
露伴,ま！週刊誌から月刊誌に移ってから、結構時間にゆとりはあるから問題はないよ。ピンクダークの少年第8部も順調だ。9部までの構成も頭の中では完成しているしね。今回の第8部はサスペンスと工口スを主軸にしていて……
仗助,あー……えっと、露伴先生？で、結局その……彼女の能力っていうやつは……？
露伴,……仕方ないな……結論から言うよ。有栖川メイとかいう小娘は、記憶を操作して友達となるスタンド能力を持っている。高校生数人を読んでみてわかったことだ
承太郎,……やはりか
康一,と、友達になる、って……
露伴,親愛なる友達というやつは、時に家族よりも強い絆で結ばれる。危険な能力だよ。……まあ、彼女の能力はなかなかに穴だらけのようだけど……そうだな、実際に見てもらったほうが早いか？
仗助,実際に……だと～ッ？まさか露伴……オメーッまた人のページを破りとったんじゃあねーだろーな～～ッ！？
露伴,早とちりするなよなーッ仗助。……君が今寝っ転がってる、となりのベッドに……彼女の友達がいるんだよ
仗助,……ナニィイ～～……？
露伴,カーテンで仕切ってあって気付かなかったかい？まあ君は会ったことが無いんだったか。ぼくもジャンケン小僧に話を聞いて知ったんだよ。けど、君の妹はコイツのこと、よーく知っていると思うぜ？
仗助,静が？……静の知り合いか？
露伴,知り合いかどうかは……ま、本人に聞いたらいいんじゃあないかな？開けるよ……
仗助,……
康一,……
承太郎,……
大林,…………知り合いなんかじゃあねーよッ。……俺はあいつのせいで、こんなクソつまんねー病室に閉じ込められることになったんだからな～～……やっと具合がよくなって、今まさに退院間近だっつ～～のによ～～……俺に何の用だ？オッサンら……
露伴,大林正雄……スタンド使いで、能力を使って盗撮を繰り返す小悪党。そのことがバレて静・ジョースターにボコボコにされ、現在入院中……ジャンケン小僧からそう聞いたが？
仗助,ああ……おれも静に聞いたことあるぜ～～。セコいカメラ小僧がいたってな。まさかおれのお隣さんだったとはよ～～
大林,……チェッ、ムチャクチャ言いやがって、メチャイラつくけどよ～～……どーせアンタらもスタンド使いだろ？話聞くかぎりさーッ。……こんだけのスタンド使いに囲まれりゃ、さすがの俺もどーしよーもねーや……好きにしろよッチクショー
康一,……カッコつけてるけど、盗撮犯なんだよね……
仗助,康一……触れちゃあいけねー事って、この世にはいっぱいあるんだぜ～～……
露伴,君は……有栖川メイという娘のことを知ってるかい？
大林,知ってるも何も……メイは俺の友達だぜ。大親友ッ！さっきからオメーらメイについてコソコソ話してるよーだけどさ～～、メイの悪口を言うっつーんなら……俺ァ～どーしよーも無くっても、相手になってやるゼーッ？
露伴,オーケーだ。さっそく彼の記憶を読ませてもらおう。……いいですね？承太郎さん
承太郎,ああ……ところで、仗助
仗助,はいィ～？
承太郎,……静は今、何処にいる？
仗助,……えッ？
承太郎,これから先話すことは……静にも知ってもらいたいことだ。静のクラスメイトが事件を引き起こしたのだからな……静はもう、完璧に無関係じゃあ無い
仗助,そ、それは……そうっスけど……
承太郎,それに……静にも少し、確認しておきたい事があるんだ。……おれの杞憂であればいいんだが……
仗助,はァ……？……？
承太郎,それで……彼女は今、何処に？
仗助,えーっと……実は昨日電話がありまして……静のやつ、今日おれのお見舞いに来るらしいんスよ。……今頃こっちに向かってるんじゃあないっスかねェ～？
女性,……。……。……！。……えッ……？……！？
オッサン,……うひ、ウヒヒ……イヒ……
女性,ちょ……ヤダ、待って……
オッサン,スゥ～～～ッ……クンクンクン……フーッ……イ～イニオイだねー……しっとりと汗のニオイがしてたまらないよ……ウヒヒ……
女性,だッ……誰か……！。あッ！あッ……
オッサン,ケヒ、ウヒヒ……
静,この人チカンでェェ～～すッ
オッサン,なッ！？
女性,あッ……！
オッサン,なッ……何だァァーッテメーこのクソガキッ！この俺がチカンだとォ～～バカも休み休み言えってんだトンチキッ！何の証拠があってンな事言ってんだァーッ場合によっちゃあ名誉毀損罪で訴えるぞッ！！
静,……グレート。いい開き直りっぷりだわ……あたしはマネしたくないけど
オッサン,おいッそこのオンナッ！俺ァ～～チカンなんざしてねーよなァア～～？えっ！？そうだろ？オイッ！！
女性,えッ……！
オッサン,オイッ！してないって言いやがれッこの売女ッ！！ぼさっとしてんじゃあねーぞッさっさと言えェ――ッ！
女性,そ、そのォ～……
静,気にすること無いっての。アンタが正しいって思う方を選べばいいのよ。あたしはアンタの味方になってあげるからさ～～……
オッサン,オイィッ！コソコソ告げ口してんじゃあねーぞッそこのマナイタっ！！
静,……アンタ今あたしの身体のこと何つった……？
オッサン,うっせェェ――ッ！！俺は今そこのオンナにしゃべってんだッ！！外野は黙ってろォォ――ッ！！
女性,あ、あのッ……。あ、あたし……その、ち、チカン……なんて……されてません、から……
静,……ハァ～～……
オッサン,ニヤァ～～……ほーらなッ？見ろッ！俺が正しかったって事が証明されたよなァァ～～？当の本人がされてないっつってんだからよォォ～～、こりゃあされてないよなァァ～～？……つまりッ！テメーが全部間違ってたって事だよォォ～～ん！ヒャッヒャッヒャッ！！……オラッ！何か言うことはねーのかよッ小娘ッ！！テメェーらもッいつまでもこっち見てんじゃあねェェーッ！！殺すぞッゴラッ！！
静,……やれやれね。あんまし使いたくなかったんだけど……
オッサン,あァ？
静,物的証拠ってヤツよ……どジャあァァァ～～～ん
オッサン,な……何ィィ！？さっきまで何も無かったのにッ……手の平にケータイがァァッ！！？
静,そ。しかも誕生日に買ってもらった、チョォ～～高画質の最新スマートフォンッ！最近のケータイってマジに画質いいのよねェ～～……ほら、この動画とか……
オッサン,……ぐげェッ！？
静,バ～～ッチリ……写ってるわよね？ホラ見て、メチャおしりまさぐってる……何？おしりにスクラッチ宝くじでもついてたの？
オッサン,…………
会社員,チカンだッこの男ッ！おとなしくしろッ次の駅で下ろすぞッ！
オッサン,グ、グエエッ！
男,わたしどうにも理解できないんですけど、どうしてチカンなんてするんでしょうね？普通に彼女を作ったほうが安全じゃあないですか
オッサン,こッ……この……クソ女がァァ～～ッ！！
男,まるで正月に子供だまして……
会社員,おいッ！大人しくしろよっコラアーッ！！
女性,あッ……ありがとうございますッ！！
静,別にィ～～……うとうとしてて目ェ覚ましたら、バッチリ目覚めの悪いモン見せられて、気分が悪かっただけよ。……それよりさーッ、アンタ……
女性,えっ？
静,そんなオドオドした態度してっから、あんなハゲたオッサンになめられるんだってのーッ。女だからこそねーッ、やってやるわよ！っつ～目をして生きていかないといけないのよッ。もっと目元つり上げなさいよねーッ。グイッとよ、グイッと
女性,は、はい……
静,――っとと、あたしも次の駅で降りないと
オッサン,――オイッ！無視してんじゃあ――聞いて――！！――！
会社員,いい加減にしろ――！！
女性,次の駅って……。……病院、ですよね？……どこか、身体の具合でも悪いんですか？
静,ううん、違うわよ。ちょっとね……。兄さんのお見舞いに行くのよ、あたしィ～～。ふぁ……よく寝たァ～～。スッキリ爽快ね……。やだ、歩くと眩暈がする……あたしも入院したほうがよかったかな？かなりヘビィに血を失っちゃったからね～～。しかし……ヘンな夢を見ちゃったわ。あたしが高校生の兄さんや、ちっこい承太郎さんの娘さんと遊ぶなんて……心のどっかで遊びたい欲でもあんのかなァ～～……兄さん退院したら、ショッピングでも付き合ってもらおっかなッ。さ～～てッ！ぶどうヶ丘総合病院は……ト。あたしってば、典型的な地図の読めないオンナなのよねェ～～っ。右も左もわからなくっても、ナビに従えばすぐわかるわ。時代はハイテクよっハイテクゥ～～ッ。……うーむ、GPS兵器のミサイルって数センチの誤差で正確に狙えるとか情報では言うけど、このGPSはあたしの歩く速度、ちゃんとわかってんのかな……。移動時間……30分って書いてあるわ……。な～～にがっ総合病院前駅だってのッ～～メチャ遠いじゃあないのよ～～フンッ！。……へえ、こっちの方は初めて来るけど……なかなか個性的な店が並んでいるのねー。……バイクショップスピード☆キング？兄さん結構こーいうの好きだから、連れてってあげたらヨロコブかもね～ッ。……。……。ン？……あれ？。おっ！こんなところに路地が……しかもちょっぴり日陰になっててイーイじゃあないの～～。正直暑くってマイってたのよね～～。気がきいてるわッこのナビッ。はいはい了解ィ～～。ん～！木陰が気持ちいいわ……これなら長い道のりも、楽しみながらいけるわねーッ。病院が坂道の上にあるっていうのは、かなりネックだけど……。……そういえばあたし、兄さんのお見舞いに行くっていうのに、なんにも持ってきてないわ……どっかでメロンとかでも買うべきかなーッ？それとも……入院生活でイロイロ大変だろーから、コンビニで工口本とかァ～～ッ？キャハハ！。はいはいはいはい……左ね。わかってるっての。……ふう、それにしても……。もう夏ね……ずいぶん気温が高くなってきたし、セミの声もうるさくなってきたわ。……あたしセミ苦手なのよねぇ～～。日本の風物詩かもしんないけど、どーも暑苦しくってさ～～……。ふう、暑いわね……ちょっぴり汗かいてきたわ……。右ね……。……！
露伴,ヘブンズ・ドアー！
大林,何ッ……？。…………
露伴,……さあ、さっさと読ませてもらおうか。すぐに見つかると思うんだが……
仗助,相変わらず変な能力だよな～～。人を本にするなんてよーッ
露伴,君に変な能力だなんて言われたくないな。人間の体にはいろんな事が記憶されてる……ぼくはそれを視覚的にわかりやすくしてあげてるだけさ。……ム、こいつ……かなり攻撃を受けているようだな
康一,な、何ですって？露伴先生
露伴,見なよ、康一くん……承太郎さんも。仗助くんは……見たいのかい？うん？
仗助,ろ、露伴先生ィ～～……そこは心置きなく見せてくれてもいいじゃあないっスかぁぁ～～……
露伴,フン、仕方ないな……ほら、ここだよ。見えるか？
康一,……い、一体……？
仗助,こ……これはッ！？い、イテテ……
承太郎,大きい声を出すんじゃあねえぜ、仗助。……これが、記憶を操作されている……ということか
露伴,記憶という時間軸に介入している……と言ってもいいだろうね。ただ、ぼくが穴だらけだと言ったのは……この記憶操作はかなり乱雑で、しかももろいんだ。
仗助,もろい？
露伴,まるで炭かなにかでうすーく書かれたかのようで……ちょいと擦ると文字が消えてしまいそうなんだよ。たぶん、強いショックでも受ければ、この能力は解除されるんじゃあないのかな？……仗助、たとえばナイフで刺されるとかさ
仗助,……ゴ、ゴクリ……
康一,け、けど露伴先生……この子も入院するようなケガをしてますけど……？
露伴,記憶操作の攻撃を受けた時間が長かったからだよ。仗助くんが友達となったのは、たしか数十分の間だけだろう？彼はたぶん、数日か数ヶ月は友達として生活している。今でこそこんなに薄いけど、前はもう少し濃かったはずだよ。それと、この能力のもう一つの穴……見てわかる通り、かなり記憶操作が雑なんだよ。過程や理由をすっ飛ばして、友達であるという記憶だけ刻みつけられている。友達になった理由……友達になった日……友達となった原因……それらの記憶が無いわけだから、矛盾に満ちあふれているんだよ。その記憶の矛盾点を突き詰めていけば……この能力はもろくも崩れ去ってしまう
仗助,な、なァ～～んだ！っつーことはよォ～～最強かと思ったメイとかいう女の能力も！実は全然大したことないって事じゃあねーかよ～～ッ！フーッおどかしやがって……
露伴,……問題はだな……この女、自分の能力の弱点を、よーく理解しているんだよ
仗助,……何？
露伴,承太郎さん、貴方に言われた通りの場所に……そば屋有す川はありました。彼女の両親と見られる老夫婦が住んでいましたよ。……しかし……
承太郎,……
露伴,……有栖川メイの能力は完璧じゃあない……簡単に解くことが出来る。そこが長所でもあるんだ。……彼女の両親である老夫婦には……有栖川メイに関する記憶はほとんどありませんでした
康一,……えッ？
仗助,な……何スってェ？
承太郎,…………やはりか
康一,有栖川メイの能力は……友達になるってことじゃあないんですか！？
仗助,そォ～～だぜッ露伴先生ッ！記憶を消すなんて、それじゃあまるで……好き勝手記憶を操作してるみたいじゃあないっスかぁ～～ッ！？
露伴,落ち着いて考えてみろよなーッ仗助。何故両親に有栖川メイの記憶が無いのか？……君も今有栖川メイの記憶が無いんだろう？
仗助,……えッ？……いや、それって…………？
承太郎,簡単な事だ……両親にかけていた自分の能力を解いた……有栖川メイは、自分の両親にも友達になるというスタンド攻撃をしかけていたんだ
康一,え……ええええ――ッ！？
露伴,そもそも彼女と老夫婦には、血の繋がりというものが無いんだ。養子なんだよ彼女……子宝に恵まれなかった老夫婦に、2歳の頃引き取られている
仗助,け……けどよーッ！能力を解除しても、普通の記憶に戻るってだけだろ？いくら血の繋がりが無いっつっても……自分の引き取った娘のことぐらい覚えているだろーがよ～～ッ！
露伴,彼女は……幼い頃から病弱で、医者にも見放されて……死ぬのは時間の問題だと言われていたそうだ。老夫婦の記憶も読ませてもらったが……先の長くない治療費ばかりかかる赤の他人のガキを、二人は疎ましく思っていたみたいだね
仗助,……
康一,……な、なんだか……少しかわいそうですね
露伴,フン！ぼくはちっともカワイソーだとは思わないな。わたし、とっても不幸なんです～って感じの、悲劇のヒロインぶったツラしているやつ、ぼくは大ッ嫌いなんだ
承太郎,何にせよ、これで……彼女は自分の身を守る家を失った、というわけだ。自分の姿を隠すために、あえて切り捨てたということだな
康一,ということは……今、有栖川メイは身を守るものも無く、この町をさまよっている……ってこと？高校生の女の子が一人で生きていくなんて……
仗助,……いや、一人じゃあないぜ。それに、奴は身を守る手段も持っている……
承太郎,……DIOの息子と……弓と矢か……
仗助,ええ。……特に弓と矢……吉良吉影の時と同じだ。あれを悪用しちまうと……この町はおれ達を襲うスタンド使いだらけになっちまうっスよ……
康一,……
露伴,……
承太郎,……やれやれだ……
