トレジャーハンター,以下ハンター
ミミック娘,いやもう私の負けだよ……。ねぇねぇ、お願いがあるんだけどさ
冒険者少女,？なんですか？
ミミック娘,獲物を釣り出す丁度いいお宝が欲しいんだよね！何か持ってない？
冒険者少女,……薬草くらいなら
ミミック娘,流石にしょぼいよ……
冒険者少女,しょぼい……。あのハンターさんに頼んだら良いんじゃないですか？
ミミック娘,あの人ヤバイブツばっかり持ってくるんだよ……丁度いいって所を知らないんだよ……
冒険者少女,ヤバイブツ……？。ぱ、パーティですか！？
ミミック娘,ダメ？
冒険者少女,今時新米なんて誰もパーティを組んでくれなかった……そんな私にパーティが……。頑張りましょう！
ミミック娘,おー！
盗賊,へっへっへ、命が惜しけりゃ身ぐるみ置いていきな
盗賊B,めんどくせぇ、殺してから奪えば良いだろ
冒険者少女,終わった……私のパーティ……
盗賊,なかなか立派な宝箱じゃねえか
ミミック娘,
盗賊,！？
ミミック娘,
盗賊B,な、なんだ！？コラ、開けやが
ミミック娘,。ふぃー、私達は300の経験値をゲットした！
冒険者少女,あ、この人実はメチャクチャ強い？
ハンター,そろそろ本業もやらないとねー何かいい仕事ないかなー。
ゴブリン,シャァァー！
冒険者少女,すいません抵抗しませんからこれを差し上げますので許してください！
宝箱,
ゴブリン,
ミミック娘,。ふぃー楽勝楽勝、私達は25の経験値を手に入れた！
冒険者少女,この調子で行きましょう！
ミミック娘,おー！
ハンター,ハンターの先制攻撃！ドロップキック！
冒険者少女,ギャー！？
ハンター,ほいっ！
ミミック娘,
ハンター,甘いわ！
ミミック娘,
ハンター,そしてチョップ！
ミミック娘,ギャー！？
ハンター,ってわけでミミックと魔物使いは死んだ事になったから！
ミミック娘,うう、ひどいよー私のおうち……
ハンター,賞金稼ぎに狙われるよりマシでしょ
冒険者少女,良い手だと思ったんですけど……かなりレベル上がったし
ハンター,バカっ！
冒険者少女,ｱｳﾁ！
ハンター,キミが憧れた冒険者っていうのは、怯えたフリして敵にミミックけしかける姿だったの！？
冒険者娘,
ミミック娘,でもいっぱい獲物引っ掛けれたし嬉しかったなー
ハンター,バカバカっ！
ミミック娘,ｱｳﾁ！。
冒険者娘,わ、私が間違ってました……私が憧れた冒険者は、こんな姿じゃない！
ミミック娘,そうだよ、いっぱい獲物をひっかけられても、これじゃダメなんだ！
ハンター,わかってくれてうれしいよ！じゃあ早速次のダンジョンに行こう！
ミミック娘,おー！
冒険者娘,はいっ！
魔王,クソっ！神界から奪った光のオーブ！どこに行った！？
側近,只今全力で捜索しております！今しばらくお待ちを！
魔王,盗んだ者はタダではおかん……！生きたまま冥府へ落とし真の生き地獄を味あわせてくれる！
ハンター,へへっ、この緊張感がたまらねぇ！ハンターはやめられませんなぁ！
ミミック娘,
冒険者娘,
勇者,！
ハンター,！
勇者,ついに見つけたぞ勇者の剣ドロボー！たたっ斬ってやる！
戦士,魔王城にいたとはな……やはり魔王の刺客だったか！
僧侶,四肢を引き裂いた後さらし首です！
ハンター,ごめんなさい！勇者の剣は返すから許してください！この宝箱ッス！
勇者,返した位で許すわけ
戦士,ゆ、勇者！こいつ勇者を出し
僧侶,
冒険者少女,えいっ！
僧侶,え
魔王,なんの騒ぎだ！？
ハンター,やっべ
魔王,侵入者……光のオーブを盗んだのは貴様か！
ハンター,ごめんなさいッスこの宝箱の中っス！
魔王,貴様、あとで八つ裂きに
ミミック娘,
魔王,なんのマネだ！
ミミック娘,ｷｬｧｧ！
ハンター,隙あり！必殺のバックアタック！
魔王,ｷﾞｬｧｧ！？
ミミック娘,さらに隙あり！。ふぃー、魔物のむれをやっつけた！
ハンター,僕たちは18000の経験値を手に入れた！。！？
冒険者娘,な、なんですかこの揺れ！？
神,私は神……
ハンター,やべぇ。人だけの世？あのー魔物は……？
神,この世に魔物など不要、光のオーブと私の力を使えば魔物を消し去ることなど容易い
ハンター,
冒険者娘,
宝箱,
神,さあ光のオーブを私に
冒険者少女,はいこの中です
宝箱,
神,
ハンター,勇者の剣に魔王の杖、神の瞳に光のオーブ、終末の書に創世の宝玉、好きなの選びなよ！
ミミック娘,だからそんなヤバイブツは嫌だよ……
ハンター,……じ、じゃ、これとか……
ミミック娘,……指輪？
ハンター,き、給料5ヶ月分です！
ミミック娘,……。えっ
ハンター,ど、どうッスか！？
ミミック娘,え、こ、これってそういうアレ！？
ハンター,そういうアレです！
ミミック娘,……
ハンター,どうなんスか！？
ミミック娘,……
ハンター,え、ちょっと逃げないでよ！うぉい！
