新八｢へー、まるでどっかで経験済みみたいな言い方ですね｣,棒読み
銀時,あの外歩いてる奴…服が面白いんだけど、文字通り顔も白いし。ありゃーあれだ…クラスに一人はいる一匹狼カッコいいと思っちゃう派だな。…んなことはどうでもいいか、俺も便所行ってくるかな。アイツ神楽みてーにたくさん食いやがって……。家……どこだっけ？ま、また迷ったァァァァ！！。俺こんな方向音痴だったっけ！？そんな設定あった！？。だがいきなり迷子になりましたは恥ずかしい……大物の大将っぽくいくか。え？ちょ……え？倒れた？ねえ何か倒れちゃったんですけどォォォ！？。あれか！？覇気が強すぎたせいか！まさか俺って覇王色の覇気だったの！？。どうもここにいる奴らは変な魔法みてーな技を使いやがるからな……なら。ＡＴフィールド……だと……？。いや、そんなんじゃねー…打撃の衝撃がまんま跳ね返ってきたみてーな…。跳ね返ってきやがった…これがヤローの…。地面のコンクリが飛んで……！。飛ばした瓦礫の死角……しまっ。これに少しでもビビって逃げ腰になってくれりゃ儲けモンだけどよ…。そんな上手い話はねーか……ま、煽りくらいにゃなったな。しっかし参ったな……まさか攻撃を跳ね返しちまう能力とはよ。しかも周りにあるモンまで操れるとか……チートにも程があんだろ。けど…ヤローの能力もさすがに連続では使えねーはずだ…なら。これまで通りアイツを挑発しまくって……。向かってきたところをスマブラ…リンクの回転斬りで仕留めてやらァァ！。足を軸にして斬りつける回転斬りなら…反射されようが関係ねぇ…。反射されて右回転が左回転になろうが…結局は奴をぶっ叩ける…。案の定反射しやがったな！このまま逆回転でヤローを…。あれ？それとも攻撃が当たる直前に引きゃいいのか？。そうすりゃそれを反射して逆に当たるんじゃねーの？。なるほどね…超スピードで動くヤローにカウンター合わせて直前で引く…か
一方通行,なンだってンだァ…？
銀時,まさかこんな形で死ぬとはよ……笑えねェな
一方通行,攻撃を……受け止められただとォ！？
銀時,普通にぶん殴って…何でアイツはヤローに触れるんだ！？
上条,しまった…距離を取られた…！
一方通行,なンですかなンですかなンなンですかあいつの能力はァァ！？
上条,何だ…俺の方が確実に追い込んでたはずだ……！。しまった…焦りすぎたか……何てミスをしちまったんだ！
銀時,一万人……？。だから殺されることが使命ってか……なるほどな。冗談言ってる場合じゃねェ！マジでヤバそうじゃねーかァァァァ！
一方通行,いや違う…こんな風が自然に起こるはずがねェ……。ぐ、偶然に決まってンだろォが！ンなところまで先読み出来るわけ…。ま、待て…たしか序盤の頃……。二万人中、俺が殺したのは一万人強……。全部…アイツの計算通りに進ンでやがったのか？
ミサカ,………ありがとう
銀時,あーあー、何をコイツらやってんだか……。で……コイツは目から嫉妬ビーム炸裂してやがるしよ
銀時｢樹形図の設計者,ツリーダイアグラム
上条,何だ…こんな大通りに人が一人も……
一方通行,能力者が何か操作してやがンのか…いや違うなァ…
銀時,ウルトラマン……しかもエースとか渋いチョイスだなオイ
一方通行,まァたコイツは意味分かンねェことを……
神裂,…ずいぶんと仲が良さそうですね。七閃の正体を一度で見抜いた…？
一方通行,アイツ…意外と若ェンだな……正直二十後半はいってると思ったけどよ…
神裂・銀時｢戦闘開始！,レッツパーリィィィ！！
銀時,ヤローの技は抜刀に見せかけて弦を飛ばしてるだけだ……なら
神裂,速い…七閃を回避して即座に間合いを…！
一方通行,なンか勝手に始めやがって……俺ァもう帰っていいンですかァ？
神裂,この白髪の少年…ただならない気配が……！
ステイル,こっちの細い少年なら安全に勝てそうだな……
銀時,一方通行の奴が分かって俺だけ分かんない恥ずかしいしな……。やっべ…何言ってるか全然分かんねえ……仕方ねぇ、もう一回説明聞くか…。何だ…コイツも分かってなかったのか……。いやお前は馬鹿だから
上条,リミットまでもう時間がない…どうすればその術式を……いや待てよ。ヤバいこれ…絶対勘違いされてるパターンだ……まあ今回は俺のせいだけど。術を解かなきゃ命に関わるってことは隠しておくか…。……ん？コイツは…！
一方通行,こいつの力場にも一定の方向性はあるンだろ……なら…
銀時,上条の奴が結界に触ってくれりゃすぐ解決だけどよ……さすがに無理か
上条,インデックスの体勢が崩れた……！
美琴,今よ…あの光をレールガンで…２１．２４度、３１．７９度ずつ……ずらす！
