主にエリカとマチスのお話し,予定
マチス,ＨＡＨＡＨＡＨＡＨＡ！エリカさーん！違いマース！おさかな料理かお肉の料理どちらか聞いてマース！
エリカ,あら失礼致しました・・御魚料理をお願いしますわ
マチス,ビーフ！
乗務員,かしこまりました。では失礼します
エリカ,お外の景色は素晴らしいですわね・・海が青々と・・輝いて
船乗り,おうおう！外人さん！カワイイ彼女連れて船乗りデートかい！。気に入らねえ・・バトルしやがれ！
マチス,ＨＡＨＡ。違いマース。この方はワタクシの大事なお客さんデース。でもＯＫ。バトルは歓迎デース。。。。。ＨＡＨＡＨＡ！ビリビリになりすぎネ！
エリカ,フフフ・・ホント賑やかな御人・・
船乗り達,ま・・参りました・・降参ッス
マチス,ＯＫＯＫ！良いレベル上げになったからネ！。イエス！ついにジョウト地方に到着デース！
エリカ,ジョウト地方・・初めて参りましたわ
マチス,ここのジムに挑戦しますカ?。ここのジムリーダーに挑戦してもワタクシのポケモンは歯が立ちまセーン・・。エリカさんならもしかしたラ・・
エリカ,いえいえ、冷やかしの挑戦はいたしません。ゆっくりと・・町の、いえ、ジョウト地方の散策をしましょう
マチス,ＯＫ！。とても綺麗ですネ！ＨＡＨＡＨＡ
エリカ,ええ、とっても・・訓練されてるみたいですわね。私も日本舞踊には少々勉強させて頂いてますので・・
マチス,ワッツ！？ぜひエリカさんの舞を見物させてクダサーイ！
エリカ,舞子さん達が練習してらっしゃるのに・・・
マチス,お願いシマース！オーマイゴッド！ホーリーシット！
エリカ,・・分かりました。ちょっとだけですからね。・・・・ふう
マチス,ＨＡＨＡＨＡＨＡＨＡＨＡＨＡ！ベリーグーッド！。とてもステキでしたヨ。惚れ惚れしてしまいました。ミー。
エリカ,フフ・・マチスさんったら。褒めがお上手ですこと
マチス,ノンノン！真面目にネ・・・息を飲んだネ・・あまりの・・その・・美しＳＡ
エリカ,では参りましょうか
マチス,オー・・ＯＫ
エリカ,・・フフ。まあ、ここはタマムシシティによく似てますこと
マチス,ＨＡＨＡＨＡ！ここはジョウト一の都会シティデース！
エリカ,デパートもありますのね。
マチス,行ってみますカ?
エリカ,参りましょう
アカネ,なんやフシギなカップルやなー！和服と軍服て！
エリカ,ふふふ
アカネ,あんたらここらへんの人ちゃうやろ！どっから来たん?ウチはアカネ！
エリカ,カントー地方から参りました
アカネ,カントー?また遠い所から・・ここらへんのこと分からへんやろ！ウチが案内したる！
マチス,ＯＨ！ありがとうございマース！
アカネ,・・・でな、ここが百貨店で、なんでも売ってんで！。・・・でな、ここでラジオが放送されてんねん！クルミちゃーん！。・・・ふう、色々回ったなー。おもろかった?
エリカ,とっても。楽しめましたわ。ありがとうございます
マチス,エキサイティング！
アカネ,お礼になにかしてくれへんかなー・・なんてね
マチス,お礼ですカ?
アカネ,実はウチ、ここのコガネシティのコガネジム、ジムリーダーやねん！。バトルせえへん?カントーは強い人が多い聞いてるから
エリカ,いえ・・私は・・
マチス,ＯＫ！バトルしましょう！ワタクシはクチバシティのジムリーダーネ！
アカネ,！！ホンマかいな！よっしゃ！バトルしよ！
エリカ,・・・
マチス,一対一でバトルね！ＯＫ?
アカネ,えーで！ウチの切り札は決まってるからな！
マチス,では！いきなさい！ライチュウ！
アカネ,！？・・・異常にレベル高ないか?やっぱカントー地方恐るべしやな・・。行くんや！ミルタンク！。わーん！酷いわ！ちょっとは手ぬいてーや！
マチス,オロオロ・・
エリカ,あらあら・・
アカネ,わーん！わーん！。ふぅ・・ひとしきり泣いたらスッキリしたわ。。ありがとな！
マチス,ＨＡＨＡＨＡ！泣き虫は戦場では嫌われますヨー！
アカネ,もう泣かへん！次は絶対勝つからな！覚えとき！
マチス,ＯＫ。またお会いしましょウ！クチバシティにもいらしてクダサーイ
エリカ,あら、もうこんな時間・・どうしましょう
マチス,大丈夫デース。リニアがあります！
エリカ,リニア・・?あの新しく開通したとされる列車のことですか?
マチス,イエス！チケットもほら！持ってマス。
エリカ,凄いですわね・・マチスさん
マチス,では、帰りましょウ！
エリカ,色々と楽しかったです。ホントに。。ありがとうございました。リニアにまで・・
マチス,ＨＡＨＡＨＡＨＡ。ワタクシもいーっぱい楽しみましたヨ！
エリカ,また誘って下さいね。
マチス,ＯＫ！また参りましょう！。では！バーイ！
エリカ,ごきげんよう・・。マチスさんってホント面白い御人。ちょっぴり・・・好きになりました。また・・誘って下さるかしら・・フフ
