スタッフ,す、すみません、こちらの手違いで……
やよい,ぎたーそろかもーん！
ギターソロ,響の方は任せろ！
真,プロデューサー！ライブで使う音源の調子が……
やよい,ぎたーそろかもーん！
ギターソロ,音源は生のギターでカバーしてやるぜ！！
雪歩,あうう……い、犬がぁ……
犬,ｶﾞﾙﾙﾙｰｯ！
やよい,ぎたーそろかもーん！
ギターソロ,俺のソロを聴けぇぇ！！
伊織,んもー！何なのよあいつ！！
春香,あいつってギターソロの人のこと？
真,良い人だよね！僕こないだポカリ貰っちゃった！
律子,困ってる時にちゃんと気を利かせてくれるのよね
あずさ,ギターもとてもお上手ですしねぇ～
伊織,な、何よもう！あんたらみんなしてー！
やよい,あっ！伊織ちゃーん！！
伊織,全くもう……分かってるわよ、あいつが凄いのなんて……。でも……
DQN１,へいへい、君カワイイねーｗｗｗｗｗｗｗｗｗｗｗ
DQN２,ねーねー、今ヒマしてるー？ｗｗｗｗｗｗｗｗｗ
伊織,な、何よあんたら！邪魔よ！どきなさいよ！
DQN１,どきなさいってよｗｗｗｗｗｗいいねー強気でｗｗｗｗｗｗｗｗｗｗｗｗ
DQN２,あんまつれないこと言わないでよーｗｗｗｗｗ俺達と良いことしようぜーｗｗｗｗｗｗｗ
伊織,ちょ、ちょっと！離しなさいよ！
？？,待ちな！
DQN１,なにっ！？誰だテメェ！！
ギターソロ,なあに、通りすがりのギターソロさ
伊織,あ、あんた……何よ！呼んでもいないのにどうして来るのよ！！
ギターソロ,へっ、バカなこと言いやがるぜ……事務所の仲間がピンチな時に黙って見ていられるかよ！！
伊織,あんた……
DQN１,チッ、かっこつけてんじゃねーぞ野郎！
ギターソロ,戦いなんてくだらねぇぜ！俺のソロを聴けぇ！！
DQN１,う、うおっ！すげぇテクだ！！
DQN２,感心してんじゃねーよ！くそっ！ふざけやがって！
ギターソロ,うぐあっ！
伊織,ぎ、ギターソロ！！
DQN２,何だこいつ！てんで弱っちいぜ！やっちまえ！
DQN１,オラオラ！くたばれ！
ギターソロ,ぐはぁっ！
伊織,ちょ、ちょっと！どうしてやり返さないのよ！
ギターソロ,へっ……わ、悪いが……ギタリストの手は喧嘩をする為の手じゃねえのさ。俺の手はギターソロを奏でる為の手だからな！
DQN２,こっ、こいつまだ……
真,いました！こっちです！
警官,よおし！見つけたぞ！
DQN１,やべぇ！サツだ！
DQN２,ち……ちぃっ！今日はこのぐらいにしといてやらあ！！
真,伊織！大丈夫！？
伊織,だ……大丈夫に決まってるじゃない！この私を誰だと思ってるの！？。それよりも……
ギターソロ,ぐっ……
やよい,ううー、だ、大丈夫ですかー！？
ギターソロ,へっ……なんてこたぁねえよ……じゃ、また何かあったら呼んでくれ
伊織,ちょ、ちょっと！待ちなさいよ！
ギターソロ,あん？
伊織,その……た、助けてくれて……ありがと……
ギターソロ,へっ……やめろよ、そういうセリフは似合わないぜ……
伊織,うっ、うるっさいわね！もう！。えーと、これが……
やよい,あれ？伊織ちゃん？
春香,本当だ、こんなところでどうしたの？
伊織,うわっ、な、何でも無いわよ！
やよい,うわー、ギターがいっぱいありますー！
春香,へー、すごい！伊織ギターやるの！？
伊織,そ、そんなわけじゃないじゃない！たまたま近くにいただけよ！
春香,じゃあそのギターの教本は？
伊織,うぐっ。い、良いでしょ別に……それよりも、あんた達こそどうしたのよ？
春香,えへへ、それがもうすぐライブでしょ？でも実はまだ私イマイチ歌のテンポが合わなくて……。だからコレ！メトロノーム買いにきたんだ！イエイッ！
伊織,ていうか、あんたまだテンポ合ってなかったの？
春香,うっ、こ、これからだよ！これから！ねー、やよい！
やよい,はい！これから頑張って練習しましょうねー！
春香,そうそう、今日はギターソロさんに教えてもらうんだもんねー
伊織,ちょ、ちょっと、あいつもう大丈夫なの！？
やよい,大丈夫って言ってましたけど……うーん、ぎたーそろかもーん！
ギターソロ,呼んだか！？
伊織,あっ、ちょ、ちょっと！あんたもう大丈夫なの！？
ギターソロ,へっ、なあに、問題無いさ！
伊織,そ、そう……なら私は別に良いけど……
春香,あ、そうだ！伊織も一緒に練習しない！？
伊織,い、いいわよ私は！
ギターソロ,おいおい、遠慮するなよ、ギターソロのしかたも教えてやるぜ？
伊織,だからギターなんか弾かないって言ってるでしょ！！
ギターソロ,はっはっはっは！！
雪歩,うう～、き、緊張するよぅ……
春香,大丈夫だって！頑張ろうよ！
伊織,全く、この程度のライブで緊張なんて先が思いやられるわ
真,そういう伊織だってさっきから何度も鏡でメイク気にしてるよね
伊織,そ、そんなことないわよ！
P,みみ、みんな！大変だ！！
真美,あれ？兄ちゃんどうしたの？
P,そ、それがスタッフの人に言われたんだが……何でも楽曲データに不具合があったらしくて……
千早,まさか……
P,そう……音源が無い！！
全員,！！？
春香,どどど、どうするんですか！プロデューサーさん！
P,ああ、小鳥さんが予備の音源を取りに行ってくれてるが……
響,で、でも今からじゃライブには全然間に合わないぞ！どうするんだ！？
やよい,うう～、ぎ、ぎたーそろかもーん！！
ギターソロ,俺に任せろみんな！そういう時の為のギタリストだろ！？
春香,ギターソロさん！で、でも！
ギターソロ,なあに、俺のバンド仲間も呼び出す！全員765プロの大ファンだからな！。音源が届くくらいまでは持つさ、だから……俺に任せてくれ！！
P,ギターソロさん……ありがとうございます！！
ギターソロ,へっ、良いってことよ
伊織,……
黒井,ふん……底辺事務所が……身の程を思い知るが良い！ハッハッハ！！
俺ら,こんばんわー！！！
黒井,なっ……ふ、だが生演奏なんぞで長時間持つわけがない……。ククク……どこまで行けるか見せてもらおうか……フハハハハハハ！！！
客,このオッサンうっせぇ
2曲目,IWant
春香,１・２・３・ヴァい！！。そこにひざまずいて！認めたいの！あーなーたーを！
黒井,ククク……まだまだ……
5曲目,Kosmos,Cosmos
雪歩,コスモス、コスモス、飛び出していくー♪。スピードを踏み込んで、ひらりー♪
黒井,まだまだ……
7曲目,エージェント夜を往く
真,眠れないよ、この身をさいなむ煩悩！。あなただけが使えるテクニックで溶かし尽くして！
黒井,あれ……い、いや、そろそろキツいだろう……ククク……
ギターソロ,……。ふー……
美希,お疲れ様なの！大丈夫！？
ギターソロ,へっ、問題ねぇよ、あと10曲ぐらいなら余裕で……
伊織,……
ギターソロ,痛っだあっ！！？
伊織,やっぱり……全然大丈夫じゃないじゃない！手がボロボロよ！！
ギターソロ,……
伊織,何でよ……どうしてこんなになってまで……
ギターソロ,へっ……俺は取り憑かれちまったんだよ、あいつの笑顔によ……
伊織,あいつって……やよいのこと？
ギターソロ,ああ、最初にアレのギターソロを任された時は何でこの俺がって思ったよ。だけどキラメキラリ……あの曲を歌うやよいを見た時……。俺はハッとしたのさ、そうだ、あいつは俺達に限界以上の元気をくれるんだ。だから俺は行かなくちゃならない、やよいとの付き合いはお前の方が長いんだ……分かるだろ？
伊織,分かるわよ……分かるけど……！！
ギターソロ,再開だ……次の曲はそのキラメキラリ……じゃ、ま、行ってくるぜ！
伊織,ちょ、ちょっと……もう……あの馬鹿……！
やよいそれじゃあ次の曲は,キラメキラリ
やよい,フレッフレッ頑張れっ！さあ行こう！フレッフレッ頑張れ！最っ高！
ギターソロ,くっ……もってくれよ！俺の指よう！
黒井,くく……分かる、分かるぞ、そろそろだ、もうそろそろ……
ギターソロ,そろそろギターソロ……がっ……く……ゆ、指が……。うおおおおお！！いっけえええ！！俺ェェェェ！！！
黒井,なにぃっ！？
ギターソロ,なっ……あ、あいつ……
伊織,行くわよ！せーのっ！
ギターソロ,あいついつの間にあんな……いや……。そうか……やよいに元気をもらえるのは俺だけじゃあない……あいつも……。へっ、粋なことしてくれやがって、こうなったらよ……。俺だって元気がバリバリ沸いてくるぜぇぇ！！！
12曲目,DIAMOND
小鳥,プロデューサーさん！音源直ったそうです！
P,そうか！やりましたね！俺なにもしてないけど！
小鳥,って……あれ演奏してるの伊織ちゃんですか？
P,ああ、いつ習ったんだか知らないけど、全く、いつの間にか……
伊織,ShineShineShineIamDiamond……♪。ShineShineShineYouareDiamond……♪
春香,んーっ、ライブ終了ーっ！！
真,お疲れ様みんな！
伊織,本当、こんなに大変なライブになるなんて思わなかったわよ
真美,おやー？その割にはいおりんが一番楽しんでたんじゃないかな～？
亜美,あのギターソロは凄かったよねぇ～、なになに？いつ練習してたの？
伊織,い、いいでしょ別に！
やよい,でも本当に凄かったよー！伊織ちゃん！ありがとー！
伊織,ん……ま、まあ、それほどじゃないわよ！！
やよい,うっうー！
ギターソロ,へっ……。伊織、立派なギターだったぜ
伊織,あんた……
ギターソロ,まさかお前があんなに上手いギターソロを聞かせてくれるとはな、正直驚いたぜ
伊織,ふ、ふん、そりゃ、この伊織ちゃんに出来ないことなんて無いわ！当然よ！
ギターソロ,それだけの腕なら、もう立派なギタリストだ……だから……。頼む！俺のギターソロの仕事を、お前に引き継いでくれ！！
伊織,は？
ギターソロ,いや、実は俺さ、前から作曲がやってみたかったんだよ
伊織,は？
ギターソロ,お前というギターソロの後継者が見つかって、やっと俺も作曲の勉強に集中できる
伊織,は？
ギターソロ,ま、作曲家を探してる時はいつでも呼んでくれ
やよい,作曲家さんかもーん！って言えばいいんですかー？
ギターソロ,ああ、今度からはギターソロカモン！って言えば伊織が来てくれるからな
伊織,ちょ、ちょっと、なに勝手に進めてるのよ！！
ギターソロ,っつーわけでアバヨ！！楽しかったぜ！！
伊織,ちょ、ちょっと！何なのよ！ちょっとーーー！！！
