第一話,切れるナイフ
助手,思い出ってのは、そう簡単に捨てられるもんじゃないんスよ。アタシも洋服屋でもらったマネキンを、捨てられないッスから
店長,いや、あれいい加減捨てろよ！。夜中に見ると小便チビるほど怖いんだよ、あれ！
助手,いやッス！
第七話,喧嘩の売り方
不良,クソが！──あ～、イライラしやがる！。どうすりゃこのムシャクシャを解消できんだ！？。ん？。こんなところに店があったのか……なんだこれ？。“何でも売ります、どんなものでも売ってます”……？。ふ～ん、おもしれぇ……。おう！。この店は何でも売ってくれるんだってなァ！？
店長,ああ、できる限り何でも売るよ
助手,うわぁ～……怖そうな人ッス
不良,だったらよぉ……。俺に喧嘩売ってくれよ、なァ！
店長,あいよ～！
助手,喧嘩を売ってくれって……。店長はぶっちゃけ弱いッス！どうするつもりッスか！？
店長,…………。“上等”だよ！？。あんまり“チョーシ”こいてっと、“ヤキ”入れちまうぞ？。“オモテ”に出ろや、コラ？。あぁ～～～～～ん！？
不良,…………。……ぷっ。ギャハハハハハッ！。アッハッハッハッハッハ……！。いやぁ～、いったいいつの時代のヤンキーのつもりだよ、アンタ。しかも、顔も全然怖くねえし！。久々に思いきり笑ったら、なんかスッキリしちまった。ムシャクシャしてて、誰かと喧嘩したかったんだが、もういいや。サンキューな！
店長,人生棒に振りたくなかったら、よほどのことじゃなきゃ喧嘩なんかすんなよ！
不良,わーってるよ！当分は思い出し笑いしちまいそうだ！ほれ代金！
店長,１００円かよ
助手,いやぁ～、危機一髪だったッスね。まさか喧嘩を売れ、なんてお客がいるとは。ところで、なんだったんスか？あの全く迫力のない喧嘩の売り方は
店長,わざとに決まってんだろ。俺だって殴られたくはないからな
助手,へぇ～……。じゃあ店長、ホントは喧嘩の売り方上手いんスか？
店長,当たり前だろ？俺は挑発の名人だ。試しにお前にやってやろうか？
助手,もちろんいいッスよ！アタシ、絶対怒らないッスから！
店長,…………。ブス
第八話,ミサイルは飛んでいく
店長,いらっしゃいませ～、何でも売るよ～、どんなものでもな！
眼帯,何でも、といったね……？
店長,ああ、できる限り何でも売るよ
眼帯,だったら……核ミサイルを売ってもらおうか
店長,あいよ～！。ほれ、超小型核ミサイルと発射ボタンだ。これを好きなところに備えつけて、ここに撃ちたい場所をインプットして。このボタンをポチっと押せば、発射できる。けっこう重いから、この台車で持ち帰ってくれ
眼帯,まさか、本当に売っているとはな……。ありがとう……
助手,いやぁ～、ウチの店って核兵器まで扱ってたんスね！
店長,当たり前だ。どんなものでも売ってるってキャッチフレーズなんだからな
助手,でも、あんなもん売って大丈夫ッスか？
店長,もう売っちまったし、あの客が悪用しないことを願おう
助手,悪用以外に使えるんスか、あれ……
眼帯,ふふふ……これが核ミサイルか。都市一つ軽くふっ飛ばせる威力だっていってたな。恨みのある奴が住んでる地方にぶっ放すのもいいし。ベタに国会議事堂みたいな重要施設をやってしまうのも面白いかもしれない。いや、いっそ私に撃って壮絶な自爆をするのもドラマチックでいい。どうせ、この世に未練などないのだ。まぁいい、これをどう使うかはじっくり考えることにしよう。ふふふふふ……。さて、そろそろ発射する場所を決めるか。む、核ミサイルにホコリがついているではないか。いかんいかん。どれ、手入れをするか。フキンで拭くとしよう。…………。…………。おお、ピカピカになったぞ！。ふふふ……なんだか核ミサイルが愛おしくなってきてしまったぞ。せっかくキレイにしたし、発射するのはもう少し後にしよう。核ミサイルと添い寝をしてみるか。…………。こうやって核ミサイルを抱き枕みたいにすると。金属がひんやりして、気持ちいいな……。ふふふふふ……。核ミサイルに、リボンをつけてお洒落をさせよう。おおっ、可愛いぞ！。核ミサイルとて、爆発さえしなければ誰にも迷惑をかけないのだ！。さて、今度はこの高級タオルで優しく掃除してやるからな！。ふふふふふ……。ああっ！核ミサイル！──いや、お前と呼ばせてくれ！。私がお前が大好きだ！一生離さないぞ！絶対発射なんかするもんか！。生まれてから不幸の連続で、仕事先の事故で片目を失い。しかもクビになり、こんな廃屋でみじめに暮らすしかなくなった私だが──。お前のおかげで生きる気力が湧いた！。お前だけは私を裏切らない！。好きだ！大好きだ！。核ミサイル、私はお前を愛してるッ！。！？。なんで発射態勢に入ってるんだ！？。おいお前、どこへ行くんだ！？私はスイッチを押してないぞ！。あああああ～～～～～～～～～～っ！？。お前まで私を見捨てるのか！裏切るのか！。お前までぇ～～～～～！。あああっ……。…………。もしかして……。お前は私を、守ってくれたのか……？。なら、この守られた命……無駄には、できない……な……
助手,店長、ニュース見たッスか？
店長,ああ、見た。あの客がスイッチ押したら、俺にも分かる仕組みになってるから。スイッチは押されちゃいないだろう
助手,つまり、核ミサイルが勝手に飛び出したってことスか？
店長,そういうことになるな。大切にすれば物にも心が宿る、なんていうが。核ミサイルも、それは例外じゃなかったってことか……
第九話,あの輝く星を君に
男,君は本当に美しいよ！
女,あなたは本当にかっこいいわ！
男,そうだ、君になんでも買ってあげよう！
女,キャ～嬉しい～！
男,あの夜空に輝く星を、一つ買ってあげよう
女,キャ～ロマンチック～！
男＆女,アロ～ハ～
店長,いらっしゃいませ～、何でも売るよ～、どんなものでもな！
男,なんでも売ってくれるのかぁい？
女,なんでも売ってくれるのかしらぁ？
店長,ああ、できる限り何でも売るよ
助手,なんだかすごいテンションのカップルッスね……
男,なら、星を一つ売ってくれないかい？ぜひ彼女にプレゼントしたいんだ
女,キャー、ステキ～！
店長,あいよ～！。まもなく迎えが来ると思うから、ちょっと待っててくれ
男,迎え？
宇宙人,お待たせいたしまシタ。我らの星をお買い上げいただき、ありがとうございマス。ぜひご招待したいので、さっそく宇宙船へドウゾ
男,え？え？え？触手が伸びてきたぞ？
女,キャ～、なにこれぇ～！？
助手,さ、宇宙の旅を楽しんできて下さいッス！
宇宙人,ここが我らの星デス
男,地球からどのくらい離れてるのかな？
宇宙人,ざっと１０億光年デス
女,キャ～、１０億光年ですってぇ！。ねえねえ、ヨーロッパより遠いのぉ？
男,もちろんだとも！。なにしろ、１０億光年っていうぐらいだからね！
女,キャ～！
宇宙人,今まで地球人はあの二人以外、我らの姿を見たとたん失神してイタガ……。なんか調子狂ウナ
店長,あの二人はどうなってる？
助手,モニターを見ると──。宇宙人さんの星で、変わらずあのテンションで楽しんでるッスよ。もうすぐ三連休終わるからお土産買わなきゃ～とかいってるッス
店長,ったく、そこらの観光地に遊びに行ってるわけじゃねえんだぞ。正直いって、あのテンションにイラッときたから。ビビらせるためにあの星を売ったって部分もあったんだが──。バカップル恐るべし、だな
最終話,店長と助手
客,──まさか、これが手に入るとは思わなかったよ！半ば諦めたとこだったんだ！。本当にありがとう！
店長,毎度～！
助手,また来て下さいッス！
店長,もう客も来ないだろうし、そろそろ店じまいするか
助手,そッスね！
店長,それにしても、お前はいつもよくやってくれてるな
助手,どうしたんスか、急に！？
店長,なに、俺もたまには気まぐれに人を褒めたくなる時があるんだよ
助手,なぁんだ、気まぐれッスか
店長,…………。どうだ、お前は何か欲しいもんとかないのか？
助手,欲しいものッスか？
店長,ああ、できる限り何でも売ってやるよ
助手,う～ん、そうッスねえ……。だったら──。長めの休暇が欲しいッス！
店長,なにぃ！？その間俺が一人でこの店を切り盛りしろってか！？。商品の整理とか、コイツがいないとどうにもならねえぞ！。しかし……何でもっていっちゃったしなぁ……うぐぐ……
助手,もちろん、店長も一緒に！
店長,へ？
助手,店長もちょっと長めの休暇をとって、ふたりで旅行でも行くッスよ！
店長,ふん……そんなんじゃ、いつまでたっても独立できねえぞ？
助手,アタシはずっと店長と一緒ッス！
店長,た、助かった……。よし、じゃあ休暇を売ってやる。なお休暇中、給料は出ないからな。それが代金代わりだ
助手,そんな殺生な！
店長,俺の店に、有給休暇なんてもんはねえんだよ。さぁ～て、んじゃさっそく旅行プランでも立てるか。これをドアにぶら下げてきてくれ
助手,はいッス！
