比企谷八幡,…………………
八幡,なんでイーブイのモチーフの動物がなんなのかを決めるだけで奉仕部の存続が関わるの！？
いろは,生徒会の仕事がなくて暇だったから来てみたんですけど、一体何を話してるんですか？てゆうか、イーブイって……あのポケモンの？
八幡,そうだ。実はひょんなことからイーブイって何をモチーフにしたかについて決めることになったんだよ
いろは,あ、イーブイ可愛いですね！私も昔ポケモンやってましたよぉーーー！！
雪乃,なら話が早いわね。一色さん、ポケモン経験者というのならばイーブイが猫をモチーフにしたポケモンであるという私の考えを理解してくれるわよね？
いろは,え、猫？
結衣,違うしッ！いろはちゃん、どう見てもイーブイは可愛い子犬だよね？
いろは,え、犬？
八幡,まあ、こんな感じのつまんない議論だ
いろは,う〜〜〜ん、イーブイって見た感じ、ウサギじゃないですか
雪乃・結衣,えぇぇーーー！！
八幡,キタコレ
雪乃,一色さん、あなたそれ本気で言っているのかしら！？目を覚ましなさい。冗談だというのなら今からでも間に合うから、猫だと答え直すことをお勧めするわよ
結衣,ゆきのんばっかしズルい！いろはちゃん、イーブイは絶対犬だってぇーー！
いろは,え〜、この毛でもふもふとした感じと長い耳はウサギっぽいですよ
八幡,まさか一色が俺と同じ意見だなんてな
いろは,え、先輩と同じ意見………///。っていやいや、一瞬ときめきかけましたけど何ですかそれ自分と同じ意見だからって親近感アピールですがごめんなさい無理です
八幡,いや別に口説こうともしてねえし
戸塚彩加,あ、はちま〜〜〜〜〜ん！
八幡,天使キタコレッ！！
結衣,あ、さいちゃん！どうしてここに？
戸塚,八幡のことを探してたんだよ。はい八幡、この間借りてたプリントありがとう
八幡,お、おう……///
戸塚,あれ？みんなして何かあったの？
雪乃,実はね、このもふもふとした子について話し合いをしていたところなのよ
戸塚,あ、ポケモンのイーブイだ！ウサギみたいで可愛いよね〜〜
一同,っ！！？
八幡,…………戸塚ぁ///
結衣,さいちゃん、今なんて！？
戸塚,え、可愛いよね〜って
雪乃,いえ、その少し前、一体何のようにと？
戸塚,え、ウサギみたいにって
いろは,今のところウサギの有利ですね、圧倒的に
八幡,もうウサギ説確定だろう
結衣,いや待ってよ、あり得ないし！！誰か一人くらい犬って言ってもよくない！？
雪乃,こんな屈辱的な事になるとは思いもしなかったわ。もふ谷君、あなたたまたまウサギ派の人間がここを訪れたからと言って調子に乗らないでくれるかしら！！
八幡,いや、乗ってねえから……………とつかわいい///
戸塚,えっ///
結衣・雪乃・いろは,むぅーーーーーーッ///
雪乃,こうなったら公平を期すために、次にここを訪れた人が何派だったかで決めましょう！
結衣,ああ〜〜、よくクイズ番組の最後であるやつだね
八幡,待てよ、それポイント制の時だろ！多数決のときは違うだろうし、公平な感じしませんけど！！
ガハマママ(結衣ママ),あら、みんなやっはろーーー！
一同,えぇぇぇぇーーーー！！？
いろは,って、この人誰ですか？
結衣,ちょっとママ、なんで学校に来てるしッ！！？
ガハマママ,たまたま近くのお店で買い物しててね、寄ってみちゃった！あ、ヒッキーやっはろぉーーー！！
八幡,あ、うっす……
戸塚,お母さんが来るだなんて、思いもしなかったね
雪乃,身内が来るとは………これでは犬派の有利かしらねッ
ガハマママ,犬派？一体なんの話かしら？
八幡,あ、実はこいつの事なんですけど
イーブイ,ﾌﾞｲｰｰｰｰ！
ガハマママ,あら、カステラみたいで可愛い子ね！！
一同,えっ！？
