彡(ﾟ)(ﾟ)だから、ワイはロシア人って言われても故郷もぜんぜんおぼえとらん、気が付いたら,シベリア
彡(ﾟ)(ﾟ),タイム！。ワイが投げてええか？。ワイが投げる、ぜったいに抑えるで。サンガツやで。いくで。あ、はい・・・
彡(^)(^),…！ありがとナス！
彡(ﾟ)(ﾟ),フンッ！！
(;ﾟ;ё;ﾟ;),市岡君、それじゃあベーブ・ルースが日米野球への正式参加が決まったんだね？。アメリカ野球界の大スターが来るんだ、前回(1930年日米野球)より興行面は期待できるぞ。それより、選手集めの方は捗っているかね？。有望な学生を中退させて学生じゃなくするように言ったがそれでも足りないのか？。ぐぬぬ…今回我々はアメリカ1回は勝つと宣言した以上、どうして勝たなければいけないのだ！。誰かいないのか？アメリカを打ち破る、そう言った選手は！？。…ビクトル・スタルヒン？この名前といで立ちから察するに露系難民か。それはいいじゃないか！是非ともこいつを代表メンバーに加えたい！それじゃあこの件は頼んだぞ
彡(ﾟ)(ﾟ),ベーブ・ルースが来るんやろ？あんな大スターが来るんて今回は豪華やな。なんや急に、すごい顔やで。へーついに代表メンバーが決まったんか
彡(^)(^),お！？三原さんやんけぇ！ワイ早稲田ファンやから早稲田OBのこの人好きなんやぁ＾～
彡(ﾟ)(ﾟ),は？なんやこれ、ワイ代表入りした覚えはないぞ！？
彡(●)(●),そ、そんな訳あるかいっ！！！ワイはホンマの知らんのや、こんなんデタラメやわっ！！！！！
(;ﾟ;ё;ﾟ;),…それで、市民から強い反発を受けていると。もういいっ！それ以上いやな話なんぞ聞きたくない！。しかし、もう新聞で特集も作ってしまったし客もスタルヒンの登場を楽しみにしている。今更出ないって言ってしまったら示しがつかなくなるぞ、それに米代表がもう来るぞ。市岡君か？。…スタルヒンを獲得するしかないな。わかった、早速そいつを呼んでスタルヒン引き抜きするようする。という訳だ、やれるか？
(☆…●),はい！お任せください！
(;ﾟ;ё;ﾟ;),それと、必要ならば私と、読売の名前も使ってもいいぞ
(☆…●),はい！わかりました！。ふぅ、やっとついたぞ…先ずは止まる宿を見つけてその後に支部の方へ向かうか。？誰だ？。わざわざこんなところに呼ぶとは…何かあったのですか？。え、なにこれは(素)なんか私のコメントも載っているんですけど。…言いたくない、君が言え。…例の子は今どこに？。…ありがとう…参考にはなったよ、今日は宿に泊まって休むことにするよ。今日伺いしましたのは。…スタルヒン君についてなんですが…。是非とも日米野球に。ご参加にしていただきたいことについてでして…。学校は駄目、住民なんて論外…直接本人と話すしかないな。見つかったか！？場所は？…旭川駅から南に位置する神楽町…分かった、すぐに向かう。どうも突然すいません、お母さん、スタルヒン君、私、秋本と言います
J('ー`)し,…つまり、息子をそちらのチームに参加してほしいと…
(☆…●),そのとおりです。今日本の野球は明らかに遅れています。ですが、今回の野球で全てが変わるはずです。上手くいけばアメリカと同じ仕組みが出来上がると私は踏んでいます。スタルヒン君、もし君が参加したとするなら君は歴史を変えた一人として日本の歴史に長く残ることになるだろう。ロシアから難民として日本に移住してきた君にとってこれほど名誉なことはないと思う！。…どうだろう、日米野球に参加して見てはいかがかな？その方が自分や家族の利益が多いとは思われますが
彡(-)(-),…僕は友達、市民の皆様にいくらかの借金をしています
彡(ﾟ)(ﾟ),それを返すために学業を疎かにせず、就職して借金を返すつもりです。貴方のいう職業野球人は"職業"というからに成功しなければ首の世界でしょう。借金をしている身としてそのギャンブルのようなことはとて不安で…
(☆…●),そういうことでしたらこれをご覧ください。頭山満。貴方達亡命者にとって知らない名ではないでしょう。彼は政財界において絶大なる影響を持っていると同時に、弱者に対して大変慈悲深いお方です。これはその頭山氏が貴方達を今後いかなる支援も惜しまない、何かあった場合は必ず生活の支援を保証するということを書き綴った委任状です。君が生活に困っているのならばそれを保証する、それによって君は野球に専念できる。しかも、成功すれば歴史に名が残せるかもしれない。もう一度考えて見ないか？君にとって悪い話は一切ないんだぞ
彡(-)(-),…秋本さん、申し訳ありませんが僕は契約をいたしません
(☆…●),…あ？
彡(ﾟ)(ﾟ),悪い話は一切ないと言いましたが、僕にはいくつかあるんです。まず、今僕の夢は旭川中学のみんなで甲子園に行くことです。そして卒業後は早稲田大学に入学してそこで野球をすることです。今代表入りしている僕と同年代の沢村君は参加するに当たって学校を中退したと聞いています。そうならば、私の夢が叶わなくなってしまうということになるので参加いたしません。頭山さんが僕らと同じ立場の人に対して支援を行なっていることは知っています。その頭山さんから支援されることは大変恵まれていることは承知しています
(☆…●),だったら
彡(ﾟ)(ﾟ),ですが、それ以上に僕は友達と地元の皆様に支援させていただいているんです！。僕はその期待に応えたいんです、それが移民としてここに来た僕ができる精一杯の誠意なんです！！。秋本さん、僕は夢をどうしても夢を叶えたいんです…どうかこの話はなかったことにしていただきませんか
彡(-)(-),この通りです！
(☆…●),…今日のところは引きます、また来ますね。しかしまずい…マジでまずいぞ…。このままじゃ引き込みの任務は失敗に終わってしまう…。そうなったら俺は間違いなくクビ…アア…まずいまずいまずいマズイマズイ！！！？
(☆●●●●),…かくなる上は。どんな小さいことでもいい、弱みとなりそうなものはないか？。これは…昭和8年1月の地元紙…1年前の記事か。…！これだ！これがあればあいつを引き込めることができるぞ！！。今から俺のいう通りに動いてもらう。これは正力社長の発言だと思え！
彡(ﾟ)(ﾟ)…？,なんや？マッマいないんかな？？
彡(ﾟ)(ﾟ),本当に来たんですね秋本さん
(☆●●●●),まぁね、君と話があるんだ。いきなりですまないが、一ついいかい？
彡(ﾟ)(ﾟ),なんでしょう
(☆●●●●),君のお父さんの姿が見えないんだが、どこにいるんだい？
彡；(ﾟ)(ﾟ),…父は今少し…
(☆●●●●),あーーーーーーーっっっ！思い出した！。たしか、同じロシア系の人を殺して、今刑務所だっけ？
彡(ﾟ)(ﾟ),…よくご存じで
(☆●●●●),や～どうしても君が欲しくて偶然知ったんだよね、偶然。言っちゃあれだけど、お父さんがそれじゃあスタルヒン、犯罪者の息子になっちゃうでしょ？。困るんだよ、身内に犯罪者がいる海外の移住者が日本にいてもらうと。いやぁ困った困った
彡(ﾟ)(ﾟ),…だから、何が言いたいんですか？
(☆●●●●),…こんな危険人物がいては市民の皆様も困るだろうからね、ロシアへの強制送還を考えているんだ
彡(ﾟ)(ﾟ),…は？
彡(●)(●),そんなことできるわけないやろがッ！！ふざけんのもたいがいにしろッ！！
(☆●●●●),それができるんだよ。我が読売新聞社の正力松太郎社長は、少し警察の人と仲良しでね、言えばそれなりのことをやってくれるんだよ。で、僕はその正力社長からある程度の権限をもらっているんだ、君らをロシアから国外退去できるぐらいのものを。…で、さらに困ったことが、もしそれをしてしまうと、現ソビエト政府と対立していた君のお父さんの近親者がロシアに戻ってしまったらソビエトはただでは向かえないだろう。軽くても流刑、重くて死刑だろうねぇ
彡()(),…うそや、うそや…そんな身勝手なことがまかり通るなんて…
(☆●●●●),スタルヒンくぅん…あとは君の意志だけだよ？。お母さんと一緒にロシアへ帰るかい？。さぁあ、どうなんだいっっ？！？
彡(ﾟ)(ﾟ),…先生、これ…。先生、今までありがとうございました
彡(。)(。),それじゃ、僕はこれで
彡(；)(；),ほっといてくださいッッッッッッッッッッ！！！！！！！！！！！
(☆●●●●),お世話になった人にあいさつしたかい？
彡(。)(。),…
(☆●●●●),これから東京へ行くのに7時間かかるよ
彡(。)(。),…
(☆●●●●),…まぁ、俺もやりすぎたと思ってるよ、そんなにへそ曲げんなよ。ところでそれなんだ？。木彫りの熊…か？なんでわざわざ…まあそろそろ汽車出るから乗れや
記者A,スタルヒン君、日米野球に参加するために学校を退学したらしいね
記者B,学生の貴重な時間を潰してまで職業野球団に入るその理由を知りたいんだが…
彡(ﾟ)(ﾟ),この木彫りの熊を見てください。これは僕が北海道旭川でもらったものです
記者A,それがいったい・・・？
彡(ﾟ)(ﾟ),この熊の如く強く堪え忍んで白系ロシア人として生きる途を求めるためです。
記者B,なるほど…(なんのこっちゃ)
彡(ﾟ)(ﾟ),あの後、読売新聞は球団を結成して技術吸収のためにアメリカ遠征をおこなったで
彡(^)(^),サンフランシスコはハルピンとかと比べて雰囲気全然違うなぁ早く野球がしたいぜ。おかのした。パスポートは管理の人へぽーい
彡(ﾟ)(ﾟ),…？(なんか英語で言ってるけど全然分からん…とりあえずイエス言っとくか)
彡(^)(^),イエス！。イエス！。イエス！。イエス！
彡(ﾟ)(ﾟ),え…僕、入国できないんですか？。…僕ビザもってないです…日本に移住した時のモノしか…
彡(。)(。),ありがとうございます…
彡(ﾟ)(ﾟ),あの、僕はどうすればビザを持てたんでしょうか。…そうですか…。はい、今まで何年も日本に暮らしてきましたが僕は未だに無国籍です、本当の意味で日本人になりたいのです
彡；(ﾟ)(ﾟ),な、なんでですか…
彡(ﾟ)(ﾟ),…今回は遠慮しておきます、また別の機会に
彡(^)(^),今からこの漫画の主人公の真似するでー、ンゴゴゴゴゴｗｗｗｗｗｗｗｗ
彡(ﾟ)(ﾟ),ちょっと君、僕の名前は確かにスタルヒンだけどそれじゃ長すぎるからスタ公にしてくれって言ったでしょ！？
彡(^)(^),ええんやで、次からきーつけやー。ふー今日もみんなの緊張をほぐせたかな？
彡(ﾟ)(ﾟ),…ん？今年入った若い子らやん。改名…ですか？
(･`ω･´),ロシアのノモンハンで日本軍とソ連軍が衝突したことは聴いただろう、それ以来お前を含むロシア人に対する偏見が高まっている
(；･`ω･´),お前の…その…その風貌だとあらぬ疑いをかけられるかもしれん
(･`ω･´),せめて名前だけでも変えてくれ、と上から言われているんだ…
彡(。)(。),…わかりました
彡(ﾟ)(ﾟ),あーいいねぇ、連れるわ
彡(^)(^),美味いなー
彡(ﾟ)(ﾟ),あの、僕の顔に何か？。…まぁいつものことか
彡；(ﾟ)(ﾟ),せ、せやな
彡；()(),ファッ！？何するんですか！？。そ、そんな…
彡(ﾟ)(ﾟ),…ハハッ…すまん、ちょっと行ってくるわ
(;ﾟ;ё;ﾟ;),あの、とは？。…そうですね。おい市岡
彡；(ﾟ)(ﾟ),何の用でしょうか…？
彡；()(),ファッ！？。待ってください！私は確かに生まれはロシアですけどもうロシアとは関係ありませんよ！？
彡；(ﾟ)(ﾟ),それに、僕は読売新聞の…
彡(ﾟ)(ﾟ),は？
(;ﾟ;ё;ﾟ;),そのようだな。ん？。もしもの時のために残しておいたんだ。出し惜しむな、さっさと話せ
彡；(ﾟ)(ﾟ),は、はい…なんでしょう…
彡(ﾟ)(ﾟ),…あ、ありがとうございます…。やっと、やっと戦争が終わった。戦争が終わって、ワイを白い目で見る人間はいなくなった
彡(。)(。),でも…野球もなくなった…。今は進駐軍の通訳を務めてそれなりに良い生活はさせてもらっとるが、生活が充実した気がしない
彡(ﾟ)(ﾟ),…野球がしたい。…ん？君は…。千葉くん…？ああ君か。生きてたんだね。プロ野球が復活！？
彡(^)(^),おうモチロ
彡(ﾟ)(ﾟ),千葉、復帰って巨人か？。市岡さんが言ったんか？。じゃあやめだ。ほら、今飯食うだけでも必死やろ？ワイもブランクあるし。ワイも家族いるし、マッマもいるんやで？そんなギャンブルみたいなことできんわ。無理や、諦めてくれ。なんで断ってしまったんや、ワイ。さっきまで野球がしたい言ってたのに。えり好みなんてできないやろ、なんでや
彡(；)(；),なんでや…なんで選んでしまったんや…
彡(ﾟ)(ﾟ),…ん？
彡(ﾟ)(ﾟ)！,ふ、藤本さん！！！
彡(ﾟ)(ﾟ),藤本さん！
(･`ω･´),…！スタルヒンか！？お前、生きてたのか
彡(^)(^),はい！この通り！
(；･`ω･´),お前、なんで進駐軍のジープなんか乗っているんだ？
(･`ω･´),なるほど…通訳か、ロシア語や英語ができるお前なら適任だろうな。お前ほどの選手が今は通訳か…。なあスタルヒン、話があるんだが。今度、プロ野球が復活することを知っているか
彡(ﾟ)(ﾟ),はい聴いてます
(･`ω･´),私はある新興球団の監督を任されてな、お前さえよければそのチームに入団させたいんだが…
彡(ﾟ)(ﾟ),ぜ、ぜひ！ぜひお願いします！
(･`ω･´),本当か？それじゃあこっちの準備ができ次第お前を呼ぶよ。連絡先くれ
彡(^)(^),はい！よろしくお願いします！
(;ﾟ;ё;ﾟ;),もう少しでプロ野球も開幕かぁ。ここまで苦労したよ、早く開幕しないかのぉ。ど、どうしたそんなに急いで…。あいつがどうした？。は？。おかしいだろ？報告じゃあ本人にやる気がなかったのだろう？
彡(ﾟ)(ﾟ),自分の好きな球界に戻って、大いに活躍したい熱意に燃えております
彡(●)(●),ですが、入るならパシフィックだ。確かに、巨人には色々とお世話になりました。ただ、ある感情のことで入りたくない。入るとしたら、自分がもっとも信頼する藤本監督がおられるパシフィックだけです。他は入団しません
(;ﾟ;ё;ﾟ;),あの恩知らずがぁ…。私に背いたことを後悔させてやる…
(･`ω･´),凄いことになったな…
彡(ﾟ)(ﾟ),いいです、僕が選んだことですので
(･`ω･´),そういえば、今のお前の勝利数は199勝だったな
彡(ﾟ)(ﾟ),そうですね、あと一勝で200勝なんですが今年出られるかどうか…
(･`ω･´),まあ、今年駄目でも来年はいけるだろう。しかしよくここまで勝利数を伸ばせたな、大台だぞ
彡(ﾟ)(ﾟ),…藤本さん、僕の大台は200勝じゃないですよ
(･`ω･´),まだ上に行くのか？。スタルヒン！！
彡(^)(^),藤本さん、僕やりました！やりましたよ！！
(･`ω･´),彼は僕が非常に可愛がって育てた選手です。その彼の特徴を言うならば、決して温室育ちではないということです。特に戦争中は、人種的に白い目で見られていましたが、それでも彼は野球に対する情熱を失わず、むしろ燃え上がる勢いでした。このような精神的ハンディキャップを乗り越えてきたからこそ、今日の偉業達成だと思う。彼は、プロ選手の生きた手本だ
(;ﾟ;ё;ﾟ;),…。…つまらん。スタルヒンの奴め…いい気になりおって…。あの時巨人に戻っていれば今よりだいぶ早く300勝なんぞ達成できたものの…。…だが奴は…弱小球団に何年もいて、達成しおった…。つまらん……それに加えて気に食わん…。…テレビでもつけるか
彡(^)(^),ありがとうございます
(;ﾟ;ё;ﾟ;),あいつ…！テレビ出演だと…？益々気に食わん！。クソ…クソ…
彡(ﾟ)(ﾟ),…あぁ、これで頂上は征服した。あとは坂を下りていけばいい。これで楽に投げられるな
彡(^)(^),こんな感じですねｗｗｗ
彡(ﾟ)(ﾟ),次の目標は2000奪三振に100完封！。若林忠志も42歳まで野球を続けました、僕は今39歳、楽観的に考えてまだ3年はいけるはずです！
彡(^)(^),ありがとうございます！
(;ﾟ;ё;ﾟ;),あとは坂を下りていけばいい。これで楽に投げられるな
彡(ﾟ)(ﾟ),え？
彡；(ﾟ)(ﾟ),い、いや！僕はまだ十分に投げられます！。せ、せめて！もう1シーズンだけでもお願いします！。…！？あの人がですか！？。そ、それは…
彡(。)(。),…正力さんは、確かに引退試合をするって言ったんですよね？
彡(ﾟ)(ﾟ),…わかりました。球団さん、今までお世話になりました
(;ﾟ;ё;ﾟ;),そうか…そうか…！クフフ…。よし、それじゃあ奴から連絡が来たら前に言った通りに答えろ
彡(ﾟ)(ﾟ),もしもし、読売新聞ですか？僕はヴィクトル・スタルヒンです。引退興行の件でお話が…。また今度って…。…おかしい。もうあれから何日も経ってる…いくら何でも遅すぎやろ…。もしもし！今日は正力さんがいると思うのですけど！！。そうか…で、引退試合はいつや？
彡(●)(●),…は？。おいマテや。誤って許される話とちゃうぞ。おいっ！話聞けやぁっ！！！。なんやねん…あいつらはワイをどうしたいんやっっ！！！
彡()(),しかしマズイ…巨人を頼って正式に退団してしまった…今から前の球団に戻れるわけがない…。は、はやく、コーチの仕事を探さなくては…
彡(；)(；),なんでやっ！どうなっとんねんっ！。頼む…もうコーチなんてどうでもいい…。ボール拾いでもええんや…ワイは、ワイは野球がしたいんや！！
(´･ω･`),わー東京なんて久しぶりだなぁ。…同窓会まで数日あるし、適当に飲んでようかな
(´ﾟωﾟ`),あっ！ぶつかってすいません！
(´･ω･`),すいません…ん？。…え？ウイジャー…？
彡(。)(。),ウィジャー…？懐かしいやんけ…お前ワイのこと知っとるんか？
(´･ω･`),ウイジャー！僕だよ！覚えてる！？。ほら！子供の頃いっぱい野球をして…
彡(。)(。),久しぶりやな…。…なあ、お前暇か？
(´･ω･`),…？まぁうん…
彡(。)(。),付き合え、一緒に飲もうや。久しぶりやなぁ、元気にしとったか？
(´･ω･`),なんとかね
(；´･ω･`),ちょっとウイジャー、いくら何でも飲みすぎ…
彡(●)(●),ウルサイ！
(；´･ω･`),えぇ…ちょっとどうしたの？あったばかりだけど…今日、おかしいよ？
彡()(),…人の気持ちなんぞ知らないでよく言えたな…
(´･ω･`),…僕でよければ話してみたら？気が楽になるかもよ
彡()(),…。なぁ…お前は野球選手としてのワイの人生をどう思う？
(´･ω･`),野球人生？
彡()(),せや
(´･ω･`),…球界を代表する選手にまでなって…300勝も達成して。一番充実してると思う
彡()(),…充実？
彡(^)(^),…ふ、ファーｗｗｗｗｗｗｗｗ！！！！！！！！
(；´･ω･`),ちょ、どうしたの！？
彡(^)(^),ｗｗだってｗｗワイの人ｗ生が充ｗｗ実っつてｗｗ草生えるわｗｗｗｗ
(；´ﾟωﾟ`),え、え、え！？
(；´･ω･`),ちょっと！本当に大丈夫！？
彡(^)(^),ふーｗ…ふぅ…久しぶりに笑ったわぁ
(；´･ω･`),あぁそう…それならよかった…
彡(^)(^),…ワイの人生はな、お前が言った“充実”なんて言葉とかけ離れとるんや。その裏切りがな、もう20年ほど続いた。裏切るだけ裏切られてな、なーんの謝罪もなしに捨てられたんや。まぁ、旭川の皆に黙って東京に行った罰やこれは、因果応報、しゃーない
(´･ω･`),…その話は皆怒ってなんかいないって話したじゃないか…
彡(^)(^),ん、そうやっけか？。でも、心のどこかで思っとるやろ？表に出さないだけやろ？
(´･ω･`),…
彡(^)(^),…すまんな、アホなこと言ってもうて、ほら、ワイって今司会者やからストレス溜っとんねん。けっきょく、あいつらの仕事を引き受けるってワイがバカなんやなって…。ほれ、このことは忘れて飲もうや
彡(ﾟ)(ﾟ),なんやねん、飲めや
(´･ω･`),…ウイジャー。今度、ボウリングをするんだ。旭川市の仲間が東京でボウリング場を開いたんだ。で、その後に旭川中の皆で同窓会するんだ、君も参加したらどうだい？。…その様子じゃ知らなそうだったから言ってみた…どう？
彡(ﾟ)(ﾟ),…いやや
(´･ω･`),いやじゃない、君は参加するべきだ
彡(ﾟ)(ﾟ),いやって言っとるやろ！
(´･ω･`),…参加するべきだよ、ウイジャー。参加してくれてありがとうね。やっぱり君はいい奴だよ
彡(ﾟ)(ﾟ),…暇つぶしや、暇つぶし…。お、おう…すまんな
(´^ω^`),暇つぶしできそうだね。よし、まず初めに、我らが旧友が開くという、ボウリング場へ向かおうか！。いやー楽しかったなぁ
彡(^)(^),ははっ…
彡(ﾟ)(ﾟ),だ、大丈夫やで…
(´^ω^`),よし、これから同窓会へ向かうぞお！
(´･ω･`),東京住が少ないからね、しょうがないね。ウイジャー？
彡(ﾟ)(ﾟ),すまん、降りてくれ
(´･ω･`),え？
彡(ﾟ)(ﾟ),すぐそこに駅があるからそこから会場に向かってくれ。用事を思い出したんや、すまんな、じゃ
(´･ω･`),さぁ…まぁ電車で行くか。…。…。いや…あんとき、僕らは彼に車を降りろって言われたんだ。…そのあと、海上とは逆方向に走って、死んだ場所も会場とは離れてて
(；´･ω･`),…まさかね
(´･ω･`),ねぇ、僕にある計画があるんだけど。旭川市に市営の球場があるでしょ？。あの球場に、彼の銅像を建てたいんだ
(´^ω^`),よかった！ありがとう皆！
(´･ω･`),それもいいかも！
