……名を冥,メイ
承太郎,……
仗助,おい、お前らよ……
双馬,当然の権利だ。この本を手に入れたのは静だし、案内出来るのも静だけ、だ。それと！ついでに言っておく……この本が無ければ、幽霊屋敷の入口の扉は開かない……見つける事すら不可能だ
承太郎,……
静,……承太郎さん。あたし、決めたの。本当は……怖くて怖くて仕方ない。きっと承太郎さんは……兄さんは、億泰は、言うでしょうね。危険だぞ、命の保証はないって。そんな事はわかってる。その事を考えると胸がバクバク痛むわ。メイに血を吸われて死ぬ自分を考えると、身体が芯から冷え切ってしまう。……けどね
承太郎,……
静,あたし……許せないの。まがい物の力で、友達とかいう、上辺だけの存在を作って……人々を狂わせる、メイが……許せない。……そのためなら、どんなに怖くったって……あたし、拳を握って、あいつをブン殴れるわ
仗助,……
静,あいつに見せてやりたいの。親友と悪友の力をね。だから……お願い。あたし達を……認めて
仗助,……
億泰,……
承太郎,……君たちの言葉を聞かせて欲しい
双馬,……
純,……
双馬,……申し訳無いですが、僕の目的はメイが所持している弓と矢です。メイがそれを使う前に、手に入れるのが僕の目的です
純,私もさァ～～……正直言って来たくなかったっつーか……少なくとも、自分の命をかけてまで吸血鬼とかいうバケモンと戦う気は無いわよ。もし死にそうな目にあったら、一目散に逃げるわね
承太郎,……
双馬,ですが……
純,だけど……
双馬,メイはそれを使って神となる気です。ならば、それを阻止するため……静の力になってやりましょう
純,コイツ、放ってたら前の戦いでも死んでたもん。そんなヤツほったらかしにしてベッドでグースカ寝る訳にはいかねーッ……コイツが死にそうな目にあったら、全力で助けてやるわ
仗助,……
静,……二人とも……
純,……いい気になってんじゃあねーぞ、フンッ
承太郎,……やれやれだぜ。作戦の説明をする。よく聞いてくれ……といっても、大したものでは無いがな
静,……
双馬,……
純,……うう、お腹いたくなってきた
承太郎,屋敷に突入後はチームで行動する。仗助、お前は億泰とだ。そして静達は三人で行動しろ
億泰,久しぶりのコンビだな、仗助
仗助,ちょっと待って下さいっス、承太郎さんは？
承太郎,おれは一人だ。スタープラチナの時を止める能力は数秒……多人数を守るのには向かないんでな。静、屋敷の間取りは覚えているか？
静,え？あー、うーん……ちょっと自信ない……入ってすぐの部屋がガラスのオブジェだったと思うんだけど
仗助,なんだそりゃあ？
静,あ！良い忘れてましたけど、屋敷の中のものは絶対壊さないで下さい！壊すとそりゃあもうとんでもない事に……！
承太郎,らしいな……その事はすでに聞いている
純,ちょっと待った。私それ初めて聞いたんだけど？何？とんでもない事って？
静,っさいわね～～、後にしろっての
承太郎,屋敷に入った後、おれと仗助達は二階へと向かう。もし三階があるのなら、おれが三階だ。静達は一階をくまなく探索しろ
静,は、はい
承太郎,それと……全員にこれを渡しておく。小型の通信機だ
億泰,おおッ！なんかかっぴょイイじゃあないかよォ～～ッ！
承太郎,ここのボタンを押せば会話が出来る。そして……こっちの赤いボタンを押すと、他チームの通信機が振動する。吸血鬼を見つけた時は、このボタンを
双馬,振動……音や会話でさとられないようにするため、ですか？
承太郎,……気休めだが、まあそういう事だ。今回の作戦は……暗殺という形になる。時刻は昼……吸血鬼ならば眠っている時間だからだ。いいか？吸血鬼は人を食い物にする怪物……もはやこの世にいて良い生物じゃあない。奴らを見つけた場合――……
仗助,……
静,……
承太郎,ためらわず……殺す事だ
億泰,……
双馬,……
純,……
静,……ここよ
承太郎,……
仗助,……
静,ここに……メイがいる。感じるわ……
純,……ここって……何もないわよ、静
億泰,そうだぜェ～～、何かの間違いじゃあねえのか？
双馬,静、本を
静,……
承太郎,！
仗助,う……おおッ！？
双馬,うッ……！？
静,……
純,あタタ……こ、ここは！？
億泰,どひぇええ～～ッ……いつの間にやら屋敷ン中にいるぜェ～～……
仗助,……承太郎さん
承太郎,ああ……。……
仗助,億泰、ボサッとすんじゃあねーぜ
億泰,おう！しかし、でっけェ屋敷だぜ～～
静,双馬……純
双馬,……
純,……ハァ～～……仕方ないわね、やったるわよ
静,チラリ。……うッ！？
承太郎,……
仗助,？……なんだ静？ブサイクな顔しやがってよ～～
静,ブサイク？はあ？メチャきゃわいいに決まってますけど？……ってか、んな事言ってる場合じゃあないっての。変わってるの……間取りが
双馬,……
純,……間取り？
静,前は……そんな所にドアなんか無かった。窓の位置もオカシイわ
仗助,オメーの記憶違いなんじゃあないっスかァ～～ッ？
承太郎,いいや、あり得る話だ……この幽霊屋敷はスタンドと同じ、生命エネルギーの塊……形を変えてもなんらおかしくは無い
仗助,……つまり、こういう事っスか？この屋敷は敵の罠で……中は迷路のように入り組んでいたりする可能性が……
承太郎,十分予想されるだろうな……チームから逸れるなよ。それと、無闇やたらに通信機は繋がない事だ。情報が筒抜けになるおそれがあるからな。……おれ達は奥へ行くぜ……仗助、億泰
仗助,……了解っす
億泰,迷路だったらよォ～～、那由他のヤツが得意なんだがなァー
静,……
双馬,静、僕たちはこっちだ。左の部屋に入ろう
純,……
双馬,……
静,……やっぱり……。違う。……見て。本棚に入ってる本。ここ最近発売された安ゥーいミステリばっかだわ……この屋敷がまだこの世にあった頃、こんな本は無かった
純,私、ミステリ読まないんだよね……昔っから本とか買ってもらえなかったし
静,……
双馬,今重要か？その話？会話をするなら、もっと重要な事を話す方が良くないか？
純,重要っつったらさ、この本幽霊なんでしょ？重さを感じずサッと仕舞えるって電子書籍の代わりみたいに使えねェー？一冊もらっとこ。重要案件
双馬,……そんな下らない物を手に入れているヒマがあったら、弓と矢を手に入れるために全力を尽くしたらどうだ？
純,……
静,……
双馬,メイは矢のエネルギーを使って神になろうとしているんだ。魂が集まったはずなのに何故まだ矢を使わないのかは知らんが……ダラダラしていたら本当に神になってしまうぞ
純,……それだけじゃあねーだろ、メガネ
双馬,……。何か言ったか？純
純,お前はこの戦いより、弓と矢の方が大切なんだろ？……いい？私たちはメイを止めるのが目的なのよ。弓と矢を手に入れる事じゃあない。足並み揃えられないっていうのなら、外に出て待ってろ
双馬,……何を訳のわからない事を……
純,アンタ、静がどんな気持ちでアイツを止めようと――……！！
静,待って純。あたし、わかってるから
純,！
双馬,……
静,わかってるの……双馬、アンタの望みはわかってる。アンタの目的もね。だけど……。改めて、聞かせて
双馬,……
静,アンタは本当に……他の全てより、弓と矢の方が……大切だっていうの？
純,……
双馬,…………。……母さんは、父を信頼していた
純,……
静,……
双馬,ちっとも父さんの事を、恨んじゃあいなかったよ。心労で倒れ、病院のベッドに寝たきりになってからも、ずっと僕に言っていた。双馬……貴方は愛されて産まれてきた子なの。母さんから、そして、父さんからね……と
静,……
純,……
双馬,しかし……事実は違った。スタンド能力に目覚め、父さんと母さんが出会ったこの場所、杜王町の地面の記憶を読んで、僕は知った。……僕はただ、復讐のためだけに孕ませられた子だと！
純,……
静,……双馬……
双馬,聞きたいんだ……知りたいんだよ。僕の能力は、実際に起こった過去を読む事しか出来ない。だから、聞きたいんだ。父さんに……母さんの事を、僕の事を、本当に愛していたのかどうかを
純,……
双馬,そのためなら……今の僕から解き放たれて、幸せになるためなら、何だってする。邪魔をするなら……今ここでやりあってもいいんだぜ？静……純
純,……な……
静,……バーカ、双馬。なんでそんな無駄に疲れる事しないといけないのよ
双馬,……
静,邪魔なんて、しないわよ。けど、そうね……双馬、アンタ何か勘違いしてるようだから、言わせてもらうわよ
双馬,……何？
静,アンタ、今愛されてるわよ。純も、那由他ちゃんも、兄さんも億泰もみんなみんな、アンタの事好きになってるわ。もちろん……あたしだって
双馬,……
純,……いや、私は嫌いだけどな
双馬,……フン。かなり時間を無駄にしてしまった……先へ進むぞ。静、純
静,……はいはい
純,仕切るな、双馬
双馬,……この部屋の鍵は……。……開いているな。静、この先に何があったのか、本当にわからないのか？
静,うーん、間取り完璧に変わってるからなー……っていうか何でこの部屋ドアが6つもあんの？多すぎでしょ……
双馬,……。……暗い部屋だな。何もないのか？
純,明かりのスイッチは？壁についてるんじゃあないのォ～～？
双馬,待て、むやみにつけるのは危険だ。……それに、奥に何かあるようだぞ……？。！！
メイ,……
双馬,――ッ！！
静,！！
純,！？なに――……
双馬,シィ――ッ……！
純,！！
双馬,……
メイ,……
双馬いた……有栖川メイだ。ね……,寝ているのか？
静,……
純,……
メイ,……。……
双馬,……。……！！
メイ,……
双馬,う！！。……
純,……そ、双馬……？
双馬,……ぐ、うう……目と目が合った。マズい……マズいぞ～～静、純
純,！？
静,？……待って、双馬……おかしいわ。何か……何かおかしい
双馬,今そんな事を言ってる場合じゃあないぜ、静
メイ,……。……
双馬,おい、起き上がったぞ……首の骨をポキポキ鳴らして、寝起きの運動に僕らを殺す気満々って感じだぜ。いや！それとも僕らを朝ご飯にでもするつもりかもな～～……
純,きゅ、吸血鬼って、力もスピードも人間以上のバケモノでしょう？……あるの？その……勝算っていうかさァ～～
双馬,無くてもやるんだよ。そのために来てるんだッ！
純,う……ううッ！！。つ、通信機よッ！通信機のボタンを押して、承太郎さん達に知らせないと――……！！。……！？。……は？何……これ？
静,え？
双馬,どうした？押すなら早くボタンを――……
純,押してない……私、押してないわ。なのに……けど……。振動してる……すでに……
双馬,……！？。つまり……どういう事だ？押したのか？他の誰かが？それって……
メイ,……
純,うッ！うおッ……！？
双馬,くっ！
静,……アンタ……
メイ,……
静,……誰？
双馬,……
純,……へぁ？
メイ,……
仗助,まいったな、承太郎さん何処行ったんだ？先々行くんだもんよ～～三階まで行っちまったのか？
億泰,しかしどうなってんだ？この屋敷はよォ～～。ちょいと広すぎるんじゃあねえか？
仗助,長ェー廊下だな……気を抜くなよ億泰。待ち伏せとかされてるかもしれねー
億泰,こんだけ見通し良いのに何処待ち伏せするんだ？仗助～～？。……。……？
仗助,……？どうかしたか？億泰
億泰,いや……今、何か音がよォ～～……
仗助,音？……
億泰,何かが落っこちたよーな音が、後ろからしたと思ったんだが……おれの聞き間違いかァ？ネズミでもいんのかよ～～？
仗助・億泰,！！
メイ,……ううう……ああ……
仗助,そ……その顔はッ！有栖川メイッ！！
億泰,何ィ――ッ！？吸血鬼がよォ～～天井に張り付いてたっつーのか？落っこちてくるなんざとんだマヌケだぜ――ッ！！
仗助,！待て億泰！何か……何か奇妙だッ！
億泰,うるせーぜ仗助ェ――ッ！今ッ！再優先すべきはコイツを倒す事だぜ――ッ！！。……
仗助,……
メイ1,……うう……あ……
メイ2,ひい……い……！
メイ3,すけて……た……けて……！
メイ4,ころ……さ、ないで……お、ね……がい……！
億泰,な……何ィ――ッ！？
仗助,こ、コイツっ！何体いやがるんだッ！？実は四つ子とかってオチか？チクショウッ！
メイ1,ああああ……ああ……！！
メイ2,ひいいい……いやああ……！
億泰,近付いてきやがるぜッ仗助！ジョージ・A・ロメロのゾンビみてェ――にヨロヨロとよ～～ッ！！
仗助,何だかわかんねーがヤベェーぜッ億泰！ここは先へ――……
メイ5,うふふ……フフ……
メイ6,ああ……うう……
仗助,うおおおおああああ！？前にも落ちてきやがったァ――ッ！？。前門の虎、後門の狼っつーがよ～～、前門も後門も吸血鬼じゃあねーかッ！！
億泰,ちくしょうコイツら全員削り取ってやろうか～～ッ！？
仗助,！？
億泰,ああン！？
仗助,つ……通信機だッ！この声は……静？
億泰,いるっつーかよォ～～、囲まれちまってるぜ！
メイ2,だいすき……ふふ……
メイ5,あたたかい……おひさま……
億泰,ち……近づいてきやがるッ！ヒイイーッなんなんだコイツらはよォ～～ッ！？
仗助,待て静！兄さんの所にもだと？……お前の所にもいるっつーのか！？
仗助・億泰,……は？
仗助,ま……待て待てマテマテ、静！お前何言ってやがる？それに攻撃するなだと？んな事よォ～～……
メイ1,あああ……
メイ3,うう……
メイ6,じょう……すけ……おくやす……
仗助,……出来る訳ねえぞ
メイs,UUURYYYYYYYYYYY！！！
仗助,マズイぜ億泰！！クレイジー・――
億泰,どけェッ仗助！！
仗助,ぐっ！？お……億泰！？
億泰,ザ・ハンドッ！！
メイ1,ブ！
メイ6,RY！！
億泰,いデッ！？。ぐ……おお……おれの腕が……何だ？こりゃあ……攻撃して倒したのはおれなのに……。腕がッ！！き……切り落とされちまったァ――ッ！？
仗助,クレイジー・ダイヤモンドッ！！
億泰,び、ビックリしたぜェ～～……何だったんだ？今のはよ？
仗助,ムチャするんじゃあねー億泰！死んじまったらおれのクレイジー・ダイヤモンドでも治せねーんだぜ！？
億泰,あんな大人数にフクロダタキにされたら、二人ともオダブツじゃあねーか！このボゲッ！！
仗助,攻撃したのは億泰だ……敵を二人ばかり倒したはいいが、億泰の腕が切り落とされた。……攻撃を受けてないのに、だぜ……。ルール……だと？。……
億泰,屋敷の……物？
静あのメイに見える幽,ｻﾞｻﾞｯ
仗助,何だと？おい静？よく聞こえねえぞ、おい？。静？おい……聞こえてんのかよッ！？もしもーし！？
億泰,仗助、今はよォ～～……おしゃべりしてる場合じゃあねーんじゃあねえか？
仗助,！
メイ2,うう……
メイ4,ひどい……ひどいわ……！
億泰,二人倒しても、まだ何人もいるんだからよォ～～……ここを乗り切らねエとマズイぜ、マジによ～～……
仗助,……。……しかし、ここを乗り切るには……
億泰,……おれはもう覚悟を決めてるぜ
仗助,！！
億泰,……頼むぜ、仗助
仗助,ああ……任せたぜ、億泰
億泰,ウオッラァ――このボゲェ――ッ！！
仗助,クレイジー・ダイヤモンド！どらあ！！
億泰,おれが全員ぶっ倒し！！
仗助,おれが億泰の怪我を治すッ！！
億泰,行くぜ、仗助ェッ！！メチャクチャいてーぜゼッテェー許サネー！
仗助,おう、先へ進むぜッ！！ケツ100タタキにしてくれる！！
純,危ない静ッ！！
静,きゃっ――……
純,くっ！
双馬,静！通信に夢中になってる場合じゃあないぜ。目の前にニセモノとはいえ、メイがいるんだからな～～
静,え、ええ。悪かったわ……
偽メイ,……
双馬,純、お前今ので怪我したのか？見せてみろ
純,カスリ傷よ。あいつ破壊力は大したもんだけど、大ぶりで乱雑よ。注意してたら当たんないわ……で、静
静,何？
純,……あれが幽霊って？幽霊屋敷の？
静,……
偽メイ,……ふふ、遊びましょう……純
静,そう。あいつは幽霊……この前この屋敷に来た時は、もっと不定形っていうか、よくわかんない形してたけど……間違いないわ。あいつはメイって感じしないし
純,……その感じっていうの、私にはよくわかんないんだけど
双馬,そんな事はどうでもいい。静、さっき通信で仗助さんに言ってたな？この屋敷の物は壊してはいけないって
静,うん。それがルールなの……前来た時は、あの幽霊は直接攻撃しなくって……襲うフリをして、あたし達に物や幽霊を壊させようとしていた
純,けどさあ――おっと、伏せろ
偽メイ,SHYYYYAAAAA！！
純,～～……メチャクチャ攻撃してきてんじゃあね～～かよーッ！オイコラ静ッ！お前マジなんだろーな～～！？
静,たぶん、セキュリティみたいなモンだと思う。この屋敷の主であるメイを守ろうとしているの。番犬みたいにッ！！
双馬,そしてこっちが攻撃したら、そのダメージは何倍にもなってこっちに返ってくるっていうのか？無茶苦茶すぎる……
静,億泰が攻撃したみたいだけど……まああっちは兄さんがいるから無事かな。たぶん
純,向こうの心配は後にしとこうか。今マジによ～～……ヤバイかもしんない
偽メイ,……逃げないでよ……友達になって……鬼ごっこ……
双馬,走れ、二人共！
純,ヒーッ！やたらめったらに攻撃してくるわッ！！例えるならッ！家の中にゴキブリがいるの見つけてパニックになってホウキ振り回すお母さんって感じか～～！？
静,大ぶりで乱雑だけどスピードは結構なモンね～～。ずっと追いかけてくる気かな、コイツ
双馬,そこのドアの向こうに行くぞ！この部屋に閉じ込めてやろう！！
純,……？
静,ちょ、ちょっと純？何やってんの？早く開けなさいよ
純,違……待って静、このドア……！！
双馬,おい、何を遊んでいるッ！？追いつかれるッ！逃げ場なんてないぞッ！！
偽メイ,ふふ、うふふ……！！
純,かっ！カギがかかってやがるっこのドアッ！！ヒイイイ――ッ！！！
双馬,ペーパー・バック・ライター。ドアを本にした……幽霊屋敷っつーのは物って事になるのかな？よくわからんが……
純,とっ、通れたッ！！
静,双馬、ドアを戻して！早く！！
双馬,言われなくても……！
偽メイ,WRYYYYYYYY……！！
純,……ハア、ハア……。……フーッ！焦ったわ……ガチで……
静,うえ、向こうからドアノブ回してるわ……自分の屋敷なんだから、カギくらいすぐ開けられそうなモンだけど
双馬,とにかく、この隙にさっさと奥へ行くしかないな……攻撃出来ないっていうのは思ってた以上に厄介だ
純,えーそうね。さっさと先へ……
メイs,…………
純,きゃあああああああああああ！！！？
双馬,うおおおおおお！！？まっ！？待ち構えていたァ――ッ！！何人もッ！！？
静,……！
偽メイ3,ようこそ……ふふふ……
偽メイ7,あははは……あひ……
偽メイ4,イヒヒヒ……あばばば……
静,……離れて、二人とも
純,ちょ、ちょっと静！？アンタ、何する気？
静,……逃げられないなら……被害は最小限でいい。あたしが……ここを食い止める
純,な……！！
双馬,馬鹿な……死ぬ気か、静
静,出来たら死にたくないっての～～。あたしが相手してる間に、全力で兄さんか本物のメイか、どっちか探しだして欲しい。そうすりゃあ解決でしょ、この場はさ～～
純,ま……待って、静！私……閃いたかも。もしかしたら……いける。これは……いけるわ
静,……へ？
純,静ッもっと近くに寄れーッ！双馬テメェーもだあ――ッ！！
静,純！？一体何を――……
純,ルビー・チューズディ！！
静,！？
双馬,！！
偽メイ2,……え？
偽メイ8,……なに……が……アハハ
純,……ハアー、ハアー、ハアーッ……
静,……！？……いっ……痛くない……？
双馬,……全く、無茶をするなあ、お前は……
純,私達の身体をルビーに変えたッ！！コイツらの軟弱な攻撃なんか効かないようにね～～。攻撃出来ないっつーのならッ！正面切って受けきっちまえばいいのよッ！
静,……純。アンタってば……最高ね
純,屋敷は攻略したッ！！行くわよ、二人とも！！
おい、一階はここで終わりなんじゃあないか？僕らも,ｻﾞｻﾞｯ
もしも,ｻﾞｻﾞｯ
チェスタ,す……すごいぞ、メイッ！屋敷が君を愛しているッ！君は愛されているんだ……天国へ到達しろと言われているッ！！
メイ,……ハァー、ハァー、ハァー……！
チェスタ,求められているんだ……君が天国へ到達するのを！君が神になるのを！この世界から求められているッ！！さあ、行こうメイ。ジョースターの血統はここで終わる。俺たちは……ゆっくりと待てばいい
メイ,……違う……
チェスタ,？
メイ,……見たことがあるわ。今、この状況……この部屋は、見た覚えがある
チェスタ,……当然だ。俺たちは、この幽霊屋敷で暮らしていた……
メイ,違う、違うわ。……裏切る夢は、ここで……！
チェスタ,……また夢の話、か
メイ,！！！
チェスタ,……何と言ったら、信じてくれる？俺が、君にとっての友だと……どう伝えれば、思ってくれる？
メイ,……何故、そうまでして……
チェスタ,……
メイ,……貴方は、行った事のない天国を……到達出来るかわからない、貴方のためにならない、私にとっての天国を……信頼するの？
チェスタ,……。……モノクロだった俺の世界は、君に出会って、色鮮やかな……憧れた、フルカラーの世界になった
メイ,……
チェスタ,そんな君が、モノクロの世界のまま、訳もわからない病によって、死のうとしている
メイ,……
チェスタ,……命を脅かされる事なく……幸せな世界で、生きて欲しいんだ。それが、俺を変えてくれた君に対する、俺の恩返し
メイ,……チェス――……。！！
チェスタ,！！。……なんだと？
メイ,あ……あああ……！！
チェスタ,鍵だ……鍵に手こずっている。今のうちにメイ、奥の扉の先の、階段へ……！！一本道で裏口から出られるルートへ！
メイ,う、ううッ！！
チェスタ,さあ、早く――……。！！
メイ,！！
承太郎,……
チェスタ,……空条……承太郎
メイ,や……やっぱり、夢と同じ……！！
承太郎,……おれが一番最初にたどり着いて、良かった。仗助や静達には……手を、汚させたくないからな。悪いが、手加減は出来ない。殺すつもりで、行かせてもらう
メイ,チェスタ……チェスタ、チェスタ！！
チェスタ,…………
メイ,……やっぱり、貴方は……！！
チェスタ,サカナクション
メイ,！！
承太郎,……
チェスタ,……メイ……
メイ,な……。！！
チェスタ,……
メイ,……何？なん……だって、いうの……？
チェスタ,……メイ……。命を常に狙われるっていうのは……辛かったよなぁ。怖かったよなぁ。俺を……信じられなくなるくらい……苦しかったよなぁ
メイ,…………
チェスタ,……だけど、もう少し……もう少しだけ、逃げてくれ。階段を下りて、裏口へ……逃げて、逃げて、逃げ延びてくれ
メイ,……だって、けど……空条承太郎が……！！！
チェスタ,俺が食い止める
メイ,！！！
承太郎,……
チェスタ,空条承太郎……今、俺は自分の触覚を奪った。来い……死ぬまで俺は倒れないぞッ！！
承太郎,スター・プラチナ
メイ,待って！チェスタッ！！私――……！！
チェスタ,運べ、サカナクションッ！！メイを逃がすんだァ――ッ！！！
メイ,チェ――……！！！
チェスタ,メイを守る……それこそが、俺のアイデンティティ。メイ……君を愛している
メイ,うあああああああああああああああああああああああああああああああ！！！！！。がふっ。…………
承太郎,……なんだ、これは……！！
メイ,…………
双馬,何が……起こっている！？
純,何？屋敷が……崩れてるっつーの！？
静,熱あッ！！？痛――
双馬,静？
静,何！？うあつっ……え？え？？
純,何よ、私ら今アンタにかまってる暇ァないんだけど
静,違ッ……なんか首の、背中のつけ根あたりがメチャクチャ痛くて……
双馬,……首……？
純,虫にでも刺されたんじゃあねーの？それより！今すぐここから脱出しねーとヤバイッ！
双馬,ペーパー・バック……。ライターッ！！。……とりあえず、崩れた家に下敷きになって死ぬというのは避けられそうだ
純,うお、全部紙に……！
双馬,大黒柱に頭打ちつけて死にたくなければ、離れるなよ。……仗助さん達は皆パワータイプのスタンドだし、大丈夫だろう
静,双馬、この紙ッ！読んだら何が起こったのかわかるんじゃ……？
双馬,ああそうだな。なんで崩れたのか、その原因を――……
純,ま、待てッ！それより二人とも……上を……空を見ろッ！！
静,は？
双馬,……なんだ？これは……？。……杜王町の空が、黒いドーム状のもので……覆われている？
純,い、今……昼だよな？吸血鬼が活動しにくい真っ昼間を狙って、私らここに来た……ん、だよな……？
双馬,……
純,見えねェーぞッ！太陽だッ！！私のスマホが狂ってねェーのなら、あるはずだぞッ！！空にッ！！。な……何も見えねえッ！真っ暗だッ！！スマホの表示は昼の2時だっつーのに……そ、それに、気のせいか？あれは……星が見えているんじゃあねえのか――ッ！？
静,……メイ
双馬,？……なんだと？
静,わかる……感じるの。メイは今……新たなる力を手に入れた……！！
双馬,……静？おい、さっきからお前……おかしいぞ。メイの居場所がわかっているような口ぶりをしたり、幽霊とメイを明確に区別したり……それに今度は、感じるだと？お前……何がわかってるんだ？
静,……。……あたしにも、サッパリよ。だけど……なんだろう。……わかるの。今……あいつがどんなに苦しい思いをしているのか、とか……どんなに悲しい気持ちでいるのか、とか……全部、わかる
双馬,……静、お前――……
純,うっ……
静,？……純？
双馬,？
純,……ハァー、ハァー、ハァー、ハァー……。……私……大マジよ。今、命がけの任務の最中だってこともよーくわかってる。昨日は、今日の事が怖くって、グッスリ寝付けなかったけど……それでも6時間は寝たわ。全然問題ねェー……はずなの
双馬,お前、何を言って――……。うッ！？……な、こ……これはッ！？
純,そう……眠いの。こんな……屋敷が崩れてきて、杜王町が黒いモンに覆われて、なんだかわかんねーけどヤベーッて時に……眠い
静,……ね……眠い？
双馬,嘘でも冗談でも無い。僕も……強烈な睡魔に襲われている。なんだ？……これが、静、お前の言う……メイの新たなる力なのか？
静,……
純,――っざけんなよッ静ァ！！不眠症で悩む人達を救う能力だってェーのかッ！？ありえねえだろッ！！ぐっ……うう……！
静,……。勇気だ……メイは、自分のスタンドを捨て去る勇気を持った。今、溶けて空を覆っているのは、メイのスタンド……
双馬,……天国へ行く方法、か。僕がチェスタの奴から聞いたのを、お前にも教えたな
静,……新しいものが産まれるの。この睡魔は、きっと……前奏曲プレリュード
双馬,……
純,……
静,目覚めるの……あたしにも、よくわかってない。だけど……これから新しい世界が――……
双馬,――！！
純,……えっ
静,…………
メイ,…………
静,…………
チェスタ,……秘密の…………皇帝……
メイ,……
静,……
双馬,……
純,……
メイ,……失ってから……初めて、気付くの
静,……
メイ,彼は、いつもどんな時でも、私を愛してくれた……信頼出来る、友だった
静,……メイ……
メイ,彼は天国を望んだ。皆が、幸せに生きる世界を望んだの。――皆が幸せに生きる世界を、私は作るッ！！
静,……メイ……。……どんな事があってもね
メイ,…………
静,……人の人生を踏みつけて、幸せを見つけちゃあ……いけないのよ
メイ,黙れエエエエエエエエエエエエエ！！！！！！！！。私達は向かうのよッ！！全ての人々が幸せに暮らす、天国へ……新しい世界へッ！！
双馬,……
メイ,そこでは過去の因縁なんて関係ないわッ！！ジョースター家も私も、善人も悪人も人殺しだって！私を捨て去った奴だって！！私をクソッタレな病気にした神という存在がいるのだとしたら、そいつだって、許す――私達は全ての罪を洗い流して、素晴らしきこの世界を愛すッ！！！
静,……
純,……ゆっくり聞いてる場合でも、ないでしょ……い、意識がモーローとしてきた。たお……倒さないとッ……！！
双馬,ああ……その事、なんだが……な。……純。すまない
