のび太のママ,以下、たま子
先生,な、なに！。野比、正解だ。しかし、なぜ、わかったんだ？
のび太,なぜって・・・見ればわかります
先生,そ、そうか、そうか。野比は暗算が得意なんだな、ハハ、ハハハハハ
しずか,のび太さん、すごいわ！一体どうしたの？
のび太,う、うん、ありがとう。僕にもよくわからないんだ
たま子,さあ、おやつを食べたら、日悩研に行きましょう
教師,今日から誉れある日o研に入学した野比のび太君だ！みんな仲良く勉強しあってくれ！。では、今日は算数からだ！馬鹿やクズは置いていくから寝てろ！教科書の７７ページを開け！。よーし、ではこの問題を。新入りの野比、やってみろ。塗り潰した場所の面積を出せ
のび太,４．３５です
教師,な、なに！間違えていたらわかってるんだろうなああ？
のび太,いえ、わかりません。ただ、問題の答えは４．３５です
教師,正解だ。だが、算数は考え方が大事だからな！答えがわかってればいいんじゃないんだぞ！
塾生,君、すごいね。暗算で計算してるの？
のび太,暗算？よくわからないけど、答えがわかるんだ
塾生,へー
のび太,みんなあんな問題がわからないの？見ればわかる当たり前だと思うけど・・・
女子,ねえ、野比君って凄いわね。何でも出来てかっこよくて！。そうよねー。結婚するなら野比君か出来杉君よねー！
しずか,そ、そうよ、ね・・・
のび助,やー、今日は久々に家族揃っての食事だなぁ！のび太はいつも塾でいないもんなぁ！。のび太、また１００点なんだって？すごいなぁ！
たま子,学校のテストで１００点は当たり前です
のび助,そ、そうか。どうだろう？今度の日曜にみんなで遊園地にでもいかないか？
たま子,パパ！何が遊園地ですか！のびちゃんにはお受験があるの！！！
のび助,！！。お、おい、受験はわかるが、たまの休みぐらい・・・
たま子,受験じゃありません！お受験です！！！
のび助,わかった、わかったよ。ごめん。ただ、のび太だってたまには遊びたいだろうと思って
たま子,私立に受かるまでは遊びはいりません
のび助,そ、そうかい・・・。そういえばのび太のやつ、小遣いをせびりにこなくなったなぁ・・・
のび太,・・・
教師,いいかあ！今年一年はいよいよお受験だ！岩にかじりついてでも勉強しろおおお！！！
塾生達,おーーー！！！
教師,思い出はお受験が終わってから作ればいい！遊びも友達も今は我慢するんだああああ！！！
塾生達,おおおーーーーー！！！
教師,友達も遊びも思い出も受験には全く役に立たんぞおおおー！！！
塾生達,おおおー！！！
のび太,友達・・・か
教師,この世で一番偉大な小学生は誰かわかるか！この野比のび太君だ！。友達と馬鹿みたいに遊び、野球をやり、思い出などと無意味なことはせず、ただひたすら勉強に打ち込む！。小学生の鏡だ！必ずや私立に受かるだろう！みんな野比のび太君を目指し、がむしゃらに勉強したまえ！！！
塾生達,はい！！！
のび太,虚しいな・・・。勉強ができるからなんだというのだろうか。あれから馬鹿にされたり、先生やママから怒られることはなくなった。でも、何だろう。何かが足りない・・・。ただ、毎日が虚しく、そして無意味
ジャイアン,あ、のび太
たま子,あれは剛田さんとこの。のび太、無視しなさい
ジャイアン,お、おい・・・。のび太・・・
スネ夫,・・・
たま子,のびちゃん。ああいう低レベルな子と付き合っちゃだめよ。あの子達、成績悪いんでしょ？。困るわねぇ。先生に行って学校に行かなくしてもらえないかしら。公立はのびちゃんには低俗過ぎるわ。出来杉さんも我慢してるからうちも我慢ね。のびちゃん。のびちゃんは今日からしばらく学校に行かなくていいのよ
のび太,？
たま子,私達が受ける私立は出席日数関係ないし、小学校には最低日数行けばいいから
のび太,虚しいな。人生ってずっとこうなのかな
のび太は,欲
しずか,のび太さんが学校を休みがち・・・お見舞いにいこうかしら
たま子,あら、しずちゃん。どうしたの？
しずか,あ、あの、のび太さんが最近学校を休みがちだから、これ
たま子,あら、わざわざありがとう。でも、いらないわ
しずか,え？
たま子,それにね、しずちゃん。あなた学校の成績は？
しずか,成績とか、そんな
たま子,のび太に釣り合う成績なの？うちの子が成績いいからって色じかけ？
しずか,そんな！そんなんじゃありません！
たま子,だったらなんでのびちゃんと関わるの！？関わっていい身分だと思ってるの！？
しずか,私は、ただ、のび太さんが、心配で
たま子,はいはい。うちの子と関わりたいんでしょ？最低限の成績を取ってからきて。のびちゃんが馬鹿になるから
しずか,そんな、私達、一緒に冒険したり、遊んだり、悩んだりした、仲間なのに・・・
たま子,やめて。のびちゃんはあなたのような普通の人間と仲間なわけないでしょ
ジャイアン,のび太、どうしちゃったんだろ
しずか,ひど過ぎるわ。私達、友達だったのに
スネ夫,学校にも来ないよ。のび太、何を考えているんだろう
しずか,ねえ、のび太さんを連れだしましょう
ジャイアン・スネ夫,えっ！
しずか,もう一度、みんなで遊びましょう
ジャイアン,遊ぶったって
しずか,ずっと勉強ばかりしてるからストレスが溜まってるのよ
スネ夫,それにのび太をどうやって誘うの？
しずか,ドラちゃん・・・。こんな時、ドラちゃんがいてくれたら
ジャイアン,ドラえもんか。ドラえもんがいてくれたらな
スネ夫,ドラえもんがいなくなってからだね。のび太が変わったの
ジャイアン,まずはドラえもんだな
スネ夫,のび太とのび太のママは塾に行く時に家をあける！
ジャイアン,その時にのび太の部屋に入ろう
しずか,そうよね。事態が事態だから仕方ないわよね
ジャイアン,な、なんだよ、この部屋
スネ夫,これは・・・
しずか,ひ、酷い
のび太の部屋は壁と床、家具に到るまで全て,必勝
部屋中どこを見ても,勉強
しずか,こんな部屋にいたらおかしくなるのは当たり前よ
ジャイアン,とにかくドラえもんだ。ドラえもんを探そう
スネ夫,そ、そうだね。ね、ねえ、まずいよ。ドラえもん、どこにもいないよ
ジャイアン,くそぅ！いったいどうすりゃいいんだ
しずか,このままじゃ、のび太さんが、壊れちゃう・・・
スネ夫,ね、いくらなんでもこれは虐待だよ。のび太の心が壊れちゃってる
ジャイアン,虐待？
スネ夫,電話しようよ。そういう施設に
ジャイアン,・・・そう、だな。こんなの耐えられないよな
しずか,そうね。そうしましょうよ。のび太さんを助けないと
ジャイアン,うわああ！お、おばさん！
たま子,うちの子が・・・かわいそう・・・ですって・・・？
しずか,のび太さんはかわいそうです！笑ってないし、学校にも行かせてもらってない！
ジャイアン,そ、そうだよ・・・。あんな部屋に入れられてたら・・・
スネ夫,勉強がいくらできても、あれじゃあ・・・のび太はきっと後悔しますよ
三人,・・・
たま子,ふ、ふふふ、あははは
三人,！？
たま子,やあねぇ、これだから公立の子は。かわいそうなのはあなた達よ。どうせ、親御さんはあなた達に勉強をさせてないんでしょ？
しずか,え・・・
たま子,私はね、のびちゃんの将来の為にあの子を学校へ行かせないし、無駄なものを省いてあげているの。わかる？
ジャイアン,無駄って・・・
たま子,私立へ行き、さらに勉強をし、有名な大学に入り、一流企業へ就職する。その為にのびちゃんに厳しくしているのよ
スネ夫,で、でも、のび太は
たま子,これが本当の親から子への愛なの。子供の将来を考えたら遊びだの友達だのに構っていられないのよ。あなた達にはわからないかな？ま、いつか後悔すればいいわ。あの時、遊ばずに勉強をしていればよかったと。友情や遊びはお受験には何の役にも立たないのよ。あなた達はせいぜい今を楽しんで将来、貧しい暮らしをしなさい
しずか,私達は・・・
たま子,？
しずか,私達は何があったってのび太さんやドラえもんと遊んだ想い出や友情を後悔したりはしないわ！
ジャイアン,しずかちゃん・・・
しずか,あんなに楽しい想い出があるからこそ私達は生きていける！未来の為に今の大切なものを犠牲にするあなたのやり方は絶対に間違っているわ！
たま子,あっはっは。ま、言ってればいいわ
しずか,のび太さんを返して！私達の大切な仲間なの！
たま子,あ、お巡りさーん、こっちです
三人,！？
たま子,先程通報したのは、この子供達が勝手に家に入っていて。連れ出してもらえますか？
警察官,勝手に？みたところ、お子さんのお友達が何かじゃないんですか？
たま子,いいえ～、知りませんわ
三人,！！！
警察官,そ、そうですか。では、とりあえず、お嬢ちゃん達、ちょっと一緒に来てくれるかなぁ？
たま子,え・・・？
ドラえもん,僕が・・・止めたんです
たま子,ド、ドラちゃん！何をしているの！今日は大切なのびちゃんのお受験。なによ！！
ドラえもん,未来の、新聞です。８年後です
新聞の一面は,大学生による無差別連続殺人
たま子,な、なによ、これ
ドラえもん,のび太くんは将来、無差別連続殺人を犯します
たま子,な、なんですって！
ドラえもん,僕は８年後ののび太くんに会いに行きました。街でいきなり刃物を振り回し、老若男女を問わず刺し殺したのび太くんに
たま子,こ、この子がそんなこと！
ドラえもん,二十歳ののび太くんは言いました。羨ましかった、と。一緒に遊ぶ友達が、馬鹿なことで騒げる仲間がいる、そんな街の人が羨ましかった、と。笑顔で歩くカップルが、親子が、羨ましかった、と
たま子,う、嘘よ！この子は今日、私立に受かるんだから、そんなこと
ドラえもん,大人になったのび太くんは全て教えてくれました。一緒に成人式にいく友達もいない
たま子,と、友達なんて、私立で
ドラえもん,のび太くんが受ける私立には友達なんかいませんよ。いるのはのび太くんと同じ心を壊されたかわいそうな子供ばかりです。のび太くん。２０歳の君はね、たくさんの後悔をしていた
のび太,・・・
ドラえもん,その中で一番後悔していたのは、今日、しずかちゃんと会わないことだって
たま子,だ、駄目よ。のびちゃん！そんなこと。今日はお受験だし、終わったら塾で採点もあるんだから
ドラえもん,のび太くん。未来では今日、君は学校の裏山に行っていない。でもね。しずかちゃんとジャイアンとスネ夫は今日は日付が変わるまで裏山にいたんだ。ずっと、ずっと、君を待って、ね
のび太,ママ・・・ママ・・・僕、僕は、
たま子,の、のびちゃん！いいからお受験よ！ドラちゃんが嘘ついてるかもしれないじゃない！とにかくお受験！ねっ？
のび太,ママ、私立にはしずかちゃんもジャイアンもスネ夫もいない、よね
たま子,そ、そんなのいいじゃない。きっともっといいお友達がたくさんできるわ。そうよ、あなた馬鹿にされてたじゃない
のび太,しずかちゃんやジャイアンやスネ夫よりいい友達、か
たま子,い、いい？とにかく、お・じゅ・け・ん。その為に頑張ってきたんでしょ？終わったらその子達と遊んでいいから
のび太,ドラえもん
ドラえもん,？
のび太,行こう。裏山へ
たま子,何を行ってるの！のび太！
のび太,ごめん。ママ、僕今までどうかしてたよ
たま子,駄目よ。あなたは今日、お受験をするの！
のび太,僕、しずかちゃんから呼び出されてるもん。受験なんかより大事だよ
たま子,のび太！あなたって子は！
のび太,ごめんなさい、ママ。どうしても後悔したくないんだ
たま子,お受験しないほうが後悔します！！！
のび太,行こうよ！ドラえもん
ドラえもん,うん。のび太くん、先に行っててくれる？
のび太,わかった！後からきっときてね！
たま子,あああああああああああああああああ
ドラえもん,ママ・・・。ママ・・・。許してほしい。僕は本当はジャイ子と結婚するのび太くんの運命を変える為にきたんじゃないんだ
たま子,ぎぃあああああああああああああああああああ
ドラえもん,僕は大量殺人鬼の家庭を更正させる為に未来からやってきた家庭矯正ロボットなんだ
たま子,はっ、はっ、はっ、はっ
ドラえもん,未来はあなたに母親失格の烙印を押した
たま子,わたしが、まちがって、いる、と、いうの、わたしが、のびちゃんは、わたしが、いちばん、あいしている
ドラえもん,あなたは間違っていない。この国の教育が間違っている。あなたはその犠牲者なんです
たま子,なによ、しりつにいって、いいだいがくにいれて、いいかいしゃに
ドラえもん,確かにのび太くんは有名な一流大学に入ります。でも、その後に彼が進む道は歴史に名を残す犯罪者への道です
たま子,わたしは、まちがって、いない。のびたをしあわせに、できるのは、わたし。わたしだけ
ドラえもん,母親矯正機～。さあ、この機械のスイッチを押して下さい
たま子,のび太！
のび太,え、なぁに、まま～
たま子,何してるの！お勉強よ！
のび太,え～、ぼく、べんきょう、いやだよー
たま子,馬鹿おっしゃい！とにかく勉強するのよ！
ドラえもん,この機械の中は時間がゆっくり流れ、この時代の現実が入っています
何度も何度もコンティニューするが機械の中ののび太が,人
ドラえもん,いつかのび太くんをきちんと子育てできれば機械から出れます。ごめんよ・・・のび太くん・・・
しずか,のび太さん、よかった。元に戻ったのね
のび太,うん、僕、どうかしていたよ
しずか,あの、これ・・・
のび太,え、これ、僕に？いいの
しずか,うん、のび太さんの為に作ったから
のび太,えー、でもこんなに大きいの食べられないよ。みんなでわけよう！
しずか,え
ジャイアン,おい、のび太、お前、このチョコレートの意味わかってないだろ？
スネ夫,ププッ
のび太,え？チョコレートの意味って？チョコレートはチョコレートでしょ？
ジャイアン,ギャハハハハ
スネ夫,やっぱりのび太だ！アハハハ
しずか,もう！のび太さん！最低！！！。ねえ、あなた、この子、どんな風に育ってほしい？
のび太,そうだな。勉強も運動もできなくていい。ただ、心の優しい子になってくれたら・・・。ドラえもん。君のおかげで僕は大切なものを失わずにすんだよ・・・。ドラえもん・・・本当にありがとう・・・
