男,学校来んなよ、ブス
ほむら,...いえ。...違うようね
さやか,や、転校生
仁美,おはようございます、ほむらさん
ほむら,...まどかは？
さやか,さあー
仁美,皆目見当つきませんわ
さやか,ねーねー、仁美
仁美,なんでしょうさやかさん？
さやか,さっき男子トイレで何か聞こえなかった？
仁美,あらあら、もしかして乱暴な殿方がなにかに及んでいるのでしょうか
ほむら,！！！！！。...このっ...クズっ！！！
さやか,あっはっはははは！！
仁美,...
ほむら,...っ！！。...やっていい事と...悪い事があるでしょうに...！！。...まどか...！まどか...！
杏子,にしし、忍び込み成功。にしてもでけー学校だな。こんなんじゃまどかがどこにいるかわかんねー。...。...あ？。...んだこりゃあ...。...あぁ？。...はぁ？。...おいおい、何の冗談だ？。どういう意味だそりゃあ！！！！！！！
まどか,...あ...
杏子,まど、か...！
まどか,き、杏...子...ちゃん...
杏子,...まどか...？おま...
まどか,...で
杏子,...は？
まどか,...いで。...見ないで...！
杏子,...。...。...待ってろ、まどか。...こいつら全員ぶっ殺して、撒いてやる。...黙れよ。まどか、今助ける。...あぁ、そうか。...ほむらが見せたくなかった奴って、これか
まどか,...うっ...！ひっ...！
杏子,バカ野郎。こんなの見たところでお前に対する評価が変わる訳ねーのにな
まどか,...うっ...ううぅ...！
杏子,きたねぇ手でまどかに触んじゃねぇ！！！！。殺す殺す！誰だ！関わったヤツ全員ぶっ殺してやる！！
ほむら,き、杏子！！
杏子,あぁ！？。離せコラァ！！！
ほむら,お、落ち着きなさい！。...こんな事をしても...！
杏子,なんでテメーはこうなんねぇんだよ！。まどかの奴泣いてやがった！泣いてやがったんだぞ！。こんな優しいやつの涙に釣り合うのはこのクソ共の死くらいだろうが！
ほむら,...杏子...
杏子,離せ！全員殺してやる！。てめぇら！ぶっ殺して...！！
ほむら,...
まどか,...ほむら...ちゃん...
ほむら,...まどか...。...遅れて...ごめんなさい。...ごめんなさい...！
まどか,...ううん、大丈夫だよ...。...ほむらちゃん達まで...こうならなくて良かった
ほむら,...！！。...！
まどか,...！
ほむら,...まどか、手を握って...
まどか,...え？
ほむら,...早く！
まどか,...う、うん...！
ほむら,...私の魔法よ、あまり長くは持たないわ...急ぐわよ
まどか,...うん
杏子,...はぁっ！！！。...どこだ！！
ほむら,...落ち着きなさい...ここはもう私の家よ...
杏子,...てめぇ...あたしを...！
ほむら,...あぁするしか方法が無かったの
杏子,だからって！
ほむら,...あなたが人目について生きていけなくなることを、まどかが望むと思う？
杏子,...！
ほむら,...ここまで怒ってくれる友達なら...なおさらよ...
杏子,...。...クソっ！。...まどかは？
ほむら,...寝てるわ
杏子,...そうか
ほむら,...ねぇ
杏子,あ？
ほむら,...あなた、彼女の裸を見たんでしょ？
杏子,...
ほむら,...私もちらっとだけど、見えたわ
杏子,...
ほむら,...何よ...！あの傷...！あの痣...！
杏子,...
ほむら,...あんなの...！学校だけでつくものじゃない..！気が付かないことがおかしい...！。...彼女の家族は...！何を見ているの！？
杏子,...。...そうか。...そういう事、なんだな
ほむら,...どうして...！どうして彼女を取り巻く環境は...！。...ここまで彼女に対して辛く当たるの！？。...あんなにもっ！心優しい子なのに！
杏子,...
ほむら,...やっぱり、お前の仕業なのね...！。...インキュベーターァァァーーー！！！！
杏子,...QB...が？インキュベーター...って...なんだよ？
QB,...否定はしないよ、ほむら
ほむら,...この、彼女に対する残酷な仕打ちも！全てあなたの手のひらの上で！。そして、そしてっ...！
QB,そうだとも言えるし、そうでないとも言える。インキュベーターはね、とてつもない資質を持った鹿目まどかからどうにかしてエネルギーを得るために。わざわざ連れてきたのさ
杏子,な、にを...言ってやがる...？。...連れてきた？何がだ？
QB,もちろん、君たちの敵と言ったら一つしかないよね。魔女、さ。苦労したんだと思うよ。負の念を持った人間を見つけて誘導することで、その魔女を誘導して。さらには標的まで絞り込ませた。...この上ない最上の結果のためにね
ほむら,...お前は...！お前は...！
QB,そうして辛い現実の中彼女が契約すれば、目的の半分は達成だ。もしかしたら契約直後に魔女になってしまうことさえ有りえる。すごく効率的だよ
杏子,...魔女に...なる？。お、おいおい。そ、それじゃまるで...魔女すらお前達が作ってるみたいじゃねーか...！
ほむら,...その通りよ。...こいつらの目的は。魔法少女が絶望に落ちて、魔女になる時のエネルギー。それを利用した宇宙の延命よ...。...だから、まどかは選ばれた。最強の魔法少女はいずれ、最悪の魔女になる、最高のエネルギーを生むんでしょう！！？
QB,...。...その通りだ。この街はね、二人とも。街ひとつ丸々飲み込むくらいの大きさの結界に覆われている。しかも驚いた事に、街一つ完璧に再現する用意周到さ。...誰もここが結界だとは気が付けない。...言ってしまえば、鹿目まどか専用の...捕獲器さ
ほむら,...
QB,...
ほむら,...今打たなかったのは、まだ、聞きたいことがあるからよ。...どうして、杏子を呼んだの？。...それは、あなた達が不利になるだけじゃないの？
QB,...。...ここからは、僕の話だ
杏子,...お前の？
QB,...彼女は、彼女以外の人間すべてから虐げられてきた。...この魔女は狡猾でね、催眠洗脳、精神汚染なんかも使える。あのマミでさえ、鹿目まどかを一目見た時、殺意を覚えたくらいだ
杏子,...マミ...が...
QB,...じゃあ、なんで君達ふたりが、無事でいられたと思う？。マミと同じ魔法少女である君たちはには何故、聞かなかったと思う？
杏子,...それ、は...
ほむら,...。...街の外から来た魔法少女だから...
QB,...そう。この魔女の魔法には一つだけ弱点があってね。上書きできない。もっと言えば、拠点として根を張ったその結界内に元からいた生物にしか魔法を使えない。魔法を新たにかける場合、一旦魔法を解かなければならないんだ。...この魔女の本体を見た事があるかい？
ほむら,...無いわね
QB,それはね、その本体は身を隠しているからさ、自分の魔法でね。魔法をかけ直すとなると、隙が生まれてしまう、姿が見えてしまうんだ
杏子,...なるほどな
QB,...僕はそこに目をつけた。それなら、街の外から魔法少女を呼べばいい。暁美ほむら、君をイレギュラーと呼んだのは契約に関することだけじゃない。君はこの街で唯一、まどかに危害を加えなかった人間なんだ
杏子,...？。...でもそれだとお前の目的とは合わなくねーか？。お前は、まどかを...その...魔女にしたいんだろ？。...それだとまるで、お前がこの街の魔女を倒してくれって言ってるようにしか...
QB,...。...その魔女の魔法が、僕に影響を及ぼさなかった訳じゃないよ
杏子,...？
QB,少なかったけれど確かに及ぼした。汚染まではされなかったものの、精神疾患くらいは患った
ほむら,...！まさか...！
QB,...はじめに出会った時、僕は君のことを希望と呼んだね。...それはね、比喩でも皮肉でも決してない。...文字通り、鹿目まどかに対しての希望だったんだ。...驚いたよ、教室で彼女を一目見て。...蔑むどころか、あんなに嬉しそうな顔をする君に
ほむら,...お前は...
QB,...あはは。...。...彼女は僕から見ても、健気だった。...誰一人恨むこともしないで。...ただあるがままを受け入れて。絶対にこないであろう理想に手を伸ばし続けた
ほむら,...
QB,...それは、僕の心を動かすには十分過ぎるほどだった
杏子,...
QB,話が長くなったね
ほむら,...
杏子,...
QB,彼女を助けて欲しい。精神疾患を患って総体から個体として切り離された僕は彼女を助けたいと思った。彼女の悪夢を、荒らしてあげて欲しい。罪を忘れた訳じゃない。彼女の日常を、取り戻して欲しいんだ...！
ほむら,...
杏子,...。なぁ、ほむら！
ほむら,...何！？
杏子,...本体を倒すって言ってもよ、どこにいるんだ？
ほむら,分からないからこうして探してるんでしょう！
杏子,...つってもよ、あたしは未だにこの街が結界だってことも信じられねーぞ
ほむら,...。...考えましょう
杏子,ん？
ほむら,...あなたがその魔女の立場だったらどうする？
杏子,...。とりあえず、ずっと標的を見とく
ほむら,...そうね。...もし何かが原因で標的が死んでしまったら、また新たに探さないといけないものね...！。...私も、絶対に...目を離さない...
杏子,...見とく、ね。つーことはつまりまどかの近くにいる奴ってことか？
ほむら,...さぁ、だけどそんな適当な予想でまどかの近くの人間を攻撃なんか出来ないわ
杏子,...だよな
ほむら,...くっ...暗くなってきたわ...！
杏子,...ふいー、薄暗くなって来たか...
ほむら,...。...待って
杏子,...あん？
ほむら,...まどかの近くにいるというのは。...有り得ないんじゃないかしら
杏子,あ？何で？
ほむら,...だって、まどかの近くには...誰もいなかったのよ？。...友達も、家族も...
杏子,...。するってーの何だ？。まさかまどかの中にでもいるってか？
ほむら,...ねぇ。...魔女が根を張るということはつまり、魔力の消費を抑えているのよね？
杏子,かもな、んなでけー結界なら相当燃費悪いだろうしな
ほむら,...動かないもの...？
杏子,はぁ？動かないでどうやって監視し続けるんだよ？
ほむら,...本体の大きな移動すらも躊躇うくらいの燃費の悪さ...
杏子,...？
ほむら,...！。ねぇ、昨日の夜は、晴れていたかしら
杏子,...要領を得ねぇ。晴れてたよ、ずっと月明かりが差し込むくらい...！
ほむら,...そう。...おかしいのよ、だって。...余りにも同じ過ぎる...！。...私は昨日も今日も、満月しか見ていない...！。...雲も、全くなかった...
杏子,...
ほむら,...魔女が活発化する時間帯は...
杏子,...夜
ほむら,...
杏子,...試す価値はあるな。でもどうやるんだ？
ほむら,...
QB,方法ならあるよ
杏子,QB...
ほむら,...
QB,簡単さ、2人分の魔力を最大まで練り上げて槍を投擲すればいい
杏子,そんなもん...コントロールが...
QB,大丈夫さ、君達ならできるよ。僕は信じてる
ほむら,...あなたからそんな言葉が聞けるなんてね...
QB,変かな？
ほむら,...いいえ
杏子,あたしに任せろ、地力ならあたしの方がある
ほむら,ええ
杏子,...うお...他人の魔力が流れ込むって...変な感じだな...
ほむら,...
杏子,...
ほむら,...行ける？
杏子,...あぁ...！。突き破れぇええええええ！！！！
魔女,ｱｱｱｱｱｱｱｱｱｱｱｱｱｱ!!!!!!
杏子,...出た...！
ほむら,...あれが...！
QB,幻覚結界を破壊した！今だよ！
魔女,...ｱｱｱｱｱｱｱｱｱｱｱｱｱｱ!!!!!!
ほむら,なっ...！
杏子,...この野郎...！！
まどか,...
魔女,ｹﾀｹﾀｹﾀｹﾀｹﾀｹﾀｹﾀ
杏子,...生意気に...人質ってか...！
ほむら,...まどか...！
杏子,...また潜り込むぞ！
ほむら,...まどか！！！
まどか,...。...んぅ...。...ほむら...ちゃん...？。...。...え、ええぇ！？。なななな、何ここ...？。...た、高い...よぉ...！！
ほむら,...まどか...！
まどか,ほむらちゃん！！！？？
ほむら,...くっ...
杏子,...飛び降りてくれれば難なく受け止められるが...
ほむら,...
QB,...まどかには難しいかもね
ほむら,...まどかっ！！
まどか,...？
ほむら,そこから飛び降りて！！
まどか,ええっ！？。む、無理だよぉ！...ぺ、ぺしゃんこになっちゃう...！
ほむら,...お願い...！
まどか,...。わ、わか...。...！。...ほむらちゃんたちは...違うもん...。...っ。...私は...。存在しない...。...ただの...。...玩具...
ほむら,まどか！！！
杏子,...まどか！！！！
ほむら,私達は！
杏子,あんたは！！
まどか,...！！！
杏子,そらきたぁぁぁぁぁ！！！
ほむら,頼むわよ...！杏子...！。...化け物...！魔女...！
QB,...どうやってあの魔女を倒すつもりだい？
ほむら,...槍で止めをさせるとは思っていないわ...！。...まどかが私たちを信じて飛んでくれたことで...！。...槍に括りつけた爆弾で、爆殺することが出来るのよ！！
魔女,...ｱｱｱｱｱｱｱｱｱｱｱｱｱｱ...！。...ｧｧｧ...ｧｧｧ...
杏子,...結界が...
ほむら,...崩れていく...
QB,...良くやってくれたね。...やっぱり君たちは素晴らしいよ
ほむら,...まどかは？
杏子,...気絶してる
QB,...これで目的は果たしたよ
杏子,...ん？どこ行くんだ？
QB,...
杏子,...おい！
