家に帰った悟空は相変わらず修業→飯→風呂→寝る→修業の武道家,ニート
界王,すまんな、悟空・・・。じゃが、それが最良の選択なんじゃよ
職員,なにしてる、さっさと、えっ？あれ？
悟空,うう、オラよくわかんねーけど、頭がいてえ。な、なんだありゃ？何やってんだ？。おい、おめーら何やってんだよ。
男,私達は貧しい国々の人達に物資を与えているのです。
悟空,だったらトラックとめて配ればいいじゃねーか。なんで走ってるトラックから投げんだ？。でも、おめーそれだと。おめー見ろよ。喧嘩がおきてんじゃねーか。なんとかしねーと。オッス・・・ただいま
悟飯,あ、お父さん、お帰りなさい・・・
悟空,あれ、おめー一人か？チチと悟天は・・・？
悟飯,・・・お父さん
悟空,ん？
悟飯,お母さんは出ていきましたよ
悟空,出てった？なんで？
悟飯,お父さん、今日、痴漢に間違えられましたよね。テレビでやってますよ
テレビ,無職孫悟空容疑者が拘置所から逃走しました。繰り返します。無職孫悟空容疑者が
悟空,な、なんだこりゃあ？オラ、なんもしてねーのに、実名や顔写真まで出てるじゃねーか！
悟飯,お母さんはこれを見て・・・だから・・・
悟空,だ、だからってなんだ！オラはなんもしてねーぞ！
悟飯,お父さんが・・・やったかやってないかじゃ・・・ないんですよ
悟空,じゃ、じゃあ、なんなんだよ・・・
悟飯,僕にもわかりません・・・ただ、お父さんはきっと間違えたんですよ
悟空,な、なんだと！オラは何もしてない！ただ肩に手を置いただけじゃねーか！。な、何を馬鹿いってんだ、悟飯！おめーは・・・はっ
悟飯,お父さん・・・お父さんは純粋すぎるんですよ
悟空,くっ・・・悟飯、オラは・・・！。オラ、間違ってた。救う星を間違えた
ベジータ,カカロットオオォォーーきさま、なんのつもりだ！
悟空,よぅ、ベジータ。オラ、わかっちまったんだよ。
ベジータ,わかった・・・だと？。し、しっかりしろお！！！カカロットオオォォ！
悟空,どいてくれベジータ。この星は狂っている
ピッコロ,孫！貴様、なにやってる！。き、きさま、今さら何を
悟空,オラな、わかっちまったんだ。この星はないほうがいいんだって
悟飯,待って下さい、お父さん！いったい何を。お、お父さ・・・
悟空,悟飯、すまねぇな。産んじまってよ。
悟飯,ば、ばかな、何を、お父さん・・・何を言ってるんだ・・・
悟空,心配すんな。この星もろとも一瞬で楽にしてやる。ベジータ、おめーはさすがに無理だろうけどよ
ベジータ,カカロット、きさま、何を、何を見た、何を聞いたんだ・・・
悟空,へへっ、わかんねー。わかんねーけど、ただ、こんなに苦しんでたる奴とわがままな奴ばっかな星はあっても意味ねーんじゃねーかな？
ピッコロ,は、はやまるな！孫！自殺を止めたのにまた殺すつもりか！
悟空,いいじゃねーか、その子も一瞬さ、へへっ、へへへっ、へへへへへへへへへっ
ベジータ・ピッコロ・悟飯,だ、駄目だ、もう何が何でも止めないと
ベジータ,おい、お前ら！カカロットを止めるぞ！三人同時にかかるんだ、いいな！
ピッコロ,わかった！許せよ、悟飯
悟飯,仕方ありません！おそらくストレスが原因でしょうから戦っていれば。は、はい！お父さん、一体どうすれば・・・
悟空,ハハハハ、おめーらスーパーサイヤ人３に勝てると思ってるんかー
ピッコロ,グハァ、そ、孫・・・き、きさま、なぜ人の弱さがわからなくなった・・・？
悟空,弱さ？弱さをしらねーのは地球人のほうだろ？
ピッコロ,グ、ガハッ
悟飯,お、お父さん・・・お父さんは間違っていませんよ。ただ・・・
悟空,ただ、なんだ？
悟飯,この世はそんな単純じゃない、地球人はそんなに賢い生き物じゃないんです。
悟空,賢い生き物じゃねえ？
悟飯,そうです。地球人は卑怯で嘘つきです。フリーザみたいに武力で人を従わせたりもします
悟空,なに！だったら倒しちまって正解じゃねえか！
悟飯,いえ、違うんです。お父さん・・・。地球人は・・・
悟空,・・・
悟飯,地球人は・・・
悟空,どうした悟飯？何がいいてえ？
悟飯,・・・僕はとにかくこんなお父さんを見たくなかった！！！
悟空,悟飯、許してくれ。本当にすまねぇ。安心しろ。生まれかわっても、オラ、おめーを守ってやっから・・・
ベジータ,お、おのれ・・・
悟空,ベジータ、あとはおめーだけだな
ベジータ,カ、カカロット・・・
悟空,ん？どうした？はやくやろうぜ
ベジータ,た、頼む、ブルマとトランクスは・・・
悟空,え？ベジータ？
ベジータ,ブルマとトランクスだけは逃がしたい・・・
悟空,おめー、ま、まさか・・・
ベジータ,ブルマとトランクスを逃がす時間をくれえええーー
悟空,ベ、ベジータ・・・おめーそんなにも家族が・・・。ベ、ベジータ・・・オラは・・・悪くねえはずだろ・・・
ベジータ,カカロット・・・
悟空・ベジータ,！！！。ドラゴンボール！！！
ポポ,ゴクウ、コレデキゲンナオルカ？
デンデ,わかりません。ただ、まだ地球はあります。もうドラゴンボールしかないでしょう
ポポ・デンデ,！
悟空,デンデ！何をする気だ！？
デンデ,今日を始めからやり直して下さい、それとこの世のおかしなところを治して下さい
シェンロン,わかった
悟空,な、何を、うわああああぁぁぁーー
デンデ,界王様、これでいいんですよね。これで・・・
男,あの、妻から暴力を受けていて
職員,お辛い経験をされましたね。お話をお伺い致します。
男,妻を愛しているから警察には
悟空,オラ、税金払いにきたんだけどー
職員,あ、ようこそ、どうぞそちらにおかけ下さい。
悟空,おぉ、いい椅子だなー
職員,はい、市民の皆さんがきちんと納税して頂けるので
悟空,そうなんかー、オラ納税とかよくわかんなくて
職員,さようでございますか。納税とはですね
悟空,ただいまー、チチー
チチ,あら、悟空さ、行ってきてくれただか？あんがとー
悟空,ああ、それよりさ
チチ,ん？
悟空,オラ、腹減った
チチ,そう言うと思ってご飯できてるだよ
悟空,おお、ぃやっほー
悟飯,もうー、お父さん、悟天が見てますよー
悟空,だってよ、チチの飯は上手いんだもん
チチ,もうー、悟空さー
悟天,チチの飯は上手いんだもん
悟空,おー、悟天わかってるじゃねーか
悟飯,さ、頂きましょうか
悟空,おう、それじゃ
一同,いただきまーす！
