現役失敗,ワンストラァァァイク！
姉,勉強しなくても、国語だけは出来たからです。それが、彼に無勉で行けるという安心感を与えたのです
予備校,各科目のできを、VTRで振り返ってみましょう
企業,センター試験ですね？
受験生,余裕www現文簡単すぎわろちwwwえ？和歌？。ちょっと待って、現文の選択肢が全部正解に見える。うわあああ！！！。前日にマインドマップ作ったし余裕wwwえ？東アジアの歴史？。おいおい、待てよ。この科目日本史だぜ！？外国のことなんて勉強してるわけねえだろうが……なあ……？。うわあああああ！！！！！。俺、英語できっからwww余裕余裕。！？このアクセント、全部一緒だからwwwったく、大学センターがわのみすかよっ、チッ。文法は……問題ない。問３のディベート問題も、問題ない。問四の長文は飛ばして、え？問五は同じ状況について話しています？どこがだよwww。あ！長文まで解く時間がない！。うわあああああ！！！！！。なんて言ってるかわからん、っていうか今何問目なの？
隣,ズズーッ
受験生,うわあああああ！！！！！。今日の朝刊に載ってた答えを見てしまった……。好きな数字を書いて当てよう！ロト6！。うわああああああ！！！。暗記だけだから……暗記だけだから……。遺伝？筋肉の振動速度？。うわああああ！！！！！
予備校,以上、ハイライトでした
企業,……ハァ
予備校,ここまでご覧になって、いかがですか？
企業,センターレベルもまともにできない人間なんて、企業は求めていませんよ
予備校,ですよねぇ～(笑)
企業,……帰っていいですか？
予備校,待ってください、試合が終わるまではいてください！
監督,とにかく、もう一回ちゃんと考えなさい！受験するか、就職するかしないと、もう勘当します！
受験生,もう一回、打席に立つよ……
予備校,おおっとお！受験生がベンチから出てきました！
観客,……
予備校,誰も彼に拍手を送りませんねえ
企業,当然です
受験生,……
予備校,慎重な面持ちで、打席に立ちます……。就職と、浪人どちらを選ぶのでしょうか……
受験生,はっきり言っとくが……俺は、四浪する！
ピッチャー,大学
予備校,視聴者の皆様！お聴きいただけたでしょうか！四浪です！四浪すると宣言いたしましたぁ！。第一球を、投げます！
受験生,三ヶ月で、MARCHは、。無理！
予備校,当てた！当てました！
企業,かろうじてバットの先に、という感じですね。ファールです
予備校,続いて第二球！
受験生,生物にも、計算は……。ある！
予備校,またファールだ！
企業,徐々に問題の中心点を捉えようとしています、いいですねえ
ピッチャー,くそ、なんだこいつ……今までとは、全く違う……。ここは、この球で！
キャッチャー,ﾊﾟｼｯ
審判,ボール！
予備校,追い込まれても冷静さを欠いていませんね！。第四球目です
ピッチャー,俺の剛速球、しかもお前の得意な現文で仕留めてやる！
予備校,投げたあ！
企業,こっ、これはっ！
予備校,なんというスピンでしょう！まるでスピンアスピン！
企業,これを打ち返すのは不可能ですね
ピッチャー,これでお前のプライドもズタズタだぜ！
受験生,俺は、絶対にぃ、。諦めない！
予備校,おおっと転がったあ！ゴロだ！
受験生,ダメか……？
予備校,受験生必死に走る！間に合うか！？。ピッチャーおちついたさばきでいちるいへおくって……。おおっと、少し送球がそれたあ！
企業,ファーストも、落ち着けば取れるとは思いますが……
予備校,受験生必死のスライディング！
受験生,間に合ええええぇぇぇぇぇ！
審判,OUTOOOOOOOOOOOOOOOOOOOOO！！！！！！！！！！！！！
予備校,アウト！アウトです！受験生、四浪失敗いいいいいいぃぃぃぃぃ！！。いやー、企業さん、どうでしたか、今回の試合を見て
企業,4浪人目は真面目に頑張ったんですがねぇ、時すでに遅し、という感じですかね、ハハハハハ(笑)
予備校,是非とも、これから受験をされる方にはこういうことがないようにしてもらいたいですね(笑)。それでは今日の放送はここまでで……！？ちょ、ちょっと待ってください！！。審判たちが集まって、何やら話しています
企業,！？どうしたんだ？まさか、五浪するわけじゃあるまいし(笑)
予備校,主審がマイクを取って、ただいまのプレーの説明が行われます！。合格っ！合格ですっ！ついに、ついに受験生、合格を手にしましたあ！！！！！！
企業,いやー、見上げた根性だ。あっぱれだよ！
