先生,それでは日直の人、号令をお願いします
ミュウツー,そうだな・・・虫取り大会というのがどういうものかわからないが、少年と一緒に出るのならいいだろう
少年,ほんと！？じゃあ一緒にがんばろうね！
ミュウツー,がんばる、か・・・最善を尽くそう
父,ただいまー
少年,おかえりお父さん！ねえミュウツーの服にあってるでしょ！
父,これは驚いた・・・普通の人と見分けがつかないな。すこし背が高い気がするが
少年,細かいことはいいの！でね、今度の虫取り大会はミュウツーと一緒に出ようと考えてるんだけどダメ・・・？
父,そうだな・・・確かにこれではばれないだろうし、いいぞ
少年,それじゃ一緒に出るって事で！楽しみだなー！
父,よーし用意はできたか？それじゃ出発するぞー
少年,はーい！
母,お父さんも楽しみなのね、今回はミュウツーが出るしね
ミュウツー,本当に大丈夫なのだろうか・・・？
母,あら、心配しているの？見た目だけじゃポケモンだとはわからないわ
ミュウツー,そういう問題なのだろうか・・・
母,でもミュウツーが心配するなんて、すこし意外だわ
少年,僕も思ったよ！ミュウツーが心配事なんて、らしくないね！
父,そうだそうだ。それにポケモンが出てはいけないなんてルールは無いぞ？
ミュウツー,はぁ・・・
少年,ルールは昨日教えたみたいに、時間内に公園の中にいる虫ポケモンで一番珍しいポケモンを捕まえたら優勝なんだ！。もちろん人が捕まえるのだから、ポケモンに攻撃したらだめだよ？というかそんなことしたらミュウツーがポケモンだってことバレちゃうね
ミュウツー,大丈夫だ、攻撃したりなんかしない。私は少年の友達なのだからな
少年,ははは、理由になってないよ？まあいいや！。うわー、人がいっぱい・・・優勝できるかな？
ミュウツー,そうだな、こんだけ人がいるならそう簡単には優勝はできないだろうな。それに少年とは敵同士だろう？私に勝てるかな？
少年,そうだった・・・でも勝ってみせるよ！
母,ほらほら、そろそろ始まるわよ？お母さんとお父さんは外で応援しているからがんばってきてね
父,どっちが勝つかな？俺としてはミュウツーに勝ってもらいたいな！
少年,ちょっとお父さん！でも絶対負けないよ！
ミュウツー,私もだ、それでは会場に行こう
少年,うん！
母,がんばるのよー！
少年,はーい！。ふう・・・ミュウツーにあんなこと言ったけど、まだパラスしか捕まえてないよー・・・。勝たないと・・・！ってあれは・・・ストライク！？。初めて見た・・・ストライクを捕まえればミュウツーに勝てるかも・・・？。よーし・・・そうとなればさっそく！
ミュウツー,虫取り大会とだけあって虫ポケモンしかいないな・・・。それにポケモン達も私に気づいているのか、すこし怯えているみたいだ・・・。でも私は危害を加えるつもりはない、なんとかしてそのことを伝えなければ少年に勝つどころか、ポケモンを捕まえられもしないぞ。と、あれはカイロスか・・・？よし、あのカイロスを捕まえるとしよう。カイロス・・・怯えているのか？
カイロス,・・・
ミュウツー,安心しろ、私は危害を加えるつもりはない、ただこの大会に参加している一人のポケモンだ。一緒に私と優勝してくれないか？
カイロス,・・・
母,終わったみたいね
父,どのポケモンを捕まえてきたかな？
少年,おつかれミュウツー！ミュウツーは何捕まえてきたの？
ミュウツー,内緒だ、結果発表のときにわかるだろう
少年,僕も内緒にしようとしたんだ！負けないよー！。みんな得点が低いね・・・お、次はミュウツーのポケモン発表だよ！
ミュウツー,私か、では・・・
少年,カイロスかぁ！僕も初めてみたよ！
ミュウツー,次は少年の順番だぞ
少年,僕の番か！じゃあ・・・
ミュウツー,ストライクか、よくがんばったな
少年,へへーん、すごいでしょー？僕も初めて捕まえたんだ！
ミュウツー,ストライクとカイロスじゃ、ストライクのが得点は高いな。このままだと少年が優勝だな
少年,まだわからないよ、ほかのひともまだ発表が残っているし
ミュウツー,そうだな、全員分の発表が終わるまで待っていよう。結局ストライクとカイロスを超えるポケモンは出てこなかったから、少年の優勝だ
少年,やったぁ！優勝だー！
ミュウツー,よかったな、おめでとう
少年,ありがとう！ミュウツーも2位だよ！
ミュウツー,ああ、優勝は逃してしまったが
少年,楽しかったー！優勝できたし、ミュウツーと一緒に出れたし！
母,おつかれさま、優勝おめでとう！
父,すごいなー、まさか優勝してしまうとは
少年,すごいでしょ！このストライクも大事にしないと！ミュウツーもカイロス大事にするんだよ！
ミュウツー,けどこのカイロス、私は少年に渡そうと思っているのだが・・・
父,せっかくだし、ミュウツーが育ててみたらどうだ？
母,いいわね、初めての自分のポケモンね
ミュウツー,私が・・・？
少年,それがいいよ！そうしたらミュウツーともポケモンバトルできるし！
ミュウツー,そうか、なら私が育ててみよう
少年,うんうん！じゃあ僕とミュウツーは部屋に戻るね！
ミュウツー,ふふふ、私の始めてのポケモンか
少年,あ、笑った！そんなに嬉しいの？
ミュウツー,よくわからないが、そうなのかもしれない
少年,きっと嬉しいんだよ！・・・で、ミュウツーに話があるんだ
ミュウツー,なんだ？
少年,ミュウツーと初めて会った日、僕の将来の夢は医者になることって言ったの覚えてる？
ミュウツー,ああ、覚えているぞ
少年,でね、もし僕が医者になったら、世界を旅しながら怪我や病気に困っている人とポケモンを助けようとしているんだ。そうしたら、一緒にミュウツーにも来てほしいんだ
ミュウツー,なるほど・・・
少年,別にミュウツーも一緒に医者になってとは言わないから、ただ一緒に来てほしいんだ！
ミュウツー,友達だからか？
少年,うん！ミュウツーと一緒に旅をすると、どこまでも行けるような気がするんだ！
ミュウツー,そうか、なら約束だ、少年が医者になったらこの私も少年についていこう
少年,ありがとう！約束だからね！
ミュウツー,カイロスもだいぶ私に懐いてきたようだな
少年,僕のストライクもすごく強くなったよ！それにキャタピーとビードルも進化して今はバタフリーとスピアーだよ！
ミュウツー,すごいな少年は・・・おっとストライクもみんな疲れているみたいだ、家に戻って休ませてきてはどうだ？
少年,そうだね、すこし戻るね！ミュウツーはどうする？
ミュウツー,私は残ってカイロスの特訓の続きでもしている
少年,わかった！じゃあすぐ戻るね！
ミュウツー,さて、少年に負けないように私もカイロスを育てるとするか
？？,ずいぶん平和ボケしているみたいだねミュウツー
ミュウツー,！、誰だ！？
？？,僕たちは君を作った人の手下だよ
手下A,悪いけど、一緒に研究所に戻ろうか、ミュウツーよ
ミュウツー,！？なんだこれは！・・・
手下B,これはあの方が作ったミュウツーにだけ聞く睡眠薬だよ。っていってもこの声はもう聞こえないか
手下A,っと、これはモンスターボールだ。中身は・・・カイロスか。どうする？
手下B,捨てておけ、ミュウツーだけ持ち帰ればいいのだ
手下A,そうだな。じゃあここに捨てておくか
少年,おまたせー！ってミュウツーいないし、どこいったのかな？。あれ、モンスターボールだ、誰か落としたのかな？。中身は・・・カイロス！？。しかもこれミュウツーのカイロス・・・もしかして誰かに・・・？。大変だ・・・！探さないと！。いないよ・・・ミュウツーどこいっちゃったの？・・・。あ、あれは・・・船？。ってあの尻尾・・・もしかしてミュウツー！？。誰かに連れて行かれているのかな・・・よし、あの船にこっそり乗ってみよう！。ミュウツーは絶対助けてみせるんだから！。船が止まった・・・どこかに着いたのかな？。ここは・・・なんかの研究所かな？っと、ミュウツーがあの二人に運ばれてる・・・。もしかしてここってミュウツーが作られた・・・
？？,よくやったぞ！お前らのミスではあるが、連れて帰ってきたのだから今回は許してやろう
手下A,ありがとうございます・・・！
手下B,ですがこのミュウツー、カイロスを連れていたり、服を着ていたり、なんだかミュウツーらしくなかったですよ？
？？,ほう・・・誰かにそうするように教えられたのだろう・・・。そういいらん知識は邪魔になるだろう。そうとなればあの逃げ出した日から今日までの記憶をすべて消し去るとするか
少年,あの二人の後をつけてみたのはいいけど、途中で見失っちゃよ・・・。どこいったんだろう・・・って声が聞こえる・・・！。！！もしかして記憶を消すってミュウツーの・・・？。そんなことしたらあの約束だって、ミュウツーがカイロスを捕まえたことだって。僕と会ったことまで忘れちゃうじゃん・・・！。そんなこと・・・ダメだよ！
？？,そうとなれば早速・・・おや、お目覚めのようだな、ミュウツーよ
ミュウツー,お前は・・・！
？？,そうだ、私はお前を作った博士、お前の親だ、ミュウツー
ミュウツー,そんな・・・なぜお前が私を・・・？
博士,それはだな、私を追放した憎いロケット団に復讐するためだ。あいつらは私のことロケット団から追放し、私の功績や手柄をすべて奪ったのだ。しかもあいつらは征服征服と唱えているがやり方がまるでお子ちゃまのおままごとだ。ああいうのは嫌いなんだよ・・・だから私はお前を作った、どのポケモンにも負けない最強の"兵器"をな！。お前はポケモンではない、ただの兵器だ。兵器が感情や知識を持ってはいけないのだよ。だからお前の記憶をすべて消させてもらう
ミュウツー,なるほど、私の記憶を消す、か・・・だが、あそこにいる少年が許すとでも思っているのか？
少年,ひっ・・・
博士,ほう、あの少年がお前の保護者ということか・・・。だが保護者は二人も要らない。どちらがミュウツーを兵器として使えるかな？。お前はミュウツーにくだらないことばかり教え込んできたようだな。まるでミュウツーが人間になったみたいだ
少年,く、くだらなくなんてない！僕はミュウツーとただ友達になりたかっただけで・・・！お前こそミュウツーを道具として使うなんて、親失格だ！
博士,道具として・・・？馬鹿を言え、道具として生んだんだ、当たり前だろう
少年,ミュウツーは道具なんかじゃない！ポケモンだ！作られたかどうかなんて関係ない！
ミュウツー,少年・・・
博士,そうかそうか、なら力でわからせるしかないようだな。お前を兵器として使いこなし、ロケット団を壊滅させ・・・そうだな、ついでにロケット団が成そうとしていたこともしよう。だからまずはその少年から・・・！でろ、カイリュー！
カイリュー,・・・
博士,カイリューよ、あの少年に向かってしんそく！
カイリュー,・・・
少年,え・・・？。うそ・・・！
ミュウツー,・・・！おい少年、大丈夫か・・・！。貴様・・・ポケモンを人に攻撃させるなんて・・・！腐っている・・・！
博士,手段は選ばない、そういうことだ
ミュウツー,くそ・・・！こんなやつ、私が・・・！！
少年,だめ、だッ・・・よ、ミュウツー・・・
ミュウツー,！
少年,ここでミュウツーが戦っちゃったら・・・ミュウツーが・・・うっ・・・
ミュウツー,少年・・・だがこのままでは・・・
少年,ミュウツーが戦っちゃったら・・・ほんとに兵器になっちゃう気がするんだ・・・
ミュウツー,少年・・・そうだ、私はポケモンであり、道具として生まれてきたわけではない
博士,貴様・・・生みの親である私を敵に回すつもりか・・・！
ミュウツー,お前には感謝している。目的がどうであれ私を作ってくれたこと、ここまで強くしてくれたこと。だがお前の子供は反抗期みたいだな。お前が親のセンスが皆無、こんな化け物を生み出してしまったことを、後悔するんだ！！。すまない少年、いまだけは許してくれ・・・。サイコキネシス！
カイリュー,・・・！
博士,効かん！わしのカイリューは強いぞ・・・！。カイリュー！げきりん！
カイリュー,・・・！
ミュウツー,くッ・・・！まだだ！シャドーボール！
カイリュー,・・・！
博士,だから効かぬわ！げきりん！
カイリュー,・・・！
ミュウツー,ぐはッ・・・！くそ・・・もう・・・！
少年,ミュウツー・・・これ・・・使って・・・！
ミュウツー,少年！？これは私のカイロス・・・。わかった・・・相手のカイリューも消耗しているみたいだ・・・。カイロスのデビュー戦だ・・・！。ゆけっ！カイロス！
カイロス,ｷﾞｼｬｰ！
博士,これは・・・手下が言っていたカイロスか、弱すぎる、カイリュー！しんそく！
カイリュー,・・・？
博士,何をしているカイリュー！はやくしんそくを使わないか！
ミュウツー,こんらんしているんだよ、自分のポケモンのこともわからないとは、トレーナー失格だな！
博士,何・・・！？くそッ動け！早く動けカイリュー！
カイリュー,・・・？
ミュウツー,運にも見放されてるみたいだな！カイロス！ハサミギロチンだ！
カイロス,ｷﾞｼｬｰ！
カイリュー,！！！
博士,そんな馬鹿な・・・こんなことが・・・
ミュウツー,よくやったカイロス！さあお前も後が無いようだが、どうする？
博士,くそう・・・もはやこれまでか・・・
少年,あれ・・・終わったの・・・？
ミュウツー,大丈夫か？歩けるか・・・？
少年,うん、平気みたい、そしてミュウツー！初めての勝ちだね！
ミュウツー,ああ、カイロスもよくやってくれた
少年,で、このおじさんはどうするの？
ミュウツー,そうだな、少年の父さん母さんに言って後は任せよう
少年,わかった、・・・ミュウツーが無事でよかった
ミュウツー,私も、少年が無事で本当によかった・・・！さあ、帰ろう
博士,・・・・させるかァ！。貴様だけでも・・・ッミュウツーだけでも・・・！
少年,え・・・・ミュウツー・・・？
博士,私ももうダメみたいだな・・・ミュウツーは誰にも渡さんぞ・・・ぐッ！
少年,ミュウツーが・・・石に・・・？。う、うあああ・・・・！！！
