研究員,そうか…それじゃあ次は…
神裂,言われなくても！七閃！。何故発動しない！？ハッ……！
承太郎,誰がそんなチンケな小細工で来いと言った？俺は全力で来いと言ったはずだぜ
神裂,(いつの間にワイヤーが切られていて…！？聖人の私だからこそ見える極細のワイヤーを使用しているのに…！)。確かにあなたには小細工は効かないですね、それでは！
承太郎,(なっ…！？速い！)。スタープラチナ！
スタープラチナ,オラァ！
神裂,(何もない所で何者かに私の蹴りを止められた！？彼は一体どういう能力が…！？守護霊の類の魔術か…いや守護霊にしては強すぎる…！)
承太郎,(野郎…なんて馬鹿力だ…まだ手がビリビリしてやがる…！パワースピード共にDIO…吸血鬼以上だぜ…！)
神裂,どうしてあなたはあの娘を守るのです？あなたには赤の他人でしょ？
承太郎,テメェらみたいな悪い奴らにあのガキが渡っちまうと面倒くさいことが起きるらしくてな、それにだ。俺の飯をあんだけ貪った借りは返してもらないといけねぇ、それだけだ
神裂,そんなどうでもいいことで…そんなどうでもいいことで…私達の邪魔をするのですか…！
承太郎,うっとおしいぞババア、ゴタゴタ話すならさっさと来な
神裂,あ？。誰がババアだ！私はまだ18だ！
承太郎,(地雷を踏んだようだな…)スタープラチナ！
スタープラチナ,オラオラオラオラオラァ！
神裂,守護霊ごとぶっ殺してやる！
承太郎,(こいつ！スタープラチナのラッシュと互角に渡り合ってやがる…！スタンドは目に見えてねぇはずなのに…！)。グッ…！
神裂,どうやら守護霊とは一体化らしいなぁ！だったらこのまま守護霊の首をへし折ってやったらテメェの首をダルンダルンになって折れるわけだよなぁ！？
承太郎,グハッ！
神裂,さぁ謝れ！私にババアと言ったことを謝れ！
承太郎,そのまま腕を離すなよ？
神裂,あ？
スタープラチナ,流星指刺(スターフィンガー)！！
神裂,ガハッ！
承太郎,急所は外してある…だがもう戦いはできないだろうぜ、これに懲りたらあのガキに構うのはやめるんだな
神裂,ないんです！。あの娘には時間がもうないのです！
承太郎,テメェあのガキとどういう関係なんだ？。記憶のし過ぎで脳が死ぬだと？テメェそれマジで言ってやがるのか？
神裂,そうです！彼女の脳の過半数は10万3000冊を記憶するために使われていて残りの僅かな容量で人生を生きていくしかない！だから私達が1年ごとに記憶を消して…！
承太郎,人間の脳はたかがそんなもんを記憶してた所で死なねぇしそうやって覚えたことと経験が脳の中で棲み分けられるという概念なんて存在しねぇぞ
神裂,なっ！？
承太郎,テメェらそんなすぐ調べたらわかるようなことに騙され続けてあのガキの記憶を消し続けていたのか？
神裂,そんな……！じゃあ私達はなんのためにあの子の記憶を消して…！
承太郎,テメェの戯言なんぞは聞きたくねぇ、あのガキに掛かってるその術式って奴をさっさと教えな
禁書,おかえりじょーたろう！遅すぎてお腹ペコペコかも！早くご飯作ってほしいな！
承太郎,あぁ、沢山買ってきたぜ
禁書,やったー！ってそれにしてもじょーたろう、歩く教会ばかり着てたら汚いって言われたからじょーたろうの言われた服着てるけど流石にブカブカすぎると思うかも
承太郎,今度買いにいってやるからそれで我慢しろ。だけどな禁書目録。服も食いモンもテメェの体から首輪を外してからだ。これでいいのか？
神裂,はい、敵だと思っている私達が目の前にいたら困惑するでしょうし
ステイル,しかし君はどうして僕たちを呼んだ？
承太郎,術式や魔術に関しては点で分からないからな、そこはテメェらに任せる
ステイル,それじゃあ君は？
承太郎,そこの女に術式のことについて聞いたが術式っていうのは単に術式を記号化つまりは身振りや手振りで発動させるのと複雑な手順が必要な場合は霊装という道具を用いて発動させるという二種類のタイプがあるらしいな
ステイル,ああ、確かに大元はそうだがそれが何か関係あるのかい？
承太郎,手に入れたらこの世を破滅に導くくらいの力がこいつの頭の中に詰まってんだ、それを守るんだ、そんな簡単な術式じゃない、つまりは霊装を用いた術式だろう。俺ならその霊装とやらを見つけることができたら引っこ抜くことができる
神裂,そんなことができるのですか！？
承太郎,多分な、人の体から気持ち悪いのを抜いているのは何度か経験しているからな。ン？
神裂,どうかしましたか！？
承太郎,やっと見つけたぜ、スタープラチナ！
スタープラチナ,オラァ！
承太郎,あのガキを縛っていた術式って言うもんで首輪と例えてみてたが本当に首輪という名前だったとはな、やれやれだぜ
ステイル,そんな悠長なことを言っている場合か！彼女はとてつもない魔翌力を秘めている！逃げるんだ！
神裂,でもどうして？禁書目録は魔翌力を持たないはず！なのにどうして今はこれ程の魔翌力を…！？
ステイル,逃げろ！死ぬぞ！
承太郎,スタープラチナ！
スタープラチナ,オラオラオラオラオラオラオラオラ！
承太郎,どうやらスタンドで魔術には対抗できるようだぜ
神裂,！？あの魔術を打ち消した！？どうやって！？。あれはまさか…！？避けてください！それは流石の貴方にも受けきれません…！
承太郎,今のは流石にスタープラチナでも受けきれそうになかったな、危なかったぜ。テメェは確かに強いかもしれねぇがその一々攻撃する時にブツブツ言うのは止めた方が良いと思うぜ？。一気に決めるぜ
スタープラチナ,オラオラオラオラオラオラオラオラオラオラオラオラオラオラオラオラオラオラオラオラオラオラオラオラオラオラオラオラオラオラオラオラオラオラオラオラオラ！
承太郎,やれやれだぜ、終わったぜ
神裂,その羽に触れてはいけません！それに触れると貴方たちの脳細胞が焼き尽くされてしまいます！
承太郎,スタープラチナ・ザ・ワールド！。(アブドゥル…花京院…イギー…)。あいつらのことを忘れるなんざ御免だ、そしてここまでしてテメェを救ってやったんだ、テメェには感謝の気持ちくらいは覚えていてもらわねぇとな。そして時は動き出す
禁書,うーん、なんか変な夢を見た気がするんだよ
承太郎,どんな夢見てたんだ？
禁書,えーと。じょーたろう私…
承太郎,礼なら食う量を減らせそれで良い
禁書,違うのじょーたろう
承太郎,ン？
禁書,私の身体でじょーたろうがしらないことってもうないんじゃないかな…///
承太郎,あ？何が言いたい？
禁書,だからその感謝の気持ちを身体で払うと言うか…///もうじょーたろうのお嫁さんに行くしかないと言うか…////
承太郎,何言ってんだテメェ
禁書,要するにね。助けてくれてありがとう！大好きだよ承太郎！
承太郎,フッ、やれやれだぜ
