みさえ,風間君ならしっかりしてるし安心だわ～。ね、あなた
風間,僕も今日はこれでおわりなんだ。よかったら途中まで一緒に帰らないかい？
ひまわり,は、はあ・・・
風間,お疲れ様でしたー。先失礼します
教師たち,はい、お疲れ様ー
風間,ひまわ・・・
ひまわり,先生
風間,あ、ごめん。野原は電車かい？
ひまわり,ええ。そうですが
風間,そうか！僕もそうなんだ。野原はいつからテニスをやってるんだ？
ひまわり,高校からです
風間,へ、へえ～。中学ではなにを？
ひまわり,吹奏楽を
風間,やめちゃったんだ。テニスは楽しいかい？
ひまわり,・・・
風間,じゃあ、また明日
ひまわり,さようなら
風間,実は実習先の高校にしんのすけの妹がいたんだ
風間母,へえ、しんちゃんの。ひまわりちゃんね
風間,そうそう。ひまわりちゃんって呼んだら怒られたよ
風間母,まあまあ。フフフ
風間,ひまわりちゃん。ほんとに大きくなったね
しんのすけ,だーかーら。あたりまえだのクラッカーだゾ。そんなことしってるゾ。母ちゃんに影響されてなんだな
風間,ひまわりちゃん、何か言ってた？
しんのすけ,そうそう、ひまわりちゃんはやめてほしいって
風間,う・・・。おーい、野原ー
ひまわり,あ、風間先生
風間,一緒に帰らないか？
ひまわり,昨日もそのセリフ聞きました
風間,え、へへへ。そうだったね
ひまわり,・・・せえ。先生
風間,あ、うん。なんだいひまわりちゃん
ひまわり,兄から聞きました。先生はテニス上手なんですってね
風間,う、うん。まあね。小学校からやってるし、インカレにもでたからね
ひまわり,へえ。すごいですね。テニスって面白いですか？
風間,ああ、面白いよ。なんたって紳士のスポーツだしね
ひまわり,そ、そうですか
風間,ま、まあ、続けていれば面白さがわかってくるかもしれないよ
ひまわり,もう始めて１年半。一度も楽しいと感じたことはありません
風間,そっか。ちょっと寂しいよ。まああの学校の部活ではね。野原、明日は空いてるかい？
ひまわり,いえ、暇ですけど
風間,じゃ、じゃあテニスをしにいこう。そうだ！しんのすけも誘おう
ひまわり,は、はあ
風間,明日、車で迎えにいくよ。いいかな
ひまわり,わ、わかりました。兄には私から伝えておきます
風間,１０時ごろ迎えに行くよ。おはよう。しんのすけ、ひまわりちゃん
しんのすけ,おー、おはよう風間クン
ひまわり,おはようございます。先生
しんのすけ,そうだったけ～？
風間,そうだよ。で、おばさんは赤ちゃんだったひまわりちゃんもおぶってたっけ
ひまわり,へえ～。０歳の時からふたば幼稚園に通ってたんですね、わたし
しんのすけ,そうだ！シロもつれていくゾ
ひまわり,いいねっ、お兄ちゃん！
シロ,ワンワン！
風間,よし、じゃあ行こうか
しんのすけ,どこに？
風間,ウイングハット春日部でいいんじゃないかな
しんのすけ,ほうほう。では・・・
しんのすけ・ひまわり,しゅっぱつおしんこー
風間,よし、着いたよ
しんのすけ,おおーう。こんな立派な建物が春日部にあったとは
風間,お前、何年春日部に住んでんだよ
ひまわり,じゃあ、早速いきましょうか
しんのすけ,おー
風間,ちょ、ちょっと待てよー
しんのすけ,ないゾ
風間,やっぱり・・・僕のを貸してやるよ。ほら
しんのすけ,おおー、さすがオラの大親友！
風間,よし。じゃあまず準備体操からしようか
しんのすけ,ぶー。オラがリーダーだゾ
ひまわり,なんでお兄ちゃんなのよ、今日は風間くんに教えてもらうんでしょ
しんのすけ,まあ今日は譲ってやるゾ
俺,見てる人います？
風間,オイッチニーサンシー
しんのすけ・ひまわり,ゴーロクシチハチ
風間,ニイニイサンシー
しんのすけ・ひまわり,ゴーロクシチハチ
風間,よし、こんなもんでいいだろう
しんのすけ,ふー、オラつかれたゾ。休憩休憩
風間,じゃあはじめよっか
ひまわり,うん！お願いしまーす
風間,ふう～。どうだった、ひまわりちゃん
ひまわり,とっても楽しかった。初めてテニスが面白いって思いました！
風間,そっか～。それはよかった
ひまわり,明日から、がっこうでも頑張っていけそうです
風間,そうか・・・ありがとう、ひまわり。じゃあここの訳を・・・野原、やってみて。よし、いいぞ
教師,風間、いままでごくろうさん。初日とは見違えたな
風間,ええ、いいアドバイスをもらいましたから
教師,そうかそうか、わっはっは
風間,君のことが好きだ。付き合ってくれ
ひまわり,はい、お願いします
ただ彼女は,近いから
しんのすけ,これでオラと風間くんは兄弟だゾ。これからはお兄様と呼ぶように
風間,ば～か。おまえも早くいい人見つけろよ
しんのすけ,むきぃ～、風間くんのいけずぅ～
みんな,わはははははははははははは
これからは,とっとと書け太郎
