今年の春に大学生となり、いわゆる,キャンパスライフ
課長,ってことは、もう現場へ行っても何もないってことだろ。行くだけ無駄だよ
DJ,なんだよ課長、ノリ悪っ。それでも新聞会所属かよ
課長,そんなデマみたいな話に集中している暇はないのさ
男,……。ごめん、俺ちょっと見に行ってくるわ
課長,おい、マジか!?
DJ,お、いいね男‼そうこなくっちゃ‼
課長,俺は次の授業があるからパスね
DJ,へいへい――さ、行こうぜ男‼
姉,なるほど、そんなことがあったのね
男,実際に体育館へ行ってみたけど、何もなかったよ
妹,へー。そうだ――私もこんなものを見たよ
男,これは……
妹,同じクラスの娘のつぶやきなんだけど。例の女の子の噂らしきつぶやきがあってさ。そこから辿ってみたら、他の人たちも同じようなつぶやきをしていて
姉,確実にこの大学……ひいては外の世界にも広がってしまっている。そういうことかしら
妹,うん。一部では昔流行ったチェーンメールっぽくなってるのもあるね
男,なんだこりゃ……廃墟の女の子は、自分をいじめた人間を探しに大学へやって来たって。もし彼女を見てしまったら私じゃありませんと言うこと――だって？。この情報をできるだけ多くの人へ回して下さい……。そんな馬鹿な
妹,そういう話になってるみたいだね
姉,……。あなたが遭遇した怪異は、人を伝っていく内に新たな怪異となりつつある
男,新たな怪異……？
姉,そう。もしかしたらこれは。怪異という現象が認知される、創り出されるプロセスそのものなのかもしれない
妹,噂が実体化、具現化している。君の話が、他の人間によって様々な脚色を加えられて。新たな話を創り出している
姉,そう、その話というのは……怪異のこと。あなたが遭遇した現象が他の人間へ伝わって、様々な尾ひれがついて。そして、その噂は女の子の幽霊という存在を生み出してしまったのよ
男,それはつまり……噂そのものが実体化、具現化してしまった。俺たちが女の子という存在を創り出してしまった……生み出させてしまった。そういうこと？
妹,そうだね
姉,ええ、つまり……あなただけじゃない
妹,これは私たち人間全員が等しく抱えている罪……ってところかな
男,罪……？
妹,まあ、罪って言ったら大げさかもしれないけどね
姉,罪……そうとも言えるわね
男,……？
姉,あなた、今度の日曜日は空いているかしら
男,あ、うん……
姉,あなたが少女と遭遇した場所へ案内してもらえる？
男,そ、それは……いいけど。どうして？
姉,何かヒントがあるかもしれない
妹,雰囲気を感じるだけでも何かアイデアが沸いてくるかもしれないしね
姉,そうね。それに、実際に被害が出てしまったわ。これはもう放っておける問題ではない。だから……よろしくね
男,うん。それじゃ、日曜日はよろしく頼むよ
姉,ええ。一応電話番号を交換しておきましょうか
妹,だね
男,おう
姉,廃墟……ということだったけれど、何か注意することはある？
妹,必要な物があったら、メールとかで教えてくれれば助かるよー
男,分かった。それじゃ後で連絡するから
姉,おはよう。待ったかしら？
妹,おっす。おまたせー
男,いや、俺もさっき来たから大丈夫。確かに、夏だけど長袖長ズボン、底が厚く動きやすい靴、危険を想定した装備とは言ったけどさ。ポニーテール、ミリタリーキャップ、ミリタリージャケット、ストレッチ性がありそうなジーパン、空挺部隊みたいな本格的ブーツ……。そして軍の放出品みたいなリュック、頑丈そうな腕時計。俺の説明が間違っていたのか……？
姉,何？その目は
妹,それにしても、君の格好身軽過ぎない？
姉,もしかして私たちに間違った情報を伝えたのかしら
男,いや、そんなつもりはない！。前回もこんな感じで大丈夫だったからさ……
妹,だったらそう言ってよー……。なんか私たち浮いてない？
男,いや、そんなことはない‼似合ってるよ‼
姉,本当に？
男,お、おう……。なんか、ごめん。しかし、スタイルがいいのでこれはこれで似合っているというか。様になっているというか……決して浮いてはいない。レディース、ミリタリーラインアップ――みたいな
姉,それじゃ、案内をお願いできるかしら
男,うん……。とりあえずここからちょっと歩くけど大丈夫？
妹,どれくらい？
男,数十分くらいかな
妹,おっけー
男,それと、姉さん……。そのリュックには何が……
姉,危険を想定した装備と言ったのはあなたよ。簡単な救急セットや水筒、L字型ライト、マスク、手袋などが入っているわ。本当だったらヘルメットも……。ミリタリーショップで揃えてきたわ
男,……。俺の説明が足りなかった。本当にごめん。お詫びというか……重そうだから、俺が持つよ
妹,あー、ずるい‼私のも持ってよー
男,それは……
姉,いいわ。そこまで重くないから。気持ちだけ受け取っておくわ
妹,それじゃー私のリュック、お願い！
男,えぇ!?。わ、分かった
姉,やっぱり――私のもお願い
妹,えー、なにそれ
姉,時間交代制で、私のもお願い
男,お、おう……
妹,えー、それどーゆーこと？
姉,あなただけ身軽にさせるわけにはいかないわ。これで全員平等よ
男,謎の理論。とりあえず、行ってみようか‼。とりあえず、俺はここで女の子を見た
姉,なるほどね
妹,なんだー、重装備する必要なかったじゃん。でも……なんかわくわくするね！。冒険してるみたい
姉,まったく。あなたはまだまだ子供ね
妹,姉が老けてるんだよ
姉,……
男,デジャブ。また現れたり……するわけないか
姉,そもそも、何がきっかけで彼女が現れたのか。それを突き止める必要があるわね
男,ここへ来たからといって、何かヒントが落ちてるわけでもないよな……
妹,そうとも限らないかも
男,え？
姉,そうね。せっかく現地へ来たのだし、もう少し調査してみましょう
男,それは、どうやって？
姉,確かいじめを苦に自殺したと言っていたわね
男,うん。いじめを苦にここで飛び降り自殺をした女の子がいて。その幽霊が出る――ネットのとあるサイトにそう書いてあった。ただの噂だろうけど
妹,でも、その女の子らしき幽霊が君の前に現れた。そうして一連の騒動が始まった
姉,そもそも、本当にそのような事件、事故があったのか。それが知りたい。だから、それについて調査しましょう
男,なるほど……。でも、どうしよう？
姉,まあ、聞き込みしかないわね。ここは温泉街だし、人が集まる場所といったら
妹,温泉やお土産屋さんだね
男,それじゃ、周辺の施設を周ってみるか。周辺の温泉施設や旅館、売店を周ること数件。有益な情報は得られぬまま……。妹さんのせっかくだから温泉入ろーよ！という一言で一風呂浴びることに。温泉から上がって、そして施設内の食堂で昼食をとっていた
姉,いただきます
妹,ふぅー、久しぶりの温泉、気持ちよかったねー。いただきまーす
男,いただきます……。俺から始まり、伝染していった今回の騒動。こんな呑気にしていていいのか……。結局、有益な情報は得られなかったな
姉,そうね……。だけど
妹,だけど、有益な情報がないことが有益な情報ってことだろうね
男,……？
姉,ええ、そうね
男,それは……
姉,みんな言っていたじゃない、そんな話は聞いたことないって。しかも、私たちより遥かに上の年代の方が言っていたのよ。長く生きていれば、それだけ様々な情報に通じているはず。観光客ではない、ここでずっと生きてきた人……旅館や売店で働いている人たち。そういう人が知らないと言っていたのだから、それは本当のことでしょう
妹,そして――あの廃墟自体については。ただ単に経営難で潰れちゃったみたいだし。そういうスポットによくあるような、借金を苦にオーナーが自殺とか、そんな後ろめたい話もなかったわけだし
男,ということは。女の子の自殺などなかった。そもそも、そんな女の子は存在すらしていなかった。だったら、俺が見た女の子は一体……。ただの、目の錯覚だったのか？。それに私を忘れないでってどういうことだ？。……
姉,ここへ来た甲斐があったわ
男,……？
姉,答えが見えてきたような気がする
妹,うん
男,どういうこと？
姉,そうね……。まあ、今は食事に集中しましょう。そしたら、帰り道でどこか落ち着ける場所へ寄りましょう。そこで話すわ
男,うん……。わかった
姉,つまり、あなたが言った通り……廃墟から飛び降りた女の子なんて存在していなかったということよ
男,ああ……。だけど、それじゃ俺が見たものは一体
姉,そうね。私たちは――
妹,踊らされていただけ。そういうことでしょ？
男,踊らされていた……？
姉,ええ。情報に踊らされていた。火のないところに煙は立たない――とは言うけれど、全てがでっち上げだったのよ
妹,廃墟や心霊スポットにはつきものだね。誰かが、あの場所を心霊スポットにしたかったのか……それとも、そんな意図すらなくて、ただ適当にいたずら心で嘘をついただけだった
男,それが、現実になった？
姉,ええ、全てが嘘。虚像よ
男,虚像……
姉,でも、あなたが見た少女はまだ本物に近かった
男,それって……？
妹,怪異とは私たち自身。私たちが発する言葉は生きているの。いじめを苦に自殺した少女――その噂が現実になってしまった。その噂が、嘘が、誰かの口から放たれたその瞬間、意思を持ってしまった。その意思は廃墟の少女となって、人を伝い、より現実へ近付いて行く。災厄になってしまうかもしれない
男,災厄……
姉,私たちが好き勝手な言葉を吐けば吐くほど、彼女はその言葉通りの存在となる。少女は被害者なのよ。この世に存在しない少女は、私たちから怪異であるというレッテルを貼られてしまった被害者ってこと
男,被害者……。噂が広まれば広まるほど、女の子はその存在へ変貌していく
姉,ええ。いじめた人間を探しに大学へやって来る。少女を見てしまったら、私じゃありませんと言うことで回避できる。しかし、この話を知らない人間へ拡散させなければ……呪われる。そういう存在へ変わってしまう。彼女は怪異になってしまった。私たちによって怪異にされてしまった。嘘から出たまこと――まことちゃんよ
男,……
妹,そのネーミング、センスないよ
姉,……。あなたが見たネットの書き込みが最初かどうかは分からないけれど。いじめを苦に飛び降り自殺をした少女……その書き込みが、そういう存在を生み出させてしまった
妹,そして君があの廃墟へ潜入したときに、その存在と出会ってしまった。更に、君がその存在を無意識のうちに広めてしまった。少女は多くの人間の言葉によって、より怪異へ近付き、怪異そのものへ変貌していく。少女はまことちゃんへ変わっていく
男,だったら……どうすれば
姉,だけど、あなたはこの真実を知っている。ただ……全ての真実が、真理が欲しいなら。あなた自らの手で掴みなさい
男,掴む……
姉,ええ。私たち自身が怪異
妹,そして、私たちの言葉は生きている。私たちの言葉は怪異そのもの
姉,ただ、その真実は誰も知らない
妹,知っていたとしても、知らないフリをしている
姉,誰も自分が生み出した言葉の、怪異の責任を取ろうとはしない
妹,現実の世界でも、匿名の世界でも
姉,無責任な言葉は、無責任な怪異を生み出す。唐突だけど――世界は便利になったわ。このスマートフォン一つあれば、自分の知らない世界を覗くことができる。だけど、それは本当の世界なのかしら？
男,……
姉,便利さに縛られて、便利さに利用されている。その先にあるのは不便よ。もしかしたら、このスマートフォンに人間が制御される時代が来るかもしれないわね。心の距離は離れてしまったのよ。結果、無責任な言葉が氾濫してしまった。もう止められないわ
男,止められない……
妹,物の温かさ、冷たさ――そういった生きている実感を知らないで、私たちは知ったような顔をしている。端末一つあれば様々な世界を知ることができるけど……それは本当の現実なのか。真実はその目で、その手で確かめない限り、本当の真実にはならない。言葉は投げっぱなしで戻ることはない。まことちゃんという存在を生み出しておいて、あとは放置。生み出した本人はすぐに忘れるだろーね。自分の言葉を放置して、責任も放棄して、忘却の彼方へ葬り去ってしまう。まことちゃんはそうして好き勝手に作られて、消されて、忘れられていく。誰もその責任を取ることはない
姉,もしかすると……これは、そんな私たちへの復讐なのかもしれない。彼女の悲痛な叫びなのかもしれない。私を忘れないで――それは、まことちゃんという虚像を好き勝手に作っておいて、責任を取ろうとしない私たちへ向けた言葉なのかもしれない。私のような存在が増えないように。私という存在を覚えていて欲しい。そんな願いなのかもしれない
男,……。願い……
姉,まあ、説教臭い話はここまでにしておいて――責任は、私たちが取りましょう？
男,……
妹,このままだと、まことちゃんはもっと凶悪な怪異になってしまう。その前に……
男,責任……。どうすれば……。真実は自分の目で、手で、確かめる。言葉は生きている――そうだよね？
姉,ええ
妹,うん
男,つまり、今からでも遅くはない。俺の言葉も、真実になる。そういうことだよね
姉,そうね
妹,そう信じたいね
男,だったら――一つ、考えがある。頼む、課長‼
課長,いや、急に頼まれても……
男,来月の学院新聞はまだ完成してないだろ？
課長,そうだけどよ……。もう編集も大詰めだからなあ。今更記事を変更するわけにはいかないし
男,だったら、新聞会のサイトは!?
課長,うーん……
男,確か新聞会のSNSもあったよな!?。ちょい枠でいいから、つぶやいてくれよ‼
課長,何でまた、お前が？
男,ほら、俺がこの騒動を引き起こしちゃった感じはあるだろ？
課長,ただのデマが広がっただけだろ。お前のせいじゃない
男,でも、実際にパニック起こした人もいるんだし、今後増えるかもしれない。そうなったら大変だ‼。だからそうならない内に、俺が責任を取らないと‼
課長,うーん。確かにでたらめな噂だけど……どういうわけか進行形で大学内に拡散しているし、実害が出ちゃったし。大学側も当然それは認知しているだろうけど。それに……この噂をいつ掴んだのか。大手検索サイトのトレンドニュース欄に取り上げられたらしいし
男,だろ!?俺もそれは見たぜ‼
課長,でも、責任って言ったって、どうするんだよ？
男,うちの新聞を使って、俺が編み出した対処法を拡散させるんだ‼
課長,対処法って……。新聞を作ってる人間として、でたらめは流せないんだぞ
男,これはでたらめじゃない‼信じてくれ‼
課長,それに、最終的に決定するのは編集部だ。俺じゃない。俺の独断で情報を発信することはできないんだ
男,だから……頼む‼そこんとこ掛け合ってもらえないか!?。SNSでつぶやくだけでもいいからさ‼お願いだ‼。俺に取材したという形で発信すれば、全責任は俺に来て、批判も俺に集中するはず。もしくは民俗学研究室の名前で発信すれば大丈夫だ。そうすれば新聞会に火の粉はかからないはずだ。そして、もしこの対処法が広まって……成功すれば。それを発信した新聞会と、情報を持ち込んだ課長は一躍立役者だ‼頼む‼。全ての責任は俺が取る。失敗したら切腹する覚悟だ。というか、もうここにはいられない。大学を辞める‼
課長,そ、それは流石にやり過ぎだろ……。……。オオカミのラーメン
男,え？
課長,麺処オオカミのラーメン大盛、トッピング全部乗せ、ライス、餃子。それで手を打とう
男,――マジか!?
課長,ただし、成功する確率は極めて低いぞ。掛け合うだけは掛け合ってみる
男,……。よっしゃー‼サンキュー‼ありがとう‼。さすが課長、男前‼イケメン‼メガネ‼
課長,ちょ、うるせえ‼。それで――対処法って何だよ
男,それは――。――これで良かったのかなぁ
姉,ええ、良かったのよ
妹,救世主だねー、救世主
男,言葉は生きている。言葉は怪異。そのヒントで思い付いた。ああするしかなかったんだ
姉,ええ。少女を忘れること――それが解決策だったわけね
妹,女の子が現れた時にあなたのことは忘れましたと唱え続ける、思い続けること。そして、たとえ女の子が現れなくても……一日一回はそれを唱えること。あとは、その情報をできるだけ多くの人へ拡散させること
姉,彼女の願いは……彼女という存在を忘れないで欲しいということだった。しかし、あなたは忘れましたと唱えるように促した。それはつまり。少女を忘れるように努めることで、その都度少女を思い出させるということ
妹,女の子を生み出してしまった責任を思い出させること。そうして、みんなに責任を取らせる
姉,そういう方法だったわけね
男,うん……。忘れたいことに限って、意識しちゃって忘れられない。だからこうすれば、できるだけ多くの人間の記憶に、できるだけ長く居続けることができる。そう思ったんだ。でも、いずれは……完全に忘れられてしまう
姉,いや、ふとした瞬間に思い出すわよ。もしくは……完全に忘れ去られる。そうなって初めて、この怪異は解決したと言えるのかもしれない。彼女という存在が完全になくなって、なかったものになれば。あるべき場所へ、空虚の世界へ還ったということになる
妹,それが正解なのか、それとも――。いずれにしても、君の情報は学院新聞のウェブサイト、SNSを通じて拡散された。そして、それから……女の子を見たという人は出てないみたいだね。騒動も収まってきた
男,これで、良かったのかな
姉,ええ
妹,うん
男,そっか……
姉,それにしても、よく許可を出してくれたわね
男,ああ……。それは、友達に新聞会の奴がいてさ。こればっかりは、あいつには頭が上がらないよ。それに――民俗学研究室の名義を貸してくれて、ありがとう。勝手に名前出しちゃっても良かったの？
姉,ああ……まあね
妹,あそこは私たち専用みたいな感じだし、へーきへーき
男,教授とか……いないの？
姉,まあ……私たちのことは別にいいでしょ？
男,君たちは一体何者なんだ……
姉,……
男,まあ……二人も、今まで本当にありがとう
姉,いえ、こちらこそありがとう
男,え？
姉,怪異についてまた一つ知ることができたわ。そのお礼よ
妹,うん、ありがとね
男,そんな……
妹,さぁ、もう着いたし、早く屋上行こーよ！
姉,そうね
男,あ、待ってくれ――。――って、いるわけないよな
姉,……
妹,……
男,とりあえず――。いつか、この場所のように忘れられてしまうかもしれない。だけど、俺は絶対に忘れない。だから、さようなら……。まことちゃん。なんつって……。さて――行こう。ふぅ……。なんとか無事に終わって良かった
姉,そうね
妹,うん
男,ホントに、二人ともありがとう
姉,こちらこそ
妹,ありがとう
姉,……。そうね
男,……？
姉,あなたって面白い人ね
男,面白い？
姉,ええ。あなたといると、怪異が起こりそうな気がする
男,へ？。いや、それってまずいんじゃ……
姉,厄介事を持ち込まれるのは勘弁して欲しいけど。私たちから研究する分には問題ないわ
男,いや、俺が問題大ありなんですけど……
姉,だから……私たちを巻き込まないくらいに、怪異に遭ってくれる？
男,それって……どういうことだか意味が分からないんだけど
姉,まあ、あなたはこれからも研究室に来ていいわよ。特別に許可してあげる
妹,姉は性格悪いからね。標的にされたら終わりだよ。ドンマイ
姉,ちょっと……。性格悪いってどういうことよ。もうあなたの言葉は我慢できないわ。姉として成敗してやる
妹,逃げろー
男,ちょっと‼交差点で走るのは危ないって‼
???,――ッ
男,……。もちろんだ
