黒船来航から始まった,幕末
観柳,いいんですよ、金なら腐るほど持っていますから。しかし、スリとは感心しませんねェ。おそらくあなたにスリをやらせている大人がいるのでしょう？
弥彦,！
観柳,どうでしょう。私は実業家として、あなたと対等な“取引”をしたい。私がその大人をどうにかしたら、あなたは神谷活心流の門下生になる。いかがですかねェ？
弥彦,俺はこうして捕まっちまったんだ、仕方ねぇ……いいぜ
我介,いでぇぇよぉぉぉぉっ！
組長,足が、足がぁぁぁっ！
弥彦,す、すげぇ……！
観柳,さて、これで門下生になってもらえますね？
弥彦,……分かったよ。このブスに教わるのはシャクだけど、俺はもっと強くなりてぇからな！
薫,だれがブスよ！だれが！
観柳,では今夜は、私の“ぽけっとまねえ”で赤べこで歓迎会と洒落込みましょうか。だれですか、あなたは？
左之助,相楽左之助。裏社会での通称は喧嘩屋“斬左”。最強の維新志士であるアンタと喧嘩しにきたぜ
観柳,分かりました、受けて立ちましょう
左之助,へっ、さすがはガトリング斎。ハナシが早くていいねェ
薫,ちょ、ちょっと大丈夫なの、観柳！？
観柳,あの若者、並々ならぬ闘気を感じます。彼に少しばかり興味が沸きましたのでね
左之助,ぐああ……っ！。強え……！斬馬刀の間合いにすら入れなかった……！。これが──人撃ちガトリング斎ってワケかい！。だが……！。赤報隊を切り捨て、悪一文字に仕立て上げやがった維新志士なんかには。俺は負けねェ！絶対に負けられねェ！
観柳,赤報隊……
左之助,ざっけんな！憐れみのつもりか！？──殺せ！。たとえ殺されても、維新とか抜かしててめぇらだけふんぞり返るような。維新志士なんかにゃ絶対負けねェがな！
観柳,斬左さん、まだ維新は終わっていませんよ。形だけは新時代になったとはいえ、世には苦しんでいる人がたくさんいます。私は及ばずながら、そのような人々を一人でも多く救うために。金と“不殺”の弾丸をばら撒いているのですよ
左之助,…………。すんません、相楽隊長。俺はこの男に完全に負けちまいましたよ……
弥彦,すげェ……！俺も観柳みてえに心も体も強くなりてェ！
刃衛,うふふ。あれが噂に名高い“人撃ちガトリング斎”か……。是非とも、殺し合ってみたい、が。“不殺”だと？あんな腑抜けたガトリング斎を倒しても面白くない。一緒にいるあの女、ガトリング斎の女と見た！。あれをさらえば、ガトリング斎も本気にならざるをえまい。刀とガトリングガンという違いはあれど。人斬りは所詮死ぬまで人斬り、人撃ちは所詮死ぬまで人撃ち……。うふふふふ……
観柳,ふんふ～ん
薫,あら観柳、ガトリングガンのお手入れ？
観柳,ええ、少しでも調子が悪いと事故や照準のズレにつながりますからねェ。ガトリングガンで“不殺”を貫くには、定期点検が欠かせないのですよ。ところで弥彦君はいかがですか？
薫,あなたに刺激を受けたのか、熱心に稽古に取り組んでるわ。才能はあるし、根性も一流よ。ちょっとナマイキだけどね！
観柳,あのくらいの子供はナマイキなくらいが──。！？
刃衛,うふわははははははあ！。ガトリング斎！この女を取り返したくば、今晩零時ここへ来い！
観柳,斬奸状！あれは……もしや“黒笠”鵜堂刃衛！？。薫さんを返しやがれェッ！
薫,観柳！？
刃衛,結構結構、やはり幕末の頃に口調が戻っているな。人撃ちガトリング斎、勝負！
観柳,“様”をつけんか、無礼者めェ！！！
刃衛,ぐおおっ……！
観柳,女を人質に勝負を迫るたぁ、とんでもねぇイカレ野郎だ！。これだけでは済まさねぇぞ！刃衛、二百連発で粉々にしてやる！
刃衛,うふふ、それでいい。あの男と並び幕末最強と称された、ガトリングガンを味わわせてくれェ！
薫,だめェェェッ！！！
観柳,！
刃衛,！？
薫,観柳……あなたはガトリング斎、じゃないわ……。人撃ちに戻ったら、ダメ……
観柳,そうでしたね……。私は“不殺”を誓った流浪人兼実業家でした。思い出させてくれて感謝しますよ、薫さん
刃衛,待て……ガトリング斎！こんな結末、俺は認めんぞ！
観柳,あなたは人を斬る感触が忘れられず、人斬りを止められないそうですが。実業家たる私からしてみれば、人でなくとも肉は肉、大差はありません。いかがでしょう？ここはひとつ、斬る対象を人から牛に変えてみては？
刃衛,ふむ……一理ある。赤べこべこベコ。うふわははははは！。ん～む、この牛肉を斬る感触……いいね
妙,あの新入りの刃衛って人、ホントよく働いてくれて助かるわぁ。ちょうど料理人が不足しとったトコでねぇ
観柳,適材適所……これが“びじねす”における基本ですからねェ
薫,さすが観柳ね！
弥彦,ちょっと笑い声がうるせェけどな
左之助,笑う門には福来る。牛鍋屋はあれぐらい笑い声があった方が繁盛するってもんよ
観柳,左之助さん、あなたもたまには自分で勘定を払うようにしましょうね？
左之助,うぐ……っ！
恵,ハァ、ハァ、ハァ……
薫,きゃあっ！？
弥彦,なんだ、この女！？
左之助,道場破りってワケじゃなさそうだな
恵,ねぇ、ここには武田観柳っていう強い人がいるって聞いたわ。私を守って逃がしてくれない？
観柳,私は人々を守る流浪人であると同時に、実業家です。“りすく”を天秤にかけて行動を選択しますゆえ。私を動かすからには、あなたも洗いざらい全てを話してもらいましょうか
恵,分かったわ……全て話すわ。私の敵は──幕末最強の剣客なの。私を追っているのは、元維新志士、“人斬り抜刀斎”こと緋村剣心よ
観柳,バカな！私も元維新志士として彼を多少知っていますが。たしか明治政府の要職についたはず！
恵,えぇ、でも字は汚いし、廃刀令を無視するし、致命的な失敗を“おろ”でごまかすし。そもそもろくに出勤しないし、ってことですぐクビになったらしいわ。でもクビになった後、絶大な剣の腕で手下をかき集め、一大兵団を作り上げたの
観柳,……なるほど、そういうことでしたか
左之助,あの腐った明治政府を職務怠慢でクビになるたぁ、相当なヤロウだな
恵,そしてどこからか、てっとり早く金になるのは阿片の密売だと聞いて。阿片を精製させるため、医者である私をさらおうとしているの。さらに厄介なことに、最近は元御庭番衆の面々を仲間に引き入れたのよ
観柳,解せませんねェ……。御庭番衆は誇り高き隠密集団と聞いています。阿片が関わるような企みに乗るとは、到底思えませんが
恵,聞いたハナシだと、ヤツは“自分との対決”を報酬エサ。御庭番衆を雇ったらしいわ
弥彦,自分との対決？どういうことだよ？
観柳,……なるほど！。先の幕末において、江戸城が無血開城してしまったため。御庭番衆は一度も戦うことができなかった……。おそらく彼らは自分たちの強さを証明する機会に飢えていたはず。そこに、最強の剣客ともいわれた“人斬り抜刀斎”こと緋村剣心が。“自分に協力すれば、報酬として対決してやる”と提案すれば。御庭番衆は飛びつくコトでしょうねェ
弥彦,ひでぇ……
薫,なんてヤツなの……
左之助,ちっ、緋村剣心……とんでもねぇヤロウだ！
観柳,かつての彼は、超人的な剣の腕を持ちながらも。人斬りの罪悪感に人一倍さいなまれる心優しい青年だった。幕末と明治維新の激動が、彼を歪めてしまったのでしょうねェ。もし運命の歯車が少しでもズレていたなら──。私が彼のように、彼が私のように、なっていたのかもしれません……。緋村剣心、流浪人としても実業家としても維新志士としても。彼を放置しておくべきではない、と判断しました。神出鬼没の御庭番衆相手に“待ち”は愚の骨頂です。刃衛さんも連れて、こちらから攻め込みましょう！
左之助＆弥彦,おう！
剣心,恵殿はまだ拉致できぬのか？
蒼紫,ああ、だが物見をしていた般若からの報告によると。高荷恵から事情を聞いたガトリング斎たちが、この屋敷に向かっているとのこと。俺たちがそれを迎え討ち、高荷恵を奪略する
剣心,期待してるでござるよ、蒼紫
蒼紫,抜刀斎……。この任務が終わったら、約束を果たしてもらうぞ
剣心,もちろん。拙者、約束を破る気はござらん
蒼紫,ならばいい。そろそろ奴らが来る頃だ。お前の私兵と、俺の部下を配置につかせてくる
剣心,ああ、おぬしに全て任せる。四乃森蒼紫……“最強”の二文字にとりつかれ、つくづく哀れな男でござるな。ガトリング斎は拙者と並んで、幕末最強と謳われた男。いくら御庭番衆といえど、勝つことはできぬだろう。よしんば勝てたとしても、これまで奴らに与えた任務の中で。奴らの武器、戦法、弱点は全て見極めさせてもらった。一方、拙者は奴らに一切手の内を明かしてはいない。つまり、御庭番衆は拙者の敵ではござらぬ。ここで勝とうと負けようと、御庭番衆は滅びる運命でござる。かといって、さしものガトリング斎とて御庭番衆相手には手こずるはず。消耗したガトリング斎を拙者が斬り伏せ。神谷道場にいるであろう恵殿を拉致すれば、万事解決でござる
左之助,ここが緋村剣心の屋敷か
弥彦,でけぇ……
観柳,彼がまともな商売をしているはずがありません。おそらくは腕利きの大工などを刀で脅し、作らせたのでしょうねぇ
刃衛,刀を持つのは久々だな、うふふ
観柳,“殺し”は困りますよ、刃衛さん
刃衛,分かっているさ。お尋ね者になれば、牛肉を斬れなくなってしまうからな。それに殺さずとも、肉を斬る感触は十分味わえる
弥彦,ったく、こんなのが赤べこの料理人だなんて未だに信じらんねーよ
観柳,では皆さん、突撃いたしましょう！。どうです！？一分間に二百連発できるんですよォ！？
私兵Ａ,うぎゃあっ！
私兵Ｂ,足をやられたぁっ！
刃衛,うふわははははは！包丁も悪くないが、やはり刀はいい！
私兵Ｃ,ぐげっ！
私兵Ｄ,ぎゃふっ！
左之助,オラオラオラァッ！どきやがれぇっ！
私兵Ｅ,ぐわぁっ！
私兵Ｆ,ほげぇっ！
弥彦,俺だって、神谷活心流の剣士だ！
私兵Ｇ,何度も頭をひっぱたくな……うぐぅ
ひょっとこ,ここから先には行かさねぇぜ！
べしみ,喰らえ！
観柳,私相手に飛び道具で勝負とは、少々無謀が過ぎますねェ
べしみ,ぐあああっ！。ちくしょう、手足を的確に撃ち抜きやがった……！
刃衛,あちらのデカイのは、油のニオイがプンプンするねぇ。ガトリングガンじゃ引火するかもしれんな……俺が斬る
ひょっとこ,ぐは……っ！。炎を吐く暇すらねぇとはな……！
弥彦,御庭番衆をいとも簡単に倒しちまいやがった……！
左之助,さすがは元最強の維新志士に、元新撰組隊士ってとこかい
般若,私は御庭番衆密偵方、般若
式尉,俺は御庭番衆本丸警護方、式尉
般若＆式尉,次は我々がお相手しよう
観柳,……どうやら先ほどの二人とは、格が違うようですねェ
刃衛,面白い……あの般若面は俺に譲れ
左之助,んじゃ、あっちの筋肉バカは俺に任せてもらうぜ！
観柳,分かりました。では私はこの先にいる、御庭番衆の“御頭”を相手するとしましょう！。あなたが御頭、四乃森蒼紫ですねぇ？
蒼紫,そうだ。抜刀斎と戦うため、私怨はないが貴様にはここで死んでもらう
般若,キエエエエッ！
刃衛,紙一重でかわしたはずだが──。なるほど、あの腕の入れ墨が目測を狂わせているのだな。うふふ、こうでなくては面白くないっ！
般若,私は御庭番衆密偵方、般若！お前の剣術もすでに調査済だ！
刃衛,うふふ。ならばこれはどうかな？
般若,が、は……っ！。刀を背中に回し、持ち手を入れ替えるとは……！
刃衛,“背車刀”までは知らなんだか。だが、なかなか楽しいひとときだったぞ
左之助,ちぃっ！
式尉,俺の拳とお前の拳じゃ、俺の方が上のようだな
左之助,たしかにな……一発の威力じゃ、俺はてめぇに劣るかもしれねェ。だが観柳のおかげで、俺は新しい技を編み出したんだぜ！
式尉,こんな喧嘩屋が……乱打だと！？
左之助,てめぇの肥大した筋肉じゃ、こんな芸当は無理だろ！
式尉,くっ……俺様は全身凶器、武器は拳だけじゃねぇんだぜ！
左之助,うおおおおおっ！
式尉,あ……ぐぅ
左之助,へ……頑固親父譲りの石頭も、たまには役に立つもんだ……
蒼紫,勝負だ、ガトリング斎
観柳,小太刀ですか……。たしか通常の刀より小回りがきく分、防御力に長けるとか……
蒼紫,博識だな。防御に徹した俺の小太刀は、ライフルの弾すら防ぎきる
観柳,ならば、ガトリングガンの弾はどうでしょうかねェ！？
蒼紫,ぐああ……っ！
弥彦,すげぇ、やっぱ観柳は無敵だ！
蒼紫,さすがはガトリング斎……殺せ。でなくば、俺は抜刀斎だけでなく貴様をも狙うぞ
観柳,かまいませんよ、私はいつでも受けて立ちます。それに……あいにく弾切れになってしまいましたのでねェ
剣心,あれほど大口を叩いたわりに敗北とは、無様なものでござるな
蒼紫,抜刀斎……！
剣心,しかしながら、ガトリングガンを弾切れまで使わせたのは見事。褒美として、今から約束を果たしてやるでござる
弥彦,てめぇ！もうそいつは足を撃たれて、立つこともできねぇんだぞ！
剣心,童わっぱ
観柳,まずいですねぇ、この状況で緋村剣心が出てくるとは……。弾を補充しなければ蒼紫さんは助けられない……！。しかし、あの男がそんなスキを与えるとは考えられない……！
剣心,まずは動けぬ蒼紫を始末し、次にガトリング斎を斬る。童は半殺し程度にとどめ、落人群にでも放り込んでやるでござるよ
弥彦,ち、ちくしょう……ここまでなのかよォ！
式尉,ちょっと待ったァ！
般若,御頭の前にまずは我々御庭番衆が
ひょっとこ,てめぇの相手を
べしみ,してやるぜ！
剣心,負け犬が束になったところで、拙者の飛天御剣流は破れぬよ
般若,ガトリング斎。お前がガトリングガンの弾を補充して、抜刀斎を撃つのに何秒で足りる？
観柳,十五……いや、十秒あれば
般若,そんなに早いのか！？。ならば我々四人でなんとか抜刀斎を食い止めるから。お前は抜刀斎を狙ってくれ
観柳,……すみませんねぇ
蒼紫,般若！式尉！ひょっとこ！べしみ！
剣心,手負いで拙者に挑むとは、過信もいいところでござるな。だが、四人ともかろうじて生かしてはいる。そしてこうやってこいつらを、人質兼肉壁にしてしまえば──。いかにガトリング斎といえど、手の打ちようがなかろう
観柳,くっ……！
蒼紫,この俺が不甲斐ないばかりに……！
剣心,こいつらを殺されたくなくば、ガトリングガンから離れろ！
観柳,く、くそっ……！
剣心,おぬしがそのガトリングガンを購入する資金を稼ぐまでに。どれほど汗水流して働いたかは知らぬが──。並大抵の努力ではなかったはずでござろう。だが“陸の黒船”飛天御剣流の力さえあれば、働く必要など絶無！。刀でもって脅してやれば、金を払う必要など一切ないのだからな……。とはいえ便利ではあるから、これからは阿片で金をも掴み取るつもりでござるが。刀！これこそまさに力の証！。真の最強は拙者！死ぬでござるよ！
弥彦,観柳ッ！
観柳,薫さん、弥彦君、左之助さん、刃衛さん……お別れですねぇ……
剣心,がっ……！？
刃衛,うふっ……やはりこの感触、いいねえ
剣心,しくった！他に気を取られ、こいつのことを忘れていた……！
刃衛,うふわははははは！トドメはくれてやる、やれ！
観柳,感謝しますよォ、刃衛さん！
剣心,！。ま、待つでござるよ！た、助け──
観柳,命乞いなら、あなたのお好きな刀様に頼んでみろ！！！
剣心,ぐあぁぁぁ……！おろぉぉぉぉ……！
弥彦,さすが観柳……かろうじて“不殺”は守ったみてーだな
左之助,蒼紫たちは揃って行方をくらましちまったが、これであの女狐は助かったな
刃衛,一件落着といったところか
観柳,…………
弥彦,観柳、どうした？
観柳,私もどこかで一歩道をずれれば──。彼のような、非道な悪徳商人になっていたかもしれませんねェ
弥彦,そんなことねェさ！。仮になったかもしれなくとも、なってねぇんだから関係ねぇよ！
観柳,ありがとうございます……弥彦君
刃衛,さてとお前ら、これから赤べこで祝勝会といかんか。今日はいい肉を仕入れたからな。最高の牛鍋ができそうだ。道場で待ってる神谷の娘も呼んでくるといい
左之助,よっしゃあ！
観柳,たまには少しくらい勘定を払いましょうね、左之助さん
刃衛,最高級の霜降り肉だァ！。うふわはははははははは！
長岡,なんなんだ、この店は……なんなんだ、あの料理人は！？。どうやら……とても俺らの手に負える店じゃねえな
手下Ａ,そうっすよ、幹雄さん！ありゃ異常っすよ！
手下Ｂ,やめときましょう！あんなのと鉢合わせになったら絶対殺されますよ！
長岡,マジメに……働くとするか。あばよ、燕。色々と迷惑かけたな
燕,幹雄様も……お元気で
雷十太,武田ガトリング斎、吾輩と究極の殺人剣“真古流”を築こうではないか！
観柳,結構です
雷十太,ひぃぃぃっ！あ、危ないではないか！
刃衛,なんだ、このろくに人を斬ったこともなさそうな刀とツラをぶら下げて。殺人剣などとほざいている愚物は
雷十太,あわわわわ……！体が動かない……！
由太郎,先生がこんなに情けなかったなんて……俺、神谷道場に移ります
雷十太,そ、そんな……お前がいないと真古流の資金が……
左之助,とっとと出ていきやがれ！
雷十太,げぶぅっ！
津南,バカな！炸裂弾の導火線だけをガトリングガンで撃ち抜くとは！
観柳,バカはそちらです。こんなバカなことは中止し、今すぐ引き返しなさい
左之助,さすがは観柳、かなわねぇな。克よぉ……もっと隊長があの世で笑ってくれるようなやり方で。政府の腐ったやり方を正していこうぜ
津南,……分かった
観柳,では炸裂弾は重火器に詳しい私が、穏便に処分しておきましょう
左之助,ありがとよ
薫,なんなのよ、この人……！？
観柳,まさか、あなたは──斎藤一！？
斎藤,十年ぶりだな、ガトリング斎。十年という月日は抜刀斎もそうだったが、人を腐らせるには十分な時間のようだ
観柳,今さら、何をしに来たんです？
斎藤,思い知らせに来ただけだ。刀とガトリングガンという違いはあれど──。俺たちと貴様は敵同士ながら、“悪・即・斬”という正義を共有していた。おっと、貴様の場合は“悪・即・射”か。“不殺”となった人撃ちなどに、なんの意味も価値もない
観柳,あなたが何をいおうと、私はもう人を殺めるつもりはありませんねェ
斎藤,そうか、ならば──。お前の全てを否定してやる。行くぞ！。ぐおおっ……！
観柳,あなたらしくもありませんねぇ……なぜこんなマネを？
斎藤,うぐ……つい先日の大久保卿暗殺事件……。あれは……志々雄一派の仕業だ
観柳,志々雄！……あの男、生きていたのですか？
斎藤,危険因子として政府に処分されたはずだったが、奴は生きていた。そして明治政府を転覆させるため、京都を拠点に暗躍を始めている。俺は政府の密命を受け、貴様に志々雄討伐の要請をしに来た。と同時に……貴様の実力を見極めに来たのだ。だがいくらガトリングガンといえど、“不殺”では奴らには勝てん。もし志々雄を討伐する意志があるなら、“不殺”を捨て、京都に向かえ
薫,ねえ、行かないわよね！？。あなたは武田観柳なのよ！人撃ちガトリング斎なんかじゃないのよ！
観柳,しかし……志々雄は危険な男です。あくまで私利私欲のために動いていた緋村剣心とはちがい。その欲望に際限はなく、放っておけば日本中を喰らい尽くすでしょうねぇ。ですから……私は京都に行きます。ありがとう……そして、さよなら。私は流浪人兼実業家。また流れるのです。せめてもの詫びとして、全財産の半分をあなたに差し上げます
薫,──ってことなの！私も京都に行くわ！
左之助,俺も行くぜ！あのヤロウ、挨拶も無しに出ていきやがって！
弥彦,俺も行く！
由太郎,もちろん俺もな！
恵,私は患者さんがいるから、行けないわ
刃衛,うふふ……。京都か……新撰組を抜けて以来、行っていないが面白そうだ。是非、俺も行かせてもらおう。妙、無期限の休暇をもらうぞ
妙,しょうがない人やなぁ
燕,皆さん……頑張って下さい！
操,えーっ！？アンタ、蒼紫様たちと戦ったの！？
観柳,えぇ、その後彼らはどこかに行ってしまいましたがねぇ
操,蒼紫様とアンタ、どっちが勝ったのよ！
観柳,私ですよ、もちろん
操,ウソつけ！蒼紫様がアンタみたいな青ビョータンメガネなんかに負けるか！
観柳,ホントですよ、これでね
操,うわぁぁぁぁぁっ！？
観柳,それはさておき、あそこに村があります。休憩がてら寄っていくことにしましょう
操,なんかさびれた村だけど……ま、いっか。なにこれ……村っていうか廃墟じゃない！
観柳,ふ～む、人が全く見当たりませんねぇ
兵士,ここは偉大なる志々雄様が、政府のブタどもから勝ち取った土地！。余所者には、死あるのみ！
操,なんなのよ、こいつら！？
観柳,ほう、もしかして志々雄がここにいたりするのですか？
兵士,！
観柳,分かりやすい人たちですねェ
兵士,黙れ！余所者には死あるのみ！
志々雄,アンタがあの“人撃ちガトリング斎”か
観柳,はろぉう
志々雄,だが、“不殺”でこの俺を倒そうなんざ１００年──。ぐがっ……！。ち……ここは退くとするか
宗次郎,はい
尖角,ヴァアアアアアアアッ！。ぐぎゃあああああっ！
観柳,すごい足の速さですねぇ……。私としたことが、逃がしましたか……
斎藤,だからいっただろう。“不殺”では志々雄には通用せん、と
観柳,斎藤さん、あなたも来ていらしたんですか
斎藤,ふん。とにかくお前の中途半端な攻撃で、奴に火をつけちまったことは間違いない。奴は京都に着き次第、お前を倒すために動くだろう。俺に同行しろ
観柳,いえ、私は操さんとともに京都の御庭番衆と合流させてもらいましょう
斎藤,ほう……？そのイタチ娘、御庭番衆だったのか
操,だれがイタチよ！
斎藤,ま、駒が増えるに越したことはないな。では俺は一足先に京都に行く
観柳,分かりました。…………。やはり“不殺”では、あの悪鬼を止めることはできないのでしょうか……
操,ここがあたしの家よ！
観柳,これはこれは、立派な料亭ですねぇ
翁,おお、操！──と、そちらは武田ガトリング斎殿、ですな？
観柳,なぜ、私のことを……！？
翁,実は昨日、御頭である四乃森蒼紫が部下を連れて帰ってきましてな。東京での出来事は全て聞いております
観柳,ふうむ、なるほど
翁,あと、蒼紫と一緒にあなたの東京の仲間も来ておりますぞ
観柳,！
薫,ごめんね……来ちゃった
弥彦,挨拶も無しに出ていくなんてひどいぜ！
由太郎,俺、絶対足手まといにはならないよ！
刃衛,うふふ、話は聞いたぞ。志々雄真実……楽しめそうだ
観柳,皆さん……ご心配をおかけしました。ところで、左之助さんは来られなかったのですか？
刃衛,あのトリ頭は修業しながら来るといっていた。すぐ追いつくだろう
蒼紫,ガトリング斎、道中で操が世話になった
観柳,お久しぶりですねぇ
蒼紫,貴様には東京での借りがあるからな。我々も力を貸そう
観柳,御庭番衆が協力してくれるとは心強い。感謝いたします。これでこちらの戦力は整った……。あとは志々雄がどう出てくるか……
志々雄,方治、京都大火と東京砲撃は後回しだ。足にもらったこの傷は、俺自身の隙が招いたもの。今、宗次郎に各地に散った十本刀を招集させているが──。十本刀が集まり次第、まずは人撃ちガトリング斎とその仲間を仕留める
方治,……なるほど。ガトリング斎はガトリングガンの扱いに長けるだけでなく。一個人には不相応なほどの財力と、商人らしい合理的思考を備えると聞きます。放置しておいては、この先どんな邪魔立てにあうか分かりません。グズグズしていると、ますます力をつける恐れもある。精鋭で以って、一気に叩き潰すのが得策やもしれませんね
志々雄,決まりだな
由美,きゃああっ！？
方治,だれだ貴様！どうやってここまで入った！？
剣心,拙者は緋村剣心。おぬしらと同様、ガトリング斎と因縁がある者でござる
方治,な……！東京で逮捕されたと聞いたが、脱獄していたのか！
志々雄,顔を合わせるのは初めてだな、先輩。肩と足とガトリングガンで撃たれたと聞いたが、大した回復力だ
剣心,撃たれる瞬間、わずかに照準をずらしていたでござるよ。長時間は動けぬが、人を一人二人斬るくらいなら問題はない
志々雄,だが、東京で敗れたてめえがいっぱしの戦力気取りか？。悪いが、俺も弱者と組むってのはご免被りてえ。どうしても一枚噛ませて欲しいってんなら、なにか土産を──
剣心,……つい先日、師匠より飛天御剣流の奥義を会得してきた
方治,なんと！？
志々雄,ほう……おもしれぇ。いいだろう、同盟成立だ
観柳,なるほど……斎藤さんのいうとおり、彼に火をつけてしまったようですねェ
蒼紫,だが、決闘の方が無駄な犠牲を出さず、手早く決着をつけられるな
刃衛,こんな面白そうな祭り、もちろん俺も参加させてもらうぞ
左之助,俺も下諏訪で身につけた新技で、暴れてみせるぜ！。──にしても、客人一名ってのが少し気になるな
観柳,あの男が客と認めるほどの人物です。おそらく相当な使い手でしょうねぇ
才槌,ひょ～ひょっひょっひょっひょ！。来よったか！身の程知らずの蟻どもが！。ずいぶん頭数がおるようじゃが、このワシと不二にとってみれば。キサマらなど踏み潰されるだけの蟻に過ぎん！ここでまとめて──
不二,ぐおおおお……！
観柳,おやおや、あの老人も落ちて気絶してしまったようですねぇ
翁,ジジイ同士、ぜひ戦ってみたかったのに残念だわい
由美,ようこそいらっしゃいました。ここには九つの扉がございます。扉の中には、それぞれこちら側の兵が一人ずつ待ち受けております。もし全員を倒せたら、志々雄様のいる場所へ案内いたしましょう
観柳,中にいるのは残りの十本刀と客人、というわけですか
斎藤,ふん、こんな余興はさっさと済ませるに限る
刃衛,うふふ、俺はここにさせてもらおうか
蒼紫,俺はここだ
左之助,せっかくだから俺はこの扉を選ぶぜ！
般若,私はここにしよう
式尉,俺様はこっちだ！
翁,ワシはこっちの敵を相手しよう
弥彦,由太郎、俺たちはここにしようぜ！
由太郎,おう！
観柳,では私は、残るこの扉にしましょうかねェ
翁,おぬしがワシの相手か
方治,“百識”の方治……いざ参る！
翁,銃剣……！。くっ、十本刀のくせに銃なんて卑怯じゃわい！
方治,他の御庭番衆ならいざ知らず、とうに隠居した老人など私の敵ではない！
翁,たしかに……ワシは御庭番衆最強の座は、とうに蒼紫たちに譲った……。じゃが
方治,な……トンファーで弾丸を弾いた！？。し、しまっ──接近され──
翁,円殺轟鉤棍！！！
方治,げぶぅ……っ！
翁,御庭番衆“最恐”の座まで譲った覚えは、ない
式尉,俺様の相手は、鎌女ってわけかい
鎌足,あら、私は鎌女じゃなくてカマ男よ
式尉,ならお互い遠慮は無用……超重武器同士、派手にやり合おうかい！
鎌足,勝負あったわね。そして攻防一体の“乱弁天”……これで詰みよ
式尉,アンタのが技量は上だってのは認めよう。ならば俺はこの筋肉を信ずるのみ！
鎌足,な、なんですって！？
式尉,うおおおおおおおおおッ！。ぐっ……俺の体にまた傷が増えちまった……がな
張,御庭番衆が相手なら、出し惜しみはせえへんで。調べによるとアンタ、間合いをごまかす術が得意らしいが。この“刀狩”の張と“薄刃乃太刀”に、それは不可能や！
般若,くっ……！
張,ハハハハハッ！アンタの間合いの外からじっくりと解体バラ
般若,ならば──これはどうだ
張,な、なんやあのツラ！？
般若,今！
張,化け物ヅラで猫だましとは、せこいマネしおって……！──このダボがァッ！
般若,この勝負、冷静さを欠いたお前の負けだ。──砕サイ。私としても、この素顔をこんな使い方はしたくはなかったがな
弥彦,やたら天井が高い部屋だとは思ったがこんなのアリかよ！
由太郎,あれじゃ、こっちの攻撃は全く届かない！
蝙也,貴様らのようなガキが、俺の飛空発破を破れるワケがなかろう。後がつかえているんだ。さっさとくたばれ
