プロローグ,業務開始
会社員,いや……定期券をこうやってかざしてるのに、改札が閉じちゃうんだよ
駅員,ホントですか！？どれどれ……
会社員,ね？
駅員,ホントだ……。たしかにこの駅からの定期券なのに……。よぉ～し……。…………
会社員,いや……今日のところはお金チャージするか、切符買うから──
駅員,諦めるな！俺が意地でも開けてやる！
会社員,は、はいっ！
駅員,こうなったら力ずくで……！
会社員,なにもそこまで……
女後輩,なにやってるんスか、先輩！
駅員,おお、お前も手伝え！
女後輩,手伝え、じゃないッスよ！。ちゃんとここに“定期の期限切れ”って出てるじゃないッスか！
駅員,なにィ！？
会社員,あ、ホントだ……
駅員,──ったく、人騒がせな！。お客さぁ～ん、定期券に有効期限があることは常識でしょうに！
会社員,すみませんでした……
駅員,改札機！お前ももっと分かりやすく俺たちに伝えろ！
改札機,…………
駅員,お前も気づくのが遅すぎる！それでも駅の従業員か！？
女後輩,面目ないッス！
駅員,どいつもこいつも朝の忙しい時から足を引っぱりやがって……
駅長,一番足を引っぱってるのは……キサマだッッッ！
駅員,ゲ！？
会社員,ものすごい吹っ飛んでったけど、彼大丈夫なの？
女後輩,いつものことッス！
改札機,ザマア
ケース３,駆け込み乗車
学生,やっべ、電車来てやがる！
駅員,駆け込み乗車は危険ですからおやめ下さい！
学生,よっしゃ間に合った！
駅員,あのクソガキ……！いつもいつも駆け込み乗車しやがって……！。こうなったら……！
学生,今日も間に合ってみせる！
駅員,駆け込み乗車は危険ですからおやめ下さい！
学生,うわっ！？通せんぼすんじゃねえよ！
駅員,ここを通りたきゃ……俺を抜いてみな
学生,おもしれぇ！フェイントでかわしてやる！
駅員,ふん、そんなんじゃ到底俺は抜けないぜ
学生,バ、バカな！？残像が見えるほどのディフェンス！？。くっ、くそぉ～っ！
駅員,ヘイヘイ！どうした、どうした？電車が出ちまうぜ！？
学生,高校時代サッカーで全国まで行ったこの俺が……！
駅員,俺だって青春１８きっぷで全国行ったことあるぜ！
学生,ちくしょう……抜けない～！
駅員,そんなに抜きたきゃいい店紹介してやろうか？
学生,え、いいの！？
駅員,おう、学生時代いかがわしい店めぐりしまくったからな！
駅長,キサマら……なにをしておる
駅員,ゲ！？
学生,ひゃっ！？
駅長,他の客のジャマだ……消え失せいッッッ！
駅員,ね……？だからいったれしょ……？。駆け込み、乗車は……危険らって……
学生,はひ……。もう、二度としましぇん……
ケース４,立ち食いそば
客Ａ,…………
客Ｂ,…………
客Ｃ,…………
駅員,…………
客Ｄ,…………
客Ｅ,…………
客Ａ,…………
客Ｂ,…………
客Ｃ,…………
駅員,…………
客Ｄ,…………
客Ｅ,…………
客Ａ,っぷはぁっ！うまい！
客Ｂ,ごちそうさまでした！
客Ｃ,やっぱこの駅の立ち食いそばは絶品だわ！
駅員,まったくだ！
客Ｄ,…………
客Ｅ,ごっそさん！
駅長,仕事をサボって食べるそばは美味いか？
駅員,そりゃもう最高に決まってるっしょ！──ゲ！？
駅長,…………
駅員,え、駅長……
駅長,なんだ
駅員,せ、せめて……腹はやめて下さい！……せっかくのそばを吐きたくないんで
駅長,……よかろうッッッ！
客Ｄ,……いい上司だ
ケース５,電車遅延
中年,キミィ～、いったいいつになったら電車が来るのかね？
女後輩,すみませんッス！すみませんッス！
中年,謝られるだけじゃ困るんだよ、こっちも！質問に答えたまえ！
女後輩,えぇと……まだ未定……ッス！
中年,未定ィ～？そんないい加減な仕事があるかね、えぇ～？
女後輩,本当に申し訳ないッス！
駅員,ったく、あんなクレーマーオヤジになに手こずってんだ、アイツは。どれ……手助けしてやるか。まあまあ、ちょいとお客さん
中年,なんだね、キミは！？
駅員,いくら怒ったって、遅れてる電車が来るわけじゃないんだし。ちょいと待合室でお話しでもしましょうよ。そしたらきっと気も紛れるから、ね？
中年,まぁ……よかろう
駅員,じゃあ、ちょいとこっちへ……
女後輩,先輩……ありがとうッス！
駅員,よう
女後輩,あ、先輩！さっきは助かりましたッス！
駅員,ったく、あんなオッサンに手こずってんじゃねえよ
女後輩,面目ないッス！ところで、あのお客さんはどうしたッスか？
駅員,いやぁ～……なんかよく分からないんだけど、しゃべってるうちに。今度一緒にカラオケ行くことになっちまった……
女後輩,スゲェ！
ケース６,通過列車
駅員,まもなく列車が通過いたします。ご注意ください
客Ｆ,この駅って急行が止まらないのが不便だよな～
客Ｇ,ま、大した駅じゃないし、しょうがないんじゃね
客Ｆ,だな
駅員,！！！。今の言葉、聞き捨てならねえ！
客Ｆ＆Ｇ,！？
駅員,たしかにこの駅には急行は止まらない……。だが、止まらないのなら、止めてしまえばいいじゃない！
客Ｆ,止めてしまえば……って
客Ｇ,ど、どうやって……？
駅員,簡単だよ。俺が線路に立てばいい！
客Ｆ＆Ｇ,ちょっ！
客Ｆ,急行きたあああああ！
客Ｇ,おい、やめろって！早く上がってこいって！ひかれちまうぞ！
女後輩,死んじゃうッスよ、先輩！
駅員,心配すんな……。日頃から駅長のパワハラに耐えてる俺なら、電車にひかれたぐらいじゃ死なねえ！。……多分。これもこの駅に急行列車を止めるため……許せよ！
女後輩,理解不能ッスよ、先輩ィ！
運転士,！。なんで線路のど真ん中に人が立ってんだ……？しかも駅員……。あれは、自殺だとかそういうツラじゃない……。電車にひかれても生還する自信があるってツラだ！。そうか、この急行列車をこの駅に止めたい、とか考えてるんだな？。残念だったな！オレっちには通用しねえよ！
駅員,バ、バカな……。あの急行列車、ジャンプして俺をよけやがった……！
客Ｆ,しかも、なんてスムーズな着地……！
客Ｇ,おそらく、乗客は列車がジャンプしたことにすら気づいてないだろう……！
女後輩,すげえッス……！。だけど、これからもっとすごいことが先輩に起こりそうッス……
駅長,…………
駅員,ゲ！？
駅長,オイ、なんでキサマが線路の中にいる？
駅員,いや、あの、その……。こ、これには深いわけが……
駅長,もう何もしゃべるな……ワシが不快になる
ケース７,犯罪者
駅員,オラッ、こっちこい！
チカン,ううっ……
女後輩,あれ、先輩も悪い人捕まえたッスか？
駅員,ああ。このバカ、なにをトチ狂ったか俺のケツさわってきやがった
チカン,なんで男のケツなんかさわっちまったんだ……。間違えた……
駅員,──って、先輩もってことはお前も？
女後輩,はいッス！。アタシはアタシの財布を盗もうとしたスリを捕まえたッス！
駅員,へぇ、お手柄じゃん。ちなみにいくらぐらい入ってたんだ？
女後輩,てへへ、千円札一枚ッス
スリ,ちくしょう……千円しか入ってない財布のために捕まるなんて……
駅員,ってことはだ。俺は男にケツをまさぐられて──。お前は千円しか入ってない財布をスラれかけたってわけだ！
駅員＆女後輩,アッハッハッハッハッハッハ！！！
駅員,なんで、悪い野郎を捕まえてこんなみじめな気持ちにならにゃならねぇんだ！
女後輩,ホントッス！
駅員,今日はお前ら二人、血祭りだからな！覚悟しろよ！
女後輩,そうッスよ！アタシらをみじめにしたバツッス！
スリ＆チカン,ひいいいいいいいっ！！！
駅長,ほう、あのボンクラ二人もなかなか成長したではないか
ケース８,撮り鉄
オタク,おぉ～、この駅は穴場だなぁ～
駅員,なにやってんだ、アイツ？
女後輩,撮り鉄ってやつッスよ
駅員,なんだそりゃ？
女後輩,電車を撮影するのが好きな鉄道ファンのことッス！
駅員,ふうん……。でもあんな場所に陣取られてちゃ、ジャマでしょうがねえな。お客さん、場所を移動して下さいよ
オタク,なんでだい？
駅員,ここじゃジャマなんですよ。電車撮るんなら、もっとはじっこで──
オタク,ジャマ？。ボクはなにも通せんぼしてるわけじゃないし、ジャマになんかなってないよ！。ただ写真を撮ってるだけなんだからね！。ボクからいわせれば、キミの方がジャマなんだよ！
駅員,な、なんだとぉ～！？。ぐぐ……ナマイキな奴だ！血祭りに上げちまうか！？。いや、そんなことしても、よその駅に移るだけか……それじゃ面白くない。だったら……。…………
オタク,な、なにやってんだよ！
駅員,なにって……電車を撮ってんだよ。俺も撮り鉄になろうかなってさ
オタク,なにぃ～！？
駅員,お、いい写真撮れた。これからもいっぱいいい写真撮ろうぜ！な！？
オタク,う、うん……
駅員,おいっ、そこのオッサン！ジャマだ、少しずれろ！。俺が写真撮れねえじゃねえか！
オタク,…………
老人,あのぉ～、改札はどちらに？
駅員,あっちにいる女後輩に聞いてくださぁ～い。今、写真撮ってるんで
オタク,…………
駅員,お、急行きたあああああ！。ベストポジションを研究したかいがあったな！すっげえいいのが撮れた！。ほら見てくれよ！結構いい構図だろ、な！？
オタク,…………
女後輩,もう先輩ったら……なにやってるんスか！
駅長,待て
女後輩,駅長！？どうして止めるッスか！？
駅長,アイツはバカだが……バカなりに演じようとしているのだ。反面教師をな
女後輩,反面教師……ッスか？
駅長,仮に無理に撮影をやめさせたところで、あのオタクはよその駅に移るだけ。だから、ヤツはこの駅でオタクを改心させようとしているのだ
女後輩,！
駅長,ここ数日のヤツの怠慢は全てワシがフォローしておる。心配するな
女後輩,はいッス！
オタク,す、すみませんでしたっ！
駅員,……ん？
オタク,アナタを見てたら……ボクも今までずっとこんなことしてたのかなって……。これからはボク、もっとわきまえて鉄道を愛します！
駅員,ジャマだ
オタク,え？
駅員,そこにいると、俺がいい写真撮れねえだろうが！どけえっ！
オタク,おぶぅ！？
駅長,…………
女後輩,…………
駅長,オイ
駅員,だれだ……。俺の撮り鉄人生をジャマしようってのは──ゲ！？
駅長,どうやらミイラ取りがミイラになったようだな
駅員,あ、あのう……俺も鉄道を愛でる楽しさに目覚めたっていうか……
駅長,なら、キサマに最もふさわしい鉄をプレゼントしてやる……鉄拳をなッッッ！
オタク,３０メートルぐらい飛んでいきましたけど……
女後輩,なぁに、いつものことッス！
ケース９,傘
駅員,雨の日は傘の忘れ物が多いな～。あんだけアナウンスしてるってのに
女後輩,ホントッスねぇ……
駅員,ろくに使ってない新品もごろごろあるぜ。これかき集めて、次の雨の日にでも売ったら儲かるんじゃねえか？
女後輩,そんなのダメッスよ！駅長に殺されちゃうッス！
駅員,分かってるよ。ところで……傘を持ったらやっぱり必殺技したくなっちゃうよな！。アバンストラッシュ！
女後輩,うわっ！
駅員,牙突！
女後輩,ひっ！危ないッスよぉ！
駅員,こうやって口に一本くわえて、三刀流──
駅長,…………
駅員,……あ
駅長,なにをしておる
駅員,え、えぇとですね……童心にかえって、傘で必殺技を──。あ、そうだ！駅長も子供の頃は傘で必殺技とかやったでしょ……！？
駅長,むろんだ
駅員,ど、どんな技を……？
駅長,円月殺法だッッッ！！！
駅員,ぐぼォォォォォ！！！
女後輩,傘なのにすげぇ威力ッス！
ケース１０,駅構内トイレ
青年,げぇっ！また清掃中かよ～！。駅員さん、なんかここのトイレって肝心な時に清掃中の看板が出てたり。個室が全部埋まってること多くない？
駅員,たしかに……。今は掃除のおばちゃんがいない時間帯なのに、おかしいよな。俺もそのおかげで用を足せず、仕方なく女子トイレに入ったこともあったし。こりゃあ事件のニオイがするぜ！。──ってわけだ。お前はどう思う？
女後輩,そうッスねぇ……もしかしたら、オバケかも！──なぁ～んて
駅員,それだ！お前らしからぬ鋭さ！
女後輩,え
駅員,この駅もとうとうオバケが出るようになったか！。よぉ～し、今夜この俺がシッポをつかんでやる！
女後輩,は、はぁ……
駅員,もう終電は終わった……誰もやってくることはない。ここにいるのは分かってるんだ。出てきやがれぇっ！オバケ！
花子,なかなか鋭いわね、あなた。わたし、トイレの花子っていうの
駅員,ふん、ついに花子さんも駅に出張する時代になったか。いつもいつも清掃中の看板を出したり、個室の鍵を閉めたり。トイレでイタズラしてるのはお前だな！？
花子,そうよ
駅員,素直に認めるとはいい度胸だ……ここで血祭りに上げてやる！覚悟しやがれ！
花子,ちょっと待って。こんな夜遅くに決闘したって、イマイチ盛り上がらないわ。場所と時間を改めない？
駅員,うん……一理ある
花子,でしょ？ってことで、明日のなるべく駅に人が多い時間に。女子トイレに入って私は変態です！って叫んでちょうだい。そしたらまた出てきて勝負してあげる
駅員,いいだろう、勝負は明日だ！。私は変態です！。私は変態です！！。私は変態です！！！。おかしいな、出てこない。私は変態です！どうした、出てきやがれ！私は変態です！
女後輩,な、なにやってるんスか、先輩！
駅長,とっととあのバカを女子トイレから引きずりだせいッッッ！
駅員,よくもだましやがったな！
花子,きゃははははっ！
駅員,お前のせいで、俺は駅長に半殺し……いや１０分の９は殺されたんだぞ！
花子,まさかホントにやるなんて……お兄さんってホントバカね！
駅員,なんだとぉ……！。このガキ、覚悟しやがれぇっ！
花子,こっちだよ～
駅員,ぬりゃ！
花子,こっちこっちぃ～
駅員,うおおおおおっ！
花子,きゃはははっ！
駅員,ぬりゃああああっ！
花子,こっちこっち～！
駅員,どりゃああああっ！
花子,そんなんじゃダメダメ！
駅員,なんてすばしっこいガキだ……！俺も足には自信あるのに……！
花子,あ～、面白かった！
駅員,なんも面白くねえ！
花子,いっぱい遊んでくれてありがとね、お兄さん。これでわたし、やっと成仏できそう
駅員,成仏……？
花子,わたしね、生きてた時はいじめられっ子でね。みんなに学校のトイレに閉じ込められた時、どうにか出ようとして頑張ってたら。滑って頭打って死んじゃったの
駅員,とんだドジガキだな
花子,で、幽霊になっちゃって、色んなトイレを転々としてたってわけ。そしたらこの駅があんまりおかしいから、居ついてたのよ
駅員,この駅にはおかしい奴ばかりいるからな
花子,お兄さんは特にね
駅員,うるせえ！
花子,じゃあね！楽しかったよ、お兄さん！
駅員,…………。待て
花子,へ？
駅員,このまま勝ち逃げは許さん！。まだ朝までは時間がある……追いかけっこ再開だ！
花子,ちょ、ちょっと待ってよ、徹夜するつもり！？。それにわたしは成仏するってのに──
駅員,んなもん関係あるか！ガキに負けたまま終われるか！行くぞ！。うおおおおおおおおっ！
花子,きゃあああああああっ！
駅員,ぐぅ……ぐぅ……
駅長,オイ
駅員,……むにゃ？
駅長,こんなところでなにを寝ている
駅員,ゲ！？。ア、アハハ……！残業してたら眠っちゃったみたいで……！
駅長,バカめが……とっとと起きて顔を洗ってこいッッッ！
駅員,は、はいっ！。ところで、駅長
駅長,なんだ？
駅員,この辺に女の子、いませんでした？
駅長,いるわけなかろう
駅員,で、ですよね～。行っちまったか……。結局、とっつかまえることはできなかったな……
青年,ひえぇ～！またかよ～！
駅員,どうしました？
青年,お腹が痛いのに、清掃中の看板が出てるんだけど～！
駅員,え！？アイツは消えたはずなのに……。いやこれは──。清掃中じゃありません！？
青年,あ、ホントだ！手書きで“じゃありません”って書いてある！。紛らわしいなぁ～、もう！
駅員,…………。花子め……。多少イタズラの手口をぬるくしたようだが、まだこの駅にいるようだな。ふっふっふ、面白い！。俺たちの戦いはこれからだ！
花子,わたしたちの戦いはこれからよ、お兄さん！
ケース１１,キヨスク
駅員,よぉ、おばちゃん
おばさん,またサボりかい？
駅員,へへへ、まぁね。今は客も少ないしさ……。そうだな……ガムでももらおうかな。口がさびしいしさ
おばさん,あいよ！
駅員,やっぱり疲れた体には糖分が一番だよな～
おばさん,ついでにお茶もどうだい？
駅員,お、買う買う！
おばさん,あとお茶にあうおにぎりも
駅員,俺の好きな具を分かってるね～、おばちゃん
おばさん,それと週刊誌にも面白い記事があるよ
駅員,へぇ～、俳優の△△って不倫してたのか！
おばさん,ビールもどうだい？
駅員,お、いいねぇ～！
おばさん,ならツマミも必要だねぇ
駅員,うへへへ、そうこなくっちゃ！
おばさん,ほら、もう一本
駅員,ウイ～……最高だぁ……
女後輩,あ、先輩！こんなところでなにやってるッスか！。駅長が探してたッスよ！カンカンッス！
駅員,ゲ！？ど、どうしよう！？
おばさん,ほら、酔い止めとニオイ消し。あと赤ら顔にクリームも塗っておきな
駅員,おお、ありがとう、おばちゃん！。これなら言い訳さえうまくやれば、一発ブン殴られるぐらいで済むな！
女後輩,アフターケアも万全ッスねぇ、おばちゃん
おばさん,それが商売繁盛のコツってもんさ
ケース１２,ハト
駅員,ったく、ハトがあちこちにフンしていきやがる！
女後輩,掃除も大変ッスよねぇ……
駅員,いっそ爆竹かなんかで脅してやろうか
女後輩,ダメッスよ！そんなことしたらハトが可哀想ッスし、先輩も……
駅員,駅長にブッ殺されるだろうな……。う～ん、アイツに相談してみるか。──ってわけだ。花子、なんかいい知恵はないか？
花子,そうねえ……。だったらお兄さんがハトより怖い存在になればいいんじゃない？
駅員,なるほど！さすが、元イタズラっ子！いや現役か！
花子,失礼ね！前よりはずっとマイルドにやってるわよ！
駅員,悪い悪い。怖い存在ね……いっちょやってみるか！。ポッポォーッ！。ポッポッポォーッ！。ハトども、とっとと駅からいなくなれぇ～っ！
女後輩,なにやってるんスか、先輩！？鳥の仮装なんかして……
駅員,デカイ鳥になりすましてるんだよ！ハトを追い払うためにな！
駅長,なにを遊んでおるか……ッッ！
駅員,ゲ！？
子供Ａ,あ、トリさんだ！かわいい～！
子供Ｂ,わぁ～い！
客Ｈ,へぇ～、着ぐるみか。面白いじゃん
客Ｉ,この駅もついにゆるキャラ導入かな？
駅長,ぬう……ッッ
駅員,へ、へへへ……。たまにはこういうのもいいもんでしょ？
駅長,まぁ……程々にしておくように
駅員,ふぅ、助かった……。ようし、ハト追放作戦続行だ！。ポッポーッ！
ハト軍団,ポッポーッ！
駅員,ポッ！
ハト軍団,ポッ！
女後輩,すっかりハトと友達ッスねぇ、先輩
駅員,本当は追い払うつもりだったんだがな。だけどハト用の便所を作って、そこでするよう訓練したし、結果オーライだ
女後輩,さっきの整列なんか、まるで軍隊みたいだったッスよ！かっこいいッス！
駅員,そうかぁ？。軍隊か……。そうか！こいつらを利用すれば駅長に勝てる！。やい、駅長！
駅長,なんだ？
駅員,今日からこの駅は俺のもんだ！
駅長,ほう……
駅員,俺のハト軍団がアンタを倒して、俺がこの駅の駅長になる！勝負だ！
駅長,面白い……かかってくるがいいッッッ！
駅員,さぁ、行け！俺のハトども──。いない！？
駅長,どうした……来い
駅員,あっ、あははっ！さ、さっきのは冗談でして……
駅長,もはやワシは発車しておる……止まれぬわッッッ！！！
ハト軍団,ポッポーッ
女後輩,お～、ちゃんと先輩のしつけ通り決まったところでフンしてるッスねぇ。えらいえらい。アンタらを見てるとアタシもなごむッス。なんたってハトは平和の象徴ッスからねぇ……
エピローグ,業務終了
駅長,ご苦労だったッ！本日の業務は終了だッッッ！
駅員,やったぁ～！
女後輩,お疲れさまッス！
駅長,さてと……今日は久々に皆で楽しむとするか
駅員,へ？
女後輩,なにをするんスか？
駅長,ゲームをする
駅員,ゲ、ゲームってまさか……
駅長,決まっておろう……桃太郎電鉄だッッッ！
駅員,うおおおおおおおおおおっ！！！
女後輩,やったぁぁぁぁぁッス！
駅員,俺たちがやるゲームといったらやっぱこれですよねぇ！あと電車でＧＯ！
駅長,うむ。しかし、ワシが持っているバージョンは最大四人用だ。できればあと一人欲しいが……
花子,じゃあわたしも混ざる～っ！
駅長,ぬわッッッ！！？
女後輩,わっ！あなた誰ッスか！？迷子ッスか！？
駅員,迷子っちゃ迷子だな。迷ってあの世に行き損ねた幽霊だ
駅長,ゆ、幽霊ッ！？
駅員,この駅に住みついて時折悪さを働いてたみたいです。でももう俺がハナシつけといたんで大丈夫ですよ
花子,よろしく～！
女後輩,よろしくッス！
駅長,よ、よろしく……ッッ
女後輩,駅長ってもしかしてオバケ苦手なんじゃ……。それじゃ始めるッスよ！
花子,わ～いわ～い！
駅長,キサマらまとめて、ゲーム内で血祭りに上げてくれるわッッッ！
女後輩,アタシだって負けないッスよ！
駅員,やれやれ、俺は勝ち負けは気にせず、気楽にやらせてもらうよ。──と油断させておいて、絶対に勝ってやる！。ったく、この駅は変わり者だらけだぜ！
