国王,魔王に支配されて200年、人類は危機に直面している。様々な難関を弱冠16歳にして潜り抜けたそなたに勇者の号を与え―。魔王を倒し、この国を、この世界を救ってもらう。よろしく頼んだぞ、若き勇者よ
精霊,やった！勇者大好き！。わぁ…すっごい夕日…。ほら、勇者も早く来てよー！
勇者,待てって。…ん。人がいる。褐色の肌…南の国の人だろうか
青年,…静かな所だろう
勇者,え、あ、…はい
青年,こうしている間にもこの世界のどこかで命を落とす者がいるのにな。…此処にいると、そんな事嘘のように思える
勇者,…そうですね。こんなに美しい景色があったなんて…見られて良かった
青年,…勇者殿、と見受けたが
勇者,…はい
青年,何故旅に出ようと？
勇者,魔王を討ち、世界に平和を―
青年,そんな事訊いているんじゃない
勇者,……。…おれの両親は魔物に殺されました。魔物が憎い。憎くて憎くてしょうがない。…その思いだけで剣を振り続けました。それで手にしたのが"勇者"という称号…。笑ってしまいますよ、復讐のためだけに動く勇者だなんて
青年,そんなことはない、誰も笑いはしないさ。…俺も似たようなものだ
勇者,え
青年,いや、…長話が過ぎたな。俺はそろそろ行こう。…最後に言っておくが。憎しみは…憎しみしか生まないのだよ
勇者,……
青年,…頑張れよ、少年
精霊,……行っちゃったね
勇者,…。…
精霊,もー、何か言ってよ、勇者ぁ。…もう、帰る？
勇者,…いや。もう少しだけここに居るよ、この景色を目に焼き付けておきたいんだ
精霊,…ふふ、珍しい。本当に綺麗なところ…来て良かったなー。今日はいっぱい歩いたね！
勇者,ああ。でもお陰で良いものが見れたよ
精霊,また行こうね！
勇者,そうだな、その時は魔王を倒した時だ！
精霊,うん！じゃ、ロウソク消すよー
勇者,おう。…。…。…それでも。それでもおれは――
精霊,……勇者…。勇者！勇者！！起きて！！
勇者,Zzz...
精霊,勇者！！…もう！
勇者,くぁｗせｄｒｆｔｇｙふじこ。精霊お前っ…何しやがる！！
精霊,起きなかった勇者が悪いの！。それより大変なの！
勇者,？
精霊,近くの村が魔物に襲われたって…！！
勇者,なっ…！！。おばさん！
宿屋,勇者様…！実は近くの村で
勇者,はい、その場所教えてください！
宿屋,あ、ああ。北門から――
勇者,急ぐぞ…！
妖精,うん！
精霊,ひどい…
勇者,…。…ッ。……ぅ。ちくしょう…ッ！！。魔物め…。魔物めぇぇええええぇぇえぇぇえ！！！
村人,貴方は勇者様！助けに…
勇者,魔物はどこだ！！
村人,ひっ
勇者,魔物はどこへ行ったのかと訊いている、答えろ！！
村人,た、確か東の方へ…
勇者,東か…！！
村人,……あれが本当に勇者なのか…？
勇者,……
魔物M,…オイラが最後ってわけね
勇者,……
魔物M,ひどいよなぁ、ちょっと作物荒らしただけなのにさ。人間はすぐ怒って…仲間を殺して家もめちゃめちゃに荒らした。…その仕返ししただけなのにな
勇者,……だからどうした。魔物は魔物らしく滅べばいいんだよ
魔物M,はは、ホントにひどいな、人間
勇者,例の魔物共は倒してきました
村人,さすが勇者様だ…ありがとうございます。でも…うちの家族はもう…
勇者,……っ
精霊,さっきの魔物、抵抗しなかったね
勇者,だからどうした
精霊,倒してよかったのかな？
勇者,倒さなくてもいい魔物なんかいないんだよ
精霊,うーん……そうだけどさぁ…
勇者,次！。逃がすか！！。ふん
精霊,……
勇者,…
精霊,…勇者。ひどいよ…
勇者,なんだ、文句があるのか
精霊,魔物に戦う気は無かった！なのに、どうしてこんな……っ
勇者,魔物を殺して何が悪い？精霊は黙っておれに従えばいいんだ
精霊,…イヤ
勇者,お前はおれの従者だ、歯向っていいと思っているのか？
精霊,今の勇者になんか従いたくない
勇者,……勝手にしろ。おれはもうお前の力なんか必要ないほど強くなった。おれが生まれて17年になるか…ご苦労だったな。もうお前を見ることはないだろう。じゃあな
精霊,…もう知らない。…勇者の馬鹿！。勇者の馬鹿馬鹿っ。勇者なんか嫌いっ。嫌い嫌い嫌い、大っっ嫌い！！。勇者なんか…っ。…ぅぅ。ぅうぁぁあぁぁ…。勇、者ぁ…
魔物B,勇者が城内に侵入した模様です
魔王,ああ。…一人、か
魔物B,はい。次々にやられている様ですが…
魔王,ふむ、そうだな。これ以上被害がでるのは面白くない。魔物C
魔物C,はい、魔王さまー
魔王,下の魔物達を避難させろ
魔物C,了解！
魔王,勇者の相手は魔物B。…それと魔物Dに
魔物C,わかりました
魔物D,…はい
勇者,急に魔物がいなくなった…どうやら歓迎されているみたいだな。…このいかにもって感じの扉か
魔物B,ようこそ魔王城へ。私魔王陛下直属の部下、魔物Bと申します
魔物D,同じく魔物D
勇者,ふん…今までの魔物よりは強そうだな。でも今のおれには関係ない！すぐに殺してやる！
魔物D,……。…魔物Bさん、私が先に
魔物B,わかりました。お気をつけて
魔物D,…
勇者,お前からか。かかってこい！
魔物D,…。…貴方は何故魔物を倒すのですか？
勇者,そんなの決まっている、魔物が人間を傷つけるからだ。だからおれは魔物を殺す。魔物を滅ぼす
魔物D,…。…貴方は私を倒すべきではない
勇者,なんだ、この期に及んで命乞いか？…笑わせるな！！
魔物D,…ひどく後悔することになりますよ
勇者,知るか！！おれは今まで数えきれないほどの魔物を殺してきた！。今さらお前みたいな魔物殺したところで何とも思わないんだよ！！
魔物D,…ぅ
勇者,ふん、大したことないな。次はお前の番だ、魔物B
魔物C,あぁ…やってしまいましたね
勇者,あ？。……え。……嘘だ。嘘だ嘘だ
魔物B,…嘘ではありません
勇者,やめてくれ
魔物B,彼女は
勇者,言うな言うな言うな言うな！！
魔物B,…人間ですよ
勇者,あああああああああああああああああ
魔物B,彼女は言いましたよね。後悔する、と。貴方が冷静になっていれば気づけたかもしれないというのに
魔王,…魔物Dは死んだか
魔物B,はい。勇者の始末は？
魔王,城の外にでも捨てておけ
魔物B,？実験材料にはしないので？
魔王,ああ。人間を殺した勇者というのがどういう行動をとるのか楽しみだ
魔物B,…相変わらずですね
魔物C,じゃあ報告しまーす。勇者はあの後国王の所に行ったみたい。それで、城に入ったにも関わらず魔王さまを倒さなかった事と…。魔物D…人間を殺してしまったことを自白。そのまま抵抗せずに城下町の牢獄に。多分、極刑なんじゃないかな
魔王,…そうか、勇者も正直なやつだ。予想通りと言えばそうだが、つまらないな
魔物B,実験材料にした方が有意義だったかもしれませんね
魔王,はは、まぁそう言うな
魔物C,あと…
魔王,？
魔物C,あ、いや、何でもない…です
勇者,……。…魔力を封じる手錠、ね…。…こんな物なくたって、魔法なんかほとんど使えないのにな。剣がなければおれもただの人間…。…いや、ただの人殺しか。…魔物と一緒じゃないか。…ん。ネズミか…昔はネズミすら怖かったな
ネズミ,こんばんわ
勇者,…。……ん？今こいつ…
ネズミ,今からアナタを誘拐するから…。ちょっとだけ眠っててもらうよ
勇者,…え？ちょ。……。…ここは…
魔物A,よう、お目覚めか
勇者,！魔物…！！
魔物A,まあ、そう身構えるな。丸腰で何ができるってんだ
勇者,…！。…おれを殺すか？
魔物A,さあな
勇者,目的は何だ？
魔物A,知るか
勇者,…
魔物A,…おい魔物C、起きろ
魔物C,ん～？まだ真っ暗じゃん、寝させてよー
魔物A,客が起きたぞ
魔物C,うー
勇者,お前がおれを攫ったのか？
魔物C,そ。一人で人間運ぶの大変だったんだから
勇者,…。…魔王の命令か？
魔物C,こんなこと魔王さまに知られちゃったら、あたし殺されちゃうよ
勇者,じゃあ誰の
魔物C,教えなーい
勇者,目的は？
魔物C,それも秘密。…今はね
勇者,…
魔物C,…とりあえず手錠外そうか
勇者,鍵がないだろ。これには魔法が通じないｋ。…
魔物C,この手錠は対象者の魔力のみ吸収するものでね、外部からの魔法には弱いんだよ。まあ術式知ってないと外れないんだけどね
勇者,…なんで知ってるんだよ。…手錠、外してよかったのか？
魔物C,どーせ武器も行くところも無いでしょ
勇者,…
魔物C,…あたしもう寝るよ、夜はもう本当眠い
勇者,え、ちょっと待っ
魔物C,また明日
勇者,…
魔物A,…ん、なんだ、魔物Cは寝たのか
勇者,…。…ここはどこだ？。魔物が普通に生活している村なんて聞いたことない
魔物A,そうだな。でもこの村に住んでる魔物はオレだけだ。かと言って人間が住んでるわけでもねえ
勇者,……？
魔物A,ここはメイオの村。…魔物と人間の混血種が暮らす村だ
勇者,…何の冗談だ？
魔物A,冗談じゃねえよ
勇者,信じれるわけないだろ…！
魔物A,無理に信じる事ぁねえ
勇者,…ッ。人間と魔物が…。そんなこと…
魔物A,…聞いたぜ、お前勇者だってな
勇者,…
魔物A,勇者っていやあ、魔物を無差別に殺しまくってるってやつだよな
勇者,…
魔物A,…この村に住んでるヤツの親もお前に殺されたかもな
勇者,…ッ。…お前もおれを恨むか？
魔物A,ああ、同胞を殺されて恨まねえ奴なんかいねえよな。…けど、無抵抗のヤツを殺しても嬉しくもなんともねえからな
勇者,…。…じゃあ魔物はなんで人間を傷つけるんだよ
魔物A,それは逆にこっちが訊きてえ事だな
勇者,なっ…
魔物A,オレ達魔物は別に人間を殺したくて殺してるわけじゃねえんだ。だが人間は魔物を見るだけですぐ殺そうとする。何もしなくてもな
勇者,…
魔物A,だから殺すんだよ。死にたくねえから殺す…単純なこった
勇者,…
魔物A,…話が長くなったな。…ガキはもう寝ろ
魔物C,おはよう勇者君、眠れた？
勇者,昼間に眠らされたおかげで全く寝られなかった
魔物C,へー大変だったね
勇者,誰のせいだよ。…混血種の村だと聞いた
魔物C,そ。魔族と人間の間の子とその子孫がね。例えば…あの人はゴーレムと人間の子。あの人なんかはバンパイアと夢魔と人間の3種が混ざってるんだよ
勇者,…どれも普通の人間にしか見えないけど
魔物C,一応村だからね。知らない旅人が来たら驚いちゃうじゃない。だから人間に変身させてるだけ。人間って単純だね、見た目が人間なら全く疑わないからさ
勇者,…。…！！魔王！？
魔物C,え！嘘、やばい！見つかったらやばい！。勇者君も隠れなさいっ
魔王,…。何をしてるんだ魔物C
魔物C,…。…なんで見えるんですかぁ
魔王,他の者と同じ魔法が通じると思うな
魔物C,…うぐ。こんな朝から何しに来たんですか？
魔王,なに、魔物Aの顔でも拝んでやろうと思ってな
魔物C,魔物Aなら外れの崖の上で寝てると思います
魔王,ああ
魔物C,…。あーびっくりした…まさか魔王さまが来るなんて。でも勇者君のことはバレてなかったね、良かった
勇者,…。…今のが魔王…？
魔物C,そ！人間に似てるけど、あれが素の姿なんだよ
勇者,…。嘘だろ…
魔物A,よぉ魔王、久し振りだな
魔王,たった10年じゃないか
魔物A,その10年はオレにとっちゃ貴重なんだよ。…情けねえな、お前が村に入るまで匂いに気付けなかったよ
魔王,随分遅いな
魔物A,鼻だけじゃねえ、もう彼方此方ガタついてきてやがる。生まれて500年近く…種族としては十分生きたけどよ。…死にたくねえよなぁ
魔王,…城に戻ったらどうだ、死期ぐらい看取ってやる
魔物A,お断りだ、それが嫌だからここに居んだよ
魔王,…ふん
魔物C,…あたしが勇者君を檻から出したのってさ
勇者,！
魔物C,アナタのお友達に頼まれたからなんだよね。精霊ちゃんってアナタのお友達でしょ？
勇者,…！！精霊が…！？
魔物C,何処に居るのか知らないけど、会ったらちゃんとお礼言わないとね
勇者,でも…おれ達は魔物の敵だと知っていたはず、なんで頼みを…
魔物C,うーん…。精霊ちゃんが若い頃のあたしに似てたから…かな。…とにかく！精霊ちゃんのこと、大切にしてあげてよ！
勇者,ああ…ああ…！。精霊…！
魔物C,ほら、そろそろ魔王さまが来そうだから隠れて！
勇者,精霊…！！
魔物C,魔王さま！もう城に帰りますか？
魔王,いや、まだ用事があるのでな。そこの人間…いや、勇者に話がある
魔物C,！！
勇者,…！
魔物C,……バレてましたか
魔王,ああ、最初からな
魔物C,…っ御咎めは受けます
勇者,！それは駄目だ！
魔王,敵である勇者を助けたのだ、罰を受けるのは当然だ。…そうだな、何にしようか
勇者,…っ
魔王,…では、城の掃除をしておけ
勇者,…！
魔物C,えっ…
魔王,何だ、嫌なのか？
魔物C,いえっ…ありがとうございます！！
魔王,塵一つ残すなよ
魔物C,もちろん！頑張ります！！
魔王,…俺達も場所を移すぞ
勇者,…
魔王,…此処で初めてお前に会った時、城に攻め込んで来た時、そして今…。人間というのは短期間でここまで顔が変わるのか
勇者,…おれを騙していたのか。…初めて会った時に何故おれを殺さなかった？
魔王,騙していたわけではない。…殺してほしかったか？
勇者,いや…
魔王,俺は俺を殺しにかかるヤツしか殺さない。…何よりこの場所を汚したくはないから…か
勇者,…魔物Aも同じことを言ってた
魔王,魔物Aがか。あいつも丸くなったものだ。魔物が憎いと言っていたが、…今でもそうか？
勇者,…わからない。本当に魔物自身から傷つけようとしないのなら悪いのは人間かもしれない。魔物に命まで助けられて…。でもおれの親を殺したのも村を襲ったのも事実だし…。…
魔王,迷っているのか
勇者,…。…この世界で共存することはできないのかな
魔王,何故そう思う
勇者,メイオの村には人間と魔物の間にできた人もいる。それに傷つけるから傷つけられるなら、人間も魔物も互いに平和的になれば…
魔王,出来ると思うか？
勇者,…きっと
魔王,無理だな
勇者,…何故そう言い切れる
魔王,お前は知らんだろうが、まだ世に魔物が出回っていない時…。つまり俺が魔王として君臨する前の人間はだな。国境だの権力争いだの、肌や目の色が違うだの信仰する神が違うだのと…。実に下らん理由で終わりのない戦争ばかりやっていた。同じ人間同士で、だ。平和のための戦争？笑わせるな。しばらくして俺が魔王になった。そしたらどうだ、人間共は一致団結し矛先を俺達に向けた。人間同士の争いのほとんどは無くなったわけだ。…魔物と人間で平和的に、などというのは綺麗事だ。人間同士ですら争いを止められないのに、出来るはずなかろう
勇者,……
魔王,どの世界も弱肉強食、強い種は弱い種を滅ぼし生き残る。それは自然の摂理だ。だが同種間で争うなど…。自らの種を滅ぼすようなものだ。まったく、愚かなものだよ。…お前が殺した魔物D
勇者,…ッ！
魔王,あいつは生まれつき目に光が無く、親に捨てられた
勇者,親が…！？
魔王,そしてまた別の人間が、己の欲のために手足を切断した
勇者,そんな…っ
魔王,それを俺が拾い、手足を治し、新しい目を与え、育てた。…あいつは相当人間を恨んでいたな
勇者,…っ
魔王,…結局人間も魔物も同じなのだよ。差など無い
勇者,…
魔王,…
勇者,…
魔王,まあ…悩めるうちに悩んでおけ、少年よ
勇者,…。子供扱いするな
魔王,俺から見たらどの人間もガキだ
勇者,…2，30代にしか見えないが
魔王,人間の尺度で魔物を計るな
勇者,…
魔王,さて、そろそろ魔物Cの様子でも見てくるか
勇者,…おれは？
魔王,知らん
勇者,…野放しにしていいのか
魔王,お前がどうしようがお前の勝手だ。…だが、俺は城で待っているぞ。答えを見つけて来い。お前の…いや。お前等なりの、な
勇者,答え…。…"お前等"？
精霊,…やっぱりあの人には私の事見えてたのかなぁ
勇者,！！。精霊…。精霊！！
精霊,わ！こ、こら、抱きつかないでよっ！潰れちゃう！
勇者,あ、ごめん。…本当にごめん。おれ、精霊にひどい事言ったよな。…見捨てられたと思ってたよ。…見捨てたのはおれだけど
精霊,…。…私は…。私は、勇者にどう思われていようと、見捨てたりなんかしないよ。勇者には何があっても死んでなんかほしくないから。私、勇者の従者だから。それに…。…
勇者,精霊
精霊,うん？
勇者,…ありがとう。本当にありがとう…！！
精霊,勇者が産まれた瞬間からずーと一緒にいるんだよ。当然の事をしただけだよ。…ふふ、こらこら、男の子が泣かないの
勇者,…
精霊,…。やっぱりここ、夕日が綺麗だね
勇者,…あァ、そうだな
魔物B,陛下
魔王,…ああ。来たか
勇者,…
魔王,ようこそ。待っていたぞ、勇者達よ。…お前達の答え、聞かせてもらおうか
勇者,…あれから…ずっと考えてたんだ。滅ぶくらいなら支配されたままの方が良いんじゃないかってね。だけど。この世界は人間が創り上げてきた世界だ。…エゴかもしれないけど。どんなに愚かで、破滅の道を進んでいようと…。他所から来たお前たちに介入させるわけにはいかない。だからおれは、魔王…お前を討つ！。勇者として…一人の人間として！。おれはもう…迷わない！！
魔王,…良い眼だ…面白い！
勇者,行くぞ！！
魔王,来い！
勇者,うおおおおおおおおおおお！！！
魔王,うぐ…ぉ…！
魔物B,！！陛下！。すぐに火傷の手当を…
魔王,…大丈夫だ。…部屋に入ってくるなと言ったはずだが
魔物B,はっ…申し訳ございません
魔王,…まぁ良い。…しかし…。また、失敗か…
魔物B,…その様ですね
魔王,うーむ、何が間違っているのか
魔物B,そもそも死んだ者を蘇生させるなどできないのでは？
魔王,その常識を覆すことができるのが魔法だ。現に失った肢体の復元魔法は簡略化にも成功した。不可能なはずはない。魔物C、精霊の方はどうだ？
魔物C,うーん、勇者が死んだ瞬間灰になっちゃって。どんな魔法使っても戻らないんです。やっぱり勇者が生き返らないと精霊も…
魔王,そうか…貴重なサンプルになると思ったのにな。はやく蘇生魔法も完成させたいものだ
魔物B,…どちらにしても、その勇者の死体は使い物にならないのでは
魔王,…そうだな、ここまで焼け爛れていては仮に生き返ったとしてもすぐ死んでしまう。……そうか、死んでからの時間も要因の一つかもしれない
魔物B,…研究熱心もほどほどに
魔王,うむ、次の実験台もとい勇者が来るまでは大人しくしていよう。ああ、命知らずの愚か者が来るのが楽しみだ
