・このSSは,静・ジョースターの奇妙な日常
クラスメイト,おおッ！本当かッオメェーッ！？あれ面白ェよなァーッ！！昨日の話もよ、メチャ気になる所で終わってさァァーッ！
双馬,ああ……そうだね。……まさか、最後にあの女性が自殺をするなんてねえ……
クラスメイト,そうッ！そこだよなッマジでェーッ！！主人公の不倫がわかってあんな行動とるなんてよォー、全然想像もしなかったよなァ～～ッ！！
双馬,ああ。……しかし、あの不倫相手の動きも気になる所だね。僕としてはやはり、不倫相手の昔の男が関係しているように思うよ
クラスメイト,おおーッ！いい所つくじゃあねーかッ！！オレも同じような事思ってたんだよォ～～ッ！やっぱよお、一番の謎となるのは――
双馬,……
クラスメイト,おはよォ～～ッス！！
双馬,おはよう。ああ、そうだね……
女生徒,あッ！そ、双馬君ッ
双馬,……
クラスメイト,おう双馬ァー。お前の相方の、図書委員が呼んでるぜッ
双馬,わかっているよ。言われなくとも
図書委員,お、おはようッ！双馬君ッ
双馬,……おはよう
図書委員,そのォー……元気？今日も……
双馬,……元気だよ。変わらず
クラスメイト,プクク……
双馬,……
図書委員,えーっと……あのね？今、私達の方で話してたんだけど……昨日見た？双馬君……あの人気ドラマ
双馬,ああ……見たよ、一応
図書委員,あ、あの！最後のシーンあったじゃないッ？それについて、双馬君とお話出来たらなァ～～って……思って……
双馬,あのドラマの事なら彼の方が詳しいよ
クラスメイト,えッ？お、オレェ？
図書委員,えッ……
双馬,うん、そういう訳だから。……僕は少し、お手洗いに行ってくるよ。それじゃあ……
図書委員,……
双馬,……
クラスメイト,ちょ……おいおいおいおいおいおーい。双馬ァッ。テメェー今のはちょいと無ェーんじゃあないの～～ッ？
双馬,何が？
クラスメイト,図書委員はさァ～～ッ、ドラマの話がしたいんじゃあなくって、オメェーと話がしたかったんだよーッ
双馬,へえ……そうなのか
クラスメイト,ったくよォー！オメーはホンット鈍感だなァー！そっち方面にゃちょっぴりうといオレにでも解るっつーのによーッ！
双馬,しかし、僕と話がしたいだなんて、相当な物好きだな
クラスメイト,物好きって……
双馬,僕と会話しても、得るものなんか無いだろうに……タネを植えていない鉢植えに、延々と水をかけるようなもんさ。時間の無駄ってやつだよ
クラスメイト,おまっ……ひょっとしてよォー、何も気付いてねーっつーのかよォ～～ッ！？
双馬,……何の話だ？
クラスメイト,いやッ！これ以上はオレの口からは言えねェーゼッ！お口チャックだ、チャックゥ～～ッ！オレッ何も言わないもんねーッ！
双馬,……ハア
クラスメイト,まッ！オレからは何も言えねえがよォ～～ッ、少しくらい、同じ図書委員として楽しく会話してやったほうがいいぜェ？最近毎朝話しかけてきてんじゃあねーか
双馬,……ああ、そうだな……
クラスメイト,しかし、羨ましいことだぜ……オレにもあんな可愛い子が……あ、いやいや！何でもねぇーッ！
双馬,……チッ。そんな事はとっくに気付いてるんだよ、このミソッカスが。……あんなにもハッキリとした行動、僕が解らない訳が無いだろいが……
クラスメイト,っとお、そろそろ教室戻ろうぜェ、双馬。歴史の授業が始まっちまうぜ
双馬,ああ。そうだな……。クソ、あの女め、僕はなるべく目立たなく生きたいだけだというのに、何故好意を寄せるんだ……僕は、静かに暮らしたい。……ただ、それだけなのに……
先生,はいィ～～ッ、皆さん……イキナリで悪いんだけどねェーッ。今日は少し、歴史の抜き打ち試験……を、やってもらおうと思いまーすッ
双馬,……えーっ……
先生,はいはい静かに、静かにィーッ！試験時間は40分。今から配るから、伏せたまま後ろの人に回すようにッ！おいそこ、何コソコソしてるんだァーッ？カンニングなんてしてみろ、先生マジッ、何すっかわかんないかんねーッ！
双馬,……フン
男子生徒,うわー、僕全然勉強してないよ。不意打ちすぎるゥーッ！双葉君、自信ある？
双馬,……いや、僕も全然自信が無いよ。苦手でね、こういうのは……
男子生徒,だよねえッ！そもそも歴史とかさあ～～、過ぎ去った過去に囚われるのってどうかと思うんだよね、僕。昨今の日本の動きを見ても――
双馬,……全く……。……本当に苦手なのは、苦手だという演技をする事なんだが……説明するのも面倒だな……
男子生徒,――っとと、双葉君。テスト配られてるよ
双馬,ん……ああ、ほら
男子生徒,ありがとう。じゃあ、お互い頑張ろう
双馬,ああ……
先生,よし、全員行き渡ったな？それじゃあ、始めーッ！
双馬,……。……やっぱりな。この試験……全く同じものを、一年前の3年生は受けている。手抜きしやがって、アホ教師め……どれどれ。……フーン、やっぱり問3はひっかけか。ここで大勢間違えるらしいな。……理解出来ないが……ここは僕も間違えておこう。……問4も正解率が低いのか？先生はしっかりと、ここがテストに出る事を言ってたと思うが……仕方ない、ここも間違えておくか。次は……ありゃりゃ？。……僕としたことが……ここの問題、間違えてるな……普通に。……歴史は得意だと思っていたんだが、クソ……僕に完全記憶能力があれば、間違わなかったんだろうに……。……気に食わない、が……ここも不正解にしておこう。これで平均点ギリギリか？少し上くらい？……今年の中学3年生は去年の中学3年生よりも頭が良いのかな？……うーん……。……んっ？。……
先生,……うーむ……
双馬,……
先生,……ふーむ……
双馬,…………
先生,……んー……
双馬,……僕がカンニングしているとでも思ったのか？ヘボ教師……口に出してそう言えばいいだろうに。腰抜けめ……。……去年の平均点は78点か……70点くらいを狙っていれば大丈夫だろう、うん……。昼休憩、か……どうしようかな、今日は……。学食かサンジェルマン……ドーナツでもいいが……学校から少し離れた所に、美味しい日本料理の店があるらしい。……そこでもいいな。たまには和食を食べたい。……マナーに少々うるさい店だと聞いてるが……。……まあ、僕ならいけるだろう。……たぶん
クラスメイト,おう双馬ァー。オメーどっか行くのかよ？
双馬,ああ……食事をしに、ね
クラスメイト,オメー昼いっつも一人だけどよォー、たまにはオレと一緒に食わねえかぁ？
双馬,……
クラスメイト,オレもコンビニメシだしよォー、弁当持ってきてる奴らと一緒には、食いづらいっつーかさァ～～……
双馬,いや、いいよ。……迷惑だ
クラスメイト,あーんッ？
双馬,いや……迷惑がかかるよ。僕は食事を終えたらすぐに、図書室に向かうつもり――
図書委員,あッ！双馬君ッ！
双馬,……
図書委員,今からごはん？それとも、図書室？
双馬,あー……そうだね、そのどちらかのつもりだったよ……
図書委員,あ、あのね！……そのォ～～ッ、双馬君がメーワクじゃあなかったら、で……いいんだけどォー……
双馬,……
図書委員,私もその、食事か図書室か！っていう感じでさ……よかったら、一緒に……ね？
クラスメイト,……プ、クク……おい双馬。オメェーどうすんだよッ？
双馬,……
クラスメイト,同じ委員なのに、近ごろ全然一緒に仕事してねぇーんだろォー？この機会にどうだよッ？エッ？
双馬,……あー……。……腹が、痛い
図書委員,……
クラスメイト,……えッ？
双馬,スゲーッ腹が痛い。病気かな？いきなりスッゴク痛くなってきたぞ。こいつはヤバいな……
クラスメイト,えっ……ちょ、お前……何ィ？何を言ってやがんだァ？
図書委員,そ、双馬君？お腹いたいなら、私が一緒に保健室へ……
双馬,いやッ！これはガマン出来ないな。付き添いなんか連れてる場合じゃあないぞッ。すぐに向かおう。……という訳だから。すまない――
クラスメイト,お、オイオイ双馬ァーッ。オメェーマジかッ！？マジなのかよッそれはァ～～ッ？
図書委員,ちょっ、待ってよ双馬君ッ！
双馬,イタタ、いやぁー痛い痛い……。うッ！？
？？？,痛ッ！
双馬,くっ……
？？？,いたた……
双馬,す……すまない、急いでいて……
？？？,ったく、いきなり何だってのーッ？
双馬,く……む、僕のメガネが……
？？？,もーッ、教室のドア開けるだけで生徒とブツかるなんて、中坊ってやっぱ元気に満ち溢れてんのね……落ち着いた大人の女性とは違うっつーかさァ～～……
双馬,ああ、そうだね……クソ、何処に飛んでった……？
？？？,けど、ま！……こうしていきなり、目的の相手と出会えたし……悪い事ばっかりでもないかもねーッ
双馬,……目的？
？？？,ちょっと双馬、何してんの？
双馬,……何？
？？？,ああ、メガネ落としたのね。ホラ、ここに落ちてたわよ
双馬,あ、ああ。ありがとう……
静,イエ～～イ、ファインサンキュー
双馬,……静、何故君がここにいる
静,メシ食いに
双馬,中学校が好きなのか？過去にしがみついてしまうタイプか？……そのまま母体にまで還ったらどうだ？
静,違うわよアホッ。中学で食うのが目的じゃあないっての
双馬,ふむ？自慢じゃあないが……僕は多少、記憶能力には自信があってね。……これに近い話、前にもしたことがあるよなあ？
静,あー、そうかもね
双馬,一応聞いておくか。……静、何しに中学に来たんだ？
静,アンタとメシ食いに
双馬,……全く……
静,ちょっと！もーッ、アンタそーやって一人で先々行くのやめろってのーッ！B型だろ？オメーっ絶対ェーにB型だッ！あたしと合わねーッ！
クラスメイト,……何だァ？あのおねーさんは？双馬のダチかよォ～～ッ？
図書委員,……
クラスメイト,メズらしーッ事もあるもんだなァーッ。なッ？そう思うだろ？図書委員よォ～～ッ
図書委員,…………
クラスメイト,……図書委員？
図書委員,……ええ、そうね……
静,おっ、ラッキィ～～♪窓の鍵開いてんじゃん。儲けたわね……ハハ
双馬,？……何の話だ？
静,双馬ァ～～、ちょっとさぁ、7月入って暑くなって、ガンガンに乾くと思わない？ノド……
双馬,ン！……ああ、まあそうだな。少し動いただけで汗をかくし、ノドくらい乾くさ
静,……ならその学生服脱げばいいのに
双馬,これはもう僕の身体と一体化している。脱ぐのは不可能さ
静,フ～～ン。ま、いっか。兄さんに聞いたんだけどさ、ここの体育館……。くっ、結構キツいわね。ちょっと双馬、そっちから押してくれないかしら？
双馬,おい、何をしている？窓に顔突っ込んで……
静,ここ、教師がお茶飲んで休憩すんのに使ってるらしいのよ。ちょっぴりお茶いただきましょう。……今もお茶っ葉あるのか知らないけど……。うぎゃあ！
双馬,……次からは足から入るんだな
静,うおっ、中は結構土埃がひっどいわ。あまり食事には向かないわね
双馬,……僕は中に入らないぞ
静,何でよ？ノリ悪いわねーッ
双馬,中に入って茶をくすねている所を、誰かに見られでもしたらどうするつもりだ？変なリスクは負いたくないんだよ
静,あっそ……じゃあ双馬、コーヒーと紅茶、どっちがいい？
双馬,おい、話を聞いていたか？
静,あたしが淹れてくるわよ。それを持ってきてあげる。それなら問題無いでしょ？
双馬,あのな、静――
静,ちょっぴり悪い事して手に入れた食べ物や飲み物って、何かすっごく美味しいのよねェ～～。それを知らないってアンタ不幸よ。タダメシってメチャうまいんだからさーッ。ビンボーくさい発言だけどォー……
双馬,おい、話を――
静,それともアンタ、もしかしてコーヒーをブラックで飲めないヤツゥ？おさとうとミルクをたーっぷり入れたお紅茶しか飲めませェ～～ン！ってェ？アハハハハハハハハハ
双馬,馬鹿にするなよ静。僕は深い味わいのエスプレッソ派だ。それ以外は認めないぞッ
静,わかったわ。コーヒーねェ～～。オッケーおけつよ。ちょっと待ってなさい
双馬,あ、オイ！……クソッ、あいつ……。……僕がこんな所でぼさっと突っ立ってるのを見られるか……あいつが教師に見つかるか……普通のアメリカンコーヒーを持ってくるか。……どれだろうな？僕がプッツンする原因となるのは……
静,んー、デリシャス。静ちゃんちょっと、飲み物入れる才能あるんじゃあないのーッ？いつでも喫茶店を開けるわね……
双馬,……成る程な。気を利かせたつもりか？
静,ん？
双馬,……アイスコーヒーを持ってくるとは意外だった
静,だって暑いじゃあないの
双馬,僕はッ！エスプレッソしか認めないと！！言ったばかりだろうがこの腐れ脳みそがァ――ッ！！
静,こんなちっぽけな中学校にそんなもん入れる設備があるかってのーッ！いいじゃん同じコーヒーだしッ！しかもヒヤッ！としてるしィィ～～ッ
双馬,味わいがな……コクが違うんだよ。全然……
静,あァーもうッイジけんなっての。結局飲んでるしよーッ
双馬,別にイジけてなんかいない。単純に悲しんでるんだよ……
静,ホラッ！あたし今日アンタのために、ドーナツ持ってきてあげたのよッ。お昼ご飯に一緒に食べましょう？
双馬,何？
静,どジャあァァァ～～～ん
双馬,…………何だ？この……不格好なドーナツは？
静,形は不格好だけど味は絶品よ。たぶん
双馬,今なんて言った？たぶん？
静,おそらく。きっと。絶対ィィーッ
双馬,……おい、これどこで買ったんだ？
静,買ったんじゃあないわよ。あたしの手作り
双馬,…………
静,あからさまにイヤそーな顔すんなッ
双馬,お前……静、お前……お前なあ。……何？何なんだ？何が目的だ？オイ？
静,家にあった小麦粉が古くなってたから作ったのよ。4個。どーせならアンタに食わしてやろうと思って
双馬,ゴミ処理か
静,アンタどーしてそんなヒネクレてんの？
双馬,いや……そう考えた方が気が楽なんだよ。双馬クンのためにいっしょうけんめー作ったんですゥゥ～～ッ♪とか言われたら、踏み潰して雑草の栄養にしていた
静,今は雑草に小麦粉ブチまいてたほうが良かったかもって思ってるわよ。いいから食うの？食わないの？……ドーナツなんてどお？夏ゥゥ～～
双馬,食べるよ。せっかくだし……ドーナツはドーナツだからな。……
静,どお？美味しいでしょ？あたしの手作りだからねェ～～美味しくない訳が無いわ。そうでしょッ？
双馬,……
静,？……何？
双馬,……
静,……何？食えっていうの？……アンタ一人で食べきっても全然いいのよ？遠慮しなくっても……
双馬,……
静,……何よ、もう……。……。…………
双馬,……
静,……あー……アレね。独特な味付けっていうか……うーん、ホラ！このほのかに香るチキン風味！昨日あたしが晩御飯に食べた唐揚げにクリソツ！普通は甘いだけのドーナツに、こんな斬新な味付けするなんてェェ～～ッ！……
双馬,……
静,……
双馬,……油は、新しいのを、使え……！
静,……今度から気をつける
双馬,全く、最悪な気分だ……目の前で自分の好きなロックバンドを馬鹿にされたような気分だよ
静,双馬、そのドーナツ高かったのよ！一人でバクバク食わないであたしにもよこせッ！
双馬,口直し兼謝罪の慰謝料分だ。僕一人で食う権利はある
静,全速力でそのドーナツ買ってきたので、慰謝料分はチャラでしょッ！あたしに食う権利もあるわよッ！
双馬,仕方ない……ほら
静,ああ、ありがとう……って、元々あたしが買ってきたやつだからなッ？
双馬,……こうして青空の下、ドーナツをかじっていると……
静,んー？
双馬,……嘘みたいに平和に感じるな。……今、この町には吸血鬼のメイが、弓と矢を持って逃げまわっているというのに、さ……
静,……そうね
双馬,……クソッ、あいつ……弓と矢は僕のものだったというのに……僕が使うつもりだったというのに……！！
静,その事なんだけどさ、双馬……
双馬,……
静,少し、言いにくい話……前に、弓と矢が一組、スピードワゴン財団の所に保管されてるって言ってたでしょ？
双馬,……ああ
静,えっと、ね……兄さんに頼んでみたのよ。承太郎さんにも。……弓と矢を少し、貸して下さいって
双馬,……
静,……ダメだったわ。取り付く島もなく。吸血鬼騒動で大変なこの時期に、貸せるわけがないってさ……
双馬,……そうか
静,……ごめん
双馬,仕方ない。……こうなったら、残る手段は……メイの手から直接弓と矢を奪うって事くらいか。危険な行動は取りたくないのだが……
静,……
双馬,それとも、アメリカまで向かうというのも手か？セキュリティは厳重だろうが、財団の人間はほとんどが一般人だろうし、スタンドを使えば……
静,……ねえ、双馬
双馬,……何だ？
静,アンタさ、そんなに……弓と矢って、そんなに大事なの？
双馬,ああ。大事さ。……ある意味命よりも
静,……弓と矢を使って、アンタのスタンドを進化させて……父親の情報を、さらに鮮明に映し出したいのよね？
双馬,進化という言葉は少し違う気もするが、概ね合っている。……僕のスタンド能力の先は、さらにはっきりと情報を取り出せるようになるはずだからな
静,……双馬
双馬,だから、何だ？
静,……あたしも、父親の顔は知らないわよ。……本当の父親の顔は
双馬,……
静,あたしは拾われた子だから……父親どころか、母親も……本当の家族の事は何も知らない。あたしには今、兄さんがいるけど、本当は姉さんがいたのかもしれない。けど、何もわからないの
双馬,……
静,双馬、アンタは……父親の事は知らなくっても、母親はいるんでしょう？母親から……血の繋がった親から与えられた名前を持っているんでしょう？……それでいいじゃあないの
双馬,……
静,あたしは……本当の名前すら、知らないのよ……
双馬,……いいわけ、無いだろ……
静,……？
双馬,いいわけ無いんだよ。僕は……父親に会わないといけないんだ。父親と話さないといけないんだ。……父親と、立たないとならないんだ。草原に……
静,……草原？
双馬,静、お前……今、幸せか？
静,えッ？
双馬,今お前は……静・ジョースターとして生きて、幸せなのか？と聞いている
静,え、いや……どうだろ？おじいちゃんが死んでからは悲しかったけど……今は、兄さんとこの町で過ごして……
双馬,……
静,……うん。楽しいわ。……よくわからないけど、たぶん。……辛いことも苦しいことも多いけど、やっぱりあたし、笑っていることが多いし……ね
双馬,……そうか
静,うん……
双馬,やはり、僕と君は違うな
静,……えっ？
双馬,……僕が幸せになるには……父に会わないと、ならないんだ……！
静,……双馬、アンタ本当に……
双馬,……
静,……本当に、メイから弓と矢を奪うつもりなの……！？
双馬,……
図書委員,ぐううううぅぅ～～ッ……うッ！うッ！！……ブツブツブツ。私の……私の双馬君に、近づきやがって……メスブタがッ！クソッ。何いちゃついてんのよ……離れろ、近いのよ……チクショウッ。ううっ、双馬君……双馬君ッ……！ブツブツブツ……どおして？こんなにも私、見てるのに……好きなのにィー。……私のものにならないなら……いっそ……ブツブツブツブツ……なによ、あのオンナ……。ブツブツブツ……ブツブツ……どうしようかしら……。あの泥棒猫にわからせてやるか……双馬君にわかってもらうか？……どうすればいいんだろう？ブツブツ……いっそ両方……。！！うッ……？
静,あッ、ゴメン。急いでてさ……悪かったわね？けど、曲がり角でボサっとしてるアンタも悪いのよーッ？
図書委員,……いえ……大丈夫です
静,ヤッバ！もう授業始まっちゃうじゃん！ノンビリしすぎたわね。ドーナツの魔力だわ……間に合えばいいんだけどォーッ
図書委員,あのォ、すみません。ちょっと……
静,？
図書委員,……イイですかぁあ～～？少しだけ、ちょっぴり……お話したい事があるんですよォ……先輩
静,何？今急いでるんだけど……アンタ中学生？この学校の？授業始まるわよ、ホラ！急がないと、アンタも……
図書委員,静かにして下さいよ、メス豚先輩ィィーッ
静,……。？な……！？何ィ？なんて言った？今、アンタ……えッ？
図書委員,あ、あああーッとォ、失礼……言葉が過ぎましたね？ごめんなさい……。私って、普段は大人しくってやさしくって、丁寧な言葉遣いなんですけどォ～～……自分の好きなものに関してだと、つい……感情的になってしまうんですゥゥー。……こういう事って、ありますよねェエ～～？
静,……
図書委員,ネッ？ありますよ……ネェェエ～～ッ？
静,……あるかもしれないけど……一応先輩には敬意を払うモンよ。いかなる時だってね
図書委員,はい。すみませェん
静,それで？何の話？あたし授業に遅れるのは避けたいのよね……しかも原因がドーナツ食ってたなんて、早人先生プッツンしちゃうわよ。マジに
図書委員,ああ、大丈夫です。話ならすぐ終わります。ホントに。……あの、静先輩……でしたっけ？
静,ええ。そうよ
図書委員,静先輩……やめてもらえませんかねェ……？双馬君に近付くの……
静,……
図書委員,迷惑なんですよ。すごく……私も、双馬君も迷惑してる。しっかり見ましたか？双馬君のイヤそうな顔……あのね、私って綺麗なものを見るのが好きっていうか、ある種の潔癖症、完璧主義者っていうかァ……逆に言うと、綺麗なものが汚れる所を見るの、大ッ嫌いなんですよねェー……ゲロはいちゃいそう
静,……
図書委員,だから、近付くのはやめて下さいよ。静先輩ィー……これだけ言っても近付くっていうなら、私……わ、たしィ……どうにかなっちゃいそう……！
静,……アンタ、双馬の恋人？
図書委員,こッ！恋人って、そんな！クラスメイトですよ、ただの。……ま、まあ……これから先、そういう関係になれたらイイなァ～～とは思いますけどォー……
静,違うの？まあそうよね、あんな偏屈ヤローに彼女なんか……
図書委員,……は？今、なんて……
静,あーっと、なんでもない。……アンタ名前は？何て言ったっけ？
図書委員,……野高……野高梨子ですけど
静,そう。野高さん……結論から言うと、答えはNO！よ
図書委員,……あ？
静,アンタがあいつの彼女っていうんなら、近付くな！って命令すんのはよくわかるッ。スゲーよくわかるわ。けど……彼女でも何でもないヤツに言われても、聞けないわねーッ
図書委員,……やっぱり……
静,何？
図書委員,やっぱり……先輩も、双馬君の事……好きなんですね
静,……はい？
図書委員,クソ……このビチグソ女が……私の双馬君を……狙いやがって。畜生……どうやってわからせてやろうかしら……
静,あの、野高さん？
図書委員,話しかけないでくださいよ、先輩……私と貴方は恋敵って奴ですよ？親しげに近寄って来ないで下さい……虫酸が走る
静,あのさァー、勘違いしているようだから言っとくけど……あたし、好きじゃあないからね？双馬の事なんか
図書委員,……えッ？
静,なんでこの静ちゃんが、あんなオタクメガネ好きにならないといけないのよ。釣り合わねーってマジに。あたしの好みのタイプは、若い頃の承太郎さんみたいな人よ？真逆よねェー
図書委員,だ……だったら何で！？。何で、双馬君と親しくしてるんですかッ！？先輩ィイーッ！
静,……何でって……友達と仲良くすんのに、理由なんかいるっての？
図書委員,！……
静,ん？いや……友達って言うのはなんか違う気がするわね……そんな薄っぺらいもんじゃあないわ。けど仲間っていうのも違うし……もっとこう……
図書委員,……先輩……双馬君と、どういう関係なんですか？
静,あー、そうね。わかりやすく言うと……秘密を共有する仲っていうか、お互い好き勝手言い合える仲っていうか……うん、やっぱり
図書委員,？……
静,あたしと双馬の関係って――
双馬,うーむ、買うとするならやはり、ドラム式がいいな。乾燥機能付きの。……しかしなあ……ちょいとバカ高すぎないか？クソ……。……また今度でいいか。しばらくは、近くのコインランドリーを使おう……。ん……？
那由他,あ、お兄さま。こんにちは、お兄さま。学校の帰りですか？
双馬,ああ……。今日もおつかいか？
那由他,はい。パパがお仕事で使うおさかなの注文を
双馬,注文？そんな事まで出来るのか
那由他,おさかな屋さんのおじさまは、やさしいので。といっても、パパからあずかった紙を、おじさまに渡すだけなんですけど
双馬,フーン……僕が君くらいの年の頃は、注文書ではなく母親のスカートのすそを引っ掴んでいたがな
那由他,パパもママも、お仕事忙しいので……あ、けどお家に帰るとですね。パパ、すっごく美味しい料理を作ってくれるんです。よしよしもしてくれますし
双馬,フーン……
那由他,あ、ごめんなさい。一方的に話してしまって……
双馬,いや……こちらこそ悪かったよ。無愛想な反応して……会話は得意じゃあなくてね。しかし、いくら親が忙しいとはいえ……こう一人で何度もおつかいに行くのはどうかと思うぞ
那由他,？……なぜですか？
双馬,危険だ。頭の狂ったオッサンにさらわれでもしたらどうする
那由他,ああ、それは大丈夫です
双馬,？……大丈夫だと？
那由他,はい。……あたし、ちょっぴり強いので
双馬,……。そういえば……どうしてお前、文房具屋の前にいる？そこに魚は売ってないだろう？
那由他,ああ、えっと。パパが、おつかいで残ったお金で、なんでも好きなものを買ってもいいって言ったんですよ
双馬,へえ……
那由他,500円くらい残ったんですけど……おかしを買おうか、おりがみを買おうか、ケーキを買おうか迷ってて……
双馬,ケーキ？
那由他,パパにあげるんです。いつもありがとうって
双馬,……
那由他,でもでも、おりがみで遊びたいし、おかしも食べたいし……決められないんです。グスン……どうしよォォ～～……
双馬,お菓子なら、そうだな……すぐそこのパン屋で売ってるドーナツを知ってるか？
那由他,ドーナツ？おいしいんですか？じゃあそれを……
双馬,いや、そこのドーナツを買って帰ろうと思っていてね。……少しでいいなら、君にあげるよ
那由他,えッ？いや、それはわるいです。お兄さまに迷惑かけてしまいます
双馬,あー……いや、あそこのドーナツは一箱にかなりの量入っているんだ。一人では到底食べきれなくってね。……少し食べるのを手伝ってほしいんだよ
那由他,……そういう事でしたら……
