さらには,世界征服には国民の意志の統一が不可欠
槍使い,よっ！
男,はぁっ！
槍使い,うっ……く！参った！
男,これで俺の１０連勝だな
槍使い,やれやれ、すっかり敵わなくなっちゃったなぁ。こっちは槍だってのに
男,いやいや、俺も槍使いのおかげで飛躍的に腕を上げることができたよ
槍使い,その磨いた腕で……倒してくれよ、帝国を！
男,なぁ、女剣士はなんで反乱軍に……？女性だってのに
女剣士,あら、女は反乱軍に入っちゃいけないの？
男,いや……そんなことはないけどさ。よほどの事情があったのかな、と思って……
女剣士,院には毎夜のように飢えた帝国兵がやってきて……私たちを──。今思い出しても吐き気がするよ……
男,…………。……悪かった。聞くべきじゃなかった
女剣士,ううん、いいの。こっちこそゴメンね、変な話して。必ず倒してね、帝国を！
弓兵,いやぁ～今日も君は大活躍だったね
男,弓兵の援護があったからだよ。けっこう危なかったしな
弓兵,ボクの力なんて微々たるものさ
男,ところで、弓兵は誰に弓を習ったんだ？
弓兵,父さんに習ったんだ。ボクにとって帝国は祖国ではなく、父の仇でしかない
男,そうだったのか……
弓兵,だからボクは帝国を倒すために働いている。君には期待してるよ
男,よう
甲冑,……何の用だ
男,甲冑って無口だからさ、たまには交流でも……と思って
甲冑,…………
男,俺たちは帝国に勝てると思うか？
甲冑,……帝国は巨大だ
男,！
甲冑,だが……。お前なら……何かやれるかもな
リーダー,どうかね、新しく入った彼は？うまい具合にいっとるかね？。ふむ、ありがとう。下がっていいぞ
班長,では失礼します
リーダー,そろそろ……だな
副リーダー,えぇ
班長,──というわけだ
男,武器庫への侵入ですか……かなり危険じゃないですか？
班長,他の戦闘班を援軍に頼んでも、おそらく足手まといになるだけだ
男,たしかに……
班長,危険な任務だが、やり遂げよう。必ず！。いつも通り、弓兵の一矢から突撃するぞ
男,はい
槍使い,ほいっ！
女剣士,うん、分かった
甲冑,……了解
弓兵,じゃあ、やるよっ！
男,これは……想像以上に配備されている兵が多い！。なんて数だ……。だが、もう引き下がれない！一気に武器のあるところまで駆ける！
帝国兵Ｄ,氏ねぇっ！
槍使い,ぐぁっ……！
男,槍使い！
槍使い,あうぅ……胸を刺され、たか……。こ、ここまでか……！あとは……任せたよぉ……
男,……うぅっ。くっそおおおっ！
班長,囲まれたか……！
男,こうなったら、みんなで固まってなんとか耐えましょう！
班長,ぬおおおおっ！
男,班長！
班長,……やれる。君なら……きっと……
男,班長ぉぉぉっ！。槍使いに続き、班長まで失った……。やっぱり、この任務は無謀すぎたんだ……！
女剣士,……そうだね
甲冑,……止むを得んな
男,くっそ……さっきと同じ状況になってしまった……！。ようしっ……三人で一丸となって、突破するぞっ！
甲冑,このままでは埒があかんな。攻撃を受けながらムリヤリ突き進むしかない
男,だが、そんなことしたら……！
甲冑,反乱軍われわれ。心配するな……そう簡単には氏なん
男,分かった、頼むっ……！
甲冑,……ごほっ、俺はもう動けん……
男,甲冑！氏ぬなぁっ！
女剣士,しっかりして！
甲冑,打倒帝国……この剣とともに託す……
男,ち、ちくしょう……
女剣士,こりゃもう……ダメかもね……
男,今度こそ……終わりか……！。弓兵！
弓兵,ご、ごめん……捕まっちゃった……
帝国兵隊長,ちっ、まだ息があったか！
弓兵,あ、とは……頼んだ、よ……
男,く、くそぉ……っ！。俺の命は、班のみんなによって生かされた……。今度は俺が女剣士の盾になる番だ……！
女剣士,はぁっ！
男,お、おいっ！
帝国兵隊長,俺さえ倒せば……って考えだろうが、残念だったな。俺の剣の腕は、そこらの雑兵とはワケがちがう
女剣士,あ、ぐぅ……
帝国兵隊長,おっと、浅手に抑えて楽しむはずが……俺も腕が鈍ったかな
男,女剣士ーっ！
女剣士,ご、ごめん……
男,気にするなっ、俺だって同じ立場だったら真っ先に斬りかかってる！
女剣士,私の想い……あなたに……
男,…………
帝国兵隊長,さて、侵入者のラストはキサマか。大サービスだ。俺が一対一サシ
男,そうかい。氏ね
帝国兵隊長,えっ
男,──ただいま戻りました
副リーダー,俺たち司令班の認識が甘かった。よくぞ戻ってきてくれた
男,……いえ、もういいんです。俺は……この戦いで必ず帝国を打倒すると決意しました！。すぐに俺を戦闘班Ａ班の新しい班長にして下さい！。必ずやこの反乱軍を、もっと強くしてみせます！
リーダー,……そのことなんだがね
男,はい
リーダー,君は強すぎる。少し活動を自重してもらおう
男,おっしゃる意味が……
リーダー,君は我々反乱軍にとって、危険な存在なのだよ
男,俺が……危険……！？
リーダー,……君には話しておいた方がいいかもしれんな。君はなぜ、この国の人間がこれほどの圧政に耐えられているか、分かるか？。半分当たりで半分ハズレだ。君も見ただろう？炊き出しの際、彼らの“諦めている顔”を
男,なっ……！
リーダー,彼らはね、今の生活で十分満足しているんだよ。だからこそ、民衆のヒーロー、安全装置として我々がいるのだよ。うむ、その通りだ
男,！？
リーダー,──と、帝国のある将軍はおっしゃっていた。だが、君のようにあまりにも強すぎるのが反乱軍にいると話は別だ。だから君には今後、補給班に回ってもらいたい
男,──ふざけるなッ！。だったら俺は……俺たちはなんのために戦ってきたんだッ！
リーダー,この反乱軍の人間の大半は、すでに心は帝国にある。だが……Ａ班かれら。だから今回、あえて無謀な作戦を与えて氏んでもらった
男,なんだとぉ……！？
リーダー,これからも反乱軍のために働いてくれたまえ
男,うああああっ！！！
リーダー,ひぃっ……！
副リーダー,キサマッ……！
男,……頃しはしねえよ。一応、お前たちにも存在価値はあるからな。だが、俺は今日でここを去らせてもらう
リーダー,まさか、我々の正体を──
男,安心しろよ。お前らの正体を民衆にバラすような真似はしねえよ。……ただし、俺にとってはお前らも敵だ。もし俺が力をつけた時は、お前ら二人も覚悟しとくんだな。それはお前が決めることじゃないだろ？
副リーダー,うっ……
男,あばよ
副リーダー,……また一人、“怪物”が誕生しましたな。これも、あなたの狙い通り、ということなのでしょうが……
リーダー,…………。かつて私はこの反乱軍を結成し、本心から打倒帝国に臨んでいた。結局この反乱軍は民衆の“偽英雄”に成り下がった……。私はあの時悟ったのだ。この巨大すぎる帝国を倒すには──。まず副リーダー。君のテストで、“怪物”となる素質がある者を見極め──。そして腐りきった我々の姿に怒り、絶望し、ようやく“怪物”は誕生する。彼らもまた、快く引き受けてくれたよ……
副リーダー,こうして我々は何人かの“怪物”を野に放ちましたな。しかし、おそらくその時には我々の命もないでしょうな
男,アイツらは俺の中に生きている……！。どんなに時間がかかろうと、どんな手段を用いようと、たとえこの命尽きようと。絶対に……帝国を滅ぼすっ！！！
