サザン,へへ、やったぜ
キュウコン,まじかよ……俺は……俺はこんな奴らと同じ扱いなのか……
ノクタス,それで対抗戦に向けての特訓はどうするんでござるかｗｗｗｗｗｗｗｗ。拙者、あの夏みたいに青春を謳歌したいでござるｗｗｗｗ
ヨノワール,あぁ？特訓だぁ？別にしなくてもいいだろ……お前はどう思う？
キュウコン,え、あ……うん。……しなくてもいいんじゃないかな……。バーカ俺がお前らみたいなカスと一緒に居るのを他の奴に見られたら恥ずかしいだろうが
ノクタス,オウフ……そうでござるかｗｗｗｗｗｗｗお二人は忙しいのでござるなｗｗｗｗｗ合点承知の助でござるｗｗｗｗｗｗ
ヨノワール,そういうこった。じゃあーな。家けーるわ
キュウコン,うん、ばいばい
ノクタス,気をつけて帰るでござるよｗｗｗｗｗｗｗｗ…………さてと
オーキド,……どこのクラスが優勝するのか楽しみですな
ウツギ,ウチはヒードラン君率いるPTがいい所まで行くんじゃないかと思っていますよ
アララギ,私のところはラティオス君の所かしら……オーキド先生のところは？
オーキド,私のところは……そうですな。バンギラス君のところが本命ですかね
ブースター,がんばるぞー！今回こそは初戦突破するんだー！
フライゴン,そうだね。僕たちでも頑張れるって所をみせてやらないと
ネオラント,そうよ！
カイリキー,できたか
ゲンガー,ほぉ……
フーディン,かっけーじゃねーか
ゴローニャ,うん……ありがとう…//
カイリキー,いいってことよ……対抗戦じゃばらばらだけど、お互い頑張ろうぜ
ハッサム,……今回こそ優勝狙うぞ
ラティオス,ああ。もちろんだ。
テラキオン,やってやろう
カバルドン,バンギラスの野郎……今に見てろよ
ジバコイル,ああ……俺達の底力見せてやろう
ヒードラン,俺だけで十分だがな。まぁお前らあしひっぱるなよ
キュウコン,……はぁ……だるい
ヨノワール,おうどうした。元気がないな
ノクタス,んんｗｗｗｗｗｗｗどうしたんですかなｗｗｗｗｗｗｗｗ体長でもわるいんですかなｗｗｗｗラムの実ならありますぞｗｗｗｗ
キュウコン,ん、いやちょっと。なんでもないよ
ノクタス,そうですかなｗｗｗｗｗそれより試合表見ましたかなｗｗｗｗｗ
ヨノワール,あ？まだみてねーな
ノクタス,初戦からバンギラスガブリアスドリュウズチームなんですなｗｗｗｗｗ
ヨノワール,まじかよ。ヘビィな試合になりそうだな
ノクタス,いやｗｗｗｗｗｗｗｗｗおいしいんですなｗｗｗｗｗｗ
キュウコン,はい初戦敗退決定
ノクタス,んんｗｗｗｗｗこれはｗｗｗｗクラス内ヒエラルキー変わるチャンスですなｗｗｗｗ
ヨノワール,けっ……くだらねぇ。クラスの事なんかどうでもいいだろ
ノクタス,いやそうかもしれませんなｗｗｗｗｗｗｗなんにせよ全力を出してがんばるんですぞｗｗｗｗ
ヨノワール,あたりめーだ
キュウコン,…………
ノクタス,それじゃあちょっとトイレにいってくるんですなｗｗｗｗｗ準備しておくでござるよｗｗｗｗ
ヨノワール,おう。いくぞボウズ
キュウコン,……ヨノワールさんって学校行事嫌いなの？
ヨノワール,ああ？何だ突然
キュウコン,……なんか冷めているように感じるから
ヨノワール,まぁノクタスほど熱くなっていないのは確かだな。……実は俺にはサマヨールって弟がいる。学校のセンコー共は弟君と比べて少しはたくましいみたいだけど……って言ってくるが。俺はそんなの関係ねーと思っている。俺は俺だ。だから自然と反発しちまうのかもな
キュウコン,そうなんだ……
ヨノワール,ほら、いくぞ
オーキド,対抗戦第一試合ノクタスチームvsガブリアスチーム
ノクタス,んんｗｗｗｗｗｗチーム代表やらせてもらっているんですがかまいませんかなｗｗｗｗ
ヨノワール,ああ。興味ねーわ
キュウコン,うん……いいよ
ノクタス,ぺゃっｗｗｗｗｗｗｗｗｗ
ガブリアス,いくか
バンギラス,だりーなぁ……
ドリュウズ,といいつつバンギラス君やる気満々でやんす
オーキド,ルールは3VS3。持ち物は各自準備した物を使う事。消費した分は学校から補充がでるから
ノクタス,んんｗｗｗｗｗｗｗ
ガブリアス,おっす
オーキド,はじめ！
ノクタス,先鋒は私がでるんですなｗｗｗｗｗｗｗｗ
バンギラス,おーっす……バンギランドの開園だぜ
ノクタス,んんｗｗｗｗｗｗｗ予想通りですな
バンギラス,……デキるな
ヨノワール,さて、どうなるかな
キュウコン,はやくかえりたい
ガブリアス,……手にはキュウコンがいるからな。すぐに上書きされる可能性もある
ドリュウズ,がんばるでやんす
バンギラス,ガブリアス！代わってくれ！！
ノクタス,コォォォォ！！
ガブリアス,任せろ
ノクタス,読み通りですな……！
ガブリアス,…！！！！
バンギラス,ガブリアス！？
ノクタス,んん……ハズレですかな
ガブリアス,今のはヒヤっとしたぞ……。今度はこっちの番だ……！
ノクタス,んん……
ガブリアス,剣の舞！！
ノクタス,んん……めざめるパワー氷を食らうといいんですな！！！！
ガブリアス,げふっ……えっ……？
ノクタス,んん……1発じゃ倒れないようですな……ｗ
ガブリアス,くっ……あと1発食らったら……ふいうちが来るか……気合のパンチか……
ヨノワール,よし……もらった
キュウコン,すごい……あのガブリアス君を圧倒している
バンギラス,……
ドリュウズ,まずいでやんす！ガブリアス君！代わるでやんす！
ガブリアス,……ここで代わったところで後続に負担をかけちまう……
ノクタス,……気合のパンチは見せた。ふいうちとわかっていても突っ込んでくるしかないであろう
ガブリアス,くそーーーー！！！！
ドリュウズ,ガブリアスくん！！！
キュウコン,お互い特性は砂隠れ……外した方が負ける！！！
ノクタス,ふいうちをするんですな！
ヨノワール,当たれ！！！
バンギラス,外れろ！！！！
ガブリアス,……
ノクタス,……。んん………ふいうちを外していたら負けだったんですな………さらば強敵ですぞ
ドリュウズ,……ガブリアス君の仇はおいらがとるでやんす
ノクタス,んん……
ドリュウズ,食らえ！！すなかきですごいスピードから繰り出されるシザークロスを！！！！！！！
ノクタス,でも残念ながら私はここで代わるんですなｗｗｗｗｗｗｗｗｗｗｗｗヨノワール殿ｗｗｗｗｗｗｗ
ヨノワール,おう、任せろ！
ドリュウズ,シザークロス！！
ヨノワール,ふんっ！
ドリュウズ,くっ……硬い…！！！
ヨノワール,どうした坊主、戦いは始まったばかりだぞ
ドリュウズ,……やるじゃねーか……耐久馬鹿が
キュウコン,おつかれさまノクタス君！すごいじゃないか！！
ノクタス,んん……ひやっとしましたぞ……まだ敵は残っているし油断できないんですな
ドリュウズ,………
ヨノワール,どうした坊主。次は何を繰り出すんだ。ほれ
ドリュウズ,……8回……いやプレッシャーふくめて4回か
ヨノワール,ああ？
ノクタス,まずいんですな……
キュウコン,え…？
ノクタス,ヨノワール殿は高い耐久力を備えていますが……
ドリュウズ,地割れの回数だよ
ヨノワール,……！！！
ノクタス,一撃必殺はどうしようもないんですな
ヨノワール,……それがどうした。当たらなければどうということはない！！！
ドリュウズ,クスクスクス……身代わり！
ヨノワール,！！
ドリュウズ,これで鬼火もできないでやんすね！あとは嬲り殺してやるでやんす！
ヨノワール,………。……スキルスワップ！！！
ドリュウズ,え？
ノクタス,おうふｗｗｗｗｗｗ
キュウコン,え？
バンギラス,……アホが
ドリュウズ,え……え？
ヨノワール,どうしたよ。何を驚いているんだ
ドリュウズ,そんな……おいらの……おいらのすごいスピードが……
ヨノワール,いっとっけどなぁ……俺の売りは超耐久じゃねぇ……高い耐えてそこそこ殴れる火力。それが俺の戦い方だ！！！
ノクタス,んん……拙者も一本とられたでござるな…ｗ
キュウコン,……みんなすごい…
ヨノワール,くらえ！！！じしん！！！
ドリュウズ,くっ……じしんでやんす！。速い……！！！
ヨノワール,今のはきいたぜ……だが俺の攻撃を身代わりなしで耐えきれるかな？
ドリュウズ,すなかきを奪われて素早さが逆転してしまったでやんす……うわぁぁ！！！！。バンギラス君！助けてくれでやんす！！！！
バンギラス,……
ドリュウズ,バンギラス君！！！！
バンギラス,アホが……自分のケツは自分でふきな
ドリュウズ,！！！！！
ヨノワール,そろそろいくぜボウズ……。かわらわり！！
ドリュウズ,ぎゃあああああああ
ノクタス,これで最後はバンギラスだけですなｗｗｗｗｗｗ
キュウコン,すごい……勝てる！！！
ドリュウズ,ば、ばんぎ……ごめ、ん……で…
バンギラス,……あしをひっぱりやがって……雑魚が
ヨノワール,本当はジュエルかわらわりはバンギラス、お前にぶつけてやろうと思ったんだがな
ノクタス,ヨノワール殿の言っていることは本心ですな……すなかきを奪ったからと地震を耐えられ、地割れでやられる可能性もありえーる………
キュウコン,そ、そうか！……ヨノワール君も全力で戦っていたんだ…
バンギラス,どれ……軽くひねりつぶしてやろう
ヨノワール,いくぞ……かわらわり！！！
バンギラス,ふん……
ヨノワール,くっ……
バンギラス,……食らえ！！！！かみくだく！
ヨノワール,ぐわあああああ
ノクタス,ヨノワール殿！！！
キュウコン,！！！
バンギラス,次はどいつだ
ヨノワール,す、すまねぇ……俺はここまでのようだ
ノクタス,そんなことないんですな！相手の実、ダメージ。そしてドリュウズ突破十分なんですな！。あとは拙者とキュウコン殿にまかせるんですな
ヨノワール,へ……あとは……まかせたぜ
ノクタス,……時にキュウコン殿……技構成を伺っても……？
キュウコン,え……うん…。だいもんじ、エナジーボールおにびわるだくみ
ノクタス,おうふ………
キュウコン,……ごめん
ノクタス,いえ、大丈夫でござる……何とかして見せるでござるよ。…拙者の特性、砂がくれが機能するでござる。拙者が出るでござるよ。でも…。…………拙者がやられたらあとは……まかせるでござるよ
キュウコン,ノクタス君……
ノクタス,では行ってくるでござる
バンギラス,次はてめぇか
ノクタス,んん……
バンギラス,さっき対面したときにデキる奴だと感じたぜ……今ここでぶっ潰してやる
ノクタス,正直分が悪すぎなんですな……しかし。……この技だけは使いたくなかった
バンギラス,滅びろよ……
ノクタス,きまったんですな……みちづれ！
バンギラス,！！！！
キュウコン,ノクタスくん！！！！
ノクタス,……んん………
バンギラス,………。……最後の最後でひやっとしたぞ
キュウコン,ノクタスくん！
ノクタス,んん……めんぼくない……あいてのほうが……わずかに……はやかった……んです…な……ぺゃっ……
キュウコン,ノクタスくん！！！！ノクタスくーん！！！
バンギラス,さぁ…リングにあがれキュウコン……
キュウコン,うっ……うっ……
バンギラス,……
キュウコン,うっ……うっ……。ちくしょう……これだから嫌なんだ。……勝負だ、バンギラス
バンギラス,ようやく戦う気になったようだな……
キュウコン,俺のひでり超パナいだろ？すごくね？
ロズレイド,すごいね！私のウェザーボールとあってるよ
モジャンボ,ぜひ組んでほしいんだな！
キュウコン,おっけーいﾋｭｳｰ。！？
バンギラス,うーっす
ロズレイド,や、やだ……私のウェザボが岩特殊最強の威力100になってる！。バンギラスくんすごーい！
バンギラス,あぁん？うっとうしいやつだぜ
キュウコン,……
バンギラス,あぁ？何がんたれてんだ？
キュウコン,別に……くそ……ソーラービームが作動しない…
バンギラス,ふん……粋がるな雑魚が……欠陥品のソーラービーム如きでな
キュウコン,！？
ロズレイド,え、何キュウコン君バンギラス君にソーラービーム打とうとしてるの？ちょーうけるんですけどーｗ
キュウコン,うわぁぁぁぁぁ
バンギラス,……どうした？ソーラービーム打てよ
キュウコン,……あれから一年だ
バンギラス,あ？
キュウコン,俺はこの対抗戦……ノクタスとヨノワールから大事なことを学んだ
バンギラス,……
キュウコン,どんな時でもあきらめない気持ち……常に全力を尽くすということだ
バンギラス,……
キュウコン,俺はここでお前を倒す……！！！
バンギラス,やってみろ……！！！
キュウコン,俺の持ち物は炎のジュエル……。これで決める……だいもんじ！！！
バンギラス,ストーンエッジ！！！！
アララギ,……優勝はアララギ組のラティオスチーム、準優勝はウツギクラスのヒードランチーム、そして3位はオーキドクラスのゴローニャチーム──
ラティオス,ありがとうございます
ヒードラン,チィ……次こそは負けねーぞ
ゴローニャ,うぉぉぉぉぉやったよー！みんなありがとー！！！！
ヨノワール,……優勝できなかったな
ノクタス,んんｗｗｗｗｗｗｗｗｗｗそうですなｗｗｗｗｗｗｗでも悔いはないんですぞｗｗｗｗｗｗｗｗｗ
ヨノワール,ん、キュウコンどうした
キュウコン,ううん……なんでもないよ……俺、明日からがんばるよ
ヨノワール,あ？何いってんだおまえ
ノクタス,んんｗｗｗｗｗｗｗ青ｗｗｗｗｗｗｗｗ春ｗｗｗｗｗｗですなｗｗｗｗｗｗｗｗｗぺゃっｗｗｗｗｗｗｗｗｗｗ
オーキド,……うんうん。よかったのキュウコン
