全員が地球に帰還。なりゆきでベジータはカプセルコーポレーション,＝ブルマんち
セル,フハハハ、すでに地球どころか、太陽系すべてが吹き飛ぶほどの気がたまっているぞ！！。おもしろいたわごとだ
出,うってみろ！！セル！！！。見覚えがあるかい？ベジータ？
まぁ、それも優秀な先行研究者の君,セル
セル,‥なにをするつもりだ。なにを。‥なにをする。なにを
セ,！？
セル,そうだ‥そんなことをすれば歴史が変わってしまうぞ。しかし‥しかし‥！！。きさまごときに！‥力なき人間ごときに‥！！
出,違うタイプかと思ったけど、同じことを言うんだね。やっぱり細胞を借りてるからかな？
セ,！？
ベジータ→,おもに
コルド大王→,おもに
セル→,おもに
ｸﾘﾘﾝ,明日が武道会だ、誰が優勝すると思う？やっぱ悟空かな？
ﾌﾞﾙﾏ,出木杉クン。戻ってくるわけにはいかないの？。魔人ブウが神殿ザザザツザっみんなころザザッ、ザー
ドラ,やっと迎えにこれたよ。三日もかかっちゃった
のび,ここどこ？出木杉はどこにいるの？このお兄さんだれ？
ドラ,この人が出木杉くんだよ。長いあいだほんとにごめんね
のび,ええ！？。でも大人になっちゃってるし、戻ったらみんなびっくりしない？
出,ドラえもんくん、迎えにきてくれてありがとう。でもぼくは戻らない
ドラ,でも
のび,ばけものもいるんだよ！！怖くないの！？
出,怖いよ。でも、僕は行く
ドラ,まさか、あの地球にもどるつもりなの？
出,もどるよ
ド,え？あるけど。どうしたの？
のび,ひえー。なんて怖い怪物だ
ドラ,まにあってよかった。さぁ出木杉くん、はやくタイム風呂敷を。わかったよ…。きみはもうオトナで、この世界の人なんだね
のび,え？なに？なんで！？ぼくわからないよドラえも～ん！
出,握手だ。のび太くん。ちょっとくやしいけど、しずかちゃんのことは頼むよ
のび,え？
出,ふたりにまたあえてうれしかった。じゃあ、さよなら
ドラ,よくみておくんだよ。のび太くん。あの背中を
の,…どうして？
ドラ,きみにもああいう背中のオトナになってほしいから
の,…うん。わすれないよ
道着姿の悟空、白衣に短パン,膝たけくらいのショートバンツね
悟,出木杉、おめぇ…
出,戻ってきたよ。悟空
悟,でも、おめぇは
出,いいんだ。改めて出発するさ。あの敵を倒したら
悟,…あぁ！おめぇがいれば、百人力だ！！
出,ぼくのせりふさ。君と僕なら何者にも負けやしない
違う形状の魔人ブウの姿,ゴテンクス、悟飯、ピッコロ吸収バージョン
悟,わかってねぇのはおめぇだ！！コイツの強さをな！
ブ,ほう？
悟,おめぇだけは絶対にゆるさねぇ
出,みんなはかならず取り戻す
悟,オラたちが！
出,ぼくたちが！
悟・出,おまえを倒す！！！！
いくつかのホイポイカプセル,ポイポイじゃないんだね。指摘ありがとう
出,界王神様。ぼくの声が聞こえますか？
界,聞こえます。あなたのこともしってます。なにか、手がありますか！？。え？な、なぜですか？
出,いいから早く！
ブウ,ふん！
悟,ぐわぁっ！！
占いババァ,いいのか？あの場にいかなくて
ベジータもまた、力以外の,力
フリーザのときのようにＤＢを利用するにしても、ブウの,了承
出木杉は宇宙の旅の途中、,フリーザに破壊されなかった
界,え？でもＤＢでブウを倒すことは
老界,ばかもん！あれはそう簡単に使っては！
こんなことはナッパ戦でヤムチャに,死にたいのか！
悟,へへっ
ブ,なにがおかしい。死の恐怖で狂ったか。あのデキスギという男の手でか？笑わせる
そういえばほかの戦士を始末したとき、,出木杉がいれば
ブ,ふん！
界,悟空さん。ここは出木杉さんにまかせてください
ブウ,残念だったな。なにをしようとしていたのか知らんが、おまえはもう死ぬ
知識が無意識に,出木杉
出,仕方ない。まだ途中だけど
ブ,わたしを倒せるほどの力には思えんがな
出,デモンストレーションをしてあげるよ
ブ,所詮、その程度か
悟,出木杉！逃げろ！逃げるんだー！！！
ブウ,さて、そろそろとどめをさしてやろう
悟,…
ブウ,さらばだ。孫悟空
？？,それは無理だよ。君はあと3分44秒後に、死ぬ
ブウ,バカな！なぜだ！？なぜ吸収されたものが意識を保てる！？。…ぐ…ぐ！
出,そう、死ぬべきだ
悟,でもそれじゃ、おめぇまで、それに吸収されたほかのみんなまで…
出,手はうってある。ぼくを信じてくれ
悟,わかった！
ブ,やめろぉおおおおおお！！
悟,波ーーーーーっ！！。手は打ってある、っていってたよな。デキスギのやつ
出,君はきっと、生まれ変わる。もっと良い存在としてね
ブ,…
出,次の人生のために、いい言葉を教えてあげる。覚えていられるかはわからないけどね
ブ,…なんだ。いってみろ
出,人の知恵は、意志は、力だ。君らしいな。悟空。ぼくも、負けてられないな
出木杉,スタンド使い？
