チチ,悟空さ！もう我慢ならねえだ！いい加減にまともに働いてくれろ！
悟空,ポチッと。・・・おっかしいなぁ。みんな、どこ行っちまったんだ？。ええと・・・オラ、あのボタンを押して、それで・・・。！そういや、ピッコロのやつがどこかに飛ばされるとか言ってたな。ま、いいや。昼寝でもしてりゃ出られるだろ。よーし、いっちょ修行でもしてみっか！！。うりゃりゃりゃりゃりゃ！！。うりゃりゃりゃりゃりゃ！！。破ァ！！。かめはめ波が直撃してもぶっ壊れねえ床か～すげぇな～。毎日毎日、同じトレーニングじゃ偏っちまうからな。今日はこっから向こうまで全力疾走してみっか。ま、疲れねえからいいけどよ。・・・あ～あ、チチの飯が食いてぇなあ。修行したあとの、メチャクチャ腹減ってからのメシは美味いんだけどなあ。腹は減らねえし、眠くもならねえ、おまけに疲れもしねえ。常に仙豆食ってるみたいな感じだ。クリリンかピッコロがいてくれりゃなあ・・・。悟飯のやつも元気にしてるかなあ・・・。そろそろ出れねえかな？。どっかに出入り口があるか探してみっか。五億年だもんな、たぶん五年くらいしか経ってねえはずだしな。たまには新しいことすっか。どどん！！。確か、どどん波ってのはこんな感じだったよな・・・。どどん！！どどん！！。どどん！！。パイパイは亀仙人のじっちゃんの好物だしな～・・・。スーパーどどん波！！。タ、タオ・・・タオパイパイ！！タオパイパイ！！。気円斬！！あっ、やべっ！！。う、腕が・・・。あっなんともねえ。あぶねえあぶねえ、もうちょいでフリーザみたくなるとこだった。クリリン・・・。狼牙風風拳！！はい、はい、はいぃぃっ！！。これ足元が弱点だな、改良すっか。真・狼牙風風拳！！。まだ駄目だなこれ。そもそも根本的に駄目なんじゃねえか？これ。帰ったらヤムチャに・・・帰りてえ・・・。魔貫光殺法！！。こんなもんか・・・。考えてみれば、オラってこういう風に修行したことって無かったよな。オラ、ここに来てから随分と修行したよな・・・。帰ったらみんな驚くだろうな・・・。悟空！！すげぇよ！！いつの間にそんなに強くなったんだ！？。へへ、オラ、気円斬の扱いならクリリンにも負けねえぞ！！。くっそ～、悟空のやつ～。ハハハ、こっちだよ～だ。ハハハ、ハハ・・・。修行・・・すっか・・・。クリリン・・・ピッコロ・・・ベジータ・・・。ピッコロー！！ピッ・・・。クソッ！！！！。破ァッッ！！！！。オラの気円斬で床に傷が付けられるようになった。これから日数をつけておこう。たぶん、ここに来てから四億五万年くらいは経ってるはずだ・・・。日記も書きてえけど、オラ字がイマイチ分かんねえからなあ・・・。確か、亀仙人のじっちゃんはこんな感じで教えてくれたはず・・・。10のまとまりが205あるから・・・ええと・・・。勉強ってのもおもしれえもんだな。帰ったらオラも悟飯と一緒にガッコウに行ってみるか・・・。もうイヤだ！！オラもうイヤだ！！イヤだ！！イヤだーっ！！。五億年！！五億年だぞ！！五億年！！。日にちにして1825億日！！。時間にして4兆3800時間！！。分にして262兆8000分！！。秒にして1京5768兆秒！！。無理だ・・・オラには耐えられねえ・・・。何が戦闘民族サイヤ人だ・・・くそっ！！くそっ！！。かーめーはーめー。破ァァァッッ！！。・・・。フフフ・・・いまのオラなら地球なんか指先だけで破壊できる・・・。みんな、オラが悪かったんだ・・・。みんなを悪く思っても、ここからは出られねえ・・・。オラ、自分の罪から逃げたくて、みんなに責任転嫁してたんだ。オラが馬鹿だった・・・軽率だった・・・。許してくれ、チチ、ピッコロ、ヤジロベー、兎人参化、亀仙人の亀・・・。ううっ・・・うっ・・・。ここからだしてくれ・・・。二度とあんなボタン押さねえから、ここからだしてくれ・・・。せめて、誰かと話してえ、誰かの姿を見るだけでもいいんだ。クリリン・・・オラの声が聞こえるか、クリリン・・・。・・・駄目だ・・・。！！。だ、誰かいるのか！？。ど、どこだ！？。話し声がしたはずなのに、誰もいねえ。でも、見つからなかった。オラの頭がおかしくなっちまったのか、それともどこかに隠れているのか。いまも聞こえてくる。クリリン似てる似てる。8658前のやつより似てるじゃねえか。この前のやつは目のところが気に食わなかったからな。ブルマちょっと孫くん！あたしのパパも描き直しなさいよ！。悪りい悪りい、ブルマの父ちゃんはピッコロ大魔王の部下の・・・。フリーザドラムのあとですね、ホッホッホ・・・。流石はフリーザだな！よく覚えてんな～。フリーザフ、フン！サイヤ人のサルに褒められても・・・。あははは。オラがこう構える。で、セルがこう構えたはずだ。一秒、コンマ02でオラがこう移動して、セルがこう対応したはず。セルの再現は地球で戦ったぶんだけフリーザより楽だな。これはベジータの細胞の・・・いやフリーザの細胞の影響なのか。セルの平均的なパワーがこんなもんだとすれば、あの時点で・・・。完璧に再現するには、完璧に過去を思い出さなきゃなんねえ。・・・あと四億年か・・・。兄ちゃん、じっちゃん・・・。・・・あと四億年か・・・。おっ、すまねえクリリン。名前どうすっかな～。向こう側のクリリンだ。例えば、オラがクリリンを殴るとする。・・・そうか・・・。・・・そうか・・・。・・・。・・・。・・・。そして、週刊の漫画雑誌に掲載されてて・・・。とりやま、あき・・・。あれ？なんともねえぞ
五億年ボタン,ジャキーン！
悟空,！
デンデ,ほ、ほんとに・・・でてきた・・・
ピッコロ,ウ、ウム・・・
悟飯,お、お父さん！！大丈夫？
悟空,おいピッコロ！！五億年はどうなったんだ？
ピッコロ,体感的には一瞬と言っただろう
悟空,なんでぇ。オラ、五億年で修行しようと思ってたのに・・・
デンデ,悟空さん、お金です。えっ！？い、いえ、僕にはお金は必要ないですから・・・
悟飯,えっ、ちょ・・・
悟空,うひひ、押すぞ～！！
