こういった集落は世界各地に存在し、,モンスター村
狩人,アンタが話せる人間でよかったよ。利益の一部をやるから、協会の活動を抑え、狩りに協力してくれといったら。あっさりと聞き入れてくれたんだからな
会長,公的な組織の長とはいえ、収入や扱いはそれほどよくないんですよ。しょせんモンスター関連事業など、二線級の部門ですからね。もっとも、私の部下はモンスターをこよなく愛する者ばかりで困ります。熱心な協会員たちの活動を、うまい具合に抑えるのも一苦労ですよ
狩人,さすがの俺たちも、同じ人間と衝突するのは避けたいからな……。アンタを“ヘッド・ハンティング”できてよかったよ
スライム,そ、そんな……この二人がグルだったなんて……！。すぐ戻ってみんなに知らせないと！
狩人,！
会長,どうしました？
スライム,し、しまった！気づかれた！
狩人,スライムか……死ねっ！
スライム,あうっ！
会長,おおっ、一矢でスライムを射抜いた！さすがですな！
スライム,……ぐうっ！
会長,むっ！しぶとく逃げていきますよ！
狩人,あれじゃ、どのみちすぐくたばる。スライム肉なんか、二束三文にしかならねえしな。それより……祭りに遅れちゃマズイ。今頃山の中じゃ、お楽しみのハンティング・タイムが始まってる頃だ
オーク,……どうなってんだ！？なんでハンターがこんなに……！
剣士,いい肉質のオークだな。解体して、胴体だけ持ち帰るとするか
オーク,や、やめろっ……！
ゴブリン,い、命だけはっ……！
手下Ａ,くたばれやっ！
手下Ｂ,殺すのが惜しくなる体だぜ。たっぷり可愛がってから殺してやるよ！
サキュバス,いやあっ！やめてええっ！
会長,おおっ、みごとにモンスターどもが罠にかかっていますな！
狩人,コラコラ、作戦の立案者に獲物は残してねえのかよ
剣士,狩人さん、おかげで楽しませてもらっているよ
手下Ａ,それに獲物なら、ちゃぁ～んと残してますぜ！ほら！
母スライム,保護協会の会長が、グルだったなんて……！。ど、どうかこの娘だけは……！お願いします、お願いします……！
妹スライム,お兄ちゃん、助けて……
狩人,ちっ、スライム二匹かよ。もっといいのを残しといてくれよ
手下Ａ,へへっ……すいやせん
狩人,会長さん、せっかくだし、初ハンティングとシャレこまねえか？。一度やってみると、ヤミツキになるぜ？ほら、剣を貸してやるよ
会長,そうですな……実は私も一度やってみたかったのですよ。では……
母スライム,かはっ……
会長,おお……！これは……なかなか楽しいですな！
狩人,だろ？
妹スライム,お母さん！お母さん！お母さんっ！。お兄ちゃん……どこいるのぉ……助けて……
狩人,ま……俺はこれで我慢するか
スライム,途中で気を失っちゃったけど……や、やっと着い──。！。み、みんな！。オーク！ゴーレム！サキュバス！ゴブリン！──なんてことだ！。！！！。母さん！。妹っ！。うわあっ！わあぁぁぁぁぁ～～～～～っ！！！。昔……魔物の権利向上のため、あくどい仕事もしてたっていう、父さん……。そんな父さんが……話してくれたことがある“勇者”……。超Ａ級の、プロフェッショナル……。父さんがいっていたとおりの方法で、連絡、したが……
勇者,お前が、スライムか……？
スライム,！。あ、ああ……そうだ！──がはっ！
勇者,…………。用件を聞こうか……
スライム,ア、アンタが勇者……か！。た、頼む！。この村のみんな、母さんや、妹たちの仇を……討ってくれ！。狩人の奴が率いる、悪質なモンスターハンターどもを……。皆殺しにしてくれぇっ！
勇者,…………
スライム,村はこのとおり、焼かれちゃったが……。わ、わずかに……お金と、木の実が残って、た……。ア、アンタは人間だけど……。モンスターから、の依頼も受けると……父さんから聞いてる……
勇者,…………
スライム,お願いだ……勇者……！。み、みんなの……仇……。とっ、て……
勇者,…………。…………
司書,いらっしゃいませ
勇者,本を探しているのだが……
司書,どのような本をお探しですか？
勇者,蛇にそそのかされ……禁断の果実を食べてしまった男の本だ
司書,申し訳ありません。そちらの本は一般公開はしておりませんので──。お手数ですが、こちらの部屋へどうぞ。ご用件をどうぞ
勇者,モンスターハンターの狩人と、その仲間について教えてくれ……
司書,彼らはモンスターハンターの中でも、１００名以上を誇る大所帯の勢力です。もちろん、全員で動くことはめったにありませんが──。彼らに滅ぼされたモンスター村は、３０近くに上るといわれています
勇者,モンスターを保護する団体も、あるはずだが……？
司書,ご存じでしたか。ですが、モンスター保護協会の活動は近年消極化しておりまして。違法ハンターを抑える役目はほとんど果たせてないというのが現状です。確証はありませんが、おそらくこれは──
勇者,もし、俺が狩人の立場であれば……。保護協会のトップ、あるいはそれに近い者の懐柔を考えるだろうな……
司書,！。さすがです……。狩人らと保護協会はすでに“パイプ”ができている可能性が高い。しかし、狩人たちは決してクレバーなだけの集団ではありません。希少モンスターの情報を得ると、すぐさま現場へ急行します。レッドドラゴン、ジャイアントワーム、ポイズンフラワー、といった。強力なモンスターの退治にも成功しており。モンスターハンターとしての実力もピカイチなのです。そしてこれらの戦果は、新たに仲間に加わった剣士の力によるところも大きい
勇者,剣士……。かつては傭兵だった男だな……
司書,はい、元々は腕の立つ傭兵隊を率いていたのですが。戦争が少なくなった今の世、仕事にありつけずにいたところを狩人に誘われ。部下ともども、モンスターハンターになったのです
勇者,…………
司書,さらに、リーダーである狩人ですが──。彼は何冊か本も出しており、もちろんこの図書館にも彼の本は置いております。著書の中で彼はこう豪語していますよ。“ありとあらゆる狩りを体験したい”。“幻の竜といわれるホワイトドラゴンをぜひ狩りたい”とね
勇者,ホワイトドラゴン……。分かった……。世話になった……
司書,おや、もうお帰りですか？
勇者,…………
司書,勇者……相変わらず不思議な人だ。裏社会では“知恵の実を食べた男”と呼ばれるほどの情報屋である私ですが。彼のことだけは、なにひとつ分からない……。もっとも、彼については金払いがいいということと。彼を詮索することは死を意味する、ということだけ知っていれば十分ですがね。災いをもたらすパンドラの箱を、わざわざ開けることはない……
ホワイトドラゴン,ようこそ、白龍の地獄へ！
勇者,…………
ホワイトドラゴン,年中雪と氷に囲まれたこの山を登り、単独でここまで来れるのは。人間ではお前ぐらいのものだろう！。なにしろ、人間は馬力がない未熟な生き物だからな！。ところでなんの用だ？
勇者,牙をいくつか譲って欲しい……抜けたものでかまわない
ホワイトドラゴン,そんなことならお安い御用だ！。この間、息子の牙が生え変わったばかりだからな！。処分に困っていたところだ！何本でも持っていけ！
勇者,……礼だ
ホワイトドラゴン,おお、これはファイアバッファローの不凍肉か！。食料が不足していたのだ、ありがたい！。しかし、礼など不要といっているのに、いつも律儀な奴だ！。もし、お前がいなければ、今頃私も生きていなかっただろうからな
勇者,…………。…………
ホワイトドラゴン,あんなもの、いったい何に使おうというのだ……？
子ドラゴン,ねえねえお父さん、あれは誰なの？
ホワイトドラゴン,あれは“勇者”……。人間でありながら、竜以上の強さを持つ超一流のプロだ！。私も奴に命を助けられたことがある。もっともあれは、私を追い詰めていたブラックドラゴンが。勇者の標的ターゲット。奴は私を助けた、とすら思っていないだろうが、な……
子ドラゴン,ふぅ～ん
館長,これは、たしかにホワイトドラゴンの牙！間違いありません！。登山家さん。こんな貴重なものを、無償で提供してくれるというのですか？
勇者,ええ……
館長,しかし、これをどこで発見されたのですかな？
勇者,イーストマウンテンで登山中に、発見しました……。もしホワイトドラゴンがイーストマウンテンにいるとなると、非常に危険です。注意を呼びかけるべきだと思いますが……
館長,そうですな。さっそく各新聞社に連絡を取りましょう！
手下Ａ,こないだの狩りの成果、金に換えてきやしたよ。あの程度の村じゃ、額はあんなもんでしょう
手下Ｂ,そろそろデカイ獲物が欲しいですね
狩人,クックック……渡りに船、とはこのことだな
手下Ａ,え？
狩人,この新聞記事を読んでみな。つい先日、イーストマウンテンでホワイトドラゴンの牙が。登山者によって発見された
手下Ａ＆Ｂ,ホワイトドラゴン！？
狩人,あそこは秘境ではあるが、モンスターはほとんどいないという認識だった。盲点だったぜ……
手下Ａ,どうしやすか？
狩人,決まってんだろ？。牙ですら、闇ルートじゃ数十万ゴールドでさばけるんだ。竜族でもっとも希少とされるホワイトドラゴンの死体を丸ごと手に入れたら。いったいいくらになるか想像もつかんぜ！。俺のハンター仲間総出で、ホワイトドラゴン狩りだ！。仲間を総動員する狩りなんざ、久々だな。地元民を買収して、他の連中はこの山に近付けないようにしておいた。なんとしても、俺たちでホワイトドラゴンを仕留めるぞ！
手下Ａ,へいっ！
手下Ｂ,はいっ！
剣士,もし本当にいるのであれば、久々の手応えのある獲物を斬れそうだ
狩人,しっかし、アンタも物好きだな。わざわざ見学に来てくれるとは
会長,この間スライムを斬ってから、狩りの楽しさに目覚めましてねえ。幻の竜、ホワイトドラゴンが狩られる様を、ぜひこの目で拝見したいのですよ
狩人,ここはさほど険しい山じゃねえが、足元には気をつけてくれよ。アンタに死なれたら、保護協会との関係がまた厄介になるからな
会長,しかし、もしホワイトドラゴンが見つからなかったら……？
狩人,そんときゃ、また適当なモンスター村を襲うさ。イーストマウンテン付近にも二、三個モンスターどもの集落があるって聞く。この人数なら、こないだアンタにやってもらったような下準備もいらねえしな
会長,なるほど……転んでもタダでは起きない、と
狩人,──よし、出発だ！
勇者,…………
手下Ａ,……今のところ、それらしい気配はありませんぜ。どうしやす？
狩人,この山も広いからな……。しかたねえ、隊を三手に分けよう。一隊はお前が率いろ。３０人ほどつけてやる
手下Ａ,へいっ！
狩人,剣士、アンタの部下の３０人は、アンタが率いてくれ。その方がやりやすいだろ？
剣士,そうだな
狩人,俺は本隊として、残りを率いる。隊同士の連絡は狼煙を使って行う。定期連絡には白を、緊急時は赤の狼煙を上げろ
手下Ａ,へいっ！
剣士,了解した
手下Ａ,くそっ……ホワイトドラゴンなんか、どこにもいやがらねえ。もうこの山からは出ていっちまったのか──。──ん！？。あ、あれは……間違いねえ！ホワイトドラゴンの牙！。向こうにずっと続いていやがる……
手下Ｂ,どうする、狼煙を上げるか？
手下Ａ,いや、ドラゴンを発見してからでも遅くはねえ。それに今伝えたら、牙を俺たちだけのモンにできなくなっちまう。牙だって数十万ゴールドはするんだしよ
手下Ｂ,それもそうだな
手下Ａ,ふへへ、大猟だな。もうこの牙だけで大金持ちになれるぜ。いつも狩人さんが儲けを多く持ってくから、こんなボーナスもたまにゃいいだろ
手下Ｂ,そうだな……。バレないように売り払おう
勇者,かかったのは３０人、か……
手下Ａ,なんだぁっ！？
手下Ｂ,崖の上から、岩！？
手下Ａ,き、牙は俺のもんだ……俺のもん、だ……
手下Ｂ,なんで、落石が……
勇者,…………
狩人,定期連絡の狼煙が上がらないと思ったら……こんなことになってやがるとはな
剣士,落石か……
会長,あわわ……全員、岩の下敷きに……
狩人,しかも、こいつらホワイトドラゴンの牙を持ってやがる！。ネコババしようとした罰だ！くたばって当然だ、バカどもが！
剣士,いや、単なる事故ではないかもしれんぞ
狩人,どういうことだ？
剣士,これは人為的に作られた、“罠”によるものかもしれんということだ
狩人,なんだと！？。ドラゴンがこんな知恵を持ってるってのか！？。自分の体を頼りに戦うモンスターに、道具を使った“罠”の発想はないはず！
剣士,いや……敵はドラゴンですらないのかもしれん。もしかすると、ホワイトドラゴンの牙自体が──。我々をこの山に誘い出すための餌だったのかも、な……。獲物がホワイトドラゴンとあらばあなたは仲間全員を駆り出す、と読んで……
狩人,いったいどこのだれが……！？。俺らを妬む同業者か、あるいは──
会長,ほ、保護協会ではありませんよ！なにせ私が来ているんですから！
剣士,さあな、そこまでは分からん。しかし、安心してくれ。モンスターの狩りはあなたたちに一日の長があるが。人間狩りマン・ハント
狩人,フフ……アンタを“ヘッド・ハンティング”したのは正解だったな。どこのどいつかは知らんが、どっちが本当のハンターかを教えてやる！
剣士,狩人さんの手下たちをハメたこの罠は、時限式ではなく手動式だろう。この罠を仕掛けた奴らは、今まさに我々がここからどう動くかを見ているはず。ならば下手に動くのは逆効果。人間の追跡に慣れている我々の部隊だけで、さらに上へと登り。罠の主を仕留めてこよう。気配を隠すため、敵は少数のはず。我々だけで十分やれる
狩人,分かった……。だが、できれば生け捕りにしてくれよ！。ホワイトドラゴンの牙を、どうやって手に入れたか聞き出したいからな
剣士,了解した。──全員、行くぞ
会長,大丈夫でしょうか？
狩人,心配いらねえよ。アイツらは歴戦の元傭兵隊だからな。久々に人を斬れるかもしれねえから、案外ワクワクしてるんじゃねえか？
隊員Ａ,あそこの木の陰、人の気配がします
隊員Ｂ,隊長、一斉攻撃で仕留めましょう
剣士,まぁ、そう慌てるな。出てこい。あの落石、鮮やかな罠ではあったが──。こうもあっさり発見されるとは、その後がお粗末だったな
勇者,…………
剣士,潔いな。仲間はどこにいる？
勇者,俺一人だ……
剣士,なに……？。たった一人で、これほど大がかりなことをやってのけたというのか……。そうか……お前はプロ、だな？それも凄腕の……。我々違法なハンターの撲滅を、国か、それに準ずる組織に依頼されたか。ずいぶんと思いきった手を打ったものだ
勇者,…………
剣士,だが、誤算だったな。今、お前を囲んでいる全員が元傭兵だ。対テ口リストもお手のものだ。どこまで我々に抵抗できるか、楽しませてもらうぞ
勇者,…………
剣士,！？。なんだと……！？今の一瞬で１０人以上を……！？
勇者,自分の身の安全が保証されているわけでもない限り……。狩りで“楽しもう”などとは考えないことだ……
剣士,お、おのれ……！。ひるむな！残り全員でかかれぇっ！
隊員Ａ,ぐはぁっ！
勇者,…………
剣士,我が傭兵隊が……全滅……！。お前は……お前はまさか！。傭兵時代……聞いたことがある……！。最悪の人食い竜だったブラックドラゴンを、たった一人で退治した男の話を……。その男は帝国軍基地に侵入し、司令官を暗殺したとも……。西の王国に出現した魔王軍の敗退にも、関与が疑われていると聞く……。超Ａ級の……プロフェッショナル！。お前が……“勇者”か！
勇者,…………
剣士,あっさり我々に追跡されたのも、我々を誘い出すため、か。まさか、ドラゴンなどより恐ろしい怪物が、この山に潜んでいたとは……。どうやら……誤算は我々の方だったようだな……。しかし、我々とて精鋭……よもやここまで実力差があろうとは……！
勇者,いかなる名剣とて、研がねば切れ味は落ちるものだ……
剣士,！。…………
勇者,…………
剣士,でやぁぁぁっ！
勇者,…………
剣士,そっ、そうか……！無抵抗なモンスターばかりを斬っているうち……。いつしか……我々の“切れ味”も落ちて、いたのか……。違法ハンターなどに……身を落とした報い、か……
勇者,…………
狩人,狼煙が一向に上がらない……。いったいどうしたってんだ……
会長,まさか、全員やられたのでは……
狩人,バカな！アイツらは全員が、名うての剣の使い手なんだぞ！
会長,し、しかし……他に考えられないじゃありませんか！。どうするんです！？早く何とかして下さいよ！
狩人,ぐっ……！。ド素人が……好き勝手ほざきやがって！。保護協会のトップでもなきゃ、この場で殺して埋めてるところだ！。剣が飛んできた！？。攻撃か！？いや──。こ、この剣は──剣士の……！。お、落ちつけ！──みんな、落ちつけっ！。──あ、あっちだっ！。お前ら、矢を打ちまくれぇっ！。だ、誰もいない……。もし、さっきの剣や今の音に──。俺たちに“バック・フィーバー”を起こさせ。矢を使い果たさせる狙いがあったとすれば──。後ろ！？
勇者,…………
狩人,一人につき一撃で、確実に殺してやがる……！。なんなんだ、この化け物は……！。ま、まさか……今回のことは全てコイツ一人によるものなのか！？
会長,あ、あわわっ……！
狩人,ま、まだ、俺の矢は残ってるっ！
勇者,…………
狩人,この距離で、俺の矢を剣で弾くだとっ！？
会長,ま、待ってくれ……！君の狙いは分かっている！。君は違法なモンスターハンターを、討伐しにきたんだろう！？
勇者,…………
会長,私はハンターではない！モンスター保護協会の会長なんだ！。彼らに脅されて、無理やり狩りに参加させられてただけなんだ！
狩人,なっ、てめえ！
会長,助けてくれぇっ！
勇者,…………
会長,ぐはっ！た、助け、てぇ……
勇者,…………
狩人,うぅっ……！。な、なぁ……アンタ、俺と手を組まねえか？。アンタ、金で雇われたんだろ？モンスターハントってのは金になるんだ。俺とアンタが組めば、大儲けできるぜ！。も、もちろん、分け前はアンタの好きなようにしてくれていい！
勇者,…………
狩人,──わ、悪かった！俺、もう狩りなんかやらねえ！。今日で最後だ！だから頼む！命だけは助けてくれぇっ！
勇者,お前は“ありとあらゆる狩りを体験したい”そうだが……。なら……最後に“狩られる側”も体験すべき、だろうな……
狩人,！。うわわぁっ！
会員,副会長、ご覧になられましたか？この記事を……
副会長,ああ、驚いたよ。違法ハンターの中でも特に悪名高い狩人と。調査の結果、狩人と癒着していたことが判明した会長……。この二名の抹殺を“プロ”に依頼する資金がようやく調達できた矢先に──。会長もろとも、狩人率いるハンターどもが全滅させられてしまったのだからな
会員,証拠は一切残っておりませんが、やったのはおそらく……
副会長,我々が雇おうとしたプロフェッショナル……“勇者”だろうな
会員,しかし、我々でも標的二人分の依頼金をかき集めるのがやっとだったというのに。狩人の一派を全滅させるなどという、大がかりな依頼を行うとは……。これが勇者の仕業だとすれば、依頼者はいったい何者だったんでしょうか？
副会長,おそらくは……とてつもない大物が動いたに違いあるまい……。我々では到底想像もつかないような大物が、な……
人間に危害を加えない温和なモンスターを標的,ターゲット
