・このSSは,静・ジョースタの奇妙な日常
静,……？
早人,その彼女なんだけど……この前ちょっぴり会議で言ってた通り、一度家に訪問しようと考えたんだ。学ぶ意欲はあるみたいだから、学校のプリントとかも渡してみようと思ってる
大柳,へーッ、そいつはご苦労様です……どんな生徒だったか教えてくれよ
早人,で、今日伺いますって電話して、お家の方からオッケーももらったんだけど……実はぼく、他の仕事が入っちゃってさあ…………
大柳,……おいおい、まさか、ちょっと待てよ。ぼくは行かないからな？
早人,で、でも、君以外に頼める人がいないんだよッ！他の先生は、ほら……アレだろう？
大柳,アレじゃあない先生だっているだろうがッ。違う学年の受け持ちだけどさーッ、そっちの先生に頼めよなーッ
早人,で、でも！やっぱりこの学年に近い人じゃあないと……
大柳,だからァ～ぼくは無理だって！ぼくも仕事があるんだよ。誰かさんのせいで時間が……
静,……あッ！センセェ～あたしッ急用思い出したのでッ！失礼しま～……
大柳,まあ待て落ち着けよッ静！お茶でも飲んで……話でもしようや……
早人,――本当に、ムズかしい事じゃあないからさ？ただ、このプリントを渡して、様子を見てきてもらいたいってだけだよ、本当……
大柳,連絡網をまわすよーなもんさ。ちょっとしたおつかいだと思ってさ！な、頼むよォ～静ッ！
静,面倒なこと押し付けてさァ～……先生の良心ってヤツはイタまないのかッコラアーッ！
大柳,ああ痛むねーッバリバリ痛むよ！けどなァ～……君がぼくの時間を奪わなかったら、ぼくが行けたんだけどなァ～……誰かさんがぼくの時間を、あ！こりゃビックリ！奪っちまうんだもんなーッ……一体誰だろうね？ん？
静,せ、先生が勝手にあたしを呼び出しただけじゃんかさーッ！あたしのせいかァ～コレェ？
早人,生徒が悪いことをしたら、正すのが先生の役目だよッ！当然じゃあないかッ静さんッ！
静,……うーッ……分が悪いわよ……チクショー……
大柳,おッ？行ってくれるのかい？助かるなァ本当！いい子いい子してあげようか？
静,結構ですッ！……それで、その生徒の家は？
早人,たぶん、すぐにわかるんじゃあないかと思うんだけど……ドラッグのキサラの隣の所に、そば屋があるだろう？……そこだよ
静,……そば屋さんなの？へーッなんか凄いわねーッ
大柳,ああーっと、静……深い意味はないけどさーッ、ヤバいと思ったら、すぐ帰れよ？
静,……どういう意味です？
大柳,なんでもないよ……本当、なんでも
早人,とにかく、任せたよ。……キチンとこのプリント渡してね？……有栖川冥さんに
静,…………。勾当台商店街の先……そば屋有す川か……あたしあんまりこっちの方来ないのよねーッ。迷わかったらいいんだけど
広瀬川,あっ、静さん帰ってきた
虻村,おーう、スッゲェー長かったなあ～～～ベンジョか？
静,ちっげェーよバーカ。ずーっと職員室で怒られっぱなしだってのーッ。ホンット、カワイソーなあたしッ……
委員長,これに懲りたらあんまり目立つような変な事するんじゃあないよ？……はい、静さんコーラ好きだったよねっ？
静,キャーッ！ありがとっ委員長っ！瓶のコーラとはわかってるじゃあないの～～ッ！
虻村,委員長ぉ～俺の分は？緑茶のホット
委員長,暑くなってきたのにホットかい？売ってないだろ……買ってないしね
虻村,ケエーッ、静には奢んのかよォ～～。なんか不公平だろォーがよーッ
静,あたしはさっきまで先生に怒られて大変だったのよ？このくらい当然よ当然～
委員長,怒られてたのは君が悪いんだろう？当然だとか思わないでほしいなあ
静,ああ、ゴメンゴメン委員長。コーラありがとう愛してるわよっ。今度なんか奢ってあげるわーッ
委員長,まぁ、期待しないで待っているよ。うん。いつ奢り返してくれるのか楽しみだ……10年後とか？
静,イヤミったらしいわねーッ……すぐに何か奢ってあげるわよ。それこそ今日中でもいいわッ
広瀬川,あっ、それじゃあさー静さん
静,何？
広瀬川,実はさっきボク達で話してたんだけど、今日帰りにカフェ・ドゥ・マゴに寄らない？お話でもしようと思ってさーっ
静,あー……今日？カフェねぇ……
広瀬川,あっ、強制的に奢らせようとしてるわけじゃあないよ？ホント……ただ、一緒にお話出来たら楽しいだろうなって思って、ハイ
静,んー、奢るのは別にいいんだけど……
委員長,アレッ？本当に奢ってくれるの？冗談だったのに……別に僕は奢ってもらわなくてもいいよ
虻村,おッ！んじゃあよォ～～代わりに俺が奢ってもらおうかなあ～ッ！高いチョコレートパフェでも食わせてもらうぜーッ！ギャハハ！
静,うーん……ゴメン康司、今日はやめとく。……別に奢るのがイヤだからって理由じゃあないわよ？ま～虻村に奢るのはイヤだけど……そうじゃあなくって、他に予定があるってだけーッ
広瀬川,あ、そうなの？……珍しいね、静さん部活とかやってないのに予定だなんて
静,あたしだって本当はこんな面倒な事いやだってのッ。だけど行かないと後が怖いからさあ～～
委員長,？……何処にだい？
静,クラスメイトの家……先生に行けって言われたのよ。プリント渡しに行けってさーッ……マジで最悪
虻村,プリントだあ～ッ？欠席してた生徒にかよーッ？
静,ええ……家が有す川っていうそば屋らしいんだけど、三人は何か知ってるゥ？
広瀬川,！……知ってるも何も……
委員長,……君、それ本当かい？
静,……何が？
虻村,有す川ってよお～～！オメーメイの家に行くっつーのかあ～～ッ！？
静,……メイ？
委員長,ウラヤマシイなあ、メイの家に行くだなんて……僕まだ行ったことないよ
広瀬川,ボクもだよ委員長っ！メイの体調が心配だから行きたい気持ちは強いんだけど、メイに迷惑かかりそうで……
虻村,チクショーッ静ァ～ッ！それのどこが最悪だっつうんだーッ？ああ～～ッ？俺もプリント渡すの付いて行きたいぜーッ！
広瀬川,だ、ダメだよ虻村君！大勢で行ってメイの体調が悪化したらどうするのッ！？
虻村,お、おう……わかってるけどよ～～、でも俺もメイに会いてーんだよなァァ～
委員長,気持ちは痛いほどわかるさ、虻村君。僕も本当ならメイに会いたいからね
広瀬川,そりゃあ、たしかにボクもそうだけど、でもやっぱり……
静,ヘイ、ヘイヘイヘイ……ちょっと待ってアンタ達
広瀬川,？
委員長,……何か？
静,……どういう事？。アンタ達……何？全員……その、有栖川冥って子と……
広瀬川,？……えっ？友達だけど……？
委員長,ああ。……？
虻村,？
静,……何で？
虻村,……はあ～ッ？
静,だって……彼女は……あたし、彼女の事知らない……学校に全然来てないじゃあないの……なのに、友達？……なんか、あたし以上に親しい友達みたいな感じで……
広瀬川,？……静さん？
委員長,……どうかしたのかい？
虻村,ハラでもイテェーのかよ？冷てえコーラがぶ飲みすっからだろォ～～
静,……。…………友達って……なんなのよ……。駅からバスが出ていて良かったわ。無駄に迷ってウロチョロすんの好きじゃあないしね。……さ～～て！ケータイのナビによるとォ……。コンビニオーソン……ドラッグのキサラ……で、そば屋有す川……か……。左から、オーソン…………小道……ドラッグのキサラ……そば屋有す川……って、なってるわね……。……。このバカナビ……あたしのことナメてんのか？小道なんて何処にも書いてないじゃあねえかよーッ。だから兄さんのお古なんてイヤなのよ……デザインだってダサいし。今度新しいケータイでも買ってもらおうかな……。でも、まっ……どうやらあの店がそうみたいねーッ……どお～～れ、見てやるか……不登校の、引きこもりの顔を
老婆,いらっしゃああ～～い
静,……。……
老婆,ようこそお越し下さいました……どうぞお好きなお席に、ささ。ドーゾドーゾ……お客さんは初めてのお越しで？オススメのメニューは有す川セットですよォ～～。そばがきがついていてとってもオイチィ～んですよォ～～ッ。ささッ！お茶でも……
静,せっかくですけど、ごめんなさい。あたし食事に来たんじゃあなくって……クラスメイトの顔を見に来たんです
老婆,？……そばはいらないんですかァァ～～ッ？
静,ええ……ここに有栖川冥って子が住んでいるでしょう？貴女のお孫さん？……会わせてくれないかしら？
老婆,あらッ！貴女メイのお友達ぃ？オホホホホ……ちょっとおじいさん！聞いて下さいなァ～メイのお友達が来たよおーっ！そば作ってる場合ですかぁ～～っ！
静,いえ、そんな……騒ぐほどの事じゃあないです。ただプリントを渡しに来ただけで……
老婆,……だけどおかしいねッ！
静,えっ？
老婆,さっきお電話いただいた時は、先生が来るって聞いたのですけど……貴女先生？そのわりには小さいねェ～～～ちゃんと食べてる？
静,……あたしは学生です。……有栖川さんと同じクラスの、クラスメイト。……先生が来れなくなったんで代わりに来たんです
老婆,オホホ！そ～よそ～よ、そお～～よねェ～～！こんな若い子が先生なわけがないですよねェーッ！オホホホ……ホホ
静,……
老婆,娘のメイなら二階に居ますよォー。奥にどうぞ。テスタさんが案内しますので
静,……テスタ？
老婆,ささ！のれんの奥にどうぞ！……手は綺麗でしゅよねェ～？一応聞いておきますけどォ～～……。こっちですよ……そちらがウチのおじいさん
老人,……
静,あ、ドウモ……
老婆,それで、この扉の奥……。テスタさん、メイのお友達が来られましたよ。……あたしどもは仕事がありますので、娘のことはお願いしますねェ～……ささ、どうぞ
静,……お、お邪魔します。……ここは……お店の人が住んでる所？
男,ええ、そうです。……ようこそ居らっしゃいました
静,……貴方は？
男,メイの……お嬢様の執事……の、ようなものをやっています、テスタロッサという者
静,……執事ィィ～ッ？
男,ええ。……こちらにどうぞ
静,いやいやちょっと待ちなさいよッ！老舗そば屋の、いかにも和風ゥ～～な家に、外人の執事ィ？何かのギャグかしら？アンバランスすぎるわよーッ。アハハハハハハハハ
男,……
静,……ハハ……
男,……
静,……お、オホン……
男,……二階にどうぞ
静,……変なの
男,メイ……客人だ。クラスメイトが来たぞ
静,…………
少女,……いらっしゃい。有栖川冥といいます。初めまして
静,初めまして、有栖川さん。……あたしは静・ジョースター……先生の代わりにプリントを渡しに来たわ
メイ,そう。ありがとう、静……私のことはメイでいいわ。メイっておもいっきりなじるように呼び捨てにしてくれて構わない
静,……それじゃあ、メイ。……貴女、学校を長いこと休んでいるみたいだけど……もしかして、その……体調が悪いの？
メイ,……今日はずいぶんと良いわ。……普段は、太陽の光程度の刺激でさえ、苦痛に感じるのだから……
静,……
メイ,今日は良い天気ね……静。一緒に外を見ない？鳥が羽ばたくのを眺めましょう？
静,……せっかくだけど、遠慮するわ。貴女、体調が良くないんでしょう？あまり長居すると迷惑っぽいし
メイ,今日はいいのよ
静,あたしは気にするわーッ
メイ,いいのよ、別に……死ぬのが数日早まったって。私のこの病はもう……治ることがない……
静,……
メイ,残された短い時間を、貴女のために使ったって惜しくはないわ……
静,……そんな身体で、よく学校に来て友達作ることが出来たわねーッ
メイ,……ええ……たまには外出くらいするわ、私だって。……入学式の日は体調がとても良かったし
静,……
メイ,……私の友達に会ったのかしら？
静,……ええ。康司と虻村……あと委員長……みんな心配していたわ……
メイ,そう。……みんないい方ね。神様は残酷だわ……私には大勢の友達が出来たのに、そんな私を殺してしまうのだから
静,！……血……
男,メイ、平気か？
メイ,大丈夫、大丈夫だから……何でもないわ。本当、大丈夫……
静,あのォォ～～……あたし、そろそろ帰るわねッ。これ以上体調悪化したら駄目だしィ～～……
メイ,……もう帰るの？静……もう少し、もうすこしだけ……お話をしましょう？私と、いっしょに……
静,でも……
メイ,……ねぇ、静？神って何処にいると思う？
静,……神？
メイ,くだらない話……本当に神がいるのなら、その神は何処にいるのか？……それが解れば、人間は神に文句だって言えるでしょう？さて、その神は何処にいる？
静,……
メイ,……何処？答えて……
静,普通は…………天国なんじゃあないの？
メイ,……フゥン……それも正解でしょうね
静,……？
メイ,だけど違う。……正解は人々の心の中よ
静,……心……？
メイ,人々は天国を見たことが無いのに、その存在を信じてる。そして、その心の中の天国に、勝手に神を住ましているのよ。……神を見たことが無いのにね
静,……
メイ,この世界の人々全てが神を信じているからこそ、神というものは存在する。……もしこの世界中の人が、神というものを知らなかったら……神なんて存在しないでしょうね
静,……いきなり……何の話をしているの？
メイ,……もしも、この世界中の人々と、知り合うことが出来たなら……その人はどうなるのかしらね？
静,……
メイ,……素晴らしきこの世界……その人はきっと、神と同じになって……この世界は、天国になるんじゃあないかしら……
静,あたし……帰るわ。いきなり押しかけて……悪かったわね
メイ,……あらそう？もう少しゆっくりしてもいいのに……
静,いえホント……失礼しました……
メイ,……フゥン……
静,ヤッベェ～～よッ！こいつ相当のプッツン野郎だぜ～～ッ……家に引きこもりすぎて妄想と現実の区別ついてねェーよッ！話についていけねーッ！
メイ,……近付かないのね……
静,？……何？
メイ,いえ……何でもないわ。……お客様をお送りして。チェスタ
男,……はい
メイ,……また会いましょう、静・ジョースター
静,……ええ、そうね。有栖川冥。ハァー……何なのよ、アイツ……。結局何であんなヤツが、みんなと友達なのかわかんなかったわ……不思議な魅力ってやつかしら？……不思議すぎるっての……
大柳,おッ！静ーッ、訪問は終わったのかっ？
静,……何で先生がここにいるのよ
大柳,送り出したはいいけど、お前が心配だから急いで仕事終わらしてきたんだよ。……何だその嫌そうな顔は
静,先生が行けばよかったじゃんかさーッ！なんであたしに変な手間かけさせるかなあ、もう！
大柳,悪い悪い、いやけどホント、君が行ってくれて助かったんだよ。これはマジに本当。うん
静,いい加減で調子いいことばっか言ってんじゃあないってのーッ！
大柳,それで……どうだった？
静,何がッ？
大柳,有栖川さんの事だよ……どうなの？
静,どう、って……体調悪そうだったわ。入院させるべきじゃあないの？オツムもちょっぴりヤバそうだったわよ……ったく……
大柳,……
静,……何？
大柳,フーッ……君……アレになってないみたいだね……接触時間か、射程距離か……？
静,……？
大柳,何にせよ、アレにならない人もいるって事か。それがわかっただけでも儲けものだ。本当助かった……うん……
静,……アレって？
大柳,友達
静,……
大柳,……君も、奇妙だと思っていただろう？何故あの彼女は、あんなにも……友達が多いのだろう、って……
静,…………まさか……何かの能力だっていうの……？
大柳,能力か、薬か、洗脳か……方法はわからないけどね。彼女に接触した人はみんな、彼女の友達になっている……っていうのは事実だ。……教員すらね
静,……
大柳,彼女は、長くないみたいだけど……危険なのには変わらないよ。静……充分に注意しなよ。彼女と、彼女の友達には、ね
静,……
メイ,用心深い娘ね。あと一歩、もう一歩前に出れば……射程距離内だったというのに……
チェスタ,あまりイラつくな。身体に響く……。俺は君を神にすると、そう心に決めているが……君が死んでは、元も子もない
メイ,……ごめんなさい、チェスタ……そうね。まだ、まだ……私は死ねないのよね、まだ……。私が死んでも私は残る……だけど、まだ死ぬわけにはいかない。……やっぱり時間が足りないかしら？
チェスタ,……君の今の体力では、メイ……夏を乗り切るのは難しいだろう
メイ,ううん……今死んだら神にはなれないのよね。……やっぱり強硬手段しかないのかしら？
チェスタ,……
メイ,……本を手に入れて……東方仗助と接触して……アレを手に入れる。……ううん……
チェスタ,君の能力ならば可能かもしれない。2つ目と3つ目はな。しかし……1つ目は無理だ
メイ,静……彼女の能力ならば、手に入れる事が出来るのに……
チェスタ,……
メイ,仕方ないわ。梅雨があけるころが、タイムリミット……その頃までに彼が動かないのなら、私達がやるしかない
チェスタ,ペーパー・バック・ライター……あんなチンケな能力で、本が手に入る訳がない
メイ,どっちにしろ、アレを東方仗助から手に入れるには、私の能力じゃあないと駄目ね。チェスタ、貴方が本を手に入れる役になるかもしれないわ……覚悟は？
チェスタ,出来ている。……が、勘弁してもらいたいな。杜王町全てと戦うようなものだろう？
メイ,そうね。……だけど、やらないといけないの。私が神になるためには
チェスタ,……
メイ,……今日は本当に調子がいいわね……
チェスタ,無理はするなよ
メイ,していないわ。本当、全然……調子がいい。スガスガしい気分よ。……少し散歩に出てもいいかしら？
チェスタ,……着替えを用意しよう
メイ,お願いするわ
