彼の名前は,高橋
高橋,うんまたね。さて・・・ネットが使えないとなると暇だな・・・。またネットが開通したときのためにプログラミングでも学んでみるかな・・・。この本も大分わかるようになってきたから、もうひとランク上の本でも見てみるかな。有名なＣ言語とかどうだろ・・・。Ｃ言語って難しそうだな。この本には軽くしか説明されてないからな・・・。本屋でも行くか・・・。お～あったあった。Ｃ言語入門か～。うん！なに書いてるかわかんない！でもこれ買うわ
店員,８６００円になりますー♪
高橋,ははははいい！じ・・・じゃあこれで・・・
店員,一万円いただきますー♪１４００円のおかえしですー♪ありがとうございました♪またおこしくださいませ～♪
高橋,ああありがとうござああいいまくぁすぇｄｒｆｔｇｙふじこした・・・。いまの店員めちゃかわいかった・・・やっぱ可愛い子には俺・・・よわい。仕事になると普通に人と接することができるのにプライベートになるとだめだ・・。ただいま～
妹,あ、帰ってきたか。それよりウチのパソコンがネットに繋がんないんだけどしらない？
高橋,テレビでいまインターネット繋がらないってやってたよ～
妹,ほんとアンタ使えないね
高橋,はい。すみません。
妹,あ、今日学校帰りにプリン買ってきたから食べなよ。
高橋,あぁ・・ありがとね。
妹,今月ピンチなんだよね
高橋,５０００円でいい？
妹,ありがとー♪だ・い・す・きっ！ニヤニヤ
高橋,・・・。
妹,アイツシカトしてるし。
ドア,ガチャ・・・
高橋,ふぅ～・・・。俺がバイトを始めてから妹と会話する機会が増えたな・・・。うれしいな・・・。よし、さっそく本を読むか・・・。ふーんＣはアセンブルとのリンクが可能なのか・・・。一応俺はアセンブルはマスターしたから色々併用できそうだな。ん・・・？計算も必要なのか。。難しい計算だな。。。そういえば俺高校は工業高校でなんか変な電卓もってたな。あったあった・・・ほとんど使わなかった関数電卓。おーこれＣ言語も対応してるのかーｗｗすげえｗｗｗｗこんなところで役立つとはおもわなかったｗｗｗ。if,switch,forなんかも使うのか。なるほどね。よくわからん。とりあえずＣ言語でゲームも作れるみたいだな。たとえばこんな公式を打ち込むと・・・。まぁ・・・簡単なゲームのプログラムはできた。わからないところはアセンブラで補う。あとはダンジョン系を作成だな。ペイントで一コマずつ作成っと・・・。１ダンジョンをＸ軸５０＋Ｙ軸５０で作成っと。。。・・・昔のドラクエみたいなのができたｗｗｗ。敵のモンスターのキャラクターとかの絵や設定も必要だな。いちいちエンカウントは嫌いだからダンジョンに野放しにしておこう。あまりモンスターは大きいの嫌だからＹ軸１+Ｙ軸１の立ての大きさでいいや。完成だな。作ったはいいけどもうなんかいいや。つかれた。このデータは一応ＣＤにバックアップ取っておこう。。。でもどうしてネットに繋がらないんだろうか？なぜ麻痺してるのだろうか？。妹の部屋のＰＣはどうなったのか・・・。行ってみるか・・・。コンコン。妹いますか？
妹,はいはいーちょっとまってー
ドア,がちゃ
妹,なした？
高橋,妹の部屋からの無線ＬＡＮで俺の部屋でネットができるわけですよね。なのでちょっとモデムを見せてほしいのできました。
妹,どうぞご自由に。ウチなんもしてないから。
高橋,別になにも疑ってませんから。・・・ん？無線の部分がすごく熱持ってるな・・・。ネットを使ってるわけじゃないのになんでこんなに熱くなってるんだろうか。妹ー。今エアコンは何度に設定してる？
妹,まって！まって！えっとね・・・今は２３度に設定してるよ
高橋,そうかー・・・。部屋の温度は低めで何でこんなにモデムと無線機が熱くなってるのだろうか・・・。わからん・・・。あ、どうもありがとね！モデムとかには異常ないみたい！＾＾勉強の邪魔してごめんね。
妹,いえいえ～
ドア,ｶﾞﾁｬ
高橋,今は夏でもないしなんでだろうか・・・。モデムまでもおかしいのかな・・・。でもここまでおかしくなるわけないよな・・・。富岳元気かな・・・。電話してみるか・・・。あいつは働いてるのだろうか・・・。
電話,プルプルプル・・・
富岳,もしもし？
高橋,おー富岳元気かーぃ？黄猿風
富岳,お～ぅ元気だよ～ぅ？黄猿風
二人,ｗｗｗｗｗｗｗ＾ｐ＾
高橋,Ｃ言語は軽くできるようになったぜｗｗ
富岳,いや実は俺もある程度Ｃまでできるようにしたぞｗｗｗ
高橋,まじか！おｋｗｗｗネットが開通したら二人でチートしようずｗｗｗｗ
富岳,おｋｗｗｗｗ一緒にプログラム改ざんしようなｗｗｗ
高橋,そうそう・・・俺無線ＬＡＮなんだけどさ、
富岳,無線ＬＡＮでよくＦＰＳやってたな。
高橋,んでさ今ネット使えない状態じゃん？なのに無線発信機を触ったらめっちゃ熱もってんだよね。なんでだぜ？
富岳,え？ネット使ってないのに熱くなってんの？
高橋,うん。なんでかな？富岳の方はどう？
富岳,いや俺は無線じゃないしそこのところはわかんない。ネット使えないのに熱いって意味わかんないな。逆に考えてネット使われてたりｗｗｗ
高橋,ネット使えないのにネット使われてるっていみわかんないからｗｗｗそもそもインターネットが麻痺してんだぞ？ｗ
富岳,俺いま頭の中になんかよぎった。
高橋,え？なに？Ｗｗなしたｗｗｗｗキモいぞｗｗ
富岳,いやさ、ネット使えないのにネットが使われてるってことは誰かが意図的にネットを支配してるんじゃないかってね。めっちゃ中二病みたいな考えだけどさｗｗ
高橋,そんなやついるわけないじゃんｗｗｗそれだったらなんで俺にピンポイントなんだよｗｗ
富岳,お前以外で無線ＬＡＮの人近くにいない？知り合いとかさ。俺もネトゲ仲間に電話で聞いてみるよ。
高橋,・・・おう。もし無線の人がみんな発信機が熱くなってたらなんかわかりそうな気がする
富岳,んじゃそゆことで。ミッションスタート
高橋,俺には知り合いはいない。携帯も働いてから自分で買ったものだし・・・。幸いにも俺の家はマンションだから近隣の家を訪ねてみるか。まずは隣の家だな
隣,はぃ？
高橋,インターネットの麻痺のことでちょっと調べたいことがあるのですが、貴方の家は無線ＬＡＮを使用されていますか？
隣,いえ、無線ではないですよ。
高橋,そうでしたか失礼しました。どっかに必ず無線ＬＡＮを使ってる人はいるはずだ。無線ＬＡＮですか！？ちょっと調べさせてもらってもいいですかね！？
人,え？どうぞ＾＾；汗
高橋,・・・熱い。すごく熱を持っている・・・。どどどどどうもありがとうございました！！
人,いえ＾＾；もういいの？
高橋,はい！もう結構です！ありがとうございました！。富岳に報告だ・・・。
電話,プルプルプル・・・。
高橋,あっ！富岳！？いまやっと無線ＬＡＮの人見つけてさ、やっぱすごく熱を持ってた。。
富岳,そっちもか。俺のネトゲ仲間に聞いたら無線ＬＡＮの奴はみんな熱を持っていた。
高橋,決まりだね。
富岳,あぁ。これはインターネットが麻痺してるんじゃない。それぞれのパソコンが原因だったんだ。
高橋,新種のウイルスだね。ウイルスチェッカーに絶対引っかからない奴だね。
富岳,これはただのウイルスじゃないね。ウィンドウズやマッキントッシュのそれぞれのＯＳにへばりつくウイルスってことだな。
高橋,でもＯＳを入れなおしてもネットに接続したらまたスグ感染だよね。
富岳,そもそもＯＳのなんのフォルダにウイルスがへばりついてんのかが疑問だな。
高橋,システム３２あたりか？
富岳,基本動作するのならばシステム３２だな。システム３２のフォルダの中のひとつでもファイルを削除するとウィンドウズは起動しなくなるからな。
高橋,そもそもシステム３２の中を探すのはきついな。
富岳,じゃあまずはシステム３２のフォルダを一個一個の確認から始めるぞ。
高橋,なら内臓ＨＤＤを買ってそのなかにまずバックアップのＯＳをインストール後セーふモードにして感染されたＨＤＤをの中のシステム３２を見比べてみればおｋか。
富岳,ようするに、新しいハードディスクをマスターとしてそっちをセーフモードにして、そちらにOSを入れ直し、古いのをスレイブとして再起動
高橋,うん！
富岳,おｋじゃあお互いにやってみるか
高橋,じゃあわかったら電話よろしく。とりあえずＨＤＤを買ったはいいけど一回実験してみるか。パソコンの電源を切る。妹のもね。妹おおおおおおおお!!
妹,ううううわぁあ！なにぃ！なんだよ！なんですかっ！
高橋,パソコンの電源をきってくださいいいいいいいい！！！！
妹,いまちょっとマインスィーパーしてたんだけど！ってかドア勝手に開けないでください！ｗ
高橋,あとで５０００円あげるからパソコンの電源を落として１時間くらい放置してくれませんか？
妹,理由は？あと５０００円いただきますわッ♪
高橋,いま実験してますのですの。
妹,なんか意味わからないけどいいですわっ♪
高橋,ありがとね。んじゃよろしく。絶対ＰＣつけちゃだめだからね。ってか１時間たつまでこの妹部屋にいるから。
妹,へ～い。あ、１時間暇だから漫画貸して?
高橋,何読みたい？
妹,とりあえずアンタの部屋で選ぶ。
高橋,はい。わかりましたどうぞ。
妹,ウチがすこしでもいなくなったからって引き出しあけたりしないでよね。
高橋,わかってます。妹おそいな・・・。ちょっと自分部屋にもどってみるか・・・さすがに卑猥な本が見つかる可能性も無くはないからな・・・。ね～、いもう・・・！？
妹,ん～？あぁ自分の部屋に本持っていくのめんどくさかったからここで読んでた。あ、ベッド借りてるから～♪
高橋,あ、はい。どうぞご自由に・・・。あの・・・・ベッド臭いよ・・・？
妹,そう？普通だよｗってかアンタの部屋に入ったの久々かもｗｗｗｗ
高橋,そうですね＾＾；散らかっててごめんね＾＾；；ホントごめんなさい＾＾；；；；；
妹,兄妹なんだから気にしなぁ～いｗ。ちょ・・・なんで泣いてんの！？やっぱ布団使われるの嫌だった！？ごめんスグどけるから！ごめんね！＾＾；
高橋,うれしい・・・妹がこんなに俺に懐いてる・・・。妹はこんなに可愛い奴だったっけ・・・。いままで誤解しててごめんよ・・・妹ぉ・・・。
妹,あの～・・・ちょっと・・・なんですこしニヤけてんの・・・？頭大丈夫～？
高橋,うわぁぁあ！！！
妹,な・・・なにぃ！？そんな大声あげるいみわかんない！
高橋,ごめんなさい！ちょっと嬉し泣きしました・・・。いままでダメな兄ちゃんでごめんね。ごめんなさい。
妹,よしよし＾＾。ウチもあんたのこと結構誤解しててごめんね＾＾。そろそろ一時間だよ～ｗ
高橋,あっ！忘れてたｗあまりに幸せな時間だったからつい・・・ｗ。モデムが冷たい・・・１００パーセント確定。ありがとね！はいッ５０００円＾＾
妹,いらない・・・。それアンタが稼いだお金だから・・・。
高橋,・・・え？いやっ＾＾；いいよ！協力してくれてありがとう！＾＾
妹,いらないよ・・・いままでいっぱいもらってきたもん・・・。アンタがんばって働いてきたんだから・・・。
高橋,じゃあ今回は協力してくれたからそのバイト料ということで！＾＾どーぞ！＾＾
妹,・・・。
高橋,どーぞ！＾＾
妹,あ・・・ありがとうね・・・おにいちゃん・・・。
高橋,ッ！？おにいちゃん！？久々に聞いたゾ・・・。泣きそう・・・。
妹,また泣いてるし・・・ｗ＾＾；
高橋,グスッ
妹,おにぃーちゃん！がんばってね！
高橋,ギュッ！？！？！？！？！？
妹,んじゃ母さんの料理お手伝いしてくるからー＾＾ﾉｼ
高橋,ボーーーーッ
妹,＾＾♪
高橋,びっくりした・・・。妹の匂い久々に嗅いだな・・・。俺なんか５００円のシャンプーだもんな。妹・・・。おっと・・・することがあったんだった。。。幸せだったからすっかり忘れてた。もうパソコンなんか要らないのかもしれない。
携帯,ブーブーブー
高橋,ん？富岳からか。もしもし？
富岳,おい・・・。システム３２だけじゃなかったんだよ・・・。ＯＳ自体にこべりつくウイルスだ。簡単に言えばＯＳをすこし書き換えられるって感じかな。セキュリティーソフトはＯＳをウイルスとは認識しないからな。だから絶対検出されない。俺の予想だともう時期このウイルスはセキュリティーの高い企業ＰＣにも及ぶだろうな。さらに調べた結果セキュリティーソフトにも浸透してるんだよ。要するにあらゆるソフトもがウイルスになる。企業のセキュリティーもそろそろセキュリティー自体がウイルスになるんだよ。
高橋,それはどうやって調べたんだ？
富岳,簡単なことさ。一応新しいＨＤＤにもノートン先生入れたんだよ今後のためにね。そしたらさｗｗｗ聞いて驚くなよ？。古いＨＤＤと新しいＨＤＤを共有するのさ。そして新しいＨＤＤのノートン先生に最初は反応でた。最初はブロックしてくれた！
高橋,ほうほう
富岳,そしたらさｗｗｗｗ検出件数が１件だったのに０件になって反応無かったことになってんのｗｗｗログにも残ってなかったのｗｗｗ考えられるか？ｗｗ
高橋,すごいなそれーｗｗｗやっぱウイルスだったんだなーｗ改めて実感したよｗ。こっちも実験したよ。パソコンの電源を切って１時間放置したところ無線発信機の温度が下がった。
富岳,これで完璧な裏づけができたな。
高橋,だね。
富岳,ちなみに知り合いにマッキントッシュを使ってた人がいたけどそのＯＳも同じ状況だとさ。
高橋,じゃあ従来のＯＳはもう壊滅ってこと？
富岳,そゆことになるね。もう時期インターネットサーバーを経由してる携帯電話も使えなくなるとおもう。
高橋,そうか・・・富岳。連絡先が途絶えても友達だからな・・・。俺・・・お前しか頼る人がいなくて・・・。
富岳,大丈夫だってｗｗ心配すんなよｗ
高橋,一応俺の住所教えるからね
富岳,じゃあ俺の住所も教えておくわ。
高橋,富岳が言ってたように従来のＯＳがダメってことなんだよな。
妹,おにいちゃん？おにーーちゃーん！おにいちゃんッ！！！
高橋,はいっ！？
妹,ご飯食べてるときくらい考え事やめなさいｗ
母,そうよ？いまはみんなで食べてるのよ？せっかく父さんだって帰ってきてるし、妹２ちゃんもおとなしく食べてるのに！
妹２,んにゃ～
父,うむ。男はしっかり食べて頭を使いなさい。物事をしっかり状況に応じて考えて行動しなさい。
高橋,頭を使いなさい・・・？。はい。このたまご焼きおいしいです。
妹,それウチが作ったやつだし～ｗ褒めてくれんの？ｗうれピ～ｗｗ
高橋,うん！おいしい！ｗ
妹,いや・・・ありがとう・・・ｗ
妹２,モグモグ・・・
高橋,妹２ちゃんは来年小学生だね。
妹２,うんっ♪
高橋,楽しみ？
妹２,うんっ♪
妹,おにいちゃんｗ妹２ちゃんは食事中うんッしか言わないからねｗ
高橋,そっか・・・。久々に喋れるとおもったんだけどな・・・。ご馳走さまでした。ちょっと部屋ですることあるからお先に・・・。
父,パソコンばかりするとバカになるぞ
母,休憩も必要だからね～＾＾
妹,片付けておくから食器そのままでいいよ＾＾。おにいちゃんｗ妹２ちゃんは食事中うんッしか言わないからねｗ
高橋,そっか・・・。久々に喋れるとおもったんだけどな・・・。ご馳走さまでした。ちょっと部屋ですることあるからお先に・・・。
父,パソコンばかりするとバカになるぞ
母,休憩も必要だからね～＾＾
妹,片付けておくから食器そのままでいいよ＾＾
妹２,ばいばい～☆おにーちゃん！手！手！
高橋,ん？え？あ、手！
妹２,ちーがーう。手！
高橋,ハイタッチかｗハイ！ッ手！
妹２,いってらっしゃーい☆
高橋,いってきますｗ
ドア,ガチャ
高橋,ふぅ～・・・ちょっと気分が明るくなった気がする。
母,あの子なりにがんばってくれればいいわ。
父,そうだな。アイツはこういうことには没頭できるタイプだからきっと大丈夫だ
妹,頑張ってほしいもんね♪＾＾
妹２,ﾌﾝﾌﾝ♪ﾌﾌｰﾝ♪
妹,妹２ちゃんもおにいちゃんを応援しようねー♪＾＾
妹２,ガンバレおにいちゃん！｀・ω・´
高橋,従来のＯＳが駄目となると・・・新しいＯＳを作るってことか・・・？でも新しいＯＳを作ったところでそのウイルスは新しいＯＳにも適用したらどうする？。そもそもＯＳはなんのために存在してるんだ？。ＯＳの役割とはなんだ？。ほうほう・・・この本に説明書いてあんじゃんｗ。簡単な話が、デスクトップの要らなくなったアイコンとかをゴミ箱にドラックアンドドロップの動作を可能にしたのがＧＵＩでそれの補助をするのがＯＳってわけか。当たり前な操作が実はこんな難しい話だったんだな。じゃあ要するにそゆ動作は残せばいいんだな。さらにそれ以外の動作は完璧に封印・・・ってかそのプログラムを組まないで元から無い状況ならウイルスにも感染しない。おそらく富岳もこの考えをするはずだ。しかし、ネットに繋げなければ意味がないよな。ネットに繋ぐプログラムを作ってネットに繋ぐと感染するんだから・・・どうすれば・・・。
テレビ,いまだインターネットの開通の目途は立っておらず、世界は経済麻痺をおこしています。
高橋,やっぱりこのことを国に報告して専門家がやったほうがいいのだろうか・・・。そのほうがいいよな・・・。ん？まてよ？そもそもＯＳにウイルスが張り付くんだよな。ＯＳはＨＤＤに保存されるんだよな。じゃあココですごく簡単で軽いＯＳを作って物理メモリに保存させてＨＤＤは一切使わないパソコンを作る。要領いっぱいのメモリにはウイルスが入る隙間はない。もし仮に自分が作ったＯＳが５００ＭＢだとする。そしてウイルスが入るが要領がいっぱいになるので入ってこれなくする。しかし・・・。そんなこと可能だろうか・・・。実際にそんなＯＳができたとしても、何かとＵＰデートがある。いや・・・まてよ・・・自分でアセンブルとＣで混合させたＯＳを開発すればまったくもってほかのソフトは受け付けない。そうすれば不可能ではないが・・・。いままではウィンドウズを介してインターネットに接続してたから・・・。その前にプロバイダは生きてんのか？。もうやらなければならない・・・。そういえばファイル共有ソフトがあったな・・・。このファイル共有ソフト自体は２００ＭＢだ。ならば物理メモリ１ＧＢで大丈夫だ。残り３００ＭＢをどうしようか。あ、自分で作ったＯＳを分割ファイルとして保存しておけばいいのか。よし、決めた
キーボード,ガチャガチャガチャガチャガチャガチャガチャガチャガチャガチャガチャガチャ！！！！！
高橋,いける！絶対いける！！！
キーボード,ガチャガチャガチャガチャガチャガチャ
