記者,コジローCEO！ライモンシティ再開発の目的は何でしょうか
サトシ,いや…だってあの史上最高のカロスクイーンが…んんんんん！
ピカチュウ,ぴーかぴーかー♪
セレナ,サトシ？オーキド財団から封筒が来てるわよ。だってポケモン図鑑を驚異的に完成させたのはあなただもの
サトシ,そんなの旅の副産物みたいなものさ
セレナ,またそんなこといって
サトシ,んんんんんっ！
ピカチュウ,ぴーかぴーかー♪
セレナ,あら？誰か来たわ？まったく無粋な
エドガー,お邪魔しますよ
サトシ,何だお前か、再戦は無しだよ。お前の勝ちだ
エドガー,…単刀直入に用件を言うよ。ライモンシティのジムリーダーになって欲しい
サトシ,！！！
セレナ,サトシ！
サトシ,俺が…。でも…俺はもう
エドガー,…でもお前さんの相棒はどうかな？
サトシ,え！？
ピカチュウ,ﾖﾛｯ
サトシ,ピカチュウ！お前…そうか
セレナ,！
サトシ,俺が…ジムリーダー。…わかった
エドガー,一週間後相手を連れてくる。
サトシ,…カミツレさん
セレナ,サトシったらこんな時間まで起きてて…眠れないの？
サトシ,…明日はジムリーダーテストか…
セレナ,ねえ、サトシ…訊いていいかな
サトシ,ん？
セレナ,どうしてサトシはポケモンマスターの夢を諦めたの？
サトシ,…
セレナ,燃え尽きてしまったの…？。でぇっかい荷物抱えて私が押しかけてきたと
サトシ,はははは
セレナ,私が現れたとき、どう思った？。ﾌﾞﾝﾌﾞﾝ
サトシ,でもそれってあれだろ？ジョーイさんだっけ
セレナ,共依存ね。でも…お互いに幸せならいいって思ってたから。でもね、エドガーからライモンシティジムリーダーの話を聞いたときのあなたの目つきが変わったのを見たとき感じたの。やっぱりあなたはポケモントレーナーだって
サトシ,一応かつてのカンを取り戻すためにこの一週間色々やってきたけどな
セレナ,きっとサトシなら大丈夫。私は信じてるからっっんんんん！。んっんっちょっとどうしたのんっんっちょっと電気消してお願いんっんっ
サトシ,…ｚｚｚ
エドガー,ほほう、あのときとは全然目つきが違うぜ
カミツレ,久しぶりね
セレナ,ああああカミツレさん！！
サトシ,ご無沙汰してますカミツレさん。さあ早速始めましょう！
カミツレ,残念！あなたの相手は私じゃないのよ
サトシ,え？
エドガー,そろそろ来たようだな
サトシ・セレナ,あ！…あ、あの気球はまさか！
ムサシ,あの気球は…まさか！ときかれたらぁ！
コジロー,答えてあげるが世の情け
ムサシ,株価の下落をふせぐため
コジロー,セレブな暮らしを守るため
ムサシ,愛と真実の悪を貫く
コジロー,10余年ぶりのラブリーチャーミーな敵役ぅ！
サトシ,ロケット団！。俺もう30過ぎてるんだぞ！ジャリボーイはやめろ！
コジロー,ふん、ほんのジャリだったくせに。お前なんか俺たちから見たら未だにジャリボーイだ
ニャース,ライモンシティほぼ全域を買収して大もうけするニャ
サトシ,そうはさせるかぁ！！！
ムサシ,あらなんで？これ全部合法なんだけど
サトシ,…っうっ！つい昔の習慣で。でもカミツレさんどうして！
カミツレ,彼らは合法企業になってから私のスポンサーになってもらってるの。
サトシ,しかし何でお前らがそんな合法企業なんて！
コジロー,レシピを考えたのは俺な
ムサシ,それ味見してGO出したのあたしねっ！
コジロー,他人のポケモン盗むよりも大もうけできることに気づいたのさ
サトシ,画期的なシステム
ニャース,賄賂制の導入ニャ！
サトシ,ふざけんな！そんなポケモンリーグを愚弄するマネさせるかぁ！
カミツレ,…！
ムサシ,じゃあ止めてみなさいよジャリボーイ
サトシ,当たり前だ！行けファイアロー！
ニャース,2対1でまさか卑怯とは言うまいニャ？
セレナ,サトシ！がんばって！
サトシ,ああ！燃えてきたぜ！
ムサシ,2対1？何言ってんの！徹底的に行くわよ！。ハブネーク！！
コジロー,うわあ！そこまでやるかあ！
ムサシ,パンブジン！シャドーボール！
サトシ,よけろ！そしてつばめがえしだ！
ムサシ,ふふん
サトシ,？？
ムサシ,今よ！ハブネーク！どくどくのキバ！
サトシ,ファイアロー！もう少し我慢してくれ
ムサシ,ベノムショック！
セレナ,サトシ！サトシ！ああもう見てられない！
カミツレ,そう…ピンチが必要…
ムサシ,んっふっふっふーん？今ごめんなさいしたら許してあげるわよおん？。ん？何よ何の音よこれ！
サトシ,…待ってたぜ！ヒヤヒヤしたけどな！
カミツレ,ドラマチックな勝利のためには！！
コジロー,リザードン！！
サトシ,リザードン！かえんほうしゃだ！
ムサシ,ソーナンス！よろしく！
サトシ,ギリギリだけどいけるかファイアロー
ファイアロー,ｺｸﾘ
サトシ,ファイアロー！フレアドライブ！リザードン！ブラストバーン！
コジロー,おい見ろ！リザードンの背中
ニャース,あれは
ムサシ,ピカチュウ！！！
サトシ,ああ！俺はずっとずっとこいつと一緒だ！
セレナ,やっちゃえ！サトシ！！
サトシ,行け！ピカチュウ！
ニャース,ああ…久々に来るニャー
コジロー,久々にあの尾てい骨までゆるがす衝撃…
ムサシ,久々にどこまで飛ぶのかしらぁ
サトシ,10まんボルトぉぉ！
ピカチュウ,ぴいいいいかあああちゅうううううう！！！
コジロー,ライモンジムは大盛況！そしてライモンシティも発展して我々は大もうけ！
ムサシ,ちょっとまってあたしのジムリーダー就任
セレナ,信じててよかったぁ…ｴｸﾞｴｸﾞ
カミツレ,文句なしね。サトシの好きに改装するといいわ
サトシ,ギミックはいりません。扉を開けたらすぐに相手をします。そうですか…じゃあ俺わかんないからおまかせします。おう！！！
