バラモス(高１),焼きそばパンな。ダッシュで買ってこいよ、腹へってんだからwww
大魔神,うわっ！！噂をすれば！！！全然行方不明じゃないじゃん
バラモス,ゾーマ……………先輩…
ゾーマ,え？
バラモス,お、俺を……あなたの舎弟にしてください！！！
一同,な、なんだってーーーー！！
ゾーマ,……な、なに？なんで？この間のリベンジに来たんじゃないのか？。え…いや…俺は…。え…その…やだ…
バラモス,な、なぜですかゾーマ先輩！！
トロルキング,(ゾーマ君…)
バルログ,いや…絶対面接で落ちると思うよ…
トロルキング,ああ…その実力じゃあ、絶対落ちるよ…
ゾーマ,やだ。帰れ。マヒャド
バラモス,うぎゃあああああああああ！！！！！！！！！！！！。え…わたしが…ですか。は、はい！！ゾーマ様
ゾーマ,ふふ…たのんだぞ、魔王バラモスよ
バラモス,ちょ……////や、やめてくださいよ…！！魔王だなんて！！
ゾーマ,なんだ、お前あんなに魔王になりたがってたじゃないか。いいんだ、魔王の称号はお前にゆずる。そのかわり、私のことは大魔王と呼べ
バラモス,……は、はい……大魔王ゾーマ様
バルログ,ああ、ゾーマ君だもんな。
だいまじん,バラモスだろ？地上世界の指揮官に任命されたってよ
うごくせきぞう,はっ！！
じごくのきし,了解しました！！
ライオンヘッド,バラモス君…なんかうれしそうだな…のりのりだよ
