そんな中、その5人が一目置いていたといわれる・・・幻の,6人目
アッコ,あたしはピッチャーや、勝俣は捕手で・・・・
出川,アッコさんｗそれ野球っすよｗ
勝俣,バスケのポジションと野球間違える人なんてアッコさんぐらいっすよｗｗｗｗ！！！！
アッコ,あん？
勝俣,すんませんっす！！！！！！！。PGは隊長に任せましょうよ！指揮する力はあると思いますし！
藤岡,ああ・・・君達に的確な指示を出していく
勝俣,てっちゃんはCセンター
出川,え、やばいよやばいって・・俺みたいな奴があんなゴール下で・・
勝俣,シンスケさんはFで、俺はSGしますね！
アッコ,あたしはどこや？
勝俣,ポジション無しっすよｗｗｗｗアッコさんにポジションなんて決めれませんからｗｗｗ！！！
アッコ,なら、自由に動くわｗ
勝俣,はいｗｗｗ！！！！俺達は全力でサポートするんでｗｗｗ！！
シンスケ,今から練習しときましょか
アッコ,飲みに行くで
勝俣,ｗｗｗｗｗｗｗｗｗｗｗｗｗｗｗｗｗｗｗｗ
赤司,試合は明日の午後３時から○○コートで行なう。遅刻は厳禁だぞ
緑間,それぐらい分かってるのだよ・・・
紫原,あーめんどくさいなぁ
黄瀬,久し振りに気楽に挑めそうな相手っすね
青峰,・・・・どうだろうな
黄瀬,え？
アッコ,勝俣ｗもっと飲めやｗ
勝俣,いただきぁっしゃｗｗｗｗｗ！！！！！！。ｗｗｗｗｗｗｗｗｗｗｗｗｗｗｗ
アッコ,他の奴等は先帰ってもうたから・・お前しかおらんねん
勝俣,アッコさんと２人で飲めるなんて嬉しいっすよｗｗ！！
アッコ,そうかそうかｗもっと飲めｗ
勝俣,・・・・
黒子,あの
勝俣,っあああああああ！！！！いつの間にいたんだよ！！！！
アッコ,なんやお前？学生か？
黒子,明日の相手チームの黒子です。お話しがあって来ました。
勝俣,アッコさああああん！！！これ完璧にスパイっすよ！！！！！！！。酒に酔った俺等からチームの情報盗むつもりっす！！！！
アッコ,やかましいねん、勝俣。別に隠す程強いチームでもないやろｗ
勝俣,うっあああああｗｗｗｗ！！！正論っすねｗｗｗｗ！！！！
黒子,もしかして、勝つ気でいるんですか？
アッコ,当たり前や
黒子,こっちはキセキの世代全員が揃ってるんですよ・・貴方達が勝てる可能性は限りなく低い
勝俣,勝てる可能性ないなんて、そんなこと分かってんだよ
黒子,勝つことが全てのチームです、こちらは
アッコ,パチンコかて負ける確率高いって分かってても打つやろ？。今回の試合はそれと一緒や
勝俣,例え方ひどいっすよアッコさんｗｗｗｗ！！！！！！！
アッコ,玉が出続ける限り諦めん、そう上のモンに伝えとけや
勝俣,かっけえええええ！！！アッコさんやっぱかっけえええええ！！！！！
黒子,分かりました・・・。貴方達なら勝てるかもしれませんね・・そんな気がしてきました。失礼します
勝俣,あいつホント影薄すぎて身体透けかかってるよおおｗｗｗｗ！！！！！
審判,これより、アッコチームvsキセキの世代の試合を行ないます。両チーム・・・礼！！！
青峰,へっ、お前が一番戦えそうだな
アッコ,ふんっ、１００年早いで
勝俣,いきなり相手チームのエースとガンのくれ合い飛ばし合いかよおおｗｗｗｗ！！！！
紫原,なに、センターこいつなの？
出川,・・・・やばいよ・・やばいって！！コイツでかすぎって・・・！！
緑間,今日の俺の運勢は絶好調だ、シュートは絶対に外さん
勝俣,やべええええええ！！！！あいつシュート絶対外さないキャラだ！！！！
審判,ジャンプボール
赤司,まずは確実にいくぞ
紫原,分かってるって、取ればいいだけじゃん
審判,ピーーーーッ
アッコ,うおおおおおおおおおおおおおおお！！！！！！！！！！！
紫原,・・・！？
勝俣,すげええええええ！！！アッコさんジャンプボール制したァ！！！！！
藤岡,ナァァイスゥ・・・まずは落ち着いていこう
赤司,俺は敵の動きを読むことが・・・
勝俣,隊長ーーー！！！パァーース！！！パス！！！！
藤岡,ふんっ
黄瀬,緑間っち！
緑間,分かってるのだよ・・・！！
アッコ,おい、勝俣ァ・・！それ遠すぎや・・！！
緑間,ふん・・俺のようなシューターでない限りその位置から入るはずが・・・
勝俣,ッシャッシャッシャァァアアアア！！！！！シャアアアアアア！！！！！！！
スパッ,シュート成功
緑間,馬鹿・・・な・・・・？
勝俣,うおおおおお！！！！なんか適当に打ったら入ったってｗｗｗｗ！！！！
出川,かっちゃんｗやるじゃんｗ
シンスケ,おら！今のシーン何回もカメラで回せや！
アッコ,勝俣ｗお前たまには使えるやんけｗ
勝俣,アザーーーーーッスｗｗｗ！！！！！たまたまっすよｗｗｗ！！！！
青峰,おい、紫原・・・さっきのジャンプボール
紫原,分かってるって、手は抜いてなかったし
黄瀬,まさか、緑間っちと同じぐらいのシュート能力があったなんて・・・意外っす
緑間,マグレに決まってるのだよ・・！
赤司,黒子、出番だ
黒子,はい
勝俣,あーーーーｗｗｗｗ昨日の奴っすよｗｗｗｗｗ！！！
アッコ,なんやｗキャプテンはもうママのおっぱい恋しなったんかｗ
出川,俺等すごいっすよ・・キセキの世代を圧倒してますから・・
藤岡,ンヒィッ
シンスケ,よっしゃ・・！ええ感じで試合が回っとる。ある程度、追い詰めたらこっちが手抜いて負けるでええやろ
アッコ,ディフェンスや！お前等上がれ上がれ！
勝俣,ちょｗｗｗｗｗｗアッコさんディフェンスに参加しないんすか！？ｗｗｗｗ
アッコ,ちょっと一服やｗ
黄瀬,やっぱ・・・ディフェンスに関しては素人っすね・・！
シンスケ,あ、抜かれたわｗ
アッコ,シンスケェ・・・！！お前なにやってんねん！！
シンスケ,すんませんｗ余所見してたらｗ
勝俣,あいつ昼休みバスケの余り当然じゃないっすかｗｗｗ！！！！
黒子,黄瀬くん
黄瀬,黒子っち！
藤岡,影の薄い少年にパスが回った・・・！
勝俣,てっちゃんっ！！！！そいつ潰せって！！！！！
出川,おっけーｗ
黒子,・・・・・
出川,！？
勝俣,ボール・・・持ってない・・・！？
青峰,ナイスパス、テツ
勝俣,あいつドリブルのスピードはええええええっ！！！！！！！！
アッコ,来いや
出川,あ・・・あんな遠くから飛んでダンクするのかよ・・！？
勝俣,なんだよあの跳躍力！！！！化けモンかよ！！！！！！
アッコ,チッ・・・！取り返すで・・・！
出川,あ、アッコさん・・・！
アッコ,ん？
黒子,・・・・
勝俣,スティール・・・！！！！
シンスケ,バレへん程度に隅で隠れとこ
アッコ,おい・・・！藤岡ァ！！止めろや！！
藤岡,任せてくださいよ・・・！
黒子,紫原くん
紫原,オッケー、黒ちん
藤岡,・・・分かる・・・俺にはコイツの動きが読める
紫原,・・・！！
勝俣,やっと役に立ったよあのオッサーーーンｗｗｗｗｗｗ！！！！！
藤岡,ヒィヒィッ・・・んじゃはぁっ・・！！
アッコ,でかした藤岡
勝俣,カウンターっすよ！！攻め込みましょう！！！
アッコ,おおおおおおおおおおおおおおおお！！！！！！！！
勝俣,ちょｗｗｗｗｗアッコさんハーフラインから飛んだｗｗｗ！！！！！
青峰,ば・・・馬鹿な・・・！？
黄瀬,人間じゃ有り得ない跳躍力っすよ・・・！
アッコ,空中散歩アッコ・ウォーク
勝俣,ｗｗｗｗｗｗｗｗｗｗｗｗｗｗｗｗｗｗｗｗｗｗ
藤岡,ボールがリングからこぼれた・・！リバウンドだ・・！
緑間,紫原・・！
出川,っしゃああああああ！リバウンドってやっと俺の出番じゃないっすか。うあっ・・ちょマジいてぇって・・
紫原,は？
出川,いてぇって・・・やばいってこれマジで・・全身剥離骨折だってこれ・・
青峰,紫原、無視しろ
出川,ちょ・・おいファウル取れって・・・
勝俣,ｗｗｗｗｗｗｗｗｗｗｗｗｗｗｗｗｗｗｗｗｗｗｗｗｗ
アッコ,出川・・！そんなリアクション今いらんねん・・！
出川,これ俺の能力なんすよｗ
勝俣,役に立たなさすぎんよおおおｗｗｗｗｗｗｗ！！！！！！！
紫原,お前みたいに才能ない奴がやるスポーツじゃないから。見てるとすっげームカつく
出川,・・・・・・。リアクション一筋で・・・これまでやってきたんだよ・・・！！。あんな餓鬼に・・あんな餓鬼に・・・！！！
紫原,黒ちん
黒子,緑間くん
緑間,やっと俺の出番なのだよ・・ハーフラインから決めてやろう・・！
勝俣,ああああああ！！！アッコさああああん！！！あいつハーフラインからシュート決めれますよおお！！！
アッコ,・・・・っ！！
赤司,決めろ
緑間,・・・・・行くぞ
出川,決めさせねぇよｗ決めさせねぇってｗｗｗいやマジ決めさせねぇからｗｗ
緑間,！？
勝俣,てっちゃんｗｗｗｗｗｗｗｗｗｗｗｗｗ！！！！！！
出川,出川リアクション
藤岡,よーーーーーし！！ボール拾ったぞ・・・！！！！
出川,藤岡さん・・！もう１回俺にボールください・・！
黄瀬,俺がぜってー止めるっす・・・！
出川,ﾆﾔｯ。・・・・・。いっててっ・・・やばいってやばいよマジで今のファウルやばいって・・
黄瀬,はぁ！？
勝俣,決まったああああああ！！！しかも３Ｐかよおおおｗｗｗｗ！！！
審判,５番！
黄瀬,！！！？今のファウル取られたんすか！？
勝俣,あああああああ！！！！これで３Ｐも決まって更にフリースロー１本の権利が与えられたあああｗｗｗ！！！！
緑間,ふん、たかがリードしてるだけで勝ったつもりか？
アッコ,おいおい・・！あんな遠いとっから決めるんか！？
勝俣,あいつのシュートレンジはフルコートっすよ！！！！！！
緑間,俺のシュートは・・・落ちん！！
アッコ,チィッ・・・！てか、シンスケェ・・・！お前なにしてんねん！！
シンスケ,アッコ姉さん、走ってください
アッコ,あん？
黒子,まさか・・・
シンスケ,・・・・・・アッコ姉さん・・・！！！
勝俣,すっげええええええ！！！！黒子かよｗｗｗｗ！！！！！！！。やべええええええええ！！！！コートの端から端までぶっちぎったああああｗｗｗ！！！！
シンスケ,すまんなあ・・こっちも視聴率かかってんねん・・・
勝俣,シンスケさん！！
シンスケ,行くで。上昇する視聴率イグナイトパス
黒子,・・・！！
勝俣,はっええええええ！！！あれがもう１段階上のパスかよｗｗｗ！！！！！
シンスケ,ニタァ
勝俣,ちょｗｗｗｗｗｗ笑った顔ホント悪者っすねｗｗｗｗ！！！！
審判,ピーーッ！第１Ｑ終了！！
赤司,・・・・なんだこのザマは？
青峰,テメェが俺にパス回さねぇからだろ
黄瀬,ひぃっ！どうして俺なんすか！
赤司,黙れ
黄瀬,！！！！！！！！！！！！！
赤司,黒子、次のＱでは下がっていろ
黒子,・・・・はい
赤司,絶対に勝つぞ・・・負け等、考えるな
緑間,当然なのだよ
青峰,次のＱから俺だってゾーン入って決めてやるよ・・
アッコ,おう、酒持ってこいや
勝俣,かっけえええええええ！！休憩中に酒飲むアッコさんかっけええええ！！！
出川,あいててっ・・もっとリアクションで演技しないと
シンスケ,アッコ姉さん、時間です
アッコ,ああ、もうそんな時間か
勝俣,どうしたんすか？？
アッコ,全員ゾーン入れ
勝俣,！！！！！！！！！！！！！！！！
藤岡,んん～っ、入ったぞ
出川,入りました
シンスケ,俺も後ちょっとで入ります
アッコ,あたしも入ったで
勝俣,ゾーンこんなに安っぽいのかよおおｗｗｗ！！！緊張感ねぇなあｗｗｗｗ！！！！
赤司,どけ
勝俣,アッコさんふっ飛ばしやがったｗｗｗｗｗ！！！！！！！！
アッコ,・・・・
赤司,図が高い
アッコ,なんや？あぁん？
赤司,・・・・
アッコ,っ・・・・！！！！
勝俣,あぶねえええええ！！アッコさんにハサミ突きつけるとか怖い物知らずかよｗｗ！！！！
赤司,例えアッコであろうと・・・殺す
シンスケ,お・・おい！バスケしろや！視聴率とれへんやろ！
アッコ,おう、ちょっとツラ貸せや
赤司,ごふっ・・・！。・・・・・・くっ
アッコ,お前等なぁ・・！試合中ほんまつまらなさそうな顔しとんなぁ！。チームメイト同士もっと仲良くしろや。勝つことを考えるんはええけど・・もっと大事な事もあるやろ！。目先の事に捉われ過ぎて見失ってるんちゃうか！？あぁん！？
勝俣,アッコさん説教タイムっすかｗｗｗｗｗｗｗｗｗｗｗｗ
シンスケ,ええでええでｗこれで感動シーン入れて視聴率どーん稼げるわｗ
アッコ,バスケはなぁ・・１人やとできひんねん・・・！！
黒子,・・・・赤司くん
赤司,黒子・・
黒子,僕は勝つことが全ての考えに疑問を持っていました。あの大女さんが言った通りです
勝俣,ｗｗｗｗｗｗｗｗｗｗｗｗｗｗｗｗｗｗｗｗｗｗｗｗｗｗ
赤司,・・・黙れ・・・ぇ・・！黙れ・・・！！！。試合再開だ・・・！行くぞ・・！
アッコ,チッ、聞き分けの悪い奴やなぁ
勝俣,アッコさん！！！！こっちも全力で潰しましょう！！！
アッコ,当たり前や・・・！！
勝俣,アッコさんに服従するのはもう・・・やめる
出川,千年氷牢
藤岡,変身・・・・！
アッコ,おあおあおあああああああああ！！！！！！
勝俣,アッコさ・・・ん！！！！！！
出川,決めてください！！
シンスケ,アリウープパスや！
藤岡,んほぉ！
緑間,しまった・・・！
アッコ,見とけやキセキの世代・・・！これが・・・アッコ軍団の集大成や・・・・！！！！！！
勝俣,やべえええええｗｗｗｗｗｗｗ片方のリングまで壊したあああｗｗｗｗ！！！！
シンスケ,おい！今のシーンはカットしとけ！。オンエアでも無しや！
アッコ,・・・・ふっ
勝俣,終わって見れば１２９対２６で俺達の勝ちっすねｗｗｗｗ！！！！！！
アッコ,大したことなかったやろｗ
緑間,・・・・・
黄瀬,負けた・・・あれ・・？涙が・・・
青峰,・・・・俺達の負けだ
赤司,ふざけるな、ふざけるな、ふざけるなふざけるなふざけるなふざけるなふざけるな。勝つ・・・勝利を我が手に・・・！！
勝俣,あああああああ！！！あいつまたハサミ取り出しましたよ！！！
紫原,ヒネリ潰す
黄瀬,俺もコピーしてハサミ取り出すっす
勝俣,コイツ等変なとこで能力使ってんじゃねぇよｗｗｗｗｗ！！！！！！
アッコ,元々バトル系の能力多かったやろｗ
審判,整列しなさい
勝俣,そうっすよ！！！審判からももっと言ってくださいよお！！！！
赤司,・・・
審判,うっ
勝俣,なんでだよｗｗｗｗｗｗｗ！！！！！！！！！！！！！！！！！
赤司,勝利を我が手に
黄瀬,勝利を我が手に
青峰,勝利を俺の手に
緑間,勝利を俺の手に
勝俣,こえええええええええｗｗｗｗなんの団体だよｗｗｗ！！！！
赤司,・・・
出川,危ないっ・・・！！アッコさん！！。いっつつ・・・！っあああ・・・！！！！
勝俣,てっちゃんｗｗｗｗｗなんでこんな時だけガチのリアクションしてんだよおおｗｗｗ！！！
赤司,剥ぎ取れ
勝俣,リアルモンハンとかグロすぎんだろおおおｗｗｗｗｗｗ！！！！！！！。嘘だ・・・てっちゃんが・・やられたなんて・・・
アッコ,・・・・
藤岡,・・無念
シンスケ,え、えーっと・・俺失礼しますわ
勝俣,てっちゃん・・！生き返ってくれよ・・・！！
アッコ,勝俣
勝俣,はい？？なんすか？
アッコ,人体練成って・・・知ってるか？
勝俣,！！！！！！！！！！！！！！！！！！！！
