男,ぼっちになってしまった……
ダボダボ,だしょ！やっぱり人に決めてもらったあだ名が一番だよ！。いいね！じゃあ三十分後に発表するってのはどう？
眼鏡,却下
ダボダボ,な、なんで！？。じゃ、じゃあ一五分！これ以上譲れない！
眼鏡,五分で決めない？で、残りの時間で代表者
ダボダボ,ちょ、ちょっと！
眼鏡,一応決まったよ。そっちは？
ダボダボ,あたし、まだ…………あ、もうちょっと！もうちょっとなんだけど！
眼鏡,じゃあ先に俺たちが発表してるってのはどう？。じゃあよろしく
五浪,どう？
眼鏡,却下
ダボダボ,却下
眼鏡,眼鏡くんってあだ名が許されるのは小学生までだろ……。普通に考えて……
ダボダボ,というよりわたしのだぼちゃんって何……？え、ダボ……？どういう意味？？。嫌だから！たまたま着てた服であだ名とか嫌だから！
眼鏡,俺も同意見だよ。たまたま付けてた眼鏡であだ名は困るわ。あ、ちなみにこれ伊達ね。じゃあ次は俺な
ダボダボ,何でまた、だぼちゃんなの！？
眼鏡,…………いや、……だって、…………だぼだぼしてるんだもん……。いや、もう俺の中ではそれしか出てこなかった……。いや、大きな違いだよ。五浪は
五浪,四浪が言うなや……
ダボダボ,よし決まった！！
五浪,ていうか遅いな。まぁいいや、それじゃ発表よろしく
眼鏡,あ、もう眼鏡くんとか天丼ネタはこりごりなんで
五浪,だからお前が言うなよ……
ダボダボ,もうくだらないことはいいから！
五浪＆眼鏡,うわぁ…………
ダボダボ,な、なんで！？
眼鏡,ていうか、わかるしなぁ……
ダボダボ,えっ！？えっ！？聞いてよ！すっごい上手く出来てるんだから！
眼鏡,どうせあれだろ……。四浪だからヨン様だろ……
ダボダボ,あ、……正解……。だめ…………かな？。え？…………うーん、…………サンちゃん…………？……とかかなぁ
五浪,ダサすぎだろ
眼鏡,それだったら、三をミって捉えてミキとかミヨとかどう？
ダボダボ,あっ！それいい！いただき！！
眼鏡,あ、そっか。紛らわしいな。俺とかぶるし
ダボダボ,紛らわしくないよ！ミヨってなんかかわいいし！
眼鏡,あ、それだったら紛らわしくないわ。ちゃんと一発で三浪ってわかる
ダボダボ,わかるわけないでしょ！全国のミミちゃんに謝ってよ！
眼鏡,ていうか既に十五分経ってるんだけど……
ダボダボ,じゃあしょうがないからあだ名は私ので良い？。だって、これ以外ってなると、私、無条件でだぼちゃんだもん
眼鏡,もう正直どれでも良いって感じだわぁ
ダボダボ,決まり！じゃあパパッと書いちゃうね！
五浪,さて、次は代表者か
ダボダボ,これはもう……
眼鏡,……なぁ？
ダボダボ,やっぱり代表者は長老であるゴローくんがやるべきだと私は思います
眼鏡,俺もそう思います
五浪,いや。それはおかしい
ダボダボ,でもほら、最年長だし
眼鏡,責任感強そうだし
五浪,まだ出会って二十分ちょいだろ……
眼鏡,……ていうかさ、いい加減予備校きまずくなかった？
ダボダボ,わかるわかる！すっごいきまずいんだよね！周りが全員年下だから！
五浪,俺も二浪までは金払って予備校行ってたけど、三浪目からは自習室だけ利用してたわ
眼鏡,俺もだ！！あの解放してある自習室だろ！？
ダボダボ,あたしもあたしも！で、たまに抜き打ちチェック入るんだよね！
五浪,そうそう！予備校生徒以外が無断で使うからってな！
眼鏡,で、売店とか食堂とかのおばちゃんに顔覚えられてんじゃないかって心配だったり
五浪,あるあるすぎるんだけど！なに？お前俺なの？
ダボダボ,参考書のコーナーにさ、○○大学に受かった人の伝記とかなかった？？
眼鏡,あぁーあれなぁ。あれ見て俺も東大行けるんじゃねぇの？とか思ってたわぁ
五浪,俺、あの類読み過ぎて、四浪目辺りから見る物なくなってたわ
ダボダボ,あたしもあの類ずっと読んでたなぁ……なんか面白いよね
眼鏡,……ちょっとさ、…………恥ずかしいこと言ってもいい？
五浪,……？……別にいいけど
眼鏡,俺さ、……四浪ってばれた時にさ、言いわけっていうの……？……いろいろ考えてたんだよ
ダボダボ,……？それで？
五浪,ちょ、ちょっと待った！
眼鏡,な、なんだよ？
五浪,お前、……その言いわけってもしかして、…………いったん就職してたから。じゃないよね？
眼鏡,ちょ、ちょっと！なんでわかんだよ！やめろよ！やーめーろーよー！
五浪,お前どんだけ俺なんだよ！俺すぎて引くわ！っていうか引くわー！
そして浪人生,一浪、二浪
そして多浪生,三，四，五浪
そして最後に超多浪生,六，七，八浪～
