みさえ(71),なあに、まだまだ大丈夫だよしんのすけ
しんのすけ,～～～、ｯふうそうだね
風間,しかし残りの三人が遅いな、何してるんだろ
しんのすけ,多分、色々たて込んでるんだよ
？,ごめん、おそくなったわ！
風間,おっ、噂をすれば
ネネ,遅くなってごめんね
しんのすけ,大丈夫だよネネちゃん
風間,うん、ささ、早く座りなよ、何注文する？
ネネ,そうね～、生と唐揚げにしようかしら
風間,唐揚げ生と唐揚げだね、分かった。すいませーん！生三つと唐揚げ一皿お願いしまーす！
ネネ,二人とも久しぶりね！
しんのすけ,そうだね、久しぶりネネちゃん
風間,ネネちゃんは確か主婦だったよね、子供何歳になるんだっけ？
ネネ,もう19歳よ
しんのすけ,もうそんなになるのか、早いね
ネネ,本当、いつの間にか19歳だもん、もうびっくりよ
風間,でもびっくりしたよね、まさかネネちゃんとマサオ君が結婚するなんて
しんのすけ,うん、凄いおどろいたよ
ネネ,私もおにぎりと結婚するとは思わなかったわ
風間,ハハハ、酷いなネネちゃん
店員,お待たせしましたー生三つと唐揚げ一皿ですねー
ネネ,はい、ありがとうね
しんのすけ,じゃあ乾杯しなおそうか
風間,そうだね
ネネ,じゃあいくわよー、せーの。ここの唐揚げ美味しいわね
風間,うん、本当に美味しいよ
しんのすけ,酒とよくあうね
？,あー！遅れてごめーん！
しんのすけ,あ、おにぎりが来たぞ
マサオ,ﾊｧ・・ﾊｧ・・遅れてごめん・・・
ネネ,遅いわよおにぎり！！
マサオ,ひぃ！
風間,まぁまぁ、さっマサオ君座りなよ
マサオ,うん、ごめんね
しんのすけ,マサオ君、生で良い？
マサオ,あ、うん、良いよ！
しんのすけ,分かった、すいませーん、生一つと酎ハイ一つ！
風間,久しぶりだね、マサオ君
しんのすけ,久しぶり
マサオ,うん、二人とも久しぶり
ネネ,まったく、今まで何やってたのよ
マサオ,ごめん、仕事が長引いちゃって・・・
ネネ,そんなの早いとこ切り上げて来なさいよ！
マサオ,ご、ごめーん・・・
しんのすけ,まあまあ、仕事じゃ仕方ないよ
風間,そうだよネネちゃん
ネネ,ふん、分かってるわよ、そんな事
風間,でも二人は夫婦なんだよねー
マサオ,まぁ、一応ね
ネネ,一応って何よ！
風間,ハハハ、仲が良いな
しんのすけ,・・・リアルおままごとじゃなくて、本当に夫婦なんだよね
風間,・・・そうだね、なんか昔を思い出すよ
店員,お待たせしましたー生一つと酎ハイ一つですねー
しんのすけ,はい、ありがとうございます。あとは一人だけだね
風間,そうだね、もうすぐくると思うんだけど・・・
？,ぼー、遅くなって、ごめん
マサオ,あっ、来たよ！
ぼー,みんな、久しぶり
しんのすけ,ぼーちゃん久しぶり
ネネ,久しぶりぼーちゃん
風間,これで五人全員揃ったね！
マサオ,春日部防衛隊・・・だったっけ？
しんのすけ,そうだよ、じゃあ五人揃ったし、久しぶりにあれやろうか
風間,え～、ここでやるのか？
ネネ,良いじゃないの、やってみましょうよ
ぼー,ぼー、やろう
マサオ,じゃあいくよ、せーの
しんのすけ,今日はちょっと飲み過ぎたかな・・・
風間,うん、少しはしゃぎすぎたかもね
マサオ,あ～・・・気持ち悪い～・・・
ネネ,もう、本当にダメなおにぎりね、じゃあそろそろ帰るわ、みんなありがとうね！ほらさっさと歩きなさいおにぎり！
マサオ,あ～、ちょっと待ってよネネちゃ～ん
ぼー,ぼー、二人ともありがとう、またみんなで飲みに行こう
しんのすけ,うん、そうだね、またみんなで飲みに行こう
風間,近いうちにまた誘うよ
ぼー,分かった、じゃあ、そろそろ帰る、さようなら二人とも
風間,みんな帰っちゃったね
しんのすけ,うん・・・僕たちも帰ろうか
風間,・・・そうだな、今日はありがとう、またな
しんのすけ,こちらこそありがとう、またね。(みんなあんまり変わってなかったな)。(・・・楽しかった、やっぱりあのメンバーが一番だ)。(・・・また、近いうちに・・・か、楽しみだ)。(・・・まだ父さん達起きてるかな)。・・お土産、買って帰るか・・・
店員,ｯｼｬｧｾｰ
しんのすけ,(・・・酒と焼き鳥、買って帰るか)。(・・前と一緒だけど、まぁ良いか)。すいません、これで
店員,ﾊｲ､ｻｹﾄﾔｷﾄﾘﾉﾆﾃﾝﾃﾞｽﾈ。ｯｼﾀｰ
しんのすけ,・・・ただいまンモス
ひろし,おかえりサイクル
しんのすけ,・・母さんは？
ひろし,みさえは先に寝たよ、それより飲み会楽しかったか？
しんのすけ,うん、楽しかったよ、凄く懐かしかった
ひろし,そうか、良かったな
しんのすけ,うん。・・また酒と焼き鳥買って来たんだけど、一緒に飲む？
ひろし,良いな、飲むか
しんのすけ,じゃあ熱燗作るから待ってて
ひろし,おう
しんのすけ,美味しいね
ひろし,あぁ、しんのすけと一緒に飲んでるから余計美味く感じるよ
しんのすけ,うん・・
ひろし,・・・みんなはどうだった？
しんのすけ,殆ど変わってなかったよ、みんな昔のまま良い奴だった
ひろし,そうか、良かったな
しんのすけ,うん、良かったよ。じゃあそろそろ寝ようか
ひろし,そうだな、おやすみ
しんのすけ,おやすみ。(今日も色々あったな)。(ひまわりにも会えたし、春日部防衛隊のみんなと一緒に飲に行ったし、父さんとも・・・)。・・・明日から月曜日か、次はどんな日になるのかな・・・
