・このSSは,静・ジョースターの奇妙な日常
チェスタ,……それまでに何人か矢で味方を増やしたい所だったが……指し示さないのでは、仕方ない……
ウォーケン,……なあ、チェスタ
チェスタ,？……何だ
ウォーケン,少しさァ……貸してくれよ。その……スタンド使いを増やすっていう、矢を……さ
チェスタ,……
静,……ハァ～～～～ッ……。うるせーわねーッ。ため息だってつきたくなるっての。今日何の日か知ってんの？。そうッ！始業式ッ！こんな日にため息つかないヤツなんていねーってのッ！キリストだろうがブッダだろうが学校が始まる日は憂鬱だったに違いないわッ！。その上！いい？あたし達はキャンプの最後に、ドロだの毒キノコだの散々食わされて病院送り……華の夏休みのほぼ半分を丸々寝たっきりで過ごしたのよ？SONOFABITCH！やってらんねーってのッやれやれね！高校生の夏休みなんか3回こっきりしかないのにさ～～
紙人間フーン……,どうでもいいな……
静,……っていうかバック・ライター、双馬は？。またァ？最近一緒に通学してくんないわね……そんな早く学校行ってどうすんのよ。好きな娘の席にでも座んの？。まあね。学校のダチと登校すんのもいいけど、やっぱり……アンタと一緒にいるほうが、あたしは楽でいいし、好きだわ。ガキっぽいけどさ。あッ、何？テレてんの？あたしの思いの外真っ直ぐな意見聞いてテレちゃったの？イッチョ前に？へ～～ッ！アンタって結構カワイイ所あんじゃん、双馬。ああはいはい。わかったっての。っていうかさ～～ッ、そんな事言うけど双馬、あたしの登下校にスタンド出してまで付き合ってるの、アンタの方よ？あたしは別に、スタンド使ってまでお喋りしようなんて提案してないもんねー。そんな事言っちゃって、アンタの方が、あたしと楽しくお喋りしながら登校したかったんじゃあないのォ～～ッ？この静ちゃんと一緒に手ェつないだりとかしてさ？うぷっ！うぷぷぷぷっ！。えっ？。……そ、双馬。……考えてみたら、双馬がバック・ライターをあたしにつけてる間……双馬は、自分の身を守る手段が無い……のよね……。……それなのに、あたしにバック・ライターをつけるって……。いや、あのさ？……バック・ライター、アンタが……あたしの近くにいるのって……。……あたしの身を守る……ためなの？……メイやチェスタや、正体不明の殺人鬼、ウォーケンの手から？。……。……ホンットに！……素直じゃあないんだから。……全く。うわッ！！ヤバいヤバいッ！遅刻なんかしたらシャレになんないってのーッ！。セーフッ！……いや、今日のはマジに危なかったかもね……良かった、早人センセー来てないわね
女生徒1,ハーイ、静♡……新学期早々ギリギリね。もっと余裕をもって登校したらどう？
静,途中までは余裕シャクシャクだったのよ。双馬のヤローが変な事言い出すから悪いわ……
女生徒1,？……なんだかわからないけど、大変ね……
女生徒2,おはよう静！久しぶりね。夏休みはどうだった？
静,もう散々！けど、楽しい夏休みだったわ。……来年は病院送りにならないようにしたいわね
女生徒3,静、夏休みの宿題やった？あたし終わってないのよ。川尻先生、待ってくれないかなァァ～～ッ？
静,結構きびチー所とかあるからね、早人先生……提出までに返してくれるなら、ノート貸してあげてもいいわよ？
女生徒3,マジっすかァァ～～ッ！マジ！マジ！最高～～ッ静ッ！！愛してるわーン♡ンチュッ！
静,や、やめてよ……次からは自分でやりなさいよ？もう……。オハヨ、三人とも
広瀬川,おはよう、静さん！久しぶりだけど、変わらず元気そうだね
静,これでも昨日まで病院いたのよ？ちょっとはいたわってよね
虻村,病院って……何かあったのかよ？オツムの病気か？ギャハハハ！
静,……それだとアンタの方が重病人でしょうが、虻村ァ……
委員長,病院か……せっかくの夏休みだというのに、超能力者は大変なんだね。あ、それとも、超能力絡みの話では無かったり？
静,いや、委員長。実際そうだけど、大変な事だけじゃあなく楽しい事もあったわよ。……ああ、そういえば夏休み前に借りた本。面白かったわ。今度返すわね
委員長,お、そうかい？読めた？あの本？結構人選ぶ本だからな……グロテスク描写と突拍子も無いナンセンスな話がさ……生理的に無理って人多いんだけど
静,あの迫ってくるような迫力がハラハラして良かったわよ。また似たようなの貸してね？
委員長,ああ……いいとも
静,……あっ
純,げっ
静,オハヨーッ、純ッ！元気？もう体調ダイジョウブ？……っていうか、昨日まで同じ病室だったわね
純,……
静,……純？オーイ？
純,……。……
静,……純。無視して授業の用意しないでよ。今日始業式だし授業無いわよ？
純,話しかけんな、静
静,……ええ？。何よ、ツレないわね～～ッ。昨日まであんなにお喋りしてたじゃん
純,それは、二週間も同じ病室で、他に何もやる事無かったからよ……退院したら話は別よ
静,……何でいきなりそんな態度なのよ。もしかして、アノ日？
純,ッテッメェーは私を馬鹿にしてんのかッ！？静ァー！いや馬鹿にしてんだな？してるんだろ？オイッ！……お前のせいで私は二週間も病院送りにされたんだろうがッ！学校に来てひしひしと感じたわッ！静、お前のせいで私の貴重な夏休みは二週間も消えたってなーッ！
静,それはお互い様だっての、純……あたしも夏休み消えてるし
純,お前がキャンプに誘わなかったら私は入院してないんだよォ――ッ！！！
静,けど……キャンプ、楽しかったわよね？
純,！……ぐ、ぬぬ……そりゃあ、そう……だけどさあ……！！
静,じゃあ、いいじゃあないの。来年はあんな事がないようにしましょう。ね？
純,……言っておくけど私はな！アンタとは何でもないっていうか……アカの他人だからなッ！？ただのクラスメイトッ！それ以上でもそれ以下でもねーッ！だから……あんまし関わらないでよッ！
静,何よォー、来年旅行行かないの？いや、来年じゃあなくても、今年の冬とかでもいいわよ。また那由他ちゃんとか双馬とか兄さん達とかと、今度はスキーとかカニ鍋とかどうよ？あたしは食わないけど
純,…………
静,絶対楽しいんだろうなあ～～スキーッ。スキー大好キーッ♡ってね。カニ鍋とかもグレートに美味いに決まってるわ。あたしは食べないけど……純、本当に行かないの？そういう旅行？
純,…………行く
静,決定ねッ。悪友ッ！
純,……あ～～もうッ！私はアンタなんか嫌いだっつうのにィッ！
生徒1,何だ何だァ？二人共、いつの間に仲良くなったんだよーッ！？
純,仲良くなんかねえわよッ！何処見て言ってんだコラア！
静,ヘイ、ピースピース！あたしら超～～仲良し。ね？純
純,肩組むなッ！触るなッ！このヘンタイスケスケ女ッ！訴えるわよ？大声出すからッ！
静,だからッ！アンタにだけはヘンタイって言われたくないってのーッ！純ーッ！
生徒2,ケンカするほど仲がいいってな。お似合いだぜェ～～二人共ッ！
生徒3,なんだよ、漫才の練習か？文化祭でやるならよォ～～講演時間教えろよなッ！
純,男子どもォ～～そこ座れッ！私が直々にブッ飛ばしてやるわッ！このーッ！！。静ァ！アンタもそこ座んのよッ！正座しなさい正座ァーッ！
静,イヤだってのッ！純、机に立つのやめなさいよ。パンツ見えるわよ？
早人,はい、静かにーッ！ゴメンね遅れちゃって。けどもう他のクラスはホームルーム始まってるんだから、みんなも騒ぐのやめて……そこの男子、どうして床に正座してるの？席に座って！ホームルーム始めまーす！それが終わったら始業式だからねーっ！！
純,……静、決着は後でつけるからね
静,ええ、楽しみにしてるわよ
男生徒,あの……ちょ、ちょっと待ってくれ、ジョースター……さん！
静,？。……何？早く座らないと、早人先生プッツンしちゃうわよ？
男生徒,ごめん、すぐ終わる……その、さ？……ジョースターさん
静,……静でいいわよ。で、何？
男生徒,え、あ、じゃあ、静……さん。その……放課後に……さ？
静,……？
男生徒,……放課後、体育館裏に、来てくれないか？
静,……へ？。……なんだってのよ、ったく……。こんな薄暗い所呼び出してさァ……新手の敵スタンド使いじゃあないでしょうね？
男生徒,……落ち着け、平常心……平常心だ。きっと上手くいく……確かに接点はあまりなかったかもしれないけど、上手くいく……僕はそこまで悪い顔してないし、彼女に交際相手がいないのは把握済み。ダイジョウブ、きっと上手く……
静,……あのォ～～？
男生徒,うわあっ！！？
静,きゃあっ！？
男生徒,……あ、ああ。静さんか！びっくりした……き、来てくれたんだね
静,……びっくりしたはこっちの台詞だっての。待ち合わせ場所に先にいるかと思ったら、ブツクサ何か言ってるしさ……丑の刻参りでもしてんの？
男生徒,ち、違うよ！そんなんじゃあない！全然そんな……僕、そんな暗いヤツに見える？
静,さあ？日本にはそういう文化があるって聞いたけど？ひと気の無い所で他人を呪うってヤツ。あたしを呪うのはやめてよ？
男生徒,……
静,……で！……あたしをこんな場所に呼び出した意味は何？宿題のノート見せてほしいってなら、もう他の子に貸しちゃったから無理よ。人気ねえあたしのノート……あたしそんな字綺麗じゃあないんだけど
男生徒,……そんなことじゃあないんだ……
静,え？そうなの？……じゃあ何かしら……ひょっとして……スタンド使いとか？
男生徒,……静さん。……思い切って、言うね？
静,え？思い切ってって……
男生徒,僕……僕！静さんの事が……好きなんです！
静,…………
男生徒,返事を……聞かせてください
静,…………はぇ？。……
男生徒,……いッ……。言っちまったァァ～～ッ！ついにッ！ついについについにイッ！学年イチゲロマブの静・ジョースターさんにッ！告白……しちまったァァーッ！思っていたよりも……心臓がイテーッ！イテェーよォーッ！
静,……好きって……ラブって事？ライクじゃあなく？……誰を？あたし？……え？……えッ！？
男生徒,そのッ！……初めて見た時から、静さんはスゴク、輝いてて……綺麗で、美しかった！です。ハイ
静,……え
男生徒,最初の頃は、みんな物珍しさから君の事を眺めていたけど、僕は違う。君の事をずっと、ずっと、ずうーっと想ってたんだ。その……一目惚れっていう、やつでさ
静,……
男生徒,……何？自分の顔なんか触って……？
静,いや、あたしの顔に何か引っ付いてんのかと思ってさ……人相を変えるスタンドとか。……ハハ……それともあたしの耳がバカになった？
男生徒,……静さん、僕は本気なんだよ
静,……ちょっ……っと待ってよ。あたし、そういうのは、ホラ……
男生徒,夏休みに入ってから後悔したよ。君に数日会えないだけで、僕の心は張り裂けそうだったんだ。ああ！なんで夏休みに入る前に告白しなかったんだろう！って、何度も何度も思ったさ！一人夏祭りで食べるたこ焼きは美味しくなかったよ。……こんな思いをするくらいなら、玉砕覚悟で告白した方がマシ！って思ったんだ
静,……
男生徒,確かに！僕と君とはあまり接点が無かったかもしれない……クラスメイトってくらいだよ。こう言っては何だけど、シャイなもんでね。君とお喋りする機会はついぞ作れなかった……けど！それでもッ！僕が君を愛してるって気持ちだけは本物だよッ！……僕の事なんて知らなくてもいいッ。これからお互いの事を知っていくって事でもいいじゃあないかッ。静さん……
静,……
男生徒,……返事を、聞かせて欲しい……僕は、君を愛している
静,……うう……
男生徒,……
静,……えっと、そのォ～～……
男生徒,……
静,…………。……言わなくちゃあ、ダメ……なのよね。……しっかりと、あたしの口から……
男生徒,……あ、ああ。覚悟は……出来ている
静,……。……ごめん。あたしは……貴方とは、付き合えない……
男生徒,……
静,……
男生徒,……や、やっぱり……
静,……やっぱり？
男生徒,静さんは、可愛いからな。そりゃあ～～彼氏の一人や二人くらい……グスン
静,違ッ……そうじゃあないっての！あたしに彼氏なんていねーわよッ！そういう理由じゃあないわッ！
男生徒,そういえば静さんッ！部活には入っていないけれど委員長たちのグループと仲良いしッ！放課後や登下校に男子中学生と一緒にいるってよく聞く――……
静,関係ねーでしょうがッそいつらはァ――ッ！！少なくともッ双馬の方は全く全然関係ねーッ！！！
男生徒,えっ？……それじゃあ？
静,……ゴホン。えっと……あのね。バカバカしい話……かも、しんないけど……。あたし達が住んでるこの町、杜王町には……今、恐ろしい悪が潜んでいるの
男生徒,……悪？
静,……アンタはさ、有栖川メイ……って、知ってる？
男生徒,メイ？知ってるも何も……僕の友達だよッ！一番仲のいい友達さあ～～。静さんも魅力的だけど、彼女の素晴らしさには負けるかな……あ！いや！何言ってるんだろう僕は……その、違うんだ！そうじゃあなくって……
静,……アンタも、全然学校に来てないメイの……友達、なのね
男生徒,……え？
静,ううん。何でもないわ。今言いたい話は、そんな事じゃあないし。そのメ――…………悪は、この平和な町に潜んで人を食い物にしてる。そして、人々の幸せを踏みにじって、神DIO
男生徒,……
静,……どう思う？
男生徒,……どう、って……一体何の話なのか――……
静,許せない……わよね？
男生徒,……そりゃあ、ウン。そんな悪がいたとしたら、そう思うよ。……たぶん
静,そう……許せない……。きっと、あたしがジョースターだから……っていう、理由だけじゃあないと思うの
男生徒,……
静,あたしがあたしだから……あたしはそんな悪を許せないの。この平和な町を、平和なままにしておきたいの。かつて兄がそうしたからかつて父が世界を救ったから……じゃあ、ない。あたしの意思でこの町を救いたいの。……その悪を……倒したい
男生徒,……
静,ブン殴って、アンタなんか神でも何でもない、ただの病弱な女子高生よって……言ってのけてやりたいの。それが今のあたしの夢で、あたしの目標……
男生徒,……
静,……そんなあたしにさ、甘酸っぱい恋とか、熱ゥ～い恋愛とか……似合わないし、出きっこないわ。今のあたしは、その悪の事で頭いっぱいなんだもの。……だから、ごめんなさい。平和な町で暮らすアンタには、理解出来ないでしょうけど……あたしはアンタ達と、平和な町を守るために、アンタとは……付き合えないわ
男生徒,……
静,……ヘンな事ばっか言う女だから、幻滅したでしょう？……いきなり悪だなんて、どうかしてる……わよ、ね
男生徒,うッ！ううんッ！全然ッ！……そのッ……君の言葉は、すごく……本気だって、感じた
静,……そう
男生徒,……付き合えない、かあ……
静,もっといい女の子、いるわよ……あたしなんかよりさ。純なんかどう？色々とその、アッチの方はアレかもしんないけど……いいヤツよ。それは保証する……
男生徒,……
静,……
男生徒,……ありがとう、静さん……いきなり呼び出して、ゴメンね
静,……ごめんなさい。また……明日、学校で会いましょう
男生徒,……ハハ、ハ……。……フラれた……か。……カッコ悪ィ～～ッ……
静,……～～ッ……！。ヤ……ヤバッ！今になって恥ずかしくなってきたわ……この静ちゃんが告白……確かに自分の事、結構カワユいかもッ！とか思ってたけどさァ～～ッ！実際告白されると……は、初めてだったし、こういうの……ううっ！顔がアツいってのォ～～ッ！。は……早く帰ろおっと！荷物取ってこないと――……。――！！
純,……
静,…………きッ……！
純,……
静,……聞いてた、の……？
純,……青春ン～～ッ……
静,～～～～ッ！！！うるさいっ！黙れッ！このッ……信じらんないッ！！ってのォ――ッ！！チクショーッ！！
男生徒,……ハハハ……そうだよなァ～～……どう考えても、釣り合わないっていうか……匕首あいくち。……けど、それども……彼女とお付き合い……してみたかったなあ。……別に、何も特別な事なんて必要無いんだ。ただ……。……彼女が僕の事を見てくれて……起きてるあいだ中ずっと、お互いの事を思ってて……抱きしめたりなんか、したりして……。……そして……ずっと、彼女と一緒にいれたら……。……良かったなあ……ハハ……。――ガブ！？……な？……ガボガボガボ……！？。なんッ……！？……だッ……お前……！？
ウォーケン,おいチェスタぁ～～ッ、見ろ。見てるか？そのドンヨリとした魚の目ン玉越しにさ？……スタンド使いを増やす矢っていうのはさあ……こう使うんだよッ！！
男生徒,うおおおおおおおおおお！？お前ッ……はッ……！？……オオ…………ケ……！？
ウォーケン,何が無茶だ？言ってみろ。スタンド使いっていうのは精神的にハングリーなヤツがなるんだろう？失恋したてのコイツはピッタリじゃあないか。コイツは今どん欲だぜェ～～強いスタンド使いになるさ！フフ……。だからさ～～ッ、選ぶとか選ばないとか、矢が勝手にンなの行うかよッ！コックリさんじゃああるまいしさあ。そりゃあお前の気のせいだって！こうやって……手当たり次第に！突き刺して！当たりを！探すのがッ！一番！早いんだよッ！
男生徒,……ガボガボガボガボ……
ウォーケン,クク……スタンド使いの味方なんてどうでもいいが、僕が選んだ僕の味方になるのなら話は別さ……この目障りな魚野郎を殺してくれるスタンド使いが見つかるかもしんないっていうのならさァ～～ッ！やる価値はあるね……楽しくなってきたぞッ！！。おい、チェスタ！このくらい刺せばいいのか……もっとか？何発刺せばいいんだよォ？いつになったらコイツはスタンド使いになるんだ……？
サカナ……,この男……！！
ウォーケン,……ん？
男生徒,……アバ……アアア……ガバッ……し、ずカ……さ……
ウォーケン,なッ！！……チェスタ！おいこれはどういう事だッ！？こいつッ……！！これがスタンド能力かッ！？違うよなあ～～オイッ！
男生徒,…………僕を見て……
ウォーケン,……。…………とッ……！。そんな事は見たらわかるッ！僕は聞いてなかったぞッ！何だこれは……何故黙っていたんだッチェスタぁっ！。おい……オイオイオイ……一歩間違ったら僕も、こうなってたって事かあ？……ふざけるなよ。なんて道具を持ってやがる……。目の前で人間ペーストが完成したのに、ハイそうですかって言えると思うかッ！？ふざけやがって、テメェ――……。――！！！。…………！？……？？。い、いや……今、耳元で……？。！！。……聞こえたか？魚野郎。……しかし、僕には……何も見えなかったが……？。……。……引きずったような跡が……続いてる。……何かが……この場を去ったのか。僕が知るかよ……少なくとも、町に落ちてる空き缶を回収するためにここを去った訳じゃあなさそうだぜ……。……。……あいにく僕は、幽霊や呪いなんて信じないんだよ。……チッ！
仗助,空白のラストページにィィ～～ッ、その拳をォー叩きこめェ～～ッ♪……っとォ。アチチッ！油飛んだッ！アチーッ！
静,兄さん、うるさい。……ハァー……
純,辛気臭ェー顔すんの、やめなさいよ静……せっかくのご飯がマズくなるわよ。んっ！このお肉ウマーッ！
静,……なんでウチでメシ食ってんのよ、純
純,私だって食う気無かったわよ。アンタのお兄さんに誘われたから、仕方なァ～～く食ってやってんの。ソース取って
静,スタンド使えば？
純,冷たいヤツね……モテないわよ。あッ！静さんはおモテになるんでしたわねェーッ！♡キャハハハハ！
静,今ッ！その話はッ！禁止ッ！だって！のッ！！！
仗助,静ァ～～ッ、何があったか知らねえがよ、家では笑顔でいろよな。メシは美味しく食うのが一番だぜ。ホイッ！第二弾揚がったぜーッ！
純,きゃあーっ♡美味しそうっ！何これ、お肉？
仗助,こっちはジャガイモにベーコン巻いて揚げたヤツだ。そっちのはレンコン。穴に明太子を詰めて揚げたんだ。……熱いから気をつけろよ～～ポン酢が合うぜ
純,はーいっ！では失礼して……。……ん～～まあァーッ！スゲッ！ゲロ美味ッ！やるじゃあないのッ静のお兄さんッ！実は職業料理人だったりィ？
仗助,おふくろや億泰の見よう見まねだぜ。おれ、今までそんな料理とかしなかったんだけどよー、静が来てから少し頑張ってるのよ。どんどん揚げるからしっかり食えよな～～ッ
純,ゴチになりまァ～～すッ！ルンルンッ♪
静,……テンション高いわね、純
純,そりゃあ～～イイモノ見たからねえ
静,……フンッ！
仗助,で？何かあったのかよ。ケンカ……では無さそうだな。センコーに怒られでもしたか？
静,……言いたくない
仗助,……
純,別に静のヤツ、機嫌が悪い訳じゃあないのよォ～～。ただ、なんか恥ずかしいってだけ
仗助,恥ずかしい？
静,あのさ、純。あたし普通に機嫌悪いからね？主にアンタと双馬が原因でッ！
純,後付けでしょ。実はモンモンとしてて、今にも布団に顔押し付けて足バタバタさせたいんじゃあないの？
静,しねーっての
純,そう？……告白されたのに、結構冷静ね
静,！？
純,きゃっ！？
仗助,…………
純,……お、お兄さん？お皿、割れちゃってますよ？オ、オホホ……
仗助,……告白……だと？……誰に……嘘だろ……
静,に……兄さん？
仗助,静ァ！お前ッ……誰に告白されたんだッ！？おっ……OKしたのかよォォ～～ッ！！オロロォ～～ン！
静,違ッ……断ったっての！っていうか何泣いてんのッ！？相手が誰なのかも詳しく知らねェしーッ！！。名前も知らないクラスメイトに放課後告白されたの。イキナリねッ！だからそれを断ったってだけ！……兄さんどうしたの？割れたお皿で指でも切った？
仗助,うっ……ウッ！良かった……いや、兄としてはお付き合いってのを、祝福する所だろうがよ～～、どうにも心の準備ってヤツが……
純,ああハイハイ、落ち着いてーお兄さん。……完ッ全に兄貴っつーより父親の感情になってるわね、これ……
静,……泣きたいのはこっちだっての。ハァー……
純,別にアンタは泣かなくていいでしょうが。むしろ喜ぶ所なんじゃあないの？人に好意持たれてるんだから
静,……んー……
純,っていうか、別に付き合っても良かったんじゃあないの？アンタそーいう経験無いんでしょ？少しくらい経験積んだら？
静,か、軽々しく言わないでよ純……そんな感覚で付き合ったら、相手に失礼じゃん
純,だァ～～ってェ……ねえ？アンタ、そんな初心でガサツなままでさ？
静,……何よ？
純,……双馬と付き合ったら、長く持たないわよ？他の相手で恋をする練習くらいしとかなきゃ
静,なんッっでそこで双馬の名前が出てくんのよォ――ッ！表出ろォ――ッ！
純,きゃあっこわーい！静、怒ってるぅ～～っ！……暴れて料理吹っ飛ばすのはやめてよ？私まだ食べてるんだから
静,双馬は！マジで何とも無いッ！ただの親友ッ！オーケー？それ以上変なこと言ったらアンタ、悪友からただのクラスメイトの吉岡さんにランク下げるわよ
純,何よその脅し……
静,本当に……あたしは恋愛とか、無理なの。合わない……出来るわけ、無いわ
純,……出来るわけ無いってさァ～～、何もペンギンが空を飛ぶって話してる訳じゃあねーのよ？誰だって恋愛する権利くらいあるでしょ？
静,だって！付き合うって……恋人って、ずうーっと一緒にいて、抱きしめ合ったり、お互いの事思ったり、キッキッ、キスしたりとか……するんでしょ？
純,……まあ、ウン。そんな感じ
静,そんな事、してる暇無い……そんな事してたら、あたし！……ジョースターになれないじゃん……
純,……？
仗助,お前……まだそんな事言ってるのかよ、静……
静,だ、だって！
仗助,そんな事言わなくてもよォ～～、オメーはもう十分ジョースターだし東方家のおれの妹だっつうの！バカな事言ってねえで、フライを食えフライを
静,……
純,……ジョースター……たしか、アンタのお父さんって、世界を救ったんだっけ？キャンプん時、車の中で喋ってたわね……
静,ウン……あたし、血は繋がってないけど……それでも！……ジョースター家だから……おじいちゃんみたいに、ならないと……って、思って……
純,バッカらし。そんなに血統が大切？人生全て血統で決まるんなら、私の将来は酒飲みのクズよ
静,！……
純,大切なのは、血統じゃあない……誇り高きものを信じる精神なんじゃあないの？アンタの父親や、他の家族がスゲーってんのなら、焦らなくてもそれを信じてまっすぐ生きりゃあいいじゃあないの。……人を愛するのが間違った事なの？人と付き合うのがまっすぐ生きてない事になるの？
静,それは…………
純,静……私はね、もう恋愛する資格なんて無い……だから、せめてアンタとか他の人には、幸せに恋愛してもらいたいって思ってるわ
静,……資格が無い？
純,あー……ほら！あれよ！……その……汚れてる……から
静,……それこそ、関係無いわよ純。……まだ16そこいらのヒヨッコじゃん。大切なのは、これからよ
純,……フン！うっせえわよ、静……
