北与野博士,つ、ついに完成したぞ！私の長年の研究が実を結んだんだ！バンザーイ！
しんのすけ,じゃ、そゆことで
風間,どうゆうことだよ
しんのすけ,え……と、確かここにあったはず……
ひまわり,おい、お兄ちゃんやい……ちょっと
しんのすけ,えーなに？オラ今ゴボウなのに
ひまわり,それを言うなら多忙じゃね？
しんのすけ,そうともゆう
ひまわり,そうじゃなくて、あんたのせいで変な噂が立ったらどうしてくれんの？
しんのすけ,変な噂？
ひまわり,あたしが変態だと思われちゃうでしょ？あんたがあんな起こし方してたら
しんのすけ,大丈夫、もう思われてるよ
ひまわり,少しはもちっと妹を気遣え少しは～！
しんのすけ,みさえ譲りのグリグリ攻撃……！。いってー
ひまわり,噂ってのは風の如く広まっていくんだからさ……今後あの起こし方禁止だかんね
しんのすけ,ブラジャー
ひまわり,そうそうブラと言えばさ、この前一緒に原宿に行った時に買ったブラウス知らない？
しんのすけ,知らないよ
ひまわり,えー、どこにしまったかなァあれ……
風間,しんのすけ遅いなあ
しんのすけ,よ！
風間,しんのすけ！何探してたんだ？
しんのすけ,ビデオ。ほらこれ
風間,一昔前のもんだね
しんのすけ,オラたちが小さかった頃からの映像がいろいろ入ってるんだ
風間,なるほど、これを見せるために、僕を家に呼んだんだな
しんのすけ,え？なんで分かったの！？すごい、エスパー？
風間,……普通分かるだろ流れで
しんのすけ,ほうほう
風間,じゃ、さっそくビデオ見てみよーぜ
しんのすけ,お、いいね
風間,……
しんのすけ,……
風間,……おい
しんのすけ,ほうほう……
風間,ビデオそのものを直で見てどうすんだよ……
しんのすけ,マーサーオーくん！
マサオ,しんちゃん、そっちはよその家だってば
しんのすけ,お、いつの間に引っ越したの？
マサオ,だから最初からこの家だってば、いい加減覚えてよ
しんのすけ,それにしてもフクザツなあたまだね
マサオ,坊主ほど単純な頭も珍しいと思うけど……
風間,やあ！マサオくん！久しぶり！
マサオ,あ！風間くん久しぶりだね！
風間,3年前に防衛隊の皆で集まった以来だね
マサオ,うん！懐かしいね
しんのすけ,まあまあ、立ち話もなんですから、中へどーぞ
マサオ,しんちゃんそれ僕のセリフ……
しんのすけ,むさ苦しいところですがどーぞあがってください
マサオ,それも僕のセリフ！。ネネ！風間くんとしんちゃんが来たよ！
ネネ,うそ！？。ほんとだァ！風間くん！しんちゃん！久しぶり！
風間,ネネちゃん！？ほんと久しぶり！懐かしいなあ
しんのすけ,おお！ネネちゃんまで！土偶ですなあ
ネネ,それを言うなら奇遇でしょ
しんのすけ,そうともゆう
ネネ,あはは、三年前から変わってなくて安心したわ。今お茶淹れてくるね
しんのすけ,伊右衛門ね。できればクッキーなんかもあるといいなァ
風間,ずうずうしいぞ、しんのすけ
ネネ,大丈夫大丈夫！ちょうどクッキー焼いてたとこなの！
風間,マサオくん、突然押しかけてごめんね
マサオ,いいのいいの、今ビデオデッキセットしてるからちょっと待ってね
ネネ,しんちゃん家、ビデオデッキなかったっけ？
しんのすけ,あったけど、壊れちゃったの
ネネ,ふうん
しんのすけ,んー、懐かしのしつこいお味
ネネ,言うと思ったァ。そんなにしつこいかなあこれ
風間,いや結構美味いよこれ
マサオ,うん、美味しい！
ネネ,ならいいんだけど
風間,でも、なんでネネちゃんがマサオくんの家にいるの？
ネネ,ああ、実は……
マサオ,二人で漫画を描いてるんだ
ネネ,それで、ちょいちょいこっちに来てるの
風間,ああ、マサオくん漫画描くの好きだったもんね
マサオ,うん。僕が絵を描いて
ネネ,ネネが脚本を書くの
風間,そうか。昔から暇さえあれば、リアルおままごとの台本考えてたし
ネネ,うん。こういうの向いてるんだと思う
マサオ,一応既に持ち込みもして、担当ついてるんだ
風間,へえ、羨ましいなァ
マサオ,え？
風間,あ、いや、なんでもないんだ。あれ？でもネネちゃん女優を目指してたんじゃなかったっけ
ネネ,うん。実際、高校で演劇部入って演技の練習したんだけど、イマイチ身にならなくて……。で、先輩に脚本書いてみないかって言われてやってみたら、なかなか筋がいいって褒められたのよね。私、女優より裏方の方が向いてたんだって気付いたんだ
風間,なるほど、そんなことが……
しんのすけ,でめたしでめたし
風間,マサオくんやネネちゃんの親はこのこと、知ってるの？
マサオ,うん
ネネ,最初は怒られるかなあって不安だったけど、どうしてもやりたいって言ったら、好きにしなさいって
マサオ,僕も大体そんな感じ
風間,なるほど……
マサオ,よしこれでオッケー。しんちゃん、ビデオ貸して
しんのすけ,ほい、優しくしてね
マサオ,任せて
風間,お、流れたぞ
ネネ,なにこれ！女の人がプロレスしてる！
しんのすけ,いっけね！間違えてトゥナイトⅡ録画したビデオ持ってきちゃった！
マサオ・ネネ・風間,だーーーーーっ！！！！
風間,ったく、何やってんだよしんのすけ！
しんのすけ,いやァそれほどでも～
ネネ,褒めてないってば……
マサオ,え？
ネネ,マサオ、誰かが呼んでるわよ。外から聞こえるけど……
風間,この声、ひまわりちゃんじゃない？
ひまわり,マーサーオーくうん！
マサオ,やっぱりひまわりちゃん……僕ん家はこっちだよ
ひまわり,あ、マサオくん！。あれ？いつの間に引っ越したの？
マサオ,……前からずっとこの家だよ
ひまわり,あら、そうだったっけ
マサオ,うん
ひまわり,中、入ってもいい？
マサオ,いいよ。……ってもう入ってるよ……。間違いなくしんちゃんの妹だ
ひまわり,お兄ちゃん！間違えてトゥナイトⅡのビデオ持ってったでしょ！ほら、本物持ってきてやったよ
しんのすけ,おおサンキュ！やっぱり持つべきものは妹だなァ
ひまわり,いやはや、今回はうちの兄がご迷惑わりまして……
風間,かけまして、だろ？
しんのすけ,割り切れませんでした
風間,分数使えよ
しんのすけ,あ、ひまわり、このトゥナイトⅡのビデオ返すね。ごめんね勝手に借りて
ひまわり,あたしのじゃねーよっ！！誤解されるようなことをほざくなっ！！
ネネ,そうだ、ひまわりちゃん、良かったら一緒にそのビデオ見ない？
マサオ,いいねそれ
風間,賛成
しんのすけ,でもひまわりはテスト期間……
ひまわり,いいね！見る見る！テストはテキトーでいいやァ、勉強飽きたし
しんのすけ,
風間,いいの？
ひまわり,いいのいいの！子どもはわがままなぐらいがちょうどいいんだって！
風間,ふうん……
ひまわり,あ、それと風間くん！萌えPの携帯ストラップ家に忘れてったでしょ！持ってきてあげたよ！
風間,え、ちょ
マサオ,風間くん、萌えPの試写会行ったんだ
風間,ままま待ってくれ！それは誤解で、本当は仕方なく……
しんのすけ,風間くん
風間,なんだよ
しんのすけ,素直になろうよ
風間,……
しんのすけ,オラとトオルちゃんの仲でしょ～隠し事はいやん。素直になりましょうよん
風間,だーーーーーっ！！！！抱きつくな気色悪い！
ひまわり,11月27日、しんのすけと風間くんが恋人のように抱き合った。と
風間,んなことを勝手に日記に書くなあああああああああ！！！
ネネ,風間くんが萌えP好きだなんて、ネネたち昔から知ってたわよ
風間,……え？
マサオ,うん、風間くん嘘が下手なんだもん
風間,皆気付いてたんだ……
しんのすけ,えー！？オラ全然気付かなかった！皆いつ気付いたの？
ネネ・マサオ・風間・ひまわり,……
ひまわり,別に風間くんが萌えP好きだからって、あたしたち引いたりしないよ
マサオ,うん、僕もちょくちょく見てたし
ネネ,無理に隠そうとする方がいけないと思うの
しんのすけ,よかったね風間くん
風間,うん……そうだよね、うん。今まで隠しててごめん。僕、風間トオルは魔法少女萌えPが大好きです！！！
しんのすけ,オラは風間くんが大好き
風間,ああああああ！耳をはむはむするなああ！
しんのすけ,さて、ビデオ見ますか
風間,温度差すごいな。月かよ
しんのすけ,ビデオカメラ買って初めて撮ったやつだな、たぶん
マサオ,幼稚園の時のしんちゃんだ！
ネネ,しんちゃん緊張してるゥ、かわいい～
風間,大半は野原家の映像なんだね
ひまわり,あたしが生まれるまえかァ、なんか新鮮で不思議
風間,順番ゴチャゴチャだけど、いろんな幼稚園の行事が見られて楽しいね
ネネ,ビデオに映ってた卒園式の後、しんちゃん家に集まってパーティーみたいなのしたよね！
マサオ,ああ！やったやった！風間くんの私立小学校合格記念も兼ねて！
風間,そんなこともあったね。懐かしいなァ
しんのすけ,懐かしいって気持ちがやっと分かったね、風間くん
風間,あ、確かに……今ならオトナ帝国にハマってた大人たちの気持ちもちょっとは分かる気がするよ
マサオ,そういえばさ、なんでしんちゃんは急にこのビデオを見ようと思ったの？
しんのすけ,探し物があるんだ
風間,探し物？
ネネ,なにそれ
しんのすけ,タイムカプセル
ネネ,……あ
風間,そういえば……
マサオ,幼稚園の時にタイムカプセル埋めたんだっけ。いつかみんなで掘り起こそうって
ひまわり,へえ～
しんのすけ,数日後までに掘り起こしたいんだ、オラ
風間,ずいぶん急だな
ネネ,でも、いい機会だし、掘ってみましょうよ！
マサオ,うん、いいかもしれないね
ひまわり,面白そうだねェ、で、それ何処に埋めたの？
しんのすけ,そう、問題はそこなんですよ奥さん
ひまわり,誰が奥さんだコラァ
ネネ,確か……アクション幼稚園のどこかに埋めたわよね
しんのすけ,そのどこかが正確に思い出せなかったんだゾ
風間,あ、もしかして
しんのすけ,そう。当時ビデオカメラでカプセルを埋める場所を撮っておいたはずなんだ
風間,なるほど……当時の行動が功を奏したわけか
ネネ,あ！ビデオ見て！
マサオ,タイムカプセルを埋めてるシーンだ！
ひまわり,えっと……ここは……？
ネネ,アクション幼稚園のウサギ小屋よ！
風間,そうか！思い出したぞ、僕たちウサギ小屋の中の地面に埋めたんだ！
マサオ,ここなら誰にも見つからないだろうってしんちゃんが言ったんだよね
しんのすけ,全く、無責任な野郎だ
マサオ,君のことだよ……
ひまわり,ウサギ小屋……あったようななかったような……？
しんのすけ,早速明日掘り起こしにいこうっと
風間,でもボーちゃんがいないぜ？
ネネ,三年前、アメリカに行っちゃったもんね
マサオ,でも何年も待ってたらその内にカプセルが取られちゃうかも
しんのすけ,え、それは困るなァ
ネネ,取られるってことはないとは思うけど……
ひまわり,ボーちゃんに電話してみたら？
風間,そうしてみようか
マサオ,……もしもし、あ、ボーちゃん？
ボー,マサオくんどうしたの？
マサオ,急なんだけどさ、タイムカプセル埋めたの覚えてる？幼稚園に
ボー,……！。覚えてる
マサオ,よかった。話がはやいね。しんちゃんがね、カプセルを掘り起こしたいらしいんだけど、ボーちゃん今アメリカにいるじゃない？
ボー,ボー
マサオ,だ、だよね。僕たちだけで掘り起こしちゃっても大丈夫……かな？どうしても待てないみたいなんだ
ボー,しんちゃんがそう言ってるなら掘っていいよ掘れるもんなら
マサオ,え……うん、ありがとうボーちゃん。ボーちゃんのも大切に保管しておくね！
ボー,ボー。じゃそろそろ時間だから……
マサオ,時間？そっか。うん。ばいばい
風間,じゃ、明日アクション幼稚園に17時集合にしよう。ただいまー
風間ママ,おかえり、今日は予備校休みだったのに遅かったわね。どこ行ってたの？
風間,ああ……カフェで勉強してたんだ
風間ママ,あらそう。お疲れでしょ？夕飯食べなさい
風間,うん、ありがとうママ。……二項定理を微分して……ああ！やめた！。……。…………。……僕、なんのために勉強してるんだっけ。東大に入るため……じゃ、なぜ東大に入りたい……？。……。分からない。小さい頃から、パパみたいにいい大学に入って、いい会社に入りなさいって言われてて。ママの期待に応えたくて……周りに認められたくて……。その一心で勉強してたんだっけ……。そう自分に言い聞かせていた。周りと違うのが怖くて、僕は大学に入るのか？。しんのすけ……僕も君みたいになれるかな。……引き出しの中に、執筆途中の漫画原稿があること、ママが知ったらどんな顔するだろう。ママ……
風間ママ,あら、トオルちゃん。どうしたの？そんな改まった顔して
風間,僕、漫画家になるよ
風間ママ,え？……やだそんな真面目な顔でジョークだなんて
風間,ジョークじゃないよ。僕、真剣なんだ
風間ママ,……
風間,僕、昔から魔法少女萌えPが大好きで、萌えPみたいな漫画を描きたいって密かに思ってた。実際に描いてみたら、そりゃ大変だけど、勉強よりずっと集中できるんだ。何より、すごく面白い
風間ママ,でも、漫画家なんて簡単になれるものじゃないわ
風間,分かってるよ。でもやりたいんだ。やっと素直になれそうなんだ。自分が本当にやりたいことに。よく考えたら、僕は勉強が特別好きなわけでもないし、大学に入ってこういうのを勉強したいっていうのも全くなかった。だから大学にはいかない。ママが何と言おうと、僕は漫画を描くよ
風間ママ,……
風間,……
風間ママ,……ありがとう、トオルちゃん
風間,え……
風間ママ,トオルちゃんが自分から、何かをやりたいって真正面から反抗してきたの初めてだから、嬉しくて
風間,ママ……
風間ママ,トオルちゃんは漫画が描きたかったのね。ママ知らなかったわ。ごめんね……トオルちゃんの本心も知らないで、勉強ばっかりさせて……
風間,こっちこそごめんなさい……。こんなに教育にお金をかけてもらってたのに……
風間ママ,ううん、お金なんてどうにでもなるわ。それよりも、トオルちゃんが後悔のないような人生を送れるかどうかの方が大切よ
風間,ママ……ありがとう
風間ママ,こちらこそ、本音をぶつけてくれてありがとう
ひまわり,うーん
しんのすけ,うoこ？
ひまわり,るせえよ！！ていうかちがうし！！！
しんのすけ,じゃ、なに
ひまわり,いや、なんかね、ストーカーされてるような気がして……
しんのすけ,ひまわりに限ってそれはないから大丈夫！
ひまわり,どういう意味だよっ！！！
しんのすけ,ひまわりは成長するにつれて母ちゃんに似てくるんだゾ
ひまわり,え～ヤダなァ
しんのすけ,ひまわりが北与野博士のハヤスギルンDSを飲んだ時に、オラはひまわりの成長過程を見届けたもんね
ひまわり,ったく変な薬作りやがって……。いや～しかしさあ。お兄ちゃんにもあんな時期があったんだねェ、腹抱えて笑っちゃった
しんのすけ,父ちゃんや母ちゃんにもあんな時期があったんだよね。不思議だよね
ひまわり,ホントだね。…………。ねえねえ
しんのすけ,なあにい
ひまわり,ママ怒ってるかなァ……
しんのすけ,テスト期間だし、かもね
ひまわり,車ある……やっぱりママ、パートから帰ってきてるかァ……。ただいまァ……
みさえ,……ひまわり、どこ行ってたの？
ひまわり,……と、友だちの家
みさえ,ママとのお約束第338条！テスト期間中に勉強を放ったらかして夜遅くまであそんではいけない！。忘れたとは言わせないわよ
しんのすけ,かあちゃん、オラが悪いんだよ。無理やり連れてっちゃったから
ひまわり,え……！？
みさえ,しんのすけ！ひまわりを甘やかしちゃダメでしょーがっ！
しんのすけ,ひいいぃ！本日二度目のグリグリィィ！
ひまわり,ママ
みさえ,なに
ひまわり,あたしにもグリグリして
みさえ,ああ言われんでももちろんするよ！
ひまわり,ひいいぃ！もうしませんごめんなさあああいィ！
みさえ,……今後は気を付けるのよ
ひまわり,うん
しんのすけ,ひまわり……
ひまわり,……なに？
しんのすけ,Mだったんだね
ひまわり,ちげえよ！！！！！
ひろし,ははは、まあ中学生なんて、遊びたい盛りだよなァ
ひまわり,……
みさえ,あなた、ひまわりにはホント甘いんだから
しんのすけ,まただ、カボチャ煮はホント甘いんだから
ひろし,んでひまわり、何して遊んでたんだ？
しんのすけ,んでおかわり、味いいねCOMEON出番だ
ひまわり,そんなのパパに関係ないでしょ
しんのすけ,今夜の辛(から)いな、例外でしょ
ひろし,なんだ、冷たいなァ
しんのすけ,なんだ、味噌汁冷たいなァ
みさえ,あんたはさっきからゴチャゴチャうるさい
しんのすけ,本日二度目のげんこつ……
ひまわり,ごちそうさまぁ～ずバカルディ
みさえ,あらやだあの子またサンマ残しちゃって……
しんのすけ,ひまわり、小さい時喉にサンマの骨が刺さって以来焼き魚嫌いになっちゃったもんね
ひろし,ひまわりも反抗期っぽいなァ
しんのすけ,今わりと缶コーヒー濃いなァ
ひろし,しんのすけ、何して遊んでたか知ってるか？
しんのすけ,ビデオ見てたの。ほら。あ、父ちゃんうしろ
みさえ,
ひろし,
みさえ,
ひろし,だーーーーーっ！！！！いてっ！すまんすまん！うわああ！
しんのすけ,父ちゃんごめん、ホントはこっちだった
ひろし,最初からそっちを出せよっ！！！
しんのすけ,はあ……はあ……
ひまわり,お兄ちゃん、さっきは……ってちょ、何やってんの！？
しんのすけ,！？。こ、こらァ！はあ……ノックしてから入れって……はあ……言っただろォ！。はあ……はあ……オラ、集中して怪人にやられそうになってピンチのアクション仮面が進化形態に変身するシーンの練習やってたのにィ
ひまわり,あ、なるほどね。ごめんごめん、えへへ。では気を取り乱して
しんのすけ,取り乱してどうする
ひまわり,おーい
しんのすけ,今ノックしても遅いの
ひまわり,ほうほう
しんのすけ,にしても、ひまわりがオラの部屋に入ってくるなんて珍しいなァ。金ならやらないゾ
ひまわり,違うよ。お礼を言いにきただけ
しんのすけ,？
ひまわり,お兄ちゃん、さっきは、ありがとね
しんのすけ,さっき……？。あ、トゥナイトⅡのビデオのことかァ！
ひまわり,だからちげえよ！！！いい加減トゥナイトⅡから離れろ！！！。そうじゃなくてほら、庇ってくれたでしょ
しんのすけ,ああ……。気にするなひまわり。ある意味ホントだしな
ひまわり,そっか、ありがと
しんのすけ,それより明日のテスト。大丈夫なのか？オラは心配で心配で昼も眠れないゾ。夜は眠れるゾ
ひまわり,よゆーよゆー！こう見えても数学と理科はチュートリアルなんだ！
しんのすけ,ええと……
ひまわり,遅い！
しんのすけ,それを言うなら得意だろ、かァ
ひまわり,それそれ。もちっとテンポ良くいかないと旦那
しんのすけ,オラ、ツッコミには慣れてないんだァあははは
ひまわり,あ、携帯鳴ってるよ
しんのすけ,風間くんだ
ひまわり,スピーカーにしてね
しんのすけ,はいもしもし。おれおれ詐欺ですか？
風間,風間トオルです！
しんのすけ,なんだ風間くんか。そうならそうと早く言ってよね
風間,番号で誰か分かるだろ……
しんのすけ,で、いきなりどうしたの？
風間,ああ……ちょっとした報告があって……
ひまわり,へえ～、風間くんが漫画家になりたいだなんて、初めて知ったァ
風間,うん、しんのすけたちのおかげで僕も踏ん切りがついたよ。大学に行かずに漫画描く。決めたんだ
しんのすけ,……大学行きながら漫画描けばいいのに。風間くん家お金もあるし
ひまわり,あ、それ言っちゃう？
しんのすけ,意外と影響されやすい性格なのかも
風間,ははは。それももちろん考えたんだけどさ、理系の大学ってかなり忙しいみたいだし、漫画描く時間なんてないかなって。それに、大学という保険をかけてたら、漫画に100%本気になれない気がしてさ
しんのすけ,そっかァ。オラ折角この学校で唯一の高卒になれると思ったのになァ。まあいっか
ひまわり,なるほどねー。あたしは応援してるよ。決めたからには頑張れ風間くん！
しんのすけ,うん。オラは崖から風間くんの背中を押すことしかできないけどさ、頑張ってね！
風間・ひまわり,崖からは余計だろっ！！！
しんのすけ,おお
ネネ,うわああ！懐かしいィ
風間,僕ここに来るの12年ぶりかも
マサオ,外から見た感じは昔とあんまり変わんないね
しんのすけ,みどりのやつ、元気でやってるかなァ
風間,入ってみようか
みどり,しんちゃん！それに皆も！すごい久しぶり
しんのすけ,よ！みどり、元気してたか？
みどり,元気も元気よ
風間・ネネ・マサオ,お久しぶりです！
みどり,皆大きくなったわねェ。私身長抜かれちゃった
風間,あはは、幼稚園の時は、吉永先生があんなに大きく見えたのに
しんのすけ,お胸も大きく見えたのに
みどり,今は小さいって言いたいの？
しんのすけ,そうともゆう
みどり,そうとしか言わんだろうが！。しんちゃんの話は妹のひまわりちゃんからよく聞くんだけど、他の皆は全然だから、皆の話聞きたいわ
ネネ,今でもひまわりちゃんと会うんですか？
みどり,娘の桃がひまわりちゃんと友だちなのよ
ネネ,へええ、そうなんだァ
マサオ,意外な繋がりだね
しんのすけ,……ふともも
みどり,おい聞こえてんぞ！細いからね！細ももなんだから！
ネネ,そういえば、まつざか先生と上尾先生は？
しんのすけ,何か足りないと思ったら、梅さんとますみちゃんがいないのか
みどり,まつざか先生は結婚してそのまま退職したわ。田舎に帰って農業を営みながら穏やかに暮らしてるみたい
マサオ,ええ！？
ネネ,まつざか先生が結婚！？
風間,これはめでたいですね
しんのすけ,石坂さんとまつざか先生の夫、どっちの方がかっこいい？
みどり,そりゃあもちろん石坂さん……って何言わすのよ。上尾先生は黒磯さんと結婚して、退職
マサオ,上尾先生も！？
ネネ,けっこーん！？
風間,これもめでたいですね
しんのすけ,黒磯……って誰だっけ？
マサオ,あいちゃん……酢乙女あいの執事じゃない？ほら、いつもサングラスかけてた
しんのすけ,ああ、あいちゃんの……なんか居たような気がしてきたゾ
ネネ,ん？今誰かくしゃみした？
風間,いや、誰もしてないと思うけど……
ネネ,？
竜子,あ！ジャガイモ小僧！
しんのすけ,おお！師匠！なんでこんなところに！？
みどり,ここで幼稚園の先生をやってるのよ
竜子,へへっ、ま、そういうことさな
しんのすけ,お笑い芸人は諦めたんだね……
竜子,だからあたいはお笑い芸人じゃねーよっ！！！！！。まあなんつーかさ、あたい、結構小さい子相手するの好きみたいでさ。厳しい家で育ったから作法とかも詳しいってのもあるかもしんねーけどよ、それ抜きにしたって、今の仕事は結構気に入ってんだ
しんのすけ,ふっ、いい歳してセーラームーンのパンテイーか
竜子,てめえ！！！話聞いてんのか！！！！。ったく……そういやよ、てめえの話はあそこのバラ組の教室にいる先生からよく聞くぜ
しんのすけ,え？
ネネ,しんちゃん、心当たりある？
しんのすけ,うーん……でもあの人はここにいるはずは……
風間,あれ？なんか音楽が聴こえる。なんか聴いたことあるぞ！
マサオ,ひまわり体操だ！昔踊ってたよね！
ネネ,バラ組の教室から聴こえるゥ！
竜子,おいジャガイモ！行ってきな
しんのすけ,う、うん。ああ！
風間,しんのすけ、どうしたんだ？
しんのすけ,ななこおねいさん……！
マサオ,しんちゃん顔真っ赤
ななこ,あれ……？しんのすけ！？。ごめん、今音楽止めるね
しんのすけ,ななこおねいさん……ダンスのキレ良かったね
ななこ,ほんと！？お遊戯会のために練習してたんだ。ちょっと恥ずかしいけど、良かったなら良かった
しんのすけ,でも、な、ななこおねいさん、と、都内の幼稚園で働いてるって去年言ってたけど、え、なんでここに
ななこ,半月前にここに移ったの。まだ言ってなかったね
ネネ,……。風間くん、マサオ、先にタイムカプセル掘りに行ってましょ
マサオ,え？でもしんちゃんが……
ネネ,いいの。さ、行くわよ
風間,……そうだな、しんのすけ、先に行ってるよ
ネネ,……あ、そうだ
ななこ,1年前に野原家と大原家合同で旅行した以来だね
しんのすけ,熱海ね。ボク、今でもあの時の夢を見るんだ
ななこ,あは、何それ、やっぱりしんのすけ面白い
しんのすけ,そう言ってもらえると元気も出るってみのもんた
ななこ,あはは。しんのすけももうすぐ高校卒業だよね。もう大人だ
しんのすけ,ボクが初めて会った時のななこおねいさんの歳に、もうすぐ追いついちゃうんだから、ホント信じられないよね
ななこ,そっか、もうそんなに……時が経つのって早いなァ。私もおばさんになっちゃったし
しんのすけ,いやいやいや全然、まーったくおばさんには見えないよ！まるで20代！ピチピチ！
ななこ,えー、ホントかなァ
ネネ,スタンバイオッケー……
みどり,……ネネちゃん、ラジカセの前で何やってんの
ネネ,お構いなく
しんのすけ,な、ななこおねいさん！
ななこ,急にどした
しんのすけ,今度また、一緒に食事しよう
ななこ,え？……うん、また忍やみさえさんたちとみんなで楽しく食事し……
しんのすけ,そうじゃなくて！
ななこ,え……？
しんのすけ,ボクと二人で……二人きりで食事したいんだ
ななこ,しんのすけ……
ネネ,今だ！
しんのすけ,…………
ななこ,…………。……うん
しんのすけ,え
ななこ,いいよしんのすけ。二人でどっか食べにいこ！
しんのすけ,ななこおねいさん……！
ななこ,ななこでいいよ。もうおねいさんじゃないし、しんのすけも大人でしょ？
しんのすけ,……な、ななこ……
ななこ,あ、ちょっとどしたの、泣いてるの！？
しんのすけ,ううん、目にゴミが入っただけさ……
みどり,ネネちゃん、バックに名曲のラブ・ストーリーは突然にを流すのは止しなさい
ネネ,もう、盛り上がってたのにィ
みどり,やっぱり流すべきは演歌でしょ！北埼玉ブルースでしょ！
ネネ,でーーっ！突っ込むとこそっちかい！
ななこ,こすっちゃダメ。どれどれ？
しんのすけ,……
ななこ,ホントだ。ハンカチでちょいしないと。……とれたみたいね！
しんのすけ,ありがとうななこ
ななこ,どうしたしまして。んで、食事だけど、私は明日にでも行けるんだけどどうする？
しんのすけ,よし、明日にでも是非行こう！
ななこ,決まりだね。明日のランチ、一緒に食べるということで
しんのすけ,うん！
ななこ,詳しいことは、また電話して決めよ
しんのすけ,うん。ごめんね、仕事中邪魔して
ななこ,はは、いいのいいの、踊ってただけだし
しんのすけ,じゃ、また明日！
ななこ,うん、また明日
黒磯,……なんと
あい,しん様……
黒磯,あ、あい様！いつの間に
あい,さっきからずっといましたわ
黒磯,本当ですか？気がつかなかった……
