・このSSは,静・ジョースターの奇妙な日常
静,……どーせアレでしょう？康一さんとか億泰とかの家行って、メシ食って喋って酒呑むってだけでしょッ？
仗助,……お前……よくわかってるなぁ
静,……いい加減彼女作ろうよ、兄さん。あたし嫌だからね？老後の兄さんのメンドー見るの
仗助,余計なお世話だっつーの！。ホラ！さっさと学校行けッ！遅刻するぞ。おれ今日は送ってやんねーからな！
静,はいはい……って、アレ？兄さん？
仗助,あん？まだ何かあんのかよ？
静,……あたしのお弁当は？
仗助,はあッ？
静,……
仗助,……オメー、ほら……病み上がりの兄にそんなのよー、押し付けたりするか？普通ゥ……そこはオメーが作るもんだと、てっきりよォ～～
静,別に病みじゃあないじゃんかさ。どっちかっつーと怪我だし、もう治ってるんでしょ？
仗助,……静
静,ん？
仗助,サンジェルマンのサンドイッチはよ～～ッ、スッゲー美味しいぜ
静,あーもー！信じらんないッ！ぼさっとしてて弁当作るの忘れてただけじゃん！
仗助,ぼさっとしててじゃあねーぜ。ただ単純に面倒だと思ってよー……
静,それなら明日は弁当作らねーぜって昨日言っといてよ！昼にサンジェルマン行っても売り切れに決まってるじゃんかーッ！！
仗助,ホラッ！遅刻すんぞッ静ァ～～ッ
静,もー！もー！！いってきまァァ～～すッ！！。……
広瀬川,アレッ！？静さん、珍しいね。お昼休憩にどこか行こうとするの
静,ええ……サンジェルマンか購買か……どっちかに行こうと思ってね
委員長,サンジェルマン？今から行っても売り切れなんじゃあないか？どうしてまた……というか、君はいつも弁当を持ってきてなかったか？どうしたんだい今日は
静,……ウチの兄さんがさ……
広瀬川,あッ！……えっと、入院したんだっけ？
委員長,えっ？そりゃあ知らなかった、ゴメン。君も色々と大変なんだな……
静,いや……退院したけど、お弁当作ってくれなかったの
広瀬川,？……入院したの、つい最近じゃあなかったっけ？
静,色々あんのよ、あたしにも……
広瀬川,？……まあいいや。静さんがお弁当持ってきてないっていうのは、ある意味好都合かもしれないよ
静,どういう事？康司
委員長,実は、虻村君がさ……あ、来た来た
虻村,おう！待たせたなァ～～二人共ッ！スッゲーでけーウンコでよ……って、アアン？静も来んのかァ？
静,何？どっか行くの？
広瀬川,うん。ボクも委員長も購買でパン買おうとしてたんだけど……虻村君が外で食べようってさ
委員長,何でも、日本料理のお店らしいよ
静,日本料理ィィ～～ッ？。あたしパス
虻村,何でだよッ！スッゲー美味い店なんだぜッ？おれも行ったことねーけどよ～～ッ
静,今日のラッキーアイテムはフランス料理なのよ。それなのにお昼が日本料理って……なんかイヤーな事起きそうじゃあない？
委員長,朝の占いか……君そういうの信じるタチなんだ
虻村,ンな事俺らが知るかよーッ！なんか、俺の好きな日本料理をバカにされたみてーで、スッゲーむかつくぜーッ！！
静,別にバカにはしてないわよ……ただ、今は和食な気分じゃあないの。朝はご飯だったし、パンが食べたい気分ン～～
広瀬川,だからって、サンジェルマンはきっと無理だよ……大人気だもん
静,あたしだってそんなのわかってるっての……もしかしたら余ってるかも、っていう淡い希望があんのよ
委員長,うーん、それでもなぁ……静さん一人で外出っていうのは、ほら……
静,？……何が言いたいのよ、委員長
委員長,君も朝のニュースを見たんだろ？占いの前にやってるヤツさ。……今この町では連続行方不明事件とかが起こってる。犯人は火炎放射器を持ってるとかも言われてるし、女の子一人で外出するっていうのは……
静,真っ昼間にそんな事件なんて起こらないっての。それにあたし、結構腕っ節っつーか、ケンカには自信あるし
委員長,そういう問題じゃあなくってさ……
広瀬川,静さん、委員長は心配してるんだよ。君の事をさーッ。だから、ちょっとくらいは聞いてくれても……
静,……って、言われてもねェ～～
虻村,もういいじゃあねーか。行こうぜ二人共ォォ～～。こーんな外人かぶれのチビ女に、すンばらしィー日本料理の味なんか、わかるワケねーんだよッ！
静,ム！……言ってくれるじゃあないの、虻村……
虻村,あ～～ン？プッツン来てんのかよ、静ァ？
静,誰が……チビ女ですってェ？
広瀬川,プッツン来る所そこなんだ？
静,わかったわよ……！付き合うわよ！美味しいんでしょうねそこ？
虻村,最近知った店だけどよ、美味しいって評判なんだぜ。行こ行こしゅっぱぁ～～つ！
委員長,虻村君の店選びのセンス……ううん、ちょっぴり心配だな
広瀬川,委員長もそういう事言うのやめようよッ！きっと美味しいって～～ッ！
静,結構歩くのね……あたしん家に近いじゃあないの。こんな所においしい日本料理の店なんかあるのォ？
虻村,夜は結構高い料理出してるけどよー、昼は学生なんかが手軽に食えるようなメニューも置いてんだとよッ！
委員長,それにしても、虻村君……君日本料理が好きなんだ？
虻村,おう！日本料理っつーか、日本文化っつーか……和菓子とかお茶とかも好きだし、着物とか浮世絵とかいう日本のモンは大好きだぜーッ！日本文学は頭が痛くなるけどよーッ
広瀬川,そういえば、夏にあったかい日本茶飲もうとしてたよね……
委員長,本当、人は見かけによらないというか……ま、そういう若者がいるっていうのは、この日本社会にとっては素晴らしい事なんだろうね
静,あたし海外文化好きだけど
虻村,オメーはもうちょい日本人らしさを出しやがれッ！
委員長,僕、こんな所まで来るのは初めてだな……虻村君も、よくこんな所にある店を知ったね？
虻村,クラスメイトが話してるのを聞いてよォ～～。是非ともいかねーとなッ！って思ってよー。なんつーか、そいつらが言うには……店主が俺に似てるらしくって、スッゲー親しみやすい感じなんだってよ！
静,虻村に似てる店主とか……なんかやる気無くすわねーッ
虻村,どういう意味だよッ！
広瀬川,楽しみだね、どういう人なのか……。あッ、あの店がそうなんじゃあないかなッ？
静,へーッ、どれどれ？。あたし帰るわ
虻村,何でだよッコラァーッ！
静,やめよう！あの店は絶対やめよう！完全完璧100パーセントマズいからッ！きっと素手でちぎり取ったクマ肉の破片とか出てくるわよッ！？
委員長,それはそれで逆に見てみたい気もするよ……
静,あたしは絶対イヤだからあの店ッ！あそこ入るくらいならあたし、お昼ごはんいらないしッ！
虻村,ここまで来てそれはねーだろーがよッ！ホレッ！入るぞ静ァ～～ッ
静,ヤダー！ヤダー！！あたしお家帰るーッ！！
広瀬川,アレッ？見てこれ……お店の扉に張り紙が貼ってあるよ？
委員長,何？お休みのお知らせかな……？どれどれ……。？……何だろう、これは？
広瀬川,えーッ……ボク、あまり自信ないよ。虻村君は？
虻村,あ～～ん？マナーだぁ？んなもん俺が知るかよーッ！
静,ゲッ、本当品がないわねーッ。あたしなんか上流家庭の生まれだから、こーいうの完璧だってのーッ
委員長,そりゃあ心強い。じゃあ入店して大丈夫って事だね？
静,グッ……まあ、そうだけど……あ、そうか。もしかしたら同じ名前の別人の店の可能性だってあるわよね……うん、きっとそうよ。そうに違いないわ……
虻村,何ブツクサ言ってんだァ？
静,……何でもないわよ。ホラ！さっさと入りましょッ！
億泰,っらっしゃいやせェェ～～ッ！！
仗助,ん、うめェな億泰ッ！また腕上げたんじゃあねーかァ？
億泰,だっろォ～～ッ？やっぱし？そう思うッ？
仗助,しかし…・・・オメーその板前の格好、いつ見ても似合わねーなァ！
億泰,うっせーよ仗助ッ！
静,…………
広瀬川,し、静さん……大丈夫？
委員長,すごい落ち込みようだね……
仗助,あん？静……と、そのお友達じゃあねーか。どうしたんだ？億泰の店によォ～～
億泰,静ァ？おー！オメー久しぶりじゃあねーか！春先に仗助の家引っ越してきた時に会ったっきりか？
静,……6月に一回会ってるわよ。あたしが、その……泥棒した時に
億泰,ああ、そういやそうだったなァァ～～。あの時は悪かったぜ。暗がりで顔わかんなかったからよ～～怖がらせちまったな？
静,別に怖がってなんかないっての！億泰のくせにナマイキね～～ッ！
委員長,何だ、静さんのお知り合いかい？
静,あたしの知り合いじゃあなくって、兄さんといっつもバカやってるオッサンよ！
億泰,仗助……オメーどういう教育してやがんだァ？
仗助,よくおれの話に出てくるからなァ、オメー……それで何か、ナメられてんだろーな
静,クッソォ～～……億泰の店って知ってたら完ペキ来なかったのにさァーッ。やっぱ今日あたし運勢ワルいのかな
億泰,ウダウダ言ってんじゃあねえよッ！オメーらおれの店に来たっつーことはよ～～、昼飯食いに来たんだろ？
委員長,はい。お願いできますか？一応、昼食はお手頃な価格だと聞いて来たんですけど
億泰,おうっ！昼時にやってるメニューは、にじむら定食700円そして幸せが訪れるだぜぇ～
静,普通こーいうのはワンコイン500円なんじゃあないのーッ？200円まけろっ
広瀬川,横暴だよォ～静さん……700円でも充分だと思うよ？
虻村,オメーッけっこうケチくせえ野郎なんだなァ～～ケーベツするぜーッ
静,あたしはそこの兄さんのせいで無駄にお金払うことなってんのよ？ホントだったらビタ一文払いたくないもんねーッ！
仗助,わかったわかった。静ァ、オメーのメシ代はおれが払っといてやるよ
静,マジィ？兄さんやるゥ！今日もチョーイケてるねーッ！ウフッ♪
仗助,ついでにお友達の分もおれが持つぜ。億泰、後で払うからよーッ
広瀬川,えっ！？いや、それはさすがに悪いですよッ！
虻村,そうだぜェ～！俺達はこいつみてーにみみっちくねーっスよォ～！
仗助,いいっていいって！いつも静と仲良くしてくれて嬉しいんだからよォ～こっちは。このくらい払わさせてくれ
静,金欠のくせに格好つけるんじゃあないっての
仗助,うっせェーよッ静ッ！……それにしても億泰
億泰,あ～ん？
仗助,そして幸せが訪れるって……ウププ！スッゲェーセンスだよな……ププ！
億泰,おれだってよォォ～、格好良くにじむら定食の一言にしたかったんだぜッ？けどよォ～～うちのカミさんが、どーしても入れろ！ってうるさくてよォォ～……
仗助,どうせならもっと能書きをやたらに長くしてみねーか？山形県天童市の菅原さんが愛情たっぷりの放し飼いニワトリの卵を使った添加物無添加のだし巻き卵をふんだんに使った青空の下での料亭の味にじむら定食700円そして幸せが訪れる……とかァ～～
億泰,覚えきれっかよーッそんなの！
仗助,そして幸せが訪れるアハハハハハハ
億泰,そして幸せが訪れるアハハハハハハハハ
静,……さっさとごはん作ってよ
億泰,おうッ！悪かったなァ～これでも腕は動かしてるんだぜっ？
虻村,……やっぱオメー、メシ楽しみなんじゃあねーか
静,ぱっと食ってチャッと出たいだけよ、こんな店ェーッ。……ん？
幼女,…………
静,……？
億泰,おうっ、那由他ナユタ
那由他,……
億泰,今お客さん来てっからよ～、もうちょい待ってくれよ。なっ？
那由他,パパ……じいじがおなかすいたって言ってる。あと猫草のキャットフードどこ？
億泰,キャットフードはスーパーの袋に入れっぱなしになってるはずだぜ。親父のメシもすぐ作るからよーッ
那由他,……あとあたしもおなかすいた
億泰,すぐ作るぜ！おんなじ定食でいいよなァ～？ギョーギ良くイスに座って待っててくれ。猫草のメシもおれが後で準備すっから！
那由他,……うん。……
仗助,ほへー、那由他ちゃんおっきくなったなァ～～
那由他,……3日まえにあったとおもいますけど
仗助,男子3日会わずば活目して見よ！だぜ～ッ。那由他ちゃんは女の子だけどなーッ。で、今いくつになったんだ？
那由他,……5さいです。じょーすけさん
仗助,来年小学校かァ？5歳にしてはホント礼儀正しい良い子だな～～ッ。静も見習ったほうがいいぜ
静,あたしを引き合いに出すなッ！ていうか兄さん、この子は……？
仗助,億泰の娘だよ。那由他ちゃん
那由他,……はじめまして
億泰,ちょっとブアイソーなとこあっけどよォ～～、自慢の娘だぜッ！
仗助,いや本当、億泰に1ミリも似なくて良かったゼ
億泰,どーいう意味だコラッ！
仗助,しかし、億泰が結婚して子供まで産まれるとはなぁ……
億泰,自分でも結構驚きだけどよォ～。やっぱ男たるもの、家庭を持つっつーのはいい事だぜェー。日々の仕事にも張り合いが出るっつーか！
仗助,猫草や親父の世話もあんのに、その上子供までとは……オメーやっぱかなりタフなんだな
億泰,親父も最近は調子いいみてェだし、猫草も親父や那由他がキチンと世話してっから大丈夫だぜ。まァ～～猫草は、最近ちょっぴり大きくなっちまったのと、おれには全くなついてねーのが問題点だがなぁぁ～～。オメーも結婚して子供つくったらどうだ？自分の子供っつーのはカワイイもんだぜェーッ
仗助,いや、おれにはもうすでにデケー子供がいるからよォォ～～
静,頭消すわよ兄さん
広瀬川,な、なんだかいい匂いがしてきたね……ボクもうお腹ペコペコだよォ～
虻村,きっとスッゲェーうまいんだろーなァ～～。俺もハラの虫が鳴りっぱなしだぜ
静,あんま期待しないほうがいいわよ……億泰の作るご飯だもん
億泰,そりゃあどーいう意味だっコラッ
仗助,いや静、おれもよォ～～最初億泰がメシ屋になるっつった時は億泰、オメー気でもくるったのか！？って心配になったけどよーッ、こう見えて昔っから自炊してっから、実は料理上手いんだぜ
静,そう言われても、あたし信じないわよ。どーせ包丁もロクに使えなくてザ・ハンドで削って切ってるんでしょ？
億泰,んな事おれがするかよっ！
委員長,静さん、実際見てもいないのに想像だけで人をけなすの、僕はあまり好きじゃあないなーっ。食べてからでも遅くはないだろう？
静,フンッ！もしちょっとでもマズかったら、カネなんて払わないからねあたし
仗助,カネ払うのおれだろうがよォ～～……
静,それで？ご飯はまだなの？あたし達午後からも授業あるんだから、早くしてよねーッ
億泰,慌てるんじゃあねーぜ！おれ一人で切り盛りしてっからよぉー流石にこの人数のメシ作るのは時間かかるんだよっ
広瀬川,ええっ？一人でやってるんですか？結構大きな店ですけど……？
委員長,そうだね。広いカウンター席にテーブル席が4つ……奥には宴会用の座敷もあるみたいだし、こんな店をバイトも無しに一人でなんて……
億泰,まあそこは、おれの手際の良さがなせる技だよなァァ～～
虻村,すッ……すげえっ！ソンケーするぜッおやっさんよォ～～！
億泰,そいつァ～～どーもよォ～～！オメーらちょっぴりサービスしてやるぜっ！
仗助,静、億泰の野郎ザ・ハンド使ってメシ作ってるぜ
静,げ、やっぱり削ってるんじゃあないの
億泰,言うんじゃあねーよっ仗助ッ！ちょいと火加減見たりナベ揺すったり洗いもんするのに使ってるだけだっ！
仗助,あとはニンジンの皮とかキャベツの芯とか、生ごみ削ってゴミ減らしたりなぁー
億泰,おう。時代はエコだぜ、エコ
静,うげげ、聞きたくなかったわ。そんな家庭的なスタンドの使い方
億泰,平和的に利用して何が悪いんだっつうの！ったく……よし、そろそろ揚がったかな、っとォ
虻村,おおッ、ついに……完成っすかあッ！？
委員長,ど、どんな料理なんだろうね……
億泰,待たせたなァ～～おめーらッ！億泰様特製！にじむら定食だぜぇ～～！
広瀬川,わあっ！
静,こ……これはっ！？
虻村,す……すっげェーウマそうだぜェーッ！やっぱ日本料理ってこうじゃあねーとなっ！
委員長,なかなかのボリュームだね……僕全部食べられるかな？
億泰,ご飯はおかわり自由だぜェ～～。まッ！さっそく食ってみてくれやっ
那由他,……パパ
億泰,おうっ！那由他の分もちゃーんと作ってるぜーッ！ここで食うんだよな？ほらっ
那由他,ありがとう。……いただきます
静,フーン……見た目は悪くないんじゃあないのーッ？
広瀬川,もうっ！静さんは素直じゃあないんだからぁっ
委員長,じゃあさっそく……いただきまーす
虻村,まず最初はみそ汁からだよなァ～～ッ！どれどれ……。――おおうッ！？。……？……なっ？
静,？……虻村？
広瀬川,ど……どうしたの？いきなり声を上げちゃって？
虻村,……おい、おやっさんよォ～～……コイツぁ～どういう事なんだッ？コラッ
億泰,あーん？何か不満でもあんのかよっ？
虻村,俺のみそ汁……キンッキンに冷えてやがるじゃあねーかッ！この店では冷たいみそ汁出すのかよッあァ～～ンッ！？。何かの嫌がらせかっ？俺のみそ汁だけ冷たいなんてよっ！
静,いや……虻村、そうじゃあないわ
虻村,あん？
静,あたしのみそ汁もすっげぇー冷たい。まるで……冷蔵庫で冷やしたみたいにね
委員長,それに……このみそ汁、具材らしい具材が全く見えないね。なんだかドロドロしてるけど……？
億泰,それはよォー……億泰様特製冷たいみそ汁……格好良く言うなら冷製ミソスープだぜーっ！
虻村,れ……冷製ミソスープゥゥーッ！？
・だし汁,かつおだし・濃目
・山芋,好きなだけ
・おくら,タネを抜いて茹でて細かくつぶし、ひとつまみ乗せて彩りをよくする。写真ではメンドーだったのでやってない
このみそ汁の完成秘話,らしい
億泰,暑い日に熱いみそ汁なんか食いたくねーって思ってよォ～、みそ汁を冷やしてみたんだよっ！
静,うげげげーっ！クレイジージャパンね。冷たいみそ汁なんか気持ち悪いわよっ
委員長,いや、冷や汁という郷土料理がこの日本にはあるからね……あれはほぐした魚とかが入った冷たいだし汁を、ご飯にかけて食べるんだったか
虻村,みそ汁はよォ～～、あったかいのがいいんだよっ！日本の伝統にケンカ売ってるぜっこの料理はよーっ！
億泰,文句は食ってから言いやがれっこのダボどもがーッ！
広瀬川,生まれて初めてだよ……冷たいみそ汁なんて
委員長,しかもドロドロしてるなんて……どんな味がするんだ？
虻村,うーん……
静,……
四人,ゥンまああ～～～～いっ！！
虻村,こっこれはああ～～～～っ
静,この味わあぁ～～っ
億泰,だっろォォ～～ッ？
広瀬川,冷たいみそ汁がっ！ちゅるりとノドを通って胃に流れ込んでいく快感っ！な……なんてのどごしの良さなんだろうッ！？
委員長,山芋が丁寧に細かくすり下ろされているんだっ！それに味噌もカタマリとか細かいツブとかが全く無いっ！しっかりと味噌をこしとって味だけを残しているっ！
虻村,それにっ！味噌に負けないくらいにドきつく、これは下品なんじゃあねーかッ？っていうくらいしっかり取られたかつお出汁っ！こいつが下品なんかにならず、スッゲェーいい力を出してるぜっ！
静,決してメインじゃあないけれど、味噌の味ととろろの味を、ギュッ！っと繋いでいるわっ！縁の下の力持ちっつーんですかあ～～たとえるなら、ジブリ作品における久石譲！ポルノグラフィティの曲に対する本間昭光！サイバーコネクトツーのグラフィニカ！……つうーっ感じねぇ～～っ
億泰,喜んでもらってスゲー嬉しいぜーッ
虻村,こりゃあ他の料理にも期待出来るんじゃあねーかっ！？
委員長,ああ！他の料理も食べてみようか
広瀬川,ええっと、これは……？
億泰,そいつはサバだな
静,……サバァ？
億泰,メインの料理ッ！億泰様特製サバの竜田揚げだぜーッ！
・サバ,一匹まるごと
億泰,さっ！食事を続けるぜ……？
あとで山芋を入れるので、これも,ちょっと味濃いかな？
虻村,この竜田揚げ――。サバを使ってんのか？
静,…………
億泰,おう。サバを使っているぜ……日本は島国だから昔から魚食文化があるよなァ～～。縄文時代の遺跡から魚や貝のアラが見つかったっていう話もあるし！最近魚を食う若いモンが減ってるっつーウワサだけど、おれとしてはそれはかなりサビシィー話だと思うんだよなーッ
静,……
広瀬川,どうしたの？静さん……なんか、不機嫌な顔してるけど？
静,億泰……アンタ知ってるでしょうが。あたしがサカナ嫌いだっていう話
億泰,……
委員長,好き嫌いは良くないよ、君ィー
静,そんな単純な話じゃあないっての。あたし赤ん坊のころ溺れたことがあってさあ……その時は兄さんとおじいちゃんが助けてくれたんだけど、それから心の奥底にトラウマというか、イヤーな思いが刻みつけられちゃってね。水槽いっぱいにたまった水とかフワフワ泳ぐ魚を見たら、気分が悪くなるのよ
仗助,オメーあん時0歳じゃあねーか……覚えてるわけねーだろう？
静,ええ。溺れたということは覚えてないわ。けど、水関係でイヤな事があったっていう事だけは理解してる。だから魚とかも嫌いなのよ。……最近サカナ型のスタンド絡みでイヤな事もあったし
仗助,ホンット、強情なヤツっすねェ～～……
広瀬川,……うーん、静さんの肩を持つわけじゃあないけど、ボクもあまりサバは好きじゃあないかなァ。なんていうか……独特の臭みがあるよね、サバって。なんだか水っぽくて味も薄いし……身もカスカスしているイメージがあるよォ～～。好んで食べる魚ではないっていうか……
虻村,それによォ～～おやっさん！今は夏だぜェ～～？
億泰,おう。それがどうかしたかよォ～～？
虻村,知らねーのかッマヌケッ！サバは冬の魚なんだよーッ！夏に食うサバなんざ、脂がノってなくてマズいってもんじゃあねーぞォ～～ッ？俺、そーいう事詳しいもんねーッ！
億泰,ほー、良く知ってるじゃあねーかッ。けどよォ～～その解答だと50点だよなァ～～
虻村,あ～～ん？
億泰,いいから食ってみろって！苦情はその後受け付けるぜーッ
委員長,自信満々なんだね……どれ。……
広瀬川,ど……どうなの？委員長
委員長,……な……なんだこれはァ～～っ
虻村,どーせスッカスカでボロボロの身なんだろッ？食っても味なんかしねェーぜー
二人,うッ……うんまァァァ～～いッ！！
広瀬川,ええっ？
静,ウソでしょォォ～～？
委員長,脂がぎっしりノッていて、噛むと口の中で旨味が溢れ出るッ！肉厚ですごくジューシーだ！臭みがあるだなんてとんでもないッ！噛めば噛むほどおいしさが口いっぱいに広がるぞッ！！
虻村,一口食うごとに白いご飯が欲しくなる味だぜッ！！味に引き込まれるっつーか、食べ始めると止まらないっつーか……たとえると、暇つぶしに見ようとしたアニメを気付いたら全話見ちまったっつーカンジかよぉ――～～っ！
広瀬川,ボ、ボクも……
三人,ンまぁ～～いっ！！
静,……。……。……えいっ。……。うっ、うま……
億泰,あ～～ン？静ッ、今なんか言わなかったか？美味いって聞こえたよーな気がしたぜ？この億泰様はよォ～～……聞き間違いか？
静,う！うん、まあまあねって言ったのよ！美味いわけないじゃん、こんなサカナ料理なんかさーッ！
億泰,ほーお？んじゃあ～～仕方ねーな！特別におかわりも用意してたんだが……オメーはいらねーっつーことだなァ～～？男三人にはトーゼンごちそうしてやっけどよーッ
静,うぐぐっ！
広瀬川,いいんですか！やったあ～～いッ！
虻村,おやっさんの懐の深さに感動するぜェ～～ッ！くうう～～っ！クッ！クッ！生まれてきてよかった～～
静,う……うう……ぐぬう……
億泰,んじゃあ三人分のおかわりを揚げてくるぜー
静,う…………う、まい、です。……オクヤスサン
億泰,ン？ンンン？ゼンッゼン聞こえねェ～～なァ～～？おれもちょいとトシとっちまったかなァ～～？なんか言ったかよ？静ァ？
静,う……うまい！って、言ってんのよ！このダボ泰ッ！！クソッ！サカナ料理のくせに！サカナのくせに！
億泰,ガッハッハ！最初っから素直になりゃあ～～いいのによーッ！全員分おかわりごちそうしてやるぜッ！
仗助,よかったなー静ッ。食わず嫌いが治ってよォ～～
静,フンッ！今でもフツーに魚は嫌いよッ！これは、まあ……美味しいから食べてやってるだけだしッ！
億泰,そいつァーありがとよ～～ッ
虻村,しかし……こりゃあどういう事なんだァ？サバっつーのは冬に脂が乗る魚なはずなんだけどよォ～～
仗助,オメーの言ってんのはマサバの話だな。確かにマサバは冬に脂が乗る魚だ。夏のマサバなんざ食えたもんじゃあねー
委員長,！……そうか。この魚はマサバじゃあなく……
那由他,……ゴマサバ
億泰,おッ！那由他ァ～～よく答えられたなァー。そうッ！こいつァーマサバじゃあなくゴマサバっつー魚なんだよォ～～ン
静,ゴマサバ？へー、そっちの方が美味しいんだ？
委員長,いや、ゴマサバは普通マサバより安くて味の劣る魚だ。こんなに美味しくはないはずだけど……
那由他,夏は、ゴマサバのほうが美味しい
億泰,マサバは冬に脂が乗る魚だけどよォー、ゴマサバは年中通して味がほとんど変わらねー魚なんだよ。夏はマサバよりゴマサバのほうが脂が乗ってってウマイんだぜ。少し大きさは小さいけどな～～
広瀬川,それにしても……ボクが昔食べたサバは、臭くって水っぽくって味が無かったんですけど
億泰,それはたぶん、下ごしらえが悪かったんだろうなあ～～。魚っつーのは卸すと味がグングン悪くなる。身が空気に触れて酸化するんだよな。とくにサバは身が弱くって痛みやすいからよォー、卸したらスグに食わねーとダメだぜ
仗助,それと……そのサバ、もしかして血を綺麗に落とすために、水で洗ったんじゃあねーかァ？
広瀬川,？……はあ。たぶんそうですけど……洗わないと血だらけですよね？
虻村,まさかッ！？洗わねーほうがウマイっつーのかよォ～～？
委員長,そんな訳ないよ。……洗わないと、血なまぐさくって食べられたもんじゃあないはずだ
億泰,ウチはよォ～～、卸した魚はコイツで洗ってんだよなッ！
静,？……何これ？氷水？
億泰,まあ、魚屋ではチョ～～基本的な事なんだけどよッ、家庭ではあまり知られていない事っつーか……ちょっぴり舐めてみろよ
虻村,おおッ！こいつァ～～アレっすかァ～～ッ？スッゲェーうまい水なんじゃあないのォォ～～ッ？
仗助,あっバカ
静,えっ？
虻村,――オゲェェェ～～ッ！！かっ！！辛いィィィィィウエエエエェェェ――ッ！
億泰,こいつァ～～濃度3.5パーセントの塩水だよッ。だから言っただろうが、舐めてみろってよォ～～
虻村,しッ……塩水だァァ～～ッ！？
