・このSSは,静・ジョースターの奇妙な日常
仗助,……ああ、もしかして……じいちゃんの、か。……そういやまだ捨てずに置いてるモンあったな……
静,……けど……
仗助,……ああ……。物置は……恐ろしく汚い……！！
静,うん。……ホコリまみれでゴチャゴチャいろんなモン詰め込んでるしね……
康一,……
仗助,……
静,……
仗助,こいつはぁ～～グレートなことになりそうだぜ～～
静,……やれやれね
康一,……これ、ぼくも手伝わないといけない流れなのかなあ……
東方家,実家
仗助,えーと……どこにしまったんだ？キャンプグッズってよ～～
静,ペッペッ、ホコリ口に入っちゃったわ
康一,あ、炭あった。湿気てなかったらいいんだけど……
仗助,肝心のテントは何処にあるっつーんだ？見つけてもカビだらけで使えねえんじゃあねえのか？
静,何のためのクレイジー・ダイヤモンドよ。どんなに汚かろーが破れてよーが、兄さんがいれば大丈ブイッ
仗助,……なんか、良いように使われてるみてーで嫌なんだよな～～……
康一,……あれ？これ、仗助くんの学生カバンじゃあないの？
仗助,お、本当だな。そういやここに仕舞った覚えがあるぜ
静,……なんか、シミとかついてるわよ。ボロいし古臭いし。使わないならさぁ～～捨てた方がいいんじゃあないのォ？
仗助,なんかよ～～、思い入れのあるものって捨てづらいっつーか残しときたいっつーか……大したモンは入れなかったが、三年間使い続けたもんだからな～～
静,兄さん、もしかして捨てられない男ってヤツゥ？勘弁してよー……今迷惑してんの兄さんのせいって事？
仗助,ここに詰め込んであるほとんど物はじいちゃんのモンだぜー
静,で！それを残してるのは朋子さんって事か。……血筋？そーいうのって遺伝すんの？
康一,どうだろうね……
朋子,久々に顔出したと思ったら、仗助……あんたいつから掃除婦になったのよ
仗助,別に掃除婦になった覚えはねーぜ、おふくろ。ちっとは物置掃除しろよな～～
朋子,あのさ。あたしってよくトシより若く見えますねって言われる方でさ。結構自分でも若々しいかなァ～～って思う事もあるんだけど……もう五十過ぎてんのよ。そんなあたしに物置の掃除なんて、重労働させる気？あたしに死ね！って事？
仗助,そ、そんな訳じゃあ……
朋子,まったく、家出てからロクに連絡もしないで、たまに帰ってきたと思ったら掃除なんて……親孝行したいときには親はなしって言葉知ってんの？女手一つであんた育てんのは苦労したんだから、きちんと孝行しなさいよね。そろそろ孫の顔が見てみたいわよ、あたしは。ハァ～～……
仗助,ぐ、ググ……
朋子,あんた、昔っから女には結構モテてたみたいだけどさあ……今どうなの？お付き合いしてる人とか
仗助,い、いやまあ……考えてはいるけどよ
朋子,……あんたねえ、もう大人なんだからそろそろ先の事とか考えなさいよ。もうすぐしたら異性なんか寄り付かなくなっちゃうんだから。あたしがあんたの歳くらいには――……
仗助,こ、これだから家帰んのはイヤなんだよなァーッ……なんか違う話題とか無えのかよォ～～……
静,あいったァ～～ッ！の、脳ッ！脳飛び出るッ！
仗助,だ、大丈夫かよ～～静ッ？
静,上から木箱落ちてきて、頭に……カドが当たった。泣いちゃいそうだわ……グスン
康一,わっ、コブになってるよ静ちゃん
仗助,ったくよー。気をつけろよなァ～～。よし、まだ痛い所あるか？
静,ん、大丈夫……ありがと、兄さん
朋子,仗助、静ちゃんにあんまし危ない事させないでよ？静ちゃんは女の子なんだからね？……静ちゃん、掃除なんか仗助にまかせてお茶飲まない？鎌倉カスターあるわよ
静,いえ、お構いなく。元々あたしが言い始めた事なんでー
仗助,別に危ねえ事なんかさせてねえだろうよ。今のはこいつの不注意が悪いぜ～～
静,ムム、その通りだけど……なんかムカつくっての
朋子,とにかく、気をつけて掃除しなさいよ。結構適当に詰め込んでるからね。下から引っこ抜いたらガラガラ崩れるわよ。……康一くんもほどほどにしといてね。別に綺麗にしなくていいから
康一,あ、ドウモ
朋子,じゃあ、あたし家ん中いるから。一応ゴミに見えるもんでもあたしの許可取ってから捨ててね
静,はーい
康一,……仗助くんのお母さん、静ちゃんの事大切に思ってるんだね
仗助,おふくろ、娘が欲しかったってよく言ってたからなぁ～～っ
静,朋子さん、いい人なんだけど……あたしと二人っきりになったらニコニコしながら漢字教えようとするもん。善意ってわかってるけど、ちょっとねえ……
仗助,おめーの国語の成績が悪いのが原因だぜ
康一,そういえば、静ちゃんの上に落ちてきたこの木箱って何だろう？結構重いけど……
静,貸して、康一さん
康一,ん？
静,ワイルド・ハニー。……中は陶器のツボ……かしら？割れちゃってるけど……
仗助,静～～
静,んー
仗助,クレイジー・ダイヤモンド。……問題なく治したぜ
康一,……スタンドって便利だなあ……
仗助,この特徴的な表面のまだら模様は、堤焼きか？詳しく調べてみねえとわかんねーが、結構古いな……江戸末期のもんか
静,高い？ねえこれって高いの？
仗助,さあな。おれは一応考古学のセンセーだが、骨董品は専門外だぜ。まあ売ればそこそこの値段はすんじゃあねえのか？
静,よっし、バーベQは国産和牛ね。これ決定
仗助,これじいちゃんのモンだからなあ……おふくろが譲ってくれたり売ったりするとは思えねえぞ
静,……ワイルド・ハニーでツボごと全部透明にして、持って帰ろうかな……
仗助,……オメー悪くなったなあ……
静,……悪くなった……静ちゃん悪い子？おじいちゃん悲しむかな……けどおじいちゃんも承太郎さんも兄さんも昔は悪い子だったし、ジョースターとして……でもなあ……
仗助,何ぶつくさ言ってやがんだよ
康一,……あっ！これってテントなんじゃあないの？
仗助,おおっ！やったぜ康一ッ！これでなんとかキャンプは出来そうだな
静,あ、これって寝袋かな？米俵みてーだけど
仗助,探せばあるもんなんだなぁ～～っ。キャンプグッズを買わないで済みそうだぜ
康一,……けど、寝袋一つしか無いよ？
静,まだ肉焼くグリルも見つかってないしね。……もしかして無いのかな？見たと思ったんだけど……
仗助,まあまあ、とにかくこのテントと寝袋、表で広げてみようぜ。壊れてるならともかく部品が無かったりしたらどうしようもねえからな
静,ふーっ、表に持ってきたのはいいけど……
仗助,……康一、テントの組み立て方わかるか？
康一,ぼ、ぼく！？知らないよ……ぼくもこういうのほとんど経験無いし
仗助,……そうなんだよなあ……
静,あ、けどちゃーんと骨組みとかはあるみたいよ？道具も揃ってるっぽいし、古臭いけど布地も破れてないし。なんとかなるんじゃあないのォ～～？
仗助,なんとか、なあ……しかたねえ。ちょっと手探りで組み立ててみるぜ
静,兄さん、ガンバッ♪
仗助,オメーも手伝うんだよッ！静ッ！！。うーん……こうか？静、ちょっとそこ引っ張ってくれ
静,……兄さん、これ違うくない？杭をそこに打つのよ、たぶん
康一,骨組みが曲がって見えるよ～～……もっと中心に持ってこないと
仗助,……こうか？
静,……あ、兄さん。……今気づいたんだけど、まずこのシート敷くんじゃあない？
仗助,いや、それは上からかぶせるんじゃあねえのか？
康一,うーん……
億泰,……おっ？仗助～～っ
仗助,うん？……おお、億泰
億泰,実家に帰ってるなんて珍しいじゃあねえか。何してんだァ？
仗助,ちょっとな……色々とあって
康一,あれっ、億泰くん？
静,げげ、億泰
億泰,お～～う康一。静もいんのか？賑やかなこったなァー
静,……億泰が仕事もせずにサイクリングしてる……暇なの？
億泰,仕事中だッ仕事チューッ！日本料理の出前やってんだよ
仗助,出前？
億泰,お家で本格料亭の味ィ～～っ！っつってな。お年寄りとかに好評なんだぜェ～～ッ。結構儲かるし
静,うわ、億泰が考えて商売してる……オーマイガッ
億泰,どういう意味だッコラァーッ！
仗助,静、このアイデアきっと億泰の奥さんだぜ。億泰が出前なんざ考える訳ねえだろ？
静,ああ、納得だわ。さすが兄さん、わかってんのねーっ
億泰,お、おまえら……実際そうだけど、ユルセン……！
康一,お店の方はどうしてるの？
億泰,今はカミさんが回してるぜェ～～。那由他も手伝ってるがよ
静,フ～～ン、そりゃあ大盛況でしょうね……億泰が板に立つとお客さん逃げそうだもん
億泰,……仗助、オメーこいつにどういう教育してんだ？
仗助,別に何も言ってねえよ。なぁ？
静,うん。まあ……そういう事にしとこうかな
億泰,……
仗助,……静、そろそろからかうのはやめとこうぜェ～～。泣かれても困るしな
静,それはそれで見てみたいけど、確かに困るわね。了解ィィー
億泰,……で？オメーら何してたんだ？ん……こりゃあテントか？
仗助,静のやつがよー、キャンプしたいって言い出したから引っ張りだしてきたんだよ。心配だったが何とか使えそうだな～～
億泰,使うって……仗助、おめーこりゃあ一人用のテントじゃあねえか
仗助,……
康一,……
静,……えっ？
億泰,数年前に流行ったんだよな、こういう小さいテント。けどこりゃあ型もフルいしよォー、こいつでキャンプすんのは少し厳しいんじゃあねえのか～～？
仗助,まて待て待てマテ！億泰おめー……わかるのか？その……キャンプについて？
億泰,……ああん？。ああ……おれ高校卒業した後よ、包丁一つとテント担いで数年間料理の修行したからなァ～～。こういうのはお手のモンだぜ
静,じ、時代錯誤というか何というか……ホントにやるか？そーいうの、フツウ……
康一,そういや億泰くん、全国回ってたね……その旅の途中で出会ったのが今の奥さんなんだっけ？
億泰,おうっ！修行中立ち寄った日本料理の老舗の、箱入り娘さんでな～～。お義父さんも最初は許してくれなかったが、おれの料理の腕を見て――
仗助,んな事ァ今どーでもいいだろうがよォーッ！！億泰、一個聞きたい事があるッ！
億泰,？？
仗助,そのー……おめーもしかして、今も……キャンプグッズ、家にあったり……すんのか？
億泰,？……おお、あるぜ。今もっつーかよォー、いつか家族でキャンプしようと思って、大型のテントにタープにグリルと、全部買ったのよ
仗助,……そーかそーか……全部あるのか……
康一,……仗助くん？
仗助,いや何、ちょっと仗助くん、いーい事考えちまってよォ～～……。どうせなら静！もっと大勢集めてキャンプしねえか？
静,……大勢？
仗助,おめーの友達なんかも集めてよォ～～、おれらの方もダチやらなんやら集めて、杜王町のみんなでキャンプするのよ！題して！ドキッ！スタンド使いだらけの杜王町民キャンプ大会ッ！！ってなァ～～ッ！！
静,お……おおーッ！！兄さん天才！？ヤッベ！それグレートにやっばいわァーッ！！
仗助,だっろォ～～？みんなでキャンプしたら絶対盛り上がるしよォーッ！それに……。おれはなーんにもしないで、肉食ってビール飲んでテントでゴロゴロできるもんねーッ！ウププ！
康一,仗助くん、悪い顔してるよ～～……
億泰,おい仗助、それはあれか？もうおれは参加の流れなのかよ？別にいいけどよォ～～……
仗助,っつー訳で静！ちょっとお前友達に声かけてこいよ
静,うん！じゃあ行ってきまーす！
仗助,億泰はキャンプの道具準備して、康一は……あ、そういや康一、由花子の事もあるから来るのは無理か？
康一,うーん、少し難しいかなあ？ぼくもあまり由花子さんから離れたくないし
仗助,だよなあ。じゃあ他に誰か呼んで――……
億泰,じゃあ仗助、幹事は任せたぜェ～～
仗助,…………えっ？
億泰,えっ？じゃあねえだろうが。言い出しっぺはお前なんだからよォー、幹事やるのが筋ってモンだぜ
仗助,……幹事って、その……何かすることあるのかよ？
康一,そりゃあ、今どき大学生の飲み会ですら幹事がいるんだし……
億泰,人数集めたりキャンプ場手配したり金の管理したり皆の日程調整したり！色々とやる事あるだろ？
仗助,…………。……ガキの頃は良かったよな……そんな面倒な事考えず、遊んでりゃあいいんだからよ……
億泰,いきなり何言ってやがんだよ、オメーッ……じゃあまた、仕事終わりに連絡すっからよォ～～
仗助,……はあ……。結局一番メンドーな事になってない？おれ……
静,……って訳でェ～～。この度あたし達っ！キャンプへ行こうと思いまーすッ！！
那由他,きゃあーッ♪本当ですかっお姉さまッ！！
静,まあ詳しい事は億泰……那由他ちゃんのお父さんが言ってくれると思うわ。一応聞くけど、大丈夫よね？那由他ちゃん、お泊りとか苦手だったりしないわよね？
那由他,はいッ！あたし、そういうの憧れてまして……お姉さまと大自然の中キャンプなんて、楽しみです！
静,んー、可愛い事言ってくれるわねーッ。ウホホホッホッホーッ
那由他,うふふ♪
静,……で……。当然！アンタも来るわよね？……双馬
双馬,……。……食事中だ。黙ってろ静
静,アンタ、この店よく来るの？常連さん？
那由他,あ、ハイ。お兄さまはよく来てくれますよ
双馬,静かにしてくれるか？那由他ちゃん
静,え？あたしィ？
双馬,……
静,また日にちとか詳しい事は決まったら連絡するから。どーせ夏休みヒマでしょうけど、スケジュールすぐ空けられるようにしときなさいよ？
双馬,待て。……いつ僕が行くと言った？
静,？……来ないの？
双馬,……ハア～～……静、お前は致命的に頭が悪いのが欠点だな。……それ以外にも欠点は、トムとジェリーに出て来るチーズみたいにボコボコとあるが
静,にゃにぃ～～？
双馬,わかっているのか？お前？僕が東方仗助の事をどう思っているのか……
静,……
双馬,僕にとって、東方仗助はどういう存在だ？ほら、言ってみろ
静,……父親を殺された。親の仇……
双馬,そうだろうが。そんな相手と仲良くキャンプファイヤーしろっていうのか？……ありえないね
静,……双馬
双馬,何だ、まだ言いたい事があるのか？
静,……アンタ、良い奴じゃん
双馬,…………何を言っている？イカれてるのか？
静,あたしにはわかる。アンタはマジで良い奴……たぶん、お母さんの育て方が良かったんだと思う。悲しみは背負っちゃったけど、アンタは……ずっと長い間、人を憎むなんて出来ないヤツよ。お父さんに会いたいのはマジだろうけどね
双馬,やめろ。鳥肌が立つ
静,……口には出さないけど、兄さん……アンタに会いたがってたわ
双馬,……
静,その……ゴメン、なんかいつものノリで誘っちゃったけど、真面目に言うわ。……今回のキャンプで、色々なわだかまりを無くしましょう。そのために、来て欲しいのよ……
双馬,断る
静,！……双馬、アンタねえッ……！！
双馬,なんだ、やるのか？やるっていうのなら……受けて立つぞ？
静,……
双馬,……
那由他,あ、あの……ケンカはやめましょう？お姉さま、お兄さま
静,……
双馬,……
静,ワイルド――……
那由他,お、お姉さまッ！！
億泰妻,はーいッ！静ちゃんお茶！淹れてきてあげたわよォ～～ッ！これでも飲んでゆっくりしていってねェェ～～ッ！！
静,ハッ！？……あ、ハイ……どうも……
億泰妻,他に何か頼む？ご飯以外にも、和菓子とかぁ～～夏限定でかき氷とかあるけど？
静,あ、いえ……結構です。すみません……
双馬,……
那由他,……ホッナイスタイミング、ママ……
億泰妻,あ！双馬くん、ご飯無くなってるじゃあないのォ～～。今おかわり入れるわね？
双馬,あ、いえ。僕はもう……
億泰妻,もうッ！双馬くんは身体細いんだから、たっくさん食べなきゃあダメよ？おっくんみたいなたくましい男の人になれないわよぉー？キャッ♪
双馬,お……おっくん……
静,……いつもこんな感じなの？那由他ちゃんのお母さんって
那由他,パパと結婚してから毎日ハッピー♪って言ってました
静,そ、そう……なんか、圧倒されるわね……
億泰妻,じゃあ、私は奥にいるから。何かあったら呼んでね？那由他と仲良くしてあげて
静,そ、そりゃあもう！言われなくても……ね？
双馬,な、僕に振るなよ
那由他,お兄さま……あたしと仲良くするのは嫌、ですか？
双馬,別に嫌な訳では無いが……まあ、その……ハイ。仲良くします……
億泰妻,それじゃっねェ～～！ルンルンッ♪
那由他,……ふう
双馬,……
静,……
双馬,……嵐のような人だな
静,なんか、ちょっとスージーＱおばあちゃんに似てるかも
双馬,……
静,……
双馬,……オホン、とにかく……僕はキャンプに行くつもりは無い。家で本を読んでいる方がよっぽど有意義だからな。……わかったか？わかったなら、帰れ
静,……ムム……
那由他,お、お姉さま……嫌がる人を無理やり連れて行くのも、どうかと思いますよ……？
静,……そうね。わかった……諦めるわ。アンタ連れてくのは
双馬,フン……
静,アンタってどっからどう見ても、インドア派の根暗メガネだもんね～～
双馬,……何だと？
静,きっと、炭に火ィつける事すら出来なくって、釣り針に餌のミミズ付けるのにも怖がって、テントに入ってきた蛾に叫び声あげるようなヤツなんだわ……それがバレるのが怖いから、アウトドアしないのよね。うんうん
双馬,おい、静……お前何言って
静,ううん！わかってる！あたしにはぜェーんぶわかってるわ！アンタがカブトムシすら掴めないマンモーニだって事はよーくッわかってる！これはあたしの胸にそっと秘めておくから！誰にも言わないから安心して！！
双馬,……
静,……それにしても……蛾一匹で大騒ぎする双馬……想像するだけで……プッ！ククク……！
双馬,。この双葉双馬を馬鹿にするんじゃあないぞッこのダササングラス女がァ――ッ！！
静,んなッ！！……テメェー今あたしのサングラスの事何て言ったァァァ――ッ！！
双馬,いいぞッ！やってやるッ！こう見えても施設のイベントなんかで野外オリエンテーションは何度もやったんだ！僕が役に立たないオタクメガネでは無い事を証明してやるッ！！
静,よーしオッケー、じゃあキャンプ場で勝負よッ！どっちが真のアウトドアマンかっていうね！
双馬,逃げるなよ
静,そっちこそ！！
静・双馬,ふーんッ！！
那由他,……。お兄さま、良いように扱われていますよ……言った方がいいのかな？いや……やめておこ
玉美,いやあ、ちょいとその辺りは仕事が忙しくてよォー……行きたいのは山々なんだが
仗助,ま、そうだよなァ……悪ィな玉美。いきなりこんな話してよ
玉美,別にいいぜ。また何かあったら呼んでくれ。……一応言っておくけどよ
仗助,あん？
玉美,……今回キャンプに行かねえのは、マジで仕事が忙しいからであって！……別におめーの妹と顔合わせづらいとか……そういうんじゃあねえからなッ！
仗助,？……何の話だ？そりゃあ？
玉美,……何も聞いてねえなら、それでいいんだよ。……それじゃあな
仗助,ハァー……ガクセーは夏休みだっつうのに、結構みんな仕事仕事で予定合わねえみてえだな……裕也は来るけど
康一,仕方ないよ、仗助くん。ぼく達ももう大人なんだし
仗助,なんか、悲しいもんだよな～～。高校生の頃が懐かしいぜ……えーっと、あと声をかけてねえのは、早人とトニオさんと……
康一,……仗助くん、あのさ……
仗助,うん？
康一,……仗助くんの事だから、わざとかもしれないけど……声をかけてない人、いるよね？
仗助,えっ？……お、おれ誰か忘れてるっけ？
康一,いや、あのさ……
露伴,キャンプ？ぼくが？フン！……下らないね。漫画家っていう職業は君が思っているほど暇じゃあないんだよ
仗助,そ、そうっすよねェ～～ッ！あは、アハハ……。……おい康一、だからおれは嫌だったんだよーッ……なんでわざわざ露伴を誘って、怒られなきゃあならねーんだッ
康一,でも露伴先生の事だから、声かけなかったらスネちゃうよ。きっと
仗助,そうかもしれねえがよォ～～……内緒にしとくとかで良かったんじゃあねえのか？
露伴,……堂々と目の前でヒソヒソ話なんてするもんじゃあないぜ。仗助くん……君はぼくをイラつかせに来たのかい？
仗助,ぜッ！全然そんな事ないっすよォ～～もうッ！
康一,すみません露伴先生。こんな話しちゃって……やっぱり忙しいですよね、仕事
露伴,いいよ康一くん。ピンクダークの少年のアニメが、少し前から始まったんだけどね。そのせいで新規のファンが増えて仕事も忙しいんだ。全く……ガキくさいアニメを見てハマった薄っぺらな奴らに、ぼくの漫画の素晴らしさが理解出来るとは思えないんだが
