エリートトレーナー男,来週の日曜どこ行く？
メルヘン,はい、お願いします。それでは……。ふぇぇ……
アスナ,！！！！。くっ……強い！
メルヘン,ふぇぇ……おねえさんのぽけもんはあといったいだけになちゃったんだよぉ
アスナ,まさか一体だけでここまで追い込まれるなんてね……
メルヘン,もうやめようよぉ……しょうぶはついたよぉ
アスナ,まだ……まだだよ！
メルヘン,ふぇぇ？
アスナ,まだ私は勝負を諦めないよ！。手持ちに闘えるポケモンがいる限り。私は戦い続ける！
メルヘン,お姉ちゃん……
アスナ,そうｗｗｗ諦めるなんてありえないｗｗｗ
メルヘン,！？
アスナ,あ、出ちゃった。ごめん、さっきのは忘れて
メルヘン,ふぇぇ……
アスナ,お疲れさま、コータス。ボールにお戻り
コータス,コー……
メルヘン,うふふ、私の勝ちですね
アスナ,うん、負けたよ。はい、バッジ。楽しいポケモンバトルをありがとう
メルヘン,こちらこそ楽しかったです。ありがとうございました。ところで……
アスナ,ん？
メルヘン,お姉ちゃん、異教徒さんだったんですね
アスナ,い、異教徒？
メルヘン,はい。そして、何か悩み事も抱えられているご様子……
アスナ,い、いや……
メルヘン,大丈夫……痛くしませんから……
アスナ,や、やめて！
メルヘン,おねえちゃんはわたしがみちびいてあげるよぉ
アスナ,いやーーーーー！
ボーイ,なあ、アスナさんって何か悩みでもあるのかな？
ガール,どうして？
ボーイ,だって最近様子おかしいじゃん
ガール,そうだね……
エリ男,急に大食いになったと思えば、変な喋り方と気味の悪い笑みを浮かべ始めたからな
エリ女,アスナさんはジムリーダーに就任したてだからね。何か悩み事を抱えていてもおかしくないわ
ボーイ,心配だな……
ガール,そうだね……
ボーイ,あ、そういえばさっきの挑戦者すごく強くありませんでした？
エリ男,あー、すげー強かった。俺、手も足も出せなかったし
エリ女,私もよ。あんな強い子初めて見たわ
ガール,でもあの子、戦ってる時変な喋り方でしたよね
ボーイ,なんて言うか、鼻につくって感じ？
エリ女,そうね、そんな感じね
ガール,アスナさんは勝てましたかね？
エリ女,そういえばあの子がアスナさんのところに行ってから結構経つわね
ボーイ,俺ちょっと見てきますよ
エリ男,待った、来たぞ
メルヘン,うふふ、皆さんお手合わせありがとうございました
エリ男,お、おう
エリ,アスナさんとの戦いはどうだった？
メルヘン,うふふ、この通り
ガール,あ、バッジ
ボーイ,アスナさんに勝ったか……
メルヘン,うふふ、素敵なお姉さまでしたわ
エリ女,えっ？
メルヘン,何でもありません。それではごきげんよう
ガール,行っちゃった
ボーイ,ちょっと変わった子だったな
エリ女,ねえ、今からアスナさんのところに行かない？
エリ男,ん？どうしてだ？
エリ女,アスナさん今回が初めてでしょ、まともに戦って負けたのって
エリ男,まあ、前回の負けはアスナさんの反則負けだしな……
ガール,アスナさん、もしかしたら落ち込んでるかもしれませんね
エリ男,そうだな、さっそくみんなで行ってみるか
エリ女,ええ、もしかしたら悩みを話してくれるかも
ボーイ,失礼しまーす
ガール,大丈夫ですか、アスナさん？
エリ女,すごく強い挑戦者でしたね
エリ男,いやー、俺なんか手も足も出せませんでしたよー
アスナ,ふぇぇ……。あのこすごくつよかったよぉ。でもあのこからはんようりろんっていうのをおそわったんだよぉ。おかげでわたしはもっとつよくなれそうだよぉ。あとでみんなにもおしえてあげるよぉ
ガール,あ、ありがとうございます……
エリ女,あの、アスナさん……何か悩み事なんか――
アスナ,ふぇぇ……どあがひらくおとがしたよぉ。ちょうせんしゃかもしれないよぉ……
エリ男,そ、そうですね。じゃあ俺たちは持ち場に戻りますね
エリ女,ちょっと、男君！？
エリ男,今は引こう。それに、挑戦者なら戦わないわけにはいかないだろ
エリ女,……そうね、一旦下がりましょうか
アスナ,ふぇぇ……みんながんばるんだよぉ
理科系の男,すみませーん
アスナ,ふぇぇ……ちょうせんしゃのかたですかぁ？
理科系,……
アスナ,あのぉ
理科系,あざとい……
アスナ,ふぇ？
理科系,あざといと言ったのだ！なんだその喋り方は！
アスナ,あ、あの
理科系,その喋り方なあ、可憐な幼女が喋ってこそなんだよ！。お前のような年増が喋ってもなあ、萌えねえんだよ！
アスナ,と、年増……
理科系,だいたいお前は……。まったく、最近のやつは安易に萌えに走りすぎなんだ！。やれメガネをかけてみただの、独特な語尾をつけてみただのと……。ああ、、嘆かわしい！お前も自分に合った萌えというものをだな……
アスナ,……
エリ女,ねえ、そろそろアスナさんの助けに入った方がいいんじゃない？
ボーイ,そうですね
ガール,アスナさん、あんなに疲れた顔してますし……
エリ男,まあ、待て
エリ女,ちょっと、どうして止めるのよ
ガール,そうですよ、早くアスナさん助けてあげた方がいいと思います
エリ男,まあ落ち着け
ボーイ,何か考えがあるんですか？
エリ男,ああ、もちろんだ。あの男ならアスナさんの目を覚まさせてくれるかもしれない
エリ女,目を覚まさせるって……
エリ男,さっきのアスナさん、明らかに変だったろ
エリ女,ええ、まあ……
エリ男,きっとあの子に何かされたんだろうが、あの男がアスナさんを正気に戻してくれる。と、思う
エリ女,思うって……
エリ男,とにかくしばらく見守るぞ
エリ女,ねえ、もうジム閉める時間なんだけど……
エリ男,よし、帰るか
ガール,ええっ！？アスナさん置いてっちゃうんですか！？
ボーイ,それはまずいんじゃないですか？
エリ男,まあ、待て
エリ女,またこの展開……本当に考えがあるの？
エリ男,考えがあるっていうか、あの男がアスナさんを正気に戻さないと困るんだよ。お前らアスナさんがあのままだったらどうする？
ボーイ,……嫌ですね
エリ男,だろぉ。それに下手したら俺たちもアスナさんみたいになってしまう恐れがある
ガール,えっ、どうしてですか？
エリ男,アスナさん俺たちにこう言ったろ。あとでみんなにもおしえてあげるんだよぉ。って
ボーイ,た、確かに言ってました！
エリ男,つまり、アスナさんが正気に戻らないと俺たちも危ないってことだ。それに、俺は遅くなる前に相棒を家まで送り届けなきゃいけない使命があるんでな
エリ女,も、もう///
ボーイ,ガ、ガールちゃんは俺が送るからね///
ガール,う、うん///
理科系,わかったか？もう二度とそんな喋り方するんじゃないぞ
アスナ,はい……すいませんでした……
理科系,おっと、もうこんな時間か。それじゃあ、僕は帰るから。まったく、余計な時間がかかってしまった……
アスナ,行った……。あー……疲れた……。あいつ何時間喋るんだよぉ……それに私が年増ってどういうことよ！。ねえ、みんな！。あれ？。みんないない……。って、もうこんな時間！？。そりゃみんないないわけだよ……。はぁ……私も帰ろ……。ふあー、生き返るー……。誰もいないから貸切状態だぜー
メルヘン,お疲れ様です、お姉ちゃん
アスナ,うわあ！居たの！？
メルヘン,はいです。あのー、お姉ちゃんの隣に行っていいですか？
アスナ,う、うん、いいよ……
メルヘン,ふふふ、やった！
アスナ,怖い……。はぁ……
メルヘン,どうしたんですか？ため息なんてついて
アスナ,ああ、うん。実は今日こんなことがあってね
メルヘン,なるほど、マルマルウマウマです。許せませんね、その男。お姉さまにそのような口をきくなんて
アスナ,お姉さま？
メルヘン,きゃっ！言っちゃった！恥ずかしい！
アスナ,やっぱりこの子怖い……。……
メルヘン,今度はどうしました？
アスナ,うん……やっぱりキャラ作るのやめようかなって思って
メルヘン,えっ？どうしてです？
アスナ,えーっとさ、ジムリーダーってキャラ立ってる人多いじゃん？。大和撫子のエリカさんとか、女優になったナツメさんとか
メルヘン,あー
アスナ,だから私も何かキャラ作らなきゃいけないと思ったんだ
メルヘン,なるほど、そういうことだったんですか
アスナ,うん、でもやめるよ。何かを演じられるほど私は器用じゃないし、それに……
メルヘン,それに？
アスナ,勝負を純粋に楽しめない。私、ポケモンバトルが好き。相手がどんなポケモンを出してくるか、どんな技を使ってくるかとか。考えるだけでわくわくしちゃうんだ。バトルのときは熱中しすぎて、肩に力が入りすぎちゃう有様だよ。そんな私だから、何かを演じるなんて向いてないし、勝負に不純なものも持ち込みたくない。無個性でつまらないやつだって思われても。私は、私のままでいようと思う
メルヘン,……
アスナ,あ、ごめんね、私だけぺらぺら喋っちゃって。つまらなかったでしょ
メルヘン,いいえ、とてもおもしろいお話しでした。お姉さま
アスナ,ん？
メルヘン,お姉さまは無個性でつまらない人なんかではありませんよ。お姉さまのような情熱的な方は見たことがありません
アスナ,そ、そうかな///
メルヘン,ええ、それこそ、こちらが火傷しそうなほどの情熱です。お姉さまは自信を持って、ご自身の道をお歩みください
アスナ,……
メルヘン,お姉さま？
アスナ,あ、ああ、うん、ありがとう
メルヘン,もしかしてのぼせてしまいましたか？顔がお赤いですよ？
アスナ,あ、いや……私のことをそんな風に思ってくれる人がいるんだなーて思ったらさ。なんか、ジーンとしちゃって……
メルヘン,お姉さま……
アスナ,……
メルヘン,……
アスナ,……
メルヘン,結婚……しましょうか？///
アスナ,しない
