幼女,ねぇ、お姉ちゃん
母,知らない
幼,……っご、ごめんなさい……。それじゃ、おやすみなさい。………
母,……ごめんね…グスッ…
娘,うぅ……慣れない事はするものじゃないですねぇ、眠いですよってあれ？
幼,あっ！おねえちゃん、こんにちわー！！
娘,こんにちは、どうしましたか
幼,ここでねてるときもちよくって、つい…てへへっ
娘,なるほど、確かに良い場所かもしれないですね
幼,それよりもっ！きょうはおねえちゃんのまってるひとくるかなっ！？
娘,それはわかりかねますよ
幼,えぇ～？なんか、今日は来るっ！みたいに思ったりしないのぉ？
娘,そんな能力があったらいいですね
幼,なんかつまんないのっ！
娘,ふふっ、面白いものではありませんからね
幼,そのときっ！いじめっこにボクのひっさつキックがさくれつした！！
娘,おぉー
幼,それでドロドロしたさんかくかんけいはおわりをつげたのだっ！
娘,子供が何言ってるんですか
幼,えぇ～、本当のことを言ってるんだよ～？
娘,本当と思いたくない内容ですねぇ
幼,ということもあったんだよっ！
娘,ふむふむ、おっと忘れるところでした、お茶飲みますか
幼,のむ！
娘,今ならもれなくクッキーもついてきますが
幼,たべる！！
娘,はいはい
幼,サクサク甘いよ～
娘,お味の方はどうですか
幼,んぐっ、んぐっ
娘,それはよかったです
幼,………っっっっ！！！
娘,はい、お茶ですよ
幼,ンクッ……ンクッ……っぷはぁ！！
娘,まったく、ふふっ♪
幼,ごちそうさまでしたっ！！
娘,はい、お粗末さまでした
幼,……ほんとはもっとたべたいけど…
娘,ハリ千本飲みます？
幼,ううんっ！いらないよ！！
娘,まったく、っともう日が落ちますね
幼,……うん、そうだねっ！
娘,はい、それでは行きましょうか
幼,……？どこに？
娘,私の家にですよ
幼,え？えぇ！？
娘,あれ？貴女の御母様にお話ししたはずなのですが……
幼,聞いてないよっ！
娘,そうですか……それじゃ行きましょうか
幼,えぇ！？
娘,どうしましたか？
幼,でも、だって、勝手に着いて行っちゃ……
娘,大丈夫です、それなら私が無理矢理連れて行きますから
幼,……え、ええ！？えええぇぇ！！？
娘,こちらが私の家ですよ
幼,………
娘,無返事は無礼ですよ
幼,あ、はい……じゃなくて！！
娘,ん、なんですか？
幼,ごういんだよ！
娘,そうですね、ところで……
幼,え？な、なに？もしかして……
娘,はい、そうです
幼,そんなぁ……ボク…さらわれちゃったの…？
娘,晩御飯の手伝いをしてもらいたいと思います
幼,ボクをさらっても……え？ばんごはん？
娘,そうです、どう致しましたか
幼,……なんでもないよっ！
娘,そうですか、ふふっ。さて、出来ましたね
幼,うわぁ……おいしそう…っ！！
娘,幼女ちゃんにも手伝ってもらいましたから、上手く出来ましたよ
幼,……じゅるっ…
娘,と、さっさと食べないと冷めてしまいますね
幼,うんっ！
娘,はい、いただきます
幼,いただきまーすっ！！
娘,……やっぱり賑やかだといいですね
幼,はぐっ…もぐもぐっ……？
娘,なんでもないですよ
幼,ごちそうさまでしたっ！
娘,はい、お粗末さまでした
幼,うんっ！おそまつさまでしたっ！
娘,はい、ご馳走様でした
幼,ひさしぶりにたべたよぉ
娘,ふふっ、そんなに美味しかったんですか
幼,うんっ！すっごくおいしかった！！
娘,そういってもらえると、頑張ったかいがありましたよ
幼,おなかいっぱいだよぉ～
娘,それは、あんなに食べればそうでしょうね、ふふっ
幼,ボクはせいちょうきだからいいんだもんっ！
娘,そうですか、ふふっ
幼,むねだっておねえちゃんとちがっていまから。……おねえちゃんといっしょでせいちょうきだからおっきくなるもん！！
娘,フォローになってませんが、そうですか、ふふふっ……
幼,なっ！はたけしごとにこんならくのしかたがあったの！？
娘,様は、やることの順番と本質の捉え方ですね
幼,な、なら！これはどう！！
娘,残念ですが、2年程前に通った道です！。っと、もう遅いですね
幼,そうだね
娘,でしたら、寝ましょうか
幼,うんっ！
娘,部屋は、其方を使ってください
幼,おやすみなさ～い！
娘,はい、おやすみなさい。寝ましたか？
幼,………
娘,寝てませんよね
幼,……っ…
娘,声をだして、泣いても良いんですよ
幼,っ！…っく……ひっく…！
娘,辛いんですよね、まったく……
幼,うあっ、うああっ！あうっ、ひっく…！
娘,よしよし……
幼,くー……くー……
娘,くすっ、可愛い寝顔ですね
幼,……くー…
娘,すっきりして、ぐっすり眠れていると。…さて、お客さんですね……おやすみなさい。どうもこんばんは、クソ爺。相変わらずですね、吐き気がしますよ
長老,………
娘,どうせ、あの娘の親を内通者にするのでしょう
長老,………
娘,知ってますか？あの娘、友達も居なくなったんですよ
長老,………
娘,母親だって、子供を構ってやれないほど弱ってますし
長老,………
娘,何か喋れ
長老,……仕方ないだろう
娘,なにがですか？
長老,人は、理由がないものを怖がるそれが不利益を被るものならなおさら……
娘,だから、村人を犠牲にしてでも理由をつけると
長老,何度も、理由も無く攻められる村に安心して住めると思うか？
娘,そうですか
長老,家庭一つで済むなら……仕方の無いことなんだ…
娘,黙れ
長老,………
娘,クソ爺、話がありますそのために呼びました。おはよう御座います、起きてください
幼,……ん、なに…？
娘,事情が変わりました、帰ってください
幼,…ん……え？
娘,はい、着替えて着替えて
幼,え？……え？
娘,荷物は大丈夫ですか？
幼,え？う、うん
娘,それでは……あ、あと…
幼,？
娘,私に二度と話しかけないで下さい、では。……ふぅ、これでよし
幼,おねえちゃん、ボクまだそとにでてないよ？
娘,……出てください
幼,おねえちゃん、どうしたんだろう……。いきなりおウチにかえれ、なんて…。って、ついちゃった……どうしよう…。ただい……ま…
父,…おかえりっ
幼,……パパ…？
父,うん、ただいま
幼,っ！パパァ！！おかえりなさいっ！！！
娘,今日は晴れましたねぇ、遠くまで見えそうですよ。しかしこのままでは暑いのですが、暑さ対策の麦わら帽子で解決です。ただ、何故か頭しか守れていないような気がするのですが何故でしょうか
幼,おねえちゃん、それおふろのおけだよ……
娘,………知っていました…
幼,おねえちゃん、おはよぉ
娘,私に何の用ですか
幼,なにもないよ？
娘,私に喋りかけるなと言ったでしょう
幼,そうだったっけ？
娘,いいから子供は子供と遊んできなさい
幼,やだもんっ
娘,嫌？
幼,おねえちゃんといっしょのほうがいいもんっ
娘,……少し嬉しいじゃないですか、まったく…
幼,なに？
娘,なんでもないです。しかし、よく私と一緒に居られますね
幼,なんで？
娘,私は、貴方の家族を騙した悪女かもしれないのですよ？
幼,うん
娘,私が罪をなすりつけたせいで、貴方の父が捕まったのですよ
幼,うん、おかあさんもそういってた
娘,だったらさっさと消えて…
幼,でも、わたしはおねえちゃんだいすきだもんっ
娘,…意味が解りません
幼,おねえちゃんは、そんなことするひとじゃないっておもうもん
娘,……貴方がどう思うも何も、本人が認めて
幼,おねえちゃんっ！きょうのおやつはなに？
娘,……甘いお餅ですよ
幼,はむはむっ……
娘,まったく……私と一緒だと友達居なくなっちゃいますよ
幼,んむっだったら、おねえちゃんと一緒の方がいいもんっはむはむっ
娘,それは良くないですよ、仲良き事は素晴らしきかな、です
幼,おねえちゃんとおともだちになっただけでいなくなっちゃうともだちなんていらないもん
娘,だけでって……私は一応、村を売った悪女かもしれないんですから…
幼,だって、おねえちゃんはわるいひとじゃないもん
娘,……もういいですよ、平行線を辿るだけですし。まったく……まぁ元気そうでよかったですよ
幼,うんっ！ボクはげんきだよ！！
娘,まった……く………？
幼,ん、どうしたの？おねえちゃん
娘,…………
幼,あ、たびびとさんみたいだね
娘,……すぅー、はぁー……すぅー、はぁー…
幼,……？
娘,こんにちは、ここは、農民の村です
幼,むらですっ
娘,そうですか、旅の疲れを癒す宿屋ならあちらに、道具屋は向こうです
幼,？
娘,ここの宿では新鮮な野菜を使った料理を振舞います。そうですか、でしたら良い方法がありますが、条件が厳しいですよ？。とりあえず一発殴らせてください
幼,……っ！！…
娘,このくらいで泣き言言わないで下さい。他には農業の手伝い、道具の手入れ、物品の購入……。……あと、とりあえず私の頭を撫でてください。誰が抱きしめろ何て言いましたか。……許してあげますよ、まったく…。お帰りなさい、ヨウヘイさん
男,ただいま
幼,……ぉぉぉ…！！
男,……ところでこの娘は
娘,私の友達さんですよ
男,そうか
幼,ねぇ、おにいちゃんって、こいびとさん？
娘,なにいってやがりますか
男,だったらいいと思ってる
娘,……にゃににぃってやがりますか///
幼,おねえちゃん、なんでかおをかくしてるの？
娘,五月蝿いです知らないです気にしないで下さいっ！。ただいまじゃありませんよ、ここは貴女の家じゃないんですから
男,あぁ、竹刀か。十本程、用意したがこれでいいか？。どういたしまして
娘,何言ってやがりますか
