・蛭谷さん,遊戯王
P,その時、俺に電流走る。鍋くらい自分で食べれる、だとか。そもそもあーんする意味が分からないとか。可愛いな、とか。前かがみになってて胸部が強調されてるとか。指綺麗だなとか。恋鐘も恥ずかしがってるじゃないかとか。色々言いたいことがあるわけだが、何より……！。あーんって結構無理ある姿勢なんだな！。鍋の上で恋鐘がそれをやるとドジ発動がとても怖い！！。……ここまで思考時間は一秒未満。ん……もぐもぐ……
恋鐘,あ……
咲耶,おお……
P,うん。美味しかったぞ恋鐘。ありがとうな
恋鐘,え？えっと、その……。……あ、当たり前たい！料理に関して、うちの右に出るもんはおらんからね！
咲耶,うん、本当にさすがだよ。プロデューサー
P,咲耶さん、こっち見て言わないでください。恥ずかしからずに即対応してて凄いみたいな。でも仕方なかった！不可抗力だった！あの状況を速やかに解消する為の最善だった！。アイドルに怪我させないのも仕事だからな！本当は恥ずかしいに決まってるだろ！
凛世,あの……プロデューサーさま。今のが、あのあーんという物なのでしょうか？。仲睦まじい男女が行うとする、あの素晴らしき……
P,凛世の追い討ち……！
恋鐘,えへへ～♪
P,その、そうだな。そういう物の、可能性も、無くはない、のかもな
凛世,さようですか。では……。プロデューサーさま、凛世もあーんをしてみたく思います
P,凛世も……！？
凛世,それで、差し出がましいとは分かってはいるのですが……。凛世には、して頂きたいのです
P,俺が、凛世にか？
凛世,はい。殿方が意中の少女へと……文献には、そうありましたので
P,智代子の少女漫画か。シチュエーションを大事にするもんな、ああいうのって。しかし、あーんか。２回目だろうと恥ずかしさは勿論ある。あるはあるが……
恋鐘,ふっふふふ～ん♪
P,プロデューサーたる者、担当アイドルを不公平に扱うわけにはいかん！。恥じらいなど時には邪魔なだけだ！よし！。魚の切り身でいいか、凛世？
凛世,……ごくり
P,どうだ？
凛世,はい。より一層、美味しく感じられました。プロデューサーさまの、お陰でございます
P,味は変わらないと思うが。まぁ、喜んでるみたいだし良いかな。それじゃあ……。よし、最後は咲耶だな。具は何がいい？
咲耶,え、私もかい？
P,目を見開くほど驚くことか？恋鐘と凛世はしたし、咲耶もと思ったんだが……あ。単純に嫌だったか？そりゃ、抵抗ある行為だよな。すまん、考えなしの発言だった
咲耶,あ、いや……別に嫌とかでは無いよ。ただ驚いちゃっただけさ。その、そういう風に扱われる事って、あまり無かったから
P,つまり……あーんする方に慣れてるって事か？
咲耶,そういうわけでは、無いんだけど……。うん。でも、アナタがそういう人だっていうのは失念してたよ。よく知っていたはず何だけどね
P,？
咲耶,気にしないで、こっちの話さ。それより……白菜をもらおうかな
P,よしきた。はい、あーん……
咲耶,あーん……。……ふふ♪
P,それにしても、この魚……物凄く美味いな。味がしっかりしてるのに、クセが無い。でも、あまり見たことない魚だな。この引き締まった白身と言い……
恋鐘,うん、確かにこっちだとあんまし出回っとらんかも
咲耶,けっこうな高級魚だしね
P,え、高級？それ大丈夫なのか、財布のほうは
凛世,用意されたのは、恋鐘さんですが……
恋鐘,それは心配いらんよ。うち、漁港のおっちゃん達とは、大の仲良しやけん。傷つきで売り物にならんのを、格安で譲ってもらったばい。もちろん、味や品質はなーんも問題なかけん。安心したってね
P,ほう、それは凄いな
恋鐘,漁港はうちにとってはホームみたいなもんたい。こっちの漁港も、ばり良かとこよ
P,恋鐘の実家の定食屋は、確か漁港にあるんだったか。……実家、か
凛世,恋鐘さんは、よく漁港に足を運んでますよね？
恋鐘,オフの日の、リフレッシュの一つたい
凛世,私も、一度同伴させて頂きました。とても、楽しかったです
恋鐘,そうやろ？そうやろ～？
咲耶,へぇ、いつの間に。私も、そのうち連れて行ってもらおうかな
恋鐘,大歓迎たい！良かとこたくさん紹介したるよ。あ！プロデューサーも一緒に来んね？
P,俺もか？それは、うーん……
恋鐘,何かあると？プロデューサーの普段のオフって……
P,……。オフ、オフって何だ
恋鐘,……あ
咲耶,やっぱり休日も仕事三昧なんだね
P,ま、まぁ、休日の過ごし方はさて置いておくとしてだな！。結局、なんて魚なんだ？この高級魚
三人,……！
P,どうしたんだ、三人とも。顔を見合わせて……
恋鐘,……。えっと……それはアラたい
P,へぇー、アラか。名前は聞いたことあるな
咲耶,いやクエだよ。この魚は
P,へ？
凛世,プロデューサーさま、カナでございます
P,はい？。アラ、クエ、カナ……？。三者三様だが、本当はどれが正解なんだ
咲耶,ふふふ、プロデューサーはどれだと思う？
P,……からかってるんだよな？
咲耶,どうだろうね
P,口調とか雰囲気から言ってイタズラとかの類……だよな？。それなら、適当にどれかを答えればいいか
恋鐘,じゃーん！これが今回のメインディッシュたい！
咲耶,また凄いのを仕入れてきたね、恋鐘。それはクエじゃないか
恋鐘,クエ？ううん、これはアラたい。クエってこう……もっと黒っぽい魚じゃなか？
咲耶,え、そうだったかな。確かにその魚をクエと呼んでいたと思うけど
凛世,地域によって呼び名が変わるのではないでしょうか？出世魚……とは少し違いますが。私の家では、カナと呼ばれていたと思います
咲耶,なるほど、その通りかもしれないね。ちょっと調べてみるよ。どれどれ……。ああ、凛世の言う通りみたいだ。関東圏ではマハタって呼び方が主流らしい。私の地元では、ハタ科の魚をまとめてクエと呼んでいるみたいだ
恋鐘,うちにも見せるばい！おお、こっちではアラって別の魚なんね……
凛世,山陰の方では、カナと呼ぶみたいですね
恋鐘,勉強になるばい。方言ってどこに隠れてるから分からんもんたい
凛世,なおす、とかですね
恋鐘,ああー、通じんかった時は、ばり焦ったたい
咲耶,しかし、プロデューサーはこの魚を見て何て呼ぶのかな？
恋鐘,プロデューサーが？ううん……確かに分からんねぇ。どこ出身かも知らんし
咲耶,考えてみると、プロデューサーのことは知らないことばっかりだ。プロデューサーは、私達のことをよく知ってくれてるのにね
恋鐘,うちらの方は、プロフィールを公開しとるもんね。そ、それこそあの数値まで知られとるばい……。そうたい！プロデューサーもプロフィールを公開するたい！
凛世,プロデューサーさまの、プロフィールですか。……拝見したく、思います
咲耶,うん、是非とも出して欲しい。事務所の中の人しか得しないだろうけど
恋鐘,そうすると……この魚の呼び方で、出身くらいは分かると嬉しかね
咲耶,そうだね。それに、言葉はその人を表すとも言う。自分と同じ呼び方をしてくれたら……
恋鐘,してくれたら？
咲耶,通じ合ってるみたいで、嬉しいじゃないか
凛世&恋鐘,……！！
三人,じーっ
P,いや、この期待を込めた眼差し。ちゃんと答えた方がいい気がするぞ……。そうすると三択だ。選択肢は、アラだよなクエだろうカナだといいなの３つ。そのまんま朝の会話じゃねーか！。くっ、どれがパーフェクトコミュニケーションだ……？
恋鐘,プロデューサー、間違いなくアラたい
P,これは……パーフェクトコミュ１つに、ノマールコミュ２つ
咲耶,クエだよ。私を信じて欲しいな
P,これは……パーフェクトコミュ１つに、ノマールコミュ２つ
凛世,カナでございます。凛世は、プロデューサーさまを……
P,これは……パーフェクトコミュ１つに、ノマールコミュ２つ。ダメだ！どれを選んでも結果に大差が無さそう！。どうする？どれがプロデューサーとして正しい？。下手に誤魔化すのは、かつて存在したと聞くバッドコミュニケーション真っしぐらで間違いない……！。ぉぉぉぉぉぉぉぉ！！
三人,えっと、マハタたいだよ・です
P,へ？
三人,あ……
P,マハタ……が呼び名の正解なのか？そうすると、さっきの名前達は一体……
咲耶,全部正解だよ。あの３つは、私達それぞれの出身地での呼び方。マハタはこっちでの呼び方なんだ。全部正解だから、あんなイタズラみたいな意地悪な問いを出していたわけだけど……
恋鐘,ばり真剣に悩んでくれてたけん、何だか悪いことしてるみたいに思えてきたんよ
凛世,なので早急に種明かしを、と思いまして。三人同時なのは、驚きましたが……
P,なるほどな。地域ごとで呼び方が変わる魚か。ははは、面白いな。それに勉強になった
恋鐘,怒らんと？
P,このくらいで怒るわけないよ。じゃれ合いみたいなものだろ。それに、アイドルからのイタズラなんて日常茶飯事だしな。まぁ、選ばずに済んだという安心感が一番だけど……これは言わない方がいいな、うん。……さて、食べるか。ふぅ、御馳走様
恋鐘,はい、お粗末様たい。食器は置いとってよかよ
P,いや、流しに運ぶくらいはするよ。さすがに悪い
恋鐘,よかよか、プロデューサーは主賓やもん。片付け当番のうちにぜーんぶ任せるたい
P,いや、しかしだな……
凛世,食器、お下げしますね
P,淀みない手つきで、食器が掻っ攫われてしまったぞ
凛世,ふふふ、食器洗い当番ですので。それではごゆるりと、プロデューサーさま
P,凛世と恋鐘で連れ立って、キッチンの方に消えてしまった。うーん、相変わらず所作が優雅だ
咲耶,それで、私が食卓の掃除当番さ。ついでに、プロデューサーの接待役をさせてもらうよ。こっちに残ったのが、私だけだしね
P,接待役って……精々、話し相手くらいにしといてくれ。咲耶だし、分かって言っているんだろうけどな。女子寮の三人による鍋パって、何回かしてるんだよな？。手慣れてる風だったし、さっきは当番だって言ってたし
咲耶,そうだね。三人のオフが重なっ時に開催してるかな。やる場所とか当番は持ち回りで。今回は恋鐘の家だよ。だから今回の片付けの当番も彼女さ
P,あれ？恋鐘は魚の仕入れとか、調理とかもやってたんじゃないか？。……いや、恋鐘のことだからな。何となく想像ついたよ
咲耶,プロデューサーが来るって事だからね。張り切って色々やってくれてたよ
P,恋鐘らしいな
咲耶,凛世も、プロデューサーが来ると聞いて頑張ってたよ。この部屋を見て欲しいんだ。埃の一つも無いよね？
P,まぁ、恋鐘の部屋にしては綺麗すぎると思ってた
咲耶,ふふ、それは恋鐘には言わないでおくよ
P,助かる。その、何というか……三人は上手くやれてるんだな
咲耶,恋鐘と凛世、あの良い人たち二人だからね。上手く行かないはずがないさ
P,咲耶だって、良い人具合なら負けてないだろ
咲耶,そうかな？
P,そうだよ。だって、最初の鍋パを企画したのは咲耶だろ？
咲耶,どうしてそう思うんだい？そういう話は、まだしていなかったと思うんだけど
P,ちょっとした推測だよ。一番の理由は他にあるけど……とっかかりは一人暮らし歴かな。凛世が一人暮らしを始めたのは、283プロに入ってからだ。恋鐘は283プロに入る前、色んな事務所のオーディションを受けて回っていた時期があったが……。そこまで長い期間では無かっただろう。よって一人暮らし歴は、凛世より少し長いくらいだ。つまり二人とも、一人暮らしの経験が十分とは言えなかった。その点だと咲耶は……
咲耶,私は進学のために上京して、しばらくモデルをやっていたからね。プロデューサーの言っていた通り、一人暮らし期間は二人よりは長いかな
P,そんな三人が、ほぼ同時期に同じ寮に入居した。一人暮らし慣れしてる咲耶は一番余裕がある。それなら、親睦のために食事会を企画してもおかしくは無いと思った
咲耶,……そうだね。最初に鍋パを発案したのは私だよ。さすがプロデューサー、中々の名探偵ぶりじゃないか
P,まだ理由づけは半分だよ。一人暮らし歴なんて、決め手になる物じゃない。咲耶の行動が不自然でないための、一つの要素に過ぎない。それが、鍋パを実行させた強い理由にはなりえない。だから一番の理由は……。咲耶が、優しいからだ。咲耶は優しい。優しいから、いつも周りに人の輪ができる。ともすれば人によっては、その優しさが格好良さに見えてしまうのかも知れない。俺も最初はそういう一人だったしな。まぁ、実際格好良くみえるし、格好良いのは間違いないんだけど……。それでも、先に在るのは優しさだと思うんだ。人を喜ばせようとするのも、その為に自分を磨くのも
咲耶,アナタは……人のことを褒め過ぎだよ
P,そんなことない。事実だからな。優しいから、寄り添おうとする。だから一人暮らし歴が短い二人を見て、まず繋がりを持とうとした。それが咲耶らしい。発案者が咲耶だと思った、一番の理由がそれだ。だから……。だから……ふぁあ……
咲耶,……あ。ふふふ、大欠伸だね。眠くなってきたのかい？
P,そう……みたいだ。腹の皮が突っ張れば、って奴か。実はさっきから眠くてな。こう、思ったことがポンポンと口から……
咲耶,そう、か。それなら、少し眠っていくかい？時間が来たら起こすよ
P,なら……そうしようかな。一時間くらい寝かせてくれ。そしたら起きて帰るよ。さすがに泊まっていくわけにはいかんからな……
咲耶,了解したよ。それじゃあ短い時間だけど良い夢を、プロデューサー
P,おーう……zzz……
咲耶,……
恋鐘,プロデューサー、残り物をタッパーに包んだんやけど……うん？
凛世,お休みになられてますね
咲耶,一時間くらい眠ってから帰るそうだよ。やはりお疲れみたいだ
恋鐘,うちとしては、別に泊まって行ってくれても良かばってん……
咲耶,起きた時の、プロデューサーが頭を抱えてる様が眼に浮かぶよ。それは
凛世,はい。それはもうありありと……。それ以前に、プロデューサーさまは、自分で目を覚ますと思われますが。そういう、御方ですので
恋鐘,やけに実体験のともなった言い方やね……？根に持ってる感じじゃなかばってん
咲耶,しかし、今日のみんなを見て思ったのだけど……。みんな、プロデューサーの事が好きなんだね
恋鐘,！そ、そんなことはなかよ……！？。うちは長崎とか、アイドルとしてうちとかを、好きになって欲しいだけで……！
咲耶,恋鐘
恋鐘,う……咲耶は慧眼やね
凛世,凛世は、あの方をお慕いしております。出会った時から、ずっと……
恋鐘,そういう咲耶も？
咲耶,うん、そうだね。私たちがこれからアイドルとして羽ばたく為に、欠かせない人だと思ってるし……。個人的にも、プロデューサーのことは手放したく無いと思ってるよ
恋鐘,て、手放したく……！？
凛世,三人とも、同じ方をお慕いしているのですね。とすると、これからは……
咲耶,変わらないさ
凛世,咲耶さん……？
咲耶,私達の関係は変わらないよ。恋敵だとしてもね。今までみたいに、仲良くやって行けばいいさ。石狩鍋を囲んだり、きりたんぽ鍋を囲んだり、普通のお肉の鍋を囲んだり……ね
恋鐘,鍋ばっかりたい
咲耶,人と鍋の繋がりは美しいからね
恋鐘,でも、確かにそうかもしれんね。よく考えればうち達、元からアイドルとしてはライバル同士たい。それなら、この先もなんも問題なか。ライバル同士だって仲良く出来てたけんね
凛世,そう、ですね……。仲間であり、好敵手である。確かに、今までと変わりません。それでは……
恋鐘,？凛世、何ばしとると？
凛世,プロデューサーさまの首が不安定なので、膝枕なるものをして差し上げようかと。文献に、そうありましたので
恋鐘,ひ、膝枕……。うちも負けとられん！それならうちは……！
咲耶,あ、二人してプロデューサーに引っ付いてしまった。そんな事をしたら……
凛世,……zzz
恋鐘,……zzz
咲耶,やっぱり、こうなるか。二人ともよく食べたし、日々の疲れは溜まってるからね。とすると私はどうしようか。一緒に横になりたいのは山々だけど、起こす約束が果たせなくなるのは困るね
P,ぐぅ……ぐぅ……
恋鐘,すや……すや……
凛世,すぅ……すぅ……
咲耶,……まぁ、いいか。この寄り添ってる三人を見守るのも悪くないかな。中々どうして、癒される光景じゃないか。……それにしても、優しいから人の輪ができるか。アナタの周りにも、今みたいにいつも輪ができてる。だから、そういう事なんだろうね。でも、そんな事を言われたのは始めてだよ。本当に不思議な人だね。……ああ、そうだ。みんな寝てるんだ。せっかくだから、感謝の言葉を口に出すのも、きっと悪くない。そういう言葉は憚らない方だけど、さすがに好きな人相手だと恥ずかしいからね。だから端的に、しっかりと気持ちを込めて。……いつもありがとう。わたしの、大切な人
P,おおおおおおお！。おおおおおおおおおお！。おおおおおおおおおおおお！
はづき,わぁ……！
果穂,す、凄すぎますっ！プロデューサーさんが、目にも留まらぬスピードで働いてますっ！
P,昨日の鍋のおかげで、元気が溢れて止まらないぜぇぇぇ！。む！この見本誌、鍋の広告が載っているぞ！。鍋、鍋はいいよなぁ……！
果穂,あ、プロデューサーさんもそう思いますか！？
P,果穂も鍋が好きなのか？
果穂,はい！うちだと、鍋をする時は休日が多いんです。だから何というか……。家族！って感じがします！お父さんもいてくれるので！。だから、大好きです！
P,家族！お父さん！つまり……父性！。あの三人に女子寮に呼んでもらって、鍋までご馳走になって、勘違いをしそうになっていた！。あれ？この三人ってひょっとしたら俺に気があるのでは……？。などと！あまりにプロデューサーにあるまじき、汚れた勘違い！。あいつらは一人暮らし！鍋を通じて欠けている父性を補おうとしてたのだ……！。とすると、俺にできる事があるんじゃないか？父性を求めている奴は他にいるんじゃないか？。ならば……ならば……知らしめなくてはなるまい。鍋の素晴らしさを
果穂,プ、プロデューサーさん……？顔が怖くなってますよ……？
P,え？あ、ごめんな果穂。怖がらせてしまって。やるべき事が見つかって、テンションが上がってしまったんだ
果穂,やるべきこと、ですか？
P,ああ。だから、この広告の鍋は注文だ。くくく、そしていつか実行してやるぞ……。283プロダクション、大々鍋パーティーをな！！
果穂,よく分かりませんけど……頑張ってください、プロデューサーさん！
P,しかし良く社長が動いたな。許可するくらいなら分かるけど、積極的に行くように促すとは思わなかった。……そういえば、前に社長から凛世と思い出を作れとか妙な指令を受けたことがあったっけ。え、つまり凛世が社長のことを、こう……
凛世,……？。プロデューサーさま、凛世の顔に、何かついているでしょうか？
P,え、いや、そんな事はないぞ。何でもない。ないない、それは無い。凛世の性格から考えて、脅したりどうこうしたり、という事は絶対にあり得ない。落ち着いて、社長の視点になって物事を考えるんだ。つまり……。……これ以上は考えないでおこう。知らなくても良い事は、ある。凛世は可愛い。みんな可愛い。283プロは平和。その事実だけで十分だ。はは、はははは……
凛世,？。あの、三峰結華さんの事なのですが
恋鐘,結華がどうかしたと？
凛世,その、同じユニットの皆に渾名を付けてると伺いました。それでその……
咲耶,凛世も、渾名を付けてもらいたいということかな？
凛世,はい。恥ずかしながら生まれてこの方、渾名を付けていただいた事が無いのです
恋鐘,別に恥ずかしか事じゃなかと思うばってん。まぁ、取り敢えずやってみるたい！結華に習うとすると、うちは……
咲耶,名前の上の二文字にたんだね
凛世,りんたん……でしょうか？
咲耶,可愛らしいは可愛らしいけど……
恋鐘,色んな人と被りそうやね。こがで始まる人は余りおらんけど、りんは……。うん、間違いなく沢山おるばい
咲耶,じゃあ私の渾名を元にしようか。名前の語尾にんを足すから……
凛世,りんぜんですね
咲耶,凛然、とすると凛世のイメージには合うんだけどね
恋鐘,渾名としては間違いなく微妙たい
凛世,では、残りの二人の方法だと……
咲耶,摩美々は私と同じになるから、霧子かな。とすると……
恋鐘,霧子だと、きりりんたい。二文字目を繰り返して最後にんをつけるから……
凛世,りんんん
恋鐘,……
咲耶,……
凛世,んんん……
恋鐘,……えっと、結華をここに呼ぶたい。その内
咲耶,……うん、それが良さそうだね
凛世,よろしく、お願いいたします……。……
恋鐘,……
咲耶,……
三人,りんんん……
