如月千早,以下、千早
美希,行くけど……その前に、ちょっとだけお昼寝するの
翼,そうですかー……。……それじゃ、私は春香さんのお手伝いに行ってきますね？
美希,ミキをうんと唸らせるようなのを期待してるの！
翼,まっかせてください！美希先輩の度肝を抜いちゃいますからね～！
美希,……なんだかミキ、スッゴク不安になってきたの。……結局、戻ってきちゃったの。千早さん、まだ杏奈のお世話してるかなー……
千早,あら美希、奇遇ね
美希,千早さん……おはようなの
千早,おはよう……それとも、おめでとうの方が良いかしら？
美希,どっちもなの！ありがと、千早さん！。……あれ、杏奈は？さっきまでここで寝てたよね？
千早,お祝いの為に手伝いに行ったわよ、豪華に飾り付けるんですって
美希,そうなんだ……
千早,？あまり楽しそうじゃないのね？
美希,うん……ミキね、春香が変な事しないか心配で仕方ないの
千早,そう？春香、張り切ってたから大丈夫だと思うけど……
美希,ダメなの千早さん、春香はああ見えて全然普通じゃないの！。きっと、今年もとんでもない事をやるの……
千早,ふふ……春香の事、信頼してるのね
美希,こんな事で信頼なんて言葉を使いたくなかったの……
千早,……それで、美希は何をしに来たの？。お祝いはもう少し、準備がかかりそうだけれど……
美希,分かってるの！ミキ、ちょっとお昼寝しようと思って
千早,そう……レッスンの後だものね。さっきも翼を背負って頑張ってたし
美希,あーっ！千早さん見てたんだ！見てたなら手伝って欲しかったの！
千早,ふふっ、ごめんなさい。それじゃ、このスペースは空けた方が良いかしら？。昼寝の邪魔をしてごめんなさい
美希,…………
千早,……美希、どうかしたの？
美希,千早さん、お願いがあるの
千早,なにかしら？
美希,あのね……ミキ、千早さんの膝枕で寝てみたいな！
千早,えっ……私の？
美希,うん！
千早,……でも私の膝枕、気持ち良くないわよ？
美希,そんな事ないの！ミキ、絶対気持ちいいって思うな！。ね、良いよね！？
千早,美希が良いなら、構わないけれど……。……もう、お姉さんになったのに相変わらずなのね？
美希,ミキは何も変わってないの、周りが変わっただけなの。それに……
千早,それに？
美希,ミキだって、たまにはお姉ちゃんに甘えてみたいの
千早,…………
美希,千早さん……ダメ？
千早,……良いわよ
美希,ホント！？やったやったやったー！。それじゃ、早速―……。うーん……気持ちいいの、やっぱりミキの目に狂いはなかったって思うな
千早,満足してくれるなら、良かったわ。……久しぶりね、こうするのも
美希,えっ？ミキ、膝枕は初めてだよ？
千早,そうじゃなくて……こうやって、二人でゆっくりするのが
美希,……うん、そうだね
千早,みんな有名になって、どんどん一緒にいる時間が少なくなってしまって……
美希,千早さん……
千早,ごめんなさいね、少ししんみりしてしまったかしら
美希,ううん、平気なの！。……千早さん！
千早,なぁに？
美希,確かに、みんな集まりにくくなっちゃったけど……。でも、今日くらいはきっとこうしてても怒られないの！
千早,……そうね
美希,えっへへ、こうやって撫でてもらうの気持ち良いのー……。……千早さん、もう一つお願いいーい？
千早,？
美希,……千早さんの子守歌、聞きたいな
千早,子守歌？でも、さっき望月さんには嫌がられてしまって……
美希,ミキは千早さんの子守歌でお昼寝したいの！。だから……ね？
千早,……もう、仕方ないわね。……ぼうや～よい子だねんねしな～♪
美希,うん……やっぱり、千早さんの歌は綺麗なの
千早,……美希？
美希,…………
千早,もう、よっぽど疲れてたのね……
天海春香,以下、春香
春香,いやー、今日のも自信作だからしっかり味わって……
千早,しーっ……起きちゃうでしょ
春香,千早ちゃん……ご、ごめんね？。……美希がこうやって寝てるの、久しぶりに見たかも
千早,ふふっ、子守歌を聞かせたら寝てしまったのよ？。やっぱり、まだまだ子供なのね……
春香,……千早ちゃんは優しいなぁ。私もお昼寝しちゃおっかなー？千早ちゃんの子守歌で！
千早,ごめんなさい、今は出来ないわ
美希,…………♪
千早,……大切な妹のお願いだもの
