モバＰ,以降Ｐ表…調子に乗ってました
Ｐ,どうせ俺なんて……笑え、笑えよ……。海釣りと違って竿もこんな簡単なものでいいんだな。リールとかついてないし
肇,場合によっては針と重りだけでも釣れますよ。その分技術が必要になりますが
Ｐ,なるほど…奥が深いな
肇,ふふ、大丈夫ですよ。ちゃんと私が教えて差し上げますから
芳乃,ほー？。そなたーそなたー、また捕れましたー
Ｐ,だから素手で捕るのやめい。熊か
芳乃,きゃっちあんどりりーす、でーしてー
イワナ,びっくりした
Ｐ,芳乃に糸つけて川遊びさせるだけでめっちゃ魚捕れそうだな
肇,むぅー
Ｐ,す、拗ねるな肇！だって芳乃だから！芳乃なんだから！
芳乃,どういう意味ですかー
肇,取り合えず、まずはこの上流から攻めていくとしましょう
Ｐ,おーっ凄ぇ水の透明度
肇,思ったより水の流れが激しいですね。それほど深くは無いとは思いますが気を付けてくださいね？
Ｐ,だってさ
芳乃,そこまでちんまくありませんのでー
肇,川は一見しただけではわかりませんが流れが強かったり突然深い場所があったりと危険も多いんです。くれぐれもふざけたりしないように
Ｐ,ウィ
芳乃,合点承知でしてー
肇,さぁ、それでは沢山釣ってみんなのお土産にしましょう！
Ｐ,よーし、狙いはマグロだな
肇,渓流釣りです
芳乃,マグロはいないのでしてー？
肇,いたら生態系の危機ですよ。そう言えばお２人はエサは持ってきたんですか？
Ｐ,ああ、ちゃんと用意してきたよ
芳乃,わたくしもですー
肇,あ、そうなんですね。現地調達にしようかと思っていましたが
Ｐ,ハハッ、俺は時々抜かりが無い事に定評がある男だよ
肇,その時々以外は抜かり有りと言う事なんでしょうか…。私も今回は練り餌さを持参して来たんです。ほら
Ｐ,俺もしっかり持って来たよ。ほら
肇,よっちゃんイカじゃないですか
Ｐ,え、駄目？
肇,ザリガニ釣りじゃないんですから
芳乃,わたくしはこれでしてー
肇,お煎餅の欠片て
芳乃,歌舞伎揚げでしてー
肇,水の中に入れたらボロボロになっちゃう。…あの、もしかしてこれしか持って来なかったんですか？
Ｐ,他にもあるよ、ほらスルメとスイカの皮と…
肇,ザリガニ狙いじゃないですか！
芳乃,ほー
肇,普通にオヤツにしちゃってるし！
Ｐ,穏やかな渓流に肇のツッコミが響き渡るなぁ
肇,分かっているならボケないでください！
Ｐ,まいったな…あとはあたりめしか持ってきてないぞ
肇,持参したエサのほとんどがイカってどういう事ですか。もぉ…私の練り餌さを分けてあげます
芳乃,かたじけありませんー
Ｐ,よっちゃんイカどうする？
肇,知りまふぇん
Ｐ,これで餌はＯＫ。戦の準備は整った…
肇,魚は岩陰などにいる事が多いので狙うとしたらあの辺りがいいと思いますよ
Ｐ,よっしゃ！大物釣るぞー！目標はカジキだ！もしくは…カジキだっ！
肇,川にいたら大問題です。って、そんなに振りかぶったりしたら…！
芳乃,ほー？。はてー、何かが襟にー？
Ｐ,そぉい！
芳乃,ほーーーーーーーーーーーっ
肇,よ、芳乃ちゃーーん！！
芳乃,へくちっ
Ｐ,すまん芳乃
芳乃,お気になさらずー。沢山釣れましたのでー
Ｐ,ハハッ、思わぬところに最強のルアーがあったわ
肇,ちゃんと後ろを確認しないと駄目じゃないですか！
Ｐ,スンマセン
肇,あらあらもう…こんなにビショビショになっちゃって。これはもう着替えないと駄目ですね
芳乃,下着までびっしょりですー。ほらー
Ｐ,あ、ほんとだ
肇,見ちゃダメです！
Ｐ,眼球が圧迫される！
肇,ほら芳乃ちゃん。荷物の中に着替えがありますから。プロデューサーさんはヒーターの準備をしてください
芳乃,はいー
Ｐ,準備したいけど目隠しされてると何も出来ねぇ
肇,ビショビショでスケスケの芳乃ちゃんが着替えるまでこのままですっ
芳乃,着替えましてー
肇,プロデューサーさん。芳乃ちゃんの濡れた服を乾かしてあげてください
Ｐ,がってん
芳乃,肇殿ー、わたくしも釣ってみた
肇,はい是非！
芳乃,食いつきすごいのでしてー
肇,まずは針にこうして餌をつけまして…
芳乃,ほーほー
肇,そうしたら…そうですね。あの木陰あたりを狙ってみましょうか
芳乃,なるほどなるほどー
肇,って、だからそんなに振りかぶったら…！
Ｐ,さてと、これでしばらくすりゃ乾くだろ。うん？何か襟に刺さったような…
芳乃,そぉいっ
Ｐ,ウェーーーーーーーーーーーーィ！！
肇,Ｐさぁーーんっ！！
Ｐ,へぷちっ
芳乃,すみませんー
Ｐ,良いって事よ。お互い様だ…へぷしゅ！
肇,プロデューサーさんまでビショビショになっちゃいましたね…
Ｐ,俺、着替え持ってきて無いんだけど…
芳乃,わたくしの着物が乾きそうですー
Ｐ,乾いたとしてそれを俺にどうしろと。結局アロハに逆戻りでごぜーますよ
芳乃,よく似合っておりませんー
Ｐ,ありがと。……うん？
肇,濡れた服、ここに乾かしておきますね
Ｐ,おー、ありがとなー。よし、肇が戻ってくる前に２人でしみたま釣り上げて驚かせてやろうぜ
芳乃,合点承知でしてー
Ｐ,えっと…確か木陰や岩陰が狙い目だったな。…あそこかな？
芳乃,カジキを狙いましてー
Ｐ,ちょっと距離があるな…届くか？
芳乃,大きく振りかぶりましてぇー
肇,よいしょ…うん、これで少ししたら乾きますね。…え？襟とズボンに何か引っ掛かったような…
Ｐ,そぉぉいっ！
芳乃,そいやっ
肇,みゃーーーーーーーーーーーー！
Ｐ,肇ぇーーっ！！
肇,ぷちゅんっ
Ｐ,凄ぇ。まだ１匹も釣ってないのに何この惨状。えっと…ごめん肇
芳乃,すみませんー
肇,いいです、お２人とも悪気があってやった訳ではありませんし
Ｐ,ズボンずり下ろしちゃってゴメン
肇,悪気があった訳じゃないからいいですって言ってます！
芳乃,次はまたわたくしが川にどぼーん、するのでしてー？
Ｐ,ローテーション決めてる訳じゃないし趣旨が違う
肇,こほん…いいですか？くれぐれも闇雲に振りかぶらないように。釣りは力任せにやって釣れるものではありませんからね
Ｐ,わかりました先生
芳乃,肇先生ー
肇,よろしい。では気を取り直して……えいっ
Ｐ,おお流石。それじゃ俺も
芳乃,ほーっ
Ｐ,あれ、全然思ったところに行かねぇ
肇,仕方ないですよ。最初は狙ったところに針を飛ばすのは難しいですから
芳乃,釣れましてー
Ｐ,しかも全然魚がかかる気配がしねぇし
肇,そう簡単には釣れませんよ。どれだけ熟練の方でも釣れない時はとことん釣れないものですから
芳乃,入れ食いでしてー
Ｐ,…何かこうしてジーッと待ってるだけってのもムズムズするな
肇,ふふ、静かに魚を待ちながら川のせせらぎや鳥の囀りに耳を傾けて心静かに過ごす…それもまた釣りの醍醐味ですよ？
芳乃,くーらーぼっくす？いっぱいになってしまいましてー
Ｐ,芳乃ー、もうちょい空気読もうなー
芳乃,ほー？
肇,つ、釣れる時はこのように沢山釣れるのも醍醐味ですから…
Ｐ,無理しないでいいぞ肇。芳乃だから。だって芳乃だから
芳乃,そなたーそなたー沢山釣れましてー。釣れましてー
Ｐ,うん凄い凄い。でも流石に釣りすぎだから半分川に戻してあげようか
イワナ,しぬかとおもった
肇,ま、待っていてください。すぐに私もそれぐらい…！
Ｐ,張り合う相手が悪すぎる！
肇,ポイントを変えて中流にやってきました。流れが緩やかなので上流より釣れ易いかと思います
Ｐ,どれどれ。では早速
芳乃,わたくしもー
肇,…今度こそ
Ｐ,……お？何かかかった。何かかかった！
芳乃,わたくしもー
肇,…っ！かかりました！
Ｐ,…って、何だこれ。長靴？んなベタな
芳乃,お魚釣れましてー
肇,私もです。イワナですね
Ｐ,…よし、また何かかかった！
芳乃,わたくしもまたー
肇,私のほうにも来ました！
Ｐ,……何じゃこりゃ。ドラム缶？誰だよこんな所に遺棄したの
芳乃,またまたお魚ですー
肇,ここは良いポイントみたいですね。魚の食いつきが良いです
Ｐ,よっしゃまた来たァ今度こそォ！
芳乃,きましたきましたー
肇,面白いくらいに連れますね、ここ
芳乃,ほーっ、大物が釣れましてー
肇,わっ！サクラマスですよこれ！何でこの時期に！？
Ｐ,チクショウ今度こそォ！！
芳乃,どんどん行きましょー
肇,ど、どうしよう…サクラマスがボックスに入らない
Ｐ,手応え有りッ！よぉしこれなら………って魚じゃねぇし！？
ビーバー,なんなのさ
肇,休憩ですか？
Ｐ,自分の釣りセンスが死滅している事に絶望してるだけだからお構いなく
肇,つ、冷たい麦茶ありますよ？今用意しますね
Ｐ,お構いなく
肇,でも、まさかＰさんから釣りに誘って貰えるなんて思っていませんでした。ありがとうございます。凄く嬉しいです
Ｐ,一度やってみたかったんよ。…そしたらこの有様だけどね
肇,何でもこなせるＰさんにも苦手なものがあったんですね…何だか安心します
Ｐ,正直なんやかんやで結構釣れるもんだと高を括ってた感は認めるチクショウ
肇,まぁまぁ、きっとこれから沢山釣れますよ。はい、麦茶どうぞ
Ｐ,はぁ、麦茶どうも。うん、ミネラルが染み渡る
肇,それにしても予想通りと言いますか、芳乃ちゃんは凄いですね…クーラーボックスもうパンパンですけどどうしましょう
Ｐ,昼飯に何匹か消費するとしよう。一応道具は持ってきてるし
肇,あの巨大なサクラマスは…
Ｐ,頑張って食べよう
芳乃,そなたーそなたー、釣らないのでしてー？
Ｐ,もうちょい休んでるから好きに遊んでなさい
芳乃,ではではー、そなたの分まで釣りますねー
Ｐ,肇もオッサンに気を使わなくていいから芳乃と一緒に思う存分釣ってていいぞ？
肇,私も、ちょっと休憩です
Ｐ,そっか。麦茶飲む？
肇,はい。いただきます
芳乃,そなたーそなたー
Ｐ,うん？芳乃も飲むか？
芳乃,わたくしもいちゃつきに来ましたー
肇,い、いちゃついてないです！
Ｐ,ハハッ、娘連れの父親にしか見えないだろ
肇,流石に目のハイライトが朽ちかけた父親はちょっと
芳乃,ご免被りますー
Ｐ,え、ひどくない？。そろそろお昼ご飯にしようか。腹減ってきたわ
芳乃,そなたはまだ１匹も釣っておりませんがー
Ｐ,よぉぉしやっぱり釣れるまでやるぞォ！
芳乃,飢えて死んでしまいますー
肇,芳乃ちゃんステイ
芳乃,ほー
Ｐ,…そうだね、どうせ釣れねーですからオッサンはランチの準備するでごぜーますよ…
肇,き、きっと午後から釣れますよ！釣れます！ええ、きっと！多分！
Ｐ,魚さばいてくる…
芳乃,しょんぼりしてしまいましたー
肇,芳乃ちゃん、プロデューサーさんからかいすぎです
芳乃,てへっ
肇,可愛いアピールしても駄目です
Ｐ,ほい、取り合えずこんなもん出来ました
芳乃,おおーっ
肇,わぁ…
Ｐ,イワナは無難にし塩焼きにした。サクラマスはデカかったから切り身にしてホイル焼きとムニエルにしてみた
肇,キャンプ用品のような荷物を積んできたと思っていましたが…ライターも使わずに焚火起こしましたし
Ｐ,埼玉では子供の頃に山に置き去りにされてサバイバル技術を身に着けさせる訓練がだね
肇,ファブルですか
芳乃,そなたーそなたー、もう食べられましてー？食べられましてー？
Ｐ,さっき虐められたから芳乃のご飯は俺が持ってきたスルメです
芳乃,鬼畜の所業でしてー！
肇,はいはい、じゃれていると折角のお魚が焦げちゃいますよ
芳乃,いただきましてー
肇,いただきます。はふ、はふ…
Ｐ,いただきま熱ぅぃ！
肇,ほふほふ…っ、うん、塩加減が絶妙ですね。釣り立ての魚を食べられるのはやっぱり釣りの醍醐味ですね
芳乃,尻尾はカリカリ、お腹はふっくら、頭はパリパリでしてー
Ｐ,当たり前だけど鮮度抜群だよな。うん、こういうロケーションならではの美味しさっていいよな
肇,機会があれば海釣りもやってみませんか？もっともっと色々なものが釣れますよ
Ｐ,渓流釣りでこの有様なのに海とな
芳乃,そなたー、ホイル焼きくださいー
Ｐ,ほれ、熱いから気をつけてな
芳乃,あちあち
Ｐ,言わんこっちゃない
肇,ムニエルも美味しいです。バターが凄く効いてて…黒コショウと塩だけの味付けなのに
Ｐ,本場フレンチのムニエルって１箱丸々バター使うらしいぞ
肇,わっ、太っちゃいそうですね
芳乃,ホイル焼きもたまりませんー。このしめじがまたー
Ｐ,持ち帰れないくらい釣れてるから沢山食べてなー。ほら肇もっと食べなさい。ほれもっともっと
肇,わっ、わっ。そ、そんなにお皿にっ
芳乃,ムニエルにたるたるそーすが欲しかったですねー
Ｐ,それはまた今度な
肇,あ、その時は是非私も良いですか？
Ｐ,一向に構わんッ
肇,ふふっ、楽しみにさせていただきますね？
芳乃,むーっ
肇,ひゃんっ！
Ｐ,ちょっ！川の水かけるな芳乃冷たい！
クマ,なーなームニエル貰うてええ？
芳乃,またびしょびしょになってしまいましたねー
肇,もぉ…着替え無くなっちゃったじゃないですか
芳乃,水着を持ってきていて幸いでしたー
Ｐ,水遊びする気満々だったのな
肇,こ、これは釣りの合間にちょっと遊ぼうと思って…
Ｐ,その水着ってこの前幸子達と沖縄のロケで着てたやつか
肇,あの、そんなにじっくり見ないで…
芳乃,ちゅっちゅっちゅっちゅっちゅっちゅっちゅらーら
Ｐ,ちゅっちゅっちゅっちゅっ
肇,いとしーさー♥
Ｐ,かわいい
芳乃,かわいいですー
肇,って何やらせるんですかっ！
芳乃,ちゅっちゅっちゅっちゅっちゅっちゅっちゅらーら
Ｐ,ちゅっちゅっちゅっちゅっ
肇,も、もうやりませんからねっ？
芳乃,ちゅっちゅっちゅっちゅっちゅっちゅっちゅらーら
Ｐ,ちゅっちゅっちゅっちゅっ
肇,しーまーせーんー！
芳乃,いとしーさー♥
肇,取られた！？
Ｐ,ハッハッ、肇のツッコミは相変わらずキレッキレだなぁ
肇,無駄にキャラが濃い人達のせいじゃないですかっ！
芳乃,そなたは特に濃ゆいですしねー
Ｐ,おいおいプロデューサーだぞ？裏方だぞ？無味無臭だろこんな平凡なオッサン
肇,巷ではソースを二度付けしたような濃さとか言われてますよ
Ｐ,待って何それ初耳。さてご飯も食べたし…釣り再開するか？
肇,そう思っていたのですが…ほら、こんな格好ですし万一針が刺さったら危ないですから
Ｐ,それもそうか。うーん…まだ服は乾かないし…いっそこのまま水遊びするか？
肇,私はそれでも構いませんが、良いんですか？
Ｐ,俺も別に構わんよ
肇,いえ、それだと結局Ｐさんは今日１日１匹も釣れずに終わる事になってしまいますけど…ってああっごめんなさいごめんなさい泣かないでください！
Ｐ,な、泣いてなんかねーし
芳乃,アイドルを釣り上げるのは得意なのですがねー
Ｐ,物の言い方というものがだね。…いいよ。俺は今日は運転手兼荷物運び係として来たんだ。うん。最初からそのつもりで来たんだ
芳乃,現実から目を背けてしまいましたー
肇,ま、また機会を作って釣りにきましょう？いつでも何度でも教えてあげますから
Ｐ,肇…ほんと、お前は良い子だなぁ
肇,…えへっ
芳乃,そなたーそなたー、わたくしはー？ねーねーわたくしはー？
Ｐ,はいはい良い子良い子
芳乃,雑でしてー
肇,ほら芳乃ちゃん。川で遊びましょう？プロデューサーさんもご一緒に
Ｐ,ちょい待って。浮き輪とビーチボールとスイカとシュノーケルの準備するから
肇,プロデューサーさんだって水遊びする気満々だったんじゃないですか！
芳乃,そなたーそなたー、ビーチバレーしましょー
Ｐ,川でやってもビーチバレーっていうのかな
肇,それに３人じゃ試合出来ないんじゃあ
クマ,入ろうか？
Ｐ,まだいたんかい。忘れ物はないかー？
肇,大丈夫です
Ｐ,ゴミとか残してないなー？
芳乃,ばっちりでしてー
Ｐ,よし、それじゃあそろそろ帰るぞ。うわ車の中魚臭ぇ
肇,本当にたくさん釣れましたね。事務所のみんなも喜んでくれるでしょうか
Ｐ,みく以外は喜ぶと思うよ
芳乃,８割わたくしが釣りましたー
Ｐ,０割ですチクショウ
肇,う、運転するんですから泣かないでくださいっ！また今度来ましょう？ねっ？
Ｐ,グスッ……そうだな、今度はテントとか持ってきてキャンプしようか
肇,あっ、いいですね
芳乃,ゆるキャンですー
Ｐ,ハハッ川島さんとミツボシと佐藤呼ばないとだ
肇,今度は海釣りにも行きたいですね
Ｐ,コンクリとか釣り上げそうで怖いなぁ…
芳乃,そなたは有機物が釣れないのでしてー
凛,終わりだよ
未央,誰に話かけてんのしぶりん。早くしまむー追っかけないと危ないよっ！
凛,未央ってば大袈裟だよ。ちょっとクマ追いかけて行っただけなのに
未央,だから危ないんだよ！クマが！
