モバP(以下、P),四十八手・・・
P,いや、だから今度から気を付ければ―――あやめいえ、そうではなく。え？
あやめ,一般の方を巻き込みたくないと言いましたが、実際P殿を巻き込んでしまっています
P,・・・
あやめ,元々わたくしが話さなければこんな事には
P,あやめ
あやめ,？
P,俺はあやめの担当プロデューサーだ。あやめの悩みは俺の悩みでもある・・・いわば一蓮托生ってやつだな。だからそんな事気にする必要はない
あやめ,P殿・・・
P,絶対四十八手の謎を解こうな！
あやめ,はいっ！。・・・。・・・よしっ！。あ、お父さん・・・？今週末帰ろうと思うんだ。P殿も一緒に・・・うん、急だけど・・・。大切な話があります―――。これでもう後戻りはできない。・・・でも、P殿と一緒ならきっと乗り越えられるはず！。そうだ、取りあえずもう一度ネットで四十八手について調べておこうかな。・・・。・・・・・・・・ん？
P,四十八手か・・・。・・・。・・・ちょっとスマホで調べてみるか。お、出た出た・・・・ん？。んん～っ？・・・・・・・・・・
父,あっはっは！そういう事でしたか！大事な話があるって言うからこちらも緊張してたんですよ？
P,大変お騒がせしました
父,いえいえ、とんでもない！元はと言えばうちの娘のせいですから・・・
あやめ,ごめんなさいっ！！！
P,いえ、僕も乗り気だったと言いますか・・・あやめさんだけの責任ではありません。本当に申し訳ございませんでした
父,まぁこれで一件落着ということですね。もう夜も遅いですし今日は家でゆっくりしていって下さい
P,お言葉に甘えさせて頂きます
父,よし！それじゃあ今晩はPさんと一緒にお酒が飲めるって事だな！母さんお酒持ってきて！
母,はいはい♪
祖父,私も混ぜてくれるかい？
P,楽しいご家族だな
あやめ,はい、わたくしの自慢の家族です♪
父,。・・・誰だ。上の階にいるのは分かっているぞ
母,私よ
父,なんだ母さんか。二階から入ってきたのか？そんな所あやめ達に見られたらどうするんだ
母,だってお父さん鍵閉めちゃうから・・・巻物が気になったの？
父,まだ未熟だが、まかりなりにも私の血を受け継ぐ娘だ。もしもということもある。
母,巻物に幾つもの工程を加える必要があるなんて普通気づかないと思うけどね
父,今は知らなくてもいい。・・・いずれ知る時がくる
