モバＰ(以下Ｐ),……ふぅ
茄子,いえ違うんです。歌鈴ちゃんは人の良いところを見つけるのが上手なのに、自分のことになると下手になっちゃうんだなって
歌鈴,そんなことないですよ……
茄子,うーん、こんなときＰさんだったら歌鈴は歌鈴なりでいいんだぞ！なんて言うんでしょうね
歌鈴,プ、プロデューサーさんを出すのはズルいですよぉ！
茄子,歌鈴ちゃんはPさんのこと大好きですもんね？
歌鈴,えぇ！と、突然なにを言って……あの、その……
茄子,ふふ、歌鈴ちゃん可愛い♪。明日は歌鈴ちゃんのお誕生日ですし、初詣に誘ってみてはいかがですか？
歌鈴,お誕生日なのは同じじゃないですかぁ……茄子さんは自分の誕生日、どう思います？
茄子,どう、とは？
歌鈴,1月1日が誕生日だと、特別なお祝いって全然してもらえないですよね
茄子,あぁ、そういうこと
歌鈴,おまけに私は実家のことで、忙しくてそんな暇もなくて
茄子,私は自分の誕生日、好きですよ。特別な日に特別が重なるようで、より幸せな気持ちになれます♪
歌鈴,茄子さんは強いなぁ……
茄子,無理にわかろうとしなくていいんです。歌鈴ちゃんはいい子ですから、誕生日くらい我が儘言ってもバチは当りませんよ？
歌鈴,そうでしょうか……うーん……
Ｐ,おーい、まだやってるのか
歌鈴,ひゃあ！プ、プププロデューサーしゃん！
Ｐ,あぁ、すまん突然入って驚かせたか
茄子,Ｐさんはお仕事終わりました？
Ｐ,あぁ、こっちはどう？
茄子,ひと段落してお喋りしてたところです
Ｐ,じゃあそろそろ切り上げて。2人とも腹減ってる？
歌鈴,あ、そういえば晩御飯食べてないですね
茄子,なんだか意識したら余計に空いてきますー
Ｐ,俺も空腹だから、一緒に年越しそばでも食べよう
茄子,わぁ、いいですね♪
歌鈴,すぐに着替えてきま――ってあわわ！
Ｐ,慌てないでいいからなー
P,買い置きのカップそばで悪いな
歌鈴,いえ、全然気にしませんよ
茄子,事務所なら落ち着いて食べられますし、私も構いません
P,そう言ってもらえて助かる。そろそろいいかな……じゃあ、いただきます
歌鈴・茄子,いただきます
歌鈴,おだしが美味しいです～
茄子,夜の事務所でインスタント食品を食べるなんて、なんだかいけないことしてるみたいですね
P,本来は褒められたものじゃないが、今日くらいはいいだろう
歌鈴,何だか合宿みたいで楽しいですっ
P,非日常感あるよなぁ……大晦日自体、子供のころ夜更かしを許された特別な日だったのを思いだすよ
茄子,特別な日ですか
歌鈴,そうですねぇ
P,あ、歌鈴にとっては年末年始は大忙しか
歌鈴,はい、落ち着いておそば食べられるなんて夢にも思わなかったです
P,年始もすぐに仕事だから、休めるときには休んでくれよ？
歌鈴,わ、わかりま……
茄子,ほら、歌鈴ちゃん頑張って♪
歌鈴,茄子さん……は、はい！
P,ん、どうした？
茄子,ふふっ、何でもありませんよ
Ｐ,そばを食べたら2人とも送っていくよ
歌鈴,あの、プロデューサーさん！
Ｐ,なんだ歌鈴？
歌鈴,よ、よかったら、これから一緒に初詣に行きませんか？
Ｐ,初詣？
歌鈴,休めって言ってもらいましたけど、わ、私はプロデューサーさんと初詣に行けたらいいなって……どうでしょうか？
Ｐ,歌鈴がそこまで言うなんて珍しいなぁ
茄子,そうですよ、ですから行きましょう、Ｐさん？
Ｐ,……ふむ、新年早々に祈願するのも悪くないか
歌鈴,やったぁ！ありがとうございますっ！
Ｐ,事務所閉めるぞー。歌鈴、忘れ物ないか？
歌鈴,な、なんで私だけなんですかぁ！
茄子,ぐるっと確認しましたが、大丈夫そうでした
Ｐ,じゃあ行くとするか
茄子,はい、行ってらっしゃい♪
歌鈴,へ、茄子さん？
Ｐ,茄子は来ないのか？
茄子,行きたいところですが、自室の大掃除が終わってないんですよねー
P,それくらいいいんじゃないか？
茄子,今年の汚れ、今年のうちにですよ！あと歌鈴ちゃんにはこれをお願いします
歌鈴,な、何でしょう？……これはおみくじ、ですか？
茄子,今年の年始に引いたものです。私の代わりに神社へ返納していただけますか？
歌鈴,あ、はい。わかりました！任せてください！
茄子,私が1年間持ち歩いていた大吉です。頑張ってくださいね♪
歌鈴,え、ちょっ茄子さん！？
P,夜遅いがひとりで大丈夫か？
茄子,すぐにタクシー拾いますんで
歌鈴,で、でもこの時期は利用する人多くて待つことになるんじゃ……
茄子,大丈夫です。昔からタクシーに乗ろうと思ったら、すぐに空車が通りかかるので――あ、来ましたね
P,凄いが妙に納得してしまう
茄子,それでは、よいお年を
P,あぁ、来年もよろしく
歌鈴,茄子さん！あの、ありがとうございました！
P,ほぉ、結構にぎわってるなぁ
歌鈴,そ、そうでしゅね！
P,さっきから噛み噛みだな、おまけに顔も赤いぞ。まさか熱か？
歌鈴,違います！違わないけど違うんです！
P,ならレッスン疲れ？辛くなる前に早めに言ってくれな
歌鈴,は、はい！
Ｐ,除夜の鐘が聞こえるな。もうすぐ新年だ
歌鈴,プロデューサーさんにとって今年1年はどうでしたか？
Ｐ,ん、そうだなぁ……ファンもメディアの露出も増えてきて、歌鈴の努力の成果が着実に出てきてる年だったな
歌鈴,もう、それじゃあ私の1年じゃないですか
Ｐ,プロデューサーの1年は、担当アイドルの1年だ。だからこれでいいんだよ
歌鈴,私とプロデューサーさんが同じ、ですか……えへへ。あ、周りの人がカウントし始めましたよ！
Ｐ,一緒にカウントするか！
歌鈴,はい！4、3、2、1……。プロデューサーさん、明けましておめで――
P,誕生日おめでとう歌鈴、今年もよろしくな
Ｐ,ここでプレゼントを渡せれば良かったんだが、こうなるとは思わなくて自宅に置きっぱなしでなぁ……かっこ悪いが次会う時に渡すから
歌鈴,う、うぅ……ぐすっ
Ｐ,え、歌鈴……そんなにショックだったか
歌鈴,そうじゃないですっ……私が一番欲しかったもの、もうプロデューサーさんから頂きました！
Ｐ,いや、俺はまだ何もあげちゃいないぞ？
歌鈴,気にしないでください。さぁ、参拝しましょう！
Ｐ,おう、人だかりだからゆっくり進もう。今のうちにお賽銭の準備しとけ
歌鈴,はい。落とさないようにコートのポケットに入れておきます……あれ？
P,ん、どうかしたか？
歌鈴,いえ、えっとその……手、つないでもいいですか？
P,手を？
歌鈴,人も多いですし、はぐれちゃうといけないので！
P,ん、これでいいか？
歌鈴,えへへ、ありがとうございます！プロデューサーさん、今年も歌鈴をよろしくお願いしますっ！
