志希Ｐ,以下Ｐ
Ｐ,なんで今ここでTulipなんて歌いだすんだよ……
志希,んー♪深い意味はないよ～、深い意味は、ね
Ｐ,他意しか感じないですがそれは……
志希,♪～
Ｐ,…………もうダメだ……。理性の限界だ……！。おい、志希どけ！
志希,に゛ゃ？！
Ｐ,これでよし、と
志希,キミ！いきなりなにすんの！一体何が良いっていうのさ！
Ｐ,いや、良い時間だし年越し蕎麦でも作ろうと思ってな！魔のコタツから出るために気合を入れたんだよ
志希,むぅ～……
Ｐ,さてと、まずは茹でるお湯でも用意するかな！
志希,素知らぬフリして……。ホントは全部わかってるんだからね……
Ｐ,ん？なにかいったか？
志希,んーん、なんでもないよー
Ｐ,お前……コタツに寝転びやがって……。いや手伝ってくれるとは全く思ってなかったけどさ……。ほら、出来たぞ！
志希,やったー！苦しゅうないぞ、近うよれ
Ｐ,作ってる間、ただコタツに寝っ転がってたやつが言うセリフではない
志希,え？なに？何かそういうサービスをご所望？なら早く言ってくれればいいのに～
Ｐ,辞めなさい……。ホントそういうのは辞めなさい
志希,あぁん！もうちょっと匂い嗅がせてくれたっていいじゃん！
Ｐ,ダメです
志希,むぅー……。キミ、もしかしてこういうのに興味がないの？
Ｐ,興味がありすぎるから困るんだよなぁ……。特に志希にやられると……。……蕎麦が伸びるから早く食うぞ
志希,あ、そうだね。食べよ、食べよー♪
Ｐ,それじゃあ
Ｐ、志希,いただきまーす
Ｐ,……
志希,美味しいね
Ｐ,まぁいいとこの蕎麦使ったからな
志希,ふーん……。どおりで香りもいいわけだ
Ｐ,匂いに敏感な志希ならすぐにわかるか。高級品の蕎麦はやっぱり香りから違うもんなぁ
志希,まぁ、キミが作ってくれたからってのもあるけどね、にゃはは～
Ｐ,……
志希,……
Ｐ,…………
志希,…………
Ｐ,こいつのこういうとこがマジで油断ならないんだよなぁ……
志希,どしたの？
Ｐ,いや、何でもない
志希,何でもないのに変なの～！。……
Ｐ,……
志希,こうしてさー……おなか一杯になって、コタツに入ってボーっとテレビ見てるとさ
Ｐ,なんとも言えない幸福感が襲ってくるよなー
志希,そうそう、普段こんな時間なかなか過ごせないし
Ｐ,人気アイドルっていうのもあるけど、お前の場合は実験してるか、どっかに失踪してるかのせいだろ！
志希,にゃはは～！そうとも言う～
Ｐ,しかも反省の色なし
志希,でも、キミと二人だけで過ごせる時間っていうのは本当に貴重だと思ってるよ？
Ｐ,どうした？
志希,んーん、なんでもなーい！あ、次、菜々ちゃんの出番だよ？
Ｐ,お？今年のシンデレラガールのお出ましですか！
志希,年末恒例の歌番組に一人で出るなんて凄いよねー。しかも去年に続いて二年連続でしょ？
Ｐ,去年はユニットでの参加だったけどな。今回は今年の顔ってことでソロで出ることにしたらしいぞ。まぁ他のみんなを休ませたい事務所の意向もあったようだが……
志希,そうなんだ。しっかし菜々ちゃんも持ち歌の電波系の曲じゃなくて、ゴリゴリのラップ調のTrustmeで出場するなんてね
Ｐ,あぁ、そこは菜々Ｐさんが色々と検討してみたみたいだぞ。番組の雰囲気を壊さず、更に菜々さんの新境地を世間に知らしめたいんだとさ
志希,ふーん、そうなんだ。色々と考えてるんだね
Ｐ,プロデューサーってのはそういうもんだよ
志希,ふーん。キミも……あたしのこと、色々考えてくれてるのかな？そうだったらなんだか嬉しくなっちゃうな
Ｐ,どうした？
志希,んーん、なんでもなーい！そういや今、気が付いたんだけどさ
Ｐ,ん？なんだ？
志希,菜々さん、深夜帯に出てるけどいいの？確か１７歳ってことになってんだよね？
Ｐ,……その議論は去年ネットでされ尽くされたから大丈夫だろ
志希,大丈夫なんだ
Ｐ,……大丈夫だろ
志希,……まぁ、ウサミンだしね
Ｐ,……まぁ、ウサミンだからな。さて、菜々さんの出番も終わったし、そろそろいい時間だな
志希,そうだねー
Ｐ,ちょいとばかし遅くなりすぎたけどな……。ほら、そろそろ準備しろよ
志希,あたしはここから動きませーん、コタツの家の子になりまーす
Ｐ,絶対こうなると思ってた
志希,うん、聞き分けのいい子だね♪
Ｐ,今のお前だけには言われたくない言葉だよ
志希,まぁまぁ、いいじゃん！どうせここまできちゃったんだしさ！
Ｐ,それはその……だな……。そうだ！どうせなら二年参りでもするか？
志希,えー、寒いのイヤー
Ｐ,デスヨネー
志希,いいじゃん、このまま年を越そうよ
Ｐ,うーん……。まぁそれがお前との年末の過ごし方っぽいかな……？
志希,そうそう！。あ、除夜の鐘が聞こえ始めたね
Ｐ,ここまで聞こえるもんなんだな
志希,確か108回ついて煩悩を消すんだっけ？
Ｐ,そうだよ、ついでにお前の煩悩、というか突発的に勝手な行動するのもなくなるといいな
志希,えー？そんなこと言っちゃう？酷いなー
Ｐ,まぁ、冗談半分だけどな。もうお前の突発的な行動にも大分慣れたよ
志希,ふーん……。実はあたしの自分勝手さが減る行動があるんだけど……。試してみる？
Ｐ,お？そんなのかがあるのか？知らなかったな。そんな行動大歓迎だよ！
志希,あ、言ったね！じゃあ、早速……。お邪魔しまーす
Ｐ,お、お前……！
志希,にゃは！さっきも思ったけどやっぱここは最高の場所だね！
Ｐ,お、おい！だからこれは辞めろって！
志希,あたしをさ、掴まえておきたいならさ
Ｐ,ん？
志希,こうやって抱きしめて捕まえといてよ。そしたらどっか行こうとしても逃げれないからさ
Ｐ,志希の真剣な表情……。あの自由奔放な志希が捕まえといてなんてな……。これは真剣に言ってるんだろな
志希,あたしはさ、キミになら良いと思ってんだよね。こんなの初めての感覚なんだけど
Ｐ,プロデューサーとしては嬉しい限りなんだけどさ……。それはそれとして、退散しろ煩悩！除夜の鐘で消えてくれないと困るぞこの状況！
志希,というわけで暫くお休みー。年が変わっても別にこのままで良いよ？
Ｐ,マジで助けて！煩悩退散！このままじゃ生殺しもいいところだよ！
志希,zzz……
Ｐ,……
志希,zzz
Ｐ,…………
志希,zzz
Ｐ,………………
志希,zzzzzz
Ｐ,志希はあの体勢のまますっかり寝入ってしまった……。これ、ちょっとやそっとじゃ起きねーんじゃねーか……？。あ、年が変わった。新年かー……でも全然そんな気しないなー。そしてこいつは起きる気無し。本当にそのまま年が明けちまったじゃねーか
志希,zzz
Ｐ,……目をつぶって大人しくしてるとやっぱり超美人だよな。起きて動き回ると残念な子になるけど。目の前にある髪の毛なんて超サラサラだし……。ちょっと触りたくなるくらいだわ
志希,zzz
Ｐ,…………ちょっとくらい触ってもバレないか……
志希,zzz
Ｐ,うわー、超サラサラじゃん！やっぱこいつもアイドルなんだよな。いつも振り回されてばかりで時々忘れそうになるけど
志希,zzz
Ｐ,…………そういやこいつってこうやって頭撫でられたことあるのかな？小さい頃から家族と離れ離れだったみたいだし
志希,zzz……
Ｐ,今はアイドルになって人生楽しいのかな？いっつも、にゃはにゃは笑ってるけど、心の奥底から楽しめてるのかな……？
志希,……
Ｐ,こいつもこんな風に褒められてもいいんじゃないかな？何の裏もなく、ただ純粋にさ……
志希,…………
Ｐ,俺がちゃんとこいつの支えになれてたら、プロデューサー冥利に尽きるんだけど……
志希,………………
Ｐ,ってまあ、こいつだってもう一人じゃないからな！事務所のみんなとも仲良くなってるし、俺だけが頼りってわけじゃないから心配いらないか！
志希,じー……
Ｐ,……
志希,……
Ｐ,…………
志希,…………
Ｐ,………………いつから起きてた……
志希,今さっき。なんか感じるなーって微睡んでたら、キミが撫でてくれたから
Ｐ,……忘れてくれ……
志希,え～？どうしよっかな～？
Ｐ,頼むから……忘れてくれ……！気の迷いだったんだよ！
志希,ふーん。じゃあいつもの正常なキミならこんなことしないっていうんだね？
Ｐ,あ、ああそうだ！だから忘れてくれ！なんだったら何かしてやるからさ！
志希,そうなの？！あんな実験やこんな実験にも付き合ってくれたり？！
Ｐ,うっ……。まぁ仕方がない……一回ぐらいなら良いだろう……
志希,じゃあさ、こうしてよ
Ｐ,ん？なんだ？
志希,……さっきみたいに頭撫でて
Ｐ,え？
志希,だ、か、ら！頭を撫でてって言ってんの！
Ｐ,お、おう……。これでいいのか？
志希,んー！良いね、良いね！キミに抱き着いて匂いを堪能しながら頭撫でられるって最高ー！
Ｐ,そうかそうか、お気に召したようで何よりだよ
志希,……あたしはさ、こうやって誰かに頭を撫でられたことがほとんどないからさ……
Ｐ,……
志希,あたしはキミがこうしてくれて、結構幸せだったりするんだよ？
Ｐ,志希……
志希,……なーんてね！あ、キミ、そういや新年あけましておめでとう
Ｐ,あっ……。そうだな、新年あけましておめでとう
志希,こんなあたしだけど、今年もよろしくね？ちゃんと掴まえておいてよ？じゃないとどっかに行っちゃうからねー
Ｐ,……お前に逃げられたら困るからな。ちゃんと掴まえておくよ
志希,♪～
Ｐ,ということで新年最初のお仕事です
志希,やー！なんで？なんでキミの家に泊めてくれないの？いいじゃん泊めてくれたって！
Ｐ,ダメです。そもそも最初から遅くなる前に追い出すからなって言ったろ？
志希,そんなの聞いてませーん
Ｐ,でしょうね！！
志希,ちぇっ……。キミの匂いが染みついたあの布団狙ってたのに！
Ｐ,泊まる方なのに布団を奪う気満々。いや仮に泊めてたら、流石に布団を譲るけどね
志希,一緒に寝てもいいんだよ？それなら布団とキミ自身に挟まれて、匂いを堪能できるし！
Ｐ,ダメです！
志希,なんで！
Ｐ,ダメと言ったらダメなんです！。主に俺の理性がな！あのまま泊めたら確実にやばかった
志希,クンクンクン……。ふーん、なるほどねー、そういうことか
Ｐ,そういうカマかけは辞めなさい。流石に匂いで考えてることなんてわかんないでしょ
志希,バレたか～、にゃはは！
Ｐ,全く……油断も隙もないんだから……
志希,まぁ、でもさ。あたしだって匂い以外のことでも結構分かることだってあるんだよ？
Ｐ,……
志希,だからキミがあたしを大事にしてくれてるってことは結構嬉しかったりするんだよ？
Ｐ,……ほら、お前の家に着いたぞ
志希,わーお！あっという間だったね！相対性理論のネタにできそー
Ｐ,……新年だからって夜更かししすぎず、早く寝るんだぞ？
志希,はーい。キミも早く寝るんだよ？なんなら泊まってく？
Ｐ,それじゃ送った意味ないだろ
志希,だよね～、にゃはは！
Ｐ,それじゃあ、また事務所でな
志希,そうだね。まったね～
Ｐ,……この時間は流石に冷えるな。志希といる時は寒さなんて感じなかったのに……。…………。さっさと帰って、とっとと寝るか。んー！よく寝たなー。なんだかんだ、昼近くまで寝ちまったか……。まあ正月だし別に許されるよな。今日はなにすっかなー……。まあ適当に初詣でもしてゆっくり過ごすか。ん？新年早々誰だ？宅配便かなにかか？。はいはーい、今開けまーす！
志希,やっほープロデューサー
Ｐ,……
志希,いやー、昨日あのまま寝たら暖房付け忘れてさー、寒いったらありゃしないっての！だからコタツであったまりに来たよー
Ｐ,……なにウチに来てんだよ、家に帰れよ！
志希,まぁまぁ、いいじゃん、いいじゃん♪
Ｐ,一年の計は元旦にありっていうけどさ
志希,♪～
Ｐ,今年もきっとこいつに振り回される一年になるんだろうなぁー……
志希,あ～、コタツ暖まる～。ね、キミも一緒に入ろうよ！
Ｐ,ま、それも悪くないか……。退屈しない一年になりそうだし。って脚引っ張るな！危ないだろ！ってか一緒のところに入れようとするんじゃない！ええい！くっつくな！離れろ！。それも悪くない？いや訂正。退屈する暇さえこいつは与えてくれなさそうだ
