えりちは美人なんよ。それも超が付くほどの。この人がウチの親友って言ったらきっと皆んな羨ましがるだろうなってくらい,勿論、それが目的で友達付き合いをした訳じゃないんよ？ただ、それだけ整った容姿をしてるって事
絵里,あなた…最近無理してるんじゃない？生徒会にお稽古に弓道部とスクールアイドルの練習。勉強だってあるんだろうし
海未,大丈夫ですよ。いつもの事ですし
絵里,今日のあなた。いつもよりダンスの動きにキレがなかったわよ？自分でも気が付かないウチに疲れが溜まってるんだわ
海未,ですが…
希,海未ちゃん？時には休む事も大事やろ？それで体を壊したら元も子もないんやから
海未,分かりました。では、明日は一日大人しくしています
絵里,うん、そうして。それだけで大分違うと思うわ。皆んな、自分の事となると中々気が付かないものだから。お互い声を掛け合って行きましょう！
海未,はい！ありがとうございます
絵里,うん
海未,所で絵里…あの…このタイミングで大変言いにくいのですが…
絵里,何？どうしたの？
海未,ずっと言おうと思ってたのですが…練習着を裏返しに着てませんか？
絵里,え？嘘？もしかして、練習中もずっと？
希,うん
絵里,気が付いてたの？だったら教えてよ。イジワル…
海未,もしかして、絵里も疲れが溜まっているのでは？
希,な～、せっかくお泊りしてるんやから勉強はもうええんやない？
にこ,そうよ。勉強なんていつでも出来るじゃない
絵里,ダメよ。一応私達三年生なのよ？そもそも勉強会って名目でお泊り会をしてるんだから。にこなんて留年しても知らないわよ？
にこ,だ、大丈夫よ。ね～、本当にさ～。もういいじゃない
絵里,はあ、分かったわよ。で？何するの？
にこ,え？いや…何って言われると
絵里,何よ？何もないの？
にこ,だって…
希,ゲームでもする？一応あるけど
絵里,ゲームって…テレビゲーム？
希,うん
にこ,いいじゃない！たまにはそう言うのも
絵里,でも…私、テレビゲームとかやった事ないわ。もう一回。もう一回よ
にこ,いや…もう眠いんだけど
絵里,やっと操作の仕方が分かって来たの。後何回かやれば勝てるはずだから
にこ,え？負けた…
絵里,やったわ！ねえ、希！やっと勝てたわ！
希,良かったなぁ
絵里,さあ、希！今度はあなたの番よ！負けないから
希,え？まだやるん？
絵里,もちろん！
にこ,もう…にこは寝るから
ことり,ん～…困ったなぁ
穂乃果,どうしたの？
ことり,あのね、新しい衣装を作らなきゃと思って部費と照らし合わせてたんだけど…予算が合わなくて
穂乃果,え？足りない感じ？
ことり,うん。足りると思ったんだけどなぁ
絵里,ねえ？計算が間違ってる可能性はない？
ことり,でも…パソコンで自動的にやってるみたいだけど…
絵里,表計算ソフトを使ってるんでしょ？もしかしたら数式が間違ってたりそもそも打つ場所や文字が間違ってる可能性もあるかもしれないわ
ことり,え？そうなの？私、パソコンとか全然詳しくないから
絵里,誰でも最初はそうよ。ちょっと待っててね。確認するから。やっぱり。ここが間違ってたのね。ことり、大丈夫よ！
ことり,ありがとう絵里ちゃん
穂乃果,凄いね、絵里ちゃん！パソコン詳しいんだね
絵里,ん～詳しいって言うか…
穂乃果,って言うか？
にこ,あちゃ～。急に雨が降って来たんですけど
穂乃果,うわっ！？ずぶ濡れだ…
花陽,うぅ…天気予報では晴れって言ってたのに
絵里,大変。風邪引いちゃうわよ。ちょっと待ってて
にこ,え？停電？
絵里,いやぁぁぁぁぁぁぁ
穂乃果,え？な、何？
にこ,なんか嫌な音が…
穂乃果,あっ！点いた！
絵里,希…希ぃ…
希,えりち…痛い痛い…もう点いたって
絵里,え？あっ…ゴホン。さて…
にこ,あーーーーーっ！！？パソコンがぁぁ
絵里,え？ああ…。ふう。希も結構忘れっぼいわよね。教室にスクールバックを忘れるなんて
希,いや～、あはは
絵里,おかげですっかり暗くなっちゃったわ
希,夜道は怖い？
絵里,バカ言わないで。これくらいは平気よ
希,ふ～ん。そっか
絵里,そうよ
希,ワザとやったりして
絵里,何が？
希,忘れ物したの
絵里,へ～、そう
希,うん。今日みたいな日はちょっと長く一緒に居たかったりして
絵里,知ってたわよ
希,知ってた？
絵里,気がついてたもの。最初から
希,は？ちょっ…最初からって？
