※タイトルは釣り。,がっこうぐらし！
長門,……敵の卑劣な攻撃を想定できなかった。すべて私の責任だ。そうなると壁を上から超えるか、あるいは下からか……いや、洋上および海底調査の報告を待ってからか……。お前たちはよくやった。次の作戦に備えて英気を養うように。以上
吹雪,はっ
翔鶴,噴式艦載機でもアレを超えることは難しいかと……
長門,難しいではない！やるしかないのだ！
伊168,やっぱり、海底も全部壁だったわ。一応、潜水艦たちで穴を掘ってるけど
長門,陸上掘削部隊の進捗は
大淀,現在深さ100m幅200m以上を掘り返していますが、未だ途切れる様子がないとのことです
陸奥,電話線も電波もダメね。まるで外部と連絡が取れない
長門,これが敵の新兵器だとすると、非常に厄介だぞ……。我々は閉じ込められてしまったというのか……！！。みんな、緊急招集への応答、感謝する。此度の異変について、皆それぞれに聞き及んでいると思う。状況がつかめず、混乱している者も多いと聞いた。しかし、目下我々の目標は以下の二点に絞られる。一つ、あの壁の突破。一つ、提督の発見。今後、この鎮守府では以上の二点のみを目標とし生活してほしい。なお、今後の作戦指揮は長門が執り行う。意見の有る者は速やかに挙手するように
陸奥,はぁい
長門,……今はふざけている場合ではないのだが
陸奥,長門が作戦指揮をするのは今までもあったから別にいいんだけど。鎮守府での生活を仕切る人がいないといけないと思うのよね。みんな、誰がいいと思う？
雪風,雪風は間宮さんがいいです！
陸奥,あら、それはどうして？
雪風,間宮さんなら、ご褒美としてアイスをもらえるのではないかと！
間宮,材料も限界があるからねぇ……
武蔵,やはりここは帝国の秘密兵器、大和だろう
長門,大和には対壁調査に出陣してもらわねばならん
瑞鶴,加賀さんだけは絶対反対です
加賀,五航戦の子たちには任せられません
那珂,那珂ちゃんなら、みんなを元気にしてあげられるよー☆
吹雪,なんだか選挙公約みたいになってきちゃったね
叢雲,それこそあんたが立候補しなさいよ。特型駆逐艦のネームシップでしょうが
吹雪,い、いやいや……
川内,やーせーん！！やーせーんーがーしーたーい！！
神通,すいません、うちの姉が……
加賀,いい加減頭に来ました。毎晩毎晩、ただでさえ極限状態の鎮守府で隊の和を乱すとは
川内,やーせーんーがーしーたーいーのー！！
陸奥,あらあら、どうしましょう
那智,独房にぶち込んだ方がいいのではないか
ビス,このままでは規律が緩んでしまうわ。私、ビスマルクが直々に手合いとなりましょう
川内,ホント！？夜戦してくれるの！？
ビス,二度とその減らず口が聞けなくなるまで、徹底的にね
プリ,ビスマルク姉さま、何も自分も戦いたくてうずうずしてるからって、軽巡相手にそんな……
川内,うるさいなー、まとめて相手にしてあげよっか？ドイツ艦
プリ,ハラタ・ツー！
ビス,陸奥。実弾使用の許可を申請する
陸奥,もう……あんまり無茶はしないでね
長良,がんばれ川内ーっ！負けるなーっ！
最上,いっけぇー！
足柄,勝利へゴーよ！
阿賀野,どっちもがんばってー！
青葉,さぁ会場のテンションは最高潮です！世紀の夜戦王対決、勝つのはどっちだーっ！？
川内,やっせん、やっせん♪
ビス,全く、とんだ見世物になってしまったようね。一瞬でケリをつけてあげるわ
川内,えー、もったいないからじっくりやろうよー
ビス,その口を閉じてもらえるかしらっ！！
青葉,おーっと先手を打ったのはビスマルクだーっ！正面へと叩き込んだーっ！
川内,直線的な攻撃しかできないの？
青葉,川内、交わして魚雷の波状攻撃だーっ！回避できるか！？
ビス,こんなものっ
青葉,う、受け止めたーっ！その耐久性にモノを言わせて魚雷を受け止めました！
ビス,そこッ！
川内,いぃッ！？
青葉,予測射撃！この暗闇の中で前後左右に動く川内を確実に捕えたー！
ビス,甘く見ないで！
川内,ふぁぁぁあぁ！
青葉,右舷に直撃ーっ！一発大破です！さすがビスマルクの高火力！
プリ,姉さま～！！素敵です～！！
川内,いやー、参ったなー。久しぶり過ぎてなまってたかも
青葉,この勝負、戦艦ビスマルクのしょうり……ちょ、ちょっと！？
叢雲,な、なにしてんのよあいつ！
吹雪,ビスマルクさん！？
ビスマルク,…………
川内,ちょ、ちょっと。悪かったよ、喧嘩吹っかけて。謝るから、その主砲、どけてよ
ビスマルク,……イイノヨ、モットホメテモ
川内,っ！？
ビスマルク,"Feuer!"
吹雪,まさか、あんなことになるなんて……
五月雨,仕方ないよ……私たち、いつも深海棲艦を轟沈させてたんだもん
漣,ご主人様が居ないだけでこうも歯止めが効かないなんてね……
ビス,……ごちそうさま
プリ,あ、姉さま！私が食器を片付けてきます
ビス,い、いいわよ。自分でやるから……
ローマ,おっと
ビス,くっ！。…………
ローマ,どこに目がついてるのかしら、ドイツ艦
プリ,ちょ、ちょっと何するんですか！
ローマ,これだから仲間を殺すしか能が無いドイツ艦は
プリ,このっ！
ビス,待て、プリンツ・オイゲン。規律を守れ
プリ,ぐっ……
摩耶,おい、さっきからうるせーぞ。ドイツ艦は静かに飯も食えねえのか
ビス,……ごめんなさい。すぐ片付けるわ
鳥海,ちょっと摩耶！ちょっかい出すと今度はあなたが標的に……あ、いえ、なんでもないです……
ビス,……すまない
神通,誰に謝ってるんですか。許してもらえると思ってるんですか
ビス,っ！！
那珂,ﾋｨｯ！こ、怖い顔しないでー！スマイルスマイルー……
ビス,……失礼する
Z1,……ごちそうさま
Z3,…………
叢雲,はい、由良さん。あーん
由良,なんだか恥ずかしいな。ありがとう
叢雲,……左手を使うのに慣れるまでだからね。ほら、あーん！
由良,あーん。うん、おいしい
叢雲,別に、喜ばれても嬉しくないわよ
由良,うふふ、そうね
叢雲,私はね、不謹慎だけど、由良さんの手伝いが出来ることで自分の存在意義を見出せたんだと思う。だからわりと平常心を保っていられた。司令官が居ない今、誰かのために行動するっていうのは、すごい大切だと思うの
鬼怒,ほら、由良！もうごちそうさましよう！叢雲ちゃん、後は鬼怒たちが面倒見るから！
阿武隈,……駆逐艦、うざい
叢雲,あっ……
由良,もう、二人して叢雲ちゃんをいじめないの。じゃあ、またね
叢雲,は、はい
阿武隈,……阿武隈だってわかってるよ。叢雲ちゃんが由良を助けてくれたんだって
叢雲,…………
阿武隈,でもね、あんたが由良をあんなにしちゃったのも事実だから
叢雲,……はい
阿武隈,あんまり阿武隈たちの周りをうろうろしないで欲しいの。心が苦しくなるから
叢雲,……はい
長門,――このようにして、あの壁を空から超えるのだ。もちろん、空母および航空隊には全力以上の力を発揮してもらわねばならない。故に何が起こるかわからない。手の空いている者は緊急時のサポートに回れ。確かに上空へ行けば揚力が減り、通常の艦載機であれば物理的に飛行不可能となるだろう。だが、私たちは艦娘だ！通常兵器では推し量れない能力を発揮することができる！。今こそ！我らが鎮守府の総力を結集し、敵の卑劣なる攻撃を乗り越える時だ！
龍驤,みんなー！準備はえーなー！？
隼鷹,へへっ、隼鷹様に任せとけってんだ！
日向,やはり航空戦艦の時代か……
長門,第一弾航空隊、発艦、始め！！
赤城,南雲機動部隊、出撃します！
天城,第六○一航空隊、発艦始め！
飛龍,友永隊、頼んだわよ！
大鳳,流星、烈風、本当の力を見せてあげて！
隼鷹,ひゅー！自分たちが飛ぶなんて、たまんねぇな！
祥鳳,冗談言ってないで、精神統一してください！
利根,すまん、ここまでのようじゃ！
長門,わかった！主砲、発射！
龍鳳,長門さんからの合図です！切り離し行きます！
飛鷹,頼んだわよ、龍驤！
龍驤,任しときー！やったるでー！
大淀,切り離し成功！第二段階突入！航空隊、順次帰還します！
伊勢,艦娘の無事を第一に！落下してくる軽空母隊を捉えて！
筑摩,すでに富士山より高くまで飛んでますね……
長門,頼んだぞ、龍驤……！！
龍驤,みんなの艦載機に乗ってるっちゅうんは、不思議なもんやなぁ……。うう、さぶっ。厚着できひんのはわかっとるけど、えらいなぁ。こっからは地上との連絡も取れへんし、ちょっとしたミスが命取りやわ。……酸素、薄なってきたなぁ。ちょっちピンチすぎや……。……瑞鳳の艦載機が止まりよった。ここまで、やな。……女龍驤！艦娘の華、咲かして見せたるわ！。さぁ仕切るで！偵察隊、発進！
伊勢,軽空母隊の被害状況は軽微、全員生還！
筑摩,地上10km突破！あと5kmです！
長門,行けるか、龍驤……！
筑摩,ああっ、そんな！！
長門,ど、どうした筑摩！
筑摩,偵察機、消滅！見えない壁によって消滅しました！
長門,そん……な……
伊勢,龍驤の着地準備急げ！
筑摩,だ、だめです！高高度にて意識を喪失した模様！
伊勢,なんだって！？
長門,……緊急着地だ！残った艦載機による空中での捕縛、その後減速！。マット持ってこい！救護班も周囲に待機！
吹雪,は、はい！
伊勢,だめだ、意識を失った艦娘と艦載機を結び付けることができない！
長門,な、なんだと！？。きゅ、救護班！何をしている！早く龍驤の手当てを！
金剛,お、落ち着くデース。どう考えたって、これは……
長門,どうした！？どうして龍驤を助けない！？貴様ら、私に刃向うというのか！！
武蔵,落ち着け長門！！現実を見ろ！！
長門,わ、私は悪くない……私は……
プリ,い、いやぁぁぁあああっ！！！
武蔵,どうした！？……なぁっ！？。一体誰がこんな真似を……！
鬼怒,叢雲！！もう頭に来た！！二度と由良に近づかないでよね！！
叢雲,……チッ
阿武隈,なによ。なにか文句あるの？
叢雲,……ないです
由良,……ごめんね、叢雲ちゃん
鬼怒,人の腕を平気で切り落とすようなやつと一緒に居たくないの！！わかる！？
叢雲,……平気な……わけが……
阿武隈,なにかいった？
叢雲,……いえ、別に
あきつ丸,じ、自分は正義のためにやったのであります！悪いのはすべてビスマルク殿なのであります！
武蔵,最後に言い残すことはあるか
日向,…………
伊勢,…………
あきつ丸,その錆びついた刀をどけるのであります。そもそも！二百人近く居る艦娘が何か月もこの閉鎖空間で生活できるわけがないのであります！。であれば！口減らしをしなければならないのは当然の帰結であります！。まず最初に処断しなければならないのは、隊の空気を乱した悪人であります！。裏切者、仲間殺しのドイツ艦であります！同盟国の恥さらしであります！。自分は、自分の正義を貫いたのであります！。ここに居る全員が、自分を処刑したことをいつか後悔するはずであります！。あきつ丸の判断は正しかったのだと！間違っていなかったのだと！。そう気付いた時にはもう遅いのであります！。いずれあっちの世界へやってくるみんなを、自分は死んで恨み続けるのであります！
武蔵,やれ
伊勢,……っ！！
日向,…………
あきつ丸,あは、あははは！！思い知るがいいのでありま
天龍,なぁ、みんな。ちょっと聞いてほしいんだが
武蔵,私語は慎め
天龍,すぐ終わるからさ、いいだろ？。昨日のあきつ丸が言ってたことはもっともだ。今俺たちが食ってる飯でさえ、そのうち奪い合わなきゃならなくなるかもしれねぇ。それにだ。俺たち艦娘は兵器だ。日常的に戦うようプログラムされてる。飯は食いてえ。人は殺してえ。だったら話は簡単だ。俺たちでさぁ、戦争を始めればいいんだよ。最後の一人が残るまで
武蔵,何をバカな……
龍田,天龍ちゃんがそう言うなら、私は賛成だわ～
天龍,そうこなくっちゃ！
夕張,あ、私もちょっと試したい装備があるかも……
天龍,おうおう、どんどんぶっぱなしてくれ！
舞風,舞風も踊りたくて仕方なかったんだよねーっ！
武蔵,貴様らッ！！静かにしろッ！！
伊19,イクの魚雷がうずうずしてるの！
長波,寄せ集め軍団、最高！
鈴谷,さぁさぁエンジン温まってまいりましたぁ！
大和,まぁまぁ、轟沈を出さなければいいだけじゃない？
武蔵,そうは言っても、深海棲艦が攻めてきた時に実弾がありませんでは話にならん
イタリア,でも、深海棲艦が攻めてこれるならこちらも物資の調達が可能になってるのでは？
武蔵,……また、ビスマルクのような悲劇を生み出さんとも限らん
大淀,ですが、どこかでガス抜きしなければ、またあきつ丸さんのような者が現れるかと
比叡,そもそも、この状況を打開する策でもあるんですか？
武蔵,そ、それはだな……。わ、わかった。多数決で決めよう。模擬戦闘の解禁について、その是非を全員に問いたい
如月,如月のこと……忘れないでね……
睦月,如月ちゃん！！嫌だ、沈まないで！！
木曽,……すまない。沈めるつもりはなかった
睦月,よくも……よくも如月ちゃんをッ！！
木曽,ッ！？
高雄,ぼーっとしてないで！
木曽,あ、あぁ。助かった
高雄,……大丈夫よ、誰もあなたを責めたりしないわ
木曽,頭の中ではわかってるつもりだが……くそっ
矢矧,よくやったわ！これで夜戦に突入しても安心ね！
高雄,今日は木曽がMVPかもね
木曽,…………
天龍,よっしゃぁ！多摩の首を取ったぜ！
球磨,全く、姉として恥ずかしい限りだクマ
五十鈴,今日のMVPは天龍ね。五十鈴も負けてられないわ！
天龍,たりめーだろ！俺が一番強いんだからよ！
吹雪,あの、電ちゃん……
電,い、電は悪くないのです！電の体当たりを避けなかった深雪ちゃんがいけないのです！
吹雪,……悔しいけど、電ちゃんを責めるつもりはないよ。そうじゃなくて……あなたは気付いてる？
電,な、なにをですか？
吹雪,その、この状況が異常だってこと
電,……やっぱり、そうです、よね。司令官さんが居なくなってから、みんなおかしくなっちゃったのです。なるべくなら、戦いたくはないのです……
吹雪,よ、よかった。ううん、気付いてくれてればたぶん、大丈夫だと思う。みんな、雰囲気に飲まれてるだけだから。きっとそのうち目を覚ますと思うよ
電,で、でも、電には、そんなことを冷静に話す……。吹雪ちゃんも狂ってるように思うのです……
吹雪,う、うん……
鬼怒,阿武隈ァァ！食らえェェ！
阿武隈,よっと！鬼怒の攻撃なんて、当たるわけないんだから！。由良をやったくらいでいい気にならないでよね！。ねっ！これで鬼怒に勝ったわ！。えっと、艦首はどこかな……
叢雲,……許さない
阿武隈,ひぇ、な、なに……
叢雲,……邪魔よ、沈みなさい
古鷹,うぅ……加古……加古ぉぉぉ……
葛城,これで最後の戦闘にしよう。全滅するまで戦うことに意味は無いよ
飛龍,……私はもう、大破してるから、頭数に入れないで
明石,ごめんなさい、飛龍さん……私の力で直せなくて
吹雪,どうしても、やらなきゃいけないんですか
大淀,わからない。もうわからないけど、でも、やらなきゃいけない気がするの
電,あの……今日は駆逐艦の電たち五人で一緒に寝ませんか
漣,いいねー、漣は賛成
五月雨,そうだね。最後の戦闘を生き延びた同士として
叢雲,そんな堅苦しいのじゃなくていいわよ。とにかくもう、疲れたわ……
吹雪,ようやく安心して眠れるね……
叢雲,ねぇ、吹雪。起きて
吹雪,んぅ……どうしたの、叢雲ちゃん
叢雲,空を、ううん、アレを見て
吹雪,なぁに……なに、アレ……。私、寝ぼけてるのかなぁ……
叢雲,い、いや、私にも見えてるわよ！あれって、いつか見たアレと同じやつじゃない？
吹雪,いつかって、いつだっけ……
叢雲,えっと……あれ、いつだったかしら
吹雪,むにゃむにゃ……
叢雲,あれ、"文字"が消えてる……なんなのよ、一体……
吹雪,……んー？。んんんー？
叢雲,あんたさっきからなにやってんの？って、なにそれ
吹雪,いや、私の字で日記みたいなのが書かれてるんだけど……
叢雲,ちょっと読ませて……うわ、なにこれ。創作にしても胸糞悪いわね
吹雪,こんなの書いた記憶、無いんだけど
叢雲,気味が悪いわね。焼却処分しちゃいなさいよ
吹雪,うん、そうする
五月雨,二人とも、なにやってるの？もうそろそろ提督を出迎えないと
漣,ご主人様、どんな人かな～
電,皆さん、早く行くのです！
叢雲,はいはい。さ、行くわよ吹雪
吹雪,う、うん！。はじめまして、吹雪です。よろしくお願いいたします！
御城プロジェクト再開まだかよ,怒
