・亜美真美→エミリーの呼称は、,なでしこ
真美,ね？すごいっしょ？
エミリー,痺れって、こんなに早く取れるんですか？
真美,なんかね、体育座りがいいっぽい。なでしこ、いっつも痺れてるから、調べたんだよねぃ
亜美,おおー、真美、やっさしー
星梨花,流石、真美さんです！
エミリー,真美さん、ありがとうございます！
真美,いやぁ、それほどでも～
P,ただいま戻りました
エミリー,お帰りなさいませ、仕掛け人さま！大発見ですよ！
P,お、おう。どうした？
エミリー,正座で足が痺れた後、このように体育座りをすると……すぐに痺れが取れてしまうんです！
星梨花,真美さんが教えてくれたんですよ
真美,んっふっふ～
P,そ、そうか
亜美,……兄ちゃん、どーしたの？
P,いやぁ……うん、エミリー
エミリー,はい。なんでしょうか？
P,その……な、嬉しいのはわかるんだが……
エミリー,はい
P,スカートで、その格好のまま、こっち向くと……な？
エミリー,……。！。Noooooooo!
亜美,あー兄ちゃんのエッチー
真美,兄ちゃんのすけべー
P,いや、不可抗力だろ！俺は悪くないぞ！
亜美,そうやってはるるんの見たり、やらちーとこさわったりしてるっしょ？
真美,いやん、真美、けがされちゃう
P,いやいや、誤解だから！てかお前ら、楽しんでるだろ
亜美真美,んっふっふ～
星梨花,エミリーちゃん、ドンマイです！
エミリー,ぅぅぅ……もうお嫁にいけません……
