ｶﾞｺﾝ,自販機の音
かれん,……ﾎﾟﾃﾄ。ﾎﾟﾃﾄ、ﾀﾍﾞﾀﾗ、ﾀﾞﾒﾅﾉ。………ふぇ。ふぇぇぇぇぇ
奈緒,子供になってるーー！！！
凛,そう来たか……
美嘉,えっ、えっ、ちょ、アレ、加蓮！？加蓮だよね！？
奈緒,加蓮以外の誰だって言うんだよ！
美嘉,いやいやいや！縮んでるよね！？明らかにアレ小学生くらいだよね！？
凛,美嘉、いくら小さい子が好きでも加蓮はダメだよ
美嘉,そーいう話はしてなーい！！！
P,何かと思えば3人とも、来てたのか
美嘉,プロデューサー！
凛,プロデューサーがいるって事は、あれはやっぱり加蓮なんだね
奈緒,間違いないな
美嘉,え、何それ、何でそうなるわけ
P,まぁ日常茶飯事だしなぁ、加蓮の幼児退行は
美嘉,そんなしょっちゅうなの！？
かれん,ぱーぱ、おんぶー
P,パパじゃなくてプロデューサーだっての…まったくこれじゃポテト取り上げたって逆効果じゃないか
凛,プロデューサー、ちょっと加蓮貸してよ
P,あぁ、泣かすんじゃないぞ
かれん,あー、りんちゃんだー
凛,こうして見ると可愛いんだけどねえ
かれん,えへへー、わたしかわいい？かわいい？
凛,うん、うちのハナコみたいでかわいいよ加蓮
奈緒,ちょ、凛ばっかずるくないか？あたしにもだっこさせてくれよぉ
P,こらこら、そんな取り合うもんじゃありません、ここは順番でまず年長者の俺がだな…
奈緒,アンタはさっきまでずっと面倒見てただろ！
凛,ほーらこわいこわいおじちゃんとおねーちゃんでちゅねー
かれん,こわいねー
奈緒,お前ら…
美嘉,……あ、あの……さぁ、そ、相談なんだけど……
凛,ん
P,何だね
奈緒,大体察しはつくけどな
美嘉,なら察しついでで抱かせてよ、お願いっ
かれん,だくってエッチなこと？
P,あらやだ奥さんエッチですってよ
凛,最近の若い子はこれだから…
美嘉,ぶつよいい加減
李衣菜,あれ、皆で何してるの？
凛,李衣菜
P,李衣菜こそどうしたんだ、もう今日は予定ないだろ？
李衣菜,え、あー………その…えーと
奈緒,そのギター、もしかして
李衣菜,あはは、うん…ここならアンプとか機材置いてるし、防音だし…。一応許可は貰ったんだよ？でも、誰もいないと思ったから……思った、のになぁ…
かれん,りーな、ギターはあそびじゃないんだよ
李衣菜,ふぇ？
かれん,やるならしんけんにやりなさい、わかった？
李衣菜,いや、私そんな不真面目なつもりないんだけど…
かれん,へんじははい！
李衣菜,は、はいい！
凛,尻に敷かれてる…
奈緒,物凄いシュールだな
美嘉,って言うか、そろそろ話進めようよ…このちっちゃい加蓮、どうするか考えないとさ
李衣菜,ええっ、この子加蓮ちゃんだったの！？何で！？ちっちゃい！私より！！
凛,遅いよ李衣菜
奈緒,普通わかるだろ
P,全くだ
美嘉,普通わかりたくないからね？
かれん,りーな、ちゅーりっぷのおうた、ひける？
李衣菜,え、バカにしないでよ加蓮ちゃん、流石に私だってそれくらいなら
かれん,りっぷすの
李衣菜,スミマセンでした出直してきます
かれん,しょうじんしなさい
美嘉,コント…
凛,あ、簡単なメロディくらいなら私弾けるけど…Tulipでいいの？
奈緒,追い討ちよくないぞ…凛…
李衣菜,ぐぬぬ……ら、Love∞Destinyじゃダメ？練習してるのだとそれくらいで…
かれん,ひけるの？
李衣菜,じ、自信はないけど……一応…
かれん,すっごーい！ひいて！ひいて！
李衣菜,………！
かれん,むふー
P,加蓮の事は李衣菜に押し付け……任せるとして
美嘉,押し付けてるね、それで？
凛,加蓮を元に戻さないと、このままじゃ色々問題だよね
奈緒,まあなあ、あのままだとトライアドにしろ他のユニットにしろ、色々…。色々…。だーーーーー！！！！。なおなおなおなおうるさいな猫か御前は！
凛,どちらかと言えば犬っぽくない？
P,犬かぁ？キツネじゃないか？
美嘉,何でも良いから元に戻すんでしょもう！
かれん,ゆーあーまいですてにー♪
李衣菜,うわ加蓮ちゃん歌うっま…私もなんかノってきたかも！
かれん,おはよーかーらおやすみまーでーらいおんのていきょーでおおくりしまーす
李衣菜,CM！？？
奈緒,アレでもいいんじゃないか？加蓮…
凛,でもずっとあのままだと芸能事務所って言うより、託児所か保育園みたいじゃない？
P,というか、世間の目に触れると色々な…
美嘉,あ、そこは常識あるんだ…そうだよ、色々おかしいんだから、普通は…
P,あんなにかわいい天使みたいな加蓮だぞ、人目になんか晒してみろ、どんな悪い虫が寄ってくるか…
凛,是である是である
奈緒,今回ばかりは首を縦に振るよりないようだな…！
美嘉,バカなの。もー、李衣菜も何か言ってやってよこの…
李衣菜,すやぁ……すやぁ…
かれん,くかー…くかー…
美嘉,寝てるし…ッ
凛,思ったより早かったね
P,李衣菜…よく寝かしつけてくれた…
奈緒,なんか……なんだろう…それでいいのかなぁ…なんだかなあ…
美嘉,…って言うかさ。ポテト禁止したらこうなったんだから、ポテト食べさせれば元に戻るよね、絶対
P,！？？？？
凛,ふーん………！！？？？？
奈緒,なん…だと………！
美嘉,いや、気付こうよ…ってか今までどうしてたの…？
P,ほーら、ポテトだぞ、おたべー
かれん,ポテトだ！わーい！
美嘉,やっぱかわいい…
凛,あ、でもさ…
P,ん？何だ
凛,今加蓮が着てる服って…
P,ああ、縮んだときに素っ裸じゃ風邪引いちゃうだろ？だから子供用の………。あ
李衣菜,すやぁ…すやぁ…
かれん,うっっっっ。からだが……あつい……。ぐたいてきにいうと…ポテトが揚がりそうなくらいあつい…
奈緒,よく生きてられるなそれ
凛,言ってる場合じゃない！
かれん,うあああああああ！
加蓮,……ん……んぅ…？。あれ……アタシ…どうして…？
P,……加蓮……ごめん…俺後ろ向いてるな
加蓮,へ、何？何が…
凛,まあ、そうなっちゃうかな
奈緒,お約束だよなぁ
美嘉,か、かかかかか、加蓮アンタ、ふ、服、服！
加蓮,服？服がなにか………！？？。えっ、えっ、ええええ！？。あ、あああああ、アタシ、はだ、はだはだはだ、はだか、なん、何でっ、裸！？。って言うか見たよね！プロデューサーさんアタシの身体、見たんだよね、ねえ！？
P,な、何も見てないな俺、加蓮のふくよか…ふんわり……ふわふわ……幸せの双子ヶ丘なんて俺はなーんにも
加蓮,ごまかせてないよね！双子ヶ丘って何！！見たんでしょ私の胸っ！胸って言うか全部！！ねえ！！
李衣菜,もーうるさいなー…なんなのこんな朝早く…
奈緒,もう夜だけどな
李衣菜,なおさら寝かせて………あれ、もしかして加蓮ちゃん、元に戻ってる？
加蓮,…元に？
李衣菜,って言うか、服着ないの…？風邪引いちゃうよ、それ…
加蓮,李衣菜、正直に答えて欲しいんだけど
李衣菜,へ、う、うん
加蓮,アタシ、何か…変だった？
奈緒,わっ、マズイ！
李衣菜,変って言うか、すごく素直で可愛かったよね、子供になった加蓮ちゃん
凛,…まあ、悪いかな
奈緒,最悪だよ
加蓮,あーんーたーたーちー？
美嘉,うぇっ、アタシも！？
加蓮,美嘉は多分違うよね、変なこととかしてないよね
美嘉,う、うん…一応…
李衣菜,あ、美嘉ちゃんね、加蓮ちゃんかわいいなー、抱っこしたいなあって見てたよね
加蓮,ほう？
美嘉,そうだけど違うううう…
P,俺は無実だぞ！俺は！
加蓮,Pさん一番重罪でしょ！！！
奈緒,なぁ、やっぱりこれ、ポテト食べさせないほうがおとなしくてよかったんじゃないか…？
P,いーもん見たって事で水に流してさあ
奈緒,芋だけにって？うまくないんだよ！
加蓮,芋は美味いでしょ！！！
美嘉,いい加減にしろ！！！！！！！！
