榊英之助,５７
喪黒,おや？先生、お蓮さんのことが気になるのですか？
榊,い、いえ……。わ、私はその……
喪黒,あなたのお気持ち、よーく分かります。純情な気持ちを持つのは、決して悪いことではありませんよ
榊,ええ、まあ……。この時代の人は、茶屋娘見たさに店を訪れる人もいたのでしょうね
喪黒,そうです。茶屋娘は、江戸時代の庶民の憧れの存在でしたからねぇ
榊,いやぁ、本当に楽しかったですよ
喪黒,先生が楽しんでいただいて、何より……。江戸見物は、時代小説を書くためのいい参考になったでしょう？
榊,はい……。おかげさまで、創作のヒントを得ることができました
喪黒,よかったですねぇ、榊先生
榊,喪黒さん。貴重なご経験、本当に感謝します
喪黒,どういたしまして……。ただし、先生には私と約束していただきたいことがあります
榊,約束！？
喪黒,そうです。榊先生が江戸時代に行くのは、今回の1度きりにしておいてください
榊,は、はい……
喪黒,榊先生、これだけは肝に銘じてください。大事なのは、自分が今いる時代をしっかり生きることですよ
榊,わ、分かってますよ。そりゃあ……
BAR,魔の巣
喪黒,榊先生。新作の時代小説、かなり売れているようですねぇ
榊,ええ……。あれは私の作家生命をかけた作品でしたから、人々に支持されて実に光栄です
喪黒,江戸へ出てきた若い剣客が、茶屋の娘に恋をする。何とも趣がある作品ですねぇ
榊,あの作品のヒロインは、私が茶屋で出会ったお蓮がモデルなのです
喪黒,ほう……。実は私も、あのヒロインのモデルはお蓮さんなのではないかと思っていたのですよ
榊,お前と離婚して、もうだいぶ経つな……。お前は気が強い女性で、何かと俺に当たり散らしたものだ。できれば、お蓮のような女性と結婚したかったな……。ダメだ……。お蓮のことが気になって、仕事に手がつかない……。間違いない。俺は、ここへ戻ってきたんだ……
お蓮,また、あなたに会うことができましたね
榊,俺は、もう1度お蓮に会うことができた。これで安心して、現代へ帰れる……
喪黒,榊先生……。あなた約束を破りましたね
榊,も、喪黒さん……！！
喪黒,私は言ったはずですよ。先生が江戸時代に行くのは、たった1度だけにしておけ……と
榊,す、すみません……！！
喪黒,にも関わらず……。榊先生は、タイムマシンで再び江戸時代を訪れましたねぇ
榊,わ、私はどうしても……、茶屋娘のお蓮にもう1度会いたかったのです……！！
喪黒,そうですか……。そんなに彼女のことがお好きなら、この時代でずーっと暮らしてください！！。ドーーーーーーーーーーーン！！！
榊,ギャアアアアアアアアア！！！。何だか、雲行きが怪しくなってきたな……。雨が降る前に、タイムマシンに乗ろう……。ああっ……！！タイムマシンが……！！
テロップ,数年後――
客,旦那！時越旅彦ときこし・たびひこ
版元,あいよ！時越先生の本は面白いから、みんなに引っ張りだこですよ！
遊女,ねぇ、お前さん。この本読み終わったら、あたしにも見せてくださいよ
榊のモノローグ,江戸時代にタイムスリップした俺は、読本作家・時越旅彦となった
お蓮,あなたぁー、ご飯ができましたよぉ
喪黒,明治以降、日本は近代化を遂げて現代に至りましたが……。それでもなお、時代小説に対する人気は今も衰えていません
